0.00062887-0.00019348i,0.00063681-0.00066615i,0.0013793-0.0017631i,0.00042549-0.0029899i,-0.0024867-0.0027721i,-0.0042198-0.0010323i,-0.0036995+0.00079286i,-0.0018332+0.0013024i,0.00096521+0.0011841i,0.0015863+0.00088646i,0.00075642+0.00063899i,-2.6608e-05+0.00098761i,-0.00083739+0.0015362i,-0.00065116+0.0012233i,1.7647e-05+0.00036422i,4.3216e-05-0.00012115i,2.3377e-05-5.0012e-05i,-0.00020562+0.00061259i,-0.00077763+0.00044717i,-0.00094785-0.00067615i,-0.00026475-0.00041403i,-0.00054065+9.2656e-05i,-0.00067193-0.00013364i
-0.0013627+0.00025913i,-0.00019188+0.00053132i,0.00051711+0.0011487i,0.00064123+0.00068185i,0.0011397+0.00019632i,0.00036149-0.0005326i,-0.0014533-1.0342e-05i,-0.0017214+0.0012322i,-0.0017818+0.0018639i,-0.0013572+0.0015099i,0.00016438+0.0010293i,0.0010684-0.00015172i,0.0014081+6.6134e-05i,0.001007+0.00045641i,0.0002275-1.921e-05i,-0.0001075-0.0001519i,0.00045098+1.1637e-05i,0.00051259+0.00024255i,0.0001392+9.7882e-05i,0.00025015-0.00094974i,0.0005235-0.00038427i,-3.7316e-05+0.00042583i,-0.00028981+0.00039716i
0.0013137-0.00022725i,-0.00010714-0.00083653i,-0.0009299-0.00067375i,-0.00086831-0.00013371i,-0.0013751-0.00022409i,-0.0019695-0.00099418i,-0.0015565-0.00096689i,-0.0009821+3.6809e-05i,-0.00025449+0.00022467i,0.00020206-1.6736e-05i,0.00026273-0.00020594i,-0.00028434-0.00070647i,-0.00015727-0.00045661i,0.00069086+3.7891e-05i,0.00055648-0.00015893i,-0.00022232+0.00046877i,-0.00063516+0.00041898i,-9.9129e-06-0.00027216i,0.00021338-0.00010427i,6.8872e-06+0.00023662i,-3.5543e-05+0.00039106i,-0.00043998+0.00025258i,-0.00040906-5.5143e-05i
0.0011831+0.00050198i,0.0009128-0.00062696i,0.00036469-0.00096776i,0.0012663-0.0017767i,0.0010302-0.0016321i,-0.0013067-0.0014451i,-0.0021792-0.0010957i,-0.0011273-0.00016453i,-1.8233e-06+0.00016214i,0.00068217+0.00012503i,0.00064642+2.9722e-05i,0.00036817-2.5813e-05i,-4.9694e-05+0.00036546i,0.00050608+0.00039612i,0.0023159+0.00051713i,0.0015549+0.00076118i,0.00027752+0.00045811i,-0.00016677+0.00012952i,-0.00055461-0.00043702i,-0.00081143-0.00052059i,-0.0004318-0.00070655i,6.7915e-05-0.00023747i,-0.00030592+0.00016943i
-0.00020416-0.00091495i,-0.0005675+0.00065219i,0.00092353+0.00066284i,0.0017357-0.00024931i,0.00048023-0.0011571i,-0.00012274-0.00095093i,-0.00097121+0.00051656i,-0.0012688+0.0011762i,-0.00011703+0.00047145i,-9.6285e-05-7.4759e-06i,-0.00086417-0.00025386i,-0.0012551-0.00069266i,-0.0012195-0.00045305i,-0.00052036-0.00035796i,7.228e-05-0.00017404i,0.00028589+0.0004311i,0.00010391+0.0010376i,-0.00038848+0.0010614i,-0.00020146+0.00062512i,0.00083135+0.00076029i,0.00061304+0.00057703i,-0.00061114-0.00012571i,-0.0006287+0.00010487i
-0.00073945-0.00088531i,-0.002416+1.0247e-05i,-0.0019971+0.0011364i,-0.0013885+0.0016032i,-0.0011672+0.0001061i,-0.0004926-0.0015995i,0.00020492-0.0023094i,0.00029309-0.0011689i,-0.00031955+1.9648e-05i,-0.00025257+0.00055159i,0.00031076+0.00093564i,0.00035205+0.00029706i,0.00043999-0.0001338i,0.00053996-3.7819e-05i,0.00053459-0.00019858i,0.00014156+0.00026092i,9.5722e-05+0.00080413i,0.00054865+0.00076519i,-7.1136e-05+0.00063583i,-0.00052739+0.00046192i,-0.00056045+0.00030363i,-0.00058024+0.00080207i,-0.00043888+0.0010039i
5.4555e-05+0.00068132i,0.00033974-0.00076631i,0.00024015-0.0013208i,-7.8772e-05-0.001167i,-0.00052482-0.0016468i,-0.00071434-0.001333i,-0.00066951-0.00091343i,-0.0005959-9.3198e-05i,-0.0003265+0.00068001i,-0.0001498+0.00064812i,-0.00028637+0.00020175i,-0.00029071-0.00039127i,0.0005775-0.0011755i,0.00078556-0.0009272i,0.0001213+0.00031443i,-0.00070001+0.00035201i,-0.0010331+1.6605e-06i,-0.00052277-0.00013303i,0.00015388-0.00090866i,-0.00050484-0.00063705i,-0.0011266+0.00016696i,-0.0003273-0.0001255i,5.37e-05-0.00081668i
-0.00093818+0.00052356i,0.00010805+0.0012666i,0.0014748+0.0022199i,0.0013016+0.0025333i,0.00063657+0.0015394i,0.00029366+2.5986e-05i,0.0008526-0.00068876i,0.00039296-0.00050911i,-3.7465e-06-3.6029e-05i,0.00044975+0.00076186i,0.00015672+0.00049909i,0.00027255-0.00011141i,0.00030489-0.00029969i,0.0007916-0.00087464i,0.00089538-0.00076259i,1.0074e-05+0.0001787i,-0.00032492+0.00074015i,-2.8277e-05+0.00050013i,0.00019391-0.00012174i,0.00016014-0.00041982i,-5.8442e-05+5.3459e-05i,-0.00047883+0.00062512i,-0.00085043+0.00089435i
-0.00029202+0.0014537i,-0.00014102+0.0021586i,-0.00029595+0.0022247i,0.00022198+0.001537i,0.00072355-7.9091e-05i,0.00062267-0.0011565i,0.00047368-0.00086322i,6.6075e-05-0.00041428i,1.6893e-05+4.0086e-05i,0.00061048+0.00035962i,0.0011468+0.00064393i,0.0010805+0.0001702i,0.00039541-0.0010175i,-0.00058778-0.00099868i,-0.00095946+0.00038363i,-0.00064949+0.00070441i,0.00013378+0.00035672i,0.00075883+0.00013685i,0.00084286+2.7155e-06i,0.00092141+0.00021549i,8.8948e-05+0.00043405i,-0.00027988+0.00022485i,0.0005432-9.0097e-05i
0.00061613-0.0015452i,0.0012924-0.0025457i,0.001568-0.0021009i,0.00083764-0.0012681i,-0.0001954-0.0013782i,-0.001492-0.0013944i,-0.0010863-0.00035364i,-0.00070082+0.00041883i,-0.00070393+0.000864i,-0.00019706+0.00071462i,4.1439e-05-0.0003431i,0.00056796-0.0002229i,0.00070499+0.00036998i,-5.7767e-05+0.00011145i,-0.0010105+0.0001948i,-0.00045762+4.5365e-06i,0.00040527-0.00028498i,0.00026507+0.00025305i,0.00086669+0.00067963i,0.00062973+0.00050727i,-4.5337e-07+0.00022079i,0.00016155+0.00015018i,0.00071951+0.00011926i
-0.00081277-0.002528i,-0.0012103-0.0018464i,-0.0016335+0.00022091i,-0.0021313+0.0010033i,-0.0011996+0.00063066i,-0.00034949+0.00017007i,0.00011282-0.00051711i,-2.9868e-05-0.00038179i,-0.00032007+0.00012893i,-6.9225e-05+0.00015561i,0.00069745+0.00028375i,0.00032197+0.00068455i,-7.8825e-05-0.00017741i,4.6583e-05-0.00056904i,-0.00025471-0.00069747i,-0.00033465-0.0010775i,-1.8866e-05-0.00069258i,0.00041256-0.0001399i,0.00017322+0.00036942i,-0.00020363+0.00084219i,0.00017003+0.00029565i,-1.0665e-05-0.00068359i,-0.0004245-0.0008787i
-0.001047-0.00014941i,-0.00050205-5.5981e-05i,-0.00098529+0.00013959i,-0.00035284+0.00082738i,-0.00058036+0.00041061i,-0.0018726+7.7289e-05i,-0.0013892-6.1309e-05i,-0.00035102+0.00030539i,-0.00018831+0.0011487i,0.00037219+0.0011829i,0.00072611+0.00036662i,0.00078136-0.0002643i,0.00055535-0.00059788i,0.00045281-0.00042707i,0.00026344+0.00051479i,0.00020204+0.00054497i,6.6604e-05+0.00043394i,0.00011055+0.00053122i,-3.764e-05+0.00047572i,-2.9377e-05-0.00016746i,0.00075968-0.00071408i,0.00028625-0.00038803i,-0.00043197+0.00015831i
0.0011995+0.00014334i,0.0014248-9.6017e-05i,0.001628-0.00020463i,0.0012333-0.00052475i,-0.00044476-0.0010559i,-0.0017218-0.0013597i,-0.0016968-0.00097989i,-0.0012057-0.00013647i,-0.00032429+0.00044021i,6.0202e-05+0.00072021i,0.00053471+0.00063769i,0.00097179+0.00025086i,0.00052236+0.00030961i,0.00044445+0.0003451i,0.00032641+0.0002775i,9.2125e-05-0.00052352i,0.00013147-0.00026807i,-0.00018694+0.00045557i,-0.00053315+0.00020466i,-0.00072027-0.00013227i,-0.00048539-0.00028321i,-5.5882e-05-0.00019916i,-0.00058543+2.8869e-05i
-0.00035527-0.0001386i,0.00046614+0.0018304i,0.0012019+0.0030858i,0.0021978+0.0027135i,0.001316+0.00051621i,0.00086017-0.0013838i,0.00095372-0.0011345i,0.00056936+0.0001067i,-0.00023502+0.00073684i,-0.00010496+0.00062769i,0.00021133+0.00020207i,0.00034558-0.0003099i,0.00036708-0.00107i,8.8096e-06-0.00083392i,0.0002791-7.1319e-05i,0.00018949-0.00047518i,-0.00019178-0.00073084i,0.00027538-0.00035977i,0.00087455-0.00052797i,0.00073317-0.00056872i,-0.00051524-0.00034865i,-0.0011428-4.6565e-05i,-0.00038462+0.00013079i
0.00090188+0.0024926i,4.6204e-05+0.0010425i,0.00045847-0.00016348i,0.001704-0.0011102i,0.0015976-0.0014054i,-4.6398e-05-0.0020693i,-0.0018962-0.0017106i,-0.0025398-0.00047463i,-0.0010299+0.00028848i,0.0010461+0.00082277i,0.00046424+0.00096987i,-0.00082344+0.00041923i,-0.00078307+0.00011077i,-0.0005175+5.7894e-05i,-0.00011873-8.1484e-05i,0.00045153+0.00026519i,0.00081523+3.1059e-06i,0.00025647-0.0006774i,-0.00040435-0.00052177i,-0.00053064-0.00052218i,6.8994e-05-0.0004958i,0.00062071-0.00025228i,0.0004926-0.00048094i
0.0004666-0.0012797i,0.00036853-0.00092515i,0.0006469-0.00080444i,0.00081352-0.00060057i,0.00042955-0.00077119i,-0.00026463-4.4652e-05i,-0.00090489+0.00086179i,-0.00059653+0.00041946i,0.00041804-0.00061048i,0.00078203-0.00036101i,-0.00037054+0.0001786i,-0.0013273+0.00016231i,-0.0012921-0.00027792i,-0.00077349-0.00018386i,-0.00050886-2.4593e-05i,-0.00073834+7.8601e-05i,-0.00066093+0.00065728i,-0.00037323+0.00069496i,-0.00018332+0.00075356i,-1.8388e-05+0.00048789i,-4.5384e-06-0.00090783i,5.6193e-05-0.00061532i,3.6648e-05+0.00061116i
0.00073518+0.0009498i,0.0013873+0.0017303i,0.0030213+0.0017265i,0.0035907+0.00037623i,0.0014944-0.0020003i,-0.00037238-0.0024636i,-0.00089644-0.0011515i,-0.00086802-0.00015191i,-0.00022318+0.00026916i,-0.0002994+0.0014006i,-0.00032994+0.001118i,-5.502e-05-0.00039828i,-0.00018197-0.00028575i,0.0001977+0.0001341i,0.00016678+0.00012205i,0.00019376+0.00020622i,-6.3447e-05+0.00076749i,-0.00047731+0.00096997i,-8.6283e-05+0.00095028i,0.00029869+0.00039259i,-0.00010834-0.00035003i,-0.00065349+5.01e-05i,-0.00055803+0.00056701i
0.0013132-0.0017302i,9.3636e-05-0.0010468i,-0.00082608-0.0013175i,-0.001329-0.0013459i,-0.0019747-0.00095646i,-0.0020325-0.00097195i,-0.00084282-0.00039111i,3.1528e-05-4.0755e-05i,0.00043383-0.0001275i,0.00043684+0.00028665i,0.00053691-1.3495e-05i,0.00024841-0.00098706i,0.00014484-0.00065528i,0.0008978-0.00038089i,0.00059545-0.0002883i,-0.0004355-0.00014745i,-0.00052512-0.00073584i,-0.00044973-0.0015777i,-0.00010632-0.0011201i,0.00050196+0.0002317i,0.00054456+0.00042787i,0.0004156-0.00025208i,0.0005468-0.00015933i
-0.00014657+0.0018089i,0.0011388+0.0019164i,0.001618+0.0018039i,0.00092307+0.00064212i,0.00083357-0.00054074i,0.00061834-0.0014184i,-0.00021363-0.0015825i,-0.00036045-0.00074863i,0.0006049-7.8958e-05i,0.0012167+0.00029717i,0.00068802+0.00038356i,0.00014143-0.00010773i,8.5382e-05-0.00022824i,0.00012104+0.00047653i,-0.0003492+0.00084092i,0.00011532+0.00010347i,0.00091832-0.00068932i,0.00019401-0.00074915i,-0.0006498-0.00043652i,-0.0011273-0.0008323i,-0.0011024-0.00040838i,2.1017e-05+0.00018865i,0.00075277-2.8713e-05i
-0.00049381+0.00061095i,9.7832e-05+0.00064271i,0.00061732+0.0011751i,0.00034268+0.002001i,0.0005451+0.001582i,0.0004615+5.5057e-05i,-0.00091759-0.00043477i,-0.0015978-0.00026472i,-0.0008457-0.00018344i,0.00021607-0.00030773i,0.00089976-0.00061701i,0.00052309-0.00063647i,0.00048354-0.0012155i,0.00029589-0.0011795i,-0.00026818-0.00019038i,-1.2374e-05+1.9527e-06i,0.00023732-2.0623e-05i,0.00029628+0.00045299i,0.00029115+0.00067025i,-0.00024348-3.6831e-05i,-0.00041506-0.0006764i,0.00011677-0.00056493i,0.00058502+0.00053424i
0.00067174+0.00046501i,0.0015732+0.0004028i,0.0014632+0.00025316i,0.00082921-6.9144e-05i,-0.0005635-0.00072383i,-0.0014582-0.00037521i,-0.0012288+0.00041605i,-0.0013986+0.00049663i,-0.0013074-6.4717e-05i,-0.00043517-0.00033354i,0.00043674+0.00015778i,0.00029317+0.00029161i,0.00043499+0.00036118i,0.00015007+0.0011243i,-0.00056676+0.00090728i,-8.3338e-05+0.00011243i,0.00039079-3.2989e-05i,0.00044944+0.00086413i,0.0006803+0.0012035i,0.00050399+0.00023129i,0.00033313+0.00037435i,7.7891e-05+0.00098653i,-0.0002667+0.0010906i
-0.0002678+0.00092836i,0.00020586-0.00037605i,0.00070357+0.00022235i,0.0012649+0.0006147i,0.0014115+0.00013917i,0.00015047-0.00017883i,-0.0012289-0.00029559i,-0.0015907-6.6187e-05i,-0.0005982+0.00040972i,0.00074737+0.00016798i,0.0013777-0.00047864i,0.0012837-0.00097676i,0.0011007-0.00046768i,0.00098377+0.00033542i,0.00041091-4.5386e-05i,0.00067339-0.00016903i,0.00076173+0.00025786i,-0.00036823+0.00014823i,-0.00054156-0.00048822i,0.0002715-0.00041361i,0.00046486+7.7304e-05i,6.054e-05+5.7013e-05i,-0.00023231-2.765e-05i
1.4612e-05-0.0007914i,6.5761e-05+0.00044568i,0.00072838+0.0011144i,0.00021975+0.0013322i,-0.0009694+0.00037114i,-0.00092044-0.0011857i,-0.00038212-0.0020925i,0.00025515-0.0009558i,1.4422e-05+0.00017775i,-0.00023988+0.00030288i,7.3529e-05+0.0004792i,-0.00046474+0.00067872i,-0.00024584-0.00012563i,0.00062543-0.00064208i,0.00041686+0.00015912i,0.0003223+0.00081807i,0.00021036+0.0010059i,0.00023331+0.00056046i,0.00025851-0.00013965i,8.3011e-06-0.00041558i,0.00036816-0.00083739i,0.00058147-0.0012446i,0.0004644-0.00079359i
-0.001357+0.00049871i,-0.0013035+0.00061002i,-0.00087056+0.00015757i,-0.00012682-0.00030388i,0.00022174+0.00027762i,-0.00011174+0.00039811i,-0.0014392-0.00057976i,-0.002361-0.00089327i,-0.0019827-0.00086071i,-0.0010883-0.0010463i,-0.00037785-0.00079383i,-0.00013863-0.00051535i,-0.00021179-0.00038438i,-0.00016783-0.00029877i,-0.00022124-0.00016673i,-2.0934e-05-0.00027497i,-0.00020335-0.00030806i,-0.00045889+0.00011431i,-0.00054418-0.00011905i,-0.00073818-0.00019662i,-0.00050324+5.5036e-05i,-0.0002235-0.0002023i,0.0001564-0.000556i
0.00051934-0.00028977i,-0.0001462+1.7138e-05i,-0.00089346+0.0004476i,-0.0014229-0.00021305i,-0.0019081-0.0012825i,-0.0021665-0.0016711i,-0.0020838-0.0015659i,-0.0012523-0.00088021i,-0.00070155-0.00041178i,-0.00035034+1.8191e-05i,6.4986e-05+0.00086191i,-0.00039642+0.0011343i,-0.00083793+0.00054416i,-0.00027649-0.00028587i,0.00050322-0.00070666i,0.00080678-0.00095873i,0.00037714-0.0012857i,-0.00030003-0.00056346i,-0.00019685-0.00017149i,0.00052099-0.00024247i,0.00085138-0.00027306i,0.00069378-4.948e-05i,0.0001274-0.00012842i
0.00088046+0.0010268i,0.0016621+0.000433i,0.0013368-0.00056146i,0.00076917-0.00088549i,7.9148e-05-0.00058621i,-0.0013262-0.00013988i,-0.0012704+2.8725e-05i,-0.00016606+0.00018312i,0.00024165+0.00071915i,0.00021513+0.00067011i,-0.00030801+8.6812e-05i,-0.0010058+0.00045997i,-0.00094388+0.0009388i,-5.4353e-05+0.00077229i,0.00027616+0.00011203i,-0.00041824-0.00037767i,-0.00035909+6.7716e-05i,-0.00010449+0.00054287i,-0.00026055-0.0001491i,0.00041567-0.0007127i,0.00070922-0.00058378i,0.00036087-0.00011695i,0.00068426+0.00018429i
-9.4437e-05-0.0014255i,-0.00049828-0.0013415i,-3.1997e-05-0.0010501i,-0.0001376-0.0011924i,-0.0012793-0.0008159i,-0.0015913-0.00065246i,-0.00029785-0.00071198i,0.00094649-0.00040901i,0.0006398-0.00028299i,0.00015247-0.00041928i,0.0002274-0.0006689i,0.00036863-0.0003448i,9.1943e-05+0.00018343i,7.1037e-05+0.00014322i,0.00038088-0.00043761i,-0.00012071+0.00016597i,-0.0015155+0.00052066i,-0.0014714-3.173e-05i,-4.5768e-05+0.00035236i,0.00019342+0.0013904i,9.0214e-06+0.0010292i,-0.00029245+0.00038054i,-0.00029979+0.00011914i
-0.0021989+0.00284i,-0.0012628+0.0027643i,-0.00026628+0.0028368i,0.0012118+0.0023438i,0.0023446+0.00036208i,0.0020215-0.00098928i,0.00055175-0.0006876i,-3.6168e-05+0.0003476i,-0.00018758+0.0010497i,0.00044682+0.00093502i,0.00093787+0.00032719i,0.00070764-0.00047894i,6.5132e-05-4.071e-05i,-0.00059225+0.0007775i,-0.00068957+0.0012224i,-0.00031469+0.00071814i,0.00091861+0.00074058i,0.00098665+0.00068802i,2.2774e-05+0.00026228i,-0.00046562+0.00011514i,-0.00052331-0.00024204i,-0.00045502-0.00032687i,-0.00015447-0.00090109i
-0.00063854-0.00066894i,-0.0005212-0.0014999i,-0.00080743-0.0026176i,-0.0018277-0.0023631i,-0.0013717-0.0021327i,-0.00048703-0.0020493i,-0.00066591-0.0010898i,-0.00052794-0.00048223i,0.00019441-0.0002428i,0.00059997+0.00010612i,0.0010468+6.5197e-05i,0.0010242-0.00041908i,8.5351e-05-0.00044834i,0.00054323+0.00014299i,0.00091062+0.00077454i,3.7069e-05+0.00093429i,-0.0004867+0.00060722i,0.00019629+0.00066968i,0.00070255+0.001037i,0.00069409+0.00092932i,0.00063059+0.00068726i,-0.00020507+0.00016873i,-0.0006896-0.00010591i
7.0042e-06+0.0017182i,0.0012833+0.0026992i,0.0013964+0.0032063i,0.0012158+0.0024497i,0.0016558+0.00047057i,0.00045334-0.0010754i,-0.0013406-0.0013447i,-0.00099758-0.0011125i,0.00027353-0.0011543i,0.00045423-0.00052917i,-0.00024573+0.00041825i,-0.00052903-0.00018029i,-0.00033082-0.00011508i,-6.3833e-05+0.001039i,0.00037015+0.0012871i,0.00038427+0.00020062i,0.00015349-0.00054449i,0.0003684-0.00036667i,0.00019557-0.00032659i,-0.00056741-0.00081644i,0.00013746-0.0010089i,0.0015024-0.00057406i,0.0010368+0.00049966i
0.00021261-0.0009566i,-7.7348e-05-0.00064025i,-0.0015079+0.00027849i,-0.0018266+4.7652e-05i,-0.0010451-0.00039271i,-0.00073662-0.00024885i,-0.00057218+0.0002421i,-0.00049527+0.00060343i,-0.00025954+0.00041072i,-0.00025335-0.00022094i,-0.00022545-0.00061295i,7.1828e-06-0.00034833i,0.00034754+0.00039133i,0.00022671+0.00044316i,-4.8837e-05+0.0001412i,0.00060459-0.00054981i,0.0010398-0.0011333i,-0.00015677-0.00048287i,-0.00080982-0.00060024i,-0.0006936-0.0012205i,-7.4409e-05-0.00066941i,0.0005635+0.00036623i,0.00030684+0.00035875i
-0.00053705+0.00019616i,0.00013917+0.00019216i,0.00026133-0.00090564i,0.00063212-0.0016693i,0.00091357-0.0010122i,0.00045405+0.00026819i,-0.00051138-7.9484e-05i,-0.00048816-0.00098174i,-9.2252e-05-0.00056442i,0.0001053+0.00038619i,0.00011281+0.00079249i,0.00019685+0.00048644i,0.00056918-0.00034933i,0.00058793-0.00097881i,-5.6946e-05-0.001035i,-0.00076011-0.00079121i,-0.00087022-0.00037587i,-0.00045509-0.00046089i,-0.00065112-0.0004935i,-0.00031496-0.000264i,0.00086275-0.00012331i,0.00055527+0.00021642i,3.5235e-05+0.00054934i
3.5154e-05-0.00038148i,0.00057039-0.00025417i,0.0019625+3.6782e-05i,0.0026755-0.00035666i,0.0015614-0.00067876i,-9.8425e-07-0.0011207i,-0.00082418-0.00083168i,-0.0011794+0.00033303i,-0.00041109+0.0012051i,7.6941e-05+0.0010956i,0.00076551+0.0010938i,0.0016274+0.00051322i,0.00098728+4.6015e-05i,-8.1413e-05+0.00076285i,-0.00099234+0.00093907i,-0.00064237+0.00042709i,-4.575e-05-0.00014287i,-0.00025812-0.00036013i,-0.00053827+4.7096e-05i,-0.0010116+0.00011129i,-0.00080482+0.00035233i,-0.00049359+0.00049207i,-0.00066678+0.00039018i
-0.0028151+0.00071747i,-0.0031725+0.0014372i,-0.0028277+0.0036682i,-0.00172+0.0041389i,0.00015497+0.0028932i,0.00024511+0.001493i,-0.00077182-0.00018405i,-0.00042395-0.0004119i,0.00030298+0.00070827i,0.00049545+0.00178i,0.0009926+0.0012415i,0.001153+0.00020522i,0.00053743-0.00019385i,-0.00023198+0.00028617i,-0.00073747+0.00054693i,-0.0005405-0.00017462i,-0.00032559-0.00081744i,0.00017405-0.0012367i,0.00053964-0.00050343i,0.00038001+0.00056172i,0.00015676+0.00035146i,6.331e-05-0.00033133i,0.00066115-0.0002786i
0.000952+0.0010912i,0.00097334-0.00038449i,0.0010369-0.0014172i,0.00082854-0.0012804i,0.00047175-0.0010812i,0.00031941-0.0015093i,-0.00032462-0.0016246i,-0.00068298-0.00087549i,-0.00072562+0.00029984i,-0.0003594+0.00067489i,0.0012563+0.00018201i,0.0012224-4.1509e-05i,-0.00036998+0.00015295i,-0.00034601+0.00016738i,-0.00010724-0.00027347i,-0.00041992+6.3222e-05i,-0.00044626+0.00012777i,-0.00036951-0.00049541i,8.9264e-05-0.00035725i,0.00014835-0.00023141i,0.00011498+0.00032309i,-7.5055e-05+0.000515i,-0.00028078-4.6151e-05i
0.00036848-0.00030902i,0.0012174-0.00055088i,0.001851-0.00015555i,0.0025353+0.00045092i,0.0021149+0.00031914i,3.0649e-05-0.00075911i,-0.0014488-0.0015052i,-0.00108-0.0012885i,8.8021e-05-0.00044056i,0.00019784-0.00014314i,-0.00020485-0.00048362i,-0.00036693-0.00062605i,0.00022747-0.00012293i,0.00049233+0.00082156i,0.00071888+0.00092442i,0.0013758+0.0011738i,0.00095316+0.0011926i,0.00036571+0.00067793i,0.00019121+0.00061875i,9.7612e-05+0.0012657i,-0.00020474+0.0018284i,5.908e-05+0.0011147i,0.0002585+0.00012114i
0.00089707+0.00046816i,0.00021105+3.384e-05i,-0.00090955-0.0010996i,-0.0012247-0.0012302i,-0.0013903-0.0012655i,-0.00097578-0.0022399i,0.00029145-0.0018436i,0.0010095-0.00024023i,0.00062007-0.0002682i,0.00065502-0.0011086i,0.00075183-0.0011016i,0.00082801-0.00041045i,0.00045596+0.00029886i,-0.0002524+0.00054727i,-0.00014234-9.0834e-05i,0.00028219-0.00010715i,0.00014242+0.00027301i,6.9963e-05+0.00015968i,0.00051736-0.00015265i,0.000862-0.00024939i,0.00084205+0.00036777i,0.00067604+0.00079018i,0.00014356+0.00018469i
-0.0003558+0.00011356i,0.0004373-0.00038269i,2.9188e-05-0.00018618i,8.9045e-05+0.00037983i,0.00068251-0.00035776i,-0.00025159-0.00076769i,-0.0013128-0.00048137i,-0.0015669-0.0003809i,-0.0011992+0.00038647i,-0.0011962+0.0013419i,-0.00062712+0.00042984i,0.0004978-0.00075272i,0.00066137-0.00039984i,0.00062662+0.00037135i,0.00041373+0.00071831i,-0.00031829+0.00052844i,-0.00054495+8.1711e-05i,5.5228e-05-7.4638e-05i,-7.5262e-05+7.8207e-05i,-1.1921e-06+0.00030212i,0.00082374+0.00042516i,0.00085887-0.00015669i,0.00069016-6.2499e-05i
-0.00089839+0.001802i,-0.00093067+0.0018558i,0.00084191+0.0013984i,0.0026087+0.00028934i,0.0013701+0.00031593i,0.00014804-0.0005587i,-0.00027333-0.0010616i,-0.00093276+0.00050429i,-0.00097263+0.0010172i,9.3976e-05+0.00052126i,0.0003502-0.00016848i,-0.00054628-7.1505e-05i,-0.00039324-9.2516e-05i,0.00023072+3.4348e-05i,-5.4321e-05+0.00076622i,-0.00070609+1.8113e-05i,-0.00042146-0.00041167i,-0.0002505+0.00013856i,-0.00062319+3.3644e-05i,-0.00094901-2.1847e-05i,-0.00097398+4.298e-05i,-0.00027184-0.00023089i,-7.2767e-05-8.6408e-05i
-0.0005028+0.00057462i,-0.00042546+0.001141i,-0.00053341+0.0011583i,-3.3872e-05+0.0011075i,0.0011189+0.00068739i,0.00098383+6.9538e-06i,0.00021567-7.0532e-05i,-8.4664e-05+0.00066397i,0.00017468+0.00066332i,0.00051349+0.0006898i,5.9356e-05+0.0013077i,-0.00022878+0.00088496i,-0.00013387-0.00021173i,-0.00042451-0.00034506i,-0.00084014+8.6239e-05i,-0.001207+0.00035236i,-0.001191+0.00039085i,-0.0011227+2.7065e-05i,-0.00089311+3.2319e-05i,-0.00050579-0.00033977i,-0.00013339-0.00044829i,-0.0001126+0.00028548i,-0.00032884+0.00033539i
0.00067708+0.00077124i,0.0014047-0.00058537i,0.0012426-0.0014576i,0.0011107-0.0010352i,0.0013518-0.00069744i,-0.00046629-0.00088989i,-0.0015382-0.00063557i,-0.0014067+0.00035661i,-0.00086932+0.00036698i,0.00021112-2.0357e-05i,0.00096656-0.00044311i,0.00089841-0.00038709i,0.00021112+7.7758e-05i,-0.00019869+0.00081942i,-0.00058377+0.00089015i,-0.00024218-0.00025728i,-0.00012369-0.00074961i,-0.00051252-0.00018766i,-0.00035243-5.6453e-05i,-0.00044219-6.8395e-05i,-0.00059891-3.4958e-05i,-0.00016686-2.1809e-05i,-0.00014442+0.00010556i
-0.0010693-0.0018982i,-0.0012985-0.00020093i,-0.0015424+0.00072843i,-0.00048208+0.00055095i,0.00039756+0.00085344i,-9.2185e-05+0.00056049i,-0.00070675-5.2224e-05i,-0.00062596-0.00011549i,-0.00050865-0.00047729i,2.7979e-05-0.00072763i,0.00093247-0.00044922i,0.00092336-0.00025778i,0.00040319+6.1249e-05i,0.00021935+0.00088536i,0.00045745+0.00078973i,0.00034908-7.1291e-05i,-5.8733e-05-0.0014267i,0.00065407-0.0017647i,0.0012566-0.000865i,0.00060456-0.00031664i,8.5189e-05-3.7094e-05i,0.00017892-0.00040669i,-1.6115e-05-0.00049725i
-0.00064695+7.4511e-05i,-0.00096567+0.00051014i,-0.0010685+0.00056413i,-0.00048014+0.00084482i,-0.00023166+0.00043857i,-0.0011266-0.0010899i,-0.0014609-0.0013444i,-0.00048227-4.278e-05i,0.00024859+0.00098195i,-0.00058409+0.00039434i,-0.00071602-0.00026554i,0.00082338-7.6289e-05i,0.0013755+0.00022975i,0.00077842+0.00025418i,0.00070479+0.00020651i,0.0006065+5.6287e-05i,0.00054791+0.00035609i,7.038e-05+0.0010241i,-0.00061262+0.00059285i,-0.00032177+6.9411e-05i,-1.1888e-05+2.5644e-06i,-0.0005196+0.00042941i,-0.00083438+0.00090258i
