0.00062887-0.00019348i,0.00063681-0.00066615i,0.0013793-0.0017631i,0.00042549-0.0029899i,-0.0024867-0.0027721i,-0.0042198-0.0010323i,-0.0036995+0.00079286i,-0.0018332+0.0013024i,0.00096521+0.0011841i,0.0015863+0.00088646i,0.00075642+0.00063899i,-2.6608e-05+0.00098761i,-0.00083739+0.0015362i,-0.00065116+0.0012233i,1.7647e-05+0.00036422i,4.3216e-05-0.00012115i,2.3377e-05-5.0012e-05i,-0.00020562+0.00061259i,-0.00077763+0.00044717i,-0.00094785-0.00067615i,-0.00026475-0.00041403i,-0.00054065+9.2656e-05i,-0.00067193-0.00013364i
-0.0006317-0.0002478i,-0.00040865+7.8289e-05i,-0.00041517+0.00010885i,-0.00095251-3.8108e-05i,-0.000836+0.00026056i,-0.0010944+2.1641e-06i,-0.0014373+6.7399e-05i,-0.00095481-0.00010874i,0.00030781-0.00037058i,0.00065141+0.00012817i,-0.00038233+0.00013452i,6.5896e-06+8.7447e-05i,0.00037317+0.0005062i,-0.00012528+0.00064977i,-0.00033216+0.00069207i,-0.00031334+0.00058553i,-0.0005003+0.00056359i,-0.00045687+0.0012028i,0.0003429+0.00079154i,0.00033299-9.5691e-05i,-6.3105e-05+0.00039017i,0.0001032+0.00065427i,-0.00021074+0.00033224i
0.0020361+0.0015151i,0.0029433-0.00037218i,0.0030264-0.0017596i,0.0031366-0.0025779i,0.0013551-0.0024745i,-0.0010251-0.0014679i,-0.0023695+0.00019359i,-0.0025999+0.00089525i,-0.0013344+0.00054168i,0.00021899+0.00057958i,0.00035419+0.00026764i,-0.00049894-0.00027941i,-0.00096399-0.0002129i,-0.00037253+0.0002334i,-1.3332e-05+0.00067966i,-0.00015684+0.00063559i,-0.00015074+0.0013163i,0.00010867+0.0014732i,-0.00036572+0.0010079i,-0.00097611+0.00089683i,-0.0004399+0.0010879i,0.00034019+0.00038861i,0.00040403-0.00021006i
-0.0019903-0.00029829i,-0.0013062-0.00032573i,-0.00081057-0.00019042i,-0.00039989+0.00072658i,8.918e-05+0.0021046i,0.00064967+0.0019982i,0.00015288+0.00010284i,-0.00054319-0.0016417i,-0.0005158-0.0018994i,-0.00024017-0.00059736i,5.126e-05+0.00016219i,0.0005791-0.00067322i,0.00089087-0.00062221i,0.0008723-0.0001031i,0.0004577-7.6973e-06i,0.00026428-1.0685e-05i,0.00027441-5.9492e-05i,3.3969e-05+4.7649e-05i,0.00013684-0.00046534i,0.00019836-0.00064616i,0.00055103-0.00014187i,0.00075796-0.00021919i,0.00025442+0.00018772i
0.00032872+0.00019458i,0.00083679+0.00015807i,0.0010915+0.0017731i,0.0012246+0.0018823i,0.00065897-0.00036873i,-0.00081858-0.0016291i,-0.0012514-0.0014307i,-0.00065809-0.00040503i,0.0005162+0.00070354i,0.00021993+0.00047073i,-0.0006344-0.0001044i,-0.00034372-0.0003732i,0.00030353+3.3075e-05i,0.00048784+0.00080841i,-0.00029743+0.00053387i,-0.00063824+0.00039331i,-0.00064393+0.0007192i,-0.00052969+0.00079045i,-0.00019902+0.00038118i,0.00049511-0.0001635i,0.00033328-0.00041095i,0.00029226-0.00045476i,0.00039802-0.00017426i
0.00037275+0.00064791i,0.00037758-0.0012i,0.00018782-0.0024525i,0.00027537-0.0029227i,0.00025088-0.0031513i,-0.0003913-0.0021747i,-0.0003725-0.00052906i,6.1656e-05+0.00068675i,-0.00050387+0.00067587i,-0.00038065-0.00044437i,6.653e-06-0.0012804i,-4.0078e-05-0.00093323i,-0.00035681-0.00019113i,-0.00077316+0.00017656i,-0.00055142+0.00019777i,0.00034853+0.00044287i,0.00061265+0.00052588i,0.00037483+0.00012614i,0.00012964-0.0001112i,-0.00017924-0.00039198i,-0.00057187-0.0002676i,0.00052275-0.00023035i,0.0013075-0.00021697i
-0.0012539+8.3827e-05i,0.00082971+0.001632i,0.0020537+0.0024021i,0.001947+0.0020261i,0.0011181+0.0012807i,0.0007976+0.00058233i,0.00013906-0.00023127i,-9.2426e-05-0.00023767i,0.00046646-5.4832e-05i,0.00069469+6.7685e-05i,0.00088492+0.00052785i,0.00081801-0.00029956i,-8.9247e-06-0.0019074i,1.8451e-05-0.0014904i,0.00036468-0.00025543i,-1.0184e-06-0.00048804i,-0.00016651-0.00026828i,-0.00026679+6.1081e-05i,8.9756e-05-0.00094738i,0.00053626-0.00075588i,0.00032443+0.00018921i,0.00048014+0.00013919i,9.0451e-05+9.0904e-06i
0.00089248-0.00059341i,0.00067626-0.0013458i,0.00044112-0.0020357i,-6.2558e-05-0.0023026i,-0.00087308-0.0021525i,-0.0016683-0.0014698i,-0.0017715-0.00057436i,-0.00056547+0.00033581i,0.00059895+0.0011944i,0.00063667+0.00066023i,-0.0001206+3.0764e-05i,-0.0011615+0.00026811i,-0.0010659+0.00056709i,-4.7953e-05+6.0695e-05i,0.00089838+0.00017539i,0.00093299+0.00053905i,0.00052323-0.00027464i,0.00061601-0.00020698i,1.4339e-05+0.00014356i,-0.00049813-0.00018521i,-1.499e-05-0.00048777i,0.00062836+1.5408e-05i,0.00032195+6.2609e-05i
0.001422-0.0011212i,0.00079925-0.0025978i,0.00049812-0.0024748i,0.00025593-0.0014342i,-0.00083673-0.0014601i,-0.0010654-0.00019961i,-7.9431e-05+0.00090444i,0.00017708+0.00042108i,0.00065137-0.00039251i,0.00049752-0.00089361i,-0.00036145-0.00097767i,-0.00024782-0.00044458i,-0.0002975-0.00036154i,-0.00059379+0.00012675i,0.00010328+0.00060594i,0.00013217-8.5838e-05i,8.3889e-05-0.00075606i,0.00028952-0.00033333i,-0.00025047-0.00015204i,0.00012036-0.00032716i,0.00038597-6.8017e-05i,0.00017712+1.6808e-05i,0.0002287+9.3487e-05i
-0.0004648+0.0016061i,-0.00035296+0.0023383i,0.00046253+0.0030674i,0.0016637+0.002378i,0.0019116+0.00045044i,0.00092463-0.00087288i,0.00031228-0.0014858i,-0.00020037-0.00044918i,-0.00046779+0.0010441i,-0.00079212+0.001314i,-0.00095253+0.00076785i,-0.00061486-7.8576e-05i,-0.00044696-0.00049967i,0.00023444-0.00026004i,0.00056385+0.00047804i,0.00014287+0.00033941i,-0.00043391-2.0422e-05i,-0.00020639-0.00078566i,0.00048236-0.0011368i,0.00018862-0.00052053i,0.00010308-2.5015e-05i,-0.00014725+0.00010118i,-0.00011687+0.00015212i
0.00031633-0.0011511i,-0.00067883-0.00068151i,-0.0019444-0.00071056i,-0.002562-0.0014926i,-0.0028803-0.00088755i,-0.0022088+0.00038668i,-0.00074708+0.00081805i,-0.00014036+0.00057712i,-0.00049796+0.00010068i,-0.00076591+0.00018746i,-0.0010037+0.00039482i,-0.0015978-3.2872e-05i,-0.001372-0.00012225i,-0.00037017+0.00016436i,0.00018327+0.00017618i,0.00047292+0.00020677i,0.00012647+6.5293e-05i,-0.00057976-5.7525e-05i,-0.00042153-8.8434e-05i,0.00013334-0.00020935i,-0.0002852-0.00046016i,-0.00046663-0.00034916i,0.00021078+0.00046814i
