-0.00072281+0.000242i,0.00040504-3.7317e-05i,0.001335-0.00087791i,0.0019541-0.0017422i,0.0013058-0.0014122i,-0.00078943-0.00056503i,-0.001747-6.796e-05i,-0.0011964+0.00042405i,-0.00082319+0.00052923i,-0.00044516+0.00045008i,-0.00013383+0.00063261i,0.00022823+0.00078197i,0.00072651+0.00067081i,0.00079269-0.00018831i,0.00055171-0.00023718i,0.00036917+0.00042691i,4.2634e-05+0.00022072i,-0.00058959+0.00056473i,-0.0012244+0.00059861i,-0.00059276-0.00035719i,-0.00022666-0.00097814i,-0.00018587-0.00044001i,-0.00046514+5.7691e-05i
0.00020938-0.00056274i,0.00065172-0.00088132i,0.0015248-0.00051559i,0.0021591-0.0010895i,0.0016309-0.0013048i,0.00050632-0.0011703i,-7.0205e-05-0.00061695i,-0.00069913+0.00055556i,-0.00067128+0.00067431i,-0.00017407+0.00042058i,1.05e-05+0.00051052i,0.00018747+0.00045022i,0.00025962+0.00022368i,-0.00055452-5.5615e-06i,-0.00023249-0.00054638i,0.00032698-0.00088448i,-0.00010413-0.00080245i,0.00053542-0.00020707i,0.00099786+0.00031864i,0.00027708-0.00011795i,0.0002182-0.00051973i,0.0011418-0.00085564i,0.00090221-0.00051755i
0.00095531+0.0016261i,0.0017978+0.00052091i,0.0028268-0.00020703i,0.0025738-0.001429i,0.0011306-0.0016666i,0.00015617-0.0010435i,-0.00068165-0.00055076i,-0.00078569+0.00052935i,-0.00012666+0.0010048i,0.00041206-2.3861e-05i,0.0009247-0.00023771i,0.0011416+0.00017624i,0.00045269+7.2592e-05i,-0.00087914+8.4684e-05i,-0.0012054+5.4482e-05i,-0.0004335-0.00016187i,0.00016017-0.00024275i,8.6461e-05-0.00048595i,0.00020818-0.00016326i,0.00073379+0.00066097i,0.00082562+0.00054557i,0.00014777+5.0548e-05i,-0.00092902-0.00021224i
-0.0023982-0.00071418i,-0.0010877-0.0010654i,7.1453e-05-0.0012032i,0.00036264-0.00084198i,0.00047827-0.00040317i,-0.00033322-0.00010927i,-0.00081787+2.4712e-05i,-0.00090733+8.5469e-05i,-0.0011031+5.9307e-05i,-0.00038025+0.00048987i,-8.415e-05+0.00074425i,-0.00070148-6.2168e-05i,-0.00047579-0.00076139i,7.7421e-06-0.00047643i,0.00020923-0.00020776i,-0.00017946+0.00031725i,-0.0004969+1.0869e-05i,-8.1422e-05-0.00044211i,-0.00012671-1.5079e-05i,-0.00045131+0.00031413i,3.5543e-05+5.3525e-05i,7.0334e-05+0.00012807i,-0.00015502+0.00064173i
0.00029601+0.0016718i,0.0017305+0.0015001i,0.0033752+0.0011865i,0.0035271+0.0013588i,0.0019343-8.0164e-05i,0.00033599-0.0012752i,-0.00041361-0.0011763i,-0.00034509-0.00102i,-0.00030155-1.8768e-05i,-0.00014296+0.00088648i,0.00024219+0.00060386i,7.8951e-05+0.00032462i,0.00029037+0.00026617i,0.00081082+0.0002767i,0.00086749+0.00069987i,0.0010209+0.00066051i,0.0010266-0.00040287i,0.00057694-0.0010143i,0.00055724-0.00081312i,0.0003638+4.3398e-05i,-0.00056726+0.00081994i,-0.00053587+0.00057411i,-0.00024617-0.00012484i
-0.0020875-0.001707i,-0.0018459-0.00080586i,0.00025357-0.00042825i,0.0012643-0.0011755i,8.9444e-05-0.00055319i,-0.00070237+0.00049655i,-0.00021642+0.00049292i,0.00050351+0.00036661i,0.00062773-0.00010846i,-0.00018598+0.00022596i,-0.00017649+0.00071377i,7.9513e-05+0.0001805i,-3.3113e-05+1.9801e-05i,7.7187e-05+0.0008714i,-0.00020262+0.0004254i,-0.00045138+9.3101e-05i,0.00017931+0.0009161i,0.00073197+0.00087141i,0.00024765+0.00074939i,-0.00010731+0.00099629i,-0.00033139+0.00036657i,-0.00035504-0.000112i,0.00062948-3.9923e-05i
-0.0018098-0.0014647i,-0.001564-0.0013076i,-0.00045425-0.0016416i,0.00048605-0.0012013i,-0.00031831+0.00010384i,-0.00065521+0.0014874i,-0.00024874+0.0010326i,-0.0002377-2.0139e-05i,-0.00060381+0.00020144i,0.00033158+0.00051408i,0.00073736+0.00077048i,0.00059493+0.0010316i,0.00088805+0.00063579i,0.0011765+0.00092234i,0.0012159+0.0012503i,0.00096257+0.00056441i,0.000191+0.00014916i,-0.00055922+0.00012551i,-0.00030201+0.00017448i,0.00039611+0.00018899i,4.1473e-05-3.8346e-05i,-0.00054522-0.00039828i,-0.00050252-0.00039244i
-0.00027726-7.9043e-05i,0.0013606-0.00021565i,0.0025098-0.00048748i,0.0027923-0.0017806i,0.0015344-0.0012057i,0.0001438+0.00060918i,-0.00015959+0.0005605i,7.7201e-05+4.2981e-05i,-0.00024678+0.0002739i,-0.00046942+0.00031401i,3.582e-05+0.00030594i,0.0005551+0.00030005i,0.00066256+0.00029964i,0.00023905+0.00060109i,-0.00034304+0.00034626i,-0.00044471-0.0003015i,-0.00010058-0.00027287i,0.00028208+0.00055626i,-0.00012579+0.0011737i,0.00017235+0.00090525i,0.00047684+0.0005331i,0.00014096-0.00052567i,0.00037499-0.00099571i
0.0016878-0.00057577i,0.0019305-0.00081483i,0.0024397-0.0011669i,0.0019311-0.001327i,0.0003788-0.0012259i,-0.00048783-0.00072094i,-0.00017469+5.104e-05i,0.00010074+0.00045136i,0.00019287-0.00020582i,-0.00068022-0.00064235i,-0.0011203-0.0012808i,-5.3077e-05-0.00095785i,0.0009306-0.00055265i,0.00081798-0.00028746i,5.3651e-06+0.00010219i,-0.00039319-0.00042841i,0.00031121-0.00073833i,0.00039768-0.00083959i,-0.0003817-0.00064816i,-0.00055617-0.00035543i,7.6098e-07-0.00016023i,0.00055129-0.00011666i,0.0010789+0.00063519i
0.00028819+4.0944e-05i,0.0012075+0.00073976i,0.0017393-0.00049155i,0.0013084-0.0017635i,0.00014436-0.0019344i,-0.00025801-0.001283i,-0.00032186-0.00088283i,-0.00072949-0.00065718i,-0.00028208-8.6056e-05i,0.00073304-0.00011248i,0.000694-0.00016025i,0.00043619+0.00032234i,0.0001832+0.00047406i,0.00020182+0.00067014i,0.00062651+0.00079672i,0.00032974+0.0005641i,0.00021022+0.00034499i,0.00045883+0.00034391i,0.00061511-0.00011861i,0.00023351-7.8193e-05i,9.5549e-05-0.00020595i,0.00019229-0.0005751i,-0.00011415-0.00047402i
