-0.0046981-0.00051243i,-0.0026826-0.001643i,-0.0040211-0.0001045i,-0.002913+0.0015706i,-0.00047982+0.002858i,-0.00034208+0.0027875i,-0.00060814+0.0015654i,-0.00015346+0.0012587i,-0.00018265+0.0017437i,0.0004025+0.0016904i,0.0018175+0.0011675i,0.0021638+0.00092902i,0.0009721+0.0011693i,0.00033987+0.00068454i,0.00067907+0.00010839i,0.0010841-0.00013262i,0.0011062-0.00030867i,0.00072805-4.335e-05i,0.00021197-4.5942e-05i,-7.8388e-05-0.00031636i,0.00042084-6.0903e-06i,0.0006376+0.00046564i,0.00068898+0.00012154i
-0.00080367+0.00017236i,-0.0015983+0.00063421i,-0.0019272+0.00015661i,-0.0020769+0.00032353i,-0.0012235+0.00092399i,4.7962e-05+0.00033022i,0.00029397-0.00039011i,-0.00036379-0.0010421i,-0.00024656-0.00139i,0.00058505-0.00069553i,0.00057437-1.6019e-05i,0.00029865-0.0002026i,3.5422e-05-0.00051746i,-0.00014367-3.1174e-05i,0.00065861+0.00044065i,0.00091581+0.00032089i,0.00050393+0.00067992i,8.2408e-05+0.00052247i,0.00017364-0.00017619i,-1.5323e-05+4.9691e-05i,-0.00053088+0.00096396i,-0.0002639+0.00070531i,-0.00036223-0.00043926i
0.00065538+0.00083415i,-4.299e-05+0.0001777i,5.7865e-05-0.00035788i,-0.000942-0.00083075i,-0.0015736-0.00013201i,-0.0014657+6.4166e-05i,-0.00084552+9.5712e-05i,0.00016914+0.0001022i,0.00076728-0.00016009i,7.7901e-05-0.00049278i,-0.00022637-0.0007206i,-0.00022501-0.00062754i,-0.0005543-0.00040388i,-0.00055274-0.00011705i,-0.00042603-1.4856e-05i,-0.00055445-0.00040111i,-0.00035111-0.00066232i,0.00026598-0.00012814i,0.00045922-0.00050041i,0.00023585-0.00057877i,-0.00013265-0.0005263i,-0.00051388-0.00067081i,-0.00014665-9.114e-05i
-0.00029868+0.0017554i,-0.00015276+0.00048426i,0.00036614+0.00059919i,0.0012733-0.00041716i,0.00085126-0.0011987i,7.1418e-05-0.00081207i,-0.00021773-0.00074395i,-0.00062921-0.00046054i,-0.00034407+0.00043334i,0.000418+0.00041812i,0.00057428+0.00027617i,0.00050799+8.3848e-06i,0.00089486-0.00050898i,0.00091855-0.00018812i,0.00056374+0.00023604i,0.00021115-9.8984e-05i,-0.00043934-0.00020364i,-0.0012234-1.0799e-05i,-0.0010085+0.00052753i,-0.00047884+0.00051618i,-8.9069e-05+9.5204e-05i,0.00023794+4.5151e-05i,0.00078207-0.00028835i
-0.00020096+0.00037411i,-0.00060848+1.6596e-05i,-0.0013236-0.00048115i,-0.0015888-6.853e-05i,-0.0012486+0.0005626i,-0.00072943-0.00044164i,-0.00033747-0.00056668i,-0.00034553-0.00023567i,-0.00057772+0.0001713i,-0.00053153+0.00053042i,-0.00083086+0.00028962i,-0.00081507+9.4056e-05i,-0.00036844-0.00024215i,0.00024731-0.00033455i,0.00062213+5.8259e-05i,0.00090843+0.00027874i,0.00081749+0.00035097i,0.00037776+0.00062906i,9.4272e-05+0.00039024i,-6.7478e-05-0.00022611i,-0.00047418+0.00023329i,-0.00077343+0.00070188i,-0.00019619-9.4761e-05i
-0.000282-0.00010532i,4.1813e-05+0.00030748i,-0.00053683+0.00057096i,0.00034072+0.0013514i,0.0013984+0.0010521i,0.0010644+0.00018938i,0.0006782-0.00054957i,0.00018522-0.00077744i,-4.2891e-05-0.00023764i,0.0012535+0.00080307i,0.001198+0.00088504i,0.0007765+0.00043014i,0.0011015+0.00037856i,0.00077482-0.00018004i,0.00043897-0.00042166i,0.00071395-0.00038986i,0.00083938-0.0004804i,0.00062721-0.00023245i,0.00077568-5.1975e-05i,0.00032174-0.00057822i,0.00018189-0.001305i,0.00028553-0.00098761i,6.2503e-05-2.5652e-05i
0.0020902+0.0029032i,0.0017789+0.0023815i,0.0012498+0.00032302i,0.00073098-0.00088865i,-0.00010516-0.001587i,-0.00042871-0.0015551i,-0.00041639-0.00026687i,-0.00057605+5.5138e-05i,-0.00030487-1.1412e-06i,3.8208e-05-0.00032213i,0.00019953-0.00054739i,0.00012678-0.00047557i,-0.00012237-0.00073982i,0.00022613-0.0010434i,0.00034455-0.00031687i,0.00011792+0.00014552i,-0.00040389+8.1515e-05i,-0.0006934-0.0003685i,-6.0885e-06-5.6758e-05i,0.0006881+0.00022132i,0.00029693-3.2666e-05i,-0.00025942+0.0007363i,-0.00088672+0.0011429i
0.0014353-0.00090547i,-4.3298e-05-0.00082783i,-0.0010126-0.0011729i,-0.0023139-0.00045725i,-0.0029573-5.8548e-05i,-0.0020234-0.00053423i,-0.0008781-0.00095076i,-0.00063106-0.00039712i,-0.00073311-0.00020761i,-0.0005567-0.0005599i,-0.00043037-0.00072213i,-5.6556e-05-0.00024329i,0.00012441+0.00035866i,-0.00056209+0.00035093i,-0.0010402+0.00059292i,-0.00037882+0.00084761i,-0.0004831+0.00054396i,-0.00069452-0.00032599i,-0.0003431-0.0003722i,-0.00036622-0.00022642i,-3.5283e-05-0.00069531i,0.00015992-0.00062416i,-0.00028568-0.00074802i
-0.00053619-0.00041114i,-0.00067295-0.0013536i,-0.00085416-0.0014073i,-0.0012628-0.00030809i,-0.00085605+0.00087724i,0.00021107+0.0013151i,-1.0236e-05+0.0005441i,-0.0006514+0.00060223i,-0.00031412+0.00042853i,-5.318e-05-0.00045448i,0.00059516-0.00056965i,0.0012352-0.00062872i,0.0008877-0.00095044i,-0.00032559-3.4915e-05i,-0.00075813+0.00038656i,-0.00074133-1.263e-05i,-0.00067317+0.00048248i,0.00046693+0.00069075i,0.00077969+0.0011175i,-0.00019527+0.0011366i,0.00010841+0.00058591i,0.00062642+0.00047856i,-1.0637e-05+0.00047722i
-0.0016965-0.00017128i,-0.0016516-0.00070986i,-0.00079211-0.00073477i,-0.00035961+0.00043504i,-0.00050827+0.00058939i,-0.00039095-0.00013172i,-1.9523e-05-0.0005952i,-7.5395e-05-0.00034805i,5.23e-05+0.00011967i,0.0002787+0.00053834i,0.00044711+0.00057518i,0.00072536+1.6516e-05i,0.00019083-0.0002552i,-0.00061822+0.00017065i,-0.00079374+0.00067023i,-0.00056524-4.01e-05i,-0.00037893+6.4599e-05i,-0.00010732+0.00055622i,0.00053713-0.00013275i,0.00071165-0.0001497i,0.00032269+0.00070646i,2.1949e-05+0.0011874i,0.00033809+0.00047309i
-0.00096099+0.00012773i,-0.00076621+0.00075737i,-0.00085892+0.00048618i,-0.00071654-7.3663e-05i,-0.00016801-2.3856e-06i,-0.00036237+3.416e-05i,-0.00050136-0.00068934i,-0.00050986-0.0007485i,-0.00078197-7.9522e-05i,-0.00062107+0.00027448i,-0.0007019+1.7987e-05i,-0.00063244-0.00013801i,-0.00025761+0.00043424i,0.00069842+0.00033949i,0.0017222-0.00016736i,0.0011662+0.00035418i,0.00011529+0.00059564i,-0.00068852-0.00018723i,-0.00031894+0.00010923i,0.00031391+0.00050353i,-0.00054574+0.00029715i,-0.00081642-0.00053701i,-0.00089408-0.00084238i
0.00078452+0.0017607i,0.00019717+0.0011502i,-0.00016422+0.00058557i,-0.00098799-0.00021776i,-0.00087161-0.00073928i,-0.00063017-0.0001336i,-0.00059245+0.0001691i,-0.0010178-7.9326e-05i,-0.00049352+0.00034582i,0.00059196-4.1521e-05i,0.00043087-0.00096088i,0.00074892-0.0013647i,0.0007204-0.00091362i,0.00077553-0.00072541i,0.0010415-0.00076671i,0.00070875-0.0010634i,0.00037809-0.0013321i,0.00033095-0.00088789i,0.00014954+0.00017391i,-0.00073095+0.00055302i,-0.0011901+9.9659e-05i,-0.00058595-3.7672e-05i,-0.00026141+9.4385e-05i
0.0015873-0.00067902i,0.00088601-0.0015116i,0.00059978-0.0012455i,7.0488e-05-0.00039625i,0.00011322+0.00027922i,0.00048255-8.7357e-05i,0.0005874-0.00052719i,0.00027572-0.00013162i,-0.00030988+0.00014263i,-0.00016333-0.00016776i,0.00031312-0.00044075i,0.00053373-0.00016267i,0.00013364-7.8493e-05i,0.00010227-0.00016962i,0.00015484-0.0001747i,0.0004163-7.3868e-05i,0.00035058+0.00079003i,-0.00040042+0.00071618i,-5.9811e-05-0.00012755i,0.00048044-0.00098503i,0.0003593-0.0015583i,-0.0003271-0.0010608i,-0.00086158-0.0009023i
0.0010336+0.0026401i,0.00025967+0.001271i,0.00045476-3.2198e-05i,-6.6736e-05-0.00081017i,-0.0006311-0.0015475i,-0.0013023-0.0008876i,-0.001363-0.0003891i,-0.00079578-0.00061347i,-0.00034088-0.00017234i,0.00034193-0.00037852i,0.00035288-0.00036862i,-6.3423e-05+0.00032907i,1.8136e-05+0.00070082i,0.00010649+0.0009546i,-0.00037904+0.00061877i,-0.0010314-0.00013597i,-0.00073159-0.00019101i,0.00014348+0.00013062i,-0.00039925-4.5022e-05i,-0.00069015-0.00020362i,-0.00040534+0.00011841i,4.5909e-05+0.00015571i,0.00062283+0.00014774i
0.0003923+0.00088876i,0.00014117+0.00046045i,-0.0008048-9.1076e-05i,-0.0016973-0.0001119i,-0.0016641-0.00020681i,-0.00069236-0.00032372i,-0.00023595-0.0011454i,-0.00053482-0.0014938i,-0.00059077-0.00054986i,0.00010595+0.00099464i,0.00031001+0.00089338i,0.00014301+0.00031009i,0.00046814+8.9487e-05i,0.00098636+7.045e-06i,0.0011556+0.00067361i,0.00069783+0.00086109i,7.9125e-05+0.0009932i,0.00050004+0.00095678i,0.00089754+0.00049i,0.00065767+0.00080957i,3.4145e-05+0.00074523i,-0.00037012+6.871e-05i,-0.00026187-0.00040354i
-0.00030957-0.00044033i,-0.00016419-0.00025431i,-0.00034284+1.4241e-06i,-0.00036043+0.00044398i,0.00012644+0.0011306i,0.00060394+0.00077437i,6.0582e-06-2.6933e-05i,-0.00052165+0.00012341i,5.0514e-05+7.9281e-05i,0.00044018+0.00014238i,2.1274e-06+0.00069773i,-0.00096439+0.00062738i,-0.0011367+0.00030738i,-0.00078418+0.00030975i,-0.00024639-0.00011956i,0.00044198-0.00043113i,0.00022684-0.0010001i,-0.00045278-0.00083712i,-0.00031041-4.9125e-05i,0.00024285+9.1237e-05i,0.00080512+0.00082677i,0.00050419+0.00091873i,-0.00044259+0.00021795i
-0.0020265-0.00031456i,-0.0011595-0.00057009i,-0.00064675-0.0012004i,-0.00043087-0.00064693i,-8.0139e-05-0.00026581i,0.00059955-0.0003759i,0.00058281-0.00024027i,0.00011386-3.2902e-05i,0.00060912-0.00023417i,0.00085671-0.00011026i,0.00036379+2.2601e-05i,0.00028555+0.00030615i,-0.00036814+0.00035133i,-0.00054553+7.452e-05i,-5.6715e-05-0.00026974i,-7.2888e-05-0.00087882i,3.127e-05-0.00054884i,0.00044889+0.00020679i,0.00047321+2.7148e-05i,-0.00029722+6.6653e-06i,-0.0011464+0.00062674i,-0.0014003+0.00059214i,-0.0012548-0.00026745i
-0.0013619+0.00086809i,-0.0012476+0.00095601i,-0.0012414+0.00093948i,-0.0012473+0.00027009i,-9.6481e-05-1.2852e-05i,0.00078685-0.00034086i,0.00025201-0.00045014i,-0.00046887-0.00074333i,0.0004429-0.0011729i,0.0013096-0.00060603i,0.001059+9.4042e-05i,0.00062952+2.5327e-06i,0.00013166-3.0904e-05i,3.9804e-05+0.00059396i,0.00030741+0.00081547i,0.00017201+0.00029644i,4.0821e-05+0.00030069i,8.6587e-05+0.00018813i,-0.00034247-0.00090397i,-0.0010408-0.0011853i,-0.0011794-0.00042212i,-0.0001849+0.00010162i,0.0001636-6.3429e-05i
0.001938+0.0014188i,0.00086048+0.00052159i,0.0011364-0.00083674i,0.00016902-0.00082909i,-0.00025809-0.0001968i,-0.0003278-0.00076293i,0.0003906-0.0013452i,0.0011506-0.0013348i,0.00066629-0.0004104i,6.0665e-05-8.299e-05i,-0.0002132+0.00016651i,-0.0005692+0.00016066i,-0.00065216-0.00051036i,-0.00042636-0.00072684i,-7.316e-05-0.00090328i,-9.0075e-05-0.00071354i,-0.00024898+0.00021584i,0.0001508+0.00030709i,0.0007707-0.00030102i,0.00035915+0.0001251i,1.739e-06+0.00010972i,0.0001479-0.00093572i,-0.00060173-0.00070118i
-0.00018396+6.9345e-05i,-0.00034335-0.00085677i,-0.00059887-0.0014137i,-0.0014149-0.00076133i,-0.0017596-0.00050788i,-0.0011006+0.00041897i,-0.0001078+0.00054488i,0.00073585+0.00018495i,0.0011141+0.00035601i,0.00021891-0.00039579i,-0.00094647-0.00046679i,-0.00075251+0.00027966i,0.00024592+0.00068411i,-0.00015888+0.00091443i,-0.00084923+7.9392e-05i,-0.00071968-0.00044633i,-0.00048782-0.00010853i,-6.6436e-05-4.0586e-05i,-0.00056445-0.00065529i,-0.00076867-0.0011096i,0.00020057-0.00042284i,-6.1327e-05-0.0006165i,-0.00018188-0.00071931i
0.00032354-0.00010777i,0.00017972+5.5046e-05i,0.00016308+0.00041835i,0.00073971+0.0012885i,0.0011538+0.0019949i,0.00077831+0.0012818i,0.00073538+0.00063265i,0.00070212+0.00047502i,0.00028121+0.00015362i,-0.00025028+7.792e-05i,0.00043676+7.8165e-05i,0.00094168+8.4655e-05i,0.00015607+0.00040471i,3.5831e-05+0.00032816i,0.00030459-1.2164e-05i,-9.9109e-05-0.00013714i,-0.00038894+0.00020894i,9.6233e-05+0.00066135i,0.00022387+0.00035705i,-0.00051964-0.00010688i,-0.00065275+7.8437e-05i,-0.00015165+0.00040777i,0.00038364+0.00045998i
-0.00097074+0.0021178i,-8.9161e-05+0.0015208i,-0.0003402+0.0014474i,-0.00065323+0.00010195i,-0.00021204-0.0012i,6.9732e-05-0.0017645i,-0.00016365-0.0020027i,-0.00047119-0.00067925i,-0.0004671-3.3286e-06i,-0.00058302+2.0718e-05i,-0.00036635+5.2829e-05i,0.00018958+4.197e-06i,-0.00040611-7.6339e-05i,-0.00079057-0.00051371i,-0.00071057-0.0013441i,-0.0009456-0.00069791i,-0.0012631-0.00013231i,-0.00094616-0.0002246i,-0.00080621-0.0004204i,-0.0010242-0.00026873i,-0.00052474+0.00014287i,0.00036276+3.0785e-05i,0.00069705+2.3882e-05i
-0.00057674-0.0014859i,-0.00077867-0.00059615i,-0.0011335-0.00054396i,-0.0012905-0.0002957i,-0.0013244+0.00055341i,-0.0012238+0.00058567i,-0.00063369+0.00013263i,-0.0004168-2.8341e-05i,-0.00042599-9.8036e-05i,-4.3069e-06+0.00019854i,-6.0659e-05+0.00055387i,-0.00015087+0.00022788i,0.00019365+8.866e-06i,6.1933e-05+0.00022826i,-0.00015879+0.00023626i,-0.00032698-0.00024911i,-0.00070982-0.00044942i,-0.00047476-0.00020563i,0.00010683+9.6371e-05i,-0.00025618+0.00051367i,-2.6965e-06+0.00045968i,-0.00014072+0.00015714i,-0.0005532-0.0002466i
-0.00046015-0.002412i,-0.0014087-0.0018922i,-0.0019366-0.00095524i,-0.0017671+0.00089706i,-0.0016466+0.0019239i,-0.00098998+0.0014279i,0.00013935+0.00019296i,0.00057211-0.00034606i,3.2307e-05+1.3164e-06i,-0.00018896-2.1444e-05i,0.00064035+0.0010284i,0.0010235+0.0015109i,0.0010081+0.00065499i,0.00034803+0.00053691i,-0.00054464+0.00018145i,-0.00052657-0.00016979i,2.0414e-05-0.00017371i,-5.2439e-07-9.1774e-05i,-0.00014766+0.00034527i,9.2793e-05+0.00047595i,-0.0001097+0.00043324i,-0.00023326+0.0011001i,0.00013078+0.00096348i
0.0010667+0.00028757i,0.00051412+0.0010775i,0.00065827+0.0016338i,-0.00034369+0.0011414i,-0.00093503+0.00035426i,-0.00045426+4.9064e-05i,-0.00057686+0.000335i,-0.00085639+0.00037746i,-0.00054922+0.0001409i,0.00020984-2.2514e-05i,0.00048652-0.00012888i,-0.00011914-9.3149e-05i,-0.00067624-0.00033288i,-0.00050868-0.0010869i,-0.00059504-0.0011333i,-0.00016943+0.00014731i,-0.00023995+0.0006661i,-0.00077269+0.00055099i,-0.00030319+0.00061996i,0.00025386+8.1578e-05i,0.0003787-0.00032814i,0.00067008-0.00024096i,0.0011674+0.00029511i
0.00072742-0.00010383i,0.0007282-9.7595e-05i,0.00023164-0.00058001i,-0.00018925-0.00052682i,-0.00022673-0.00044486i,-0.00040897-0.00059237i,9.5106e-06-0.00084403i,-0.00010555-0.0009931i,-4.429e-05-0.00085067i,0.00026744-0.0010223i,0.00020986-0.00081923i,0.00014081-0.00032301i,-0.00021637+9.2441e-05i,-0.00052078-0.00058807i,-0.00046509-0.00073513i,-0.0005117+1.1146e-05i,-0.00088739+0.000174i,-0.0001369-0.00010638i,0.00062102-0.00047544i,0.0002856-0.00022448i,0.00013638+0.0002085i,0.00011566+0.00014778i,0.00015486+0.00041636i
-0.0003198-0.00064316i,-0.00051722-0.00045998i,-0.0011143-0.001543i,-0.0014596-0.0014102i,-0.0011693+2.684e-05i,-0.00034586+0.00046244i,0.0005045+0.00012918i,0.0006435+0.0003363i,-1.6411e-05+6.3632e-05i,0.00010454-4.4532e-05i,0.00066079+0.00013533i,0.00070324+0.0005626i,-0.00020307+0.0006952i,-0.0012034+0.0002466i,-0.0011285-7.9314e-06i,-0.00088764+2.4931e-05i,-0.0007383-8.6723e-05i,0.00019091-0.00043037i,0.00035039-0.00048672i,1.129e-05-0.00046399i,-0.00013408+0.00016931i,-0.00023322+0.00055928i,-0.00031401+0.00045997i
0.0010164-0.002451i,0.0010109-0.0012857i,-0.0002289-0.001224i,-0.0017237-0.0010951i,-0.0023391-0.0003446i,-0.0011751+0.00026216i,0.00099251+0.00088032i,0.0015046+0.00044202i,0.00083504-0.00063283i,-0.00032147-0.0009054i,-0.0013907-0.00094858i,-0.0012459-0.00072776i,-0.0007039-1.3967e-05i,-0.00026074+0.00069508i,8.0085e-05+0.00092367i,-0.00033043+0.00055473i,-0.00037193+6.2725e-05i,0.00027616-4.3867e-05i,-0.00044355+0.00010459i,-0.00060697+0.00041235i,0.00049918+0.00046312i,0.00013191+0.00052095i,-0.00049309+0.00065988i
-0.0001182+0.00064344i,-6.2858e-05+0.00087573i,-0.0009783+0.00036608i,-0.0015115+0.00061176i,-0.0015237+0.0015297i,-0.0012344+0.00086118i,-0.001304-0.00026625i,-0.00080602-0.00058617i,-0.00011918-0.00043218i,0.00042283-0.00015944i,0.00053198+0.00049422i,-0.00021867+0.00093758i,-0.00079017+6.4294e-05i,-0.00086913-0.001314i,-0.00056685-0.0013625i,-0.00013994-0.00033518i,-1.6721e-05-0.0001084i,0.00019968-0.0005915i,0.00031298-0.00053171i,-0.00033637+0.00028793i,-0.0011091+0.00044262i,-0.00044422+0.00021787i,-0.00013551-0.00016376i
-0.0014861+0.00165i,-0.00076324+0.00059018i,-0.00043607+0.00017265i,-0.00044101+0.00050206i,-0.0003607+0.00054197i,-6.3505e-05+0.00061924i,-0.00012628+0.00015187i,-0.00044226-0.00064191i,-0.00029662-0.0004526i,2.2745e-05-0.00023896i,0.00044927-0.00026416i,0.00056022-3.0234e-05i,0.00010033-9.608e-05i,0.00038141-0.00013203i,0.00069458-0.00023579i,-0.00015716+3.7241e-05i,-0.00053088+0.00035201i,-0.00020895-2.8188e-05i,-0.00073146-0.00012877i,-0.0013038-0.00017266i,-0.00085285-0.00027502i,-0.00011237-0.00016112i,-0.00066405-0.00011915i
-0.00047784+0.0018356i,-0.0007471+0.0014572i,-0.00026211+0.0013505i,0.00046411+0.0010016i,-3.4474e-05+0.00055559i,-0.00018226-0.00044377i,-7.3999e-05-0.00081321i,7.4093e-05-0.00035065i,0.00037745-0.00028306i,0.00038297+8.0941e-06i,0.00061581+0.00047759i,0.00054212+0.00013926i,1.0747e-05-1.8948e-05i,-0.00057432-0.00027372i,-0.00042558-0.00033752i,0.00060409-0.00058068i,0.0009917-1.4926e-05i,0.00081682+0.00052704i,2.5067e-05-0.00010952i,-0.00049772-0.00038394i,-0.0003876+2.1378e-05i,-0.00031608+0.00065613i,-0.000309+0.00064662i
0.00031938-0.0018309i,-8.214e-05-0.0014178i,-0.0014547-0.00070123i,-0.0021126+0.00039932i,-0.0010187+0.0010512i,0.0002905+0.0011826i,0.00087858+9.3092e-05i,0.00033166-0.00050019i,-0.00028033+4.4557e-05i,-0.00080334-0.00024353i,-0.00044965-0.00097999i,0.00024797-0.00071961i,0.00038582-0.00035129i,6.383e-06+0.00014751i,-7.1306e-05-0.00012941i,0.00023352-0.00063565i,7.5291e-05-0.00082459i,3.5259e-05-0.00097975i,0.00022408-0.00087573i,0.00012222-0.00089098i,0.00014754-0.0010562i,0.00019883-0.00071839i,-0.00022413+0.00038918i
