-0.00082735-0.00051855i,-6.5562e-05-0.00040818i,0.00026169+9.9612e-05i,0.00046519+0.0011492i,0.0008458+0.0013656i,0.00061346+0.0005495i,0.00097832+0.00039051i,0.0007523+0.0001046i,0.00049907+0.00022685i,0.0005849+0.00048249i,0.00018482+0.00010457i,-0.00042015-0.00010459i,4.6416e-05+0.0002963i,0.00087289+0.00062163i,4.3913e-05+9.801e-05i,-0.00036927+3.0429e-05i,-0.00072192+0.000281i,-0.00047404-8.5145e-05i,0.00023638-0.00024344i,-0.00044134-0.00011334i,-0.00083942+8.2593e-05i,0.00010149+0.00032799i,0.00044188+0.00045095i
0.0017092-0.0020487i,0.0012472-0.00064475i,0.00053447-0.00056193i,-0.00036444-0.00047379i,-0.00078341-0.00031783i,-0.00085589-0.00023153i,-0.00061013+0.0003728i,-0.00013776+0.00077658i,0.00012263+0.00019085i,3.7541e-05-0.00052116i,0.00042128-0.00020151i,0.00096303+0.00027145i,0.0017388+9.8661e-05i,0.0015406-0.00047895i,0.00031607-0.00054035i,-0.00039364+6.7692e-06i,0.00017545+0.00057567i,0.00029509+0.00040575i,-0.00028708+0.00053638i,-0.00037606+0.00068928i,-7.4456e-05+0.00028722i,0.00018767-2.0098e-05i,0.0003703-0.00027319i
0.00076633+1.8278e-05i,0.00029282+0.00085633i,0.0010985+0.0010547i,0.0018866-2.8907e-05i,0.0015107-0.00047985i,-0.00019913-0.00023927i,-0.0011524+5.4615e-05i,-0.00038727-0.00054763i,0.00040786-0.00097588i,6.6931e-05-0.0006754i,-0.0003413-0.00041731i,-0.0004381-0.00054788i,-0.00060969-0.00018159i,0.00018486+0.00030611i,0.00050939+0.00049623i,-0.0004338+0.00072268i,-0.00056794+0.00050939i,0.00028329+0.00023445i,-7.5043e-05+2.7757e-05i,-0.00015586-0.0001895i,0.00039894+0.00031355i,0.00021198+0.0014718i,-0.00018646+0.0020336i
-0.00064434+0.0016347i,-0.00062571+0.0015289i,-0.0006463+0.00043788i,-0.00013398+0.00040694i,0.00039446+0.00023947i,0.0011776+0.00020891i,0.0010803+0.00030383i,-0.00019475+0.00024487i,-0.0006073+0.00012947i,-0.00046799-0.00023021i,-0.00013196+0.00012213i,0.00040329+0.00067312i,0.00032436+0.00041612i,-0.00026589-0.0001719i,0.00022517+0.000175i,0.00029983+0.00030148i,-0.00053002+0.00034757i,-0.00020428+0.00074557i,0.00059214+0.00024792i,0.00057595+0.00022529i,-7.7724e-05+0.00081782i,-7.4357e-05+0.00061705i,0.00043828+0.00016816i
-0.0023621-0.00043494i,-0.0011501+0.00089676i,-0.00029493+0.0004143i,0.00048235-6.0807e-05i,0.00016509-6.9506e-05i,-6.8933e-05+0.00022628i,-0.00013694+0.00021223i,-0.00020659-0.00073953i,0.00015841-0.00066986i,0.00081799+0.00042595i,0.00091458+0.00070834i,-4.6298e-05+0.00014101i,0.00014763-0.00026713i,-2.0977e-05+0.00022156i,-0.00030894+0.000222i,-0.00022942-0.00034788i,-0.00069638-0.00034502i,-0.00018435-8.6921e-05i,0.00050782+0.00025234i,0.00025089-0.00023906i,-0.00023763-0.0010111i,-0.00056373-0.00013138i,-2.2344e-05+0.0010396i
0.0026404-0.00032003i,0.0020758-0.00047824i,0.0016526-0.0005176i,0.00074039-0.001252i,-0.00031489-0.0012567i,-0.00067275+0.00025185i,-9.8625e-05+0.00077725i,0.00014724+4.1198e-05i,-0.0002064-0.00057378i,-8.0198e-05-0.0004478i,-0.00033174-0.00016845i,-0.00020565-0.00051957i,0.00016753-0.0004686i,7.6195e-05-0.00043461i,-0.00046751-1.6865e-05i,-0.00069236+0.00029484i,-0.00089987+0.00047816i,-0.00066677+0.00056444i,-3.968e-05-0.00021788i,0.00034286-0.00046048i,-0.00031529-0.0010786i,-0.00053347-0.00078972i,-0.00053012+2.6163e-05i
0.00023246+0.00098363i,0.001496+0.00020534i,0.0013097-0.00042837i,0.00066048-0.00029686i,-0.0004186+0.0002334i,-0.0010165-0.00024981i,-0.00022914-7.369e-05i,0.00045614+0.00023023i,0.0007332+0.00016092i,0.00090088+0.00036039i,0.00090003+0.00044708i,0.00071344+0.00012397i,0.00036842-0.00080493i,4.8779e-06-0.0012289i,-0.000266-0.00048923i,-0.00053296+0.00079684i,-0.00039014+0.0011658i,1.5617e-05+0.00034003i,0.00038121+0.00023759i,0.0003134+0.00011881i,0.0001753-9.759e-05i,0.00024494+0.00053078i,0.00043086+0.0001572i
-0.0012435-0.00068194i,-0.00070631-0.00017376i,0.00037771-7.3444e-06i,7.9364e-05-0.00025968i,-0.00028282-0.00088408i,-3.1072e-05+0.00015486i,0.00043464+0.00075514i,0.00061804+0.00041081i,0.0001939-0.0001305i,0.00031986-0.00024949i,0.0006229+3.825e-05i,0.00031017+0.00026709i,-0.00032108+0.00039959i,-0.00035493+0.00032811i,-0.00017115-2.6879e-05i,-0.0006981+0.00017909i,-0.00081612-0.00031108i,-0.00048745-0.00088426i,2.983e-05-0.00094356i,-9.333e-06-0.0004249i,-0.00064104+0.00038826i,-0.00045848-3.7048e-05i,-6.0583e-06+0.0001468i
0.0018814+0.00012198i,0.0015909-0.00019458i,0.0014514-0.0015702i,0.0009617-0.0012743i,0.00093613-0.00036346i,0.00051187-0.00046522i,9.4574e-05-0.0009137i,0.00030952-0.00086041i,0.00094119-0.00054776i,0.00089512-0.00034028i,0.00090891-0.00029463i,0.0010412-0.00051548i,0.0010634-0.00057315i,0.0013046-0.00072141i,0.00077616-0.00015292i,-5.0416e-05+0.00063313i,-0.00043675+0.00016754i,-0.00037564-0.00038188i,-0.0002902-0.00071135i,-0.00031075-0.00047183i,0.00030035+0.00060708i,0.0012224+0.0011876i,0.0017801+0.00079353i
3.6689e-05+0.00048264i,-0.00022678+0.00099789i,0.00029424+0.0015986i,0.00024841+0.000352i,0.00024746-0.00087267i,0.00021034-0.00030431i,0.00040845+7.8964e-05i,0.0003729+0.00040865i,-9.4387e-05+0.00044503i,-0.00011781-5.3105e-05i,0.00028595+8.6517e-07i,0.00043507+0.00038921i,0.00036651+7.5401e-07i,0.00010146-0.00043992i,5.2282e-05-0.0013798i,0.00046509-0.0018745i,0.00041066-0.0014028i,2.9533e-05-0.00028048i,-0.00030657+0.00058937i,-0.00033587+0.00081918i,-0.00044816+0.00045913i,-0.0001912+0.00017497i,2.6989e-06-0.00014063i
