-0.002911+0.0011058i,-0.0025107+0.0015908i,-0.0021606+0.0035555i,-0.00072025+0.0030476i,0.00065339+0.0026496i,0.0012135+0.0030626i,0.00084157+0.0026201i,0.0013364+0.00083526i,0.0017971-0.000163i,0.00099592-0.00061007i,0.00068728-0.0010413i,0.00059094-0.0012322i,-0.0003695-0.00054509i,-0.00080134-0.00037264i,0.00082082-0.0011224i,0.00096199-0.0009553i,-0.000381-0.0003723i,-0.00034185-0.00019007i,0.00026108-0.00046235i,0.00061395-0.00041999i,0.0009398-0.00039158i,0.00068757-0.0007784i,0.00012702-0.00088661i
0.00046874-0.00057628i,-0.00016968-0.00041811i,0.00014668-0.00089894i,0.00094916-0.00091446i,0.00087125-0.00090562i,-0.0001507-0.00016138i,-1.3568e-05+0.0011504i,0.00029836+0.001585i,0.00034257+0.00091384i,0.00036284+7.5254e-05i,8.0661e-05-0.00062885i,-0.00038852-0.00043605i,-0.00074212+0.00027437i,-0.00086067+0.00091169i,-0.0010369+0.00096712i,-0.0010419+0.00020233i,-0.00069227+0.00061452i,-0.00014627+0.00063092i,5.4191e-05-0.00038808i,0.00055083-0.00061497i,0.0014091-0.00090536i,0.0014353-0.00051457i,0.00022021+0.00091714i
0.00046993-0.00042701i,0.00019828-0.00065996i,0.00033742+0.00048236i,0.00065719+0.0018571i,0.00091425+0.0021223i,0.00051885+0.0024285i,0.0005338+0.0020853i,0.00060842+0.001479i,0.00025644+0.0012695i,-2.6766e-06+0.001133i,-0.00052154+0.0010251i,-0.00065671+0.00083302i,-0.0001039+0.00077887i,0.00021442+0.00067442i,0.00032914+0.00013103i,0.00019253-0.00029473i,-0.00030257+0.00024539i,-0.00038073+0.00066396i,-8.9488e-05-0.00010526i,2.9054e-05-0.00053299i,-0.00021712-0.00067008i,-0.0010496-0.0010326i,-0.0013838-0.00085289i
0.00042376+0.001028i,0.0015848+0.0022997i,0.0017591+0.0018247i,0.0015662+0.0015689i,0.0012505+0.0020425i,0.00098266+0.0014788i,0.00065378+0.00040049i,0.00097323+0.00039123i,0.00052384+0.0011394i,-0.00051935+0.00077767i,-0.00087398-0.00021932i,-0.00045518-0.00059312i,0.0003071-6.9002e-05i,0.00025967+0.0002911i,-0.00011116+0.00053018i,-0.00010277+0.00075527i,-0.0011114+0.00023063i,-0.0011842-0.00041925i,0.00018986-9.8785e-05i,-0.00011683+0.00030142i,-0.00082761+0.00028376i,-0.00023139+6.7093e-05i,7.4724e-05-0.00022004i
-0.00030914+6.8496e-05i,2.2245e-05+0.00024204i,0.00017656+0.00049085i,0.00029539+0.00051059i,0.00069213+0.0014447i,0.0003137+0.0022516i,-0.00017641+0.0017761i,0.00074969+0.001383i,0.0011644+0.00093117i,0.00014935+0.00027544i,-0.00045102-2.2401e-05i,-7.3908e-05+0.00060657i,0.00065575+0.0010839i,0.0011286+0.0008487i,0.00077151+0.00051706i,-0.0002167-0.00055029i,-0.00051489-0.00071417i,6.1927e-05-0.00043207i,0.00012438-4.4099e-05i,-0.00032354+0.00048552i,-0.00065009+0.0010307i,-0.00043199+0.00097351i,0.00013578+0.0006801i
-0.00078067+0.00045741i,-0.00071358+0.00093276i,8.3964e-05+0.00097036i,0.0005276+0.0021958i,0.00072603+0.0033764i,0.0018796+0.0025193i,0.0022363+0.00057489i,0.0011825+0.00060506i,-0.00030198+0.001195i,-0.00089638+0.00022696i,-0.00044846-0.00054438i,7.7548e-06-0.00010339i,0.00018828+0.00013587i,5.8276e-05-7.3233e-05i,-0.00075785-5.6095e-05i,-0.0011656-0.00028823i,-0.0009698-0.00097927i,-0.00036079-0.00069254i,0.00036334-0.00082915i,0.0013112-0.0008303i,0.0010859-5.1321e-05i,0.00069612-0.00028094i,0.0010167-0.00093209i
-0.0018114+8.3453e-05i,-0.00042424+0.0013888i,0.0011396+0.0028262i,0.0017434+0.0028968i,0.0018794+0.0016782i,0.0018896+0.00084727i,0.0011827+0.00019376i,0.0004781-0.0011486i,-0.00019697-0.001628i,-0.00083855-0.0010639i,-0.00040001-0.00061159i,0.00048585+7.2158e-05i,0.00050097-0.000115i,0.00028669-0.00077714i,0.00070396-0.000218i,0.00069428+0.00013015i,1.1813e-05+5.3048e-08i,-0.00044458+0.00010258i,-0.00023814-0.00029288i,0.0004101-0.00057266i,0.00070676+0.00026i,0.00012143+0.00055408i,-0.00016513-3.0004e-05i
0.0010134-0.0023702i,-0.00067627-0.0019899i,-0.0019932-0.00022551i,-0.00075461+0.0015316i,0.00071273+0.00262i,0.0017005+0.0022305i,0.0027019+0.00099161i,0.0023877-0.00032785i,0.0014025-0.00023558i,0.00083657+0.00032172i,0.0006969+0.00023108i,0.00070646-9.4355e-05i,0.00075799-0.00040852i,0.0014391+0.00033085i,0.0013776+0.0010115i,0.00057128+0.00088802i,0.0002525+0.0005221i,0.00086671-0.00055878i,0.0012709-0.00090832i,0.00056207-8.3496e-05i,-4.9396e-05+0.0003377i,7.7834e-05+0.00042793i,0.00070739+1.6674e-05i
0.0016392+0.0027799i,0.0022927+0.0033036i,0.0023572+0.003381i,0.0016408+0.0022693i,0.00117+0.0013206i,0.00092079+0.00081336i,9.6847e-05-0.00023508i,-0.00041287-0.00084942i,7.135e-05-0.00066267i,0.00030263-9.5318e-05i,-9.0294e-05+0.00067958i,-7.6871e-05-4.6723e-05i,-2.2856e-05-0.00082973i,-0.00035606-0.00015615i,-0.0002162-0.0002542i,-0.0001735-0.00030134i,-0.00064541-0.00011755i,-0.00016789-0.00092161i,-0.00022449-0.0012971i,-0.00076632-0.00064022i,-0.00017411-0.00020871i,0.00087653-0.00032643i,0.00030966-0.0001395i
-8.8223e-05+0.0004999i,0.00067419+0.00045936i,0.0016661+0.0011135i,0.001873+0.0023541i,0.0010436+0.0022727i,0.00045743+0.0013385i,0.00035401+0.0010295i,0.00043571+0.00017555i,0.0002513-0.00035279i,0.0001988-0.00077684i,0.00033919-0.00082055i,-0.00035915+9.7845e-05i,-0.00020891+0.0003755i,0.00017672+0.00029071i,0.00033225-9.5127e-05i,0.00072531-1.8365e-05i,0.0011929+6.4784e-05i,0.0015867+0.00029396i,0.001199+0.00045136i,0.00058205+0.00054443i,-0.00037616+0.00025482i,-0.0010313-0.00070627i,-0.0010774-0.0004858i
-0.002438-0.0010736i,-0.0017485+0.00047255i,-0.0010187+0.0021716i,0.00094874+0.002244i,0.0024723+0.0021014i,0.0023764+0.0016715i,0.0019331+0.00020446i,0.0011176-0.00042622i,-0.00066458+4.6e-05i,-0.0014071+0.00014019i,-0.00057047-0.00049709i,8.8906e-05+7.077e-05i,0.00097477+0.00028429i,0.0012515-0.00017811i,0.0004492-0.00017331i,0.00011529-0.00029971i,0.00032088-0.00014994i,-0.00026239+7.1015e-05i,-0.00054268-0.00019809i,0.00070048-0.00021201i,0.00067399+0.000668i,-7.6124e-05+0.00051547i,0.0004734-0.00038301i
0.0024744+0.00035783i,0.0019097-0.00024469i,0.0029358-0.00041786i,0.0024336-0.00027127i,0.00061042+2.7679e-05i,-0.00031454+0.00039498i,9.6251e-05+0.00014588i,0.00064898+0.00060689i,0.00026383+0.0010595i,-9.2254e-06+9.3974e-05i,0.00021893-0.0007423i,2.967e-05-0.00077536i,0.00025358-0.00038388i,0.00049692+9.6999e-05i,-0.00072609+0.00043668i,-0.00077271-0.00047626i,0.00021441-0.001016i,0.00020898-0.00065814i,0.00077357-0.00050043i,0.0012681-0.00093549i,0.00049606-0.0003558i,-0.00055931+0.00079807i,-0.0003829+0.00058871i
0.00013669-0.00049363i,-0.0010614+0.0014589i,-0.00012389+0.0026578i,0.0012682+0.0017761i,0.0015774+0.0021637i,0.0015116+0.0019654i,0.0014435+0.0009907i,0.00082572+0.00075446i,0.00094787+7.4543e-05i,0.00083796-0.00057311i,0.00018388-0.0010711i,-0.00028793-0.00096418i,-0.00059385-0.0003466i,-0.00071837+0.00046126i,-0.00067164+0.00024989i,-0.00056194-0.00069779i,-0.00066461-0.0006694i,0.00016633+0.00030837i,0.00075098+0.00070429i,0.00034715+0.00075956i,0.00028399+0.00030621i,0.00036401-0.00081599i,0.00025434-0.00075234i
-0.0012536-0.00081675i,-0.00057204-9.5457e-05i,0.0014349+0.00086154i,0.0023653+0.001728i,0.0024083+0.0022548i,0.0024372+0.0014901i,0.0013856+0.0002222i,-0.00012648-0.00042767i,-0.00046171-0.00022329i,-0.00022501+0.00034156i,-0.00036326+0.00029974i,2.0389e-05-0.00041882i,0.00065826-0.00027429i,0.00086406-0.00027895i,0.0011606-0.00069088i,0.001298-0.00038686i,0.00041827-0.00036644i,-0.00062809-0.00073673i,-0.00050901-0.00159i,0.00048703-0.0013564i,0.0011189-0.000123i,0.00025682+0.00020376i,-3.7636e-05-0.00013744i
0.00088149+0.001151i,0.00099206+0.0011377i,0.00095229+0.0013033i,0.00060857+0.0014179i,1.1851e-05+0.0017375i,-0.00034443+0.0018898i,-2.721e-05+0.0013204i,0.00014478+0.00071277i,0.00020069+0.00024774i,-0.00022559+0.00016492i,-0.00011766-0.00014887i,0.00090658-0.00044006i,0.00035317+0.00018963i,-0.00057648+0.00080538i,-0.00059765+0.0002134i,0.00052562+0.00040621i,0.0011176+0.00093911i,0.0014361+0.00068007i,0.0013071-0.00017373i,0.00082548-0.0012457i,0.00035067-0.00089389i,-8.0644e-07-0.00034179i,7.2298e-05-0.00040958i
-0.0012574+0.0016105i,-0.00098929+0.0022243i,-0.00055656+0.0026935i,0.00099225+0.0028888i,0.0024175+0.0025728i,0.0026007+0.0009985i,0.0012988-6.95e-05i,0.0005594-0.00022376i,0.00016953-7.2383e-05i,0.00016706+5.1494e-05i,0.00040901-0.00028787i,0.00056156-0.00044812i,0.00057224-0.00036196i,0.00033326-0.00020601i,-0.00039589-0.00071212i,-0.00078899-0.0010533i,-0.00051494-0.0006012i,-6.8251e-05-0.00070191i,0.00014281-0.00078331i,0.00037235-0.00054602i,0.0003837-0.00015834i,0.00034332+0.00020902i,0.00040141+0.00065898i
-0.001678+0.0018373i,-0.00066653+0.0018711i,0.0012165+0.0022328i,0.0019856+0.0021194i,0.00091639+0.0014978i,0.00020757+0.0012671i,0.0003025+0.0008952i,-0.00045634+0.00022852i,-0.00093587+0.00030404i,-0.00067437+0.00059236i,-0.00023318-0.00028618i,0.00052964-0.00035943i,0.00022488+0.00021948i,-0.00021227+0.00018164i,-0.00018791+0.00038301i,-0.00024374+9.426e-05i,-0.00010272-0.00072844i,0.00012242-0.00079026i,0.00035471-0.00012487i,0.00032678+0.00070587i,-0.00016092+0.00069266i,-0.00041156-0.00030359i,-0.00027802-0.00088837i
0.00023096+0.00073728i,0.00050373+0.00098365i,0.0005883+0.00066093i,0.0010966+0.0012484i,0.0015097+0.002109i,0.00048152+0.0022681i,-0.0001504+0.0015052i,8.4218e-05+0.00032653i,0.00026082-0.00037204i,6.1732e-05-0.00021277i,0.000185+0.00033443i,0.00045943+7.6675e-05i,0.00025139-0.00046933i,0.00026752-0.00076666i,-0.00019857-0.00068506i,-0.00057618-0.00048186i,-0.00022123-0.0001577i,4.898e-05-0.00012245i,0.00042123-0.00070969i,0.00015984-0.00088902i,-1.3065e-05-0.00061175i,0.00080406+0.00031576i,0.0010222+0.00052428i
-0.00058389+0.0013871i,-0.00024845+0.0018111i,0.00069+0.0019767i,0.001314+0.0021678i,0.0021947+0.0022818i,0.0015305+0.0013662i,0.0003931+0.00054909i,0.00067776-0.00017394i,0.00060714-0.00069164i,0.00065606-0.00022579i,0.00087293+0.00051648i,0.00059613+0.00061191i,0.00039582-0.00020057i,0.00016103-0.00061302i,-0.00077096-0.00050873i,-0.0010804-0.00031177i,-0.00025497-5.5899e-05i,0.00011176-0.00022857i,0.00068887+2.8321e-05i,0.00050821+0.001113i,4.0441e-05+0.00075863i,0.00027646-0.00021359i,0.00041178-0.00045164i
0.0016476+0.00091932i,0.0014038+0.00033255i,0.0019344-0.00048886i,0.0013469+0.00032275i,5.2834e-05+0.0013263i,-7.1012e-05+0.0018922i,0.00050656+0.0016638i,0.00069117+0.0008365i,0.00038604+0.00026543i,-0.00030154+0.00024215i,-0.00088083+0.0008148i,-0.00079792+0.00044277i,-0.0005025-0.00018229i,-1.1072e-05-0.00019528i,0.00029537+4.7655e-05i,0.0003177+0.00038673i,0.00022117+0.00081654i,0.00049789+0.00074021i,0.00061197+0.00015188i,0.00088394-0.00046078i,0.00097404-0.00072921i,0.0002269-0.00080425i,-0.00036932-0.001471i
-3.5508e-05-0.00034628i,-0.00036427+0.00090925i,-0.00091593+0.00092025i,-0.00071817+0.0018881i,0.00030267+0.0027794i,0.001491+0.0018287i,0.0014143+0.0013349i,0.00039832+0.00087133i,-0.00069521-4.1541e-05i,-0.00075503-0.00047368i,-0.00041523-0.00045193i,-0.00024526-0.00046435i,0.00040256-0.00047896i,0.00049878+7.639e-05i,0.00074803+0.00027759i,0.0012918-4.9816e-05i,0.00097404+0.00014817i,0.0004459+0.00011152i,0.00037283+0.00013854i,-8.4159e-06-0.00017153i,-0.00080147-0.0009204i,-0.00065155-0.00061527i,-0.00059019+8.9392e-05i
0.0011052+0.0011978i,-1.5021e-05+0.0024079i,0.0007388+0.0023361i,0.0017653+0.0011809i,0.001843+0.0011214i,0.0012557+0.00092382i,0.00073166-0.00043892i,9.9246e-05-0.0010983i,-0.00014714-0.00032454i,0.00066834-1.7484e-05i,0.0013557-0.00035465i,0.0010523+0.00020124i,0.00046758+0.00060844i,0.00031354+0.00021376i,0.0003991+0.00045963i,0.00041513+0.00033303i,0.00053007-0.00034955i,9.7856e-05-0.00039944i,0.00045354-3.2745e-05i,0.0008512+0.00064611i,0.0003424+0.00016698i,0.00022236-0.00010868i,0.00018614-0.00015191i
0.0015876-0.00022366i,0.00041578-0.0002559i,2.6464e-05+6.8842e-05i,0.00032956+0.00082024i,0.00075005+0.0015599i,0.00016785+0.0016517i,0.00018675+0.000905i,0.0012219+0.00022032i,0.0011338-8.0389e-05i,-2.6041e-05+5.0255e-05i,-0.0012471+0.00014203i,-0.00092938-0.00039535i,7.1404e-05-0.00012431i,0.00022382+0.00049857i,6.5406e-05+0.00082651i,-0.00048028+0.00096083i,-6.3034e-05+0.00066289i,0.00031771+0.0004031i,-0.00049451+8.6379e-05i,-0.00046759-0.00041541i,0.00013854-0.00052218i,-4.6835e-05-0.0010009i,-0.00018002-0.0011356i
0.0033949+0.00050385i,0.0028643-0.00071936i,0.0024802-0.00056891i,0.0026476+0.00012571i,0.0022517+0.00084444i,0.0015826+0.00093265i,0.0015254+0.00039006i,0.0010783+0.00039096i,0.00049099+0.00020491i,0.00018308-0.00013036i,0.00016531-0.0005254i,-0.00032396+0.0001191i,-0.001116+0.00078095i,-0.0014837+0.00067648i,-0.00059686+0.00049251i,-5.5445e-05+0.00051347i,0.00010544+0.00033991i,-0.00020696-7.4741e-05i,-0.00063673-8.2322e-05i,0.00055433-2.8019e-05i,0.0007444+0.00029764i,-0.00070893+0.00047915i,-0.0011614+2.6781e-05i
0.00041062+0.00050032i,0.0012762+0.00046724i,0.0021756+0.00069895i,0.0022413+0.0013927i,0.0013906+0.0014691i,0.001144+0.0017402i,0.00071698+0.00087353i,0.00040173-7.6228e-05i,0.00029649-0.00034493i,-0.00043561+8.3957e-05i,-0.00088699+0.00029024i,0.0002499-0.00028699i,0.00053618-0.00059626i,-0.0002087-0.00013366i,-0.00011416+0.00022014i,-0.00012902-0.00046221i,-0.00085967-0.00089179i,-0.001354-0.00017264i,-0.0014537+0.00074366i,-0.00097534+0.00067993i,-0.0001846+0.00038151i,0.0008251+0.00016759i,0.0012896+5.7134e-05i
-0.00048292+0.0027197i,-5.3083e-05+0.0030943i,0.0010103+0.0032835i,0.0017024+0.0028317i,0.0019549+0.0017994i,0.001397+0.0014563i,0.00070972+0.0011837i,0.0003613+0.00025154i,0.00014959+0.00033864i,0.00014039+0.00060024i,0.00013788-0.00035559i,0.00017227-0.0010236i,0.00052222-0.00018487i,0.00028197+2.3144e-05i,-4.964e-05-0.00071873i,-0.00019386-0.001287i,-0.00041625-0.0011117i,-0.00069778-0.0002369i,-0.00058663-0.00013615i,-0.00063291-0.00038263i,-0.00023933+0.00038496i,-5.4984e-05+0.00095664i,-0.0002688+0.00089929i
-0.00044179+0.0020805i,0.00030921+0.001632i,0.0014327+0.0014639i,0.0016506+0.0022996i,0.0018353+0.0028308i,0.0020287+0.0028504i,0.0012939+0.0018337i,0.00081083+0.001091i,0.00068026+0.00052458i,0.00094874+0.00039812i,0.0010407+2.593e-05i,0.00020761-0.00068731i,-0.00067333-0.00067552i,-0.00089109-6.1284e-05i,-0.00067754-0.00015965i,3.4664e-05-0.00085212i,0.00039171-0.0010992i,0.00010163-0.00095402i,0.00014485-0.00058964i,0.00011414-6.8244e-05i,4.8255e-05-0.00016293i,0.00037227+2.2105e-05i,0.00059131+0.00023281i
-0.001536+0.00018681i,-0.0011259+0.00038071i,-0.00074493+0.0014651i,0.00022032+0.0021581i,0.0014007+0.0023784i,0.0010506+0.0016987i,0.00075472+0.0010232i,0.0013394+0.00080695i,0.00093087+0.00033057i,0.00034329-0.00017965i,-5.0346e-05-0.00015326i,-0.00032113-0.00052793i,-0.0004212-0.001049i,0.00010591-0.00069598i,0.0011526+0.00018146i,0.00079066+0.00025418i,0.00030807+0.00030215i,0.00050177+0.00033336i,0.00083511+0.00024858i,0.00078523+0.00014999i,0.00035051+0.00055915i,0.00042037+0.0016774i,0.00052571+0.00096238i
0.00065586+0.00012497i,-0.00042766+0.00028882i,0.00046896+0.0013979i,0.0018292+0.0022838i,0.0015725+0.0023755i,0.0013918+0.0020319i,0.0011677+0.00081502i,0.00050847+8.9883e-05i,-0.00012856+0.00045994i,-0.00033317+0.00075733i,1.0577e-05+0.00069715i,0.00038965+0.00012934i,0.0002789+5.6065e-05i,0.0003093+0.00014525i,0.00070599-0.00064584i,0.0012826-0.0009753i,0.00050568-0.00078058i,0.00011367-0.00053147i,0.00051588-0.00073436i,0.00020517-0.00051522i,0.00014755+0.00036692i,0.00041721+0.00031886i,5.904e-05-0.00039991i
0.0012589-0.0015171i,-0.00032811-0.00091467i,-0.00065198+0.00027255i,0.00069938+0.0013478i,0.0012865+0.0015353i,0.00085612+0.0010477i,0.00080663+0.00055078i,0.00045849-0.00014978i,-0.00016412-0.0003357i,0.00015941-6.6767e-05i,3.9058e-05-0.00045583i,0.00011327-0.00017745i,0.00058714+0.00042484i,0.00060803-0.00024713i,0.00031345-0.00041708i,6.3916e-05+6.8808e-05i,-0.00051801-0.00011218i,-0.00036944-0.0005492i,0.00023288-0.00019914i,0.00052568-2.1222e-05i,0.00044908+5.2668e-05i,0.00091186-1.0741e-05i,0.00067542+0.00033462i
-0.0017109-0.0010537i,-0.0029076-0.0003421i,-0.0029316+0.00046451i,-0.0012493+0.00056813i,0.00043704+0.0014866i,0.0012719+0.0024569i,0.0011489+0.00083185i,0.00038571-0.00044256i,-0.00031041-0.00056873i,-0.0003103-6.3421e-05i,6.1588e-06+0.0008841i,-0.00020952+0.00087806i,0.00015712+0.00028048i,0.00096077+6.8333e-06i,0.00069002+0.00025429i,0.00021465+0.00025075i,5.1017e-05-2.1146e-05i,0.00024844+1.2059e-05i,0.00091457+3.6984e-06i,0.0010474+9.5663e-05i,4.7864e-05-0.00010399i,-0.00048015-0.00054499i,-3.4985e-05-0.00012673i
0.00022386+0.0014258i,4.2214e-05+0.0011173i,0.00013815+0.0011353i,0.00070052+0.0011492i,0.0013724+0.001089i,0.00073659+0.0010411i,0.0001868+0.0011767i,0.00014002+0.00089788i,-0.00018303+0.00065429i,3.6601e-05+5.4557e-05i,-0.00047357-0.0011528i,-0.0011106-0.0018768i,-0.00093887-0.0014498i,-0.00018328-0.00084329i,-0.00014601-0.00076103i,-0.00020138-0.00059531i,-2.8861e-05-0.00036868i,0.00017831-0.00044429i,0.00027328-0.00025264i,0.0001858-2.2423e-05i,-0.00062632+0.00041455i,-0.00023954+0.00045518i,0.00024062-0.0007289i
-5.6124e-05-0.00033647i,0.00030034+0.00033109i,0.0012091+0.0018019i,0.0016472+0.0019986i,0.0019095+0.00253i,0.00059291+0.0025382i,-0.0004009+0.000639i,6.8159e-05+0.00027799i,-0.00022613+0.00066761i,-0.00043441-0.00014217i,-0.00026788-0.00013783i,0.00010532+0.00056836i,0.00030029+0.0010115i,0.00041948+0.00079486i,0.00035886+0.00045524i,0.00016838-0.00021869i,0.00026086-0.00089862i,0.00085434-0.0007026i,0.0011708+0.0003374i,0.00064321+0.00083023i,0.00021575+0.00025838i,0.00051832+1.0461e-05i,0.00068863+7.1562e-05i
