-0.0023873-0.00088321i,-0.0011667-0.00072983i,-0.0021589-2.4334e-05i,-0.0022385+0.00027271i,-0.0021447+0.00013493i,-0.0018811+8.6046e-05i,-0.00076606-5.2555e-05i,0.00070746+0.00051618i,0.0012525+0.00082342i,0.0014584+0.0011881i,0.0020137+0.0007375i,0.0012863-0.00052432i,0.00022816-0.00085783i,5.2383e-06-0.00049292i,-0.00017519-3.3935e-05i,-0.00038328+0.00078354i,-0.00048782+0.00053662i,0.00030007-0.00022688i,0.00071146+0.00018739i,0.00026289+0.00020902i,0.00063974+0.00014099i,0.00071313-0.00010173i,0.00030785+0.00025133i
0.00056938+0.0014777i,0.0021877+0.00072016i,0.0020376+0.00052777i,0.0018644-0.00062269i,0.0013319-0.0015477i,0.00073364-0.0019961i,4.4536e-05-0.0017732i,-1.1127e-05-0.0013873i,0.00026586-0.00094155i,0.000127-0.00044546i,0.00035253-0.00031252i,0.00078963-0.0010142i,0.00062243-0.0012053i,0.00060946-0.0005178i,0.00095707+0.000298i,0.0013468+0.00023014i,0.00089093-0.00060726i,-0.00044047-0.00034104i,-0.00093418+1.7302e-05i,-0.00083658-0.00067325i,-0.00080313-0.00022304i,-0.00026763+0.00068645i,0.00037955+0.00087003i
-0.0012407+0.00013313i,5.0687e-05+0.00036386i,0.00031923+5.3852e-05i,0.00051624-0.00078342i,0.0013978-0.0013086i,0.0019423-0.0011525i,0.00084595-0.0009393i,-0.00060786-0.00036725i,-0.00072647+0.00039203i,-0.00090686+0.00049125i,-0.0010467+0.00054437i,3.4515e-05+0.00082901i,0.00045003+0.00039817i,0.00026261-0.00043254i,-6.8115e-05-0.00042961i,-0.00033401+0.00016766i,-0.00018862+0.00028206i,0.00043337+0.00031281i,0.00090085+0.00034662i,-2.777e-05+0.00066856i,-0.00060946+0.00023689i,0.00010758-0.0002215i,0.00056271+0.0003104i
0.00083542+4.4689e-05i,0.0010824+0.00019649i,0.00097393-0.00041758i,0.0012382-0.0012982i,0.0008704-0.0013185i,-0.00031524-0.00064181i,0.00019854-0.0008363i,0.00064698-0.00079088i,0.00071843-0.00039032i,0.00058372-0.00086035i,-9.7204e-05-0.00062668i,-0.00024552-0.00024559i,9.3923e-06-0.00066741i,0.00070861-0.0002982i,0.0011046+0.00023896i,0.00041853-4.4712e-05i,6.2632e-05+5.6515e-06i,0.00039173-0.00027529i,0.00091073-0.00090838i,0.00071492-0.00075913i,0.00020792-0.00056321i,7.7815e-05-0.00036289i,-0.00031537-0.00027747i
0.0011359+0.00077877i,0.0008928-3.069e-06i,0.0013129+1.5193e-05i,0.0015438+0.00056611i,0.0011332+0.00021753i,0.00062962-0.00042228i,0.00042249-0.00084823i,0.0003465-0.00093739i,0.00047554-0.00060044i,0.00094731-0.00045789i,0.0012904-0.00024023i,0.00080494-0.00020723i,0.00032925+0.00021146i,-0.00022248+0.00048195i,-2.4014e-05+0.00059095i,0.00024444+0.00057443i,-3.8606e-05-0.00019062i,-0.00011652-0.00070756i,-0.00066781-0.00037135i,-0.00079191+0.0003155i,-0.00058998+0.00067195i,-0.00067946+0.00019845i,-0.00017215+0.0005541i
0.00041472+0.00012357i,0.0016366+0.0008156i,0.0017578+0.0017317i,0.0010599+0.00077024i,0.0011744+0.00037985i,0.00090247+0.00035335i,0.00046775+9.9901e-05i,0.00044923-0.00059207i,7.5579e-05-0.0014148i,-0.00054153-0.0012235i,-0.00096329-0.00044132i,-0.00024112-0.00073928i,0.00024367-0.00071275i,-0.00065074-0.00018214i,-0.00084884-0.00016116i,-0.0001344+0.00020852i,7.121e-05+0.00028096i,0.00035281-8.4534e-05i,4.096e-05-2.2963e-05i,-0.00045906-4.1539e-05i,-9.1989e-05+0.00034036i,0.00065306+0.0010242i,0.00082133+0.00063378i
0.00060265-5.4494e-05i,0.00042694+0.0001854i,0.00096804-0.00047858i,0.00059166-0.0021602i,-0.00054416-0.0027076i,-0.00055468-0.0015995i,-0.00026017-0.00066464i,3.1973e-05-2.9899e-05i,0.00054395+1.0634e-05i,0.0010076-0.00045574i,0.0004961-0.00022918i,-0.00017625-0.00037923i,-0.00033597-0.00077985i,0.00041725+3.2291e-05i,0.0010087+0.0010547i,0.00031613+0.0013273i,0.00015797+0.00083482i,0.00066721-0.00025675i,0.0003208-0.00070855i,-0.00030326+0.00017922i,0.00019251+0.00077685i,0.00072013+0.00065717i,-0.00023997+0.00027914i
0.00040762+0.0006513i,6.9273e-05+0.00032203i,0.00068561-0.00064711i,0.0011355-0.0010818i,0.00038725-0.0011419i,-0.00026626-0.0012614i,-0.00033865-0.0013415i,0.00036739-0.0015405i,0.00094321-0.0010498i,-2.8421e-05-0.00036693i,-0.00030819-0.00064935i,0.00020167-0.00097208i,-0.00014826-0.00064542i,-9.8883e-05-0.00017145i,0.00034979+7.3751e-05i,0.00018045+0.00018032i,0.00067147+0.00034732i,0.00071806+0.00090412i,0.0001711+0.0009043i,0.00051625+0.00020349i,0.00041739-0.00039941i,-0.00019812-2.3419e-05i,-0.00045764-0.00017027i
0.00071549+0.00070647i,0.00036983+7.1433e-05i,0.0017835-0.00028622i,0.0019816+2.5427e-05i,0.00037694+0.00018529i,-0.00021404+0.00050997i,0.00020122-0.00017185i,0.00080614-0.00079192i,0.0011675-0.00047672i,0.0012586-0.00044466i,0.0014009-0.00062275i,0.00069357-0.0010603i,8.3945e-05-0.0011915i,-2.6869e-05-0.00057551i,-0.00014381+1.3111e-05i,-0.00043957-2.0156e-07i,-0.00037632-0.00025268i,0.00042437-0.0004446i,0.00038766+0.0002753i,-0.00010405+0.00080373i,0.00039064+0.00072402i,-0.00029121+0.00035231i,-0.00079362-0.00056835i
0.00054977+0.00025918i,-0.00034327+0.00072346i,-8.2884e-05+0.0005562i,0.00030504+0.00035372i,0.00036307+0.00024909i,0.00031213-0.00079304i,0.00016501-0.0013225i,0.0007984-0.0012077i,0.00083985-0.0014407i,0.00037333-0.0015475i,0.0005498-0.00036799i,0.0010564+0.00054939i,0.0010291-6.6821e-05i,0.00037258+0.00011067i,-0.00053213+0.00092992i,-0.00054404+0.00092972i,-0.00069365+0.00060503i,-0.0006677+8.3272e-05i,-0.00028216-0.00020545i,9.7552e-05+0.00024714i,0.00017624+0.00075966i,0.00054842+0.00047158i,0.00040868-5.8114e-05i
0.001473+0.0031291i,0.0013159+0.0020599i,0.0027561+0.0010592i,0.0025429+0.00019238i,0.0015084-0.0011104i,-5.5384e-05-0.0017787i,-0.0012075-0.0014267i,-0.00039588-0.0015213i,0.00043349-0.0010379i,-0.00016462-0.00077406i,-0.00055431-0.00062375i,0.00029742+9.994e-05i,0.00080319+0.00026162i,0.00070997+0.0003738i,0.00079568-0.0001906i,0.0013522-0.00078754i,0.00089135-0.00039871i,-0.00013947-0.00017724i,6.2083e-06-0.00017855i,0.00075746-0.00031224i,0.00082525-0.00043576i,-0.0004299-0.00065414i,-0.0005709-0.00080522i
