-0.0023873-0.00088321i,-0.0011667-0.00072983i,-0.0021589-2.4334e-05i,-0.0022385+0.00027271i,-0.0021447+0.00013493i,-0.0018811+8.6046e-05i,-0.00076606-5.2555e-05i,0.00070746+0.00051618i,0.0012525+0.00082342i,0.0014584+0.0011881i,0.0020137+0.0007375i,0.0012863-0.00052432i,0.00022816-0.00085783i,5.2383e-06-0.00049292i,-0.00017519-3.3935e-05i,-0.00038328+0.00078354i,-0.00048782+0.00053662i,0.00030007-0.00022688i,0.00071146+0.00018739i,0.00026289+0.00020902i,0.00063974+0.00014099i,0.00071313-0.00010173i,0.00030785+0.00025133i
0.00050535-0.0020546i,-0.00057312-0.0010657i,-0.0020042-0.00068521i,-0.0011194-0.0006509i,0.00036233-0.00054758i,0.00027115-0.00089664i,0.00067001-0.00096396i,0.00067503-0.00094966i,3.4178e-05-0.0014346i,-5.4993e-05-0.00099732i,4.8942e-05-0.00033307i,0.00025841-0.00059357i,-1.2139e-05-0.00012068i,4.923e-05+0.00017726i,0.00052081+0.00022769i,0.00082383+0.00038393i,0.00068472+0.0001947i,0.00033753+0.00019781i,-0.00032972+6.4619e-05i,-0.0010489+3.0573e-05i,-0.00075787+0.00083224i,4.7891e-05+0.00079346i,0.00058762+0.00049497i
-0.0010309-0.0023634i,-0.00066846-0.0026842i,-0.0011863-0.0026698i,-0.00127-0.0024147i,-0.0005428-0.0013122i,-0.00021706-0.00013135i,-7.5271e-05+2.8477e-05i,-2.8613e-05-0.00025219i,-0.00021644-8.5115e-05i,-0.00022879+0.00019553i,-0.00026152-0.00012057i,-0.00014749-9.582e-05i,-0.00029785-3.1336e-05i,-0.00024727+0.0005854i,-2.4993e-05+0.0013015i,5.5268e-05+0.00093309i,-1.847e-05+0.00092978i,0.00048084+0.0011168i,0.00069227+0.00093749i,0.00043457+0.0010038i,4.6649e-05+0.00081171i,-0.00066585+0.00061441i,-0.00062225+0.00012998i
-0.00010479-3.1318e-05i,-2.3241e-05+0.00035619i,-0.00047811+0.00088493i,-0.00067786-2.8877e-05i,-8.0844e-05-0.00027635i,5.322e-05+0.000166i,0.0002003-7.9381e-05i,0.00034844-0.00020651i,0.00019578+0.00018013i,0.00017551+0.00071677i,1.6151e-05+0.00085649i,4.2647e-05+0.00049327i,7.8595e-05+1.3373e-05i,0.00018561+0.00046664i,0.00042199+0.00091281i,0.00019138+0.00098029i,4.4665e-05+0.00061256i,0.00081527+0.00050061i,0.00071627+0.00076307i,6.4254e-05+0.00020774i,0.00053107+0.0003522i,0.00095178+0.00075575i,-0.00013294+0.00064277i
0.0023136-0.00058446i,0.00086752-0.0011048i,0.00066914-0.00065998i,0.0010154-0.00055007i,0.00091703-0.0013411i,0.0010782-0.0021591i,0.00093486-0.0021471i,9.2392e-05-0.00099947i,-7.9026e-05-0.00053572i,-0.00056014-0.0003438i,-0.00075591-0.00011368i,-0.00038134-0.00015093i,0.00013264+0.00020433i,0.00046408+8.7029e-05i,0.00026769-8.5488e-05i,-6.9266e-05+0.00027564i,-9.2752e-05+0.0004734i,-0.0008921-0.00019158i,-0.00036823-0.00097818i,0.00054185-0.00053307i,-0.00032656+0.00033002i,-0.00065517+0.00021907i,-0.00044629-0.00014409i
0.0015955+0.00024108i,0.0029761+0.00060189i,0.0040547-0.00016524i,0.0029387-0.001123i,0.0019201-0.0018899i,0.0015847-0.0019737i,0.00077222-0.0015565i,0.00023254-0.0016156i,0.00050235-0.0011513i,0.00057981-0.00030779i,-0.00039318+0.00010328i,-0.0012731+0.0001036i,-0.00038694+0.00071689i,0.0010681+0.00094042i,0.0010028+0.00042187i,0.00046067+0.0004619i,0.00065087+0.0004734i,0.00083425+0.00048648i,0.00015528+0.00032795i,-7.3355e-05-0.0004819i,3.4364e-05-0.0002139i,-0.00050017+0.00086011i,-0.00066676+0.00053212i
0.00048503-0.00033941i,-0.00061367-0.00025021i,-0.00033051-0.0013293i,-0.00035158-0.0017637i,-0.00017518-0.0014628i,0.00025477-0.00069075i,0.00089305+0.00010034i,0.00097273-7.1486e-05i,-0.00032418-0.00012533i,-6.2935e-05-0.00066155i,0.00018248-0.00023273i,-0.00041187+0.001092i,-0.0002884+0.00077101i,-0.00026958-7.1744e-05i,-0.00059407+0.00049128i,-0.00050007+0.00066634i,0.00037651+0.00018655i,0.0011129+4.3947e-05i,0.00094956+0.00025271i,-0.000348+0.00080792i,-0.00081971+0.0011077i,0.00038569+0.00073996i,0.0010304+0.0001046i
-0.00026892-0.00078434i,-0.00068736-0.00047969i,-0.00028382-0.00017353i,0.00026912-0.00015707i,0.00035544-0.00069759i,-0.00049317-0.0010482i,-0.0006441-0.00045012i,-0.00013599-0.00037279i,0.00021905-0.00012095i,-5.5744e-05+0.00013361i,-0.00013896-0.00034829i,0.00053239-0.00019559i,0.00068968+0.00013041i,0.00015885+0.00027891i,-0.00037373+0.00069944i,-0.00033259+0.00046736i,0.00037313+0.00048769i,0.00064831+0.00077016i,1.756e-05+0.00086509i,-0.00015935+0.0007807i,2.4428e-05+0.0004536i,-0.00059961-1.0354e-06i,-0.0011254+0.00016087i
0.0013246+0.0010633i,0.0032954+0.00088002i,0.0034321+0.00038292i,0.0023444-0.00030969i,0.0021427-0.00083614i,0.0017333-0.0009487i,0.0008416-0.00019282i,0.00054798-7.9346e-05i,-4.2901e-05-0.00022333i,-0.000611-0.00030754i,-0.00031204-0.00013834i,-0.00034795+6.7936e-05i,-5.4983e-05+7.4385e-05i,0.00035919+0.00074527i,0.00052045+0.0012042i,0.00029144+0.00086285i,-0.00037066+0.00049512i,-0.00086376+0.00086793i,-0.0011049+0.00045961i,-0.0011775-5.1472e-05i,-0.0008799-0.0002798i,-0.00060254-0.0010415i,-0.00071928-0.0010053i
0.00041609-0.0010365i,0.00028863+0.0004554i,0.00043056+0.00051031i,5.7049e-05+0.00057544i,-8.2972e-05+0.00054974i,0.0004901-0.00040071i,0.00067402-0.0010906i,0.0008942-0.00051248i,0.00041306-0.00028372i,-0.00044728-0.0012268i,-0.0010637-0.0011376i,-0.0005662-2.2411e-05i,-4.9479e-05+0.00029496i,-6.8688e-05+7.2007e-05i,4.0731e-05+0.00078972i,-0.00088995+0.00098984i,-0.0012728+0.00058232i,-0.00051096+7.5321e-05i,0.00054254-0.00028536i,0.00095505-1.0159e-05i,-8.2467e-05+0.00010441i,-0.00088582+0.0005931i,-0.00080131+0.0012817i
0.0022418+0.00026339i,0.002243+0.0003385i,0.0019989-0.00023297i,0.0012506-0.00026665i,0.00075017-0.0011856i,0.0003434-0.0020079i,0.00044137-0.0017302i,0.00084312-0.0011308i,0.0010388-0.00069945i,0.0012437-0.00074158i,0.0014877-0.0002534i,0.0013957+0.00012341i,0.0007909-0.00013562i,0.00108-0.00027157i,0.0012446+7.1747e-05i,0.00027685+0.00079406i,-0.00019384+0.0010562i,-0.00032729+0.0001473i,-0.00020374-0.0010176i,0.00011715-0.00091953i,-0.00012559+0.00012432i,-0.00028721+0.00063093i,0.00034414+0.00056112i
-0.00086367+0.0010788i,1.2866e-05+0.00084424i,0.0013467+0.00082812i,0.00099853+0.0014108i,0.00022284+0.0011767i,0.00029631+0.00012188i,0.00042983+6.5903e-05i,0.00034334+0.000356i,0.00026815+0.00044496i,0.00019195+0.00040924i,0.00022245+0.00018728i,-6.5032e-05-0.00031899i,-0.00020476-0.00087993i,4.8331e-05-0.0012901i,-0.00015386-0.00021961i,0.00015465+0.00084563i,0.00045975+0.00095855i,0.00033029+0.00084398i,3.6698e-05+0.00022221i,-0.00065437+0.00024795i,-0.00078641+0.0002887i,-0.00035643+0.00056113i,-8.7726e-05+0.00086679i
-0.0016432-0.0015235i,-0.0020027-0.00087512i,-0.0023804-0.00035939i,-0.0019656-0.00025999i,-0.00066021+0.00060004i,0.00023849+0.0003272i,-0.00023748+0.00017749i,-9.8489e-05+0.00054904i,5.0598e-05+0.00021273i,-0.00023022-0.0001606i,0.00011293+0.00017047i,0.00016143+0.0003447i,1.9374e-05+0.00034275i,0.00029186+0.00068938i,0.00056042+0.00077818i,0.0006563+0.00085228i,0.0003434+0.00067762i,-0.0011734+0.00078094i,-0.0018884+0.00017948i,-0.0012438+0.00012559i,-0.00051808+0.00085398i,0.00031367+0.00049723i,0.0010854-3.9802e-05i
2.6943e-05-0.0017302i,-0.00063837-0.0008549i,-0.0010207-0.0012896i,-0.0008707-0.001399i,-0.0012604-0.0010614i,-0.0009367-0.00061826i,6.5597e-05+0.00039703i,0.00057409+0.00024599i,0.00025092-0.00019083i,0.00033543-0.00046082i,0.0005158-0.00087494i,-0.00013165+9.208e-05i,-0.00051436+0.00046074i,-9.8032e-05+0.00018849i,-0.00028882+0.00052123i,-6.9526e-05+0.00053175i,0.00011786+0.00029354i,-0.00012685+0.00040959i,-0.00012416+0.000822i,-0.00046603+0.00061346i,-0.001087-0.00021135i,-0.0011569-0.00065108i,-0.00066955+2.8475e-05i
0.00015662-0.00024855i,-0.00050683-0.00077833i,-0.00089464-7.5283e-05i,0.00070719+0.00042482i,0.0020578+0.00062164i,0.0012702+0.00088389i,0.0001896+0.00031459i,0.00035975+3.1794e-05i,0.00029265-0.00031844i,0.0002485-0.00022479i,0.0008528+0.00065549i,0.00050078+0.0010038i,0.00053923+0.0007993i,0.00060941+0.00083181i,0.00031752+0.00089528i,0.0002788+0.0006714i,-0.00032414+0.0003078i,-0.00042115+0.00019429i,-0.00024534+0.00010145i,-0.00034711+0.00022703i,-0.00026221+5.7078e-05i,-0.00048835+0.00030668i,-0.0006205+0.00072567i
0.0010987-0.0022865i,0.0011131-0.001994i,0.00054131-0.0017783i,-0.00021999-0.0015919i,-0.00086128-0.0017547i,-0.00070071-0.00097765i,0.00066722-0.00027598i,0.0014771-0.00024843i,0.0007022-0.00066006i,3.4556e-05-0.0002167i,-0.00025861+0.0001022i,3.8691e-06+0.00011649i,0.00078913+0.00059053i,0.00060718+0.00049819i,0.00023845+0.00024088i,1.3044e-06+0.00035339i,-0.00025219+0.00017148i,-0.00023455+4.4579e-05i,4.3576e-05-0.00019325i,0.0001279+0.00045049i,9.1162e-05+0.0012467i,-0.00048538+0.0007867i,-0.00081094-0.00022117i
0.00088962+0.0017878i,0.00080047+0.0025711i,0.0010314+0.0018208i,0.001709+0.00061103i,0.0012913+4.881e-05i,0.00042736-0.00053924i,0.00032194-0.00062375i,0.00062092-0.00087373i,0.00087083-0.0010184i,0.00056016-0.00045236i,-1.5264e-05+0.00012395i,-0.00053262+0.00069519i,-0.00065664+0.00056058i,-0.00069766+0.00044845i,-0.00036252+0.0004692i,0.0002179+0.00041343i,0.00012478+0.00024805i,0.00074359-0.00017919i,0.00044139-3.3887e-05i,0.00011495-0.00034167i,0.00070461-0.00040222i,0.0010922+0.00020585i,0.00078139+0.00033171i
0.00056431+0.0012466i,-0.00053931+0.0010032i,-0.00054243+0.0013325i,0.0010134+0.00098223i,0.0020388-0.00031467i,0.0018691-0.00083661i,0.0014444-0.0006694i,0.0013601-0.00094761i,0.0009349-0.0012677i,0.00037569-0.00094863i,0.00032993+0.00010716i,0.00061636+0.00086613i,0.0009202+0.00070463i,0.000447+0.00057473i,0.00039502+0.00050555i,0.00066828+0.00073833i,0.00052358+0.00064767i,0.00058437+0.00022072i,0.00036304-0.00022633i,-8.592e-05-0.00073811i,-0.00032961-0.0001238i,-0.00015849+0.0011356i,0.00038507+0.0012866i
0.00040147+0.002225i,0.00087004+0.0017341i,0.00047936+0.0013128i,0.00022551-0.00018969i,0.00021686-0.00092324i,-6.4839e-06-0.0003059i,0.00037707+0.00017191i,0.00041572+0.00080174i,-0.00019428+0.00049581i,7.1532e-06-0.00030217i,0.000217-0.00046813i,-8.8475e-05-0.00056824i,-0.00013945-3.0033e-07i,-0.00046957+0.00058771i,-0.00036945+0.0012592i,-0.00012999+0.0014444i,-0.00023228+0.0010683i,-6.1099e-05+0.0011874i,0.00034552+0.00022352i,0.00045713-0.00040523i,4.0657e-05+0.00027107i,-0.00051486-0.00014366i,-0.00078479-0.00054188i
0.0014069+0.0023804i,0.0020683+0.0023349i,0.0035653+0.0013982i,0.0036799+0.00099804i,0.0023619+3.849e-05i,0.0015825-0.0010351i,0.0013317-0.0013102i,0.0012953-0.0011769i,0.00019623-0.00041828i,-0.00028022+0.00039875i,0.00045707+0.00036093i,0.00053294+0.00019294i,0.00049718-0.00031365i,0.00074958-0.00020362i,0.00018498-0.00031926i,-0.00051243-1.0886e-05i,-0.00058074+0.00064029i,-0.00019349+0.00023491i,3.6194e-05+0.00030098i,4.1924e-05+0.00044441i,-0.00027912+0.00032721i,-0.00013248+0.0004851i,-0.0006757+0.00069571i
-0.0015969+0.0010969i,-0.0016986+0.0024829i,-0.0010298+0.0019155i,0.00066281+0.0012915i,0.0016076+0.00050041i,0.0018138-0.00012688i,0.0013751-0.00040713i,0.00096048-0.00030903i,0.0005668-0.00041104i,-0.0003206-0.00052904i,0.00039248-0.00019519i,0.00063197+0.00019379i,7.3035e-05+0.00019051i,0.00015671+9.9131e-06i,0.00061831+0.00035428i,0.0008431+0.00045124i,0.000243+0.0002086i,0.00035947-0.00015127i,0.00034535-0.00015269i,-0.00031224-2.3721e-05i,-0.00058757-0.00020253i,-0.000689+7.4041e-05i,-0.00054138+0.00092161i
0.0023234-0.00068257i,0.00063314-0.00074276i,0.00026714-0.0010014i,0.0011129-0.0011324i,0.0014279-0.0007704i,0.00055169-0.0007631i,-0.00034821-0.0011866i,0.00026878-0.0013983i,0.00077132-0.00044964i,0.00055186-0.00024918i,0.00041622-0.00011475i,0.00040705+0.0001539i,0.00063735+5.089e-05i,0.00098425+0.00052974i,0.00022033+0.00047441i,-5.0896e-06+2.6353e-05i,-1.3459e-05+0.000379i,-0.0010279+0.0003859i,-0.0013572-0.00041697i,-0.0010152-0.00015122i,-0.00015011+0.0001256i,0.00086074+0.00063733i,0.0007239+0.00087075i
0.0014862-0.0011858i,0.00062068-0.00084019i,0.00042496-0.0014295i,-0.00020292-0.0014729i,-0.0013434-0.0015526i,-0.0013629-0.0010672i,-0.0009998-0.00028748i,-0.00035475-0.00042087i,-5.6191e-05-0.00083361i,-0.00030691-0.00097685i,-0.00035873-0.00067969i,-0.00038468-0.00088946i,-0.0001728-0.00057526i,-0.00036414+0.00044409i,-0.00057897+0.00067125i,5.214e-05+0.00051891i,0.00011495-1.6388e-05i,-0.00019408-0.00080675i,-5.26e-05-0.00088707i,0.0004965-0.0006353i,0.00012218-0.00071491i,-0.00058146-0.00039906i,-0.00067335+0.00036297i
-0.00064261+0.0011158i,-0.00010091+0.00084119i,3.1352e-05+0.00034348i,0.00021492+0.00025408i,0.00033941-0.00044357i,0.00040109-0.0014326i,0.00096354-0.0012615i,0.00053221-0.00093193i,-0.00066509-0.00078298i,-0.00098738-0.0003005i,-0.00057188-8.2814e-05i,-6.0655e-05+0.0001301i,0.00061941+0.0001224i,0.0007609+0.00089614i,0.00083678+0.0014496i,0.00064741+0.0011896i,0.00041239+0.00052773i,0.00040808-0.00092154i,0.00011679-0.0017495i,-0.00024042-0.00088591i,-0.00020312+0.00054064i,-0.00056065+0.00091148i,-0.0009853+2.7684e-05i
0.00028122+0.00014109i,0.0010946+0.00032378i,0.0021783+0.00016684i,0.002366-0.00040846i,0.0016244-0.00036445i,0.00038314-0.00017819i,-0.0001524-0.0004508i,6.8019e-05-0.00016438i,-6.8292e-05+0.00021948i,-0.00034628+0.00051308i,-0.00036648+0.0011148i,0.00030421+0.0013787i,-0.00012374+0.00095492i,-0.00099645+0.0007451i,-0.00070924+0.0010546i,-0.00059712+0.00066809i,-0.00065357-6.4908e-05i,0.00010527+0.00019518i,0.00077848+0.00073559i,0.00042027+0.0010325i,0.00014681+0.0011257i,-7.7579e-05+5.9408e-05i,-0.00075634-0.0010377i
-0.00024928+0.0012992i,-0.00019208+0.00041006i,0.00025838+0.0010706i,0.00081713+0.0013411i,0.0011088+0.00052055i,0.0013201-0.00031366i,0.0012319-0.00024948i,0.00070909+0.00027189i,0.00058514+0.00033223i,0.00042574+0.00045503i,0.00065786+0.00042954i,0.00076505+0.00023869i,0.00010438-0.00017774i,0.00041538-0.00062985i,0.00070807-0.00015192i,0.00064628+0.00089407i,0.0005743+0.0014703i,0.00034421+0.00061224i,0.00061071+0.0002063i,0.00050369+0.00073266i,-0.00040942+0.00096529i,-0.0006428+0.00013786i,-0.00049823-0.00045014i
0.0018508-0.0010152i,0.0018627-0.0010774i,0.0023675-0.0017195i,0.0028983-0.0020318i,0.0027014-0.0018932i,0.001634-0.0021922i,0.00087993-0.0016298i,0.0010081-0.00081158i,0.00095235-0.0010924i,0.00066799-0.00077125i,0.00046194+6.4302e-05i,0.00020127+4.7706e-05i,-0.00033266-0.00025831i,-0.00027957-0.00019538i,0.00020768-0.00033971i,0.00057203-0.0005216i,0.0011185-0.0003004i,0.0013485+0.00023847i,0.00083219+0.00072694i,2.1941e-05+0.00097236i,8.3511e-06+0.0010227i,-0.00023557+0.0010133i,-0.0005982+0.0012278i
-0.00053678+0.00053244i,-0.00047684-3.8072e-06i,2.3667e-05+0.00025465i,0.001324+0.00034708i,0.0016559-0.0006791i,0.00025484-0.0016183i,4.596e-05-0.00083901i,0.0011367-0.00053406i,0.0014679-0.00088816i,0.0007214-0.00055472i,-4.3113e-05-0.00028696i,0.000382-0.0012561i,0.0008394-0.00099248i,0.00044207+0.00052036i,0.00038174+0.00075943i,0.0006165+0.00074816i,0.00030888+0.00086122i,0.00013099+5.5448e-05i,4.8554e-05-0.00072858i,-0.00021981-0.00067419i,0.00014266+0.00021682i,0.00012057+0.0011352i,-0.00054859+0.00090965i
-0.00015602+0.00013987i,-6.9566e-05-0.00043252i,-0.00027492-0.00037287i,-0.00031647-0.0010862i,0.00065633-0.0025168i,0.0010589-0.002149i,1.4898e-05-0.00057786i,-0.00029117-0.00023784i,0.00011473-0.00079436i,-0.00035302-0.0011483i,-0.0010061-0.00049849i,-0.0013521-4.6886e-05i,-0.0013351-0.00038702i,-0.0004446+4.9941e-05i,0.00025547+0.0009185i,-0.00022203+0.0007585i,-5.5466e-05+0.00023836i,0.00035105+0.00015325i,4.4129e-05-0.00010251i,7.7288e-05-0.00047977i,0.00010154-0.00057041i,0.00034706-0.00032218i,0.00069768-2.7651e-05i
0.00092812-0.00071738i,0.0018698-0.00043299i,0.0021397-0.00056383i,0.00099056-0.00092488i,0.0011998-0.0010282i,0.0013833-0.0010427i,0.00074671-0.00088657i,0.00049518-0.00060678i,0.00057901-0.00013859i,0.0002972-0.0001166i,3.1024e-05+0.00048851i,-0.00082244+0.00095118i,-0.00073727+0.00045889i,8.9128e-05+0.00035275i,0.00041352+0.00059239i,0.00049154+0.001006i,0.00014355+0.001292i,0.00043218+0.0012912i,0.0006172+0.0011369i,0.00030579+0.00076999i,8.1426e-05+0.00022402i,0.00052972-0.00015703i,0.00082814+0.00010991i
-0.00014033+0.00028752i,-0.00042698+0.00093006i,-3.0971e-05+0.0014525i,0.00056566+0.00064252i,0.00030688-0.00089905i,-0.00025672-0.00064033i,-0.00027745-0.00011513i,0.00096228-0.00044816i,0.00099078-0.00062756i,9.2703e-05+0.00043014i,0.00028785+0.0011101i,0.00091868+0.001314i,0.0016506+0.0012119i,0.0021075+0.00052953i,0.0015808+0.00064269i,0.00096077+0.00053875i,0.00080462+0.00013795i,0.0006492-0.0001553i,0.00034666+0.00024224i,-0.00023976+0.00034267i,-0.00067025-0.00034872i,-0.0008137-0.000251i,-0.00091871+0.00030628i
-0.00018627-0.0012503i,0.0007152-0.0012863i,6.0602e-05-0.0022197i,-0.0010001-0.0021839i,-0.00035034-0.0010166i,0.00031671-0.00072142i,-1.1544e-05-0.001019i,0.00024884-0.0010066i,0.00059721-0.0012906i,-0.00025059-0.00068139i,-0.00045599+0.00032703i,0.0005836+0.00050547i,0.0011892+0.00060922i,0.0010035+0.00078726i,0.00090875+0.00080422i,0.0011868+0.00047763i,0.0004916+7.1009e-05i,-0.00089761+0.00010677i,-0.00071011+0.00015884i,-0.00048088-0.0002323i,-0.00092899-0.00048026i,-0.00026322+3.0306e-05i,0.00076818+0.00086803i
-8.7769e-05+0.00281i,0.001109+0.0029658i,0.0022286+0.0034543i,0.0031047+0.0027305i,0.0031633+0.00031533i,0.0021627-0.0010511i,0.00079998-0.00032165i,-0.00057756-0.00013248i,-0.00038683-0.0005174i,0.0010531-0.00013382i,0.00097942-0.00045841i,0.00074991-0.0011062i,0.00069648-0.0002804i,0.00030675+0.00034235i,0.00042068+0.00036683i,0.00025593+0.00035089i,-7.7241e-05+8.3941e-05i,0.00034588+0.00010202i,0.00021499+0.00045858i,-0.00045831+0.0012447i,-6.5778e-05+0.0013251i,0.0005373+0.0005721i,0.00078237+9.0227e-05i
0.00079631+0.0010712i,0.00032623-0.00014899i,0.0017656-0.0010764i,0.0025665-0.0015928i,0.0025171-0.0016939i,0.0022445-0.001358i,0.0011604-0.0010282i,0.00061902-0.00058968i,0.00055732-4.3851e-06i,0.00065192-0.00022461i,0.00030236-0.00078915i,-0.00017004-0.00089063i,-0.00044463-0.00023699i,-0.00071599-1.8429e-05i,-0.00010443-0.00046073i,0.00060742-0.00019765i,0.00048117+0.00025162i,-6.8831e-05-0.00013542i,-0.00014251+0.00027619i,-0.00069168+0.00085958i,-0.0011406+0.00061945i,-0.00076702-0.00042451i,-0.00068118-0.00064694i
-0.0016662-0.00046345i,-0.00067496+0.00021274i,9.0284e-05+0.0002818i,-3.2488e-05+0.00074042i,0.00034328+0.00045254i,0.001239-0.00023885i,0.0014582-0.00040332i,0.00097674-0.00048851i,0.00095278-0.00062834i,0.00075099+5.5321e-05i,-1.2894e-05+0.00033961i,-0.0005233-3.7934e-05i,-0.00067243+0.00025341i,-0.0002405+0.001147i,0.00053303+0.00128i,0.00082474+0.0014434i,0.00011224+0.0016295i,-0.00046411+0.0012879i,-0.00010588+0.00053193i,-0.00015356-2.1154e-05i,0.00048612+0.00010592i,0.00051958+0.00045857i,-0.00035745+0.00081762i
0.00095447+0.0017894i,0.00042077+0.00017626i,0.0018277-0.00083146i,0.0025236-0.00048477i,0.0014049+0.00011622i,-0.00042353-0.0005702i,-0.00027865-0.001001i,0.0012915-0.00029674i,0.00085933-7.8004e-05i,-1.5844e-05+9.1757e-05i,-0.00019744+0.00019797i,0.00016475-0.00034744i,0.0011263-0.00017361i,0.00087734+0.00015255i,0.00040573+0.00030914i,0.0011+0.00060541i,0.0015638+0.00090037i,0.00097339+0.00041742i,0.00021733-0.00066079i,-0.00050807-0.00067577i,-0.00032277+0.00016141i,0.00013646+0.00010841i,-0.00012556-0.00057327i
0.00083987-0.0013348i,0.00064861-0.0020111i,0.00086937-0.0020814i,0.00053572-0.0013876i,-0.00022573-0.0010872i,2.3919e-05-0.0011259i,0.00063096-0.0012313i,0.0006245-0.0015682i,0.0011816-0.0008869i,0.0012553+8.1042e-05i,0.00025295+0.00039361i,-0.00027854+0.00032953i,-0.00026701+0.00070243i,-0.00020208+0.0011973i,0.00036672+0.0010921i,0.0007481+0.00089807i,0.00014106+0.00076413i,0.00068457+0.00066354i,0.0014602+0.00016144i,0.000546-0.00011905i,-0.00010139+0.00054904i,2.7513e-05+0.0007072i,0.00030571+0.00073302i
-0.0015234+0.00083316i,-0.00032052+0.001443i,0.0012456+0.00093678i,0.0014114-0.00044109i,0.0015607-0.0018231i,0.0014428-0.0018045i,0.00071909-0.00083922i,0.00041319-0.00072388i,0.00039459-0.0013872i,-0.00010985-0.00091916i,-0.00057248-0.00024384i,-0.00036735-0.00033143i,-0.00012272-8.8396e-05i,0.00031192+0.00049151i,0.0005359+0.0012204i,0.0011124+0.0010452i,0.00079266+0.0001192i,9.309e-05-0.00041571i,-0.00036582-9.6685e-05i,-0.00056466-0.00028428i,-0.00034175-0.00023226i,-0.00091209+0.00034364i,-0.0011424+0.00063712i
0.00043379-0.00057223i,7.4812e-05-0.00062367i,-0.00053502+0.00093674i,-0.0004056+0.0014527i,-0.00060952+0.000326i,-0.00052827-0.00047764i,0.00012778-0.00030355i,0.00053175+6.6014e-05i,0.00022979+0.00040674i,0.00034692+0.00093789i,0.00095423+0.00078616i,0.0013885-5.9729e-05i,0.00081548-0.0004857i,-0.0002066-0.00022362i,0.00014454-0.0002227i,6.5883e-05-0.00057517i,-0.00017612-0.00060206i,0.00034331-0.00049705i,0.00077226-0.00040496i,0.00063485-0.00022096i,-0.00010125-0.00020109i,-0.0009885-0.00042513i,-0.00047725-0.00046468i
0.0016255-0.0013914i,0.0015205-0.0011831i,0.0014675-0.0013309i,0.00072407-0.00091458i,0.00043878+0.00027546i,0.0012446+0.00025907i,0.00094974-0.00013563i,0.00046623-0.0006037i,0.00084416-0.0010051i,0.00086544-0.0010963i,-0.00011238-0.001075i,-0.00042481-0.00088036i,-0.0002387-0.00053891i,-0.00064673-0.00072443i,-0.00086337+0.00037831i,-0.00058462+0.0012559i,-0.00064463+0.00090375i,-0.0007565+0.00015787i,-0.00060082-0.00032086i,-0.00015083+0.00026371i,-0.00020286+0.00035682i,-0.00061705+0.00010632i,-0.0008759+0.00041931i
0.00081016-0.00057994i,0.00032981-0.0017741i,0.00063836-0.0021591i,0.0011913-0.0021236i,0.0013353-0.0015946i,0.00093732-0.00099519i,2.8945e-05-0.00054263i,-0.00044313+0.00014852i,-0.00015001+0.00071906i,-0.00034518+0.00080288i,-0.00059999+0.00038343i,-0.00055363+0.00056151i,-0.00057106+0.0010592i,-0.0009133+0.0010617i,-0.00093444+0.00091475i,-8.6665e-05+0.00040479i,0.00019517+0.00030415i,8.8324e-05+0.00020416i,-7.6416e-05-0.00030571i,-0.00013866-0.00028247i,8.136e-05+0.00016029i,-0.00013194+0.00030351i,-0.0007584+0.00036446i
0.00013388-0.0017927i,0.00012588-0.0007231i,-0.00023439-0.00010888i,-0.00020312-0.00089096i,0.00029839-0.0011895i,0.00049596-0.00067239i,0.0010457-0.0010255i,0.0011522-0.00064133i,0.00070859+0.00055516i,-0.00014534+0.00063664i,-0.0010504-2.267e-05i,-0.0010879-0.00021612i,-0.00049299-0.00019114i,-0.00018725+0.00029041i,-4.8537e-05+0.0011105i,0.00012494+0.0011966i,6.4844e-05+0.00059812i,0.0005465+0.00011403i,0.00069436-5.6865e-05i,7.9584e-05-8.0378e-05i,-0.00067338-0.00089267i,-0.00058185-0.00092246i,-0.00039299+2.6256e-05i
0.0026544+0.0018812i,0.0018665+0.0013379i,0.0020365+0.00063554i,0.0019836-0.0010594i,0.0011407-0.0027112i,7.4698e-05-0.0022699i,-0.00053738-0.00094268i,-0.00036857-4.5677e-05i,0.00056853-0.00013351i,0.00071591-0.0011065i,0.00077782-0.0011444i,0.0012376-0.00097075i,0.0010858-0.00050833i,0.00060598+0.00015858i,0.00028325-0.0004502i,0.00043363-0.00072411i,-0.00035052-0.00070209i,-0.00077095-0.0003306i,-0.00016177+0.00027651i,-9.5733e-05+0.00012371i,-0.00045243-2.6362e-05i,-0.00065136+0.000356i,-7.79e-05+0.0004187i
8.2695e-05-0.00058312i,0.00035616-0.00078218i,-0.00017731+0.00015987i,-0.00045908+0.00090773i,0.00036691+0.0011483i,0.0010745+0.00050645i,0.0011585-0.0011136i,0.0013008-0.0014097i,0.00057855-0.00074967i,-0.00030776-0.00080981i,-0.00036314-0.00057683i,8.7002e-05-0.00062694i,0.00032874-0.00017165i,-0.00052078+0.00035457i,-0.0010064+0.00044378i,-0.00030821+0.0006521i,0.0004181+0.00089278i,0.00077679+0.0010773i,0.00013119+0.0010949i,-0.00034497+0.00038332i,9.3238e-05-0.00021491i,0.00042107+0.00057934i,0.00069657+0.00082414i
