-0.001278+0.0014908i,-0.0006324+0.00081063i,-0.00085285+0.0010032i,-0.0017312+0.00049434i,-0.0026179+0.00103i,-0.0021604+0.0014806i,-7.7271e-05+0.0022275i,0.00099015+0.0032798i,0.0010683+0.0022342i,0.001413+0.00043854i,0.0013395-0.00015248i,0.00023628-0.00052809i,-0.00065149-0.00075169i,-0.00045114-0.00012004i,-0.00031428+0.00077489i,-0.00035545+0.00098071i,-4.0717e-05+0.00061079i,0.00046056-0.00018368i,0.00050424-0.00039528i,-0.00025563-0.00069064i,-0.00032537-0.00073496i,0.00010302+0.00016327i,-0.00034757+0.00044546i
-0.0020888+0.00057732i,-0.0013511+0.0009597i,-0.00042772+0.0023448i,-0.00012378+0.0025153i,1.073e-05+0.0019096i,0.00046193+0.0014046i,0.0004813+0.00088443i,0.0008142+0.00059584i,0.0015232+0.00078596i,0.0015179+0.00095769i,0.0013269+0.00054121i,0.0011778-0.00037349i,0.00092518-0.0012087i,0.00022428-0.0012192i,0.00020125-0.00092367i,0.00092968-0.0008933i,0.00058259-0.00036879i,7.174e-05-0.00034341i,0.00043804-0.00035916i,0.00055865+4.3966e-05i,0.00087107+0.00011372i,0.0010449-0.00010835i,0.00023594-0.0001294i
-0.00053845+0.0002496i,-0.00015024-0.00091816i,0.00027984-0.00066631i,-0.00030986+0.00016906i,-0.00092242+0.001002i,-7.8064e-05+0.0017373i,0.00098537+0.001874i,0.00051377+0.00097877i,0.0003445+0.00097751i,0.00063213+0.001i,-0.00012162+0.00065855i,-0.00028478+0.00076363i,0.0001191+0.00031294i,-0.00011383-0.00028163i,-0.00064058+0.00010081i,-0.00065728+0.00064413i,-0.00010862+0.00041162i,0.00052208+4.2475e-05i,0.0003267-5.5354e-05i,-0.00066942+0.00014194i,-0.00025816+0.00032918i,0.00059106+0.00029231i,-6.5539e-05+0.00025499i
0.0003045+0.00072518i,0.00059501+0.00013224i,0.00079196+0.001825i,0.00072722+0.0016273i,0.00092504+0.00084987i,0.00086053+0.0013593i,0.00069863+0.0014158i,0.00090541+0.0012926i,5.284e-05+0.0016445i,-0.00025906+0.0010942i,6.3587e-05+0.00013121i,6.7794e-05-3.7126e-05i,0.00037912+0.00011697i,0.00043521+0.00029872i,0.00011072+0.00043081i,-2.4735e-06+0.0010282i,-0.00038485+0.00076787i,-0.00042483+0.00015101i,0.00012689+0.00053931i,-0.00024221+0.00039935i,-0.00026906-8.8095e-05i,0.00019411-0.00038351i,6.6748e-05-0.00051801i
-0.0016657+2.9106e-05i,-0.0014592+0.0015775i,-0.00024071+0.0031655i,0.00042932+0.0029532i,-0.00041554+0.0028727i,-0.00017818+0.0028239i,0.0011375+0.001482i,0.001625+0.00014498i,0.0011485+0.00028936i,0.00066749+0.00017322i,0.00064583-0.0010539i,0.0014147-0.0011185i,0.0019118-0.00040289i,0.00091898-0.00025101i,-0.0005168-0.00075604i,-4.3419e-05-0.00089331i,0.00062722-0.0001126i,1.9965e-05-0.00020264i,-0.00030535-0.0013106i,-0.00029121-0.0012814i,-0.0005362-0.00045478i,-0.0012699-0.0003704i,-0.0011994-0.00055089i
-0.00017888+0.0015748i,-0.0016183+0.0011713i,-0.0019176+0.0015226i,-0.0017694+0.00096296i,-0.00084256+0.00088523i,9.7379e-05+0.0015971i,0.0011749+0.00092725i,0.0021529+0.00031266i,0.0018056-0.00010434i,0.00095286-0.00041311i,0.00011572-0.0002705i,-0.00054258+1.3065e-05i,-0.00060484+0.0001979i,-0.00054726+0.00088312i,-5.3992e-05+0.0013629i,0.00079039+0.0014112i,0.0011593+0.0014121i,0.00081937+0.00098746i,0.00045481+0.00030737i,0.00030239-0.00018038i,-0.00070605-3.7295e-05i,-0.00078996+0.00027941i,-0.00038221+7.5494e-05i
0.0003854+0.0030552i,-0.00017188+0.0030393i,0.00057398+0.002259i,0.00041465+0.0013227i,-0.00085935+0.0015215i,-0.00088493+0.0017365i,0.00037669+0.0013397i,0.00096982+0.00056271i,0.00061176+0.00045201i,0.00029872+0.00094014i,0.0003996+0.0010344i,0.00049261+0.00059999i,0.00047551+0.00074332i,0.00044254+0.00046615i,-2.8625e-05-0.00033327i,-0.00019388-0.00044292i,-0.0001794-0.00013464i,5.0032e-05+0.00027311i,0.00065431+0.00040096i,0.0011388+0.00030537i,0.00086073+0.00054736i,4.5405e-05+0.00088426i,-0.00019193+0.00050758i
-0.0016672-0.00066229i,-0.0015874+7.4486e-05i,-0.00077515-0.00028827i,-0.00061699-0.00010022i,-0.00052898+0.0020219i,-0.00018927+0.0023983i,-0.00029544+0.0020359i,-0.00039042+0.00085741i,-0.00035165-0.00018685i,-0.00036712+6.5696e-05i,-0.00044324+0.00032157i,-9.1084e-05+0.00018345i,-0.00017096+0.00022915i,-0.0010868-5.111e-06i,-0.0014663+5.3389e-06i,-0.00030609+0.00018023i,0.00099809+9.7382e-05i,0.00071617+2.761e-05i,0.00028413-0.00076481i,0.00010968-0.0015597i,-2.6917e-05-0.00090955i,-0.00043363-0.00019857i,-0.0006528-0.0005449i
-7.8391e-05-0.00026092i,-0.00053867-0.00079724i,-0.00020794+0.00017764i,0.00012293+0.0006403i,-0.0013281-2.6662e-05i,-0.0021476+0.00020714i,-0.00073632+0.0010707i,0.00034476+0.0013526i,9.7086e-05+0.00049981i,-2.3904e-05-0.00028675i,-8.3446e-05-4.277e-05i,-0.00055474+0.00024116i,-0.0012212+8.4085e-05i,-0.001706+0.00075224i,-0.0011404+0.00077064i,-0.00028303-0.00020885i,2.9769e-05-0.0011438i,-0.00042118-0.0012971i,-0.00083895-0.00089043i,-0.0010734-0.00021069i,-0.00060808+0.00070807i,-0.00023499+0.00082906i,-0.00047146+0.00016827i
0.0017388-0.00075434i,0.00010495-0.0019871i,-3.6547e-05-0.0014012i,-0.00036822-0.00037009i,-0.0008988+0.00057547i,-0.00066762+0.0017757i,2.8688e-05+0.0019138i,0.00061332+0.00081006i,0.0010483+0.00053822i,0.0011279+0.0010446i,0.0012608+0.00076661i,0.00075007-0.000603i,5.5842e-05-0.00055296i,-0.0005281+0.00044006i,-0.00058387+0.00048333i,-3.2338e-05+4.8097e-05i,0.00012337-0.00040583i,0.00037937-2.8684e-06i,0.0007806+0.00022728i,0.00054153-0.00036376i,0.00071658-0.00071936i,0.00064168-0.001001i,-0.00020087-0.001039i
3.0808e-05-0.00013499i,-0.00054036-0.00039549i,-0.0011137+0.00049702i,-0.0016409+0.00050483i,-0.0010354+0.00087519i,-0.00011592+0.0016816i,0.00085745+0.0014518i,0.00069188+0.0008675i,-0.00034468+0.00039934i,-0.00016352+0.00043682i,0.00025222+0.00074483i,0.00017023+0.00077605i,-0.00011805-4.0621e-05i,-0.00060137-0.00028228i,-0.00075535+0.00053093i,-0.00021817+0.00079797i,0.00043521+9.3765e-05i,4.2661e-05-2.7432e-05i,-0.00031725-0.0001914i,-0.00029123-0.00059589i,8.783e-05-0.00089149i,9.0758e-05-0.001123i,-0.00037929-0.00025305i
0.0019081-0.00035342i,0.0014221-0.00010659i,0.0017495+0.00088226i,0.00078664+0.00055952i,-0.0011747-0.00021185i,-0.001367+0.0004478i,-0.0007272+0.0013615i,-0.00023423+0.0011965i,-0.00014285+0.00037115i,-0.00048098+0.00020101i,-0.00093762+0.00057827i,-0.00036447+0.00035179i,-6.0644e-05-2.8685e-05i,-0.00098208-0.00010109i,-0.00098895-2.8268e-05i,-0.00048948-0.00019871i,0.00017591-0.00051776i,0.00085932-0.00083796i,-4.7773e-05-0.0009725i,-0.00069636-0.00039885i,-0.00059622-0.00027788i,-0.00040738-0.00044391i,-0.00033702-0.00014206i
0.0019417-5.3097e-05i,0.00076864+0.0003462i,-0.00011028+0.0013317i,-0.0012371+0.0018036i,-0.0017267+0.0017952i,-0.0012281+0.0017128i,0.00023025+0.0015008i,0.00080618+0.00084204i,0.0002902+0.00059038i,0.00030017+0.00071474i,0.00070573+8.4286e-05i,0.00040484+4.6737e-05i,0.00010188+0.00046917i,0.00044917+0.00048519i,0.00029085+0.00097513i,0.00016246+0.0010226i,0.00028992+5.7747e-05i,0.00014136+6.3569e-05i,-0.00012785+0.00034723i,0.00014923-0.00012569i,0.00064464-0.00023896i,0.00030303-0.00011298i,2.3614e-05-0.00014856i
0.00032227+0.0015116i,0.0011206+0.00010268i,-6.9575e-05+0.0005153i,-0.00075428+0.00035159i,-0.00053818+0.0010353i,-0.00025824+0.0017601i,-0.00030509+0.0014384i,8.7226e-05+0.00070319i,0.0011343+0.00041632i,0.00077664+0.00058422i,-0.00018013+0.00036674i,-8.6089e-05+7.1138e-05i,-0.0001862-0.0003219i,-0.00067145-0.00035377i,-0.00053268-0.0001774i,5.262e-05-0.00024544i,0.00070037-0.00024836i,0.00098149-0.00057263i,0.00058448-0.00046306i,-0.00039483-0.0007371i,-0.00023984-0.0010271i,0.00058693-0.0006232i,0.00044362-0.00017309i
-0.00062323+0.0014534i,-0.0011742+0.0010464i,0.00014654+0.00094607i,-0.00026621-0.00018987i,-0.00131-0.00046497i,-0.001034+0.0003198i,-0.00086685+0.00062081i,-0.00068346+0.0011049i,-0.00028926+0.0019948i,-0.00038095+0.0010893i,-0.00038722-4.8678e-05i,-0.00017697-0.00044564i,-0.00059066-6.9035e-05i,-0.001251+0.00029998i,-0.00070772+0.00037948i,-0.00057299+0.00069185i,0.00015227+0.00079588i,0.00029872+0.00049008i,-0.00078173+0.00036451i,-0.00091557-4.1751e-05i,-0.00065424+0.00030734i,-0.00048943+0.0001985i,-0.00037286+2.072e-05i
0.0013909-0.00087994i,0.00058629-0.0019553i,0.00018948-0.0014616i,-0.00082172-0.00057823i,-0.0016887+0.00030723i,-0.0013708+0.00030294i,-0.00068702+0.0001379i,0.00012861+0.00037656i,0.00067515+0.00031163i,0.00033099+0.00017318i,0.00013492+0.00027148i,-0.00038574+8.7757e-05i,-0.0006901+3.4469e-05i,0.00012694-0.00033371i,0.00019117+0.00032793i,-0.00096672+0.00075996i,-0.00087424-0.00020962i,0.0004854+3.3637e-06i,0.00064717+0.00015706i,6.2074e-05-0.00038854i,8.9751e-05-0.00085058i,-7.3128e-05-0.00051965i,-0.00057837+0.00063615i
0.00043027+0.0019643i,0.0013055+0.0010092i,0.0023069+0.0020829i,0.0014175+0.0017524i,0.00043712+0.00041064i,0.00026776+0.00063087i,0.00020395+0.0011918i,4.6561e-05+0.00071292i,0.00050476-0.00021974i,0.001091-0.0010476i,0.0010477-0.001126i,0.0002691-0.00074544i,-0.00036393-0.00016187i,-0.00045542+0.00041551i,-0.000509+0.00084162i,-3.6316e-05+0.00049851i,0.00043603+0.00032412i,3.6765e-06+0.000521i,-0.00055264+0.00052446i,-0.00060071+0.00031503i,-0.00081897-0.00015693i,-0.00069272-0.00051554i,-0.00026772-0.00047992i
0.0012092+0.0025347i,0.0014692+0.0015954i,0.0017036+0.0010667i,0.00050275+0.00083924i,-0.00030237+0.00098758i,0.00015286+0.00050389i,0.00081479+0.00073345i,0.00076912+0.0012509i,0.00037908+0.00096578i,0.00055574+0.00053979i,0.00072611+0.00028055i,-0.00048998+0.00070286i,-0.00078029+0.00052811i,-0.00017938-1.9168e-05i,0.00023249-0.00039987i,-0.00023191-7.2514e-05i,-0.00046993+0.0002089i,-0.00065075-0.00033482i,-0.00052949-0.00063607i,-0.00041321-0.00038969i,-0.00065537+3.2474e-05i,-0.00048956-0.00080334i,-0.00087578-0.0011226i
-0.002454+0.00047374i,-0.0020139+0.00020832i,-0.0021288+0.00031967i,-0.0021763+0.0014315i,-0.0024874+0.0024222i,-0.0015882+0.0026294i,0.00029126+0.0025581i,0.0011176+0.001712i,0.00064615+0.0012836i,0.00028643+0.0010634i,0.00050992+0.00049165i,0.0007513-0.0005624i,3.603e-05-0.00041365i,-0.0016202+0.00037943i,-0.0017217+0.00041408i,-0.0010185+0.00028592i,-0.00060269+0.00022251i,-0.00012684-1.3332e-05i,0.00025638-0.00043786i,0.00067169-0.0013185i,0.00060895-0.001498i,0.00036291-0.00065117i,0.00028878-0.00022805i
-0.0011109+0.0013663i,-0.00098146+0.0012766i,-0.0018898+0.0023624i,-0.0015466+0.0015337i,-0.0014356+0.00056504i,-0.0012145+0.0010344i,-0.00023555+0.0015477i,-0.00010864+0.0014606i,-0.00077722+0.00089205i,-0.00080932+0.00044082i,0.00011622+0.00015725i,-1.7287e-05+0.00035074i,-0.0002304+0.00050111i,-0.0001472+0.00096945i,-0.00086087+0.001201i,-0.00082666+0.00096409i,-0.00026625+0.0011494i,0.00014409+0.00099579i,0.00078095+0.00022069i,0.00053033-0.00056759i,-0.00052968-0.00066508i,-0.00063948-0.00032269i,-0.00074364-1.6266e-05i
-0.00061181+0.0015379i,-0.0013416-0.00028924i,-0.0011254-0.00018416i,-0.0010187+0.0002871i,-0.00069434+9.9188e-05i,4.979e-05+0.00058833i,-0.00011112+0.0010923i,-0.00052967+0.0011515i,-0.00042889+0.0010855i,-0.000596+0.00078469i,-0.00023019+0.00094163i,0.0005491+0.0012831i,0.00026488+0.00106i,-0.00025139+0.00048875i,-0.00012494+0.00043477i,-7.7321e-05+0.00065005i,0.00042503+0.00056738i,0.00050909+0.00026707i,-1.1412e-05+0.00029073i,-0.00046577+0.00059637i,-0.00071753+0.00089249i,-0.00033501+0.00073292i,-0.00016634+0.00050665i
-0.0024999-0.00065473i,-0.0024694-0.00088998i,-0.00095037+0.0014643i,-0.0013435+0.0020638i,-0.0015281+0.0012706i,-0.0007454+0.0011977i,-0.00049941+0.00097769i,0.00028605+0.00074088i,0.00079043+0.0010068i,0.00024407+0.0018937i,0.00011126+0.00116i,0.00051233-0.00039898i,0.00035302-0.00033308i,0.00029568-0.0012013i,0.00055487-0.0017231i,4.1813e-06-0.00037308i,-0.00079097+0.00023644i,-0.00026784+0.0002448i,0.00057018+0.00037608i,0.00038423+0.00051257i,0.00046812+0.00071963i,0.00087076+0.00047589i,0.00041443+2.7551e-05i
-0.0002793-0.0025902i,8.7783e-05-0.0024646i,-0.00043799-0.0017063i,-0.0011994-0.00041077i,-0.0015153+0.0010054i,-0.0013372+0.0012556i,0.00021258+0.001687i,0.0010098+0.0011664i,0.00089282-1.182e-05i,0.0009147-0.00057624i,0.00079845-0.00050691i,0.00043635+0.00021137i,-4.2072e-05+0.00026992i,2.9789e-05+0.00040709i,0.00031533+0.00056473i,0.00017304+0.00080316i,0.00043536+0.00058837i,0.00049173-0.00018022i,0.00034608-0.00077528i,7.7597e-05-0.00078927i,0.00028251-0.00024107i,-0.00016018-0.00050484i,-0.00024265-0.0011292i
0.002082+4.2064e-05i,0.00128+8.7873e-05i,0.00056169+3.9255e-06i,-0.00052995-5.9758e-05i,-0.0016544-2.5493e-06i,-0.00097803+0.00068058i,-0.00043988+0.0017493i,-0.00076995+0.0011906i,-0.00043543+0.00069048i,0.00015129+0.00065415i,0.00024418+0.00034204i,0.00034625+0.00019091i,2.4287e-05+0.00018473i,-0.00026709-0.00036654i,-0.0004139-0.00070567i,-0.00040412-5.4944e-05i,-0.0005777+0.00025077i,-0.00018273+0.00018076i,0.00016107+0.00039057i,-0.00016526+0.00048507i,-0.00057789+0.00056465i,-0.001097+0.00035135i,-0.00083791+2.0803e-05i
0.00020685+0.0024583i,4.3566e-05+0.0016094i,0.0009014+0.0014579i,0.0013018+0.0012499i,0.0011517+0.00079279i,0.00068618+0.00048424i,0.00018749+0.0008564i,0.0005935+0.00043751i,0.00098836+0.00016856i,0.00077116+0.00037005i,0.0006231+0.00014858i,0.00027176+0.00020464i,-0.00053402-0.00054193i,-0.00055525-0.00067978i,3.3604e-05+0.00022827i,0.00052972+0.00030302i,0.00057705-7.3041e-05i,0.00061069+4.9024e-05i,0.001005+0.00037906i,0.00030745+2.31e-05i,-0.00056265-0.00025822i,-0.00012949+0.00034923i,0.00063403+0.0011211i
-0.0014393+0.0022863i,-0.00051285+0.003336i,-0.0003553+0.0036317i,-0.0012594+0.0031785i,-0.0020571+0.0025897i,-0.0018078+0.0014979i,-0.00059389+0.00024439i,0.00011124-0.0004876i,-0.0001689+0.00010451i,-3.6983e-05+0.00050192i,0.00024469+0.00048912i,-0.00025488+0.00069044i,-0.00067954-9.5378e-05i,-0.00060048-0.00040046i,-0.00012799+0.00044389i,0.00021909+0.0011005i,0.00069122+0.00080192i,0.00081976+0.00066718i,0.00066324-6.4029e-05i,0.0003016-0.00037103i,-0.0010149+0.00045087i,-0.00055493-0.00013809i,0.00039349-0.0012747i
0.00044862+0.0010743i,-0.00019463+0.0013777i,0.00011599+0.0014748i,0.00083873+0.00057069i,-0.00022244+0.00040183i,-0.00070968+0.00087422i,0.00017604+0.0013743i,2.1441e-05+0.00074337i,-0.00042021-6.836e-05i,-0.0002683+0.00012011i,-0.00023807+0.00055758i,0.00015358+1.3009e-05i,-0.00017077-0.00054328i,-0.00067575+0.00013565i,-0.00061793+7.9965e-05i,-0.00010937-0.00069387i,0.00041529-0.00040896i,0.00046308+0.00013081i,0.00032052-0.00058341i,-0.0002339-0.00083658i,-0.0011901-0.00040282i,-0.0011174-9.3878e-05i,-0.00019871-0.000206i
-0.0029361-4.9637e-05i,-0.0044054-4.7878e-05i,-0.0044956+0.00032922i,-0.0041091+0.0010054i,-0.0033916+0.0017811i,-0.0016095+0.0016238i,0.00054554+0.0017249i,0.001316+0.001528i,0.00063786+0.00054554i,0.00028592+0.00075616i,0.00013631+0.0015411i,-1.266e-05+0.00098735i,-0.00023879+0.00064974i,-8.3408e-05+0.00050192i,-0.00019949-0.00035003i,-0.00052696+0.00026648i,-0.00018108+0.0012783i,3.3289e-05+0.00079351i,0.00026464-0.00027053i,0.00028397-0.00085002i,-8.8238e-06-0.00044738i,-0.00026662+4.4111e-05i,-4.4344e-05+0.00065025i
-0.0011497-0.00043428i,-0.0028403-0.0010894i,-0.0022302-0.00054073i,-0.0017749-5.2976e-05i,-0.0023346+0.00062686i,-0.0023018+0.0014281i,-0.00097313+0.0022439i,-0.00045539+0.0017025i,-0.00094348+0.00062256i,-0.00078221+0.00057359i,-2.6941e-05+0.00089102i,-4.9882e-05+0.00088375i,6.4954e-05-1.446e-05i,6.8062e-05-0.00047471i,-0.00048649-0.00012237i,-0.00079219+5.1488e-05i,-0.00019295+0.00018991i,0.00032783-0.0002392i,0.00034957-0.00069352i,0.00047818-0.00018142i,0.00050724-0.0001324i,-0.00012798-0.00091593i,0.00014868-0.00077211i
-0.00076407-0.00073247i,-0.00070684-0.00084638i,0.00056673-0.00020172i,6.4654e-05-0.001142i,-0.0011254-0.00096338i,-0.0011096-6.1077e-05i,0.00023122+0.00030525i,0.001143-0.000379i,0.00044572-0.00090506i,-0.00078267-0.00043683i,-0.00072148-2.8746e-05i,-0.00018001-0.00018571i,-0.00048599+8.553e-05i,-0.00078065+0.00061115i,-0.00022885+0.00065713i,-0.00037989+5.3747e-06i,-0.0009005+0.00015081i,-0.00049355+0.0003195i,0.0001363+0.00042201i,0.00020093+0.00063977i,4.7679e-05+0.0008622i,-0.0004287+0.0013653i,-0.0010592+0.00163i
-0.002081-0.00087586i,-0.0012592-0.00012806i,-0.0010081+0.0014319i,-0.0013557+0.00054378i,-0.0014946+0.00087131i,-0.0008592+0.0012854i,-0.00017723+0.0016567i,0.00077044+0.0020311i,0.00064161+0.0016354i,0.00018336+0.0012963i,5.331e-05+0.00073714i,-7.8643e-05-0.00060794i,-0.00035341-0.0011137i,-0.0004926-0.00081527i,-0.00020611-0.00033163i,-2.0187e-05+9.5761e-06i,-0.00010218+0.0001009i,-0.00025904-0.00043465i,-0.00013452-0.00079776i,0.00012193-0.00060768i,-2.3153e-05-0.00034488i,0.00033598+0.00017129i,0.0009787+0.00035848i
0.00024737-0.0013784i,-0.0003711-0.0014755i,-1.0382e-05+0.0001703i,-0.00022234+0.0013414i,-0.0006554+0.0010371i,-0.0005092+0.00070429i,-0.00061168+0.00040833i,-0.00065301+0.00014809i,0.00024244-0.00028346i,0.00093747+4.0419e-05i,0.00051253+0.00041352i,0.0004767+0.00035634i,0.00029155+5.6053e-05i,-0.00088599-7.4809e-05i,-0.0013652+0.00053185i,-0.00052883+0.001047i,-0.00044774+0.0010487i,-0.00091015+0.00056393i,-0.00022048+0.00064317i,0.00038697+0.00029533i,0.00041603-0.00039613i,0.0002468-0.00025043i,-3.7218e-06-0.00017493i
