-0.0025102-0.00018344i,-0.0018894+7.3472e-05i,-0.0024964+0.00076715i,-0.0026367+0.00087674i,-0.002108+0.00075561i,-0.0010519+0.00068975i,-0.00079396+0.0014977i,-0.00087969+0.0016932i,-0.0005499+0.0018663i,0.00020428+0.0015587i,0.0012353+0.0001343i,0.0012079-0.0015231i,0.00014453-0.0016457i,-0.00078786-0.00098461i,-0.00096521-0.0010351i,-0.0004171-0.00060483i,-0.00039593+0.00031065i,-0.00084106+0.00012121i,-0.00082605+0.00039318i,-9.1579e-05+0.00050345i,0.00037215+0.00025665i,-8.0794e-05+0.00016966i,-0.00019481+0.00011589i
-0.00056913-0.00030865i,-0.0012134-0.0011518i,-0.0020087-0.0015365i,-0.0025756-0.00078532i,-0.0022662+0.00050322i,-0.001762+0.0010096i,-0.0014205+0.00060374i,-0.0012137-2.1963e-05i,-0.0011546-0.00031349i,-0.00068234-0.00036191i,0.00010747-0.00053789i,8.1708e-05-0.00013277i,-0.00043417+0.00012263i,-0.00018358-0.00012185i,-0.00033837+0.00055811i,-1.1755e-05+0.00054243i,0.0004762-0.00025926i,0.00049767-0.00033429i,0.00024506-0.00076227i,0.00030195-0.00052211i,0.00096727+0.00066622i,0.0012354+0.00074658i,0.00084258-2.6287e-05i
-0.00070221+0.0020344i,0.001158+0.0020208i,0.0025764+0.0020755i,0.0032411+0.00098432i,0.0022335-9.6273e-05i,0.0007843-0.00058572i,-0.00014655-0.00057568i,-0.00072442-0.00019027i,-0.00054811+4.1026e-05i,0.00028831+0.00026019i,0.00080352+0.00020693i,0.00037004+0.00033705i,1.8839e-05+0.00014789i,0.00027035-0.00055463i,-0.00023825-0.00077043i,-0.00055256-0.00059142i,-0.00030167-0.00059494i,0.00042467-0.00083651i,0.00069426-0.00061159i,-0.00019191+0.00023816i,-0.0005018+0.00026378i,-0.00044792+6.7585e-05i,-0.00017983+0.00052803i
0.00095298-5.9128e-05i,0.0010485-0.00025115i,0.00044355-0.00033799i,-0.00027293-0.00026488i,-0.00061969-0.00037314i,-0.00062488-0.00067165i,-0.00058725-0.0004781i,-0.00077377-0.00018687i,-0.00097421+0.00050634i,-0.00052127+0.00091931i,-0.00016807+0.00047778i,-0.000999-0.00056009i,-0.0013732-0.001046i,-8.4177e-05+0.0001663i,0.00039435+0.0013527i,0.00011608+0.00059702i,0.00073576-0.00041278i,0.00088989-0.00064299i,0.00049495-0.00062803i,0.00087791-8.8988e-05i,0.00051611+0.00012605i,-0.00011821+0.00018873i,-1.0924e-06+0.00026239i
0.00030454+0.0003412i,8.0058e-05-0.0008662i,0.0002769-0.00066433i,0.00017427-0.00068277i,-0.00060994-0.00061377i,-0.0014281+0.00014034i,-0.0011443+0.00077433i,-0.00069864+0.0016907i,-0.00090206+0.00099809i,-0.00063728+0.00031033i,-0.00041105+0.00010546i,3.8003e-06+0.00019117i,0.00055598+0.00042665i,0.00044756-3.6235e-05i,-0.00017266-0.00058444i,-0.00031153-0.0010073i,0.00033269-0.0013543i,0.00030564-0.00049432i,-1.6368e-05+0.00018516i,-0.00013254-8.4594e-06i,-0.00078489-0.00036269i,-0.0011203+9.0215e-05i,-0.0009564+0.00065394i
-0.00062132-0.0019239i,-0.0019484-0.0015825i,-0.0021697-0.0013034i,-0.0017853-0.0013927i,-0.0021736-0.00044638i,-0.0023495+0.00080803i,-0.0015459+0.0010051i,-0.00069802+0.00080501i,-0.00087763+0.00089575i,-0.00071011+0.00050376i,-0.00035799+0.0007768i,0.00027349+0.0011088i,0.0011585+0.00070103i,0.00044107+0.00020002i,-0.00063435+0.00027031i,-0.00074724+0.0010867i,-0.00018526+0.0010893i,0.00019833+0.00062006i,0.00036102+0.00052821i,0.00038054-9.849e-05i,4.4335e-05-0.00028509i,-0.00035443+0.00011496i,-0.00094397-0.00057193i
-0.00021999+0.0011707i,-0.00055099+0.0012192i,-0.0013207+0.0016277i,-0.00084717+0.00061218i,-0.00034221-0.00044649i,-0.00019449-0.00029999i,-0.00013659+0.0002529i,-4.3869e-05+0.0010971i,4.6722e-05+0.0011591i,-4.8024e-05+0.00041448i,-0.00095944+0.00028687i,-0.0010888+0.00051463i,-0.00023032-0.000122i,2.5129e-06-0.00073349i,-0.00011909-0.00074832i,0.00017288-0.00040576i,0.00046203-0.00030561i,0.00067136-0.00014987i,-0.00026091-0.00025996i,-0.00069391-0.00084813i,-0.00036243-0.00071368i,-0.00041004-0.00039367i,5.6022e-05+0.00044527i
-0.00046788-0.00052067i,0.00010254+0.00077869i,0.00014071+0.0013174i,-0.00037679+0.00074671i,-0.00072252+0.0010194i,-0.00058071+0.0011429i,-0.0018661+0.00099057i,-0.002348+8.4313e-05i,-0.0015905+0.00032628i,-0.00097106+0.0014234i,-0.0004597+0.0012703i,0.00018232+0.00089705i,0.0011127+0.00069708i,0.00095123+0.00033414i,0.00039428-0.00081745i,2.452e-05-0.0013977i,3.3513e-06-0.0013129i,0.00039474-0.0011781i,0.00024183-9.8177e-05i,-0.00023713+0.00047131i,-0.00037211+0.00030216i,5.8999e-05+0.00015902i,0.00010233+0.00015853i
-0.0011313+0.0011149i,-0.00069172+0.001867i,-0.0008493+0.001535i,0.00028163+0.00086487i,0.0010516+0.00046545i,0.00036687-0.00011152i,-0.00030358-0.00027186i,-0.0010386-0.00014856i,-0.00077912+0.00052313i,-0.00019134+0.00074001i,-0.00012375+0.00030591i,-0.00010832-0.00016039i,-0.00028064-0.00036902i,-0.00039385-0.00097757i,-9.2064e-05-0.00071188i,0.000317-2.9312e-06i,0.00046811+0.00017815i,3.4711e-05-0.00021098i,0.0003934-0.00073241i,0.00045709-3.1924e-05i,-9.4252e-05+0.00050772i,-0.00058689+0.00035101i,-0.00057901+1.9833e-05i
-0.00099118+0.0011391i,-0.00093889+0.00017593i,-0.0010654-0.00040652i,-0.0014155-0.00015165i,-0.00091211+0.00044597i,-0.0010718+5.4791e-05i,-0.0010438-0.00039647i,-0.0013595-0.00018275i,-0.0017889-1.8397e-06i,-0.0012812-0.00053349i,-0.00095016-0.0013256i,-0.00046686-0.00048941i,0.00011287+0.00069867i,0.00028214+0.00061437i,0.00034935+4.9884e-05i,7.9867e-05-0.00018862i,-0.00034002-0.00065022i,3.7038e-05-0.0014811i,0.00053191-0.0011673i,0.00082824-0.00028407i,0.0010226-0.00087442i,0.00087315-0.0013595i,0.00036867-0.00045627i
0.00093589+0.00089958i,3.9391e-05+5.1943e-05i,0.0005338-0.00010781i,0.00017248-0.0010919i,-0.0010325-0.0015582i,-0.0015827-0.0012319i,-0.0011489+6.2975e-05i,-7.2549e-05+0.00076662i,0.00080447+0.00013868i,0.00020786-0.00084784i,1.1263e-05-0.00032274i,0.00018902+0.00023871i,-0.00031736+0.00046836i,-0.00063715+0.00051399i,-0.00044091+0.00010229i,-0.00056026-1.4691e-05i,-0.00039695-3.3928e-05i,-0.00010497+1.4903e-05i,0.00092271-9.9873e-06i,0.0016549-9.1822e-05i,0.0012224+0.00021275i,0.0001621-0.00010067i,-0.00055593-0.00029253i
