0.00033117-0.00092619i,-0.00050494-0.0019094i,0.0010586-0.0011131i,0.0018202-0.00044908i,0.0011102-0.00021942i,0.00053257+0.00047778i,0.00064821+0.00040413i,0.00064419+0.00045391i,-0.00020807+0.0011196i,-0.00012836+0.00052254i,0.00069296-0.001077i,0.0010427-0.0012187i,0.00012549-0.00014546i,-0.00020298+0.0007776i,0.00018082+0.00069223i,0.00076004-0.00040453i,0.00081657-0.00053583i,0.00029546-0.00011972i,0.00046384-0.00014293i,0.00091686-0.00071352i,0.00051405-0.00072181i,2.2112e-06-0.00018992i,0.00048561+0.00061887i
6.775e-05+0.0002672i,-0.00020383-6.4973e-05i,-0.00028283+0.00036135i,0.0010711+6.2828e-05i,0.0012484-0.00041158i,-7.4507e-05+7.8195e-05i,8.5702e-05+0.00073501i,0.0004948+0.00062982i,0.0001337+0.00022145i,0.00018521+0.00020834i,0.00075725+7.9483e-05i,-0.00020024+0.00038546i,-0.00075951+0.00069948i,0.00011825+0.00025157i,0.0004261+3.2025e-05i,0.00023985+0.00053342i,0.00024658+0.00085721i,0.00024224+0.00064838i,0.0004267+0.00013886i,0.00029591+4.0306e-05i,0.00014788+7.0833e-05i,0.0001397+0.00014483i,0.00014885+0.0010145i
-0.0015948+0.0011654i,-0.00094563+0.00090749i,-0.0010744+0.0005494i,-0.00089702+0.00079602i,0.00012191+0.00041538i,0.001097-2.6037e-05i,0.0011256+0.00040242i,0.00038091+0.00033242i,6.6571e-05+6.037e-05i,-0.00035203+0.00028515i,-5.1732e-05+0.0006455i,-1.0328e-05+0.00030868i,-0.0004723+9.7927e-05i,-0.00083865-0.00028683i,-0.001185-0.00033718i,-0.00075912-0.00013601i,-0.00022495-0.00046163i,-8.8132e-06-0.00020876i,0.00037549+0.00013223i,0.00086088-0.00015988i,0.00037151+0.00023245i,-0.00070779+0.00060555i,-0.00054702+0.00036215i
-0.00091109+0.00017486i,-0.00089457+0.00072423i,-0.00020583+0.00017952i,0.0002858-0.00051416i,9.8096e-05-0.00087052i,-0.00015377-0.00020774i,-0.00024692+0.00083578i,-0.00046631+0.00052198i,-0.00060335+0.00027302i,-0.00031065+0.00020384i,0.00010652-0.00025904i,0.00061567-0.00011048i,0.00069631+2.0592e-05i,0.00033226+0.00021187i,0.00052403+0.00078571i,0.0008458+0.00081963i,0.00022194+0.00053504i,0.00013604+0.0003439i,0.00024731+0.00010972i,0.00030144-0.0002635i,0.00047431+0.00014159i,-0.00048067+0.0010141i,-0.00046613+0.0011271i
-0.00060579+0.0011826i,-0.00088188+0.00052048i,0.00058649+0.0003974i,0.0027203-0.00011841i,0.0027112-0.00081011i,0.0015828-0.00068097i,-0.00038498-0.00059239i,-0.00088539-0.0007254i,0.00044215-6.5938e-05i,0.00075112+0.00015011i,0.00061025-0.00060151i,0.00047578-0.00021536i,0.00049279+0.00043062i,0.0012808-0.00030085i,0.0015771-1.8491e-05i,0.0013552+0.00074374i,0.0012149+0.00033345i,0.00076206+0.00062827i,5.2492e-05+0.00071102i,-4.3946e-05-0.0001094i,1.1303e-06-0.00026119i,-0.00017895+0.00013959i,-0.00041477+0.00024817i
-0.00078384-0.0002665i,0.0002433-0.00063972i,0.00044672-0.00077785i,-0.00058752+2.5972e-05i,-0.001043-0.00025013i,-0.00069154-5.6751e-05i,0.00037423+0.00015315i,0.00056834-0.0005323i,-0.00016532-0.00053931i,-0.00054043-0.00015324i,-0.00046302-0.0001739i,6.4986e-05-3.2211e-06i,0.00011835+0.00083264i,0.00012648+0.00083845i,5.2713e-05+0.00018865i,0.00037528-7.9704e-05i,0.00097069-0.00031893i,0.0007206-0.00042184i,-0.00019346-0.00061625i,0.00015828-0.0012112i,0.00043633-0.0010501i,-0.00072569+0.00052688i,-0.0010405+0.0015335i
0.00075785-0.0013688i,0.0014248-0.0011607i,0.002397-0.00037047i,0.0018413-0.00090743i,-9.278e-05-0.0014726i,-0.0013176-0.001i,-0.00073697+0.00092984i,-0.00022244+0.0011055i,5.7683e-05+0.0002549i,-0.00032908-1.2851e-05i,-0.00028744-0.00048633i,-0.00018664-0.00086915i,0.00032364-0.00073351i,0.00071044-0.00018299i,0.00024387-0.00019902i,-9.579e-06-0.0002023i,0.00020968-4.7661e-05i,0.0008975-7.755e-05i,0.00070818+4.2535e-05i,4.5151e-05+0.00048792i,-9.5357e-05+0.00036918i,-0.00014002-0.00065617i,-0.00053769-0.00095729i
-0.00079315-0.0025831i,-0.00043501-0.0012711i,-0.00035691-0.0012685i,-0.00032993-0.0017649i,-0.0006637-0.0018739i,-7.1906e-05-0.0002129i,0.00046278+0.00086717i,0.00011721+0.00025429i,-3.5726e-05-1.7225e-05i,-6.8992e-05+0.00018354i,-1.3099e-05+9.9408e-05i,-0.00033355-0.00022435i,9.6703e-05+0.00018366i,5.3176e-06+0.00028401i,-0.00046885-0.0004855i,-0.00072528-0.00087414i,-0.00057725-0.00078319i,0.00026992-0.00055413i,0.00092249-0.00011584i,0.0013636+0.00075683i,0.0017028+0.0010076i,0.0018212+0.00052748i,0.00078538+0.00023682i
-0.00073727-0.00022321i,-0.00061083+0.00029005i,8.7458e-05-0.00053718i,0.0014829-0.0022472i,0.001692-0.0023873i,0.00062863-0.00097207i,0.00037607-0.00024926i,-0.00013307-0.00052178i,-0.0010213-4.8763e-05i,-0.00096284+0.00032109i,-0.00045685+0.00024158i,0.00014083-0.00032156i,0.00018102-0.00065363i,0.00017399+0.00021393i,0.00053062+0.00048734i,0.00087127-0.00011462i,0.00059698+9.6783e-05i,3.7394e-05+0.00082597i,-4.2054e-05+0.00027333i,0.00011022-0.000853i,0.00042697-0.00045186i,0.00031565-0.00028201i,6.2533e-05-0.00057349i
-0.0003571+0.00068656i,-6.4222e-06+0.00032822i,0.0002529+0.00054986i,0.00049081+0.00043973i,0.0011614+8.808e-05i,0.0012932-0.00016687i,0.00077183-0.00068727i,0.00035126-0.00071506i,-0.00014783-0.0004652i,-5.0333e-05-0.00053489i,0.0002124-0.00033551i,0.00034067-4.3981e-05i,0.00063574+0.00020532i,0.00070476+0.0010268i,0.00045788+0.00066997i,0.00097947+8.2502e-05i,0.0010023-0.00031062i,0.00077718-0.0007862i,0.00059491-0.00030084i,-0.00012201+0.00025631i,-0.00064976+0.00062699i,-0.00028244+0.00036866i,0.00054715-4.5417e-05i
-0.00079383+0.0027408i,-0.00065707+0.0027535i,0.00015419+0.0028042i,0.0010336+0.00076367i,0.00096463-0.00033495i,0.0005222-0.00014432i,0.00096207+7.802e-05i,0.0012722+0.0012004i,0.0007185+0.0016351i,0.00046894+0.0011718i,0.00065168+0.00055588i,0.00094847+0.00010952i,0.0012601+0.00042062i,0.0010895+0.00025724i,0.0010611-6.5073e-05i,0.0012007+0.00040448i,0.00061076+0.00054972i,0.00016135+0.00031744i,-0.00029536+0.00028681i,-0.00067082+0.00013727i,-0.00055449+7.0632e-05i,-0.00060796+7.1377e-05i,-0.00031068-0.00023333i
-0.0016397+0.00041902i,-0.00077924+0.0003697i,0.00069663+0.00061384i,0.0019331+0.0010622i,0.0021298+0.00051166i,0.0017266-0.00020035i,0.001248-0.0003356i,0.00076642+0.00019854i,-2.8844e-05+0.0007522i,0.00014029+0.0010095i,0.0012938+0.00064293i,0.0012835+0.00061898i,0.00074325+0.00074161i,0.00044082+0.0001841i,0.00042412+0.00030997i,0.00033026+0.00077963i,0.00020706+0.00073594i,0.00046546+0.00065405i,0.00084983+7.6486e-05i,0.00091393-3.4842e-05i,0.0011809-0.0002321i,0.00098001-0.00029157i,-7.2522e-05+0.00031017i
-0.0013499-0.00073385i,-0.0009866-0.00076287i,-0.00020656-0.0010518i,0.00078251-0.0012473i,0.0010216-0.00018858i,0.00055058+0.00080779i,0.0010788+0.0011023i,0.00042226+0.001325i,-0.00038356+0.00091302i,-2.6925e-05+0.00026751i,-0.00028706+0.00064308i,-0.00093418+0.0017852i,-0.0011435+0.0015945i,-0.0010681+0.00040837i,-0.0011134-0.00014486i,-0.00072105+2.0998e-05i,5.1559e-05+0.00090284i,-1.8295e-05+0.0010049i,-0.00015714+0.00022773i,0.00010083+0.00029795i,-0.0001455+0.00053448i,-9.3499e-05+0.00058838i,-3.0582e-05+0.00078363i
-0.00030692-0.0013123i,-0.00024937-0.00073648i,0.00035511-0.00052728i,0.00086693-0.00079031i,0.00057677-0.00103i,-0.00013128-0.00045498i,-0.00020624+0.00030982i,-9.7999e-05-0.00038466i,-6.8787e-05-0.00069548i,1.3467e-05-0.00047223i,0.000493-0.00054744i,0.00085198-0.0006997i,0.00028762+3.0225e-06i,0.00027903+0.00087972i,0.00030307+0.0010802i,0.0008633+0.00069622i,0.0011815+0.00053937i,0.0002982-8.2849e-05i,0.0003548-0.00099733i,0.0013222-0.00058696i,0.0010682+9.8308e-05i,2.3627e-05-5.6132e-05i,-0.0006437+0.00018224i
0.00086163-0.0014129i,0.0010144-0.0014502i,0.00089707-0.0012773i,0.00089552-0.0008176i,0.00083401-0.00017163i,0.001231+0.00052287i,0.0018886+0.00099345i,0.0011684+0.00042289i,-0.00025577-0.00016428i,-0.00057426+0.00012843i,-0.00055168+0.00055583i,-0.00035792+0.00026235i,-0.00047035-0.00058395i,-0.00088796-0.00078707i,-0.00021778-0.00051096i,0.00027215+1.8298e-05i,0.00015874+0.00022142i,0.00052453+0.00028315i,0.00054801+0.00026518i,-0.00038387+0.00029606i,-0.00090139-0.00032918i,-0.00098075-0.00063003i,-0.00023748-0.00019432i
-0.0013303-0.001607i,-0.0012842-0.0017958i,-0.00086412-0.0017259i,-0.0013162-0.0016199i,-0.0017499-0.00050951i,-0.00058495+0.0011243i,0.00027452+0.0014595i,-0.00028012+0.0006812i,-0.0005102-0.00038984i,0.00025946-0.00028782i,0.00040183+0.0004999i,-0.00083538+0.00032239i,-4.8598e-05+0.00053944i,0.00054787+0.00092084i,0.00022316+0.00019776i,0.0010653-1.2374e-05i,0.0014106+0.0008875i,0.00097943+0.00078131i,0.00043112+0.0005039i,-0.00023161+0.00052871i,-0.00036707+4.4829e-05i,-0.00037341-7.0219e-05i,-0.00023873+0.00033257i
0.0012892-4.2929e-05i,0.0014832+0.00019747i,0.0028794+0.00071395i,0.0031478-0.00070858i,0.001588-0.0014039i,5.5689e-05-0.00068663i,9.2688e-05-4.528e-06i,0.00058716-0.0003678i,0.00041103-0.00018433i,8.0025e-05+0.00074057i,-0.00021012+0.00054855i,-0.00033582-6.4934e-05i,0.00028387-0.00037328i,0.00088585-0.00046557i,0.0011382+5.1455e-05i,0.0014934+0.00022926i,0.0018635-1.4519e-05i,0.0011501+0.00044686i,-0.00039934+0.00026249i,0.00011095-0.00056122i,0.00087811-0.00086315i,0.00029988-0.00035499i,-0.00020158-0.00030323i
