0.0015974+0.0003971i,0.0024248-0.00074659i,0.0018297-0.0026418i,3.6992e-05-0.0033083i,-0.0018962-0.0021078i,-0.0024427+0.00024792i,-0.0011613+0.0013346i,0.00025564+0.00044428i,0.00044663-0.00068526i,0.00056898-0.0014854i,0.0012354-0.00099002i,0.0014361-0.00048504i,0.00055515-0.00084246i,6.5635e-05-0.00095912i,0.0004346-0.00047024i,0.00015671-4.44e-05i,-0.0004054+0.00063717i,-0.00029089+0.0010156i,0.00041128+0.0012469i,0.00028002+0.00083755i,-0.00031055-0.00015039i,-0.0001657-0.00079797i,0.00026161-0.00082404i
-0.0010365-0.0012101i,-0.00089474-0.0010109i,-0.00076984-0.00028293i,-0.0018577+0.00034689i,-0.0028103+0.00084091i,-0.0020179+0.00089161i,-0.00085884+9.2751e-05i,-0.00069501-0.0012458i,-0.00049762-0.001621i,-0.00051554-0.00052052i,-0.00012337+0.00023773i,0.00064915-0.00038968i,0.00071062-0.00086794i,0.00049676-0.00019728i,0.00066496+8.5485e-05i,0.00081617+0.00049224i,-7.7138e-05+0.00091364i,-0.00058349+0.0014706i,-0.0010993+0.0018786i,-0.0015638+0.0014914i,-0.00081284+0.0011918i,-0.00030537+0.00077802i,1.3569e-05+0.00015683i
-0.0031503-0.0004646i,-0.0028347-0.00057991i,-0.0031807-0.0015351i,-0.0040808-0.0012657i,-0.0038443-0.00075353i,-0.0021789-0.0016939i,-0.00086789-0.0021825i,-0.00087941-0.0012652i,-0.0016764-0.00044118i,-0.0015535-4.4217e-05i,-0.00073831+0.00056081i,9.964e-05+0.00035342i,8.736e-05+0.00078106i,-0.00042436+0.001504i,0.00041292+0.0011042i,0.00042481+0.00038468i,-0.00035124+0.00038506i,-0.00020823+0.00088893i,-0.00022735+0.00068347i,-0.00052582+0.00071121i,-0.00053344+0.00015347i,-0.00016959-0.00071259i,-2.8862e-05-0.00073525i
0.00026421-0.002271i,0.0012638-0.0033045i,0.0007303-0.0037848i,0.00022695-0.0024315i,-0.00020294-0.00067443i,-0.00025739-0.00079165i,1.2531e-06-0.00086805i,-0.00020044-0.00057668i,-0.00012713-0.00089953i,-0.00065021-0.00020416i,-0.00082387+0.0009891i,-0.00056199+0.00072243i,-0.00080044-1.9315e-07i,-0.00071037-0.00018623i,-0.00047289-9.8742e-06i,-0.0001311-8.3677e-05i,0.00043337-0.00028485i,0.00085396-0.00023387i,0.00061677+0.00026955i,-0.00011663+0.00054833i,-0.00044902+0.00044692i,-0.00024433+0.00017624i,-0.00022767-0.00033077i
0.00086044-0.0012666i,0.0015897-0.0013494i,0.0016086-0.0022227i,-0.00020507-0.0024338i,-0.0017238-0.001393i,-0.0012272+0.0001831i,-0.00031665+0.00063669i,-0.00076048-0.00014861i,-0.0012544-0.00067914i,-0.00081457-4.3619e-05i,-0.00075262+0.00046224i,-0.00073919+0.00027229i,-0.000318-0.00078257i,-0.00020431-0.00061301i,-0.00044606+0.0001866i,6.5385e-05+6.4902e-05i,0.00089266+0.00030314i,0.00081368+0.00089255i,-0.00030336+0.00066813i,-0.00082081-8.5017e-05i,-0.00037876-0.00067002i,2.1853e-05-0.00014485i,0.00011701+0.00098534i
0.00048401+0.0009799i,0.00030763+0.0016388i,0.00014866+0.00091647i,-0.00055214+0.00077096i,-0.0015896+0.00041651i,-0.0017892-0.0005252i,-0.00085226-0.0010693i,-0.00034151-0.0015504i,-0.00041817-0.0013121i,-0.00078453-0.00062118i,-0.00088839-0.00011078i,-0.00065749+0.00019222i,-0.00076086-0.00013377i,-0.0012115-0.00042133i,-0.0014014-0.00034711i,-0.0012832+4.192e-05i,-0.00094255-3.2593e-05i,-5.2978e-05+0.00012898i,0.0003309-0.00012736i,0.00067532+0.0001653i,0.00038688+0.00062918i,-0.00042375+0.0009321i,0.00022756+0.00033057i
-0.0016557-0.0014686i,-0.001178-0.0023374i,-0.0013917-0.0015383i,-0.0018698+9.9833e-05i,-0.0023028+0.00060898i,-0.0024029-2.1244e-05i,-0.0016245-0.0013168i,-0.00059416-0.0015937i,-0.00072333-0.0010738i,-0.00079233-0.00060489i,8.0076e-05-0.00057797i,-8.2936e-05-0.00020668i,-0.00062852+0.0004694i,-0.00051118+0.00063594i,0.00019569+0.0011446i,0.00035743+0.0011439i,-0.00014987+0.00026931i,-0.00055867+0.00064773i,-0.00039135+0.0011746i,-0.0001551+0.00038934i,-0.00043539-0.00012839i,-0.00030937-0.00026566i,6.6832e-05-0.00017873i
-0.00022446-0.0015682i,-0.00033067-0.0014613i,-0.0014763-0.0027942i,-0.0019129-0.0025992i,-0.0019644-0.0011953i,-0.0019089+2.4051e-05i,-0.00058859+0.00038995i,0.00015724-1.6898e-05i,-6.8231e-05+3.385e-05i,-0.0004074-0.00018841i,-0.00084918-2.4613e-05i,-0.0010738-1.0952e-05i,-0.00028651-0.0007092i,0.0004361-3.7029e-05i,5.4141e-06+0.0006153i,-0.00076411+0.00040525i,-0.0011112+0.00045277i,-0.00065987-2.1175e-05i,0.00019472-2.5344e-05i,0.00070568+0.00073023i,0.00089349+0.00086754i,0.0006195+0.0008708i,0.00036825+0.00080014i
0.002833+0.0006177i,0.002592+5.0445e-05i,0.0023368-0.00042837i,0.0010576-0.0013253i,-0.00078606-0.0024975i,-0.00061055-0.0025618i,-6.1556e-05-0.0017237i,-0.00075086-0.00073336i,-0.0014921+0.00020428i,-0.00093998+0.00035159i,-0.00073582+0.00018814i,-0.00082879-0.00043249i,2.1616e-05-0.0011539i,0.0010902-0.00063826i,0.0011677+0.00062534i,0.00049002+0.00090912i,0.00074991+0.00051455i,0.0011008+0.00042348i,0.00070074+0.00090032i,0.00012094+0.00098759i,-0.00071464+0.00095751i,-0.00044314+0.00063053i,0.00023289-0.00038357i
0.00075891-0.000655i,0.0011829-0.00042887i,0.00036524+0.00034849i,-0.0013221+0.00025052i,-0.0023188-7.7743e-05i,-0.0013263+0.00021784i,-0.0002975-0.00035531i,-0.00037561-0.001114i,-0.00029414-0.00087014i,6.9887e-05-5.947e-05i,6.2016e-05+0.00044081i,-0.00042551+0.00015161i,-0.00054368-0.00043219i,-0.00037021-7.7875e-05i,-0.00031302+7.6975e-05i,0.00025121-0.00042522i,0.00031644-1.3113e-05i,-0.00038317+0.00034122i,-0.00072267+0.00055364i,-0.00070358+0.0010948i,-0.0004106+0.0011274i,0.00017076+0.00034929i,0.00065891-0.00021582i
-0.00045602+0.00028342i,-0.0013049+0.0002145i,-0.000957+0.00041292i,-0.00085442-8.1922e-05i,-0.00092673+0.00038449i,-0.00033729+0.001051i,-0.00011093-4.5328e-05i,-0.00063214-0.00079218i,-0.00040129-0.00010745i,0.0002127+0.00072652i,-0.0005029+0.00057953i,-0.0011058-7.5817e-08i,-0.001157+0.0002501i,-0.00017534+0.00052479i,-0.00014539+0.00045186i,-0.00060757+7.7231e-05i,0.00012862-0.00014023i,0.00047139-0.00040135i,0.00031507-0.00035899i,0.00023571-1.3114e-05i,-0.00074741+0.00015065i,-0.0011548-0.00019092i,-0.00026664-3.4229e-05i
