-0.0021458+0.00022827i,-0.0025494+0.00030626i,-0.0043511+0.00060992i,-0.0039131+0.00054407i,-0.0026744+0.0012366i,-0.0019875+0.0022533i,-0.0013859+0.0026956i,-3.9879e-05+0.0024936i,0.0010038+0.0018559i,0.00065727+0.00073817i,0.00023003-9.4917e-05i,-0.00014824+0.00023608i,-0.0006035+0.00067789i,-0.00038225+0.00040104i,-0.00031011+0.00057771i,-0.00024586+0.00066329i,0.00011434-6.2977e-05i,0.00014812-0.00029786i,0.00020522+6.5822e-05i,0.00029652+0.00025766i,0.00061054+9.188e-06i,0.00039625+4.4852e-05i,-0.00064748+0.00069917i
0.0009154+0.00059583i,0.0014319+0.00078176i,0.0010464+0.00055838i,0.0011366+0.00037937i,0.00097647+0.00021079i,0.00035211+9.7604e-05i,4.6519e-05+0.00019668i,-0.00028748-0.00040003i,-0.00032529-0.00061267i,7.4289e-05-0.00013518i,0.00032399-0.00010333i,0.00040419-0.00070649i,0.00035796-0.00033708i,0.00032477+5.1113e-05i,7.8538e-05+0.00015267i,-0.00033237+0.00034846i,2.7705e-05-8.3561e-05i,0.00028311-0.00023073i,-0.00013042+7.2978e-05i,0.00046239+0.00029866i,0.00027783+0.00062906i,-0.00050403+0.00063665i,-0.00065646+0.00043223i
0.00057223+0.00091413i,-6.3589e-05+0.0011697i,0.00094937+0.00078093i,0.00037862+0.0009774i,-0.00044967+0.00050706i,-0.00028176+0.00024359i,9.1568e-05+0.00066512i,0.00080325+0.00097895i,0.00047126+0.00064511i,-0.00035687+2.5649e-05i,-0.00023475-0.00030883i,0.00063309-0.00012859i,0.00093257-0.00051185i,0.0006716-0.0010206i,0.0001291-0.00089588i,-0.00022122-0.00025111i,-0.00034832+0.00072942i,-0.00048234+0.00050705i,-0.00017502+0.0001076i,0.00041279+0.00071196i,0.00057221+0.0003465i,0.00042386-0.00057502i,0.0005611-0.00090233i
0.0013613+0.0017393i,0.0023213+0.0020262i,0.0026226+0.0021495i,0.0014224+0.0015349i,0.0014121+0.00034466i,0.0012219-0.00015294i,0.00032183-0.00033278i,9.7468e-06+0.00027762i,-0.00039329+0.0011991i,-0.00087005+0.0012444i,-0.00062819+0.00057436i,0.00015748-0.0001606i,0.00066027-0.0010201i,0.001288-0.00083688i,0.0012402-0.00030599i,0.00058923-0.00030386i,0.00022463-0.00022012i,-0.00035162+7.3298e-05i,-0.00083567-3.6977e-05i,0.00025411+2.9186e-05i,0.00067913-0.00037016i,0.00023828-0.00067924i,0.00054026-5.4459e-05i
0.0013311+0.00043188i,0.00093683+0.0015681i,0.0012906+0.00081786i,0.00037947-6.4018e-05i,-0.00072774-0.00039253i,-0.00016851-0.00074561i,8.6229e-05-0.00069257i,0.00034667-0.0001442i,0.00094+2.0352e-05i,0.00053997-0.00038778i,-0.00025074-0.00040495i,-0.0003007-9.891e-05i,-0.0001168+0.00021919i,-0.00055311+0.00031372i,-0.00069907+0.00049084i,-0.00095744+0.00049082i,-0.00096689+0.0006032i,-8.3759e-05+0.00019733i,0.00033443-0.00044168i,0.00062878-0.0011753i,0.0013074-0.001003i,0.0010517-0.00019409i,-2.5379e-05-8.7099e-05i
-0.00036746-0.00041974i,-0.00033154-0.0019761i,-0.00088013-0.00081695i,-0.00072617+0.0011019i,-0.00017274+0.0021056i,0.00036057+0.002194i,0.00084056+0.001222i,0.00052982+0.00016364i,8.2451e-05+4.7776e-05i,-0.00058957+0.00090301i,-0.00081442+0.000802i,-0.00027573+0.00011877i,0.00010893+7.078e-06i,0.00010956+0.0003455i,0.00015596+0.00049435i,7.8897e-05+0.00034203i,7.6426e-05+0.00017906i,0.0002429+5.7254e-05i,-0.00022787-4.0464e-05i,-0.0012778-8.5021e-05i,-0.0015774-0.00036593i,-0.0010656-0.00049323i,-0.00038056-0.00063915i
0.0027376+0.0016346i,0.0027914+0.0016758i,0.0026898+0.0011559i,0.0012899-0.00011898i,-6.649e-06-5.5144e-05i,-0.00065515+0.00053637i,-5.0666e-06+0.00055031i,0.00070181+0.00034733i,0.00060471+0.00018165i,-2.0436e-05-0.00014399i,-0.00048923-0.0005278i,-0.00042269-0.00025205i,-5.4199e-05-0.00012264i,0.0005827-0.00055281i,0.00021615-0.00075916i,-0.0004801-0.0011681i,-0.00070486-7.1061e-06i,-0.00065971+0.00082513i,-0.00018316-0.00050717i,-0.00071619-0.00084175i,-0.0010318-0.0004362i,-0.00073823-0.00036177i,-0.00080805+1.3792e-05i
0.0013694+0.0009461i,0.00025203+0.00078196i,-0.00067976+0.00051608i,-0.0015667+0.00021427i,-0.001515-0.00019583i,0.0003855+0.00013673i,0.0013948+0.0007997i,0.0013545+0.00028807i,0.00099717-0.00048424i,0.0010311-0.00024973i,0.0011371+0.00010272i,0.00048454-0.00022386i,-0.00033803+0.00012966i,-0.00035751+0.00046905i,5.0242e-05-0.00010881i,-0.00014699-0.00053152i,-0.00062133-0.00056552i,-0.00067398-0.00014023i,-0.00072901-6.136e-05i,0.00041745-0.00043835i,0.0013199-2.3231e-05i,0.0015734+0.0010388i,0.0013962+0.00093015i
0.0010521+0.00064629i,0.0012781+0.00081369i,0.00096023+0.0012067i,0.00058938+0.00075544i,0.00075886+0.0003808i,0.00041688+0.0006463i,0.00025408+0.00056823i,0.00075615-0.00043226i,0.00092774-0.00037656i,0.00059642+0.0001825i,0.00025449-0.00036001i,0.00081032-0.00061766i,0.0006973-0.00010447i,0.00050931+0.00063812i,0.00041009+0.00020854i,9.9981e-05-0.00060107i,0.00017978-0.00034194i,0.00079039-0.00016429i,0.0011267-0.00057216i,0.00046932-0.00059114i,-0.00022024-0.00084043i,-0.00042413-0.0010596i,-0.00070306-0.00025952i
0.00059536-0.00029774i,0.00065297-0.0010618i,0.00015448-0.00094985i,-0.0002279-0.00021691i,0.00021364-1.6372e-05i,0.0010475-0.00013279i,0.00098466-0.00027629i,0.00037568-7.3644e-05i,-0.00050968+4.1588e-05i,-0.00085004-9.8784e-06i,-0.00081759-0.00029279i,-0.00041172-0.00084281i,0.00026663-0.00019433i,-0.00027309+0.00023568i,-0.00051129+0.00016537i,-0.0005274+0.00016053i,-0.00082756-0.00028588i,-0.00023656-0.0007965i,0.00022186-0.0013265i,0.0001643-0.00095147i,-0.00011717-2.5812e-05i,-0.00022032+0.00037357i,0.00035137-0.00010131i
-0.00010655+0.0010349i,-0.00043666+0.0018169i,-9.9158e-05+0.0016817i,1.953e-05+0.0010868i,-0.00016119+0.00077283i,-0.00066164+0.00026862i,-0.00074199+4.8102e-05i,-0.00072324+3.3581e-05i,0.00012739+8.5174e-05i,0.00017457+0.00061326i,-0.00042763+0.00087334i,-0.00084361+0.00025161i,-0.0005291-0.00051621i,0.00047674-0.00052897i,0.00011608-0.00014898i,-0.00048132-0.00018657i,4.5444e-05+0.0002267i,0.00067501+0.00068186i,0.0012134+0.00030607i,0.00076771-6.6707e-05i,-0.00033963-7.2396e-05i,-0.00053353-9.4571e-05i,-0.00065081-0.00018135i
0.00054367-4.3919e-05i,0.0010676+0.00040001i,0.0013009+0.0010539i,0.0011084+0.0015791i,0.00025449+0.0010565i,-6.4541e-05+0.0010976i,6.9798e-05+0.0010704i,0.00056842+0.0008991i,-0.00012603+9.5372e-05i,-0.00062624-0.00032717i,3.9279e-05-8.2389e-05i,9.1553e-05-0.00073473i,-4.5242e-05-0.0007625i,0.00050873-0.00041059i,0.00055013-0.00032804i,0.0002881-0.00028621i,0.00063361-0.0003371i,0.00029576+0.00010233i,-0.00058649+9.4539e-05i,-0.00073056-0.000504i,-0.00082433-0.0002897i,-0.0010818-0.0002162i,-0.00052344-9.4284e-05i
-0.0015348-0.00033932i,-0.0027069-0.00045468i,-0.0018775-0.0011935i,-0.0017756-0.0004555i,-0.0017627+0.00025064i,-0.0001857+0.0001939i,0.00010557+0.00016795i,0.00045043+8.906e-05i,0.00073156+0.00078837i,1.959e-06+0.0010284i,-3.8815e-05+0.00088092i,0.00034295+0.00062802i,0.00019447-7.8136e-05i,-0.00031032-0.00017834i,-5.0197e-05+0.00024524i,7.5646e-05+0.00075544i,-0.0002956+0.00051689i,-0.00046903+8.2042e-05i,-0.00014628+0.00050657i,0.00010174+0.00089024i,-0.0002357+0.00060781i,4.0926e-05+0.00060859i,0.00056287+2.2029e-05i
-0.0001806-0.00059153i,-0.00047323+0.00039831i,-0.00060789+0.0011193i,-0.00043449+0.00089235i,-0.00032063+3.513e-05i,-0.00047582+0.00024124i,-0.0002993+0.00045405i,0.00070868+2.9191e-06i,0.0010111-0.00037782i,-4.6482e-05+0.00048347i,0.00020261+0.0010359i,0.00074892+0.00028375i,-9.1525e-06-6.0009e-05i,-0.00081401-0.00058671i,-0.00059592-0.00057076i,0.00021584+0.00030503i,0.00031282+0.00063258i,0.00025768+0.00045804i,-0.00014642-2e-05i,-0.0003143-0.00023592i,0.00011174-0.00010378i,0.00019593-6.4349e-06i,-0.00035566-0.00046415i
-0.0017051+0.00027547i,-0.0014342-0.00053963i,-0.0010727-0.0014914i,-0.00079744-0.0011347i,0.00057247-5.7011e-05i,0.0011677-4.7873e-05i,0.00068575+0.00027818i,0.00035243+0.0010593i,0.00037823+0.00039961i,0.00051758-0.00033799i,0.00034144+0.00019122i,7.6782e-05+0.00070081i,0.00023349+0.0011438i,-8.2969e-05+0.00097572i,-0.00051716-0.00023084i,-0.00010689-0.00059499i,0.00033357-0.00016749i,0.00050857+0.0001827i,0.00066971+0.00086491i,0.0002114+0.00087067i,-0.00040079+0.00069751i,-0.00062284+0.0012634i,-0.00035778+0.0011588i
0.00019551-0.00020227i,-0.00033585+0.00046916i,-0.0013867+0.00093688i,-0.0018059+0.0012438i,-0.001504+0.00021868i,0.00023861-0.00040721i,0.0010661+0.0002513i,0.00073494+0.00035908i,-4.5855e-05-0.00016644i,-0.00086725-0.00022036i,-0.00083202+0.00012632i,-0.00070004+0.00033375i,-0.00072684+0.0005731i,-0.00041863+0.00091749i,0.00028579+0.0012998i,2.4973e-05+0.00099835i,-0.00047732+0.0013503i,-6.5184e-05+0.001355i,0.0001994+0.00044981i,0.00016445-9.6627e-05i,0.00072531-0.00059248i,0.00059311-0.00053072i,-0.00047155+0.00028917i
-0.0018526+0.00072021i,-0.0012341+0.00085276i,-0.0018442+0.00010768i,-0.0014176-0.000451i,-0.00043823+0.0009809i,0.00014074+0.00059524i,0.00072303-0.0011054i,-4.0649e-05-0.0010344i,-0.00064107-0.00012566i,-3.0196e-05+0.00048034i,0.00047028+0.00099409i,0.00064225+0.001091i,0.00028757+0.0010192i,-0.00052784+0.0010907i,-0.00072378+0.00053026i,-0.00089014+7.6969e-05i,-0.00078561-2.5847e-05i,-0.00016223+9.1408e-05i,-0.00015815+0.00032918i,-0.00054543-0.00022967i,-0.0003557-0.00056321i,0.0001583-0.00072491i,-1.012e-05-0.00031524i
-0.0010687+0.00031792i,-0.00091921+0.00089072i,-0.00025368+0.0020127i,-0.00082167+0.0018234i,-0.0011472+0.0009759i,-0.00064895+0.00017532i,-0.00071951+0.00037455i,-0.0004055+0.00079774i,-0.00026249-0.00012447i,-0.00024287-0.00067385i,0.00015167-0.0003651i,0.00012051-0.00027345i,8.6852e-05+0.00018539i,-0.00061487+0.00058101i,-0.00053043+0.00013502i,-0.00058381+0.00010034i,-0.00095752+0.00040922i,-3.8514e-05+0.00056686i,0.00024432+0.00045628i,-0.00021479-4.8815e-05i,-0.00029893+2.0696e-05i,-5.0816e-05+0.00051366i,0.00023168+0.00023677i
0.002862-0.00039081i,0.0024358-0.00066327i,0.0023969-0.00052543i,0.0016911-0.00083263i,0.0010732-0.0012078i,0.0002307-0.00061224i,0.00066783+0.00055428i,0.0011279+0.00020906i,0.00087505-0.00016046i,0.00057449-0.00012612i,-0.00011555-0.0005756i,8.6093e-05-0.0008181i,0.00011181-0.00079878i,0.00047088-0.00041723i,0.00087177+5.391e-05i,0.00058237-7.6972e-05i,0.00021442-0.00016465i,-0.00013754+6.2279e-05i,0.00020484-0.00010462i,0.00017298+0.00016473i,-0.0004883+0.00040913i,-0.00040504+9.6914e-05i,-1.5772e-05-0.00016739i
-0.0017439-0.00089695i,-0.0018638-0.0015335i,-0.001805-0.0013153i,-0.0012503-0.00042544i,-0.0010204-0.00030362i,-0.00044931-0.00046903i,-5.5174e-05-0.0004423i,-9.6774e-05+0.00013649i,-0.00093649+0.00066942i,-0.00062694+0.00083384i,0.00047193+0.00031i,0.00032483+0.00016406i,-0.00016756+0.00065505i,-0.00021592+0.00091142i,-0.00016257+0.00063908i,0.00019992-0.00032722i,-0.00035281-0.00031524i,-0.00072764-6.2102e-05i,8.1647e-05-1.0498e-05i,0.00049801-7.5149e-05i,0.00016481-0.00053535i,0.00010693-0.00053756i,-0.00065172+0.00013496i
0.00095905-0.0015824i,0.0019429-0.0016724i,0.0012483-0.00047283i,0.00037886+0.00011147i,-1.255e-05+0.00060093i,0.00041011+0.00068527i,0.00072835+0.00057487i,0.00038857+0.00031765i,-3.3575e-05-0.00013053i,-0.00063553-0.00019337i,-0.00086947-0.00073958i,-0.0006831-0.00070499i,-0.00040663-8.9832e-05i,0.00040958-3.2274e-05i,0.00048133+0.00013419i,-0.00010537+0.00018214i,-0.00034736-8.7318e-05i,-0.00029347+1.3299e-05i,0.00037299-0.00038119i,0.00076393-0.00081299i,0.00056254-0.0005221i,-5.8874e-05-0.00047804i,-0.00010248-0.00054467i
0.00022133-0.0019057i,-1.4738e-05-0.0017113i,-0.00053503-0.0010857i,-0.0010187-0.00022673i,-0.00066402+0.00056217i,4.6936e-05+0.00087945i,0.00076865+0.00042806i,0.00067112+0.00046071i,-0.00045646+0.00027487i,-0.0012031+1.7437e-05i,-0.00018549+0.00028694i,0.00025692+0.00010843i,-0.00064259-0.00047528i,-0.0002818-0.00054262i,-4.1767e-06-0.00019378i,-0.00079332-6.0048e-05i,-0.0009717+0.00087346i,-0.00041143+0.0011743i,0.0001014-3.288e-05i,-0.00051764-0.00053297i,-0.00098697-0.0002221i,-0.00043325-0.00043538i,9.1254e-05-0.0002249i
-8.372e-05-0.00085591i,-0.00053795-0.00038992i,-0.0014735+0.0006657i,-0.0020492+0.00073271i,-0.001662+0.00036424i,-0.00084367-0.00016708i,2.1914e-05-0.00022095i,0.00054092+0.00057839i,-6.6135e-05+0.0003462i,0.00015942+5.0843e-06i,0.00057195+0.0004055i,0.00044444+0.00041842i,0.00033371+0.00040398i,-5.5213e-05+0.00023023i,-0.00073603+0.00021383i,-0.00064351+0.00016372i,-1.3313e-05+0.00021809i,0.00037154+0.00073624i,0.00013058+0.00052541i,-0.00015809-0.00060463i,-7.8354e-05-0.00061843i,0.00061336+0.00019292i,0.00041182+0.00015439i
0.00103+0.00047667i,0.00097573+0.00042027i,0.00025213+0.00034354i,0.00032625+0.00098185i,0.00070387+0.0016022i,0.00037483+0.0013517i,0.00044561+0.00068072i,0.00059107+0.00089384i,-7.6853e-05+0.00088213i,-0.00036322+4.0535e-05i,0.00010945-0.00091245i,0.00029013-0.0007413i,-0.0006798+0.00045888i,-0.0010441+0.00068814i,-0.00013003+0.0001671i,0.00015378+0.00025695i,-0.00015729+0.00046153i,-0.0004304+0.00059752i,-0.00086139+0.00078721i,-0.00091935+0.00055478i,-0.00095868+0.00041785i,-0.00040557+0.00020557i,-0.00029061-0.00024266i
0.0006362+0.0017135i,0.0010557+0.001018i,0.00045347+0.00090343i,-0.00049114+0.0011528i,-0.00081144+0.00069007i,-0.00070702-0.0001968i,-0.00064645-5.9706e-05i,-0.00037632+0.00018857i,-0.00073557-0.00029756i,-0.00068111-4.5025e-05i,0.00041875+0.00065262i,0.00075141+0.00067622i,0.00055047+0.00021111i,0.00086486-0.00016916i,0.0013734+0.0002092i,0.0013152+0.00092786i,0.00061174+0.00091318i,-0.00041872+0.0011011i,-0.0010409+0.00035232i,-0.00057186-0.0008121i,-0.00011084-0.00036004i,-0.00035485-0.00040237i,0.00025231-0.0009695i
0.001537-0.00036323i,0.00041781-0.0011661i,-0.00021133-0.00042134i,-0.00027527+0.00016001i,-0.00063529+0.00032133i,-0.00025139+0.00070092i,0.00013356+0.00015712i,-0.00016488-0.00029476i,-0.0003619+0.00027349i,-0.00021137+0.0006487i,-0.0006431+0.00021524i,-0.00055182-0.00016642i,-7.2809e-05-0.00073382i,-8.2207e-05-0.0010154i,0.00038959+4.8152e-05i,0.00063902+0.00015727i,0.00037392-0.00030578i,0.00020265-0.00056801i,0.00030924-0.00045926i,0.00050121-0.00023081i,0.00026046-0.00014763i,0.0002294+0.00027506i,-0.00053227-3.5271e-05i
-0.00059477+4.9401e-05i,-3.377e-05+2.5909e-05i,-0.00067721+0.00033223i,-0.00064289+0.00056636i,9.0466e-05+1.3106e-05i,-1.887e-06-0.00017725i,1.7247e-05-0.00024453i,0.00050124-0.00072583i,0.00067352-1.8633e-05i,0.00035389+0.00081727i,7.9821e-05+0.00084958i,0.00035605+0.00065154i,0.00082434+0.00023131i,0.0010618-0.0010456i,0.00050794-0.0011162i,0.00023201+0.0002541i,0.00062541+0.00070299i,0.00051596+0.00082179i,-0.00023119+0.00067762i,-0.00072431+0.0010162i,-0.00051726+0.0013029i,-0.00028363+0.00078784i,-9.1257e-05+0.00068281i
0.00057085-0.0015956i,0.00081088-0.0017449i,-0.00010118-0.0009704i,-0.0012716-0.0003541i,-0.0016314-6.2925e-05i,-0.0003697+0.00023313i,0.00013464+6.7451e-05i,0.00042255+0.00036271i,0.00060233+0.00045359i,0.00031101+0.00091726i,-0.0003489+0.0003006i,-0.00028008-0.00037703i,0.0001976-0.00047194i,0.00070365-0.00065607i,0.00096587-0.00080777i,0.0004597-0.00075497i,0.00027631-0.00064866i,0.00046348-0.00057251i,-7.0306e-05-0.00016827i,-0.00090176+0.00030843i,-0.000962+0.00073091i,-0.00016863+0.00064813i,-6.1823e-05-7.133e-05i
-0.0021443+0.00049143i,-0.0026617+0.00054706i,-0.0027839-7.0534e-05i,-0.0032076+0.0005222i,-0.0017198+0.001246i,-0.0001507+0.0012529i,-0.00018499+0.00052789i,7.3825e-05-4.1663e-05i,0.00046176+0.0003295i,0.00017278+0.00067534i,0.00014468+0.00050488i,-0.00033217+0.00033101i,-0.00023676-0.00021483i,0.00037805-0.00070133i,-0.00057544-0.00029708i,-0.00086775-0.00025781i,0.00046889+2.4492e-06i,0.00049994+9.3998e-05i,-0.00095344+1.3913e-05i,-0.00077125+0.00018006i,5.2319e-05+0.00039116i,-9.7109e-05+0.0010015i,2.2868e-05+0.00076921i
-0.0017064+3.6091e-05i,-0.0016987+0.00046615i,-0.0027863+0.00033303i,-0.0023436+0.00022401i,-0.00067197+0.0011765i,-0.0002314+0.00082239i,-0.00026543-0.00061361i,-0.00049182-0.00068736i,-0.00074773-0.00034474i,-0.00098776-0.00045718i,0.00010229-8.8783e-05i,0.00060604+0.00040645i,9.1615e-05+0.00050883i,0.00039475+5.4063e-05i,0.00030683-0.00071607i,-0.00024257-0.00068478i,-0.000591-0.0001383i,-0.00029956-0.00011789i,-0.00012043-4.6176e-05i,-0.00089613-0.00049263i,-0.00032201-0.00060586i,0.00067944+0.00062183i,0.00060658+0.0012366i
-0.00054895+0.001062i,-0.0013228+0.00051487i,-0.0013575+0.00054533i,-0.00042747+0.00054491i,0.00062716-0.0001045i,0.00062199-0.00064619i,0.00029438-0.00051243i,7.7103e-05-0.00027613i,-0.00063369+0.00044357i,5.7833e-05+0.0010095i,0.0015426+0.00083092i,0.0011004+0.00059974i,0.00040741+0.00033546i,0.00012791-2.0589e-05i,-0.00026726-0.00033949i,-0.00029825+0.0001928i,0.00029994+0.00061274i,-7.5519e-05+0.00022244i,-0.00089731+0.00030836i,-0.0010143+0.0010398i,-0.00052539+0.00068571i,-0.00031485+0.00056912i,0.00012731+0.0011153i
0.00083367+0.0012307i,0.0012903+0.0020542i,0.00063765+0.0028145i,-0.0007684+0.0017954i,-0.0015773+0.00038862i,-0.0014226+0.0002985i,-0.00064433+2.1218e-05i,-8.5483e-05-0.00051145i,-0.00019042-0.00042728i,-0.00026565-2.5346e-05i,0.00023665-6.703e-05i,0.00081096-0.00048916i,0.00097854-0.0008284i,0.00081215-0.00048136i,0.00010072+0.00013099i,-0.0011892+0.00073346i,-0.0017807+0.00024514i,-0.00086647-7.454e-05i,9.8932e-05-0.00047759i,-0.00010652-0.00047747i,-0.00016542+0.00060088i,0.00050985+0.0009475i,0.00062115+0.00081214i
