-0.0011001+0.00097202i,-0.00063462+0.00034245i,-0.0004828+0.00034008i,0.0001035+0.00038621i,0.00030459+0.001144i,4.2986e-05+0.0012368i,-7.7752e-05+0.0014709i,0.00061946+0.0021281i,0.00083979+0.0010957i,0.00063607-0.00078598i,0.00082625-0.0013089i,0.00060345-0.00084932i,-0.00043562+6.8296e-05i,-0.00082048+0.00011098i,-0.00037724+8.803e-06i,9.6393e-05+0.00047814i,0.0004781+4.3282e-05i,0.00092308-0.00057357i,0.00064648+7.2776e-05i,0.0005052+0.00065995i,0.00084141+0.00012042i,0.00099743-0.0007443i,0.00063635-0.0011979i
5.4052e-05-0.0013317i,0.00073943-0.0010703i,0.0013365+0.00012222i,0.00079948+0.00053807i,0.00081708-0.00031875i,0.00096117-0.000165i,0.00064812+0.0004241i,0.0010974+0.00076089i,0.00051327+0.00037563i,-6.738e-05-0.00093774i,3.5848e-05-0.0012335i,-0.00062187-0.00091918i,-0.00098876-8.6819e-05i,-0.00070858+0.00020611i,-0.00017411-0.0006017i,1.0585e-05-0.00048674i,-0.00035204-0.0004598i,0.00024645-0.0008305i,0.00039883-3.6489e-05i,0.00025304+0.00038701i,0.00040498-2.8093e-05i,0.00069147-0.00044947i,8.4852e-05-0.0010023i
0.00078671+0.00064275i,0.00099709+0.00059815i,0.00079161+0.00061568i,0.00079857-3.5134e-05i,0.0010139-0.0012751i,0.00065789-0.001269i,0.0010664+7.9007e-05i,0.0011174+0.00046797i,0.00064322-0.00071355i,0.00032605-0.0014935i,-8.3699e-05-0.00095593i,-0.00074656-0.00076428i,-0.00062908-0.0004031i,2.1021e-05-0.00017772i,0.00028421-0.00024686i,0.0005348+0.00051093i,0.00045374+0.00073109i,0.00021966+0.00045267i,0.0002353+0.00089669i,-0.00010578+0.00146i,-0.0006995+0.0012136i,-0.00079086+0.00069163i,-0.00013322+0.00047677i
-0.0014407-0.0011285i,-0.0026162-0.00073812i,-0.00224-0.00077654i,-0.0012799-0.00041393i,-0.001082+0.00026473i,-0.0006012+0.00017307i,0.00056945-0.00047814i,0.00038179-0.00039181i,-0.00017674-0.00043549i,0.00068476-0.00066532i,0.00068486-0.0010017i,-0.00023863-0.0011767i,-0.00040675-0.00080701i,-0.00023975-0.00037802i,-4.1945e-05+0.00023631i,5.5067e-05+0.00039017i,0.00070578+8.2176e-05i,0.0011642+0.00037594i,0.00045499+0.0003553i,0.00022886+0.00022955i,0.0010306+0.00052266i,0.001212+0.00043938i,0.00059567+0.00018429i
9.737e-05-0.002573i,3.071e-05-0.0019176i,-0.00062768-0.00070357i,-1.4949e-05+5.8776e-05i,0.00060148+0.00032333i,0.0007209+0.0012382i,0.0011377+0.00069483i,0.0014919-0.0003326i,0.0019882-0.00041535i,0.0017684-2.4251e-05i,0.00043459+0.00031618i,-0.00089566+9.7996e-05i,-0.0016049+0.00085863i,-0.0010496+0.0015423i,-9.3333e-06+0.0012278i,-1.6485e-05+0.00052902i,-0.00023847+5.8526e-05i,1.7713e-05-0.00040641i,0.0003892-0.00042949i,0.00031612-0.00015299i,0.000176-0.00028924i,-0.00030013-0.00087279i,-0.0006771-0.00057753i
0.00010997+0.00012505i,0.00018469+0.00013501i,0.0010901+0.00022036i,0.0018828-0.00048915i,0.0012469-0.00086291i,0.00064556-0.00050636i,0.00063948+0.00017281i,0.0008155+0.0008563i,0.001562+0.00013499i,0.0019538-0.0008215i,0.0006106-0.00036505i,-0.00053704-0.00010498i,-0.00027899-0.0010354i,-0.0003142-0.0013192i,-0.00076098-0.00065854i,-0.00053193-0.00017717i,0.00010491+0.0005124i,0.0005661+0.00072689i,0.00019389+0.00025479i,-0.00074685+0.00049774i,-0.0014216+0.00037136i,-0.0002751-0.00026337i,0.00041594+0.00014132i
0.0011657-0.0001539i,0.00051268-0.00060467i,0.0016816-0.00062726i,0.0017734-0.00049331i,0.00097069-0.00063292i,0.00074081-0.00034894i,0.00072035+0.00032012i,0.00063618+0.00023328i,0.00064532-0.00036477i,0.0012908-0.0013693i,0.0018113-0.001969i,0.000611-0.00088364i,-0.00058573+6.8268e-05i,-0.0004235+0.00048887i,0.0005213+0.00016575i,0.0007-0.00031548i,0.00033268+0.00014923i,0.00034648+0.00059101i,0.00042758+0.00043354i,-0.00019018-7.6278e-05i,-0.0008681-8.6473e-05i,-0.00010444+0.00011992i,0.00082464-7.5945e-05i
-0.0011832-0.0012881i,-0.0015621-0.0025495i,-0.0022078-0.0025589i,-0.002307-0.00061371i,-0.00066846+0.00047594i,0.00052393+0.00097227i,0.00050523+0.0012133i,0.00070687+0.00087701i,0.0011469+0.0006748i,0.00052363+0.00060036i,-0.00031083-1.5786e-05i,-0.00076822-7.9094e-05i,-0.00095685-0.00037166i,3.9103e-05-0.00069913i,6.9723e-05-0.00016373i,-0.00013588+0.00056345i,-0.00056757+0.00045863i,-0.0007642-3.4801e-05i,0.00045895-0.0001619i,0.00069074-0.00042222i,0.0005555-0.00055356i,-2.8079e-05+0.00030914i,-0.00023867+0.0009181i
6.4204e-05+0.00087666i,8.6414e-05+0.00075281i,0.00094735+0.00167i,0.0016134+0.0018655i,0.0018866+0.0009698i,0.0018086+8.3196e-05i,0.001476+0.00022024i,0.0016387+0.00047858i,0.0012387+9.7533e-05i,0.00064194-0.00087653i,-0.00019847-0.00073619i,-0.000465-2.0469e-05i,0.0003832+0.00031593i,0.00074656+0.00053338i,0.00070506+0.00072445i,0.0010472+0.0011567i,0.00029585+0.00081219i,-0.00014714+0.00042672i,-5.6801e-05+0.00041195i,-0.00055541+0.00035938i,-0.0001898+0.00032151i,0.00064805+0.00012448i,-3.6255e-05+9.9065e-05i
0.001006+0.00061161i,0.00058023+0.00056521i,0.00085806+0.00043216i,0.00048995+0.00021689i,0.00089004-0.00031576i,0.00085811+7.4161e-05i,0.0010405+0.00046781i,0.0013469+0.00053966i,0.00139-0.00030623i,0.00092726-0.00095288i,0.00013776-0.0010399i,0.00016887-0.00091497i,-0.00046883-0.00059699i,-0.0012069-0.00031688i,-0.00092746-1.7581e-05i,-0.00012434+0.00028168i,-0.00014353+0.0003143i,-0.00098807-0.00021702i,-0.00083467-0.00040788i,0.00010533-0.00068511i,0.00021708-0.00025702i,-0.00021222+0.00019458i,-0.00057155-0.00024658i
-5.9992e-05-0.001201i,0.00070454-0.0019937i,0.0010711-0.00022771i,0.001247+0.00074854i,0.00072268+0.00023158i,-8.7787e-05+0.00020604i,0.00034181+0.0005639i,0.00089613+0.00059669i,0.00070886+5.8362e-05i,0.00046467-0.0002541i,0.00028273+0.00015039i,0.00024744-0.00057939i,1.8505e-05-0.0014519i,-0.00053108-0.0012821i,-6.0128e-05-0.00084376i,0.00045204+0.00032054i,-0.00011656+0.00096829i,-0.00071983+0.00020256i,-0.00033891-0.00035958i,0.00030046+4.4725e-05i,0.00035959+0.0004925i,7.4624e-06+0.00038208i,-0.00011448+0.00043636i
0.0025291+0.0010991i,0.0029917+0.0006271i,0.00337+0.00033621i,0.0032667+0.00085249i,0.0029934+0.00042314i,0.002352-0.00056107i,0.0014621-0.00099024i,0.0013281-0.00050392i,0.0012173-0.00038687i,0.0012591-0.00089865i,0.00085111-0.00033293i,-6.5109e-05-0.00013709i,-0.00050741+3.7072e-05i,-0.00025547+0.00012579i,-0.0003242+4.3936e-05i,-0.00014814-0.00011713i,0.00057723-3.3048e-05i,0.0010131+0.00050084i,0.00021811+0.00068088i,-0.00038185+0.00056163i,0.00026484-0.0001269i,0.00056244-0.00051377i,-0.00023505+6.2514e-05i
-0.00031442-0.0012251i,-0.0018018-0.0012264i,-0.0017665-0.00080783i,-0.00057262+5.1454e-06i,0.00039722+0.00021384i,0.00017372+0.0004354i,-1.5154e-06+0.00067172i,0.00039392+0.00016795i,0.0008006-0.00046767i,0.00022182-0.00026653i,0.00012943+0.0001947i,2.2766e-05-4.717e-05i,-0.0002156-0.00019615i,5.6522e-05+0.00012083i,-1.9253e-05+0.00041541i,0.00055409+0.00082242i,0.0011032+0.00096871i,0.00033277+0.00017468i,-0.00046279-0.00025674i,-0.00096271+0.00017806i,-0.00037125-1.2763e-05i,-0.00011005+3.0463e-05i,-7.0428e-05+0.00030314i
0.00019404-0.00017775i,-0.00027931+0.0008749i,-0.0012838+0.0011072i,-0.0012287+0.00062034i,0.00025243+0.00092293i,0.00074877+0.00088898i,0.00053865+0.00016128i,0.0011058+0.00029034i,0.0015495+0.0007481i,0.00059953+0.00076692i,1.2562e-05+0.00033081i,0.00029367-0.00019034i,0.0001415-9.2857e-05i,-0.00015167-0.00035637i,0.00028261-0.00044587i,0.00060876+0.00042881i,0.00033768+0.00087909i,1.8994e-05+0.00064559i,-0.00025767-9.1469e-05i,-0.00054308-1.6275e-05i,-0.0001331+0.00019283i,0.00048929-0.00053957i,0.00032182-0.00052557i
-0.001975+0.00058279i,-0.0021364+0.00025659i,-0.0022612+0.0013734i,-0.0014257+0.0020064i,-0.00027038+0.0013071i,0.0007341+0.0008118i,0.00095744+0.00073026i,0.00068009+0.00073983i,0.00038158+0.00017602i,0.00018574-7.4998e-05i,-4.3901e-05+0.0004228i,-0.00013204+0.00053816i,-0.00011336+0.0013404i,0.00023838+0.00098604i,0.0013324-4.8533e-05i,0.0015091+0.00048384i,0.00099266+0.00064442i,0.001023+0.00021553i,0.0005702+0.00045449i,-0.00035043+0.00029244i,-0.00045797+0.0001399i,-1.6799e-05+4.0884e-05i,-0.0002718-4.0003e-05i
0.00088991-0.00065169i,0.00060509-0.0011831i,0.00064596-0.0013565i,0.0009445-0.0003702i,0.00065827+0.00023075i,0.00025965+0.00016888i,0.000219+0.00057674i,0.00046114+0.00032321i,0.0011413-0.00096283i,0.00099346-0.0012037i,-0.00032137-0.0010548i,-0.00080198-0.00073201i,-0.00059784+7.1552e-05i,7.9872e-05-0.00074407i,0.00059442-0.0009511i,-0.00020361-5.5509e-05i,-0.00052265+0.00036687i,-0.00016171+4.1655e-05i,7.9677e-05-0.0005065i,0.00049203+6.8161e-05i,0.00044329+0.00061131i,-2.5719e-05-6.2714e-05i,0.00029316-0.00032794i
-0.00084497-0.00010933i,-0.00067685-0.00025877i,0.00010921-0.00018461i,0.00052334-1.84e-05i,0.00080289+0.00033772i,0.00085436+0.0012719i,0.00072808+0.0015591i,0.0011113+0.0010187i,0.000522+0.0001777i,-0.00047767-0.00056673i,-0.00034859-0.0010808i,0.00029399-0.0011199i,0.00063057-0.0008318i,0.00054403-0.00014463i,0.00033422+0.00021866i,3.7264e-05+0.00011527i,-7.3715e-05+0.00098225i,-0.00025215+0.0011667i,-0.00084017+0.00025307i,-0.00080725+0.0001507i,-0.00016731-0.00050588i,0.0002646-0.00075975i,-7.5127e-05-0.00029138i
0.00040985-0.00016577i,-0.00052574-3.5174e-05i,-0.001471+0.00030769i,-2.3224e-05+0.0010182i,0.00092444+0.00091257i,0.00082078+0.00042458i,0.00053815+0.00082356i,0.00039131+0.00032416i,0.00097099-0.00084766i,0.001407-0.00092287i,0.00064346-0.00081745i,-0.00024862-0.00043704i,-3.1684e-05+0.00018025i,0.00016542+0.00014982i,3.9024e-05+7.5617e-05i,1.4791e-05+0.00040701i,-3.2255e-06+0.00043812i,9.6337e-05+0.0001703i,0.0012294-0.00017286i,0.00090476+0.00051041i,-7.5597e-05+0.00080292i,-0.00022508+4.4791e-05i,-0.00080287-0.00037651i
0.0031445+0.0015187i,0.0020236+0.00082946i,0.001759+0.00058457i,0.002261+0.00031943i,0.0028969-0.00035739i,0.0020037-1.6336e-06i,0.00087126+0.001252i,0.0010508+0.0011624i,0.00080347+0.0001387i,0.00032831-0.00017618i,0.00048737-0.00082551i,0.00085443-0.0011017i,0.0003502-0.00017314i,0.00014391+0.00023197i,-0.00031523+6.1569e-05i,-0.00085056-0.00056622i,-0.00060037-0.001075i,0.00052047-0.00060286i,0.0011696+6.0382e-05i,0.00076708+0.00053386i,0.00065076+0.00059682i,0.00041971+0.0006553i,-3.4609e-05+0.00037509i
-0.00047112-0.0020121i,-0.00098364-0.0024488i,-0.00082604-0.00216i,0.00024673-0.0016207i,0.00088653-0.00078038i,0.0009958+0.00026886i,0.00067923+0.0013096i,0.00032336+0.0010955i,0.00040465+0.00035026i,0.00032187-0.00017264i,0.00021939-0.00055813i,-0.0002327+2.8975e-05i,-0.00027287+0.00093183i,0.00041221+0.0010564i,3.1992e-05+0.00047205i,-0.00020424+0.00015751i,0.0003595+0.00048667i,0.00075345+0.00024572i,0.00044851-0.00034147i,-0.00026415-6.969e-05i,-0.0001432+0.00010283i,0.00092184-0.00031367i,0.0010381-0.00086848i
0.00095027-0.0016959i,0.0010244-0.0015956i,0.0015086-0.00097566i,0.0020294-0.00049561i,0.0016365+0.000364i,0.00085599+0.00035014i,0.0012435-0.00011645i,0.0018354-2.4759e-05i,0.0014775-0.00079196i,0.00079601-0.0011199i,0.00011698-0.00074848i,-0.00016433-0.0014371i,-0.00023215-0.0017286i,-0.00012534-0.0007715i,0.00017915+0.00015201i,0.00010109+0.00090884i,0.00046696+0.00092593i,0.00066718-6.9127e-05i,6.0223e-05-0.00062434i,2.6983e-05-0.00091872i,0.00051716-0.00084409i,-6.1767e-05-0.00023098i,-0.000945+0.00085289i
-0.0001601+0.00043886i,0.00062398+0.00044894i,0.0010023+0.00073179i,0.0012752+0.0010394i,0.0016932+0.00064716i,0.00097663+0.00076619i,0.00010084+0.00043447i,0.00017978-0.00051057i,0.00099676-0.00052981i,0.001321-0.00044097i,0.0001148-0.00083504i,-0.00068033-0.0011443i,-0.00024971-0.00034386i,0.00031866+0.00035664i,9.0694e-05+0.00011531i,0.00027085+0.00026087i,0.00039368+0.00015224i,0.00015426-0.00012351i,0.00018633+1.0485e-05i,0.00052844+0.00015732i,0.00043361+0.00019255i,0.00022089+0.00018897i,2.264e-05-0.00024132i
-0.0013479+0.00023606i,-0.0016628+0.00091074i,-0.0020086+0.0010574i,-0.0011727+0.00039065i,0.00028962+0.0010121i,0.0011166+0.00084573i,0.00096569+0.0010019i,0.0014299+0.0011677i,0.0017946+0.00041374i,0.0007309-0.00035103i,0.0002731-0.0006576i,-5.4526e-05-0.00024684i,0.00032649+0.00052831i,0.00085661+0.00044016i,0.00023242-0.00043224i,-0.0002612-0.00014698i,-9.9951e-05+0.00047185i,-0.00017682+0.0009261i,-0.00054897+0.00083082i,-0.00037331+7.0958e-05i,0.00012329+0.00048661i,0.0003621+9.1796e-05i,0.00030817-0.00086108i
-0.00084978+0.00059383i,-0.00027635+0.00028897i,0.00050369+0.0010553i,0.0012248+0.0012477i,0.0012595+0.00075307i,0.00085288+0.00044325i,0.00067273+0.00016716i,0.0011113+0.00038464i,0.0012658+0.00060059i,0.0012926+0.00042264i,0.0010262+4.7309e-05i,0.00096036-0.00041459i,0.00082878-0.00060206i,0.00063218-0.00090983i,0.00047274-0.00073755i,-1.5229e-05-0.00056951i,0.00030888-0.0005643i,0.0010459+6.169e-05i,0.00053814+0.00064871i,-0.00018757+0.00012284i,-0.00013434+0.00013475i,-0.00017928+0.00054038i,-0.00015518+0.00065939i
-0.00082489+8.9288e-05i,-0.00034458+0.00012032i,0.0003641+0.00076561i,0.0015599+0.0014168i,0.0019982+0.0010838i,0.0012699+0.00034749i,0.00052444+2.0224e-05i,0.0011431+7.248e-05i,0.0011949-0.00056002i,0.00063082-0.0012158i,0.00068338-0.00079943i,0.0002574-0.00050426i,0.00071348-0.00044789i,0.0010199-0.00014379i,0.00041864+0.0001259i,0.00011198+0.00044734i,-0.00021057+0.00078458i,-0.00056695+0.00028171i,-0.00099056+0.0001601i,-0.00048448+0.00033533i,0.00048408+3.9898e-05i,0.0012881-9.3771e-05i,0.00083744-0.00085314i
0.00066022+0.00087663i,-0.00047904+0.00061034i,0.00090783-0.00022863i,0.0021815-0.0011152i,0.0026512-0.00099976i,0.0028281-0.0004978i,0.0017076+0.00045442i,0.00075863+4.4597e-05i,0.00085281-0.00035603i,0.0010946-0.0011662i,0.00044803-0.0016721i,-1.8204e-05-0.00083658i,0.00039732-0.00028543i,0.00075676+0.00016062i,0.00018015+0.00073492i,-0.0003229-0.00020102i,-0.00017741-0.00095234i,-0.00022922-0.0005975i,-0.00052934-0.00033553i,-0.00080779+0.00017987i,-0.00041877+0.0010567i,-0.00069911+0.00034709i,-0.0012599-0.00041222i
0.00078373-0.001674i,0.00068738-0.0010633i,0.0004845-0.0011599i,0.00035901-0.00086834i,-3.6573e-05+0.00029144i,-0.00015777+0.00072139i,0.0003036+0.00016118i,0.0010353-0.0003462i,0.0011437-0.0004584i,0.00066295-0.00076745i,0.00011045-0.00077795i,-0.00039023-0.00029069i,-3.8207e-05+0.00012565i,4.1543e-05+1.8575e-05i,-0.00053421-0.00024413i,-4.6151e-05-0.00018065i,0.0012243+0.0001849i,0.00085624-0.00010775i,-0.00039171-0.0006815i,-0.00051513-5.8172e-05i,-0.00055864+0.00041816i,-0.00053361+0.00047828i,-0.00036917+0.00068427i
0.00036677-0.00065908i,0.00083634+0.00013738i,0.00073892+9.8532e-05i,0.00066401+0.00013401i,0.0014519-6.4277e-05i,0.0013805-9.6004e-05i,-7.2424e-05+0.00049712i,-0.00091813+6.1485e-06i,-0.00024491-0.00063086i,0.00034162-0.00019138i,0.00030961-0.00075973i,0.00024591-0.001103i,-0.00044424+7.7844e-05i,-0.00058156+0.00018552i,-7.3143e-05+6.0792e-05i,6.6368e-05+7.175e-05i,4.2986e-05+0.00023563i,0.00025415+0.00012744i,0.00052491-8.1947e-05i,0.00023796-0.00023845i,0.00044527-3.9923e-05i,0.00034592-0.00055992i,0.00016391-0.00087701i
-0.0010191+0.0042332i,-0.00086816+0.0043443i,-0.00095922+0.004232i,0.00034459+0.0036582i,0.0017287+0.0025432i,0.0016+0.001402i,0.00083396+0.00075916i,0.00086656+0.0001198i,0.00086117+0.00015745i,0.00011623+7.2376e-05i,7.077e-05-0.00052707i,0.00019736-0.00013906i,0.0002781-9.9386e-05i,0.0010192-0.0002767i,0.0012777-0.00025576i,0.00064017-0.00058303i,0.00036875-0.00074418i,0.00014891-9.9336e-05i,-0.00036207+0.00064334i,-0.00045594+0.00014208i,0.00023516+1.0701e-05i,0.00092836-0.00021784i,-7.2916e-06-0.00079479i
-0.0024864-0.0010883i,-0.0027894-0.0018494i,-0.0029708-0.0022139i,-0.0018937-0.0010152i,-0.00081814+0.0003443i,-0.0003837+0.0013903i,7.227e-06+0.0019155i,0.00063998+0.0011495i,0.00055015+0.00012087i,0.0003481+0.00075439i,0.0001585+0.001381i,6.5291e-06+0.00046768i,0.00026592+0.00026092i,-0.0001755+0.00016001i,-0.00084077+0.00046533i,-0.00068745+0.00039976i,-0.00045609+7.9054e-05i,-0.00047736-0.0002039i,6.896e-05-0.00040451i,0.00047093+3.1867e-06i,0.00031003+0.0002576i,-4.2225e-05+0.00023614i,-0.00011361+0.00010545i
