-0.0029945+0.0023888i,-0.0024902+0.0025946i,-0.00243+0.0018882i,-0.0020376+0.0015145i,-0.0010465+0.0012139i,-0.0002975+0.00056545i,-0.00072867+0.0011202i,-0.00023745+0.001491i,0.00089045+0.0010265i,0.0019204+0.00073519i,0.0017942+0.00081807i,0.00049792+0.00079585i,0.00011047+0.00082023i,-0.00027129+0.00045389i,-0.00034287+0.00050469i,0.00020577+0.0008251i,0.0007069+0.00045036i,0.00076266-0.00048639i,3.0185e-05-0.00079884i,-0.00023398-5.5796e-05i,-0.00025228-0.00016781i,-0.00040207-0.0002062i,-0.00014266-9.6008e-05i
0.00059103+0.00025532i,0.00068603+0.00025996i,0.00041822+0.00069996i,0.00056206+0.00062574i,0.0019561+0.00025569i,0.0022006+0.00023779i,0.00032037-0.00020816i,-0.00022427-0.0010963i,0.00031846-0.00054156i,0.00043769+0.00034528i,0.00052741+0.00048134i,-2.1779e-05+0.00022804i,-0.00015215-0.00055925i,0.00036523-0.00017823i,0.00060262+0.00017097i,-0.00029737-0.0005032i,-0.00050031-0.00066411i,0.00011691-0.00024495i,0.00014341+0.00024972i,-0.0001649+4.2742e-05i,0.00060844+0.00033104i,0.00082268+0.00073998i,-0.00030199-0.00019915i
-8.6663e-05+0.00084931i,-0.00026251+0.0017596i,-0.00012143+0.0014487i,0.00084216+0.00064545i,0.00096437+0.00027846i,-0.00048674+0.00011774i,-0.0010578+6.1235e-05i,-0.00083958-4.1495e-05i,-0.00027207-5.0526e-05i,0.00042832+0.00053792i,-8.9951e-05+0.00068486i,-0.000313+5.2786e-05i,0.00021773-0.00035687i,6.3236e-05-0.00020381i,-8.5911e-05+0.00022081i,0.00023477+0.00063293i,0.00045108+0.001218i,-0.0001176+0.0010535i,8.5255e-05+0.00013625i,0.00022071-0.00049895i,-0.00052808-0.00055251i,-0.0008854-0.00060185i,-0.00057345-7.6482e-05i
0.00011241-0.00064975i,-4.5856e-05-0.00057828i,-0.0010451+0.00015951i,-0.00094325+0.0012962i,0.00029494+0.0022011i,0.00071744+0.0010306i,0.00051404-0.00012013i,0.00044783+0.00041777i,-6.9244e-05+0.00090361i,-0.0001801+0.00093525i,-4.8032e-05+0.0008406i,-0.0002604+0.00078322i,-0.00011967+0.0010418i,0.00050774+0.00097551i,0.00020044+0.00022883i,-0.00041693+4.5559e-05i,-0.00022119+0.00047474i,0.00018119+0.0003519i,0.00032177+0.00021202i,-8.7428e-06+0.00013427i,-0.00071338-0.00064744i,-0.00077783-0.001196i,-0.00010205-0.00077898i
-0.00071149+0.0029995i,-0.00046426+0.0031204i,0.00050422+0.0022936i,0.001502+0.0014486i,0.0017507+7.5626e-05i,0.0010615-0.00095933i,0.00072305-0.00086751i,-4.8323e-05-0.00054627i,-0.00056768-0.00075202i,0.00023519-0.00062315i,-0.00020316-0.00062846i,-0.001035-0.001143i,-0.0002229-0.00055673i,0.00056451+0.00023965i,0.00053634+0.00064128i,-9.039e-05+0.0006032i,-1.2388e-05+9.5991e-05i,0.00057921-0.00061707i,0.0002671-0.00090207i,-0.00047929-0.00011068i,-0.0006141+0.00064999i,-0.0001351-2.2623e-05i,0.00017232-0.00092406i
-0.00040583+0.00076679i,-0.00049368-0.00013516i,-0.00012848-6.3635e-05i,0.00098577-0.00034669i,0.0010104-0.0006827i,0.00080282-0.0011618i,0.00088503-0.001435i,0.00035116-0.00048368i,0.0001871+0.00056259i,0.00056455+0.00062944i,0.00055306+0.00081721i,1.4982e-05+0.0010334i,-0.00022987+0.00032221i,5.0681e-06-0.0004123i,0.00085183-0.00039279i,0.00021385+0.00041284i,-0.0005162+0.00089318i,0.00011339+0.00096689i,0.00014733+0.00048447i,-6.857e-05+6.3489e-05i,-0.00060187-0.00014726i,-0.00075055+8.2563e-05i,-0.00044363+0.00045788i
0.00073625+0.0013704i,0.00057589+0.00038333i,0.00073255-0.00054028i,0.00036468-0.00090514i,-5.9357e-06-0.00094382i,0.00041525+1.7699e-05i,0.0010215+0.00093708i,0.00084333+0.0013075i,9.2213e-05+0.00092558i,-9.6169e-05-0.00030336i,0.00018606-0.00059631i,6.2067e-05-0.00073889i,0.00037881-0.0011642i,0.00076985-0.0011533i,0.00012663-0.00067736i,-0.00056259+0.00034022i,-0.00027463+0.00041387i,0.0002705+8.9097e-05i,0.00029228-0.00046212i,9.9718e-05-0.00035368i,-3.1115e-05+0.00038069i,-0.00013335+8.4306e-06i,-3.6808e-05-0.00079584i
0.0011649+0.0011053i,0.00078479+0.00058403i,-0.00021468-0.00060367i,0.00016145-0.001136i,0.0009182-0.00091436i,0.001034+4.3946e-05i,0.00040071+0.000114i,-0.00031555-0.00013917i,4.1287e-05-8.4474e-05i,0.00020912-0.00038943i,-6.5321e-05+2.5295e-05i,-0.0001964+0.00078751i,-0.00025119+0.00024095i,-0.00029409-0.00035974i,-0.00051382-0.0010885i,-0.00022361-0.0013914i,0.00042722-0.0012482i,0.00016367-0.00071553i,-6.2502e-05-0.00011468i,0.00035762-0.00023066i,5.0029e-05-0.00039144i,0.00025731-0.00010123i,0.00036077+0.00037271i
-0.00067116-0.00073802i,-0.0017398+0.00022619i,-0.0025211+0.0001771i,-0.0019002-0.00032257i,-0.0013959-0.00064757i,-0.0011136+0.00062635i,-0.00068456+0.0012159i,-0.00052816+0.0003903i,0.00035908+5.3608e-05i,0.00092609-0.00035513i,0.00053379-0.00010311i,5.6621e-05+0.00027595i,-0.00016941-4.6456e-05i,0.00053193-0.00029619i,0.00064581-0.00063538i,-0.00036297-0.00022419i,-0.00066876+4.2497e-06i,-0.00022291-0.00066205i,-0.0001149-0.00059612i,0.00010702+0.00012442i,0.00010412+0.00040924i,-0.00022194+0.00047856i,0.00011386+0.00077059i
0.00078007-0.00056915i,0.00079585+0.00019458i,-0.00041659-0.00024078i,-0.00091732-0.00072455i,-0.00049752-0.00026628i,-0.00016396-0.00051307i,-0.00043848-0.00058637i,-0.00070881-0.00067491i,-0.00024362-0.00057342i,-0.0004669+4.4754e-05i,-0.000337+0.00042778i,0.00016527+0.00059069i,-0.00046557+0.00041295i,-2.1992e-05-2.9691e-05i,0.00064143-0.00017287i,3.6937e-05+6.5083e-05i,-5.9991e-05+0.00024933i,0.00053625+0.00037228i,0.00059602+0.00026602i,-0.00016875-1.4581e-05i,-0.00070809-0.00031044i,1.0572e-05-0.00038739i,0.00074161-4.2905e-05i
-0.00080156+0.00032187i,-0.00016811+0.0005156i,-0.00058403+0.00013702i,-0.00046959+0.00053803i,0.00056062+0.0008396i,0.00075356-0.00038385i,0.00079075-0.00076717i,0.00093504+0.00021733i,0.00053061+0.0012591i,0.0004952+0.0012717i,0.00077457+0.00082704i,0.00092021-3.2854e-05i,0.0012009-0.00078688i,0.0013408-0.00044766i,0.00024842-0.00069827i,-0.00039306-0.0013316i,0.00019763-0.00074863i,0.00057577-0.0002534i,-0.00012281-0.00044831i,-0.00035588-0.001047i,0.00010894-0.00094823i,0.00032461-3.7262e-05i,0.0005348+0.0010244i
-0.0010578+0.0024352i,-0.00019802+0.0023875i,0.00086044+0.0020691i,0.0021822+0.00021812i,0.0027854-0.00042128i,0.0017796-0.00041795i,-8.8561e-05-0.00086397i,-0.0011885-0.00092773i,-0.00063193-0.00044536i,0.00026384+5.708e-05i,0.00023692-2.2105e-05i,0.0003432+0.00012383i,0.00033277+0.00016557i,-0.00011349-0.00015336i,-0.00025695-0.0002922i,-8.6661e-06-9.3835e-05i,0.00055523-0.00019366i,0.00032526-0.00059339i,0.00016255-0.00092837i,0.00051012-0.00073673i,-0.00047286+0.00016395i,-0.00093427+0.00031247i,-7.0565e-05-0.00031334i
-0.0013325-0.0017435i,-0.00059292-0.0019098i,-0.00026407-0.00060509i,0.00016312+0.00065418i,0.00082173+0.0010336i,0.00033327+0.00050467i,7.4583e-05+0.00046647i,0.00029526+0.00064963i,-0.00011359+0.00050248i,-0.00013026-0.0003269i,0.0004523-0.00024343i,0.00033954+0.00017651i,-0.00034866-0.00064936i,6.4893e-05-0.00093384i,0.00030545-0.00052419i,-0.00025478+9.4351e-05i,-0.00060146+0.00019676i,-0.00079475-2.1881e-05i,-0.00021905-0.00010844i,-0.00022376-0.00029484i,-0.00042176+7.5867e-05i,-0.00062287+0.00076427i,-0.00019868+0.00043056i
0.0005603+0.0049625i,0.0011495+0.0054277i,0.0011451+0.0037817i,0.0021238+0.0013524i,0.0026569-0.00039088i,0.0013863-0.00044702i,0.00038065-8.3104e-05i,0.0010075-0.00082953i,0.0012008-0.0003999i,0.0011839+4.7867e-05i,0.00065232-0.00011464i,0.00045177-0.00012776i,0.0005919+0.0005343i,0.000197+0.00092509i,2.4687e-05+0.00057969i,0.0004913+0.00052157i,0.00019881+0.00018889i,-0.00048866-0.00057625i,0.00017901-0.0010751i,0.00057374-0.00088069i,0.00040934-0.00040451i,9.15e-05-0.00054349i,-3.4683e-06-0.00053822i
-0.0010506+0.00037441i,0.00014869+0.0019579i,0.00027463+0.0018858i,0.00034885+0.00075952i,0.00069078+0.00045805i,0.00017639+0.00042207i,-0.0003557+0.00043845i,-0.00043599+0.0011752i,-0.0007133+0.0010426i,-0.00072348+4.3808e-05i,-2.8465e-05+0.00020504i,0.00068189+0.00036192i,0.00066143-0.00050265i,0.00033991-0.0008436i,-0.00033152-0.00048842i,-0.00057288-0.00034578i,-0.00045949-0.00068624i,-0.00026577-0.0010794i,2.0329e-05-0.0010786i,0.00026364-0.00093192i,8.9514e-05-0.00052384i,0.00044695-0.00043402i,0.00075497-0.00045045i
0.00076674-0.0013784i,0.00096677-0.0025184i,0.00044097-0.002668i,0.00041077-0.0018751i,0.00083448-0.00096096i,0.00031306+0.00013533i,0.00010406+0.0013347i,0.00030359+0.0015232i,0.00019909+0.00059554i,0.00061352-0.00011552i,0.00027799-0.00047678i,-0.00047382-0.00011693i,-0.00078755+0.00025114i,-0.00028821-5.907e-05i,0.00055194-0.00015315i,0.00036122-0.00019474i,0.00012599-5.0051e-05i,0.00023132-0.00033656i,2.6573e-05-0.00099136i,0.00013672-0.0014946i,0.00035817-0.00089303i,0.00043944+0.00039411i,0.00063664+0.0004225i
0.0035982-0.0017366i,0.0030027-0.001655i,0.0021605-0.0014136i,0.0014213-0.0013783i,0.0014705-0.00077554i,0.0013354+0.00013103i,0.00063969+0.00059832i,-1.5382e-05+0.0010032i,-0.00032246+0.0011178i,-0.00013576+0.00030829i,0.00023458-2.4406e-05i,0.0002468+0.00067576i,0.00057539+0.000662i,0.00059024+0.00031062i,9.4032e-05+0.00048008i,0.00020355+0.00082094i,0.00028018+0.00076008i,0.00027159+0.00067549i,0.00029832+0.0006629i,-0.00055112+0.00034687i,-0.00051089+0.00031543i,0.00026905+0.00044311i,4.9627e-05+0.00026403i
-0.00028024-3.671e-05i,-0.00066857+0.00061539i,-0.00080444+0.0003673i,-0.00052322-0.00024546i,-0.0014005-8.233e-05i,-0.0017376-3.031e-05i,-0.00098425-0.00049994i,-0.00014178-0.00048681i,-5.3038e-06-0.00013359i,-0.00087647+0.00028459i,-0.0011928+0.0004727i,-0.00056153+0.00089855i,-0.00028182+0.0012774i,-0.00050634+0.00056856i,-0.00033937+0.00025149i,5.7611e-05+0.00037608i,-1.6298e-05+0.00049119i,-0.00021914+0.00067829i,-0.00031342+0.00031263i,0.00022311+0.00024776i,-0.00011566-0.00016851i,-0.00039743-0.0010856i,0.00024586-0.00060483i
-0.0014321-0.0033572i,-0.0015639-0.0026846i,-0.0009587-0.00083034i,-7.9099e-05+0.00088336i,0.00047579+0.0013685i,0.00146+0.00090008i,0.0015297+0.00074048i,0.00027852+0.00093848i,-0.00078687+0.00064191i,-0.00064212+0.00029505i,3.9395e-05+0.00057724i,-9.7406e-07+0.00032365i,-0.00034546-0.00040197i,3.4786e-06-5.5055e-05i,0.00013613-4.7756e-05i,-0.00069056-0.00050593i,-0.00059362-0.00041835i,-0.00041681-0.00046636i,-0.00018929-0.00024592i,-8.6469e-05+0.0002581i,2.064e-05+0.00025547i,0.00090267-0.00021475i,0.00076151+0.00023447i
-0.00073599+0.0012083i,-0.00096906+0.0011294i,-0.00098768+0.00153i,-0.00029997+0.00076673i,0.00018812-4.6992e-05i,-4.6713e-05-0.00066903i,-0.00072128-0.00021358i,-9.3257e-05+0.00076816i,0.0010792+0.00080556i,0.00045282+0.00010779i,-0.00056053+7.5941e-05i,-0.00057995+0.00025407i,-0.0001921-0.00071126i,0.00066181-0.0011476i,0.00092212-0.00054909i,0.000181-2.7356e-05i,-0.00019953+0.00014217i,-0.00031096+0.00013291i,5.1162e-05-0.0001001i,0.00069909-1.716e-05i,0.00070076-0.00040858i,0.0002504-0.00068587i,-7.9171e-05-0.00032254i
-0.00078513+0.00016181i,-0.0010875-0.00033745i,-0.00018864-0.00014188i,0.00063747+0.00059335i,0.00084233+0.0011445i,0.00078391+0.0010309i,0.00024042+0.00063101i,-0.00021816+0.00030499i,0.00058308-5.9428e-05i,0.0010082-0.00019495i,0.00049739-0.00020415i,-5.9452e-05-0.00033488i,-0.00014755-0.00063287i,-0.00025451-0.0013048i,-0.00048978-0.00077863i,1.6741e-06+0.00016919i,0.00044009-0.0003684i,0.00050316-0.00068902i,8.7987e-05-0.00025594i,-0.00044702-0.00023954i,-0.00013112-0.00031134i,0.0003184-0.00032402i,0.00038608-0.00050729i
-0.0014422+0.0003241i,-0.0011517+0.0010227i,0.00010699+0.0010597i,0.00047597-0.0006133i,0.0010578-0.0014343i,0.00098882-0.00048225i,-0.00025771+0.00022741i,-0.00037371+0.00042517i,0.00036201+0.00038003i,0.00099193-7.3836e-06i,0.0009956-0.00040473i,0.0010959+0.00029117i,0.00075447+0.00096716i,-0.00040072+0.0001099i,-0.00076905-8.6915e-05i,-0.00064362+5.2653e-05i,0.00014631+0.00027176i,0.00022525+0.00069165i,-0.00060422+0.00024421i,-0.00050969+0.00031333i,-0.00034389+0.00016539i,0.0001434-0.00052005i,0.00084882-0.00061545i
0.0012684+0.0023266i,0.0012802+0.0021859i,0.0009818+0.0024585i,0.0011404+0.00045597i,0.0013057-0.0016395i,0.00013809-0.002149i,-4.4333e-05-0.001785i,-1.664e-05-0.00057987i,-4.7731e-05+0.00033601i,0.00071181-3.8114e-05i,0.0007467-0.00050417i,-0.00028235-0.00043388i,5.8052e-05-0.00021426i,-0.00017349-0.00029993i,-0.00061833-0.0005188i,-0.00014921-0.00041362i,1.0444e-05-0.00026304i,-0.00014667-0.00024107i,4.5239e-05+7.6077e-05i,0.00020184+0.00026616i,0.00065676+4.5734e-05i,0.0010655-0.00030096i,0.0010157+3.8318e-06i
0.00040475+0.00055904i,0.00036221+0.0011282i,0.0009743-0.00038273i,0.0017298-0.00074368i,0.00095814+0.00032358i,0.00012271+0.0010968i,0.0001093+0.0013547i,-0.00030872+0.00053051i,-0.00044091+0.00023602i,-0.00021569+0.00053158i,-0.00037106+0.0001261i,-0.00027445+0.00014524i,0.00012317+0.00016933i,0.00035309-0.00020611i,0.00018006-0.00031517i,0.00021761-0.00058343i,0.00059398-0.00035322i,0.00048339+0.00017304i,0.00046499+0.00035172i,0.00085486+2.7045e-05i,0.00053133-0.00016437i,-7.9609e-05-0.00031207i,-0.00042682+0.00012191i
-0.0014237+0.0018207i,-0.00099687+0.002025i,0.00042954+0.0012895i,0.00074788+0.00068133i,0.00019118-0.0002281i,-1.3187e-05-0.0011782i,0.00024306-0.0009337i,-0.0003321-0.00030734i,-0.001695+0.0001334i,-0.0018611+0.00046938i,-0.00097699+0.00015811i,-0.00020805-0.00062613i,-8.4512e-05-0.0010978i,0.00011693-0.0014655i,0.00048768-0.00091382i,0.00014802-0.00040106i,4.452e-05-0.0011593i,0.00037701-0.00093379i,0.00047147-0.00049737i,-0.00010867-0.00047655i,-0.00039336+0.00040729i,-0.00013343+0.00078173i,0.00014581+0.00017897i
0.00070622+2.343e-05i,0.0014113-0.00034833i,0.0013379-0.00091115i,0.00099407-0.00093507i,0.00032731-0.00059339i,-0.00046753-0.00021991i,-0.00034542-4.9958e-06i,0.00021035-0.00015324i,9.0509e-05-0.00030417i,-0.00030526-0.00042219i,-0.00070071-0.00036562i,-0.00029457-0.0002362i,-0.00024423-5.695e-06i,-0.00061038+0.00037886i,-0.00054153-0.00014352i,4.1518e-05-0.0011811i,0.00048068-0.00055612i,0.00037604-0.00036255i,0.00071497-0.0005693i,0.00016067+5.9432e-05i,-0.00093458+0.00022335i,-0.00042301+0.00016318i,0.00058242-0.00030569i
-0.00028694+0.00098741i,0.00053733+0.001256i,0.00081061+0.0015479i,0.0011593+0.001337i,0.0012842+0.0007959i,0.00079209+0.0002564i,-0.00018726-0.00014744i,-0.00016353-0.00036351i,1.0289e-05-0.0003429i,0.00018767+0.00011378i,0.00054267+0.0002542i,0.00058021+0.00017313i,0.00036089+0.00055751i,5.6052e-05-0.00052592i,-0.00072983-0.0018013i,-0.00062622-0.0014758i,0.00089234-0.00031594i,0.00086814+0.00027122i,-0.00018774-0.00014687i,-0.00056194-0.00058252i,-0.00029243-0.00011314i,-0.00013817-0.00023685i,-0.00076334-0.00036113i
0.00055407-0.0017547i,0.0011538-0.0022121i,-0.00022199-0.0022384i,-0.0015785-0.0012159i,-0.0013069-0.0004309i,0.00024481+4.9282e-05i,0.0005782+0.00055129i,6.8072e-05+5.4486e-05i,0.00031161+3.9833e-05i,0.00022135+0.00086517i,-0.00046125+0.00035702i,-0.00074707-0.00017145i,-0.00039678-0.00057804i,0.00031044-0.00037222i,0.00072719+0.00033744i,0.00065208+0.00010514i,0.00010634-0.00024862i,0.00010221-0.00026369i,-0.00028817+9.2499e-05i,-0.00081155-0.00026074i,-0.00053947-4.8256e-05i,-0.00030269+0.00066063i,0.00038405-1.7771e-05i
0.0012979+0.0021423i,0.0021933+0.0024092i,0.0029604+0.0012677i,0.0023224-0.00035879i,0.0013305-0.00017312i,0.00087119+2.9795e-05i,0.0002234+9.6699e-05i,-3.6725e-05+0.00037259i,0.000339-0.00045922i,0.00055217-0.0013588i,6.9898e-05-0.00096306i,-0.00064152+0.00016237i,-0.00055948+0.00035972i,5.157e-05-0.00064264i,-0.00055668-0.00077483i,-0.0011628-0.00073038i,-0.00031363-0.00079522i,0.00029678-0.00074851i,0.00053301-0.00076942i,2.8051e-05-0.00064012i,-0.00047476-0.0003962i,-0.0003855-0.00043845i,-0.0006165-0.00045425i
-0.0014233-0.00090863i,-0.0010754-0.00061841i,0.00058003+0.00067487i,0.0018088+0.00057728i,0.0020397-0.00064247i,0.0010208-0.0010815i,-0.00013798-0.00056417i,-0.00027932-0.00041903i,-8.7608e-05+2.7842e-05i,8.6527e-05+0.00031216i,0.00014642+0.00030696i,0.00057645+0.0001558i,0.00065429-0.001021i,-0.00017888-0.00093578i,-0.0010455-0.00019818i,-0.00093107+3.7969e-05i,0.00016842-0.00021077i,0.00064999-0.00099933i,3.6559e-06-0.0015232i,-0.00066211-0.0015712i,-0.00044385-0.00076182i,0.00028836-0.00030561i,0.0002191-0.00031825i
-8.6308e-05+0.0026212i,-0.00078071+0.0016422i,-7.6409e-05+0.00091045i,0.00051126-0.00051899i,0.00091442-0.0018382i,0.00083245-0.0016694i,9.1641e-05-0.00030647i,-0.0001464+3.2583e-05i,0.00031951-0.00061441i,0.0011324-0.00051767i,0.0012793+0.00017666i,0.00046036+0.00031246i,0.0001964+0.000268i,-0.0003234+0.00028722i,-0.0011384+0.00050296i,-0.0010948+0.00020752i,-0.00024191-0.00036778i,-5.0514e-06-4.1837e-05i,2.5695e-05-0.00026623i,-0.00026989-0.00082612i,-0.00049374-0.001209i,-0.00045899-0.0012185i,-5.7957e-05-0.00048276i
-0.00055819-0.0010645i,0.00072146-0.00097776i,-0.00047378+0.00036983i,-0.00072922+0.0015512i,-0.0002699+0.0015486i,0.00012494+0.0006257i,5.8239e-05-0.00036152i,-0.00075854+6.4774e-05i,-0.0012747+0.00027869i,-0.0019232+0.00036578i,-0.001444-2.9278e-05i,0.00015263-0.00031794i,0.00047508-0.0002083i,0.00093329-0.00059872i,0.00080326-0.0010489i,0.00012645-0.00089961i,-2.7025e-05-0.00020786i,-0.00033582+0.00068776i,-0.00092475+0.00047812i,-0.0012723+0.00015495i,-0.00087764+0.00012407i,0.00011831-0.00029996i,0.00040058+0.00034824i
