-0.0016403+0.0013889i,-0.0001578+0.00047597i,-0.00083651+0.00067985i,-0.001338+0.00074641i,-0.0010952+0.0016135i,-0.0013983+0.0024903i,-0.00092054+0.0028478i,0.00030577+0.0025588i,0.0013946+0.0011876i,0.0010598+0.00038948i,0.00023403-0.00037568i,-0.00060872-0.00080545i,-0.0007215-0.00023437i,-0.00052425-0.00064621i,-0.00057848-0.00071426i,-0.00034152-0.00035008i,0.00039295-9.4651e-05i,0.00091328+0.0003545i,0.00077576+0.00034648i,0.0005023-0.00011513i,0.00057966-0.00027914i,0.00047605+0.00028738i,0.00012097+0.00023933i
-0.0016934+0.0030742i,-7.2029e-06+0.0037677i,0.0018545+0.0052794i,0.003771+0.0052902i,0.0045468+0.0033427i,0.0038464+0.0015219i,0.0015786+0.00050875i,7.8795e-05+0.00038464i,0.00014613+0.00086464i,-0.00011175+0.001035i,-0.00047176+0.00014866i,-0.0004015-0.0013609i,-0.00047576-0.0017117i,-0.00093237+0.0001056i,-0.0010959+0.0015682i,-0.00063581+0.0010743i,0.00031314+0.00027737i,9.2767e-05-6.6183e-05i,-0.00064295-0.00010041i,-0.00090777+0.00087171i,-0.00074897+0.0010547i,-0.00089769+0.00032192i,-0.00039716-0.00027545i
-0.0009136-0.00099804i,-0.00039018-0.00064212i,-0.00047263+0.0003716i,-0.00029266+0.0018957i,-6.7934e-05+0.0029842i,-6.7927e-05+0.0023577i,-8.3829e-05+0.00088965i,-9.9951e-05+0.00071435i,0.00018909+0.00028722i,0.00049946-0.00023061i,5.7552e-05-0.00021652i,-0.00059468+0.00019893i,-0.00067481+0.00073118i,-0.00038226+0.00046718i,-0.00027157+7.9404e-05i,-2.1325e-05-2.7059e-06i,-0.00018103-0.00027231i,-0.0007596-5.2676e-05i,-0.0010451+0.00033997i,-6.6034e-07+0.00089075i,0.00097761+0.0011641i,0.00055883+0.0011548i,-0.00021636+0.00020088i
0.00077912-0.00087826i,-0.00033923-0.0018648i,-0.00092257-0.00096669i,-0.00086875+0.00077354i,-0.00077633+0.0015912i,-7.6953e-05+0.0019151i,0.0004754+0.0019551i,0.0002267+0.0015414i,0.00036079+0.0006654i,0.00028647+0.00012941i,-0.00036585-6.0998e-05i,-0.00049605-3.5202e-05i,-0.00036139+0.00037023i,-1.2572e-05+0.0010728i,0.00012508+0.00096821i,0.0001626+0.00034352i,0.00029716+0.00060736i,0.00048899+0.00067341i,0.00020712+0.00075189i,0.00012584+0.00055903i,0.00068262-0.00026207i,0.00099718-0.0001523i,0.00036259+0.0004024i
-0.0015194+0.00042159i,-0.0012589+0.00012571i,-0.00083133+0.00047023i,7.4582e-05+0.0012575i,0.00068235+0.0016645i,0.00019892+0.00089278i,0.00039952-9.0179e-05i,0.00091769-0.00031202i,0.00058874-0.00019774i,0.00026195-0.00060838i,-0.00038407-0.00051977i,-0.00060946-0.00016112i,-0.00050732-0.00021906i,-0.00051786+0.00011279i,-0.00018676+8.6389e-05i,0.00035989-0.00035658i,0.00084327-1.6191e-05i,0.0010289+0.00046738i,0.00091939+0.00031169i,0.00076951-0.00021527i,0.0010754+0.00011987i,0.0013675+0.00013959i,0.0010534-0.00058314i
-0.0015092-0.00055022i,-0.0012645+0.00070764i,-0.00063285+0.0025994i,0.00059838+0.0032136i,0.0014412+0.0023619i,0.0016693+0.0013789i,0.00097652+0.0006203i,4.0129e-05+0.00087031i,-0.0004169+0.00091196i,-0.00036275+0.00011796i,0.00027747-0.00057792i,0.00043352-1.8557e-05i,0.00017302+0.00056772i,-6.9857e-05+7.1118e-05i,-9.4342e-05-0.00067212i,2.9338e-05-0.00062258i,0.00028569+5.3725e-05i,0.00015859+0.0001525i,-0.00052801+4.3317e-05i,-0.0014705+0.00030404i,-0.0015628+0.00017782i,-0.0010623-0.00018262i,-0.00016177+0.00018384i
-0.0013368+0.0012274i,-0.00066917+0.0020881i,0.00068215+0.0026324i,0.0024835+0.003223i,0.0018563+0.0033136i,0.00049255+0.0020695i,-0.00018304+0.0009981i,-0.00021075+0.0005317i,0.00037709+0.00027306i,0.00062356+0.00080836i,0.00030122+0.00095254i,0.00022805-9.7027e-05i,0.0001201-0.00041166i,-0.00058879+0.00010674i,-0.00078124+0.00044849i,-0.00045398+0.00051533i,0.00036918+0.00056958i,0.00090176+0.00073583i,0.00076095+0.00042901i,0.00018614+0.00044809i,2.3033e-05+0.00055599i,-0.0002003-0.00027852i,-0.00037778-9.6546e-05i
0.0018788-0.0022563i,0.002823-0.00040812i,0.003011+0.00011936i,0.00094819+0.00066768i,-0.00028025+0.00081289i,3.0904e-05+0.0008362i,4.5856e-05+0.0011753i,8.7501e-05+0.00041274i,0.00036179-0.00056112i,8.4956e-05-0.0010593i,-0.00015418-0.00020797i,-5.1205e-05+0.00059378i,-0.00077064+0.00067511i,-0.0011992+0.00042766i,-0.00088338+3.2283e-05i,-0.00063454+6.9262e-05i,-0.00040715+0.00050408i,-0.00026283+0.00033894i,-2.5148e-05-0.00026763i,5.8509e-05-0.00018936i,0.0003741-0.00055728i,0.00042589-0.0010352i,-0.00014386-0.00070784i
0.00092351+0.00022871i,0.0010183+0.00048887i,0.0010217+0.0014846i,0.0012282+0.0017384i,0.0014271+0.00098352i,0.00080107-0.00012195i,-3.3342e-06-0.0001817i,0.00073913-0.00068234i,0.0014685-0.00098916i,0.00098101-0.00021102i,0.00075646-0.00015482i,0.00093681-0.00060129i,0.00036635-0.00047422i,-3.4563e-05-0.00013282i,-0.00020271-7.1268e-05i,-0.00092661+0.0005117i,-0.0008544+0.00031905i,0.0005053-0.00041531i,0.00064045-0.00038705i,-3.4717e-05+0.00038218i,2.2337e-05+0.00077838i,0.00041968+0.00058373i,0.00020787+0.00074853i
0.00025812-0.00047181i,0.0012335+0.00057i,0.0015897+0.0019259i,0.00092214+0.0020858i,0.00010352+0.0018165i,-0.00051685+0.0015228i,0.00019631+0.00062543i,0.001118-0.0002295i,0.00069233-0.00028656i,-0.00025914-0.00013231i,-0.00056791-0.00052281i,0.00050282-0.00053381i,0.00098377+0.00026808i,0.00053109+0.00064821i,0.00076843+0.0001655i,0.00032542+0.00061807i,0.00048927+0.00089407i,0.00047053+0.00022247i,-0.00072296-0.001158i,-0.00035359-0.0012233i,5.0321e-05-0.00033983i,-0.00021633-7.2312e-05i,1.2849e-06-0.00036781i
-4.2624e-05-0.00077218i,-0.00057756-0.00068929i,-0.00035469-0.00072093i,-1.2866e-05-0.0006528i,5.8286e-05-0.00067066i,-4.6787e-05-0.00017643i,0.00028179+0.00053261i,0.0001447+0.00086937i,0.00021545+0.00018619i,0.00025371-0.0007192i,-0.00059553-0.00058996i,-0.0002433-0.00019743i,-0.00024336-0.00024974i,-0.00014246-0.00017864i,0.00093586-1.5706e-05i,0.00097429+0.00060417i,0.00058024+0.00050297i,2.8973e-07-0.00037812i,-0.00053734-0.00088148i,-0.00085442-0.00078018i,-0.00073522-4.7509e-05i,0.00014333+1.5506e-05i,0.00072217-0.00011788i
