2.9111e-05+0.0002466i,0.00052205-0.0013061i,-0.00052752-0.0026037i,-0.0021089-0.0023091i,-0.0024357-0.0014669i,-0.0023657-8.4701e-05i,-0.0017798+0.0008582i,-0.0004431+0.0002806i,0.0006043-0.00041199i,0.00042332-0.0009928i,-0.00036706-0.0012972i,-0.00055489-0.00072428i,-0.0006214+0.00015207i,-0.0011236+0.00059988i,-0.0011562+0.0011257i,-0.0010435+0.00089418i,-0.00094534-0.00010671i,9.2551e-06-0.00059147i,0.00083365-0.00042411i,0.00030232+5.1687e-05i,0.00028816+0.00041175i,0.0002981+6.291e-05i,-0.0010112-0.00030627i
-0.001283-0.00076746i,-0.0014715-0.00088446i,-0.0019705-6.1771e-05i,-0.0018561+0.0007059i,-0.001283+0.00047472i,-0.00085993+3.349e-05i,-0.00098966-0.00021385i,-0.00056863-0.00038515i,-0.00038533-0.00065146i,-0.00054609-0.00074499i,-0.00070912-4.2273e-06i,-0.00091568+1.2569e-05i,-0.0012255-0.00033789i,-0.00073602-5.0069e-05i,8.954e-05-0.00034104i,0.00038404-0.00069846i,0.00035812+2.4361e-05i,0.00044343+0.00070565i,0.00072899+0.00079851i,0.00079084+0.0009472i,0.00079247+0.00073983i,0.00052441+0.0001519i,0.00033283+0.00051577i
-0.00021523-0.00011243i,-0.0011885-0.00085207i,-0.00090851-0.0016432i,-0.00033001-0.0019755i,-0.00052327-0.00151i,-0.0016199-0.00036133i,-0.0020329+0.0004565i,-0.001563+0.0007864i,-0.00048949+0.00020412i,-0.00053482-0.00071012i,-0.0013039-0.00087052i,-0.0015451-5.2547e-05i,-0.0015138+0.00070244i,-0.00043449+0.00027368i,0.00054648-0.00014886i,-0.0001377+0.00093588i,-0.0014993+0.0013588i,-0.0016906+0.00093035i,-0.00069573+0.00057704i,0.00014079+0.00033852i,9.9425e-05+0.00035112i,-0.00018912+0.00049181i,-0.00089456-0.00020826i
-0.00045465-0.00085601i,-0.0014636-0.0021715i,-0.0010444-0.00172i,-0.00011726-7.5647e-05i,4.1884e-05+0.00079503i,-0.00036902+0.00032662i,-0.00043476-0.00013853i,0.00014718-0.00047281i,-8.7696e-05-0.00077886i,-0.00067282-0.00078926i,-0.00030461-0.00042057i,0.00040719-0.00011844i,0.0007131+1.3288e-05i,0.00029334+0.00061707i,-0.00051986+0.00084911i,-0.00092184+0.00069687i,-0.0011733+9.1372e-05i,-0.00040992-0.00019665i,0.00037804-0.00011286i,-0.00023033-0.00047617i,-0.00094936-0.00042329i,-0.00039515-6.8474e-08i,0.00047944+7.6914e-05i
-0.001477+0.0003126i,-0.0011-0.00051607i,-0.00070055-0.00054441i,5.2952e-05-0.000166i,0.00016908-0.00046293i,-0.00042213-0.0004755i,-0.00031709-0.0005059i,0.00088312-0.0009374i,0.0012317-0.00084482i,0.0014297-0.00060281i,0.0014995-0.00035608i,0.00038986-0.00020132i,-0.00042742+1.8094e-05i,0.00019848+0.000423i,0.00074088+0.00012142i,-0.0001264-0.00020704i,-0.00015943+8.8372e-05i,0.00082675+0.00013676i,0.00081211-0.0002621i,0.00028954+6.0111e-05i,-2.0897e-05+0.0007736i,-4.1642e-05+0.00079308i,0.00012169+0.00064028i
-0.0014935-0.0011557i,-0.001297-0.00095863i,-0.0014229-0.00038822i,-0.0011929-0.00030216i,-0.00082912-0.00022326i,-0.00056894+0.00033442i,-0.00055609+0.00057181i,-0.0012038+0.00056897i,-0.0015025+0.00059361i,-0.00065378+0.00047991i,0.00039273+0.00036513i,0.00018204+0.00068415i,-0.0003333+7.8292e-05i,-5.1694e-05-0.00050218i,5.3461e-05+0.00010568i,0.0003419+0.00040286i,0.00065139+0.00045738i,4.2503e-05+0.0011138i,-0.00040637+0.0015777i,-0.0001162+0.0009506i,0.00050491+0.00024538i,-0.00012986+0.00025684i,-0.00042242+0.00067125i
-0.0029723-0.00027257i,-0.0021063-0.00032772i,-0.0017194+0.00086871i,-0.00091268+0.0012278i,-0.00052645+0.00025397i,-0.0013661-0.00027134i,-0.0019264+0.00012402i,-0.0012784+0.00030484i,-0.00022568+0.00027001i,0.0011735+0.00015239i,0.0012747+7.9951e-05i,-1.3031e-05-0.00062521i,-0.0006163-0.00095238i,-0.0004408-0.00065953i,-0.00029009-0.00066654i,-0.00054088+9.8693e-05i,-0.0008543+0.00049205i,-0.0009196+0.000433i,-0.0009547+0.0014542i,-0.00064265+0.0016355i,-0.00058726+0.00062648i,-0.00076979+0.00010185i,-0.00034272+0.0004036i
-0.00027206-0.00084817i,-0.0016569-0.00085536i,-0.002216-0.00029609i,-0.0011597-0.0001358i,-0.00069746-0.00054233i,-0.00089342-0.00092513i,-0.00071692-0.00096927i,-0.00016933-0.0013315i,0.00079141-0.0021554i,0.00039496-0.0011922i,-8.3689e-05+0.00012454i,7.8785e-05+0.00065059i,-0.0002247+0.00036808i,-0.00043535-6.7748e-05i,0.0001213-7.461e-05i,0.00062502+0.00023787i,0.0010403-0.00014586i,0.0014126-0.00053822i,0.00073244+2.5073e-05i,0.0007342+0.00049171i,0.00057429+0.00014305i,-2.7134e-05+0.00017316i,0.00044895-0.00010911i
-0.00096999-0.0023005i,-0.0024909-0.0017806i,-0.0031735-0.0015487i,-0.002118-0.00042015i,-0.00072437+0.00024827i,-0.00034698+1.8046e-05i,-0.0011231+0.00042943i,-0.00074714+0.00063803i,0.00022315-4.7481e-05i,-0.00057509-0.00032518i,-0.0012151-0.00028574i,-0.00059706-0.00043916i,0.00030811-7.4243e-05i,0.00072094+0.00065059i,0.00067945+0.00043647i,0.00031254+0.00060604i,0.00019796+0.00022659i,0.00073641-0.00018415i,0.00077885+0.00060629i,1.4711e-05+0.00070973i,-7.9722e-05-1.7055e-05i,0.0007248-0.00031826i,0.0013938-0.0007285i
-0.00049676-0.0012904i,-0.00057681-0.001872i,-2.1708e-05-0.0018729i,8.6319e-05-0.0014121i,-0.00064272-0.00087721i,-0.001262-0.00069183i,-0.0012338-0.0013996i,-0.00092011-0.0017004i,-0.00010921-0.0013214i,7.0516e-05-0.00082011i,-0.00066381-0.00022833i,-0.0010815-4.9583e-05i,-0.0011075+0.0008776i,-0.0011062+0.0017572i,-0.00077196+0.0015539i,-0.00023236+0.0014111i,0.00033068+0.00088655i,0.00018415+0.00018485i,-0.00026323+9.4883e-05i,-0.00016903-0.00039241i,-0.00020678-0.0010294i,-0.00070925-0.0014057i,0.00012373-0.0011754i
0.00032025-0.0013746i,-0.00084355-0.0010334i,-0.0016536-2.2803e-05i,-0.0019074+0.0004659i,-0.0017049+0.00029208i,-0.0012827+0.0004456i,-0.00041804+0.00056605i,0.00064356-6.1392e-06i,0.00064221+0.00050055i,-9.2411e-05+0.00037315i,-0.00034606-0.00088074i,-0.00035945-0.00056169i,0.00023751+0.00085243i,0.00030461+0.0012833i,0.00078296+0.00070565i,0.0013321+0.00049975i,0.00020146-0.00016998i,-0.00032455-0.00073496i,0.00016261-0.00056834i,0.00063634-0.00055595i,0.00099898-0.00038027i,0.0009615+2.0832e-06i,6.1737e-05+0.00045663i
-0.0036974+5.785e-05i,-0.0018442+0.00024751i,-0.00017309+0.00074369i,-0.00048972+0.00063184i,-0.00096242+0.000312i,-0.00099682+0.0005044i,-0.0010845+0.0010335i,-0.00048506+0.00062942i,0.00026677+0.00011057i,0.00073493-6.6502e-05i,0.0004192-0.00039875i,0.00034766-0.00020126i,0.00023172+0.00032567i,-0.00015943+4.516e-05i,-7.1951e-05-0.00033815i,0.00056675+0.00013761i,0.00044056+0.00075171i,-0.00042142+0.00075332i,-0.00018646+0.00011611i,3.3535e-05+4.3258e-05i,-0.0001109+0.00055553i,-0.00064433+0.00012099i,-0.00086984-6.2205e-05i
-0.00131-0.0035724i,-0.0020038-0.0028781i,-0.0028305-0.0026235i,-0.0017973-0.0014176i,-0.00095679+0.00020289i,-0.0010222+0.00054186i,-0.0010644+0.0010521i,-0.00076263+0.00065041i,-0.00057949-0.00037863i,-0.00018937-0.00068477i,0.00035356-0.00062174i,0.00033083-0.00026167i,0.00025141+0.0006104i,0.00035217+0.0016293i,0.00016335+0.0010719i,0.00048341+0.00037175i,0.00077012+0.00041521i,-7.3379e-05+0.00011014i,-0.00046002-0.00033311i,-0.00031298-0.001092i,-0.00040004-0.0014482i,-3.4198e-05-0.00090451i,0.00032638+0.00016366i
-0.0019994-0.00093278i,-0.0014838+0.00015718i,-0.0019649+0.00064295i,-0.0020338+0.00087484i,-0.0012764+0.00030384i,-0.00043541-0.00079558i,0.00018842-0.00084155i,0.00078806-0.00047452i,-3.831e-05-0.0013398i,-8.8639e-05-0.0016681i,0.0004283-0.00065328i,0.00018392-0.00012703i,-0.00015599+0.00033454i,-0.00011908+0.00038896i,0.00033347-0.00039147i,6.8879e-05-0.00063631i,-0.00041335-0.00045116i,-0.00051571-0.00016159i,-0.0006415-2.0342e-05i,-0.00047508-0.00013601i,-0.00045669-3.2057e-05i,-0.00045045+0.00092303i,-0.00021249+0.0015761i
-0.00087707-0.0017755i,-0.0016306-0.0028489i,-0.0010174-0.0031703i,-0.00086506-0.0028136i,-0.0011648-0.0016291i,-0.0010045+0.00058084i,-0.00080387+0.0015161i,-4.8369e-05+0.00071322i,8.2578e-05-0.00030813i,-0.00038344-0.00045415i,8.5771e-05-0.00026703i,-0.00013437-3.5407e-05i,6.7354e-05+0.0003963i,6.1356e-05+0.00075204i,-0.00080123+0.00056773i,-0.00012239+7.6115e-05i,0.00076016-2.9692e-05i,0.00083418+0.00053431i,0.00094043+0.0009452i,0.00065268+0.00036845i,9.0368e-05-4.5199e-05i,-0.00061668-0.00021597i,-0.00072761-0.00063397i
-0.0013146-0.0017708i,-0.0010983-0.0022133i,-0.0018617-0.0017156i,-0.0016961-0.00060357i,-0.00020322+1.9309e-05i,0.00027804-0.00023771i,-0.00027079+0.00021992i,-0.00040994+0.00014229i,0.00014358-0.00043562i,0.00013327-0.00048768i,-0.00046885-0.0010159i,-0.00059587-0.00099718i,-0.00026489+0.00040792i,-0.00067059+0.00078076i,-0.0008746+0.00044997i,-4.1541e-05+4.3219e-05i,-1.9857e-06-0.00019733i,-0.00050123+0.00015833i,5.7811e-05+0.0008451i,6.0109e-05+0.00059142i,-0.00028053-0.00042854i,3.3105e-05-0.0010494i,0.00032568-0.00067257i
-0.00020636-0.0014479i,0.0005033-0.0020686i,-0.00035634-0.0024431i,-0.00092989-0.0011597i,-0.0012341+0.00026549i,-0.0020101+0.00083898i,-0.001292+0.0010838i,-0.00059444+0.001302i,-0.00081419+0.0010645i,-0.00034673+0.00022557i,-0.00012553-0.00029521i,-0.00058561-0.00021692i,7.6702e-05-0.00034881i,0.00071066+5.4986e-05i,0.00053397+0.00041805i,0.00082283-6.0597e-05i,0.00046246-0.0002783i,-0.00038478-0.00014202i,-0.00069631-0.00065478i,0.00027488-0.00035861i,0.0002562+0.00079657i,-0.00076377+0.00038828i,-0.001001+5.7308e-05i
-0.002289-0.0018894i,-0.0026386-0.0017401i,-0.0019529-0.0011975i,-0.00099469-0.00071592i,-0.00020784-0.00023102i,0.00034851-0.00074386i,0.00032545-0.00072245i,0.00035757-0.00029269i,0.00047118-0.00050433i,-9.4815e-05-0.0011036i,-0.00066001-0.0011068i,-0.00062015+0.00016984i,0.0001116+0.00048866i,0.00029044+0.0001148i,-0.00028022-0.00015145i,-0.001037+0.00038086i,-0.0014293+0.0010821i,-0.0012528+0.00052267i,-0.00081096-0.00032088i,-0.00052863-0.00011688i,0.00040188+0.0002392i,-8.2845e-06+0.00037354i,-0.00089967+0.00025642i
-0.0029572-0.00074385i,-0.0030287-0.00072743i,-0.0024195-0.0012717i,-0.0014791-0.0010569i,-0.00050852-0.00046904i,-0.00054509+0.00012747i,-0.00096697+0.00087474i,-0.00083705+0.00097816i,-0.00020233+6.2474e-05i,0.00036746-0.00027649i,0.00033788-0.00013783i,-5.8687e-05-0.00041744i,6.1365e-05-0.00031275i,0.00040915+0.00016128i,0.00034744+0.00034144i,0.0003038+0.00091679i,-3.8605e-05+0.001017i,-0.00042589+0.00068804i,-0.001042+0.00047842i,-0.0010409+0.00013867i,-0.00019509-7.3051e-05i,0.00028748+0.00065153i,-0.0004216+0.0014173i
-0.0021849-4.3686e-05i,-0.0024579-0.00037879i,-0.0028953-0.00067699i,-0.0014186-0.00077205i,4.5429e-05-0.0010175i,-0.00011254-0.0011109i,-0.0011518-0.00038397i,-0.0014132-0.00013118i,-0.00051575-0.00044709i,6.3678e-05-0.0005937i,0.00069528-0.00025449i,0.00014593-0.00075555i,-0.00072148-0.00090518i,-0.00038309-0.00054683i,8.0554e-05-0.00072444i,0.00043838-0.00050241i,0.00073954+0.00049265i,0.00097301+0.0004881i,0.00057796+8.9634e-06i,-0.00022459+0.00030582i,-0.0009532+0.0005206i,-0.00011197+0.00064716i,0.00060173+0.0006169i
-0.001264-0.0011724i,-0.00087054-0.00096178i,-0.0013477-0.00080229i,-0.0012425-2.6716e-05i,-0.0012212-0.00051907i,-0.0018204-0.0015533i,-0.00157-0.00075284i,-0.0007055+0.00046761i,-0.00028637+0.00043536i,-0.00058524+0.00014229i,-0.00046947-0.00013301i,-0.00029372-0.0011341i,-0.00063628-0.001439i,-0.00043009-0.00020121i,0.00035503+0.00076156i,-6.1918e-05+0.00060767i,-0.0011815+0.00027575i,-0.0013282+0.0001944i,-0.0010365+0.00046905i,-0.00059841+0.00024328i,-0.00057674-0.00081406i,-0.00037514-0.00054857i,-0.00033999+0.00026908i
-0.0013656-0.0030265i,-0.0018228-0.0029341i,-0.0015417-0.0023336i,-0.0012796-0.0013797i,-0.001349-0.0014156i,-0.001046-0.00072893i,-0.0002836-0.00056175i,0.00050728-0.00064081i,0.00033732-0.00077069i,-0.00024404-0.00084182i,-7.9866e-05-0.00023565i,0.00036846-0.00015873i,0.00049143+0.00085411i,0.0008409+0.0015501i,0.00081049+0.00076027i,0.00059403+0.00010805i,0.00057306-0.00047564i,0.00015181-0.00072157i,-0.00021232-0.00076581i,-0.00035708-0.00070365i,-0.00054584-0.00064076i,-0.00063471-0.00035673i,-3.0209e-05-0.00024112i
-0.00019877-0.0026421i,-0.0010002-0.002167i,-0.00066367-0.0011855i,-7.0851e-05-0.00085621i,-0.00032141-0.0013252i,-0.0012053-0.00087338i,-0.0012386+0.00027387i,-0.00038814+0.0003058i,-0.00037895-0.00013091i,-0.00041871-0.00053259i,-0.00036674-0.0011321i,-6.4199e-05-5.3112e-06i,0.00014572+0.0014763i,0.00023835+0.00069387i,0.00028627-0.00033446i,-0.00014192+0.00023516i,-0.001163-0.00029582i,-0.0010526-0.00037888i,-0.00082146+0.00044195i,-0.0009494+0.00038685i,-0.00045653-0.00011821i,-0.0004398+0.00013006i,-0.00083445+0.001378i
-0.00040527-0.0018871i,-0.0010211-0.0017528i,-0.0020513-0.0023373i,-0.0017179-0.0018377i,-0.00096231-0.00042135i,-0.00046114+0.00040629i,-0.00073386+0.00038461i,-0.00055515+2.2559e-06i,0.00014062-0.00011492i,-0.00039808-0.00033925i,-0.00046393-0.00013458i,0.00018367+0.00066118i,0.00025309+0.0013638i,0.00025827+0.0010798i,0.00021068+0.00049685i,0.00047425+0.00030789i,0.0007691+0.00018812i,0.00069193+0.00019967i,0.00054293+0.00072598i,0.00015106+0.0011259i,0.00026943+0.00079609i,-2.122e-05+0.00036214i,6.4254e-06+0.00019468i
-0.0019909-0.00058724i,-0.0021573-0.00034754i,-0.0029877+0.00050344i,-0.0017141+0.00067713i,-0.00043176+0.00082299i,-0.00097765+0.00021791i,-0.0012001-0.00055335i,-0.00043908-0.0010103i,-0.00019175-0.00057117i,-0.00021687-0.00047288i,0.00010571-0.0010642i,0.00053967-0.00062175i,0.00034492+0.00058126i,0.00012828+0.0006683i,0.00046787-0.00022247i,0.00027307+8.9046e-05i,-0.00022728+0.00076578i,-0.00012426+0.0005726i,-8.6493e-05+0.00039942i,-0.00092048+0.00044156i,-0.0011555-0.00039514i,-0.00047294-0.0010919i,-0.00064692-0.00067567i
0.00033393-0.00052567i,0.0011139-0.0014374i,0.0014203-0.0022062i,8.8375e-05-0.0018358i,-0.000918-0.0016846i,-0.0017369-0.00096496i,-0.0017938+0.00043527i,-0.00053108+8.6173e-05i,0.00028143-0.0006873i,0.0006408-0.00017325i,8.5937e-05-0.00020376i,-0.0007512-0.00067436i,-0.0012649-4.1137e-05i,-0.00077422+0.00026016i,-0.00041094+0.00019144i,-0.00025802+0.00036093i,1.6204e-05+0.00056779i,-0.00089274+0.00052465i,-0.0014012+0.00048945i,-0.00098041+0.00018541i,0.00020152-0.00026002i,0.00017504-0.00049935i,-0.00014854-0.0002789i
0.00036268+0.0011234i,0.00052532-0.0002322i,0.000287-0.0011113i,-0.00020463-0.0004553i,-7.7415e-05-6.0906e-05i,0.00018673-0.0005319i,-0.00029169-0.00038013i,-0.00025865-0.00056868i,0.0006942-0.00033309i,0.00012484-8.5471e-05i,-0.00051967-0.00046521i,-0.00054042-0.00030824i,-0.00066731+0.00054121i,-0.00085658+0.0017109i,-0.0010308+0.001163i,-0.00046866+0.00017117i,-6.7002e-05-0.00010267i,0.00025084-0.00047876i,0.0006488-0.00017839i,0.00022841+0.00094029i,-6.6472e-05+0.0012007i,-1.3652e-05+0.00066225i,-9.4403e-05-0.00015497i
-0.00056725-0.0026508i,-0.0013122-0.0027223i,-0.0016548-0.0031062i,-0.0020997-0.0019598i,-0.0024044-0.00048813i,-0.002165+0.00031591i,-0.001202+0.00098073i,-0.00010037+0.00054728i,0.00094736-0.00068921i,0.0012032-0.0014693i,0.00023509-0.00076189i,-0.00078683+0.00030211i,-0.0011701+0.00054515i,-0.00099261+0.00064681i,-0.00036867+0.00067588i,6.265e-06+0.0008472i,-7.5855e-05+0.0011662i,-0.00046645+0.00073128i,-0.00037767-0.00022603i,-7.9816e-06-0.00072991i,0.00050444-0.00088607i,0.00031544-0.00043872i,-0.00013691-0.00021976i
-0.0034106+0.00072737i,-0.0023829+0.00072318i,-0.00044885+0.0014579i,0.0011099+0.00058506i,0.0015098-0.00098199i,0.0013005-0.0019457i,0.0015676-0.0015978i,0.0003369-0.0013898i,-0.0009076-0.0014222i,-0.00060969-0.0002408i,-0.00030576+0.00093152i,-9.485e-05+0.00075022i,0.00054025-3.7764e-05i,0.00085615-0.00025511i,0.00050538-0.00098065i,0.00058729-0.00087976i,0.00018982+6.0531e-05i,4.8377e-05+3.8598e-05i,0.00013216+0.00019371i,-0.00016844+0.00078975i,4.8939e-05+0.0003261i,0.00037819+0.00013041i,-0.00027008+0.00059349i
-0.0020892-0.00046782i,-0.0033933-0.0010547i,-0.0037478-0.00070642i,-0.0020812-0.00013606i,-0.00082355+0.00039305i,-0.0014837+0.0008346i,-0.0015457+0.00072544i,-0.0010261-0.00011081i,-0.00041629-0.00055282i,-0.00023977+0.00013735i,-2.53e-05+0.00037218i,-3.5343e-05-0.00012588i,-0.0003846+9.1404e-05i,-0.00015479+0.00088043i,-2.2394e-05+0.0012051i,-4.2498e-05+0.00070589i,0.00034675+0.00036085i,2.0455e-05-6.9643e-05i,-0.00064458+0.00023608i,-0.0001244+0.00048511i,0.00065944+7.5312e-05i,0.0010661-0.00056613i,0.00072332-0.00089212i
-0.00011642-0.00022443i,-0.00080841-0.001215i,-0.00085152-0.001568i,-0.00091916-0.0017187i,-0.0012476-0.0020839i,-0.0011118-0.0017335i,-0.00072117-0.0014025i,-0.00040763-0.00041319i,-0.00075566-0.00012676i,-0.0012465-0.00077182i,-0.00063258-0.0013507i,0.00049419-0.0014716i,0.0005356-0.00056552i,-0.00028444-0.00010178i,-0.00056756-0.00029362i,0.00074525-0.00018179i,0.0012205-0.00043066i,0.00054832-0.00054637i,0.00021403-0.00089807i,-0.00028904-0.00086951i,-0.00020777-0.00037329i,0.00022115-0.00060561i,0.0004365-0.0014244i
-0.00044869-0.0012879i,-0.00053029-0.0023962i,-0.00054581-0.0020664i,-0.00019759-0.0009854i,-0.00060161-0.00034076i,-0.0011247-0.00045415i,-0.00092069-0.00043875i,-0.00016313-5.779e-05i,-0.00010236-0.00032611i,-0.0006089-0.00081525i,-0.0012495-0.00037579i,-0.0020989+1.2508e-05i,-0.0012904-0.00088586i,-0.00012819-0.001139i,-0.00026682-0.00052962i,-0.00040343+0.00011628i,-0.00074568+0.00027451i,-0.00032893-4.0683e-05i,0.00032312-7.1753e-05i,-0.00016029-0.00017108i,-0.00044022+4.2118e-05i,-0.00012797+0.00015997i,-0.00013225-0.00064524i
