0.0031826-0.0018902i,0.0028838-0.0025803i,0.00043709-0.0036102i,-0.0017222-0.0034471i,-0.0036024-0.0014398i,-0.0038897+0.00046189i,-0.0019848+0.00048952i,-0.00011043+0.00022612i,0.00071762-0.0002309i,0.00051862-0.00072081i,-0.00033093-0.0014554i,-0.00084375-0.0016845i,-0.00082444-0.00065744i,-0.00088798+0.00038293i,-0.0010788+0.00040294i,-0.00103+0.00098321i,-0.0010349+0.00098974i,-0.00041968+0.00012267i,-0.00028879-0.00061825i,-0.00054386-0.00024232i,-0.00017311+0.00010239i,-0.0001324-0.00044038i,-2.7778e-05-0.00084526i
-7.8208e-05+0.0019701i,-0.00045545+0.0015282i,-0.00036795+0.00085951i,7.0394e-05+0.00040215i,0.00015273+7.5338e-05i,0.00049845-0.00032403i,0.00050714-0.00012639i,0.00049612-3.0597e-06i,0.00055218-0.00020855i,0.00069407-0.0006094i,0.000377-0.00062829i,0.00037699-1.6681e-05i,0.00060062+0.00031464i,0.00067826+4.3401e-06i,0.0010537-0.00022782i,0.00062894-0.00023353i,0.00053377-0.0002801i,0.00078545-5.0389e-05i,0.00076748-2.6403e-05i,0.0013928-0.0010878i,0.0011338-0.0011319i,-0.00019145-0.00026328i,-0.00043618-0.00027145i
-0.00025486+0.0017829i,-0.00023319+0.00065265i,0.00049081+0.00070046i,0.00072464+0.0011305i,0.00013044+0.00043227i,-0.00046986-0.00016835i,0.00021342+0.00033331i,0.00047959+0.0005672i,-0.00034588+0.00037545i,-0.00037813+0.00011829i,0.00036406-0.00023808i,0.00056526-0.00038734i,0.00044365-0.00036307i,-0.00058845+0.00022392i,-0.00097391+0.00063376i,-0.0003297-0.00017795i,9.6818e-05-0.00043026i,8.1163e-05+0.0003387i,-0.00011746+0.00069021i,5.4156e-05+0.00073511i,-0.00015084+0.00017905i,-0.00034094-0.00036342i,-0.00060994-0.00042921i
0.00051408-0.001926i,7.7372e-05-0.0014651i,-0.00059267-0.00099078i,-0.0011812-0.00083103i,-0.0016215-0.00083154i,-0.001507-0.00044002i,-0.0012207+0.00010102i,-0.00034406+5.6442e-06i,0.00011329-0.00070759i,0.00024354-0.0011707i,0.00031993-0.001387i,-0.0002273-0.0012302i,-0.00024721-0.00099272i,-2.9934e-05-0.00053215i,-0.00059817+0.00031704i,-0.00078858+0.00031145i,-0.00068076-0.0008684i,-0.00054501-0.0011275i,-0.00019322-7.3282e-05i,-0.00067216+0.00037565i,-0.00058799+0.0001532i,3.3126e-05-0.00013979i,0.00050305-0.00021285i
-0.0012046+0.00015631i,-0.0020254+0.00019866i,-0.0026439+0.00021488i,-0.0023366+0.00099042i,-0.0014178+0.0015194i,-0.00079224+0.00081604i,-0.0008022+0.00015399i,-0.00091-3.1201e-05i,-0.00021625+0.00025219i,0.00062724+0.00066086i,0.00092097+0.00010563i,-3.8219e-05-0.00055144i,-0.00083291-0.00047809i,-0.000237-0.00036017i,-0.00026583-0.00045757i,-0.00027247+3.1706e-05i,0.00072075+4.1034e-05i,0.0011862+8.1561e-05i,0.0005675+9.5158e-05i,7.3135e-05-0.00040275i,-0.00031612-0.00022791i,-0.00038878+0.0004372i,1.2139e-05+0.00078476i
-0.0014468-0.00012861i,-0.0011776+0.00027066i,-0.00098925+0.00085125i,-0.0011428+0.0010119i,-0.00075465+8.934e-05i,-0.00042358-0.00013627i,0.00010313+0.00064939i,0.00056884+0.00060659i,0.00070948+4.8585e-05i,0.0011518-8.473e-05i,0.00066381-0.00023744i,5.8129e-05-0.00030669i,0.00031905+0.00049954i,0.00016871+0.00089208i,-0.00010339+0.00035924i,0.00013705-0.0001672i,0.0003917-0.00042794i,0.00019954-0.0012245i,8.8211e-05-0.00054023i,-7.5587e-05+0.00064277i,-8.7992e-05+0.00097839i,0.00041544+0.00047294i,0.00025226+8.7947e-05i
-0.00041883-0.0011553i,-0.001192-0.00025064i,-0.0011828-0.00035742i,-0.001948-0.0010818i,-0.0015981-0.00080017i,-0.00081982+0.00043045i,-4.1946e-05+0.0010826i,6.9633e-05+0.00073144i,-0.00089609+0.00022188i,-0.00024184+0.00029179i,0.0007547+0.00065915i,0.00036788+0.00081439i,0.00041331+0.00038441i,0.00076815-9.3907e-05i,0.00056133+2.6145e-05i,0.00030382+0.0001277i,0.00011167+0.0004802i,3.8199e-05+0.00030674i,3.7192e-05-0.00018392i,-8.253e-06-2.3417e-05i,-5.386e-05-4.1515e-05i,-0.0002086+0.00047028i,-0.00046934+0.00057422i
0.0012881-0.002341i,0.00054827-0.0025319i,-0.0009302-0.0019748i,-0.0018705-0.00061999i,-0.0015069+0.00050197i,-0.00073789+0.00058727i,-0.00091311+0.00072414i,-0.00061769+0.00048627i,0.00058334-0.00042923i,0.0010959-0.00022809i,-0.00042444+0.00039666i,-0.0010771+0.00015359i,-0.00035936+0.00032223i,-0.00058311+0.00030304i,-0.00041494-0.00017323i,0.00016477-0.00040171i,2.5154e-05-0.00037866i,-0.00029126+0.00031091i,-0.0003339+0.00062645i,-0.000318-0.00016148i,0.00011692-0.0004782i,0.0001539-0.00038397i,-0.00021058-0.00057096i
0.00017059-0.0003639i,-0.00022408-0.00054534i,-0.00037627-0.0013448i,0.00013878+0.00013352i,-0.00015392+0.0012365i,-0.0006618+0.00033272i,-0.00039622-7.5555e-05i,-0.00050862-0.00023671i,-0.0003485-0.00068032i,0.0002725-0.00041129i,-0.00018135+0.00044006i,-0.00071783+0.00014749i,-0.00014574-0.00013546i,0.00034249-0.00054384i,0.00056221-0.00098537i,0.00074895-0.00012204i,0.00047566+0.00067449i,-0.00016309+0.0004142i,-0.00066912+0.00013298i,-0.00092766+0.00019859i,-0.00030253+0.00012961i,0.00049014+0.0003294i,0.00016718+0.00042659i
-0.00067883-0.00023488i,-0.00096645+0.00064372i,-0.0022554+0.00082086i,-0.0014371+0.00080683i,0.00013422+0.0010307i,-4.6009e-05+0.00091008i,-0.00054825+0.0013522i,-0.00026808+0.0010941i,5.1417e-05-0.00012002i,-0.00025233+0.00017223i,-0.00061131+0.00091971i,-0.00058608+0.0009748i,-0.00047113+0.0003537i,-0.00041591-0.00010314i,-3.6675e-05-0.00026868i,-4.3393e-05+0.00012981i,-0.00084146+0.00047724i,-0.0015238-0.00029878i,-0.0014691-0.00051609i,-0.00055278-0.00013712i,-1.9121e-05-0.00046798i,0.00017611-0.00024492i,0.00010493+9.8379e-05i
-0.0032815+0.0005168i,-0.0024379+0.00020094i,-0.0017336+0.00047666i,-0.0010499+0.0013863i,0.0001828+0.0016202i,0.00070519+0.0008723i,0.000157+0.00023896i,-0.00019525-0.00032267i,-0.00042857+0.00049959i,-0.00036331+0.0010392i,0.00038446+0.00080849i,0.0014201+0.00079839i,0.0011266+0.00057464i,0.0010256-6.2459e-05i,0.0016969-0.00011097i,0.0012312+7.1801e-05i,0.00040382-7.9268e-05i,-0.00051331-0.00037291i,-0.00049216-0.00054422i,0.00022907+0.0004681i,9.6676e-05+0.0011804i,-0.00049591+0.00052827i,-0.00015562-0.00023955i
-0.0011443-0.0033496i,-0.0014089-0.0021352i,-0.0021257-0.00086527i,-0.0025886+0.00064677i,-0.0024002+0.00069136i,-0.0011371+0.00047135i,0.0001339+0.00051565i,0.00081555-0.0002357i,0.00069856-0.0003084i,-0.00021272+2.24e-05i,-0.00013318+0.00054844i,0.00058791+0.00086174i,0.00018202+0.00075024i,-0.00043528-8.2636e-06i,-0.0002206+4.9848e-05i,-0.00011066+0.0010378i,-0.00016217+0.00084794i,-0.00018382+0.00011042i,-0.00050861-8.7102e-05i,-0.00073082+0.00024359i,-0.00034936+0.00058184i,-0.00038525+0.00072985i,-0.00021712+0.00035265i
0.00015695-0.0035978i,-0.0017273-0.0032466i,-0.0023661-0.0020535i,-0.0023827-0.00054886i,-0.0020015+0.00020368i,-0.00080654-0.00034058i,-0.00014087-0.00068403i,-0.0009547-0.00015024i,-0.00085775-0.00017604i,-0.00010858-0.00094484i,0.00011382-0.0013647i,-0.00027691-0.00075618i,-0.00092504+8.6828e-05i,-0.00058463-0.00024616i,-0.00036603-0.00057055i,-2.3555e-05+0.00025489i,1.5567e-05+0.0004658i,-0.00030775+0.0006511i,0.00035+0.00099835i,0.00042125+7.4162e-05i,0.00034827-0.0004875i,0.00054958+0.00032168i,-0.00020121+0.00082757i
0.00090101+0.00021891i,0.00089983-0.00044462i,0.00020748-0.00076926i,-0.00056081+0.00019719i,-0.00085048+0.0011983i,-0.00082262+0.00071072i,-0.00035307-0.00045421i,-0.00046662-0.00063344i,-0.0012376+2.237e-05i,-0.00066454+0.00021168i,7.8347e-05+1.3162e-05i,-0.00045185+0.00010188i,-0.0011347-0.00015517i,-0.0007171-0.00065353i,-0.00063168-0.00017821i,-0.0012013+0.0004136i,-0.0015339+0.00021093i,-0.00077937-0.00012607i,0.00043105-0.00052098i,0.00049815-0.00095309i,-0.00021855-0.0012776i,-0.00054578-0.00076606i,-0.00034477+0.00039513i
-9.3059e-05+0.00010275i,4.1804e-05-0.000367i,-0.00083779-0.0012138i,-0.00097419-0.00071482i,-0.0006017-3.8906e-05i,-0.00056587+6.0439e-05i,-0.00084141+6.7725e-05i,-0.00067141-6.5034e-05i,-0.00054995-0.00024237i,-0.00082742-0.00068251i,-6.8802e-05-0.00076419i,0.00065779-0.00053639i,4.1228e-05-4.4046e-06i,-0.00061902+0.00010271i,-0.00017995+0.00010781i,0.00027468+0.00035749i,0.00029074+9.6584e-05i,-0.00013062+5.7166e-05i,-0.00061573-0.0004752i,-0.00015544-0.00035285i,8.9569e-05+0.0004134i,-1.257e-05+0.00050699i,0.00021077+0.00057362i
-5.5222e-05-0.00042017i,-0.0012939+0.001073i,-0.0021785+0.0011038i,-0.00202+0.00079084i,-0.0013277+0.00049912i,-0.00030546+0.00069184i,0.00039144+0.00027617i,0.0004255-0.00014675i,0.00023794+0.00010152i,-0.00048791+0.001025i,-3.3881e-05+0.00080888i,0.00038143+0.00079546i,0.00019314+0.00055208i,0.00010854-0.00045648i,-4.6183e-05-0.00046784i,0.00026526+0.00029857i,0.00062593+0.0010038i,0.00051422+0.0004792i,0.00051735-0.00063341i,0.00076524-0.00078273i,0.000646-3.1161e-05i,-0.00023044+0.00062677i,0.00012494+0.00077982i
-0.0014144+0.00020922i,-0.0017584+0.00032839i,-0.0017663-0.00015086i,-0.00084993-0.00026403i,-0.00081898+0.00017598i,-0.0017744-0.00026976i,-0.0019106-0.00026461i,-0.001163+0.00065015i,-0.00054307+0.00091823i,-4.424e-05+0.00048558i,0.00033241-0.00011144i,0.00030395-0.00053265i,0.00017466-0.00024161i,-0.00033904+0.00024789i,-0.00047248+0.00016486i,-0.0001422+5.1664e-05i,-3.4928e-05-0.00031195i,-0.00048426-9.7354e-05i,-0.00082214-0.00020578i,4.5628e-05-0.00065562i,0.0010509+0.00010303i,0.0013514+0.0013117i,0.000946+0.0015516i
0.0005919-0.00061965i,0.00025197-0.00041125i,-0.00042677+4.7456e-05i,-0.0003689-8.9903e-05i,-0.00081295+0.0002014i,-0.0015215+0.00068255i,-0.00099676+0.00026657i,-0.00049436-0.0001577i,-0.00088145+0.0008577i,-0.0005489+0.0014115i,8.2663e-05+0.00014108i,0.00070954-0.00047638i,0.00067746-0.00011277i,0.00052773+0.00017772i,0.00074372+0.00044506i,0.00058662-0.00017299i,-0.0003306-0.00088429i,-0.00083273-0.00053103i,-0.00031616-0.00052132i,0.00020892+3.3252e-06i,0.00075221+0.00083355i,0.00067845+0.00068335i,0.00051386-0.00029748i
0.00055006-0.0008704i,-0.00041348-0.00078232i,-0.0018418+0.0001845i,-0.0022075+0.00019981i,-0.00137-0.00041071i,-0.00045594+6.4501e-05i,-0.00048608+0.0001817i,-0.00045919-0.00016541i,0.00019762+0.00026368i,0.00077425+0.00017393i,0.00070358-0.00047928i,-0.0001075-0.0011055i,6.7485e-05-0.00092372i,0.00065272-0.00016108i,0.00070697+0.00099914i,0.00079157+0.00081276i,-0.00020325+1.1126e-05i,-0.00028487+8.0487e-05i,0.00040593+0.00062881i,0.00028774+0.0007941i,0.0001048+0.00050751i,0.00019875+0.00029267i,-0.0005016+0.00012793i
-0.00043587+0.00097464i,-0.00081824-0.00031945i,-0.00082125+1.4844e-05i,0.00025261+0.00030742i,0.00042294-0.00011776i,-0.0004176-0.00019996i,-0.00020383+4.4534e-05i,7.7366e-05-0.00036076i,2.1142e-05-0.00045244i,0.00052297+0.00019425i,0.0012223+0.00098997i,0.00060919+0.0014034i,-0.00034807+0.00083699i,-0.00014598+0.00028245i,0.00044129+0.00022231i,0.00030687-0.00045378i,-6.0309e-05-0.0010689i,0.0001006-0.00075213i,8.7024e-05-0.0010328i,-0.00013775-0.0008407i,0.00012847+0.00028758i,0.0007594+0.0009124i,-4.4709e-05+0.00011542i
0.00089458+0.00074216i,-0.00036958+0.00075327i,-0.0012655+0.00056978i,-0.0013054+0.00021795i,-0.00093805+2.2496e-05i,-0.00038743+7.2111e-06i,-0.0005031-0.00018749i,-0.00084186-0.00032751i,-0.00056904-1.1614e-06i,-0.00076918+0.00032546i,-0.00069412-0.00020489i,0.0001819-0.00024449i,0.00062426-5.2853e-05i,0.00030135+0.00034895i,4.4411e-05+0.00098259i,0.00012139+0.00068994i,4.6661e-05+0.00095699i,-0.000764+0.0013578i,-0.0012874+0.00084973i,-0.00067101-0.00026005i,-0.00052947-0.00023601i,-0.00059706+0.00058434i,-0.00087078+0.00056425i
-0.0021885-0.0019495i,-0.0016397-0.0006309i,-0.00087898+0.0011529i,-0.00033477+0.0016598i,0.0003127+0.0010659i,0.00023852+0.00054493i,-0.00036158+0.00025234i,-0.00044224+0.00036902i,0.00025116+0.0006939i,0.00028254+0.00043858i,0.00032647+6.3781e-05i,0.00095346+9.4425e-05i,0.0010509+0.00018232i,0.00019487-0.0005415i,-0.0002543-0.0010265i,0.00046722-0.00038237i,0.0011156+0.00014813i,0.00055246-0.00018161i,0.00021305-0.00018806i,0.00038239-0.00025589i,0.00048636-0.00043585i,0.0009253-4.8351e-05i,0.0008758-0.00040551i
0.0002593+0.00059706i,0.00013187+0.00068423i,4.7897e-05+0.0014544i,-2.319e-05+0.0013892i,0.0002671-4.5302e-05i,0.00021684-0.00028806i,-0.00094516+0.0005381i,-0.00026174-0.00018326i,0.00043847-0.0012546i,0.00084966-0.001449i,0.0014964-0.00084448i,0.0012531-0.00010776i,0.00053157-0.00016756i,0.00028412-0.00065021i,0.00031483-0.00050723i,-0.0006439-0.00080409i,-0.0010273-0.0011802i,-0.0008032-0.00098814i,-0.00041662-0.00054698i,-0.00025021+0.0001144i,-0.00028223+0.00024693i,-0.00074182-5.8863e-05i,-0.00071393-5.4334e-05i
-0.0013457+0.0012945i,-0.00095053+0.0013951i,-0.0014859+0.00096714i,-0.0012219+0.00037222i,-0.00024279-2.3848e-05i,-0.00065587+0.00015574i,-0.00039101+0.00029956i,0.00028751+0.00044243i,0.00014305+0.00049776i,0.00017708+0.00018928i,0.0004816-0.00026447i,0.00019248-0.00035278i,-0.00013627-0.00045124i,-0.00018601-0.0011709i,-0.00021793-0.00097541i,-0.00013972-0.00018946i,-5.0029e-05-8.443e-05i,-0.00036456+6.1722e-06i,-0.0002829+0.00054876i,-6.9975e-05+0.0011725i,-0.0004866+0.0011545i,4.9481e-05+0.00039279i,0.00092296-0.00014164i
0.00077398-0.00040121i,0.00019325-0.00047035i,-0.00043958-0.00050917i,-0.00050711-0.00073406i,-0.00055824-0.00066265i,-0.0006373-0.00055613i,-0.0010898-0.00057364i,-0.00084012-0.00061603i,7.147e-05-3.7678e-05i,0.00059422+0.00045611i,-0.00011197+0.00021995i,-0.00023708-0.0004272i,-1.0763e-05-0.00046332i,0.0001372-8.561e-05i,0.00052502+4.1858e-06i,3.2347e-05-0.00022565i,0.00050297-0.000765i,0.00068097-0.00076777i,-0.00030652-0.00030548i,-0.00060085+0.0001416i,-0.00096726+0.00031363i,-0.0015219+0.00050975i,-0.0014487+0.000815i
0.00011362-0.0017433i,-0.0011004-0.0019954i,-0.0016622-0.00061584i,-0.0015546+0.00063664i,-0.0013689+0.0018778i,-0.00082362+0.0019548i,-0.0002907+0.00059736i,0.00036128-0.00026835i,0.0003879-3.2896e-05i,-0.00012504+0.00054759i,-0.00043418+0.00013511i,-0.0002255-0.00042294i,-0.0010895-0.0010715i,-0.0010622-0.0016076i,-0.00062579-0.0016713i,-0.00013183-0.0013919i,0.00064626-0.00021361i,0.00060039+5.6272e-05i,0.00016802+0.00021801i,0.00063267+0.0012352i,0.0010389+0.0011126i,0.00055238+0.00063392i,-0.00036741+0.00032958i
0.0017987+0.0002115i,0.0012826+0.00031807i,9.2635e-09+0.00042546i,-0.00063653+0.00015587i,-0.00061391-0.00042097i,-0.00073308+0.00015359i,-0.00088248+0.0012877i,-0.00084913+0.00086673i,-0.0001956+0.00093851i,4.9868e-05+0.0011696i,0.00015042+0.00017456i,0.00030591-0.00028454i,9.0651e-05-0.00010619i,8.2504e-05+0.00046277i,-0.00018605+0.0004221i,0.00022019+0.00016649i,-0.00015813-6.6297e-05i,-0.00065958+0.00039579i,-8.7938e-05+0.00098698i,0.00026255+0.001193i,0.00013537+0.00064855i,-0.00067544-0.00064499i,-0.00080515-0.00063695i
0.00082399+0.00020585i,9.4733e-05+0.00013466i,-0.00041232-0.00050388i,-0.000457-0.0012533i,-0.0010886-0.00078838i,-0.0011752+0.00025215i,-0.00093861+0.00068092i,-0.00063391+0.00098765i,-6.5819e-05+0.0010928i,-0.00058913+0.00082013i,-0.00083803+0.00047512i,-2.3104e-05-0.00059439i,0.00092061-0.0014438i,0.00091428-0.0011373i,0.0003374-3.0647e-05i,0.001235+0.00025351i,0.0011129-0.0004722i,0.00015847-0.0008101i,0.00024013-1.3173e-05i,0.00054632+0.00047998i,0.00034132+0.0004417i,0.00063712+0.00031064i,0.00082106-0.00029503i
-0.0014648-0.0018031i,-0.0012979-0.0013143i,-0.0013598-0.00039309i,-0.0021515+0.00042644i,-0.0020302+0.00081952i,-0.0013223+0.0010212i,-0.0005141+0.0007141i,3.8779e-05+0.00047735i,-0.00024717+0.0008483i,-0.00063761+0.0012974i,-0.00039641+0.0012099i,-0.00027363+0.00045816i,-0.00082102-0.00010146i,-0.00071088-0.00062198i,-0.00072013-0.0010074i,-0.00066946-0.0009117i,0.00033244-0.00083821i,0.0010998-0.00090808i,0.00062829-0.00053994i,0.00018539+3.0603e-05i,0.00083787-0.0003738i,0.0012517-0.0008746i,0.00065675-0.00042084i
-0.0015896-0.001171i,-0.0018468-0.00040565i,-0.0017698-0.0002852i,-0.0010441-0.00062493i,-0.00070986+0.00075345i,-0.00091884+0.0017805i,-0.00066859+0.00097922i,-0.00046787+3.8342e-05i,0.00028815-0.00046133i,0.00084076-0.00031899i,0.00022526-9.395e-05i,3.4138e-05+0.00034541i,-7.7764e-05+0.00052577i,-0.00027762-0.0004046i,-0.00051262-0.00059763i,-0.00032003+0.00010134i,0.00019602-0.00025566i,-0.00035333-0.00046213i,-0.00032018-0.00011107i,0.00016747+0.00011168i,6.5501e-07+0.00049893i,-2.4718e-05+0.000264i,-0.00021945-0.00045795i
0.00036076+0.0011919i,-0.00037794-0.00030843i,0.00019226-0.00065714i,0.00072287-0.00026337i,0.00034968-0.00022757i,-0.00041697-7.5927e-05i,-0.00049255-0.00012293i,0.00026671-9.4905e-05i,0.0007752-0.00069989i,0.00067397-0.0010859i,0.00035288-0.00056278i,0.00047941-1.0536e-05i,0.00081799-0.00015594i,0.00049359-0.0008961i,0.00011923-0.00088911i,-0.00024953+0.00011757i,-0.00055071+0.00042839i,-0.00065596+0.00036773i,-0.00077942+0.00033079i,-9.8429e-05-4.3589e-05i,0.00071937-2.3061e-05i,0.00088502+0.00031746i,0.00015322+0.00074252i
0.0021304+0.00067922i,0.001134+0.00049678i,0.00010379-0.00011522i,-0.00024584-0.0012431i,-0.00065385-0.0010163i,-0.0013886-7.3832e-05i,-0.0012196+0.00022295i,-0.00091433+0.00042829i,-0.00072479-0.00030107i,0.00038962-0.00052915i,0.00095287+0.00012811i,-0.00017679-0.00019811i,-0.00090307-0.00072126i,-0.0004832-0.00039756i,-0.00084433-0.00022719i,-0.0010279+1.8762e-05i,-0.00083181-8.1642e-05i,-0.001463-0.00017088i,-0.0016255-0.0002449i,-0.00091334-0.00065282i,5.1373e-05-0.00052633i,0.00016554-0.00032015i,-0.0004141+0.0004923i
