-0.00076183-3.2198e-05i,-0.00041477+0.00060755i,-0.0009047+0.00025761i,-0.0022416-0.00012329i,-0.0020848+0.00044653i,-0.0014906+0.0010525i,-0.0007313+0.0013693i,-0.00024228+0.00063923i,0.00015344+1.5662e-05i,0.00058086+0.00032045i,-6.5515e-05+0.00051051i,-0.00037265+0.00061854i,-0.00017769+0.0005472i,-0.00010919-0.00015398i,0.00033992-0.00081086i,0.00019332-0.00068498i,-0.0004367+0.00017716i,-0.00075533-4.0019e-06i,-0.00072009-6.7604e-05i,-0.00051397+0.00025495i,-0.0002435+0.0003149i,-0.00010964-7.6088e-05i,0.00020435-0.00038379i
-0.00048515+0.0003896i,-0.00052656+0.00033527i,-4.9263e-05+0.00050916i,-4.9338e-05+2.6128e-05i,-0.00045916-0.00065303i,-0.00074217-0.00069521i,-0.00067863-0.00045515i,-0.00020408-0.00088724i,0.0005863-0.0014242i,0.00071794-0.0014551i,0.00024849-0.0011749i,-0.00046458-3.8572e-05i,-0.00029733+0.00079414i,0.00040007+0.00027128i,0.0010059-0.00015632i,0.001104+0.00029557i,0.00026232+0.00083604i,-0.00011498+0.00065619i,0.00021935+0.00028953i,0.00064368+5.5768e-05i,-1.1412e-07-3.4468e-06i,-0.0012009-0.00046385i,-0.00067606-0.00037452i
0.0010698+0.001425i,0.00010753+0.0017191i,-0.00034761+0.0011581i,0.00033203+0.00023796i,0.00024497-0.00028726i,-0.00092729-0.00049418i,-0.000868-0.0010485i,8.5512e-05-0.0014966i,0.00034782-0.0013631i,2.5762e-05-0.0017107i,-0.00044926-0.001429i,-0.00045205-0.00060572i,-0.00049129+0.00013964i,-0.00020236+0.0001841i,0.00012565+0.00024324i,0.00022857+0.00026468i,9.8915e-05+0.00031885i,-0.00041019+0.00096609i,-0.00037382+0.0009608i,0.00025186+0.00013807i,0.00065991-0.00088174i,0.00051049-0.00095503i,0.00040152-0.00081786i
-0.00015297+0.00079632i,-0.0012876-0.00079351i,-0.0016032-0.00060596i,-0.0011598+0.0010181i,-0.0005144+0.0007564i,-0.00016924-0.00041181i,-7.3209e-06-0.0006701i,9.7077e-05-0.00083428i,0.00031371-0.0012469i,0.00046323-0.0016166i,0.00033338-0.00052742i,0.00036659+0.00063972i,-1.0939e-05+0.00031749i,-0.00039905-0.00013153i,-0.00020223+0.00037144i,-0.00019007+0.00049717i,-0.00023072-0.00013283i,-0.00065937-0.00046934i,-0.0004451-0.0011545i,7.4792e-05-0.0010143i,0.00062624-0.0002492i,0.00040576-0.00011173i,0.00024645+0.00023551i
0.00039303-0.00077148i,0.00025675-0.0013969i,0.00056033-0.0012506i,0.00027556-0.00026358i,0.00044056+6.2574e-05i,0.00046672-0.00045644i,0.00050954-0.00030127i,0.00090885-0.00033034i,0.000755-0.0012819i,0.00032205-0.0015046i,-0.00027033-0.00096385i,-0.00035854-0.0003465i,-0.0001081-0.00016059i,-0.00035802-0.00019178i,-0.00056321-0.00064369i,1.5102e-05-0.00057345i,0.00068462-0.00032135i,4.1728e-05-0.00048334i,-0.00055758-0.00038755i,-0.0005071-0.00022576i,-0.0010313-8.9405e-05i,-0.0010677+0.00055007i,-0.00054005+0.00038104i
-0.00061044+0.00011265i,-0.00097628+0.00049127i,-0.0016277+0.00068799i,-0.0019479+0.00069905i,-0.0013709+0.00018226i,-0.00058054-0.00052289i,0.00010066-0.0011372i,0.00041579-0.0014345i,0.00028505-0.0010339i,-0.0005476-0.00089988i,-0.00090588-0.001i,-0.00065836-1.6985e-05i,-0.00047123+0.00067569i,4.2674e-05+0.00062997i,0.00055542+0.0011516i,0.00053563+0.0015027i,0.00012674+0.0010523i,0.00053049-1.3358e-05i,0.00060564-0.00013809i,-0.00021323-0.0003292i,-0.00031713-0.00040611i,-0.00015019-0.00018068i,-0.00094135-0.00078817i
-0.00065775+0.00030666i,-0.0013903+2.5837e-05i,-0.0020389-0.00065963i,-0.0017592-0.00035488i,-0.0009982-0.00012693i,-0.00078494-6.9936e-05i,-0.00066023-0.00075307i,-0.00040416-0.0018513i,-0.00049646-0.0017133i,-6.8015e-06-0.00092838i,0.00059176+8.2387e-05i,0.00051559+0.00064661i,0.00029871+0.0005878i,0.00041776+0.0005538i,5.051e-05+0.00019318i,8.424e-05+0.00017609i,0.00082108+0.00092603i,0.00045139+0.00094573i,-0.00012677+0.00067291i,-0.00060719+0.00057794i,-0.0010138+0.00014011i,-0.00055134+0.00013139i,-0.00038618+0.00021693i
0.0011493+0.00077382i,0.00084254-0.00036504i,0.0005187-0.0011812i,-1.3988e-05-0.0011987i,-0.0014055-0.0015796i,-0.0020205-0.0016499i,-0.001449-0.0011712i,-0.0009707-0.00063789i,-0.00055879-0.00050253i,-5.6017e-05+2.9038e-05i,0.00028313+0.00010848i,-0.00018326-0.00033864i,-0.00011025-0.00062029i,0.000376-0.00047927i,0.00021317-0.00017504i,0.00060464-0.0004763i,0.00093963-0.00031411i,0.00043111+5.9771e-05i,-0.00027359+0.00011646i,-0.00066443+4.1871e-05i,-0.00021181+0.00022715i,-0.00029983+0.00019718i,-0.00013905+8.404e-05i
-0.00090918+0.00081475i,-0.00059998+0.00030452i,-0.001465+0.00036825i,-0.0012054+0.0012473i,-0.00012059+0.0016601i,0.00049209+0.0012611i,0.00030775+0.00054558i,0.00010175-0.00047559i,0.00010194-0.00077746i,0.00038714-0.00045211i,0.00052465-9.4924e-05i,0.00049482+0.00021905i,0.0002248+0.00035363i,-0.00027553+4.9521e-05i,-0.00066309-0.00028775i,-0.00028228-0.00061174i,0.0002244-0.00058281i,0.00014364-0.0011734i,-0.00040493-0.0018184i,-0.00088875-0.0013166i,-0.00064744-0.00077595i,-0.00020275-0.0004292i,-0.00010604-0.00048649i
-0.0008021-0.0015888i,-0.001021-0.00072069i,-0.0016104-0.00053767i,-0.0015319-5.896e-05i,-0.0013759+0.0010693i,-0.00086136+0.0014505i,-0.00044625+0.0012342i,-0.00094876+0.00059247i,-0.0017015-0.00030358i,-0.0012798-0.00050985i,-0.0001097-0.00041446i,8.1722e-05-0.00018357i,0.00022126+4.5943e-05i,0.00013224+0.00024432i,-4.5409e-05+3.881e-05i,-0.00032299-0.00029815i,-9.7361e-05+0.00048123i,0.00025008+0.0010247i,0.00048077+0.0002053i,0.0010328-4.1802e-05i,0.00042904+0.00099835i,2.6178e-05+0.0010233i,0.00071302+0.00032483i
0.001087-0.00069683i,0.00070217-0.00041066i,-0.00010945-0.0013385i,-0.001373-0.0018731i,-0.0013506-0.001712i,-0.00081134-0.0011509i,-0.0008607-0.00062129i,-0.00087005-0.0006411i,-0.00083439-0.00080026i,-0.0004143-0.0016437i,-0.00018422-0.0013375i,2.458e-06+3.6383e-05i,0.00017795+0.00076941i,2.6914e-05+0.00063224i,0.00017938-0.00034238i,0.00046516-0.00047424i,-0.00016753+0.00069824i,-0.00040708+0.00096333i,0.00060195+0.00020079i,0.0012423-7.2595e-05i,0.0012797+0.00027166i,0.00095884-0.00014674i,0.000618-0.00056593i
-0.0010561+0.0007109i,-3.784e-05+0.0008503i,-0.00030664+0.00058937i,-0.00085161+0.00026053i,-4.211e-05+0.00039952i,0.0010121+0.00036727i,0.00082349+0.00066744i,0.00032891+0.00029268i,-0.00015523+0.00015941i,-0.00036676+0.00018505i,3.4842e-06+6.27e-05i,-0.00040993+0.00019912i,-0.00098113-9.6843e-05i,-0.00027767-0.00071913i,0.00049401-2.1677e-05i,0.00033433+0.0002412i,0.00036132+0.00037598i,0.0005508+0.0002568i,0.0009628-0.00031588i,0.00054623+0.00043831i,7.7145e-05+0.0017576i,0.00053263+0.0022557i,0.00076829+0.0014542i
-2.8253e-05-0.0011793i,-0.0014534-0.00027755i,-0.002246+4.1793e-05i,-0.0020975+0.00010961i,-0.00084605-0.00019655i,5.4886e-05-0.0001465i,8.0821e-05-0.00017576i,-0.00039781-0.00066277i,-0.0009157-0.001192i,-0.00068435-0.0014153i,-0.00026811-0.0012061i,9.0285e-05-0.00022123i,2.6872e-05+0.00024823i,-0.00021577+0.00024657i,-0.0001463+5.6298e-05i,0.00019095-9.6486e-05i,0.00022313-0.00027358i,0.00013514+0.00024688i,0.00080158+0.00019413i,0.00088717-6.6227e-05i,0.00010535-0.00021197i,0.00010279+0.00040123i,0.00032573+0.0010292i
-0.00061652-0.00030163i,-0.00036666-0.00064464i,0.00051647-0.0012264i,0.0012034-0.0019397i,0.0011347-0.0012644i,0.0010643+0.00036966i,9.4936e-05+0.00084959i,-0.00047594+0.00019494i,0.00023035+2.0124e-05i,0.00014247-0.00030153i,-0.00020479-0.00093605i,0.00051237-0.00068337i,0.00080442+0.00011984i,0.00024338+0.0005949i,-0.0001945+0.00052337i,3.4263e-05+0.00064596i,0.00016847+8.1462e-05i,0.00024882-0.00021887i,-8.7477e-05+0.00012925i,-0.00090189-3.3888e-05i,-0.00096651-0.00049406i,-0.00064507-8.8087e-05i,-0.00079776-9.2465e-05i
-0.0012885+0.00029418i,-0.00049397-6.224e-05i,-0.00032772+0.00045256i,-0.00090776+0.0014196i,-0.00097497+0.0016116i,-0.00012024+0.00082003i,0.00061163+0.0005586i,0.00096938+3.5361e-05i,0.0013701-0.00065304i,0.0012609-0.00031998i,-4.9468e-05+0.00027774i,-0.00079077+0.0010142i,-0.0004736+0.0013358i,5.2082e-05+0.0010971i,8.3451e-05+0.00089906i,-0.00026021+0.00020855i,0.00059265-0.00062228i,0.0013105+0.00019185i,0.00091584+0.00077627i,0.0010861+6.3337e-05i,0.001176-0.00028836i,0.00073569-0.00011192i,0.00080429-9.5177e-05i
0.00011558-0.00061595i,-0.00054641+7.0498e-06i,-0.0014016+0.00049651i,-0.0013229+0.0002719i,-0.001328+0.0001346i,-0.0011311+0.00050233i,-0.00014756+0.00019351i,0.00039021-0.00053846i,0.00074695-0.0011824i,0.00029462-0.00097871i,-0.00034533-0.00035335i,0.00014019+0.00048659i,0.00051777+0.0011671i,-0.00015935+0.00049901i,-0.00081797-0.00065221i,-4.9953e-05-0.00069404i,0.00032294-0.00036972i,-0.0003715+1.1421e-05i,-0.00045402+0.00029364i,-0.00051614+0.00043776i,-0.0006509+0.00063536i,-0.0010004+0.00042871i,-0.00056883+6.3825e-07i
0.0010292+0.00057874i,-0.00032984-0.00050873i,-0.00081657-0.0015306i,-0.00096997-0.0012304i,-0.00050092-0.00098464i,-0.00052063-0.00019642i,-0.0001088+0.00055925i,0.0010854+0.00077704i,0.0010136+0.00030177i,5.2356e-05-0.00070576i,-0.00059071-0.0010066i,-0.00051285-0.0011167i,3.4881e-05-0.001035i,0.00033731-0.00029761i,0.00039365+0.00068588i,0.00061584+0.0002139i,0.0005141-0.00069492i,-7.9597e-05-0.00040485i,-0.00036563-0.00013335i,-0.00017738-0.00018298i,-6.6882e-05-0.00010826i,-6.6873e-05-0.00020563i,-0.00019631-0.00043322i
0.0009794+0.0012828i,0.00036824+0.0012452i,0.00046282+0.00018622i,0.00021301+7.0167e-05i,-0.00025987+0.00064836i,-0.00028067+2.241e-06i,-0.0002029-0.0006351i,0.00044583-0.00089902i,0.0010629-0.0014421i,0.0003274-0.00095701i,-0.00015839-0.00075518i,0.000359-0.00034262i,0.0012593-0.00046831i,0.0010947-0.00011963i,0.00029806+0.00065629i,4.032e-05-6.8117e-05i,-5.0225e-05-0.00065514i,-0.00026036-0.00030231i,-0.00086072-0.00043912i,-0.00075978-0.00045571i,-0.00047878-3.2157e-05i,0.00053616-7.6804e-05i,0.00094899-0.00013158i
-0.00049009+0.00049796i,-0.00080278-0.00028562i,-0.00079098+0.00040222i,-0.00089895+0.00021741i,-0.00035609-0.00033587i,9.7807e-05-0.00067833i,0.00020441-0.0010003i,0.00065563-0.00086155i,0.0005932-0.00059176i,0.00015767-0.00049684i,0.00037537-0.00058097i,0.00063373-0.00063798i,0.00077233-0.00050368i,0.0012914-6.645e-05i,0.0014076-6.2778e-05i,0.00032115-0.00083147i,-0.00053171-0.0006101i,-8.1325e-05+0.00045116i,0.00036614+0.0014443i,0.00018928+0.001443i,-0.00018556+0.00029434i,-3.2111e-05-0.00037751i,0.00033599-0.00073518i
0.0006374-0.00070347i,-0.00052324-0.00013117i,-0.0020096-0.00082485i,-0.0023424-0.00062395i,-0.0018716-0.00028525i,-0.001639+0.00031319i,-0.0005298+0.00037182i,0.00071599-0.00048243i,0.00013251-0.00038215i,-0.0007162-0.0003547i,-0.00016009-0.0010127i,0.00021785-0.0011649i,0.00028269-0.00082412i,-0.00010845+0.00040214i,-0.00061552+0.00090194i,-0.00056369+0.00043987i,-0.00043857+0.00023021i,-0.0003875-0.00013054i,0.00018222-0.00024734i,2.2292e-05-0.00052148i,-0.00031527-0.0002936i,4.7313e-05+0.00054029i,0.00024196+0.00051618i
0.00056708-0.00038186i,0.00030707-0.00037329i,1.9976e-05-0.00048081i,-0.00027008-0.001125i,-2.8595e-05-0.0012007i,-0.00047315-0.00029572i,-0.00075257+0.00014332i,-0.00014706-0.0006325i,0.00064723-0.00046792i,0.00031992-0.00083216i,0.00019057-0.0010757i,0.00039301-0.0005178i,0.00066046-0.00039771i,-0.00021548+0.00040084i,-0.0002922+0.0008077i,0.00028815+0.00053362i,-0.00019742+0.00096212i,-0.00052701+0.00083042i,-0.00030059+0.0004032i,-0.0002734+0.00022634i,-0.00043292+0.00032503i,0.00044687+0.00055887i,0.00080345+0.00028661i
-0.0010661+0.00060025i,-0.00094324+0.0012716i,-0.000511+0.0013136i,-0.0006386+0.00090918i,-0.0010354+0.00011713i,-0.00088485+9.3797e-06i,-0.00093612-0.00053195i,-0.0011383-0.0016077i,-0.00056009-0.0012602i,0.00041762-0.00051746i,0.00084898-0.00081822i,-7.62e-05-0.0016403i,-0.00061364-0.0013971i,-0.00074433-0.00023977i,-0.0008706+0.00032351i,-0.00023334+0.00020941i,9.3617e-05+0.000148i,-0.00064133-0.00036078i,-0.0009894-0.00089605i,-0.00059266-0.00094487i,-0.00048558-0.00043371i,0.00024036-0.00047413i,0.00034172-0.00028257i
-0.00080901-0.0001009i,-0.0014664+0.00020744i,-0.001838+0.00015947i,-0.0025232-7.6168e-05i,-0.0018134+0.00042898i,-0.00068636+0.00075026i,-0.00053949+0.00030463i,-8.576e-05-0.0011188i,-1.7723e-05-0.0019453i,-0.00032429-0.0011109i,-0.0012029-0.00097025i,-0.0014183-0.00031037i,-0.0010344+0.00047013i,-0.00047124+0.00080445i,0.00061101+0.0004178i,0.0011249-0.00011803i,0.00064491-0.00070843i,-0.00056632-0.0011282i,-0.00088426-0.00050787i,-0.00061009-4.4458e-06i,-0.00039316-0.00026462i,0.00044952-6.2453e-05i,0.00053083+0.00020555i
-0.001516-0.0017001i,-0.0012481-0.0016154i,-0.00054952-0.00012295i,4.0258e-05+0.00053911i,0.00036965+0.00025181i,-0.0004071-0.00040017i,-0.00051708-0.0006937i,0.0001304-0.0009692i,-0.00018439-0.0018133i,-0.00065682-0.001193i,-0.00063251+7.9003e-05i,-0.00077155+0.00079464i,-0.00077191+0.0013i,-0.00029097+0.0011962i,-0.00038344+0.0010163i,-0.0011461+0.00052495i,-0.0012456-8.5181e-05i,-0.00018885-0.00061355i,0.00029342-0.00049762i,3.2587e-05-0.00013675i,0.00025041-0.00057893i,-3.798e-05-0.0001891i,-0.00060328+0.00017036i
-0.0003973-0.00070525i,-0.00036985-0.00026938i,-0.00070743-0.00040422i,-0.0010481-0.00016751i,-0.0018404+0.00065102i,-0.0014088+0.00030336i,-0.00048807-0.00052399i,-0.00076479-0.0013653i,-0.00079657-0.0014743i,-0.00055202-0.0011919i,-0.00076454-0.00081478i,-0.0010113-0.00038853i,-0.0001574-0.00049258i,0.00039014+0.0003881i,-0.00027735+0.00098178i,-0.00088993+0.00099256i,-0.00069393+0.00096026i,-8.3091e-06+0.00045356i,0.00018021+1.1522e-05i,-4.0496e-05+0.0002737i,3.4931e-05+0.00065151i,0.00054496+0.00086688i,0.00073079+0.00040607i
-0.0010467-0.00014179i,-0.00073429-9.8862e-05i,-0.0011255+0.00078436i,-0.0012363+0.00056773i,-0.00073525+0.00014212i,-0.00047023-0.00018356i,-0.00063497-0.00056406i,-0.0009864-0.0011711i,-0.00075485-0.0013894i,0.00015025-0.0010933i,0.0002772-0.00059893i,-0.00010185+2.4731e-05i,-0.0004554+0.00082083i,-0.00012035+0.00043223i,0.00041513-0.00051096i,0.00058618-0.00059377i,0.0003565-0.00042234i,-0.00062457-0.00035104i,-0.00073851-0.00028851i,-0.0004551-0.00017609i,-0.00037615+0.00029348i,0.00043117+0.0005909i,0.00091442-0.00018142i
-0.0013582+0.00038368i,-0.0011726-1.2036e-06i,-0.0018812-0.00030098i,-0.0022075+0.00047893i,-0.00069112+0.001395i,0.00035575+0.0016842i,0.00039258+0.0014917i,5.216e-05+0.0015233i,-0.0004912+0.0014145i,-0.00025956+0.0010767i,-0.00013823+0.0011299i,-0.00099638+0.00094346i,-0.0008628+0.0011588i,0.00048843+0.0010282i,0.0011265+0.00040765i,0.00096248+0.0001669i,0.00031415-0.00016067i,-0.00062137-0.00083027i,-0.00016109-0.00048335i,0.00055598+0.00017909i,0.00023745+0.00024975i,-3.0216e-05+0.00055128i,0.00030085+0.00064225i
-0.0012148-0.0015245i,-0.00087732-0.00076965i,-0.001452-0.0012061i,-0.0014993-0.00092558i,-0.0010493+3.0022e-05i,-0.00078147+0.00086215i,-0.00012314+0.00044292i,0.00016385-0.00078905i,-0.00022803-0.0014483i,0.00010017-0.001262i,8.4835e-05-0.00044447i,-0.00044726+0.0018355i,-0.00022799+0.0026158i,0.00016507+0.0011317i,0.00017972+0.0003603i,0.00054618+0.00041555i,0.00055566+0.00050524i,-0.00061492+0.00026913i,-0.0013764-0.00037386i,-0.00046706-4.505e-06i,0.00018123+0.00066423i,0.00051511+0.00041449i,0.00011654-0.00017198i
-0.0010168-0.0007691i,-0.00028791-0.00029752i,-0.00077566+0.00043399i,-0.0007785+0.00039102i,0.00011636+0.00074899i,0.00068503+0.00084601i,0.0010373+0.00044205i,0.00058636+0.00017283i,-0.0002251-0.00034982i,-0.00049645-0.00064402i,-2.8577e-05-0.00019167i,0.0012423+0.00036191i,0.0012981-0.00036217i,7.112e-05-0.00060157i,-0.00010097-6.7651e-05i,0.00054564+0.0006264i,0.00018809+0.0013107i,-0.00010289+0.00055876i,0.00034403-0.00052416i,0.00059712-0.00045136i,0.00064793+3.413e-05i,0.00061085+0.00020805i,0.00052498+0.00043238i
-0.001098-0.00062111i,-0.0021357-0.0014633i,-0.0027738-0.0014564i,-0.0017374-0.00071816i,-0.00026563-0.00052411i,0.0006631+2.7087e-05i,0.001122-0.00013013i,0.00069122-0.00077807i,0.00038665-0.00078056i,0.00044395-0.00037136i,0.00095456+0.00090468i,0.00094115+0.0010397i,0.00015081+0.00022168i,-0.00035146-0.00037737i,-0.00025887-0.00040293i,0.0003198-0.00028997i,0.0010096-0.00025271i,0.0013267-0.00023266i,0.00033229-0.00084384i,-0.00071344-0.0010091i,-0.00017766-0.00049172i,6.3782e-05-0.00014684i,-4.5325e-05-0.00010641i
-0.001895-0.00043588i,-0.00070651-0.0012478i,0.00045125-0.0019253i,0.00015035-0.0016313i,-0.00069397-0.00079394i,-0.00063692+9.3246e-05i,-0.0002772-4.7714e-06i,0.00019568-0.00039125i,0.00049172-0.00027559i,0.00026176-0.00062651i,0.00031771-0.00097465i,0.00058645-0.00081538i,0.0013401-0.0009369i,0.0010281-0.0010615i,0.00010008-0.00073064i,-2.2811e-05-0.00037579i,-0.00014649-0.00023275i,-0.00029742-0.0008271i,0.00032276-0.0006422i,0.00095857+0.00015774i,0.0011558-0.00024603i,0.00076847+0.00017295i,0.00025394+0.00055679i
0.00050326-0.0018385i,0.00060103-0.0010638i,-0.00064862-0.00048262i,-0.0012622+0.00066354i,-0.00082689+0.0016075i,7.2801e-05+0.0018404i,0.00070433+0.0010576i,0.001001-8.9829e-05i,0.0011524-0.00071553i,0.0005967-0.00059514i,0.00066283-0.00078512i,0.0014352-0.00047828i,0.0012127-0.00069152i,2.8233e-05-0.0010595i,-0.00025717-0.00069539i,0.00080641-0.00022104i,0.0014421+0.00015972i,0.00093031+3.6272e-05i,0.00077701-0.00017932i,0.00072576-0.00013363i,8.4967e-05-0.00014327i,-0.00023318+1.3626e-05i,-0.00041028+0.00065692i
