-0.00047945+0.0031787i,-0.00050274+0.0024499i,-0.0012726+0.0025886i,-0.001113+0.0016626i,-0.00065729+0.0013482i,-0.00030205+0.0021398i,-0.00010682+0.0017662i,0.00065989+0.0011667i,0.0011855+0.0012097i,0.0011397+0.0010462i,0.00064312-5.8176e-05i,-0.00052049-0.00096115i,-0.00061553-0.00049474i,-0.00020385-0.00046736i,-0.00018284-0.00066875i,-0.00048832-0.00073786i,-0.00077949-0.00056741i,-0.00082113+0.00028835i,-0.00019627-0.00013589i,0.00053232-0.0007585i,0.00059146-0.00024114i,0.00027109-0.00057651i,0.00052006-0.001196i
0.0008992-0.00016037i,0.00044086-2.3589e-05i,0.00035258-0.00063152i,-0.00064595-0.00087081i,-0.0011584-0.00028577i,-0.00039177+0.001362i,0.0012377+0.0013218i,0.0011514-0.00011258i,-0.00023443+3.2112e-05i,-0.0012264+0.00023246i,-0.0013481+0.00056822i,-0.00094453+0.00021712i,-9.1275e-05-0.00032961i,0.00033402+0.00050482i,4.783e-05+0.00083495i,4.7943e-05+0.0001192i,0.00099266-0.00062221i,0.0011667-0.00018169i,0.0001494+0.00098606i,-0.00036187+0.001237i,0.00016791+0.00043004i,0.0004215-0.00030581i,-0.00019163-0.00082641i
-0.0002466+0.00059208i,0.00073771+0.00084333i,0.0026421+0.0012002i,0.0027759-0.0006256i,0.0018895-0.0023368i,0.0013936-0.0025217i,0.00045235-0.0019539i,-0.00013479-0.0010499i,-0.0005537-0.00016844i,-0.00015581-8.0854e-05i,1.2899e-05-3.0224e-05i,-0.0010414-6.853e-06i,-0.00089802-0.00068822i,-0.00066123-0.0013103i,-0.0010233-0.0016415i,-0.00093784-0.0014856i,-0.00022599-0.00053017i,-9.3218e-05+0.00056941i,-0.00045307+0.00066227i,-0.00036928+0.00038675i,-2.118e-05+0.00018894i,0.00054689+0.00029756i,-0.00014973+0.00055148i
0.00031348-0.00019249i,8.1923e-05+0.0010434i,-0.00033114+0.0013582i,-0.00032592+0.000597i,-0.00051658+0.0010572i,-0.00055812+0.0014436i,-0.00050568+0.0015942i,-0.00056749+0.0011952i,-0.00034261+0.00057364i,-0.00052835+0.0010293i,-0.00084234+0.0014317i,-0.00053639+0.0006244i,0.00067629-5.0468e-05i,0.0013978+0.00034436i,0.0012063+0.00011373i,0.00050785+0.00032315i,-0.00054814+0.00066025i,-0.00067829-7.4949e-05i,1.1235e-05-0.001086i,-0.00018809-0.0011191i,-0.00013851-0.00043026i,4.6005e-05-2.5894e-05i,0.00011384-0.00039213i
0.00076547+0.0017508i,0.0012517+0.0012885i,0.0015891-0.00041162i,0.00095463-0.00131i,-0.00029985-0.00049179i,-0.00047267+0.00034074i,-0.00040438+0.00025497i,3.1963e-05-0.00048874i,-6.9286e-05-0.00087047i,-0.00015914-0.00051784i,-9.7451e-05-0.00045796i,-0.00043061-6.6199e-05i,1.8899e-05+0.00017129i,8.7075e-05-0.0007934i,-0.00082425-0.0010293i,-0.00082816-0.0001931i,-0.00013834+0.00013183i,-0.0003192+0.00020079i,-0.00055322+0.00059613i,6.3038e-05+0.00089705i,0.00017777+0.00094981i,-0.00010508+0.00070895i,-0.00011983+0.00016736i
0.00072525+0.00039611i,-4.8832e-06+0.000368i,0.0014467+0.00077727i,0.0022062-0.00010198i,0.0013742-0.00043254i,0.000757+0.00044332i,0.00014622+0.00052065i,-0.00049335-0.00022503i,-0.0011396+8.0787e-05i,-0.0015712+0.00052233i,-0.00091818-0.00055607i,-0.00079326-0.0011447i,-0.00093188-0.0009446i,-5.0705e-05-0.00047842i,0.00072922+1.2415e-06i,0.00041462-0.00020743i,0.00011239-0.00049406i,-0.00010969-0.00068945i,-1.311e-05-0.00057495i,0.0011513+0.00026241i,0.0015544+0.00068527i,0.0010433+0.00023758i,-0.00034078-0.0004031i
-0.00045913+0.0027816i,0.00048675+0.0026662i,0.0013084+0.0015523i,0.0011692+0.00075732i,0.0014434+0.00061323i,0.0016795+0.00036914i,0.0010237+6.9626e-05i,0.00052598-0.00012984i,0.00030592+0.00020481i,0.0003428+0.00033994i,0.00022967-0.00066727i,0.00041973-0.00070442i,0.00028032-0.00010984i,-0.00063293-0.00060894i,-0.00051201-0.00080641i,4.4876e-05-0.00038039i,-0.00053095-0.000739i,-0.0010505-0.0010573i,-0.00044635-0.00083178i,0.00075503-0.00019404i,0.00152+2.6553e-05i,0.00059657+0.00015505i,-0.00014672+0.00063474i
-7.9104e-05+7.0467e-06i,-0.00021158+0.00084206i,0.0003455+0.00054197i,0.00064974-0.0005737i,0.00033612-0.00057399i,3.9957e-05+0.00088051i,0.00068805+0.0012998i,0.00053068+0.00086281i,-0.00050095+0.00081158i,-0.00054636+0.00036648i,-0.000361+0.00049255i,-7.6566e-05+0.00056492i,0.00052912-0.00040695i,0.001028-4.0797e-05i,0.00053639+0.00085191i,0.00033983+0.00060485i,0.00057326+0.00030579i,0.00025147-0.00033742i,0.00056523-0.00016947i,0.0004011+8.3867e-05i,0.00011153-0.00060259i,0.0004141-0.00086877i,0.00024666-0.00056647i
0.0014794+0.00039855i,0.00083078-0.00016712i,0.00031574-0.0016609i,-0.00028138-0.00092792i,-0.0013954+0.00032671i,-0.0014894+0.00074322i,-0.00029887+0.0011126i,8.3526e-05+0.00053145i,2.2408e-05-0.00052093i,0.00057564-0.00039135i,0.0002504+0.00043663i,-0.00035796+0.00061827i,0.00013638+0.00091859i,0.00026562+0.0011574i,8.0264e-05+0.0011789i,-0.00047039+0.0010044i,-0.0013673+0.00037491i,-0.00085341+0.00027018i,0.00011179+0.00068848i,0.00013188+0.00091913i,-0.00039823+0.00071611i,-0.00069365-0.00073923i,-0.00047372-0.00046934i
-0.0024146+0.00065162i,-0.00044409+0.0011999i,0.0002446+0.0014313i,0.00099186+0.00081607i,0.0018993+0.0005198i,0.0012329+0.00033735i,3.4544e-05+0.00039083i,-0.0001272+1.743e-05i,-0.00046931-9.4391e-05i,-0.00042439-0.00032004i,0.00061828-6.9878e-05i,0.00052013+0.0002095i,0.00048372-9.9617e-05i,0.00057203-0.00070384i,0.00081729-0.00043804i,0.00061717-0.00011311i,-0.00043478-0.00017886i,-0.00045589+0.00022645i,9.0028e-05+0.00023538i,0.00046513-0.00075797i,0.00079962-0.00079693i,0.00061838-1.128e-05i,0.00029749-0.00027931i
0.00023969-0.00058351i,0.0013281-0.00048364i,0.001155-9.6099e-06i,-0.00025947+0.00025118i,-0.00097878+0.00088712i,1.6344e-05+0.0022502i,0.001381+0.0018241i,0.0016352+0.00026245i,0.0010463-0.00016538i,0.00041137-0.00063401i,5.2431e-05-0.00099213i,-0.0010074-0.00073826i,-0.0010763-0.00037945i,6.6163e-05+0.00036944i,0.0002663+0.0010271i,9.7714e-05+0.0010648i,-0.00025923+0.00049456i,-0.00068669+0.00013745i,-0.00039906+0.00084546i,0.000391+0.0010063i,0.00048076-0.00011247i,-0.00046865-0.00044172i,-0.00053831-0.00027766i
-0.0017181-0.00065835i,-0.0014258-0.00036074i,-0.0012836-0.00060171i,-0.00056549-0.000374i,9.6677e-05+0.00021713i,0.00082894+0.00064213i,0.0010224-0.00012065i,0.00065902-0.0012772i,-0.00012594-0.0011071i,-0.00060461-5.0869e-05i,-0.0005908+0.00062252i,0.00089468+0.00072141i,0.0019668+0.00067591i,0.001638+0.00025179i,0.00063061+0.00060915i,-0.00048711+0.00084426i,-5.8055e-05+0.00026161i,0.00046276+8.1115e-05i,0.00042205-0.000476i,0.00045034-0.00072065i,0.00042079-0.00091596i,0.00056121-0.00072003i,0.00068876+0.0003724i
-0.0018484-0.00024691i,-0.00074764+0.00076489i,-0.00013811+0.001243i,0.00061581+0.0010126i,0.00099508+0.00037871i,0.0010339-0.00023943i,0.00044443-0.00062394i,-0.00093512-0.00049419i,-0.00094116-0.00062175i,0.00010051+2.788e-05i,0.00062295+0.00032544i,0.00046865-0.0006277i,0.00053092-0.0015404i,0.00010867-0.0023373i,-0.00042696-0.0024936i,-0.00017348-0.0010917i,-0.00028225-0.00040546i,-0.00052059-0.00065258i,-0.00084304-0.00085763i,-0.00084953-0.0011735i,-0.000611+1.6212e-05i,-0.00026468+0.0010668i,0.00044937+0.00070022i
0.00099122-0.0011767i,0.0012244-0.00032789i,0.0013737+1.1599e-05i,0.0010834+0.0011458i,0.00023462+0.0023109i,0.00089168+0.0024923i,0.0012794+0.0017794i,0.00081701+7.0333e-05i,0.00030732-0.00080157i,-0.00021554-0.0005498i,-0.00019919-0.00061804i,-9.7696e-05-0.00044414i,-0.00029709+6.5956e-05i,-0.00031219+0.00036773i,-0.00017396+0.00054129i,0.00038772-1.5336e-05i,-4.8087e-05-0.0001622i,-0.00025123+0.00021751i,0.00030182+0.00037309i,-0.00042552+0.0002279i,-0.00016799+0.00012306i,-0.00056632+0.00068766i,-0.0013342+0.00086924i
0.00010202+0.00099967i,-0.00027054+0.00045081i,7.3462e-05+0.00049923i,0.00035493+0.00060114i,0.00017387+0.0002261i,-0.0001159+0.00057247i,0.00018101+0.00051106i,0.00046751+0.00062009i,0.00043969+0.00080059i,0.00058662+0.00064338i,0.00043915-0.00017288i,0.00047648-0.00048391i,0.00041771-9.1985e-05i,-0.00018826+0.0001603i,0.00018084+0.00028811i,0.00044548+5.4983e-05i,0.00018925+0.00030259i,0.00092722+0.00011706i,0.0012842-0.00098597i,0.00031871-0.00091376i,0.00012274+5.2825e-05i,0.00054359+0.00039084i,0.00059309+0.00051541i
-0.00056853-5.6876e-06i,-0.00013076-0.00028951i,-5.3387e-05-0.00081352i,-0.001223+0.00014613i,-0.0018448+0.0019216i,-0.00093732+0.0025321i,0.00048863+0.0012216i,0.0013259-0.00060359i,0.00048308-0.0010672i,-0.00091118-0.00048002i,-0.00046783+0.00011538i,0.00024043+0.00022688i,0.00070643+0.00054838i,0.0011007+0.0010626i,0.00059498+0.0015888i,-8.6961e-05+0.00093378i,-0.00086281+0.00074133i,-0.00024439+0.00067232i,0.00068898+0.00035741i,0.001009-6.4729e-05i,0.0011599-0.00078485i,0.00088575-0.00028601i,-1.7084e-05+0.0003717i
-0.00041702-0.00060864i,9.9496e-05-0.00058006i,0.0010735-0.00024622i,0.00089839-0.000254i,0.00047653-5.8547e-05i,0.00063336+0.00038397i,0.0013401+0.00021093i,0.0010055-0.00016238i,0.00043313-0.00012269i,0.00025851-0.0005562i,7.3264e-06-0.00090004i,0.00014467-0.0010303i,0.00069342-0.00089785i,0.00026099-0.00015697i,-0.00030161+0.0001398i,-0.00019246-0.0001535i,-0.00023631-0.0004862i,-0.00027911-0.00023802i,-9.5968e-06+0.001006i,-0.00061132+0.0012676i,-0.00039143+0.00037623i,0.00040193-0.00035963i,0.00054827-0.0005286i
-0.0011974+0.00081787i,-6.7974e-05+0.0003122i,0.0013058+0.00014698i,0.00051078+0.00059028i,-6.2601e-05+0.0014779i,0.00045761+0.0015693i,0.00092704+0.0008275i,0.000296+0.00020797i,-0.00021489+0.00031002i,3.5542e-05+0.00013878i,0.00042032-0.00034914i,0.00041074-0.0003134i,0.0001848+0.00026809i,-0.00020451+0.00017689i,-0.00028541-0.00078613i,0.00054116-0.00065872i,0.00041101-0.00028116i,0.00036885+0.0001635i,0.00043632+0.00021979i,-4.5272e-05+5.5778e-05i,-0.00065288+0.00051666i,-0.00023921-3.6755e-06i,0.00047916-0.00014264i
0.0012985-0.0012355i,0.00013459-0.0014061i,0.00026212-0.0013461i,0.00028938-0.0011411i,-0.0007279-0.000694i,-0.00036223+0.00057142i,0.00035667+0.0013472i,0.0009342+0.00092623i,0.00083365+0.00019002i,0.00013305+1.1171e-05i,-0.0005485-0.00038499i,9.1414e-05-0.00017596i,0.00070072+0.00088127i,-3.4017e-05+0.0013264i,-0.00057401+0.00070368i,-0.00041447+0.00063484i,-1.9777e-05+0.00070539i,-0.00033755+0.00021172i,-0.00097992-8.6647e-05i,-0.00099345-0.00034388i,-1.9827e-05-0.00082086i,0.00053351-0.0010396i,-2.8244e-05-0.00045439i
-0.00082861+0.00092289i,-0.00018487+0.00075598i,-0.00028452+0.00048319i,-5.9091e-05+0.0007943i,0.00071286+0.0012372i,0.00081954+0.0006253i,3.1641e-05+7.0463e-05i,-0.00066526-0.00058731i,-0.00021022-0.00085545i,0.00053132+0.00022267i,0.00030283+0.00091835i,0.00042019+7.1999e-05i,0.00054135-0.00062118i,0.00023527-0.0011093i,0.00052762-0.0016334i,0.00075289-0.00082136i,-0.00013769-5.3716e-05i,-0.0003774+0.0001899i,6.1541e-05+0.00023571i,-0.00026544-4.2721e-05i,-8.7597e-05+0.00026952i,0.00042915+0.00042803i,0.00051781+0.00013571i
-0.0011826+0.00028448i,-0.0012954+0.00010496i,7.1404e-05-0.00028688i,0.00013839-0.00030163i,-0.00030269+0.00014277i,-0.00044224+0.00088872i,-0.00036588+0.0011934i,0.00033177+0.00058311i,0.00024368+0.00012809i,-7.1496e-05-4.5331e-05i,4.111e-05-0.00013707i,-0.00043329+0.00015803i,-0.00018413+0.00024183i,-0.0001022+0.00055876i,-0.00073771+0.00058269i,-1.2817e-05+0.00027141i,0.0011564-0.00043555i,0.0010857-0.00066359i,0.00059185-0.00056031i,0.00042344-0.00038614i,0.00030267-0.00016135i,9.0067e-05-0.00075006i,-0.00017527-0.00061673i
0.0016978+0.0015001i,0.0014916+0.00016931i,0.0022818-0.00011898i,0.0020858+7.2831e-05i,0.00080694-0.00094047i,0.0005026-0.0013011i,0.00073531-0.00063607i,0.00011892-0.00087857i,0.0002603-0.0010942i,0.00058622-0.00066145i,0.0006978-0.00050071i,0.00011912-0.00066394i,-0.00057441+3.8191e-05i,-0.0011145+0.0003101i,-0.0014061-0.00016795i,-0.00056374-8.3825e-05i,0.00082228+0.00015807i,0.0013057+0.00027284i,0.00049109-0.00030075i,0.00017284-0.00039405i,2.8023e-05+0.00015694i,-0.00057646+0.00028952i,-0.00070248+0.00051342i
-0.0014496-0.00065538i,-0.0021232-0.00035459i,-0.0017473+4.5202e-05i,-0.0011373+0.0007437i,-0.00029711+0.0011877i,0.00077287+0.0014328i,0.0012081+0.0010285i,0.00095013-0.00010046i,-5.1936e-05-0.00037456i,-0.00083622+0.00028619i,-0.00085279+0.00021437i,0.00011401+6.5638e-05i,0.00011618+0.00032319i,-9.9779e-05+0.00012127i,0.00033967+0.00022125i,-5.7084e-06-9.2387e-05i,-0.00024309-0.00075879i,-0.00012615-0.0012237i,-0.00011649-0.00097101i,-0.00023572-0.00040614i,-0.00029126-0.00042771i,-0.00020635-2.6926e-05i,6.487e-05+0.00052584i
0.0015216+9.7834e-05i,0.0012096+0.0014924i,0.00081552+0.0019375i,0.00060056+0.0011899i,0.0010004+0.00015251i,0.00090156-1.9152e-05i,0.00029581+0.00038652i,9.481e-05+0.00012629i,-2.2474e-05+6.302e-05i,-0.00020792-0.00020815i,-2.4337e-05-0.0005055i,0.00014832+7.0969e-05i,0.00025159+0.0002985i,-0.00012978-0.00018853i,6.2774e-05-0.00060006i,0.00044685-0.00072804i,-0.00018514-0.00050374i,-0.00034014+0.00020786i,0.00050251-0.0002352i,0.00052258-0.00010081i,0.00028478+0.0007599i,0.0001823+0.00025887i,-4.5257e-05-0.00094509i
-0.001405-0.001282i,-0.0020732-0.0011046i,-0.002217-0.0012683i,-0.0018493-0.00093938i,-0.0013407-0.00026885i,-0.00088812+0.00037466i,-0.0007981-4.8091e-05i,-0.00058516+1.9115e-05i,-0.00093405+3.2544e-07i,-0.00097881-2.6763e-05i,-0.00056948-5.2551e-06i,1.0146e-05-0.00022169i,0.00090321-0.00019785i,0.0018508+0.0004434i,0.0013089+0.00079118i,0.00023901+0.00047603i,0.00016439+4.8998e-05i,0.0003114+0.00017264i,-0.0001498+0.000213i,2.3919e-06-0.00032057i,0.0007012-0.000124i,0.00025221-0.0002828i,-0.00035866+5.4778e-06i
1.5021e-05-0.00083256i,-0.00029185-0.0010612i,0.00038761-0.00044467i,0.00055457+9.3028e-05i,0.0003909+0.00022134i,0.00091604+0.00028838i,0.0016273+5.3169e-06i,0.00084299-0.00042163i,0.00024593-0.00055706i,0.00035049+7.9105e-06i,0.00026419+0.00043468i,0.00091541+0.00029134i,8.9705e-05+0.00024039i,-0.0010379-8.6514e-05i,-0.00089545-9.9949e-05i,-0.0010805+0.00013536i,-0.0012395+0.00030768i,-0.00071452+0.00055305i,-0.00046333+0.00024313i,-0.00042594-0.00026678i,-9.4328e-05-0.00082175i,-9.8134e-05-0.00083762i,-0.00034644-0.00078882i
0.00041449+0.00042186i,0.00036449+0.00086155i,0.00055727+0.0010524i,0.0005501+0.00055806i,0.00023532+0.00042268i,-0.00019169+0.00057428i,8.1455e-05+0.00037406i,7.1798e-05-0.00025662i,-0.00018444-0.00038562i,0.00021666+7.5263e-06i,0.00066267-0.00027863i,1.3263e-05-1.3666e-05i,-0.00039899+0.00016882i,-0.0001239+9.9398e-05i,-0.0003474-0.00031216i,-7.6567e-06-0.00058028i,0.00021511-0.00014512i,-0.00052065+0.00043919i,-7.3767e-05+0.00064168i,0.00067406+0.0008854i,-3.3243e-06+0.00018125i,-0.00023489-0.0010362i,-3.8409e-05-0.0010587i
-0.00029456+0.0010972i,-0.0002942+7.8657e-05i,0.00045141-0.00064627i,0.00026964-0.00087065i,-0.00032021-0.00037042i,-0.00026277+0.00075772i,0.00059799+0.0004335i,0.00083221+0.00020541i,1.5759e-05+0.00042504i,-0.00033721+4.0598e-05i,1.1216e-05+0.00017232i,-0.00023049+0.00031175i,-0.00023635-0.00028838i,0.00012774-0.00050092i,-0.0003848-0.00052785i,-0.00037139-0.00022778i,8.4068e-05-9.5931e-05i,0.00018619+0.00076639i,0.00029674+0.0012815i,0.00055063+0.00061495i,0.00043012+8.0048e-05i,0.00013917-0.00018414i,-0.00039634-5.5137e-06i
0.00014386-0.00018184i,-0.00071159+0.0011573i,-0.00057163+0.00082342i,-0.00053279+0.00069212i,-3.5024e-05+0.001396i,0.00064402+0.0021788i,0.00036812+0.0010127i,0.00019789-0.0012143i,0.0001843-0.000762i,0.00015699+0.00035515i,-0.00036826+0.00041852i,-0.00094982-0.00048331i,-0.00012668-0.0015169i,-3.5018e-05-0.0014791i,-0.00058276-0.00072091i,-0.00043111-0.00013545i,-9.1338e-05-0.00012899i,9.1021e-05+0.00034454i,-0.00050568+0.00034001i,-0.00020479+9.802e-05i,5.8872e-05-0.00059258i,0.00032127-0.00078738i,0.00072695-1.2078e-05i
0.00021244+0.001588i,0.00097733+0.0008274i,0.0013567+0.00036113i,0.00069442-8.0518e-05i,0.00023647-0.0011264i,0.00061232-0.00069431i,0.0010267+0.00013336i,0.00035507-0.00011734i,-0.0010279-0.0001954i,-0.0015802-0.00059665i,-0.0011856-0.001108i,-0.00019594-0.00089876i,-9.9617e-07-0.0003283i,-0.00057064+0.00045883i,-0.00071955+0.00049421i,-3.3911e-05-0.0004454i,0.00050257-0.00073684i,0.00082678-0.0003145i,0.00046919-0.00010307i,0.0004054-0.00049594i,0.001152-0.00081524i,0.0016157-0.00098703i,0.0011534-0.00099236i
-0.00035328-0.00017728i,-0.00083751+0.00018725i,-0.00051716+0.0013176i,0.00072691+0.0018626i,0.00092121+0.0011077i,0.00049392+0.00061819i,-0.0001963+0.00057854i,-0.00049892-2.071e-05i,-0.00012373-0.00026365i,0.00011872+8.7385e-05i,0.00013592+0.00016325i,0.00012163+0.00035206i,-2.9003e-05+0.00043314i,2.8226e-05-0.00016459i,0.00057748-0.00089853i,0.00029463-0.00062014i,-0.00017329+0.00015097i,0.00014242+0.00048548i,0.00029498+8.3988e-05i,0.0003265-0.00029492i,0.00044766-7.8784e-05i,0.00058975-0.00023711i,7.5565e-05-0.00074533i
0.0019671+0.0011988i,0.0014598+0.0006514i,0.0018916+0.00069671i,0.0019895+0.00031141i,0.00093852-0.00020194i,-0.00014635-0.00033i,-0.00020818-0.00095322i,0.00051091-0.0016094i,0.00080068-0.001449i,0.00087903-0.0010716i,0.00039903-0.00081675i,0.00016825-0.00016344i,0.00018072-7.868e-07i,-4.549e-05-0.00015589i,-0.00069614+0.00058228i,-0.00027583+0.00086162i,0.00051074-3.0765e-05i,0.00081656-0.00037704i,0.0010993-0.00040029i,0.00096266-0.00072519i,0.0004171-0.0012987i,0.00050501-0.00050404i,0.00077757+0.00045666i
