-0.0002962+0.0009281i,-0.00039064+0.0011026i,0.00030428+0.0010296i,0.0001317+0.0011672i,-0.0007486+0.00087689i,-0.00039666-1.0525e-05i,-7.9206e-05-0.00068027i,-0.00050185-0.00070435i,-0.00085043+0.00035638i,-0.00055158+0.00039874i,0.00011227+3.9816e-05i,-8.3152e-05+3.002e-05i,0.00010489+0.00093849i,0.00019063+0.0010675i,-0.00054422+0.00036874i,-0.00093277+1.8129e-05i,8.1183e-05-8.7182e-05i,0.0012822+0.00011692i,0.00082508+0.00057281i,-0.00011065+0.00019103i,-7.1645e-05-0.00045362i,-9.1247e-05-0.00090824i,-0.00034307-0.00094011i
-0.00014857+0.00093002i,-0.00037638+0.0010172i,5.2661e-05-0.00045451i,-0.00045424-0.0023612i,-0.00075599-0.0015946i,-0.00037478-0.00073534i,6.5376e-05-0.0010245i,-0.00015408-0.0013648i,-0.00051717-0.0017047i,-0.0004267-0.00049256i,-0.00015111-0.00013184i,-0.00011299-0.00064552i,0.00016789-0.00055822i,0.00030577+8.8733e-05i,0.00029569+0.0004874i,0.00075348+0.0007197i,0.00034882+0.00062231i,-0.00072004-6.6802e-05i,-0.00082826-2.8605e-05i,0.00045927+0.00027729i,0.0011558+0.00024208i,0.00045785+0.00010843i,-0.00029296-0.00059826i
-0.00098669-0.0010941i,-0.00038118-0.0019237i,-0.0014455-0.0013243i,-0.0024366-3.6727e-05i,-0.0018554+0.00079768i,-4.7255e-06+0.0011068i,0.00032516-3.4862e-05i,-0.00079259-0.00076498i,-0.0016795-0.00027434i,-0.0011673+0.00010289i,-0.00029188-3.6899e-05i,0.00030363-0.00020114i,0.00061546-0.00014406i,0.00012079-0.00028576i,0.00013885+0.00035828i,-6.4606e-05+0.00087645i,-0.00030253+0.0011034i,0.00021882+0.0007385i,0.0007402+0.00032173i,0.00042301+0.00023661i,-0.00044353-5.4408e-05i,-0.00024023-5.4925e-05i,0.00012967+0.00043654i
-0.001205-0.0014008i,-0.0012638-0.0010019i,-0.0024201-0.00026796i,-0.0033887+0.00031917i,-0.0031094+0.00057497i,-0.0013965+9.3213e-05i,-0.00021849-0.0015599i,-0.00018236-0.00255i,-0.00054056-0.0013188i,-0.0011703+3.7406e-05i,-0.0012139-0.00039913i,-0.00042875-0.0003807i,0.00015898-0.00028379i,0.00016744-3.3629e-06i,-0.00074864+0.00045751i,-0.00075212+6.7562e-05i,-0.00071254-5.8664e-05i,-0.00043254+0.00019652i,-0.00026935+7.6521e-05i,-0.00015758-0.00094267i,0.00047645-0.00071679i,0.00061528-0.00031615i,0.00063659-0.00024324i
-0.00085785-0.0016563i,-0.00011551-0.00028003i,-0.0001348+0.00086033i,-0.0011936+0.00061587i,-0.0014573+0.00051661i,-0.0003688+0.00047026i,0.00061473+9.8873e-05i,0.00016588+6.1319e-05i,-0.00063475+0.00022304i,-0.00081943+0.00011416i,-0.00089848-0.0004441i,-0.00064389-0.00042305i,-0.0001746+0.00016379i,-0.00033215+0.00010833i,-0.00046004-0.00026569i,-0.00019114-0.00065465i,-0.00019323-0.00070587i,-0.00050365-0.00070292i,-0.00044742-0.00034769i,0.00017168+5.0334e-06i,0.00074498+3.9132e-05i,0.00065673+6.1097e-05i,0.00037055-3.9977e-05i
0.0018324+5.9048e-06i,0.0010689-0.00036996i,-0.00073623-0.0013082i,-0.0018339-0.0012168i,-0.0017489-0.00094923i,-0.00093264-0.00071278i,0.00016932-0.00078509i,0.0010038-0.001042i,0.00088864-0.00053891i,0.00032328-0.00066654i,2.5653e-05-0.00057541i,0.00018026-1.7328e-05i,0.00043269+1.1299e-05i,0.00070829+0.00015498i,-1.3714e-05+0.00016808i,-0.00037911+0.00028137i,0.00018439-0.00025106i,2.187e-05-0.00055422i,-0.0005786+1.1646e-05i,-0.0010798-0.00023524i,-0.0011689-0.00018438i,-0.00040044+0.00023918i,-1.876e-05+0.00019713i
-0.00088592+0.0034094i,-0.00094047+0.0031399i,-0.0014699+0.0016816i,-0.0019641-0.00014571i,-0.0024101-0.00056831i,-0.001797-0.00053494i,-0.00046563-0.0010189i,-0.00036169-0.0011387i,-0.00094149-0.00043259i,-0.00051294-0.00016561i,0.00012853-0.00082896i,0.00030456-0.001039i,-0.00047451-0.00077963i,-0.00075904+0.00010312i,-0.00027589+0.00096901i,-7.9214e-05+0.001389i,-0.00056026+0.0009627i,-0.00029147+0.00045102i,0.00018583+5.9452e-05i,-0.00069715+3.0381e-05i,-0.0009466+0.00020782i,-0.00030127+0.00070065i,-0.00031257+0.00097159i
-0.003489-0.00063022i,-0.0031075-0.00068756i,-0.0015757+0.00020136i,-0.00059055+0.0010559i,-0.00014189+0.0012246i,0.00083894+0.00058407i,0.0002783-0.0003716i,-0.0012757-0.00081425i,-0.0007449-5.0102e-06i,0.00051071+0.00058812i,0.00056999+0.00062155i,0.00097349+0.00029874i,0.0012919+5.0659e-05i,0.00024257-4.1656e-05i,-0.00087689-0.00068069i,-0.00071876-0.0010722i,-0.0004752-0.00075256i,-6.3368e-05+0.00012715i,-0.00036591+0.0005651i,-0.00095043+0.00014655i,-0.00030535-0.0001449i,-0.00013818-0.00027681i,-0.00013549-0.00025185i
0.0012177-0.0025749i,0.0017508-0.0025443i,0.00038783-0.0019529i,-0.0017358-0.0017052i,-0.0021515-0.001018i,-0.0016039+0.00020157i,-0.00089946-0.00024708i,-0.00089255-0.00054053i,-0.00084115-0.00010869i,-0.00055912+0.00063143i,-0.00096782+0.001068i,-0.00080167+0.001036i,2.4367e-06+0.00059479i,0.00034733+0.00022849i,0.00030927+0.00066241i,-0.00020812+0.00042148i,-0.00070494-0.00022735i,-0.00017023-0.00016212i,0.00064136+0.0001477i,0.0010281+0.00030482i,0.00078055+0.00061335i,0.00025849+0.00053973i,0.00035381+3.3452e-05i
-0.00096079-0.0004511i,-0.00093995+0.00014057i,-0.0013278-0.00060298i,-0.0032466-0.0013674i,-0.0030814-0.00044382i,-0.00031505-0.00018203i,0.00050118-0.00096005i,-0.00017367-0.0018903i,-0.0009625-0.0015552i,-0.00090111-0.00013079i,-0.00039759+0.00056209i,-0.00037041+0.00029653i,-6.3634e-05-0.00022588i,0.00046918-0.00074014i,0.0002994-0.00058478i,0.00015327-0.00039991i,-0.00066134-0.00079749i,-0.00090833-0.0010876i,-0.00044904-0.00087276i,-0.00041147-0.00039449i,-0.00027828+0.00016878i,-0.0005718+0.00046815i,-0.00061274+0.00029602i
-0.00012319-0.00023087i,-0.00062825+0.00062638i,-0.0013523+0.00055953i,-0.00092509-0.00017068i,-0.00071518+0.00012899i,-0.00064415-0.00020039i,5.9658e-05-0.0010785i,4.7743e-05-0.0002401i,-0.00053265+0.0010213i,-0.00045737+0.00083241i,-0.00033143-0.00012331i,-0.00073123-0.00017245i,-0.00063505+3.9398e-05i,-0.00030164-0.00029459i,-2.3328e-05-0.00024526i,-0.00040079+0.00055879i,-0.00046671+0.0010197i,-2.7646e-05+0.00070586i,0.00012357+0.00075532i,-0.00020215+0.00022199i,-0.00033197+6.64e-05i,-0.00057383+0.0006194i,-0.00087519-1.8779e-05i
0.00023233+0.0009306i,0.0011414+0.00030762i,0.0002682-0.0016648i,-0.0016531-0.0023745i,-0.0024754-0.0017771i,-0.0017149-0.0015262i,-0.00072912-0.001068i,-0.00084237-0.0003381i,-0.00094519-2.7191e-05i,-0.00050468+0.00032181i,-0.00048624+0.00071547i,-0.00048777+0.00086641i,-0.00036274+0.00064862i,-0.00094855+0.00065566i,-0.0013122+0.00034752i,-0.0012479-0.00050339i,-0.00088814-0.00039435i,-4.4006e-05+7.3636e-05i,0.00051728-0.00046992i,0.00036037-0.0011215i,0.00017917-0.00055359i,-2.3739e-05+0.0003642i,-0.00027688+0.00018366i
-0.0019549-0.00015271i,-0.00060037-0.0010777i,0.00042793+0.000219i,0.00075073+0.00066107i,0.0012341-7.3589e-05i,0.0012668-0.0010169i,0.00096948-0.0017652i,0.00070582-0.0011173i,0.00058939-0.00013861i,0.0012549-0.00054929i,0.0013624-0.0010607i,0.0009933-0.0007521i,0.00065024-0.00061574i,0.00016283-0.00064518i,-0.00015947-0.00011148i,-0.00076321+0.00018864i,-0.00066215-0.00012971i,-0.00070316-4.3358e-05i,-0.0009084+7.915e-05i,-0.00023414+0.00052048i,3.4842e-05+0.0011635i,-0.00041948+0.00040553i,1.549e-05-0.00073009i
0.00048246-0.00021647i,0.00047152+0.0001975i,-0.0020811+0.00032895i,-0.0034559+3.2407e-05i,-0.0031652+0.00076033i,-0.0021948+0.000616i,-0.00086093-0.00049936i,-0.00038249-0.0011549i,-0.00043728-0.0009394i,-0.00031342+7.9023e-05i,5.1465e-06+0.0002729i,-7.5489e-05-0.00039423i,0.00029446-0.00046475i,0.00056552+0.00012858i,0.00018672+0.00071769i,-0.00022913+0.0011046i,-0.00091414+0.00049476i,-0.0014623-0.00033092i,-0.00055316-0.0008625i,0.00049867-0.00097349i,0.00018128-0.00049424i,-0.00038878+0.00034231i,8.0511e-05+0.00091262i
-0.001066+0.0025532i,-0.00054828+0.00099822i,0.0003074-0.0015566i,-6.0651e-05-0.0028095i,-0.00089647-0.0010462i,-0.00099375+0.00010024i,-0.00023611-0.00018167i,-9.274e-05-0.00042297i,-0.00060773-2.6805e-05i,-0.00066671+8.7742e-05i,-0.0011884-0.00077869i,-0.0018096-0.0015234i,-0.00040668-0.0010032i,0.00051931+0.00042052i,-6.834e-05+0.0007777i,0.00037478+0.00020545i,0.00054763-0.00011796i,0.00043557-0.00031297i,0.0010409-0.00016808i,0.00086365+0.00017413i,-0.00058519+0.00043895i,-0.00085897+0.00044271i,-0.00045597+0.00023983i
0.0012789+0.00091968i,0.0018854+0.00088016i,0.0014744-0.00088015i,6.1594e-05-0.0017904i,-0.0010767-0.0011239i,-0.00087614-0.00018369i,0.00013964-0.00075452i,0.00045551-0.00086026i,0.00031544+0.00037544i,0.00059041+0.00026443i,-0.00041133-0.00061249i,-0.0013785-0.00047059i,-0.00050936+0.00059654i,0.0005341+0.001237i,0.00056602+0.00095176i,0.00018514+0.00059142i,0.00068208+0.00030381i,0.0013713+3.0476e-06i,0.00067748+4.0519e-05i,0.00019126+4.4196e-05i,-0.00022175+0.00023007i,-0.00031155-0.00031621i,-0.00031407-0.0010607i
0.0017234+0.00083743i,0.0010868+0.00048407i,0.00057508-0.0020606i,0.00042791-0.0025147i,0.00011245-0.00056018i,9.1603e-05-0.00014869i,0.00027155-0.0008581i,0.00038673-0.00071138i,3.7935e-05-0.00043969i,-0.00027559-0.00053279i,-0.00047925-0.00066982i,-0.00029233+5.9659e-05i,0.00015854+0.00028496i,3.058e-05+1.7281e-05i,-0.00022754+0.00047908i,-5.9664e-05+2.5658e-06i,0.00061265-0.00099827i,0.00060131-0.00066854i,0.00014827+0.00043065i,-0.00013656+0.0014017i,-0.00083939+0.0010095i,-0.00098884+0.00011218i,-0.00059958-4.6865e-05i
-0.00066525+0.0023426i,-0.00065429+0.0016716i,-0.00028001+0.002249i,-0.0016112+0.0021434i,-0.0018888+0.001087i,-0.00050484-9.8286e-05i,-0.0003803-0.00099617i,-0.00064198-0.0011206i,-0.00070511-0.00054139i,0.000258+0.00057042i,0.00065399+0.00078972i,-2.0927e-05-0.0001515i,-0.00048863-0.0010721i,-0.0006639-0.0010906i,-0.0010442-0.00081293i,-0.00088783-0.00083677i,-0.00059589-0.00066022i,-0.00011606-0.00052339i,0.0004188-0.0002135i,0.0010017+0.00024794i,0.00077023+0.00046791i,-0.00026111+0.00012641i,-0.00025447-0.0004777i
-0.00080356-0.00048804i,8.2999e-05-0.0013317i,-0.00028385-0.0019548i,-0.00043714-0.0018166i,-9.99e-05-0.00083537i,-0.00035446-0.00041304i,-0.00033959-0.00060724i,-0.00041533-0.0015805i,0.00020722-0.0011529i,0.00035704-0.00055489i,-0.0003687-0.00033087i,0.00033749+0.00021599i,0.00056435+0.00087545i,-0.00019429+0.0010906i,9.3399e-05+0.00083651i,0.00046294+0.00061983i,0.00019923+0.00066693i,0.00046211+0.00031009i,0.00063408+0.00033703i,0.00032722+0.0002926i,0.00084162-0.00071536i,0.00075824-0.00049947i,-1.8988e-05-0.00027853i
-0.0004677+0.0002981i,-0.00014321-1.615e-05i,-0.00028096-0.00012438i,-0.0012635-0.00011287i,-0.001751+2.82e-05i,-0.00048381-0.00031914i,0.00017579-0.00051032i,-0.00022816+9.4471e-05i,-0.00059694-0.00031167i,-0.00066407-0.0010312i,-0.00065814-0.00074424i,-0.00064309-0.0011515i,-0.00029002-0.0007724i,0.00021154-0.00057309i,0.00076726-0.00046374i,0.00047737+4.0203e-05i,0.00014978+6.3768e-05i,0.00042933+0.00021168i,0.00031126-7.0084e-05i,-0.00011316-0.00058867i,9.5664e-05+1.5061e-05i,0.00028149+0.00023273i,0.00037494-0.00042428i
0.0011205-0.00050569i,0.0015549-0.0016006i,0.0002677-0.003164i,-0.0011727-0.0033203i,-0.0010135-0.0012622i,-0.00015717-0.00046581i,0.0010404-0.00152i,0.00092331-0.0012996i,-0.00019313-0.00043141i,-0.00085434+0.00017158i,-0.00068678-2.1223e-05i,0.00026678+0.00012544i,0.00036201+0.00058616i,-0.0003042-0.00032228i,-0.00018732-0.00071418i,-6.1506e-05-0.00038584i,-0.00012805+4.0283e-05i,0.00016477+0.00044864i,0.00046255+0.00024158i,0.0002622+0.00027449i,9.7454e-05+8.9677e-05i,-0.00015275-0.00025007i,0.00012227-0.00052303i
-0.0010156+0.001779i,-0.0012167+0.0013099i,0.00097667+0.00077915i,0.00093428+0.00032641i,-0.00094415-0.00012296i,-0.00148-0.00023377i,-0.00090937-0.00079775i,-0.00049433-0.0009613i,-7.3351e-06-0.00055882i,0.00074856-0.00078427i,0.00040229-0.0001321i,0.00027415+0.00095552i,0.0005973+7.0313e-05i,0.00052026-0.00074923i,-0.00010915-0.00056498i,0.00014101-0.00044331i,0.00010929-0.00025573i,-0.00060541-0.00025094i,-0.00045254-0.00086278i,0.00010503-0.00037414i,-0.00016195+0.00038833i,-0.00034734+0.00013439i,2.5017e-05-8.8678e-05i
0.00065313-0.0022185i,0.00035271-0.003109i,-0.00026176-0.0031624i,-0.0017179-0.0026672i,-0.0026783-0.001771i,-0.0019562-0.00047859i,-0.00016426-0.00085412i,-8.9316e-05-0.0014776i,2.9082e-05-0.0010376i,0.00057876-0.00027009i,-0.00035455-0.00041919i,-0.00066535-6.7973e-05i,8.0408e-05+0.0010387i,0.00065605+0.0011314i,0.00037356+9.5857e-05i,-0.00027886-0.0010767i,-0.0006678-0.00054222i,-0.00077542+0.00024418i,-0.00070452-0.00031951i,-0.00087379-0.00037178i,-0.00050069-0.00020137i,0.00044961+0.00075699i,-3.0858e-05+0.0010219i
0.00063687+0.0013649i,0.00062395+0.0016863i,0.0012097+0.0020125i,0.00098039+0.001687i,0.00028948+0.0015973i,0.00043573+0.00050273i,0.0008994-0.00062709i,0.00054662-0.00081516i,-1.2889e-05-0.00033571i,-0.00011663+0.00056784i,-0.0004216+0.0013986i,-0.00051691+0.0015185i,-0.00043502+0.00086396i,-0.00061737+0.00031666i,-0.0011251+3.0601e-05i,-0.00081355+0.00018152i,-0.00036618+0.00012361i,-0.00041289-0.00035322i,-6.4804e-05+8.4268e-05i,-0.00022785+0.00044744i,-0.00028259+0.00025278i,0.00066915+7.5881e-05i,0.0012012+8.4342e-05i
0.0019051+0.0015927i,0.0013157+0.0010606i,0.0012697-0.00021779i,-0.00010246-0.0015654i,-0.0016381-0.001848i,-0.0020114-0.0014311i,-0.0008613-0.00096118i,-0.0015113-0.00066097i,-0.002188-0.00063951i,-0.0012215-0.0010577i,-0.00014987-0.0013908i,0.00035318-0.00071578i,-6.8396e-05-0.00068766i,-0.0008146-0.00050781i,-0.00093685+0.00019742i,-0.0004163+0.00098954i,-0.00082098+0.00075586i,-0.00092865+0.00079677i,-0.00027228+0.0012993i,4.3756e-05+0.0011124i,-0.00018945+0.00083803i,-0.00089694+0.00099532i,-0.00081764+0.00041545i
-0.0027383+0.0003641i,-0.0018069-0.00064711i,-0.0012293-0.00040087i,-0.00020962-2.1017e-05i,0.00064796+0.000529i,0.00099179+0.00051157i,0.00014281-0.00095542i,-0.00049767-0.0011293i,-0.00038216-0.00053608i,-0.00055692-0.00013179i,-0.00031289+0.00023726i,0.0002774+0.00057129i,0.00071263+0.00040471i,0.0004548-0.00053081i,-0.00038141-0.0004606i,-0.00092306+0.00022288i,-0.00063947+0.00096927i,5.4833e-05+0.0014184i,0.00040047+0.00048437i,0.00051721+9.638e-05i,-0.00013674-4.2167e-05i,-0.00094932-0.00025956i,-0.0010473+4.2635e-05i
