-0.000941-0.0016659i,-0.0021281-0.00058505i,-0.00090538+0.0011801i,0.00010799+0.0017409i,0.00073209+0.0018617i,0.00094058+0.0019107i,0.00077818+0.00088628i,0.00074427-0.00026898i,0.00073346-0.00055989i,-6.5137e-05-0.00063205i,-0.00077571-0.00039423i,-0.0004806-0.00050679i,1.3813e-05-0.00061766i,-0.00046615-0.00024387i,-0.0001878-0.00043456i,0.00058364-0.00036684i,0.00077356-0.0001133i,0.00024071+0.00033904i,-0.00014317+0.00017089i,-0.00035219-0.0006696i,-0.00017962-0.00048907i,1.4483e-05+0.00026884i,-0.00026795+0.00039126i
0.00084955-0.0015629i,-0.00016115-0.0028977i,-0.0007574-0.0025529i,-0.00044242-0.00055994i,0.00042118+0.00088453i,0.00062435+0.0005185i,0.00046144-0.00038697i,0.00067994-0.00060468i,0.0011708-0.00089186i,0.00055676-0.0015815i,0.00030612-0.001557i,0.00087362-0.00043483i,0.0005429+0.00038553i,0.00037212+0.00037539i,0.00065686-0.00032796i,0.00056934-0.00055346i,0.00066877-0.00041573i,0.00039042-0.00028631i,0.00026218+3.2905e-05i,0.00010551+0.00032058i,-0.00044406-0.00028155i,-3.7089e-05-0.00065597i,-0.00058047-9.1847e-05i
0.0014462-0.00030033i,0.00077308+0.00021086i,-0.00051178+0.0013567i,-0.00035916+0.0019163i,0.00029263+0.0014021i,-0.00010393+0.00037129i,0.000616-0.00063909i,0.0016886-0.00072263i,0.001871-0.0010748i,0.0012129-0.00081944i,0.00034861-1.4707e-05i,-0.00012261+0.00037426i,0.00021505+0.0010216i,0.00051569+0.0017332i,0.00067975+0.0014827i,0.00046109+0.00071325i,0.00016417+0.00036802i,0.00035094-8.0151e-05i,0.00034143-0.0002241i,0.00031242+0.00025527i,0.00067732-2.6182e-05i,0.00079233-0.00076144i,-7.3107e-05-9.6989e-05i
-0.00039007-0.00087865i,-0.0014784-0.00051328i,-0.0019857-0.00079932i,-0.0016488-0.00067594i,-0.0010215-0.00031856i,0.00024257-0.00030413i,0.0013029-0.00055835i,0.0019366-0.00039529i,0.00074561+0.00013314i,-0.00035078+0.000528i,-0.00042685+0.0010422i,-0.00049325+0.00097716i,-0.00064898+0.00040131i,-1.8161e-06-3.7058e-05i,0.0007144-0.00026241i,0.00072677-0.00067167i,0.00027866-0.00094286i,-0.00078399-0.0004193i,-0.00030326-0.00015279i,0.0010845-0.00071054i,0.00067685-0.00042599i,0.00052474+0.00037506i,0.00068484+0.0005942i
-0.0019677-0.00011297i,-0.0017487-0.00078877i,-0.00062911-7.4163e-05i,0.00012012+0.0014791i,4.0786e-05+0.0017656i,0.00057262+0.00084684i,0.0013582+0.00054082i,0.0018179+0.00059087i,0.0018823+0.00072302i,0.00090862+0.00072528i,-0.00035338+0.00055689i,-0.00054688+0.00013711i,0.00044031+0.00029677i,0.00071267+0.00087496i,0.00042738+0.00040016i,0.0005324+0.00059211i,1.8172e-05+0.0008464i,-0.0002793+0.00043443i,0.00063343+0.00028925i,0.0010666+0.00033065i,0.00075189-0.00023861i,0.00014123-0.0001293i,-0.00022057+0.0010282i
-0.0019862-0.0011633i,-0.0007467-0.0011237i,-0.00014989+0.00020883i,-9.1069e-05+0.00079839i,-0.00031166+0.00015799i,0.00060901-7.5866e-06i,0.001321+0.00017105i,0.0013187-0.00039507i,0.0015186-0.0012892i,0.0010979-0.0011005i,0.00019996-0.0005182i,-0.00056984-0.00029656i,-0.00017603-0.00064856i,0.0003246-0.00091502i,-0.00031847-0.0004891i,-0.00043559-0.00039481i,-0.00044994-0.0004957i,-0.00045934-0.00074351i,0.00024935+8.6624e-05i,0.00012161+0.00055509i,0.00021299+7.4577e-05i,0.00083685-0.0001305i,0.0013313+0.00019062i
0.00099164-0.00070136i,-0.00039529-0.00069274i,-0.00068261-0.0010299i,-0.00024864-0.0010125i,-0.000212-0.00095912i,-0.00036035+0.00037176i,-0.00061637+0.00126i,7.2391e-05+0.0006276i,0.00085293-0.00069125i,0.0006872-0.0009333i,0.00012235+0.00018711i,-0.00018832+0.0011103i,-0.00048247+0.0010011i,-0.00057669+0.00068248i,-0.00082432+0.0010039i,-0.00043845+0.0012265i,0.00012714+0.0011313i,2.8578e-05+0.00082568i,-0.0001768+0.00050168i,-0.00030399-0.00025039i,-0.00015067-0.00068078i,-0.00070576-6.151e-05i,-0.00063855+0.00038835i
0.00099091-0.00085429i,0.00014907-0.00044431i,-7.371e-05-0.00035157i,-0.00083367-0.00035358i,-0.00089606+0.00020154i,-0.00044067+0.00067081i,-0.00018144-0.00013602i,0.00089228-0.0006762i,0.0014617-0.00058293i,0.0014399-0.00093412i,0.00023339-0.00048884i,-0.00077752+0.00024022i,-0.00076893+0.00092408i,-0.00019052+0.00074141i,0.00012645+0.00048817i,-0.00010666+0.00046244i,-0.00059107-0.00010416i,-0.00033345-0.00065362i,-0.00011226-0.00073745i,-0.00016394-0.00059101i,5.0865e-05-0.00025835i,6.337e-05+0.00032665i,-3.6024e-05+0.00019958i
0.00065583+0.00048656i,-0.00024947-0.00073144i,-0.00028801-0.0010167i,-7.7325e-05-0.0010329i,0.00036638-0.0014954i,0.00059508-0.0013472i,0.00046919-0.00052497i,0.00084981-0.00085694i,0.00092063-0.0014066i,0.00022123-0.0014236i,-0.00026437-0.00045943i,1.6718e-05+0.00029164i,0.00024208+0.00031605i,-4.9084e-05+0.00016676i,0.00045943+0.00035617i,0.00046502+0.00024884i,-0.00077303-2.5322e-05i,-0.0010211-9.6801e-05i,-9.9401e-05-8.5789e-05i,0.00062209+0.00079379i,0.00057543+0.00089014i,0.00036687+0.00058295i,4.7815e-05+0.00072095i
0.00051221-0.0008431i,0.00066935-0.001087i,0.00085986-4.5764e-05i,0.00078863-0.0001964i,0.00036835-0.00068938i,-0.00027281-0.00087491i,-1.3009e-05-0.00017112i,0.00044487+0.00041232i,0.00086393+7.3793e-05i,0.0013458-0.00010001i,0.0010936-0.00026862i,7.3943e-05+0.0002263i,-0.00074858+0.0011005i,-0.00086555+0.00046657i,-0.00041408-0.00046517i,6.7806e-06-0.0004927i,-0.00049286-1.427e-05i,-0.00077249+0.00077947i,-0.00043328+0.00087555i,-0.00032053+0.0010013i,-0.00028556+0.0012068i,0.00012012+0.0010969i,0.00064483+0.00035782i
