-0.00018209-0.00084829i,0.00068913-0.0010209i,-0.00010526-0.00081432i,-0.00081672+0.00048194i,-0.00084084+0.0011553i,-0.00069701+0.0014429i,-0.00024882+0.0007073i,0.00078015+0.00017393i,0.0013046+3.6741e-05i,0.00045+0.00022067i,-0.00025336-0.00028129i,0.00037395-0.0008951i,9.4265e-05-0.00054531i,-0.00045276-0.00040722i,-1.7805e-05-7.1525e-05i,0.0002529+0.00033299i,0.00054445+0.00034319i,0.00074352+0.00059373i,0.00010734+0.0002505i,5.9121e-05-0.00014841i,0.00032585+0.00019655i,7.3748e-05+4.4878e-05i,-7.3455e-05+0.00042397i
0.00045649+0.00055284i,0.00011155+0.00030393i,-0.00064118-5.5141e-07i,-0.00028928+4.9537e-05i,-0.00028815+7.6381e-05i,-0.0003013-0.00033899i,0.00016219-0.00036162i,0.00012368-0.00047232i,0.0009792-0.00087835i,0.0011904-0.00058155i,9.7482e-05+4.6792e-05i,-0.00031842+0.00012821i,-0.00010109+0.00060973i,-0.00038513+0.00061009i,-0.00088403+0.00023593i,-0.00050676-0.00011515i,0.00017085-0.00021123i,0.0001391+0.000121i,0.00055174-0.00024174i,0.00077356-0.0011268i,0.00041817-0.00090647i,0.00032755-0.00026779i,0.00078933-0.00047078i
0.0016043-0.0010974i,0.0020746-0.00012166i,0.0022034-0.00016521i,0.001539-0.00084157i,0.0011324-0.00089044i,0.00031065-0.00077277i,0.00012248-0.00049645i,0.00056633-6.3448e-05i,0.001278-0.00018127i,0.0010026+1.74e-05i,9.8641e-05-0.00013546i,-0.0007286-0.00030184i,-0.00076675-0.00015907i,-0.00037168+0.00070318i,-0.00033409+0.0010177i,3.5243e-05+5.6745e-05i,-0.00030796-0.00054602i,-0.00076477-0.00048249i,-0.00022965-0.00034982i,-0.00021007-9.4646e-05i,-0.00023908+0.00081883i,-0.00056358+0.00089707i,-0.00045549-3.5121e-05i
0.00053308+0.0011387i,0.00051733+0.0020215i,0.00085118+0.0024246i,0.00093921+0.0013972i,0.00051426+0.00083482i,0.00042726+0.00031828i,0.00023443-0.00088121i,0.00016648-0.001231i,0.000387-0.00097176i,0.0006095-0.0004524i,0.00045631+7.3081e-05i,0.00033515+0.00016666i,0.00023678+0.00027089i,-0.00013072-0.00071962i,-0.00014299-0.0013007i,-4.3247e-05-0.00023888i,-0.0004284+0.00020556i,-0.001048-3.1711e-05i,-0.00062798-0.00030977i,0.00024733-0.00069176i,0.00044983-0.00036609i,0.00076214-0.00027191i,0.00052526-0.00034947i
-0.00051695+0.00024026i,-0.0017304-5.0852e-05i,-0.0023761-0.0002975i,-0.0010728+0.00073053i,-0.00051553+0.00091514i,0.00022027+0.00036455i,0.0010767+4.171e-05i,0.0012141-0.00024076i,0.00094818-0.00060843i,1.9125e-05+3.0644e-05i,9.7812e-05+0.0001599i,0.00061374-0.0001836i,-7.904e-05-0.00050099i,-0.00017347-0.0008018i,-0.00019979-0.00012259i,-0.00052943+0.00022411i,-0.00024803+0.00017176i,0.00015741+0.00027797i,0.00011104+0.00020718i,-1.1678e-05-0.00067363i,-7.7912e-05-0.0009909i,-0.00011918-0.0004855i,-0.00020923-0.00038837i
-0.00091034-0.0011515i,-0.0016868-0.0014577i,-0.0020395-0.0022022i,-0.0018684-0.0014391i,-0.0012394+1.9617e-05i,-0.00032226+0.00014741i,0.00082288-0.00046821i,0.0011042-0.00056903i,0.0009089-0.00062202i,0.00043856-0.00070809i,-0.00032586-0.00013945i,-0.00038945+3.0152e-05i,0.00042696-0.00043084i,0.00064515-0.0004012i,-0.00018512+0.00023925i,-0.00054084+0.00024728i,-0.00065329+0.00067593i,-0.00048851+0.00036845i,0.00026835-0.00021186i,0.00090301-0.00012713i,0.00048204-0.0004664i,0.00019027-0.00050734i,0.00042893+0.00033275i
0.00091572-0.00072636i,0.0016358-0.0018388i,0.0012069-0.0018014i,-0.00039813-0.00031697i,-9.6688e-05+0.00090604i,6.4124e-05+0.00036518i,-7.0428e-05-0.0004181i,0.00018921+0.00017288i,0.00037907+9.225e-05i,0.00072351-0.0011195i,0.00033973-0.0012422i,-0.00065996-4.3926e-05i,-0.0011348+0.00045846i,-0.00052385+0.00018128i,-0.00019996+0.00029889i,-0.00011274-9.6994e-05i,-0.00024015-0.00026701i,-0.00075296-0.0005166i,-0.00058075-0.00072156i,-0.00016116-0.00029988i,-0.00058975-0.00038255i,-0.0008468-0.00029958i,-0.00076796+0.00025004i
-0.001033+0.0012011i,0.00037563+0.0017683i,0.00028747+0.0029061i,0.00077602+0.0026184i,0.0017652+0.0010852i,0.0022116-0.00055091i,0.0010738-0.0010804i,-7.3916e-05-0.00066721i,-0.00026362-0.00053132i,-0.0003545+4.7185e-05i,-0.0004419+0.00039404i,-2.5059e-05-6.3341e-05i,0.00083964-0.00060024i,0.00081536-5.249e-05i,2.345e-05+0.00029536i,9.1832e-05+0.00050659i,0.00012738+0.00056052i,-0.00027167+0.00074072i,-0.00084924+0.00090351i,-0.00086184+1.3386e-05i,-0.00033835-0.00050965i,-8.6131e-05-0.0001766i,0.00031816-8.1593e-05i
0.0005891-0.0010196i,4.9493e-06-0.00030224i,-0.00034035-0.00039297i,-0.00097394-0.00012906i,-0.0012816+0.00076915i,-5.828e-05+0.00061054i,1.8343e-05+0.00023538i,-0.00016901+0.00031734i,0.0003085-0.00016075i,-0.00054536-0.00098014i,-8.9385e-05-0.0010347i,0.00062434-0.00023165i,0.00012323+0.0004463i,-0.00038125+0.00063865i,-0.00052614+0.00067587i,0.00020543+0.00070357i,-1.1074e-05+0.00079786i,-0.00061476+0.0004799i,-0.00061345+5.0896e-05i,-0.00019133+0.00055842i,0.00032804+0.00086306i,0.00030746+0.00042882i,-0.00011051+0.00020427i
0.0001636-0.00033285i,0.00028215-0.00085861i,0.00016852-0.00091924i,0.00063758-0.00058978i,7.6802e-06+0.00027896i,-6.606e-05+0.00095658i,0.00055069+0.00055329i,0.00072699-0.00028794i,0.00074429-0.00090463i,0.00031747-0.00054935i,-9.7376e-05-0.00026282i,-0.00085185-0.00037356i,-0.0013051+0.0001835i,-0.0013275+0.00095856i,-0.001415+0.00084958i,-0.001288+0.00031379i,-0.0011751-0.00062919i,-0.00060327-0.00088853i,-0.00031482+0.00041478i,-0.0009533+0.0011472i,-0.00087456+0.0005942i,3.3054e-05+0.00022807i,-4.1772e-05+0.0007072i
-0.00049721-0.00052467i,-0.00070217+0.00014647i,-0.0013922-0.0003881i,-0.0013059+7.7774e-05i,-0.00087106+0.0012569i,0.00047124+0.0017567i,0.0018084+0.00076299i,0.0015482-0.00022889i,0.00080089-0.00017822i,0.00077238+0.00042593i,0.00066+0.00021018i,9.8121e-05-0.00042532i,-0.00032956-0.00042779i,0.00018756-0.00035524i,0.00051052-0.00017777i,0.00031565-0.00052804i,-2.3511e-05-0.00074798i,-0.00027841-0.00028528i,-0.00022475+0.00016841i,3.7547e-05+0.00048084i,-0.00013498+0.00025541i,-0.00015101-0.00049758i,0.00029953-0.00053061i
-0.0016184-0.0009307i,-0.0013426-0.0012578i,-0.00035618-0.0017414i,0.00017278-0.00075251i,0.00050322+0.00024287i,0.0011447-0.00032826i,0.00084105-0.0010088i,0.00020892-0.0012201i,0.0012863-0.00067046i,0.0011112+0.00025895i,7.3408e-05+4.5093e-05i,0.0007305-0.0005604i,0.00093587-0.00025988i,0.00054879-0.00018021i,1.0604e-05+1.7299e-05i,-0.00027265+0.00058072i,-0.00062917+0.00078757i,-0.0010073+6.5346e-05i,-0.00070454-0.0005547i,-0.00049629-0.00036597i,-0.00043182-0.00025352i,2.97e-05+3.0449e-05i,0.00020095+0.00035025i
0.0011201-0.0006436i,0.0014378-0.0016102i,0.0018834-0.0018764i,0.00050525-0.0014313i,-0.001458-0.00089415i,-0.0014203-0.00078581i,-0.00025887-0.00088037i,0.00013545-0.00043832i,0.00029494+7.323e-05i,6.4053e-05-0.00085644i,6.0741e-06-0.0011091i,-0.00029239+0.00020896i,-0.00031346+0.00079349i,4.7594e-05+0.00095884i,-0.00024892+0.00056657i,2.6349e-05+0.0003923i,0.00019149+0.0005079i,0.00023776-9.2796e-05i,0.00011728-0.00068452i,-0.00038522-0.00079421i,8.4057e-05-0.00058972i,0.00026825-3.7608e-06i,0.00037084+0.00054361i
0.00069645+0.00086568i,0.0022902+0.0017188i,0.001626+0.0019301i,0.0003129+0.0011802i,0.00069649+0.0014736i,0.0010724+0.0012722i,0.00089274+0.00011403i,0.0010896-0.00032932i,0.0013015-0.00052888i,0.001599+1.4657e-05i,0.00042149+0.001076i,-0.0014222+0.0015079i,-0.0017308+0.0013279i,-0.0011715+0.00040667i,-0.00082038-0.00029631i,-0.00084994-0.00023818i,-0.00013531-6.8114e-05i,3.9019e-05+0.00064989i,0.00023971+0.00052768i,0.00057494-0.00024463i,1.8379e-05-0.00049255i,0.00023534+2.9662e-05i,0.00031227+0.00053514i
0.00033441+0.0024129i,-0.00084939+0.0030861i,-0.0010512+0.0027042i,0.00021182+0.00026335i,0.0012157-0.0013622i,0.0018363-0.00090014i,0.0012856-0.00051148i,0.00047145-0.00024476i,0.00038719+0.0005431i,0.00078754+0.00036751i,0.00026762-0.00032529i,-0.00029933-0.00091095i,0.00024237-0.0010031i,0.0011126-0.00028226i,0.00090331+0.00043426i,0.00043612+0.00017022i,0.00045134-0.00072647i,0.00060819-0.00075934i,0.00085679+0.00015216i,0.00045409+0.00065852i,-0.00011684+0.00029931i,-0.00064858-0.0003121i,-0.0010663-0.00024367i
-0.002226-0.00026309i,-0.002494-0.0010683i,-0.0010629-0.00098714i,0.00030646-0.00032598i,0.00035841-0.00047239i,0.00085945-0.0013134i,0.0017239-0.0012845i,0.0010951-0.0011238i,0.00057984-0.001405i,0.00010079-0.0013273i,-0.00019476-0.00071402i,-0.00012147-0.00045975i,-0.00026157-0.00023714i,-0.00037234+4.3698e-05i,-0.00024222+1.8529e-05i,-0.00024759+0.0002763i,-0.00041578+0.00063792i,-0.00055325+0.00021601i,-0.0012006-0.00042863i,-0.0010939-0.00062014i,-3.4425e-05-0.00035947i,0.00030382-0.00041966i,0.0002722-0.00010014i
-0.00025465-0.0012915i,-0.00040545-0.002627i,3.4235e-05-0.0021378i,2.4276e-05-0.00074661i,0.0004537-0.00055449i,0.0018-0.00062436i,0.0013303+0.00020682i,0.00055168-0.00019422i,0.00059817-0.0010106i,0.0004357-0.000262i,-0.00040999-0.00013559i,6.0356e-05-0.00065079i,0.00060986-0.00047268i,0.00043092-0.00028902i,0.00020966+0.00011272i,-0.0004079+0.00076698i,-0.00026559+0.00012853i,0.00015326-0.00064518i,-7.2795e-05-0.00078234i,0.00032143-0.00095983i,0.00040506-0.00010445i,-8.4981e-05+0.00033616i,0.00021228+0.00020234i
0.0010499+0.00029539i,0.00021347-0.00027143i,-0.00063496-0.00035365i,0.000273-0.00037731i,0.001316-3.8544e-05i,0.0016278-0.00024772i,0.0011781+0.00014749i,0.0014547+0.00038993i,0.0015366-0.00015029i,0.00082163-0.00054282i,0.00045753-0.00061666i,0.00032593-0.0010184i,-0.00059842-0.0007797i,-0.0018859-4.1922e-05i,-0.0018378+0.00046443i,-0.0012604+0.00021262i,-0.00094178-0.00092818i,-0.00047437-0.0011534i,1.2528e-05-0.00061696i,5.8011e-06-0.00056039i,-0.00014498-0.00019934i,-0.00047607+8.7604e-05i,-0.00041846+0.0001299i
0.00027503+0.00012301i,0.00073804-0.0010766i,0.00072207-0.0015963i,0.00040706-0.00083936i,6.5954e-05-0.00076246i,0.00079975-0.00040382i,0.00085155-0.00036802i,0.00048934-0.00092982i,0.00071114-0.00085343i,0.00027829-0.0010281i,4.0988e-05-0.0011171i,0.00017166-0.00067512i,-0.00026606-0.00066393i,-0.00045243-0.00077925i,-0.00077729-0.0008101i,-0.00078883-0.00039819i,-0.00065836+0.00018268i,-0.00053196+0.0001205i,0.00012569+0.00011663i,0.00021944-0.00011742i,9.9204e-05+0.00015994i,0.00079213+0.00089202i,0.0011914+0.00082192i
-0.00015463-0.0011289i,0.0005068-0.00092433i,0.00082362-0.0010772i,-0.0003338-0.00073531i,-0.00048732-2.3454e-05i,0.00015378+0.00092537i,0.00079497+0.00036404i,0.00099669-0.00084879i,4.7848e-05-0.0013127i,-0.0007482-0.0012733i,-0.00029219-0.00046886i,0.00047471+0.00029573i,0.00061156+0.00063313i,0.00043162+0.00056628i,0.00015505+1.0022e-05i,0.00050775-0.00019289i,0.00086465-0.00039002i,0.00070928-0.00058522i,0.00029157+4.8278e-05i,0.00035615+4.8561e-05i,0.00067628-0.0004394i,0.00016229-0.0004591i,0.00018442-0.00012456i
-0.0004926-0.00019813i,-0.00042288+0.00057358i,-0.00046341+0.0011213i,0.00034195+0.001665i,0.00060358+0.0023787i,0.00072844+0.0024367i,0.00081019+0.00099986i,0.0005318-0.00032898i,0.00049335-0.00091379i,-0.00027606-0.00089084i,-0.00064815-0.00051273i,-3.487e-05-0.00031725i,0.0006989+5.9976e-06i,0.00055721+0.00019349i,-0.00046753+0.00026681i,-0.0003798+0.00042477i,0.00031016+0.0002053i,-0.00022843-0.00038153i,-0.00034461-0.00039633i,0.00024814-0.00035004i,7.7585e-05-0.0009623i,-7.4533e-05-0.00028837i,0.00038388+4.3823e-06i
-0.00080613+0.00087498i,-0.0020538-0.00059928i,-0.0015361-0.00071232i,-0.00035466-0.00023848i,0.0008374-8.5124e-05i,0.0012657-0.00011799i,0.00063998-0.00047451i,0.00050026-0.00014415i,0.00090067+0.00012233i,0.0011534-0.00026729i,0.00062436-0.00026858i,6.9595e-05-7.3814e-05i,-0.00097623-0.00032086i,-0.0011626-0.0004564i,-0.00038059-0.00030942i,-0.00014865-0.00021027i,-0.0009148-0.0007972i,-0.00071338-0.0013925i,0.00017913-0.00047294i,3.7305e-05-1.755e-05i,0.00010641+5.0711e-05i,0.00030083+0.00032357i,0.00035279+0.00029791i
-0.0011763-0.0014698i,-0.0012605-0.0015289i,-0.00051701-0.0001888i,-0.00042453+0.00048221i,-0.00039404-6.6848e-05i,0.00072648-0.00023992i,0.0010422+0.0002655i,0.00053646-0.00016597i,0.00037009-0.001387i,0.00051171-0.0014855i,-9.98e-05+5.9073e-05i,-0.00091691+0.00069153i,-0.00014368-3.3686e-05i,0.00083478-0.00075683i,0.0009533-0.00085203i,0.00049428-0.00042502i,-0.00012229+0.00043649i,-0.00015722+0.00039666i,0.00046174+0.00036117i,0.00066266+0.00037258i,0.00028039+0.00030481i,-1.5628e-06+0.00039339i,-0.00025826+0.00024782i
0.0014998-0.00086654i,0.0011665-0.0012008i,-0.00036625-0.0014921i,-0.00087854-0.0009251i,-0.0005032-1.3677e-05i,-1.4875e-06+0.00026136i,0.00063196+6.8249e-05i,0.00070326+0.0005647i,0.0011333+0.00083093i,0.0010761+0.00045114i,0.00078249+0.00011094i,0.00060849+7.9104e-05i,0.00029128-0.00020415i,0.00029843-0.00071923i,-0.00030379-0.00030787i,2.5992e-05+0.00019628i,0.00089572-3.1452e-05i,0.0009111-9.7895e-05i,0.0002116-0.00019681i,-0.00015047-0.00081657i,0.00080502-0.00087225i,0.00081341-5.9571e-05i,-4.3471e-05+0.00026158i
