0.0013237+0.0007614i,0.0015969-0.001543i,0.00038089-0.0019529i,-0.00085584-0.00145i,-0.0015532-0.00084348i,-0.00095539+0.00096182i,0.00018182+0.0025353i,0.00091183+0.0022494i,0.0013113+0.0012984i,0.00066519+0.00049768i,-1.8124e-05-0.00037714i,-8.856e-05-0.0005599i,-0.00067177+0.00077332i,-0.00072987+0.0013237i,0.00015685+0.00036963i,0.00014615-8.9358e-05i,0.00013323+0.00032601i,0.00030222+0.00054114i,0.00042538+0.00069676i,0.00031282+0.00054069i,0.00046835-0.00019354i,0.00065608-0.00043444i,0.00021967-0.00014371i
0.00022574+0.0013168i,0.00045851+0.0009485i,0.00013155+0.00097829i,0.00046915+7.2907e-05i,0.00088113-0.00065786i,0.00084501-0.00025889i,0.00065253+0.00020968i,0.00061367-0.00020654i,0.00056937-0.00081062i,0.0002806-0.00019072i,-4.2962e-05+0.00057975i,4.4009e-05+0.00070112i,-0.00080559+0.0010384i,-0.00098864+0.00026334i,0.0001885-0.00099012i,0.00065358-0.00058906i,0.00083085+0.00027865i,0.00024133+0.00037635i,0.0004114-0.00027555i,0.00014336-0.00033247i,-0.00069947+7.0107e-05i,-0.00070888-0.00020433i,-0.00043725-0.00073214i
0.00091943-0.0018817i,0.00045087-0.0018975i,0.00084401-0.0015701i,0.0014917-0.0020256i,0.0010993-0.0018693i,-0.00028718-2.9289e-05i,-0.00053013+0.0013167i,1.6772e-05+0.0011922i,8.2607e-05+0.00051048i,-0.00029796+0.00047992i,-0.0005553+0.00022998i,-0.00036921+0.00012798i,0.00027673+0.00062424i,0.00017114+0.0010973i,-0.00068379+0.00049974i,-0.0011394-0.00027447i,-0.0010627+0.00025931i,-0.00072057-9.2281e-05i,-8.4396e-05-0.0010045i,0.00010765-0.0011805i,0.00025683-0.0009585i,3.651e-05-2.0657e-05i,-0.00025221-0.00037549i
0.00038536-0.0017121i,0.00052668-0.0012556i,0.00061981-0.00054856i,0.00066729-0.00020963i,0.00021415-0.00026514i,-0.00019773+8.2728e-05i,-0.00035506+0.0014967i,-0.00019604+0.00098155i,-5.0486e-05-0.00010486i,0.00018597+8.7456e-05i,-0.00024689+0.00013512i,-3.497e-05+0.00020279i,-0.0001071+0.0001019i,-0.00039862+0.00013191i,-0.00031236+0.00032738i,-0.00080972+0.00034587i,-0.00068492+0.0004077i,-6.8704e-05+0.00084427i,-0.00022698+9.4549e-05i,-0.00025582-0.00087249i,0.00021564-0.00088181i,0.00013811-0.00075998i,8.4249e-05-0.00055171i
0.00080962+0.00086847i,0.00055858+0.00084255i,0.00088737+0.0011832i,0.0012548+0.0011621i,0.0012753+0.00055697i,0.0010689+0.00023601i,0.00081581+0.00056351i,0.00063188+4.1793e-05i,0.00077185-0.00028389i,0.00063277+0.00065642i,5.4304e-05+0.00080438i,-0.00038785+7.8097e-06i,-0.00034917+0.00035112i,-0.00030947+0.00020538i,0.00014252-0.00059858i,0.00036078-1.852e-06i,0.00031312+0.00050982i,0.0005879-0.0002042i,0.0010374-0.00087372i,0.00098218-0.0012804i,0.00042689-0.0010401i,0.00035146-0.00015947i,0.00019448+0.00033227i
-0.00075038+0.00034268i,-0.00066403-0.0005963i,0.00010527-7.629e-05i,0.00098547+0.00045663i,0.00063656+0.00090894i,0.00055143+0.00084694i,0.00081427+0.0010145i,0.00068359+0.0010613i,0.00091444+0.00022843i,0.00059048+5.6794e-05i,0.00010175+0.00017864i,2.7038e-05+0.00029475i,-0.00063162+0.00021865i,-0.00066082+6.2738e-05i,-7.4575e-05-0.00012653i,-9.579e-05-0.00028035i,-0.00010529-0.00036555i,-0.00031827+2.6027e-05i,-0.00067573+0.00053428i,0.00039358+0.00035299i,0.0016186+0.00065206i,0.001304+0.00093333i,0.00029534+0.00047552i
-0.00068404-0.0010175i,-0.00050684-0.001619i,-0.00064787-0.00096156i,-0.00022362+0.00017957i,-0.00032019+0.00077384i,-0.00038628+0.0008796i,9.498e-05+0.00046436i,0.00012073+0.00017355i,-0.00036652+0.0010538i,-0.00098821+0.00082376i,-0.00054558+0.00036262i,0.00020492+0.00059456i,0.00097735+0.00047376i,0.00088884+0.00039701i,0.00088906-0.00075647i,0.00080801-0.0010223i,-0.00018865-8.6477e-05i,-0.00033657+6.7301e-05i,6.6967e-05-0.00029844i,-9.4148e-06-0.00066857i,-0.00051236-0.00064178i,-0.00010235-0.00067008i,0.00052472-0.00051329i
0.00024665-0.0002161i,0.00053134-0.000614i,0.00080724-0.00060103i,0.00098487-0.00068685i,0.0013288-0.0005738i,0.00051279+0.00049318i,0.0010063+0.0013515i,0.0021602+0.00081758i,0.0011844-0.0002343i,0.00018555-0.0012068i,0.00031431-0.0009783i,0.0009007-0.00034691i,0.00064769-0.00040363i,-0.00012401-9.4712e-05i,-0.00010087+9.0019e-05i,0.00040477-0.00024813i,0.0002006+0.00040718i,-0.00032201+0.00047451i,-0.00046902+0.00048633i,-0.00078194+0.00095426i,-0.00037798+0.0007463i,0.0001406+1.0994e-05i,0.00051248-0.00091272i
0.00069708-0.00023462i,0.00055144-0.00019863i,0.00027213-0.00062256i,-0.00039619-0.001097i,-0.00075575-0.00084342i,-0.001127+4.9812e-05i,-0.00097578+0.001158i,-0.00033085+0.00069693i,-0.00055276-0.00027548i,-0.00043352+0.00054323i,-0.00027079+0.0010107i,-0.00060393+0.00082976i,-2.2438e-05+0.0002724i,0.00052959+0.00021799i,-4.3891e-05+0.00015965i,-0.00064223-0.0006547i,-0.00040774-0.00023165i,0.0004821+0.00056188i,0.00076213+0.0007051i,-5.7737e-05+0.00090238i,-0.0006706+0.0002516i,-0.0010874-0.00015289i,-0.0009678+1.0338e-05i
-0.0033944-0.0018736i,-0.0024721-0.00085707i,6.8702e-06+6.3778e-05i,0.00050571+0.00047986i,0.00070827+0.0006649i,0.0012671+0.0010083i,0.0012069+0.00094237i,0.0012061+7.8156e-05i,0.00048484-0.00064903i,-0.0002074-0.00035422i,-0.0004202+0.00020095i,-0.00014387+0.00046873i,0.00098326+0.00052912i,0.0010849+0.00049895i,0.00049704+0.00087015i,-1.8797e-05+0.0014161i,0.00024425+0.00078156i,0.00054226-4.4754e-05i,6.7131e-05-0.00023969i,-0.00043498-0.00024777i,-0.00081116-0.00019056i,-0.00083944+0.00020591i,-0.00040053+0.000456i
0.0011365-0.00014029i,0.0016773+0.00043724i,0.0014606+0.00097854i,0.00073497+0.00052857i,0.00066601-5.0096e-05i,0.00037186-3.8798e-05i,0.00058905+0.00028899i,0.00067663+0.00057471i,0.00047993+6.0669e-05i,0.00091664+3.3439e-05i,0.0011642-0.00043007i,0.00050119-0.00076783i,8.628e-05-0.00027311i,0.00037008-0.00024852i,0.00029339-0.00045919i,0.00029254+0.00074442i,0.00070361+0.0011912i,9.0098e-05-9.882e-05i,-0.00027702+0.00011556i,0.00041037-0.00014514i,-0.00032146-0.00080436i,-0.00085808-0.00046147i,0.00016058+0.00014207i
-0.00089609-0.0018098i,0.00030914-0.0017748i,0.00091822-0.001181i,0.00017962-0.00080266i,-0.00017008-0.00026882i,-7.7635e-05+0.0008141i,-0.00081234+0.00012725i,0.00061693-0.0010675i,0.0015078-0.00074668i,0.00029299+0.00031235i,-2.0415e-05+0.0010927i,0.00074575+0.0013619i,0.00045856+0.00031563i,0.00037651-0.00055355i,0.00040688-5.6484e-05i,-1.5215e-05+0.00035508i,-0.00065193+0.00017146i,-0.00052207-0.00032324i,-0.00013918-0.0011224i,-0.00043472-0.0014197i,-0.00081436-0.00088441i,-0.00066593-0.0006962i,9.907e-06-0.00041718i
0.0012598-0.0025181i,0.00070396-0.002489i,0.0007115-0.0022055i,0.00093471-0.001451i,5.2441e-05-2.2849e-05i,0.00018132+0.0011458i,0.00073521+0.00082507i,0.00083566+0.00043438i,0.00086353+0.0001331i,0.00067554-0.00034391i,0.0005781+7.0737e-05i,3.6856e-05+0.00018794i,-0.0008538-5.0782e-05i,-0.0012472+1.8144e-05i,-0.0013831+0.00012496i,-0.00124-0.00018478i,-0.00013992+0.00029294i,0.0005795+0.0013193i,0.00028391+0.0010921i,-0.00011745+0.00011805i,-0.000116-0.00047533i,-0.00010247-0.0010775i,-0.000264-0.0010629i
0.0021567-0.0010918i,0.0012953-0.00091182i,0.00055064-0.00094543i,0.00073017-0.00098463i,0.00019713-0.00061735i,3.2871e-06+0.00052047i,0.00025328+0.0012i,0.00043851+0.00068118i,0.00087233+4.2517e-05i,0.00048015+0.00019877i,0.00054566+0.00022439i,0.00077674-6.4719e-05i,0.00070251+0.00026348i,0.00054558+0.00046449i,0.00025437+0.00032425i,-0.00057446+0.00012342i,-0.00095952-0.00022946i,7.9846e-05+4.6041e-05i,3.464e-05+5.3366e-05i,-0.00020663-0.00059212i,7.4261e-05-0.00020086i,0.00036634+0.00041611i,0.00057282-0.00010916i
0.0020299-0.0015913i,0.00065868-0.0028406i,0.00063451-0.0023054i,0.0016554-0.0014531i,0.0013939-0.0005774i,0.00053011+0.00049704i,0.00049205+0.00063832i,0.00045195-0.00037036i,0.00037086-0.00074458i,0.00037997-0.0001528i,0.00021694-0.00018477i,0.00025393-0.00053741i,0.00027445-0.00019987i,0.00022003+0.00034508i,2.6949e-05+0.00049344i,-0.00058629+0.00069699i,-0.00084205+0.00087135i,-0.00022294+0.00063521i,0.00034996+0.00028597i,0.00036823+0.00060537i,0.00022079-5.6759e-05i,0.00032803-0.00096961i,0.00053155-0.00072947i
0.00017473+0.00061036i,1.806e-05+0.0004044i,0.00023853-7.6481e-05i,0.00050648-0.00077559i,0.00046273-0.00096852i,9.6618e-06-0.00017904i,-0.00057374+0.00051561i,-0.00045389+0.0010217i,-0.00030669+0.00094064i,-9.2183e-05+0.000355i,-4.6349e-05+0.0007843i,-5.7924e-05+0.00080201i,5.9216e-06-0.00033013i,-6.2276e-05-0.00033461i,-0.00018186+0.00066142i,-0.00069704+0.00071478i,-0.00032001+0.00050214i,0.00017595+0.00052072i,2.2843e-05+0.00063863i,1.0818e-05+0.0005743i,0.00039776-0.00032972i,0.00025336-0.00020528i,-0.00045139-8.0922e-05i
0.00020676+0.00047006i,1.0813e-05+8.0689e-05i,-0.00024742-0.0001116i,0.0014598-0.0003247i,0.0026155+0.00013923i,0.0021153+0.0010853i,0.0011265+0.0016125i,0.00097738+0.00076735i,0.0015852-0.00010557i,0.0015247-0.00021878i,0.00040137-4.4056e-05i,-0.00059982-0.00042573i,-0.0012622-0.00090435i,-0.00097672-0.00072578i,-0.00070532-0.0004355i,-0.001082-5.6998e-05i,-0.00083896+0.0009765i,-0.00048608+0.00087809i,-0.00027926+5.7274e-07i,1.4879e-05+0.00056316i,-0.00012187+0.00058244i,-0.00010366-0.00012369i,0.00092368+0.00024839i
-0.001713-0.0011178i,-0.0024351-0.00080571i,-0.0012561+0.00016401i,0.0010844+3.8376e-05i,0.0011054-7.3554e-05i,2.5239e-05+0.00064346i,0.00073366+0.00023536i,0.0016043-0.00033583i,0.00099387-7.8336e-05i,-0.00012509+7.9196e-05i,0.00050043-0.00068092i,0.00073097-0.0013255i,0.00040007-0.0005515i,0.00080088-0.00018346i,0.00095467+0.00039999i,0.00038721+0.0007466i,-0.00055591+0.00035722i,-0.00076519-0.00035014i,-0.00085466-0.00091974i,-0.00092132-0.00010868i,-0.00042986+0.0011171i,-0.00013155+0.0014369i,0.00020107+0.00047803i
-0.0004602-0.00093146i,-0.0010286-0.0007156i,-0.00015862+0.00022661i,0.0007107+0.00055189i,0.00037213+0.00061818i,-0.00015209+0.00048001i,0.00021778+0.00024993i,0.00076566+2.826e-05i,0.00091969+4.1991e-05i,0.00091311+0.00035931i,0.00021623-0.00026113i,-0.0010063-0.00082808i,-0.0011439-0.00052091i,-0.00069522+0.00011582i,-0.0011134-0.00033285i,-0.00143-0.00029664i,-0.00057532-0.00034736i,6.1257e-05-0.00048097i,-0.00053198-0.00042182i,0.00026994-0.00074407i,0.0011907-0.00011967i,0.00062468+0.00073216i,-0.00022573+0.00097772i
0.0016944-4.1962e-05i,0.0015123-1.0573e-05i,0.0015252-0.0001478i,0.0012763-0.00096677i,4.0946e-05-0.0012317i,-0.00066855-0.00034919i,5.5487e-05-0.00049426i,0.0013337-0.00042993i,0.0015495+0.00029716i,0.00063078-0.00028469i,0.00039786-0.00034785i,0.00029418+0.0007257i,8.8186e-05+0.00033249i,-0.00058929-0.00033713i,-0.0013026-0.00087178i,-0.00092502-0.00084919i,-0.0004161-0.00049299i,-0.00049879-0.00036262i,-0.00032595+6.1664e-05i,-9.8079e-05+1.9263e-05i,0.00020015+0.00016504i,0.00026611+0.0008864i,0.00014432+0.00086181i
0.001474+0.00084489i,0.0010363-4.5784e-05i,0.0017207-0.00095772i,0.0021579-0.0010551i,0.0012843-0.00054689i,0.00032634+0.00039344i,0.00057547+0.00099594i,0.00061236+0.00081051i,0.0001978+0.0001074i,0.00017573-0.0004401i,0.00019644-0.00026735i,-6.9857e-05+0.00058761i,-0.00073399+0.00015171i,-0.00095184+0.00020121i,-0.00080018+0.0013353i,-0.00058307+0.0017271i,-0.00052778+0.0013856i,-0.00056841+0.00095897i,-9.1374e-05+0.00044912i,3.1175e-05+0.00020524i,-0.00021802+0.00033458i,5.7467e-05+0.00042021i,0.00020745-4.03e-05i
-0.0008769-0.00084556i,-0.00071056+0.00024337i,-0.0010787+0.00053942i,-0.00066485-0.00030372i,-7.3851e-05-0.00013977i,0.00032836+0.00029427i,0.0014007+0.00076026i,0.0016383+0.00040689i,0.00038748-0.00012464i,-0.00017828+0.00010655i,0.00018738+0.00011443i,-0.00044299-1.0256e-05i,-0.00049826-0.00020461i,-0.00032896-0.0003545i,-2.1024e-05-0.00071043i,0.00013575-0.0010483i,-0.00024528-0.00083225i,-9.3169e-05-0.00027769i,8.1914e-05-0.0003715i,0.00017683-0.00076203i,-0.0002265-0.0011161i,-0.0010876-0.00086589i,-0.00074833-0.00021351i
0.00067342+0.0011428i,0.0021602-5.3739e-05i,0.0034922-0.00013493i,0.0033392-0.00044822i,0.0019081-0.00046119i,0.000822+0.00058089i,0.00080604+0.00058376i,0.00055596-8.4629e-05i,0.00024387-4.3479e-05i,0.00051081+9.2084e-05i,0.00015504-0.00037485i,-0.00070481-0.0013409i,-0.00096961-0.0013348i,-0.00060406-0.00047816i,-0.00076083-0.00023187i,-0.0013383-0.00042791i,-0.0007503-0.0005565i,-0.00013243-0.00041164i,0.00035676-0.00012368i,0.00023952+0.00047673i,-0.00024674+0.00026012i,-0.00033979-0.0001292i,-0.00016599+0.00034858i
0.0022755+0.0010646i,0.0021766+0.00091843i,0.0022292+0.00044356i,0.0017133-0.00080525i,0.00057123-0.00088299i,-0.0010445-3.4293e-05i,-0.00085189+0.00057369i,0.0002316+0.00047275i,0.00038801-6.9187e-05i,-0.00019699-0.00048696i,0.00032302-0.0012497i,0.00068077-0.00069626i,-1.756e-05-0.00016785i,-0.00051516-0.00048699i,-0.00057293-0.00014879i,-0.00035793+0.00016828i,-5.6962e-05+0.00055366i,5.7277e-05+0.00033907i,0.00013816+0.00013689i,0.00039637-0.00016684i,0.0003257+8.2348e-06i,0.00046524+0.00060767i,0.00074204+0.00029973i
0.00085831+0.00065932i,0.0010813+0.0014594i,0.0010963+0.0018558i,0.0010607+0.00090881i,0.00035341-0.00052406i,-5.3802e-05+7.2572e-05i,0.00024997+0.0010021i,0.00072095+0.00085001i,0.00063687+0.0010653i,0.00013703+0.00072587i,0.00047887-0.00058845i,0.00061321-0.00064701i,-0.00044195-1.4934e-05i,-0.00099008+0.00022397i,-0.00080709-0.00022763i,-0.00036666-0.00072085i,-0.00014449-0.00034593i,-0.0001792-0.00026703i,-0.00020935-0.00013802i,-0.0001576-0.0002467i,0.0003452-9.5937e-05i,0.00067341+0.00058167i,0.00083921+0.000207i
-0.00072006-0.0010075i,0.00069048-0.0020762i,0.0011498-0.0019622i,0.00044843-0.0010004i,0.00017952-0.00046177i,0.00069985+0.00029683i,0.0013058+0.00069419i,0.0013239+0.00060344i,0.00055411+0.00014618i,0.00014429+0.00061372i,-0.00023962+0.0007645i,-0.00072052+0.00032706i,-0.0010155+0.001001i,-0.00056982+0.00096267i,7.3685e-05+0.00040115i,3.9921e-05+0.00018311i,-0.00047707+0.00010375i,-0.00088641+0.00035031i,-0.00063562-0.00010831i,-0.00016256-0.00089137i,-0.00035471-0.0013549i,-0.0003232-0.0013879i,0.00049005-0.00037202i
-0.001033+0.00013166i,-0.00078807+0.00014386i,0.00047361+0.0006491i,0.0010239+0.00080125i,0.00085291+0.00070615i,0.0010421+0.0022835i,0.00060816+0.0025337i,3.6046e-05+0.001416i,-0.00019351-8.0573e-05i,4.6324e-05-0.0007238i,0.000106-0.00065061i,-0.00080173-0.00054699i,-0.00063532-0.00030398i,4.5545e-05+0.00048931i,4.3205e-05+0.0012061i,-0.00021743+0.0011434i,-0.00083324+0.00024125i,-0.00126-0.00065061i,-0.00048407-0.00011726i,0.00023657+3.2727e-05i,-0.0002671-0.00064151i,-0.0007429-0.00091112i,-0.00026101-0.00029835i
-0.0019627+0.001486i,-0.0021017+0.0028537i,-0.0014842+0.0029649i,0.00076724+0.00095001i,0.00185-0.00021819i,0.0011627-0.00055376i,0.00083181-0.00053018i,0.00070741+0.00024131i,0.0004748+0.000587i,0.00057945+0.00016374i,0.00091091-0.00066727i,0.0012624-0.00044509i,0.00087761+1.3523e-05i,0.00054036-0.00031493i,0.00070863-0.0009407i,0.00039538-0.00060978i,-2.7858e-06+0.00010941i,-0.00037637+0.0002578i,9.9235e-05+0.00015585i,0.00033194+0.00011281i,0.00035098+0.00031782i,0.0011161+0.00061974i,0.0011675+0.00055725i
0.00027267-0.0016672i,0.0010219-0.0012705i,0.0013276-0.0003602i,0.0010145+0.00019067i,0.00062148-0.00036443i,0.00065989+0.0002241i,0.00062415+0.0013711i,0.00066229+0.001056i,0.00050526-0.0003538i,-6.1505e-05-0.00064563i,-0.00014771-0.00092399i,-4.7332e-05-0.0011513i,0.00017842-0.00032966i,0.00059978-0.00010132i,0.0006985-0.00025114i,0.00039316+0.00039436i,0.0004805+0.00048303i,0.00024715+0.00041847i,-0.00049888+0.00038982i,-0.00042638-6.4275e-05i,-0.0006627-0.00010991i,-0.0012598-0.00032541i,-0.00072493-0.00065398i
0.0027065+0.00045863i,0.0016451-0.00053796i,0.0016765-0.00093328i,0.00094905-0.00082018i,-0.00034863-0.00034041i,-0.00068684+0.00089997i,-0.00021671+0.0015322i,1.9858e-05+0.0016225i,3.1203e-05+0.00039618i,-0.00042269-0.00047662i,-0.00026608+0.00016699i,-0.00011036+8.7687e-05i,-0.00011578+8.3281e-05i,-0.00050447+0.00030723i,-0.00094952-0.00018085i,-0.00066406-0.00036854i,-0.00073497-0.00051721i,-0.00088568-0.00032532i,-0.00059376+2.5891e-06i,0.00040611+0.00023326i,0.00086588+0.00036866i,0.00025549+0.00035533i,0.00045216-0.00013229i
-0.00070109+1.3626e-05i,-0.0010101-0.00036501i,-0.00041405-0.00078942i,0.00040423-0.00079141i,0.00066047-0.00010164i,0.00058788+9.2498e-05i,0.00047643+4.1194e-07i,-0.00015004+0.00017265i,-0.00015455+0.00018701i,0.00056813-0.00025795i,0.00086745-0.00061853i,0.00012489-0.00034244i,0.00027761+0.00043395i,0.00067627+0.0007647i,-0.00033911+0.0003417i,-0.00073733+0.00044649i,-0.00086951+0.00061051i,-0.00045368+0.00034878i,0.0003616-0.00016469i,0.00072325-0.00033874i,1.8074e-05+0.00038494i,-0.00071155-2.4908e-05i,-0.00081607-0.00037378i
0.0012181+0.00066226i,0.0018422+0.00012448i,0.0020558+7.5278e-05i,0.002033-0.0011922i,0.0015677-0.0011087i,0.0007653+0.0007365i,0.00067273+0.0014399i,0.00040729+0.00059484i,-0.00023454-0.00095138i,-8.4868e-06-0.001676i,0.00053542-0.0015402i,0.00062142-0.0010984i,2.2893e-05-0.00048947i,-0.00024691-0.00043464i,-0.00026713-0.00011513i,-3.591e-05+0.00066058i,0.00027317+0.00012867i,0.00033602-0.00018899i,0.00048717+6.1165e-05i,0.00036852+0.00058946i,-0.00040034+0.00076134i,-0.00024851-0.00020705i,0.00039231-2.8843e-05i
0.0010675+0.0022009i,0.0007927+0.0015454i,0.00088767+0.0013545i,0.0016293-0.00022319i,0.0016377-0.0010203i,0.00029976-0.00036098i,-0.0002514+0.00048776i,-2.9236e-05+0.00034455i,-0.0008135+9.2804e-05i,-0.00053437-1.4464e-05i,9.0348e-05+0.00025763i,-2.8148e-05+0.00038302i,0.00047002-5.5087e-05i,-0.00037234+8.6497e-05i,-0.0017174+0.00037181i,-0.0010909+0.00027049i,-0.00025442+0.00045831i,-0.00087437+0.00085397i,-0.001109+0.00068673i,6.5941e-05-1.6984e-05i,0.00079386-0.00051661i,0.00041394-0.00010928i,-6.5282e-05+0.00037147i
