0.00078131+0.00046853i,-0.00055878-0.00033211i,-0.0020985-0.00040199i,-0.001578-0.0011559i,-0.0017744-0.00043287i,-0.0025902+0.0007126i,-0.0022094+0.0013657i,-0.0011918+0.0018238i,0.00092126+0.0015714i,0.0025805+0.0010348i,0.0021537-2.0304e-05i,0.00087127-0.00075762i,0.00042548-0.00053957i,0.00083964-0.00016134i,0.00039374-0.0004647i,-0.00075067-0.0010965i,-0.00056581-0.001414i,0.00026479-0.00037726i,0.00087037-0.00014595i,0.00034571-0.00043621i,-7.885e-06+1.6197e-05i,-0.00021312-0.00087929i,-0.00040642-0.0011993i
-0.00059818-0.0014038i,0.00033587-0.0013436i,0.00073168-0.0011382i,0.00031896-0.0010321i,-0.00050392-0.0012906i,-0.0004842-0.0010249i,8.481e-05+0.00069845i,-0.00056082+0.0013068i,-0.00082335+0.0011777i,0.00017929+0.0012952i,0.0011255+0.0014092i,0.0011598+0.00072366i,0.00010249+0.00021368i,-0.00028566-5.7776e-05i,-5.4192e-05-0.00037817i,-5.6101e-06-0.00060532i,0.00014168-0.00039776i,-0.0003725+0.0008577i,-0.00036306+0.0010227i,0.00013241+0.00085884i,-8.2781e-05+0.0002694i,-0.00040952-0.00031778i,-0.0003365-0.00046522i
-0.0025822+0.00037534i,-0.0030477+0.0019559i,-0.0017167+0.002885i,-0.00022867+0.0029049i,0.00011875+0.0013241i,0.00044749-0.0003024i,0.00039615-0.00024719i,-0.00060383-0.0002292i,-0.00097117+4.1454e-05i,-0.00016189+0.0012595i,0.00086888+0.0015703i,0.00090207+0.00039797i,0.00055308-0.00042859i,0.00035031-0.00058806i,0.00029012-0.00096692i,-0.00016615-0.00075379i,-0.0006201-0.00051229i,0.00031539-0.00048414i,0.00081373-9.243e-05i,-4.2898e-05+0.00029289i,-0.00021372+0.00023509i,-0.00034087-8.6458e-05i,-0.00031913+0.00092162i
0.0011013-0.00055269i,-0.00053569-0.00046964i,-0.000754-0.00082973i,-0.0004782-0.0010307i,-0.00033205-0.0019493i,-0.00041591-0.0020945i,-0.00065661-0.00084212i,-0.00024532+0.00026344i,0.00054413+0.00090675i,0.00082153+0.00094089i,0.0010437+0.0014505i,0.0012421+0.0015828i,0.0010382+0.0012461i,9.3683e-05+0.00094874i,-0.00040829+0.00030723i,-0.00013919-6.1155e-05i,6.152e-05+8.612e-05i,2.4842e-05+0.00063323i,-1.8673e-05+0.0008527i,0.00019431+0.00052126i,0.00018515+8.1535e-05i,-0.00020918-0.00071088i,-0.00066402-0.00054978i
-0.000732+0.0006108i,0.00027276+0.0006461i,0.00092932+0.00091014i,0.00070174+0.00029565i,0.00086865-0.0010887i,0.00056912-0.0019482i,-0.00020627-0.00098871i,0.00019021+0.00077298i,0.00050259+0.0013053i,0.0003163+0.00042068i,0.00052115-0.00095086i,0.0010787-0.0013429i,0.0010803-0.00055752i,0.00037104-0.00090322i,-0.00056991-0.00096082i,-0.00087839-0.00070783i,-0.00052679-0.00028394i,-0.000537+5.9701e-05i,-0.0011394+0.00026503i,-0.00094869+0.00032472i,-0.00041295-0.00026432i,0.00011701-0.00010985i,0.00078579+0.00022335i
-0.0011974-0.00098217i,-0.00045746-0.00046815i,-0.00075288+0.00066203i,-0.0012292-0.000145i,-0.00053482-0.001515i,-0.00011857-0.0012564i,-0.00070435+0.00014744i,-0.00061998+0.00092831i,-0.00015138+0.0014945i,0.00037469+0.0021071i,0.001686+0.0018895i,0.0017639+0.00077621i,0.0010759-0.00035681i,0.00048509-0.00094561i,-0.00011152-0.001227i,3.0305e-05-0.00054466i,0.00032642-0.00043791i,0.00084983-0.00041456i,0.0010684-9.5027e-05i,0.00074745-9.4488e-05i,0.00049354+8.3181e-05i,-0.00064541-0.00012933i,-0.0010623-0.00062768i
-0.00177+0.00046055i,-0.0019169+0.00016702i,-0.0021072+0.0011001i,-0.0011792+0.00040107i,0.00033326-0.00053387i,0.00080055-0.001035i,0.00026439-0.0010559i,-0.00020213-0.00025638i,-0.00088885+0.0006154i,-0.00048166+0.0013494i,0.00034796+0.0014081i,0.00065895+0.00068223i,0.00079784-0.000171i,0.00098665-0.00026594i,0.00094099-0.00070255i,0.00053225-0.0011915i,0.0006052-0.0012935i,0.00060225-0.0005574i,-6.0122e-05+0.00074768i,3.5171e-05+0.0004938i,-0.00054671+0.0001407i,-0.00064808+0.00014187i,-0.00044459+0.00055453i
-0.00048921-0.0014284i,-0.0011001-0.0020576i,-0.0001123-0.0014047i,0.00026492-0.0010178i,0.00013588-0.0004522i,-8.0367e-05+3.8887e-05i,-0.00075644+0.00038836i,-0.0010146+0.0014826i,-0.00091166+0.0014561i,-0.00058302+0.00099412i,-0.00013163+0.0011691i,0.00047102+0.00073724i,0.00030335+8.0142e-05i,-0.00015233+0.00025225i,-0.00026316+0.001005i,-0.00021452+0.00078397i,-0.00024733-0.00023443i,7.2095e-05-0.00045949i,0.00033115+2.4829e-05i,0.00040526+0.00061933i,0.00039425+0.0012326i,-0.00090817+0.0008231i,-0.001499+0.00049461i
0.0009219+0.00067318i,-0.00025362+0.00093157i,-0.00045832-0.00055131i,0.0012262-0.0019724i,0.0013802-0.0014434i,-0.00034086-0.0011113i,-0.00072179-0.0005544i,-0.00039566+0.00030813i,-0.00011886+0.0015086i,0.00039297+0.0018612i,0.00041564+0.0013001i,8.3271e-05+0.00089062i,-0.00015696+0.001001i,-0.00082776+0.00092192i,-0.0004928-1.5429e-05i,-0.00064668-0.00057224i,-0.00043567-0.00057426i,0.00073014-0.0011539i,0.0010265-0.00096334i,0.00069743+0.00026532i,5.7704e-05+0.00048016i,-0.00086338-0.0003312i,-0.0010486-0.00067914i
0.00063158+0.00039454i,0.00067868+3.5845e-05i,0.0011914+0.00046087i,0.00042694+0.00010818i,-0.00013158-0.00031588i,-0.00056012-0.00044212i,-0.001073-0.00015695i,-0.00053629+0.00056552i,0.00015443+0.0014464i,0.0002273+0.0017078i,0.00031211+0.0015469i,0.00065576+0.00078798i,0.0009438+0.0001767i,0.00041149+0.00018058i,-9.9866e-05-0.00033937i,-0.0004123-0.00098197i,-0.0010882-0.0011763i,-0.0010484-0.0010161i,-0.00041717-0.00054679i,0.00027478-0.00044507i,0.00090646-0.00046651i,0.00053343-0.00082552i,-7.1552e-06-0.00079529i
0.0025987+0.0012009i,0.0018437+0.00074882i,0.0016665-0.00072066i,0.0012657-0.0014i,-0.00012724-0.0015893i,-0.0017568-0.0010578i,-0.0016528-0.00036908i,-0.00083037+0.00011926i,0.00018821+0.0002418i,0.00040026+0.00046865i,-4.7324e-05+0.00094138i,-9.5e-06+0.00087226i,0.00031072+0.00075068i,0.00053953+0.00035578i,0.00081807-0.00047029i,0.00080721-0.00058384i,0.00035145-4.5405e-06i,9.5121e-05+0.0011915i,0.0001838+0.0013038i,0.00046918+0.00056623i,0.000588+0.00038991i,-0.00017575+0.00034264i,-0.00060842+0.00081477i
-0.0015194+0.0014661i,-0.00059091+0.0017153i,-0.0006309+0.0022208i,-0.00019909+0.0016496i,0.00034163+0.0001274i,4.5265e-05-0.00083752i,-0.00028415+0.00011513i,-0.00085859+0.0015532i,-0.0011311+0.0021391i,0.00023284+0.0018447i,0.0014924+0.001382i,0.0014372+0.00077346i,0.0007909+0.00012124i,0.00096347-0.0002038i,0.0011001-4.1965e-05i,0.00074904-0.00028466i,0.00029792-0.00027442i,-0.00056626+0.00062472i,-0.00072947+0.0011583i,0.00010102+0.00066554i,0.00036343+0.00022522i,-1.8588e-05-7.443e-05i,0.000138-0.00060993i
-0.00046201+0.00069809i,0.00055414-0.0014524i,0.00025827-0.0013245i,-0.0003948-0.00042906i,-0.00081069-0.00088509i,-0.00083856-0.0011427i,-0.00057029-0.00021696i,-0.00085358+0.0011105i,-0.00026116+0.0023887i,0.00051675+0.0030803i,0.00071336+0.0019497i,0.00035791+0.00055119i,0.00016767-0.00021286i,0.00021447-0.00048623i,-0.00048003+0.00016551i,-0.00090037-0.00033858i,-0.00032104-0.0014617i,0.00065569-0.0011212i,0.00076429-0.00043715i,2.8914e-05+0.00014257i,-0.00052099+0.00034243i,3.4096e-05+3.6956e-05i,0.00081819+0.00027807i
0.00035207-0.00077612i,0.00031769-0.00058438i,0.0014577-0.00047877i,0.0014591-0.00065391i,0.00074391-0.00080678i,5.5191e-05-0.00072288i,-0.00047104-0.00011594i,-0.00037563+0.00015779i,-2.5247e-05+0.00015797i,0.00066519+0.00068265i,0.0017849+6.7286e-05i,0.0013976-0.00098933i,0.00038199-0.0011485i,0.00038133-0.00024385i,-0.00022332+0.00075268i,-0.00052237+0.00074047i,8.7512e-05+2.1708e-05i,0.00017334-0.00029056i,3.7962e-06+0.00014601i,9.71e-05+0.00048254i,0.00017895-0.00028659i,-0.0001042-0.00086214i,-5.5034e-05-0.00095125i
-0.00050629+9.0166e-05i,-0.0015005+0.00044565i,-0.0013059+0.0012605i,-0.00040479+0.0016329i,0.00010749+0.00013602i,-0.00016169-0.0012547i,-0.0012576-0.00090022i,-0.0008326+0.00022676i,4.4739e-05+0.0011806i,0.00073514+0.0016434i,0.0011009+0.0013124i,0.00049965+0.00087081i,-0.00010536+0.00071167i,-0.00010379+0.00029075i,0.00046082-0.0003835i,0.0013093-0.00042322i,0.00086991-0.00020311i,0.00017442-0.00091i,0.00051865-0.00081288i,0.00054126-0.0001718i,0.00057416-0.00036646i,0.00038037-8.6049e-05i,6.4629e-05+0.00028814i
4.2836e-05+0.0031073i,0.00037599+0.0017702i,0.0010873+0.0010875i,0.0010159+0.00047786i,0.00064879-0.00071558i,0.00017686-0.0011225i,-9.7126e-05-0.00011709i,-0.00023894+0.0010205i,0.0001173+0.0011865i,0.00043124+0.0010792i,0.00038871+0.00063641i,0.00040553+4.3984e-05i,-0.00031856-0.00021173i,-0.0010116-0.00021092i,-0.00073224-0.00014688i,-0.00021077-0.00042137i,0.00038841-0.0012044i,0.00059591-0.00098692i,0.00031386-0.00028678i,0.00042005-0.00063503i,0.00083631-0.0010522i,0.00068069-0.0002859i,0.00021036+0.00025017i
0.00033596+0.00071722i,0.00056477+0.00078533i,0.00070059+0.00090895i,0.0010642-4.3458e-05i,0.00045687-0.0010754i,0.0005597-0.00090197i,0.0004211-9.8273e-05i,0.00043451+0.0011466i,0.0003543+0.0019436i,0.00032673+0.0016323i,0.00068391+0.0004078i,2.8515e-05+0.000228i,-0.00039216+0.00085825i,-0.00076328+0.00061966i,-0.00013531-0.00027174i,0.00087411-0.00035729i,0.00061827-0.00015548i,-0.00032824-3.8602e-05i,-0.00070443+0.00022972i,-0.00026675+0.00018819i,-0.0001281+0.00017864i,-0.00018536+0.00034704i,-8.2015e-05+8.8127e-05i
-4.2052e-06-0.0012594i,-0.00019131-0.0018363i,-0.00063806-0.0032763i,-0.0018669-0.003184i,-0.0020569-0.002134i,-0.00080753-1.0467e-05i,-2.7561e-05+0.00086201i,-0.0005382+0.0004046i,-0.00049875+0.00028017i,-0.00050395+0.00076752i,-0.00056716+0.00098014i,-0.00037902+0.0010247i,0.00055008+0.001273i,0.00066699+0.00070621i,0.00037614+0.00012066i,0.0012199+0.0003637i,0.00088255+0.00056712i,0.00016759+0.00012924i,-0.00021712-0.00014203i,-0.00054186+3.0998e-05i,-0.00074576-0.00039077i,-0.00079015-0.00082787i,-0.00096373-0.00066711i
-0.002162-0.0029441i,-0.0013216-0.0031007i,-0.0010441-0.0019247i,-0.0014923-0.00042064i,-0.0014014+0.00088817i,-0.00090466+0.0010494i,-0.00049704+0.00047477i,-0.00036381+0.0015225i,-0.00039153+0.0023222i,-6.8256e-05+0.0023764i,0.00078377+0.0018706i,0.0012017+0.00097974i,0.0010345+0.00060591i,0.00096168-5.0762e-05i,0.00064349-0.0012049i,0.00026328-0.0012657i,-0.00030844-0.00078302i,-0.00053017-0.00023316i,-0.00028232+0.00024692i,-0.00041035+0.0005994i,-0.0005708+0.00014016i,-8.4306e-05-2.4264e-06i,0.00064264-0.00043367i
0.0012808-0.00042096i,0.00049124-0.00072116i,0.00053808-0.00072649i,0.00053208-0.00010712i,-7.4837e-05-0.00035567i,-0.00070739-0.0011886i,-0.0011201-0.00081812i,-0.00080129+0.00051745i,-0.00049605+0.001994i,-0.0006729+0.0025033i,7.5449e-05+0.0020211i,0.00086917+0.0012037i,0.00066758+0.00071974i,8.7081e-05+0.00061685i,-0.00053324+0.00029014i,-0.00084855-0.00029242i,-7.8526e-07-0.00016476i,0.00041661+0.0003443i,-0.00019615+0.0013522i,-0.00055889+0.0015968i,-6.8428e-05+0.00085555i,-9.1383e-05+0.00020819i,0.00014028+0.00016373i
-0.00099634-4.128e-05i,-0.00068872+0.0012412i,-0.0013842+0.0015472i,-0.00087964+0.00144i,-0.0006456+0.00066645i,-0.00017829-0.00056445i,-3.7482e-05-0.00085691i,-0.000604+0.00012854i,-0.00041107+0.0012594i,0.00016805+0.0018252i,0.00062144+0.0015092i,0.00028573+0.00010251i,3.6726e-05-0.00070315i,0.0007982-0.00086918i,0.0013813-0.001141i,0.0012283-0.00095077i,0.00059623+0.00028417i,-0.00018707+0.00059607i,-0.00074463+0.00052498i,-0.00092209+0.00044383i,-0.00059226-0.00054771i,-2.3151e-05-0.0016558i,0.00021961-0.0010129i
-0.0015238+0.0026695i,-0.0025004+0.0017936i,-0.0024137+0.0019243i,-0.00097351+0.00060328i,0.00024837-0.0010606i,-0.00075128-0.00097296i,-0.0014153-0.00014685i,-0.00084101+0.001051i,-0.00030947+0.001619i,4.8765e-05+0.0011224i,0.00021085+0.00042569i,6.4697e-05-0.00038886i,-0.00075316-0.00066049i,-0.00048562-0.00076962i,0.00114-0.0007901i,0.0014134-0.00061193i,0.00095453+0.00010132i,0.00074001+0.00058335i,0.00097539+0.00057204i,0.00045398+0.00079186i,-0.00080157+0.00054295i,-0.0011787-0.00016219i,-0.0004435-2.0498e-06i
0.0002687-0.0016191i,-3.5252e-05-0.0016055i,-0.00046326-0.0015875i,-4.7874e-06-0.0014207i,8.0175e-05-0.00092639i,0.00021525-0.00055419i,0.00020559+8.2961e-05i,-0.00024995+0.00048285i,0.00030981+0.00074456i,0.00097972+0.0015514i,0.0011291+0.0019416i,0.00077374+0.0015564i,0.00015396+0.00034571i,-0.0002399-0.00033005i,-0.00022459+0.00017681i,0.00063931-0.00018118i,0.0010027-0.00072049i,0.00014032-2.2284e-05i,0.00037668+0.00076328i,0.00099691+0.00058249i,0.00097878+6.6312e-05i,0.00074768+6.5723e-05i,-0.0002527-1.4179e-06i
-0.0011716+0.00015833i,-0.00097493+0.00064858i,-0.0015663+0.0016037i,-0.0016445+0.0012645i,-0.0010193-0.00045228i,-0.0015735-0.00075554i,-0.0020645-0.00020075i,-0.0010511+0.00041464i,-0.00015752+0.0012961i,0.00062457+0.0017425i,0.00062709+0.0018761i,0.0005528+0.0007925i,0.00066391+0.00022528i,-0.0002974+0.0003906i,-0.001218+5.1105e-05i,-0.0012766-0.00068309i,-0.00081192-0.00054741i,-0.00035608-2.8445e-05i,0.00019025-0.00045081i,0.00020945-0.00056175i,-0.00047709-0.00033208i,-0.00088792-0.00042127i,-0.00079506-0.00013788i
5.88e-05+0.00044741i,0.00016693-0.00018091i,0.00018059-0.0012595i,1.7894e-05-0.0016107i,9.6702e-05-0.0011347i,-0.00036931-0.00027114i,-0.00091705+0.00055413i,-0.00072744+0.00084746i,-0.00026736+0.0016973i,0.00016623+0.0019618i,0.00059678+0.0011538i,0.00092558+0.00078042i,0.0011466+0.001378i,0.0012335+0.00071809i,0.00086078-0.00012264i,2.6411e-05+0.0001111i,0.00017877-0.00048015i,0.00080165-0.00058543i,0.0005196-0.00016165i,-0.00023858+0.00047292i,8.0522e-05+0.00038727i,0.00063138-0.00040814i,0.00048779-0.00039944i
1.3915e-05-0.001142i,-0.00020035-0.00023094i,5.5168e-05-0.0013256i,-0.00022202-0.002002i,-0.0008837-0.0015183i,-0.0014409-0.00064286i,-0.0017766+0.00052875i,-0.0013845+0.00041906i,-0.00093716+0.00052079i,-0.00039997+0.0014551i,0.00059569+0.00084834i,0.00063202+0.00066512i,-2.3686e-05+0.0015655i,-0.00021485+0.0011859i,0.00013349+4.5973e-05i,0.00033702-0.0004136i,0.001002-7.3542e-06i,0.0013688-0.00015646i,0.00028988-0.00031595i,-0.00045756+0.00038405i,-0.00037072+0.00044247i,-0.00033287+0.0003274i,-0.00054365+0.00049996i
0.0020372-0.00067955i,0.0026382-0.00089087i,0.0026737-0.002297i,0.0016831-0.0028749i,0.00012158-0.002836i,-0.00099494-0.0020932i,-0.0013818-0.00088172i,-0.00049736+0.00077392i,0.00057262+0.0017823i,0.00056581+0.0020046i,0.00030841+0.0016311i,-8.1689e-05+0.0010766i,-0.00031338+0.0013099i,7.8058e-05+0.00079912i,0.00051975-0.00031888i,0.00080203-0.00043918i,0.00074875-3.8432e-05i,0.00039018+0.00011803i,-0.00052171-0.00017368i,-0.00080418-9.4757e-05i,-0.00065594+0.00023293i,-0.00078489+0.00010797i,-0.00035528+0.00022341i
-0.0010914-0.00033437i,-0.0017589+0.00041883i,-0.0017314+0.00084862i,-0.00078989+0.00094828i,0.00039246+0.00047949i,0.00085135+0.00038994i,-0.00022202+5.6936e-05i,-0.0013635+0.0002926i,-0.00099422+0.0019431i,0.00015037+0.0027632i,0.00025665+0.0019043i,0.00035858+0.00022074i,0.00079362-0.0011771i,0.00034129-0.001364i,3.8507e-05-0.00081212i,0.00018397-0.00037776i,-2.5632e-05-0.00032398i,-0.00045734-0.00033813i,-0.00080012-3.3569e-05i,-0.00056782+6.8035e-05i,-0.00036892-0.00021894i,-0.0009618-0.00089123i,-0.0012677-0.0010592i
0.0008258-0.0008776i,-0.00039144-0.0018302i,-0.00031953-0.0019607i,-0.00039838-0.0021212i,-0.00074291-0.0020139i,-0.00086862-0.00056286i,-0.00094471+0.00046043i,-0.00066932+0.00066041i,-0.00054061+0.00083966i,-2.9049e-05+0.0014773i,0.00031327+0.001506i,-0.00018327+0.00092053i,-0.00062881+0.00099879i,-0.00057489+0.001097i,0.00032434+0.00046399i,0.00096454-0.00019609i,0.00072548-0.00034049i,0.00060809+0.00020929i,0.00063235+0.00029533i,0.00031879+0.000239i,0.0010151+0.0003423i,0.0012291-0.00045963i,0.00055892-0.00065484i
0.00020504-0.00064139i,0.00092211-0.00073474i,0.0018658-0.0011138i,0.00098516-0.0016078i,0.00015261-0.0015401i,-0.00083413-0.0012351i,-0.0015784-0.00094845i,-0.00069182-0.00010863i,-0.00045961+0.00038318i,-0.00081469+0.00081433i,-0.00060897+0.00072847i,-0.00027383-2.5539e-05i,0.00017017+0.00026936i,-0.00011757+0.00045781i,-0.00016142-0.00051381i,0.00044145-0.00054327i,0.00066588+4.8814e-05i,0.0010563+0.00010775i,0.0019253+0.00026285i,0.0016173+0.00058702i,0.00075117+0.00035205i,0.00030829+0.00017016i,-0.00032661+0.0001576i
0.00015435-0.0030999i,0.0015522-0.0026912i,0.0005168-0.0028705i,-0.00068968-0.0023289i,-0.0016183-0.0023804i,-0.001656-0.0017992i,-0.00070313-0.00039624i,0.00018651+4.3689e-05i,0.00010396+0.00055791i,-0.00064577+0.0014271i,-0.00087667+0.0012018i,-0.00030407+0.00062684i,0.00055995+0.00082289i,0.0007891+0.00087926i,0.00086675-0.00013954i,0.00054584-0.0010936i,-0.00021741-0.00075564i,-0.00015417-0.00033398i,-0.00025425-0.0003188i,-0.00016315-1.7083e-05i,0.000541+5.8919e-05i,-6.2587e-05-0.00038544i,-0.0008867-6.0785e-05i
0.00090637+0.00015639i,0.0010412+0.00018027i,-0.00013973+0.000446i,0.00041414+0.0013535i,0.00075495+0.00098245i,0.00010269-0.00037635i,-0.00018164-0.00036816i,-0.00047034+0.00051628i,-0.0008173+0.0017149i,3.3246e-05+0.0020213i,0.00097282+0.0015416i,0.00075441+0.000999i,0.00048766+0.00070147i,0.00038394+0.00068317i,0.00033631+0.00040916i,-0.00015503-0.00025309i,-0.0003764-0.00087259i,-0.00035004-0.00034095i,-0.00074613+0.00065423i,-0.00067477+0.00055483i,-0.00056142+2.9847e-05i,-0.00076997-0.00036155i,-0.00096319-6.476e-05i
0.00077169+0.0011687i,0.0004142+0.0017824i,0.0011956+0.00012597i,0.00077628-0.00012469i,-0.00019685+0.0002142i,-0.00039566+0.00021187i,-0.00027042+0.00042003i,-0.00040294+0.00075124i,4.6989e-05+0.0012531i,0.00041158+0.00084679i,9.9371e-05+0.00039226i,7.6004e-05+0.00087804i,0.00017747+0.0012743i,-0.00023552+0.0002994i,0.00032407-0.00075091i,0.00049246-0.00043404i,-0.00037034-0.00036701i,-0.00040646-0.00014318i,0.00038552+0.001076i,0.00084491+0.001495i,0.0012971+0.00062035i,0.00088941-0.00047337i,-0.0001887-0.00083959i
