0.00073439-5.8267e-05i,0.00093545-0.00087142i,-0.00029303-0.002174i,-0.0010624-0.0026538i,-0.001724-0.0011005i,-0.0021806+0.00037364i,-0.00089395+0.0011208i,0.00083025+0.0013062i,0.0017001+0.00068249i,0.00142-4.8974e-05i,0.00045096-0.00021642i,-0.00047703-0.00045046i,-0.00067109-0.00057191i,-0.0002843-8.4225e-05i,-0.00035615-5.6209e-05i,-0.00034303-0.00043876i,-8.8906e-05+1.9973e-05i,0.00024487+0.00071322i,0.00048022+0.00055914i,0.00068568-6.1035e-05i,0.0011765+7.2284e-05i,0.00059348-0.0003369i,-0.00039251-0.00090396i
-0.0015052-0.00014244i,-0.00064701+0.0004343i,-0.00032727+0.0017842i,-0.00017387+0.002259i,0.00015996+0.001507i,0.00040829+0.0003302i,0.00072515-0.00030676i,9.1929e-05-0.00072447i,-0.000442-0.00080339i,-0.00015682-0.00028718i,8.0233e-05+0.00063573i,6.5258e-05+0.00095289i,-0.00010698+0.00046815i,2.3038e-05+0.00047004i,0.00033667+0.00066298i,0.00034925+0.00010472i,-2.8563e-05+0.00027733i,-0.00023411+0.00066754i,-0.00062145+0.00032445i,-0.0013434-2.0649e-05i,-0.0012864-0.00052899i,-0.00053631-7.8068e-05i,0.00032789+0.00054475i
-0.00020452-0.00064973i,-0.00099245-0.00045504i,-0.0012362-0.00045068i,-0.0006616+0.00051292i,0.00033024+0.00066219i,0.00048263-0.00019212i,0.00041755-0.00078929i,0.00045641-0.0008988i,0.000361-0.0010193i,-0.00012919-0.00073217i,-0.00089152+0.00021289i,-0.0005667+0.0015343i,-9.1076e-05+0.0019802i,-0.00029684+0.0011146i,-0.00041761+0.00081239i,-0.00076499+0.00024466i,-0.00060432+9.5627e-05i,0.00022556+0.00044026i,0.0011044+5.098e-06i,0.00098724-0.00046308i,0.0005605-0.00035417i,0.00053022-0.00022281i,0.00030876-0.00052418i
0.0011411+0.00083082i,0.0012889+0.00069673i,0.00076957+0.00056322i,-0.00035785+0.00012114i,-0.0011926-0.00054495i,-0.0010454-0.00019568i,-0.00094621+0.0004454i,-0.00054795+0.0007731i,0.00030939+0.00061855i,0.00026452-0.00019916i,-0.00070501+0.00015792i,-0.0010954+0.00070242i,0.00026992+0.00076561i,0.00037072+0.00081519i,0.00010215+0.0012318i,0.00067306+0.0018917i,-7.1386e-05+0.0018578i,-0.00020578+0.00061209i,0.00017283+0.00027353i,-0.00036947+0.00053865i,-0.00021354+0.00073069i,0.00028283+0.00048731i,0.00011668+0.00029456i
0.00082607+0.00016771i,0.0021425-0.0002911i,0.0027668-0.0014958i,0.0030184-0.0015438i,0.0023616-0.00127i,0.0019781-0.00065803i,0.0018364-0.00031181i,0.00089687-0.00055738i,0.00042109-0.00073047i,-0.00034492-0.000575i,-0.00063481+1.4219e-05i,-0.00030538+0.00095404i,-0.00042214+0.00086063i,-0.000416+0.00092896i,0.00023832+0.0014602i,-9.5803e-05+0.00092164i,-0.00021577+4.3786e-06i,0.00084319+0.000181i,0.00041018+3.935e-05i,-2.4846e-05-0.00029577i,0.0004585+0.00012032i,0.000162-0.00013605i,0.00022256-0.00042578i
0.00198-0.0022809i,0.00052162-0.0014055i,-0.00060469-0.0019749i,-0.00020877-0.001601i,-0.00030387-0.0010526i,-0.0005222+9.7485e-05i,-0.00034786+0.00042398i,-0.00018145-0.00082642i,0.00036635-0.0012408i,0.00059406-0.00088868i,0.00055351+0.00079415i,-0.00014387+0.0016755i,-0.00064373+0.00093357i,0.00026194+0.00070787i,0.0010033+0.00012393i,0.0002365-0.000171i,-0.00072024+0.00065126i,-0.00089811+0.001057i,-0.00027685+0.00025279i,-0.00020953-0.00027367i,-0.00053737+0.00011296i,-0.0005793+0.00019396i,-0.0012739+0.00029709i
-0.00086443+0.00029153i,-0.00070507+0.00056399i,-0.0011711+0.00072766i,-0.0011697+0.00030704i,-0.00093002-0.00029454i,-0.00020447-0.0004887i,0.00060183-0.00023334i,0.00080041-0.00034187i,0.00093735-0.00037514i,-0.00029783-0.00041775i,-0.0011596-0.00010045i,-0.00059592+0.00034395i,-0.00058758+0.00031877i,-0.0010731+0.00029592i,-0.0011164+0.00047863i,0.00011578+0.00045463i,0.0010946+9.0291e-05i,0.00085423-5.234e-05i,0.00038204-6.2837e-05i,0.00038067-0.00026273i,0.00063353+0.00029142i,0.00020542+0.00055539i,-0.00012274+0.00019881i
0.00033484+0.0012338i,-0.0001921+0.00067536i,0.00027329-0.0001244i,0.00072363-4.2853e-06i,0.00079145-0.00064782i,6.585e-05-0.0015133i,-0.000411-0.0015229i,0.00030962-0.0014006i,0.00033028-0.00086017i,-0.00015221-0.00053886i,-0.00044379-0.00059089i,-0.0013509+9.3461e-05i,-0.0013051+0.00019599i,-0.00063625+0.00011474i,-9.5733e-05+0.0011491i,0.0004572+0.0016935i,0.00053455+0.0011031i,0.00088696+0.00039475i,0.00091069+0.00046347i,0.00098947+0.00055691i,0.00033976+0.00072346i,-0.00012077+0.0007074i,0.00025217+0.00020476i
0.00062503+0.00052361i,0.0014549-0.00093237i,0.00093274-0.0013537i,0.00015214-0.00072262i,0.00011885-0.00067715i,0.00049035-0.00054314i,0.00061987-0.00088033i,6.0239e-05-0.0010921i,9.5268e-05-0.0010072i,0.0005752-0.00071196i,0.00027983-5.9784e-05i,-0.00064372+0.00043289i,-0.00080739+0.00078308i,3.7593e-05+0.00072842i,0.001161-0.00023199i,2.0074e-05+0.00012829i,-0.0010232+0.0014135i,-0.00025008+0.0017621i,-0.00014207+0.0012617i,-0.0007755+0.00014312i,-0.00010887-0.0008956i,0.00086698-0.00035254i,0.00078709+0.00079814i
-0.0019644-0.0018045i,-0.0014792-0.00095142i,-0.0023202-0.00064575i,-0.0027629-0.00051213i,-0.0018633+0.00056339i,-0.0005093+0.00066321i,0.00016335-0.00022977i,0.00012467-0.00055957i,-0.00061976-0.00065211i,-0.0011542+0.00022458i,-0.00072406+0.00087422i,-8.0574e-06+0.00098581i,0.00059282+0.0010519i,0.00035901+0.00080286i,0.00020017+0.00085705i,0.0010352+0.0012637i,0.00078534+0.0018979i,7.6798e-06+0.0017916i,8.6037e-05+0.00045599i,-0.0001124-0.00041228i,-8.475e-05-0.00070972i,0.00050658-0.00037209i,0.00039841+0.00027865i
0.00050283-0.00035618i,0.0011595+0.00061696i,0.00098991-0.00049036i,0.00093036-0.0013308i,0.0011033-0.0012035i,0.00079946-0.00028902i,0.00029633+0.00023214i,-0.00017045+0.00027429i,-0.00014565+6.3496e-05i,8.6587e-06-3.8425e-05i,-0.00022944+0.00010883i,-0.00016987-9.8597e-05i,0.000375+0.00086305i,0.00025051+0.001824i,0.00024399+0.0013055i,0.00050009+0.00071497i,0.0002108+0.00050277i,9.5849e-05+0.00063603i,-0.0006095+0.00033664i,-0.00095441-0.00034152i,1.0245e-05-0.00038621i,0.00068784-0.00047363i,0.00071254-0.00049923i
