-0.0021318+0.00031859i,-0.0032448+0.0006639i,-0.00294+0.00097697i,-0.0012077+0.00066488i,-0.0013962+0.0008604i,-0.0018557+0.0010071i,-0.0013218+4.9983e-05i,0.00029365-0.00027296i,0.001168-0.00027374i,0.0011325-0.00011396i,0.00083393-2.3671e-06i,0.00042983-7.8309e-05i,0.00081806+0.00016087i,0.00044199+0.00044015i,-0.00031119+0.0003325i,-0.00069588+0.0002849i,-0.00085375+7.9266e-05i,-0.00074209-0.00020188i,-0.00030947+3.577e-06i,0.00010025+0.00053543i,0.00044647+8.759e-05i,9.4984e-05-0.00032761i,-0.00013375-0.00022422i
-0.001439+0.00074256i,0.00010192+0.0013908i,0.00070655+0.0028613i,8.8141e-05+0.0023498i,0.00044552+0.00080963i,0.00074244-0.00052095i,0.00039709-0.001624i,0.00055139-0.001961i,0.00084662-0.0013146i,0.0013379+0.00026556i,0.00065992+0.00097544i,-0.00029892+0.00078671i,0.00011271+0.00027876i,0.00015237+0.00021034i,-0.00025678+6.4169e-05i,0.00030369-0.00024322i,0.00028997-0.00047201i,-0.00030033-0.00044403i,-0.00033531-4.8114e-05i,0.00013491-0.00059212i,0.00030501-0.00057179i,0.00061517+9.5037e-05i,0.00092383+0.00037549i
-1.4085e-05+0.0022606i,-0.00091137+0.0019981i,-0.001741+0.0013376i,-0.00093741+0.0014985i,0.00013067+0.0014188i,0.00044889+0.00027199i,-9.5634e-05-0.00049675i,-0.00050755-0.00086455i,0.00018124-0.00091176i,0.00090575-0.0010491i,0.00071862-0.00029448i,0.00058356+0.00041218i,0.00049088+0.00018821i,0.00038347-0.00043555i,-4.8299e-05-9.0759e-05i,-0.00047183-1.7906e-06i,-0.00042538-0.00070363i,-6.8114e-05-0.00078423i,0.00021253-0.00074363i,0.00049821-0.00084049i,0.00078696-0.00054271i,0.0001552+0.00039654i,-1.5034e-05+0.00054216i
3.7177e-06-0.0013564i,0.00068254-0.0015315i,0.0013493-0.0017798i,0.001664-0.00043198i,0.00071913+0.00084185i,-0.00059489+0.00078442i,-0.00092604-0.00058786i,-0.00038139-0.0018338i,0.00045081-0.0019754i,0.00042871-0.0015519i,6.0263e-05-0.00078314i,0.00029654-0.00014149i,0.00031993-0.00023553i,8.8107e-06-0.00097088i,0.00048616-0.0010147i,0.000291-0.00072746i,-0.00077912-0.0010239i,-0.00048637-0.00051241i,0.00018965+0.00033134i,0.00058381-0.00013754i,0.0010295-0.00038675i,0.00035303+0.0003388i,-0.00095021+0.00029406i
0.0019569-0.00091272i,0.0010704-0.0012478i,-0.00044288-0.00074475i,-0.0013225-0.00058316i,-0.00103-0.00052047i,-0.000627-0.00037052i,0.00019004-0.00056859i,0.00037471+2.2244e-06i,0.00048018+0.00018176i,0.0010295-0.0012271i,0.00091471-0.0017526i,0.0010627-0.0010944i,0.0017497-0.00097012i,0.0013409-0.0011076i,0.00062433-0.00038778i,0.00049205+0.00012446i,0.00051149-0.00025423i,6.5721e-05-0.00021516i,-0.00049144-0.0003439i,9.6759e-05-0.00033585i,0.000667+0.00027414i,-9.3304e-05+0.0011526i,-0.00080272+0.001565i
-0.0011976-0.00064213i,-0.0006204-0.00090953i,-0.00057373-0.00049359i,-0.00050083-8.7286e-05i,-0.00016978+0.00034504i,-0.00011627-8.2027e-07i,-0.00010732-0.0011796i,0.00038051-0.0016884i,0.00076538-0.0014995i,0.0002633-0.0016115i,-0.00030452-0.0012509i,0.00039452+0.00031471i,0.00080726+0.00027118i,0.00010655-0.00039561i,-0.00030581-7.5814e-05i,0.00035732+0.00027137i,-9.4469e-05+0.00020322i,-0.00093743+0.00018254i,-0.00042058-0.00024326i,0.00032659+8.5252e-05i,0.00043749+0.00030898i,0.00032453-0.0004782i,-0.00036208-0.00034093i
0.00046916-0.00011546i,-0.00022279+0.00061719i,-0.0018221+0.00080866i,-0.0026673-2.928e-05i,-0.0020633-0.00062288i,-0.00037121+0.00014438i,0.00039264+3.3357e-05i,0.00067522-0.00072051i,0.0017132-0.00078561i,0.0014366-0.00021466i,0.00062675+0.00027675i,0.00054153-6.6036e-05i,-7.7347e-05-0.00085444i,-0.00080288-0.00085903i,-0.00098293-8.1701e-05i,-0.00066737+0.00048572i,-0.00050653+0.00059499i,-0.00053181+9.5181e-05i,-0.00046919-9.1511e-05i,-0.00036001+0.0003339i,4.9173e-06+0.00088315i,0.00014424+0.00056051i,0.00096311-2.8849e-05i
0.0014713+0.0012813i,0.0015184+0.00048823i,0.0020807+0.00050101i,0.0017887-0.00011605i,0.0024239-0.0013517i,0.0020056-0.0013423i,0.00086714-0.00030924i,0.0011558-0.0004723i,0.0012993-0.0010175i,0.0011628-0.0011287i,0.0010837-0.00052334i,0.00093486+0.0003598i,0.00046334-0.00033309i,0.00020255-0.0010521i,-0.0003115-0.0012202i,-0.00096875-0.00048898i,-0.0011478+0.00028262i,-0.0014462+0.00053552i,-0.00087731+0.00059679i,0.00058058+3.06e-05i,0.00080917-0.00061402i,0.00056133-0.00021477i,0.00045489+0.00029007i
-0.00086616+0.0013355i,-0.00075457+0.0029898i,-0.0010304+0.0042908i,0.00031121+0.0038168i,0.0021283+0.0027907i,0.0020588+0.0015406i,0.00062946-7.5817e-05i,-0.00010031-9.6845e-05i,-0.00033049+0.00030662i,1.9299e-05+0.00024711i,0.00092596+0.0010824i,0.0011431+0.0014536i,0.00073215+0.00043262i,8.7797e-05-0.0010173i,-0.00054152-0.0014201i,-0.00044646-0.0011733i,-0.00053187-0.00062637i,-0.0011628+0.0001763i,-0.00096979-0.00038285i,-0.00084038-0.00068154i,-0.00036888-0.00063672i,0.00029872-0.00075403i,0.00042576-0.00071612i
0.00083157-0.00072732i,-0.00048432-0.0010994i,-0.00064727-0.0010273i,-0.00030355-0.00092268i,-0.00012817-0.00061079i,-0.00050584-0.00073024i,-0.00062186-0.00073474i,0.00044074-0.00066981i,0.0010571-0.00087459i,0.00013745-0.00066881i,-0.00026202-0.00050648i,0.00035845-0.00035473i,0.00063614-0.00053738i,0.00088323-0.001161i,0.00056528-0.0012206i,0.0001673-0.0012663i,-0.00016409-0.0011164i,-4.9069e-05-0.00032734i,-0.00012788-6.2343e-05i,-0.00011027-0.00018369i,6.6842e-06+0.000147i,9.941e-05-0.0006224i,0.00018277-0.00096694i
-0.0015299-0.00014143i,-0.0014348+0.00078228i,-0.0010895+0.0013615i,0.00098162+0.0013144i,0.0014543+0.0013523i,0.0004178+0.00093503i,0.00016156-5.382e-05i,0.00028838-0.0010428i,2.7922e-05-0.0017707i,0.00038398-0.0013711i,0.00094051+8.8666e-05i,0.00077787+0.00055592i,0.0007139-0.00035696i,2.925e-05-0.0013004i,-0.00036006-0.00067353i,-0.00022496+0.00031568i,-0.00087496+0.0001463i,-0.00079029+0.00025295i,0.00022683+0.00069919i,-8.2656e-05+0.00079486i,-0.00053869+0.0006442i,-0.00027814+0.00034308i,-0.00011017-0.00051724i
-0.0010697+0.0019866i,-0.00073501+0.0015333i,-0.00058997+0.0012734i,0.00012351+0.0013739i,0.00049023+0.0012447i,-0.00025214-0.00011581i,-0.00084421-0.00091798i,-0.00024945-0.00089987i,0.00012816-0.00038157i,0.0001942-0.00045692i,0.0010704-0.00037468i,0.0011518-0.00013898i,0.00068347+1.6353e-05i,0.00034764-1.119e-05i,-0.00044731-0.00030759i,0.00015257-0.00037995i,0.00078466-0.00070022i,0.0007054-0.00026178i,-3.3804e-05+0.0004733i,-0.0006886+0.0001035i,-0.00054738-0.00048366i,0.00015189-0.00017735i,0.00012977+0.00013426i
-1.2294e-05-0.0010097i,-0.00048173-0.00066211i,0.00075011-0.0010995i,0.0012588-0.00060669i,-1.0685e-05-2.6681e-05i,0.00026667-0.00048892i,0.00069415-0.00058443i,7.9712e-05-0.00038269i,0.00011036-0.00012115i,0.00042521-0.00030342i,0.00063967-0.00043898i,0.00064954-0.00034535i,0.00041896-0.0003373i,0.00020965-0.00024241i,-4.1289e-05+0.00047825i,-0.0002678+0.0010897i,-0.00078125+0.00059621i,-0.00051492+8.5293e-05i,-5.2816e-06-7.4404e-05i,-0.00033924-0.00013179i,0.00026524-2.1185e-05i,0.00070088+0.00011846i,7.9552e-05-0.00024836i
-0.00037324-4.5897e-05i,0.00033071+0.0007024i,0.00029717+0.0010926i,-5.8987e-05+0.0019392i,-0.00015298+0.00136i,0.0002271+0.00016041i,0.00038822-0.00041686i,0.0004685-0.0011544i,0.00090891-0.0015398i,0.00070898-0.00040137i,0.00022708+0.00019937i,2.3708e-05-0.00046031i,-0.00048289-0.0013618i,-0.00063113-0.0013959i,-0.00032389-0.00080874i,-0.00049116-0.00060296i,-0.0010089-0.00075814i,-0.00069689-0.00017449i,-0.00072272+0.00051237i,-0.0010821+0.00035947i,0.0003483+0.00025331i,0.00055889-3.0574e-05i,-0.00010879-0.00023002i
-0.00115+0.0017537i,-0.0006037+0.002289i,0.00017337+0.0029641i,0.00019368+0.0024265i,3.0673e-05+0.0013988i,-0.00026905+0.00019932i,-0.00064241-0.00073777i,-0.0005654-0.0010609i,3.4888e-05-0.00098733i,0.00073385-0.00058659i,0.0012738+0.00013004i,0.0013004-0.00023699i,0.00036653-0.00094219i,-0.00044328-0.00067053i,-0.00014067-0.00070129i,0.00013656-0.00065734i,-0.00038089-0.00062297i,-8.8628e-05-0.00097676i,2.0233e-05-0.0007006i,8.3609e-06-0.00030503i,0.0007034-0.00035641i,0.00081546-0.00043064i,0.00067913-6.0961e-05i
-0.0021961-3.679e-05i,-0.0023545+4.0602e-05i,-0.0020595+0.00084182i,-0.0009298+0.0010845i,-0.00014708+0.00077236i,0.00048857+0.00025662i,0.00069666-0.00024026i,0.00070617-0.00025393i,0.0004798-0.00053691i,-0.00012788-0.00037183i,-0.00057256-0.00044787i,0.00012744-0.0011232i,0.00080417-0.00076669i,0.00071127+0.00039335i,0.00076659+0.001279i,0.00034548+0.0010909i,0.00022824+0.00010354i,0.00050837-0.00013461i,0.00027307+3.1149e-05i,-0.00012099-0.00033869i,0.000391-0.00095413i,0.00057264-0.00095248i,-0.00040739-0.0008084i
0.00077615+0.0012216i,0.0005091+0.00085392i,3.8508e-06+0.000321i,-0.00032782-0.00032107i,0.00060447-0.00063061i,0.00099631-0.0005711i,-0.00015368-0.00071205i,-0.00065009-0.00050161i,-0.00024834-0.00073114i,0.00018926-0.0013123i,0.0002903-0.0011928i,4.5433e-05-0.00049477i,0.0005175-0.00056028i,0.00092294-0.00025257i,0.00025836+8.549e-05i,-0.00030512+7.191e-05i,-7.7752e-06-6.0441e-05i,0.00047548+0.00031085i,0.00073238+0.00057312i,0.00080972+0.00064503i,0.00023387+0.0004765i,-0.00019209+6.2585e-05i,0.00030678-0.00047618i
-0.0004108+0.0013004i,-1.4517e-05+0.0017441i,0.00042442+0.0015967i,4.9209e-05+2.3535e-05i,0.00037467-0.00047196i,0.0001471-3.8253e-05i,-0.00079533-0.00071531i,-0.0002095-0.00093576i,0.00090064-0.00081184i,0.00065937-0.001149i,0.00036012-0.00086175i,-0.00028491-0.00067041i,-0.0001597-0.00099626i,4.572e-05-0.00065002i,-0.00075383-0.00037582i,-0.00095901-0.00050849i,-0.00071569-0.00024885i,-0.00021644+0.00038964i,0.00039179-0.00028091i,0.00065988-0.00093763i,0.00029932-0.0001898i,0.00046856+0.00046418i,-6.702e-05+0.00078717i
-0.00059481-0.00058166i,-0.0013085-0.00063757i,-0.0018293+0.00063071i,-0.0015752+0.0008604i,-0.00039714+0.00019614i,0.00050903-0.00020132i,0.00045182+0.00015712i,0.00082194+0.00025487i,0.0011603-0.00040338i,0.0008993-0.001285i,-0.00011595-0.00084266i,-0.00041265-0.00026742i,-0.00015832-0.00036118i,0.00013747-0.0002351i,0.00012912-9.4238e-05i,-0.0002925-0.00056377i,-0.00032636-0.00038506i,-0.00053491+0.00044651i,-0.00068839+0.00071308i,-0.00061312+0.00074872i,-0.00022236+0.0001824i,-0.0001069-0.00022741i,-0.00022145-3.8859e-05i
-0.00060628+0.0018477i,0.00045196+0.0018745i,4.7985e-05+0.0015988i,-0.0011244+0.0011831i,-0.00063226+0.00030352i,0.0011274-0.00070428i,0.00099143-0.0013106i,-5.1912e-05-0.0011116i,0.0001063-0.0010588i,0.00078378-0.0010252i,0.00078733-0.00022273i,0.00042987+0.00031421i,0.00063067-0.00062387i,0.00055177-0.0007802i,-0.0001545-0.00026162i,-1.252e-05-0.00068198i,0.00055799-0.0012565i,0.00068165-0.0010921i,0.00078566+5.1058e-05i,0.00090725+0.001054i,0.00071279+0.00037381i,0.00074062-0.00050629i,0.00033876+1.793e-05i
0.00022767+0.0016388i,0.00038128+0.0024736i,-0.00018388+0.002609i,0.00047896+0.0020683i,0.0015034+0.0010599i,0.0021189-1.5207e-05i,0.0010116-0.00052381i,-0.00024738-0.0011008i,0.00034358-0.0022035i,0.00084923-0.0019116i,0.00043772-0.0012129i,0.00064921-0.00080844i,0.00041002-0.00078511i,-0.00072216-0.0016467i,-0.00085415-0.0021211i,-0.0002749-0.00090348i,-0.00030131+0.00060324i,-0.00086677+0.00012206i,-0.00066964-0.0006855i,-0.00063268-1.8357e-05i,-0.00020885+0.00040607i,0.00083667-0.0003802i,0.00049973-0.00031656i
-0.001278+0.0021118i,-0.0010242+0.0019916i,-0.00027273+0.0024507i,0.0005583+0.0018598i,0.0012647+8.9791e-05i,0.001127-0.0014857i,0.00059035-0.0011985i,0.00029856-0.00090659i,0.00086482-0.00041424i,0.00067084+0.00036423i,8.4766e-05+1.6507e-05i,0.00083428-0.00026164i,0.0017709-0.00039155i,0.0013553-0.00066515i,-6.2927e-05-0.00013766i,-0.00026506-0.00023099i,-5.1902e-06-0.00047859i,-0.00030041+0.00029315i,-9.4568e-05+0.00010549i,-0.00011398-0.00059634i,0.00018849-0.0010348i,0.0005953-0.00055156i,0.00044134+0.00013583i
-0.0014726-0.00073643i,-0.00094866-0.00068148i,-0.0011362+0.00042946i,-0.0009889+0.00097739i,0.00012599+0.00054339i,2.1885e-05-8.5022e-05i,-0.00053302-0.00053149i,-0.00028951-9.3689e-05i,-0.00023266-0.00018816i,-0.00010386-0.00062826i,0.00042267-0.00027408i,0.00057039-0.00047861i,0.0003757-0.00081785i,0.00033693-0.00036448i,-0.00018315+0.00043572i,-0.00019685+0.00080726i,-0.00016652+0.0004124i,-0.0009855-0.00024488i,-0.0006984-0.000555i,0.0003014-0.0003335i,0.00055248+0.00041919i,0.0008579+0.0014514i,0.0004849+0.0018612i
0.00086844+0.0002911i,0.0013024+0.00067848i,-0.00026467+0.00095635i,-0.0011933+0.00086477i,-0.00063003+0.0008607i,0.00039813-0.00025036i,0.00085908-0.0007945i,0.00084544-0.00042122i,0.00022484-0.001134i,-0.00048978-0.0014605i,-0.00029296-0.00067969i,0.00012443-0.0010839i,0.00022111-0.0014162i,-0.00011658-0.00066116i,-0.00040394+0.00025816i,-0.00014709+0.00055755i,0.00062689-4.0495e-05i,0.00016943-0.00015389i,-0.00064171-2.0382e-06i,-0.00052024-0.00063731i,7.8307e-05-0.0007632i,-0.00044379+5.3661e-05i,-0.00076274+7.8053e-05i
0.00074337+0.0016591i,8.7563e-05+0.0014161i,0.00013074+0.00088656i,0.00056329+0.00039443i,0.00080118-0.00068847i,0.00039753-0.0012928i,-0.00040628-0.0007523i,0.00025733-0.00080394i,0.0012072-0.00029565i,0.00053603+0.00070914i,0.00064908+0.0009796i,0.00081737-3.5596e-05i,0.00090282-0.00088194i,0.00061526-0.0005479i,-5.0261e-05-0.00041945i,0.00034953-0.00047185i,0.00047111-0.00031171i,-0.0001528-0.00031698i,0.00015932-2.5699e-05i,0.0010672-0.00014602i,0.0011151-0.00042613i,0.00091263-0.00019529i,0.0011262-0.00042948i
0.00091224-0.00044101i,5.2838e-06+1.0194e-06i,-0.00092933-0.00035952i,-0.00090773-0.00084109i,-7.0988e-05-0.00098187i,0.00047489-0.00056386i,-0.00045517-0.00027966i,-0.0010002-0.0008242i,-0.000746-0.0013153i,-0.00048585-0.0012937i,-0.00066664-0.00078154i,-0.00016503-0.00047704i,0.00046215-0.00037002i,2.6573e-05-0.00022141i,-0.00069991+0.00015475i,-0.00087169+0.00067094i,-0.00065233+0.00024194i,-0.00053295-0.00034963i,7.6699e-05+7.7709e-05i,0.00076577+5.5775e-05i,0.0012439-0.00093188i,0.00075735-0.00073594i,1.1673e-05+0.00010426i
0.0009997+0.00040321i,0.0013086+0.001292i,0.0016198+0.0017213i,0.0010866+0.0017737i,0.00083235+0.00069195i,0.00040216-0.00038678i,-0.00017458-0.0003749i,0.00052208-5.583e-05i,0.0015752-0.00052338i,0.0014905-0.0011531i,0.00095182-0.0010588i,0.00073654+0.0003249i,0.00055017+0.00028522i,0.00094726-0.0011981i,0.00075566-0.0013274i,-0.00016885-0.00042283i,-0.00061321+0.00013707i,-0.0012236+6.3496e-05i,-0.0012963+0.00021504i,-0.00034725+0.00022423i,0.00010438-6.97e-06i,-0.00028757-0.00022971i,-0.0003491-0.00024473i
0.00093597-0.0013696i,-0.00025536-0.00097314i,-0.001504-0.00050028i,-0.0014663-6.6262e-05i,-0.00061504-0.00045218i,-0.00025967-0.00035025i,-0.0008227-0.00042078i,-0.0011217-0.00078117i,-0.00094415-0.00072929i,0.00026295-0.00068233i,0.00035101-0.0011103i,0.00045691-0.00088066i,0.00084435-0.00042926i,7.8139e-05-0.0010745i,-0.00078452-0.0009663i,-0.0011947-0.00062295i,-0.00068921-0.00036508i,-0.00089342+7.065e-05i,-0.001209+0.00018498i,-0.00088782-0.00020399i,-0.0010022-0.00091111i,-0.0011989-0.00048871i,-0.0011045-0.00011936i
-0.00092828+0.00061356i,-0.00093586+0.00032657i,-0.001029+0.00065936i,-0.0002109+0.0013592i,0.00078551+0.0017364i,0.00028882+0.00074127i,-0.00086099-0.00019545i,-0.00092819-0.00076735i,-0.00013679-0.00097335i,0.00097577-0.00038691i,0.00073529+0.0007592i,0.00037848+0.00075398i,0.0011638+2.8995e-05i,0.0003841-0.00019553i,0.00026353-0.00042178i,0.0011608-0.00050599i,0.00051982-0.00043121i,-0.0002376-0.00019489i,0.00038603-0.00011685i,0.0010734-0.00040186i,0.0008599-0.00020854i,0.00044931+0.00026648i,0.00033832-4.3175e-05i
-0.0010074+1.2965e-05i,-0.00050807+0.00016551i,-0.00032427+0.0004349i,-0.000694+0.00042015i,-0.00026381+0.00026372i,0.00049027+0.00028871i,0.00017548+0.0002487i,0.00026719-6.9765e-05i,0.00046271-0.00016123i,0.00046846-0.00048121i,0.00036407-0.00091882i,0.00077553-0.00067489i,0.0011967-0.00028376i,0.001128-0.00041486i,0.0011801-0.00052753i,0.0006562-0.00022124i,-0.00066734+0.00026525i,-0.00079456+2.7134e-05i,-4.9766e-05+0.00022777i,7.1432e-05+0.0013105i,-0.00012063+0.001113i,0.00021089+0.00048571i,0.00021731-3.8725e-06i
-0.00037374-0.00010893i,-0.001343+4.2199e-05i,-0.0013074+0.00067399i,-0.00075212+0.0017272i,-0.00039303+0.00094093i,0.00041828-0.00044151i,0.0004209-0.001059i,-0.00079505-0.00079768i,-0.00075083-0.00095617i,-0.00029774-0.0012233i,-0.00033373-0.00051217i,4.3852e-05+2.0245e-05i,0.00076551-0.00024969i,0.0002123-0.00087296i,-0.00051354-0.0013145i,-0.00010641-0.00068171i,-0.00087298+0.00012643i,-0.0010056+0.00033583i,0.0002157+0.00015356i,0.00017838-0.00010872i,-0.00026559-0.00011345i,-0.00053243-0.0007195i,-0.00020102-0.0013836i
0.00079912-0.00014883i,0.00051364-0.00043673i,-0.00056516-0.00029462i,-0.00099599-0.00088665i,-0.00022215-0.0016967i,-0.00030031-0.0018099i,-0.00014348-0.0013422i,0.00013799-0.0011707i,-9.5255e-06-0.0008024i,2.5263e-05-0.00034047i,0.00042288+0.00035241i,0.00020196+0.00033599i,0.00018137-0.00014239i,0.00059786-0.00021751i,7.5776e-05-0.00034345i,1.7343e-05-8.3631e-05i,0.00027867+0.00029477i,0.00015832-0.00019042i,0.00055005-0.00061006i,0.00040313-3.5133e-05i,-0.0003766-0.00010059i,-0.00010893-0.00065401i,0.00031796-0.00034302i
0.0011244+0.0017582i,0.00063153+0.001288i,0.00083782+0.0010013i,0.00066386+0.00084519i,0.00064182+0.00011852i,9.1953e-05-0.00090179i,-0.00078445-0.00089717i,-0.00051306-0.00037163i,-0.00035827-0.00034911i,-0.00020517-0.0010232i,0.00055693-0.0014676i,0.00081699-0.0013106i,0.00087274-0.00023604i,-2.9327e-05-5.802e-05i,-0.00067709-0.0011664i,0.00030269-0.00097403i,0.00061981-0.00044643i,8.5228e-05-0.00013798i,-4.3523e-05+0.00041533i,0.00068047+0.00081648i,0.00096897+0.0008111i,0.00085476+0.00011605i,0.00056431-0.00037678i
