-0.002455-0.00017916i,-0.002806-0.0005823i,-0.0036357-0.00065688i,-0.0040839+0.00018178i,-0.0043615+0.0010293i,-0.0028252+0.0010332i,-0.0015043+0.0011204i,-0.0011432+0.0016997i,-0.00046408+0.0011829i,-0.00080648+0.0010701i,-0.0013484+0.0011559i,-0.0017242+0.0010303i,-0.0019378+0.00087028i,-0.0011797+6.9173e-05i,-0.00053968-0.00028423i,9.5555e-05-8.4665e-05i,0.00046316+0.00064555i,0.00030411+0.00095207i,-7.138e-05+0.00012558i,-0.00073436-0.00052739i,-0.00023376-0.00071042i,0.00051521-0.00063376i,-9.5901e-05-0.00089614i
0.00061018-0.001812i,-0.00069708-0.0018105i,-3.2074e-05-0.0018227i,0.00061854-0.0014386i,9.2387e-05-0.0014373i,-0.00078183-0.0013675i,-0.0013178-0.0012174i,-0.0015352-0.00086919i,-0.001131+0.00027575i,-0.0005522+0.001605i,0.00036209+0.00099726i,0.00028463+0.00014254i,-0.00013596-0.00028222i,-1.9823e-05-0.00053511i,0.00022594-0.00022175i,0.00022988-2.5659e-05i,2.5777e-05+0.00036476i,4.3428e-05+0.00050203i,0.00051918-0.00013129i,0.00045337-0.0004247i,-0.00018606-0.000175i,-0.00091786-0.00043367i,-0.00087102-0.00026462i
-0.00051205-0.0014998i,9.6196e-05-0.0013158i,5.1145e-05-0.00050322i,-0.00029494-0.00048609i,-0.0013009+0.00013896i,-0.0016695+7.7489e-05i,-0.0011899-0.00029635i,-0.00069709+0.0004226i,-0.00073695+0.0011215i,-0.00081592+0.0011196i,-0.00049016+0.00046319i,-2.9345e-05-6.4041e-05i,0.00026665+0.00018258i,0.00014523+0.00080263i,-0.0006651+0.00087872i,-0.0011899+0.00071219i,-0.00076835+0.00025108i,-0.00053464-0.0006403i,-0.0004031-0.00067611i,0.00032636-0.00024662i,0.00054633-0.0002864i,6.0303e-05-0.0002509i,-0.00043899+0.00013512i
0.00016432-0.00108i,-0.00067267-0.00032945i,-0.00069485-0.00093379i,-0.00088236-0.00081287i,-0.0011798+0.00030173i,-0.00044314+0.00044692i,-0.00043414+0.00043044i,-0.0004029+0.00044475i,-6.2708e-05-0.00025403i,-0.00022906-0.00030217i,-0.00073857-0.00018539i,-0.0010777+0.00057964i,-0.0010921+0.0010179i,-0.00094459+0.0011059i,-0.00090515+0.00093368i,-0.00029297+0.00028056i,-0.00048545+0.00077414i,-0.00098439+0.00044367i,4.7327e-05+3.2641e-05i,0.00057611+0.0005337i,0.00034488+0.00038201i,-8.2956e-06-0.00015083i,-9.7888e-05-0.00040997i
-0.00058453-3.6591e-05i,-0.00050536+0.00013252i,1.3785e-05+0.00022867i,-4.2832e-05-0.00067428i,-0.00056358-0.00097349i,-0.0018503-0.00046975i,-0.0015433-0.00091803i,-0.00056317-0.0010664i,-0.00018797-0.00039221i,-5.7592e-05+0.00016324i,-0.00024631-9.6818e-05i,-0.00087542-0.00063032i,-0.0014979-2.5389e-05i,-0.00061565-7.3792e-05i,0.00014345-0.00030434i,-0.00026984+0.00019928i,-0.00019932+0.00027272i,-3.6002e-05+0.00048275i,2.075e-05+0.00025447i,9.9924e-05-0.00016573i,0.00062439-0.00012901i,0.00069426-0.00026886i,-0.00025543+3.4465e-05i
-0.00018179-0.0023364i,-0.00022171-0.0018714i,-0.00033522-0.0014728i,-0.00015037-0.001462i,-0.0009973-0.0013847i,-0.00071917-0.00080018i,-0.0002652+0.00033415i,-0.00098224+0.00022892i,-0.0011196-0.00014075i,-0.00041564-0.00010087i,-9.4696e-05+7.2068e-05i,-0.00047584+0.00018382i,-0.00052998+0.00071922i,-0.00010595+0.00087668i,0.00018111+0.00044107i,0.00043344+0.00055106i,0.00059221+0.0010343i,0.00019885+0.0011934i,-0.0007304+0.00067883i,-0.00086744-0.0002053i,-7.4902e-05-0.00078971i,0.00028838-0.00058302i,0.00014255+1.3323e-05i
-5.7273e-06+0.001554i,-0.00033876+0.0015539i,-0.00091295+0.0020731i,-0.0011119+0.0018085i,-2.3093e-05+0.0013228i,0.00026991+0.0004582i,-0.00053587-5.8787e-05i,-0.00060251+6.6908e-05i,-0.00039051+0.00095561i,-0.00054353+0.0011451i,-0.00041125+0.00090265i,-0.00054233+0.00039457i,-7.7416e-05-0.00052449i,0.00032279-0.00054504i,-0.00024876-0.00054779i,0.00026653-0.00039792i,0.00090665+0.00040564i,0.00015087+0.00068914i,-0.00060258+0.00031861i,-0.00084071+0.0003094i,-0.00023963-0.00039138i,0.00018803-0.00037773i,-0.0003481+0.00063441i
5.3219e-05+0.00032504i,0.00028094+0.00037733i,-1.3453e-05+0.00024438i,-0.00079014+4.4932e-05i,-0.0015056-0.00042926i,-0.0010624-0.0010611i,-0.00086823-0.0011315i,-0.0013568-0.00017478i,-0.0017007+0.00056668i,-0.0014332+0.00063116i,-0.001625+0.00030614i,-0.0013292-0.00028299i,-0.00098625-0.00044919i,-0.00066227-7.4726e-05i,0.00021821-0.00023904i,0.00028254-0.00010436i,-2.4593e-05+0.00051518i,0.0002887+0.00055577i,0.00089457+0.00013741i,0.00054775+0.00027863i,0.00013446+0.00033527i,0.00019496+0.00014692i,-0.00013445-0.00063118i
-0.000191-0.00099457i,0.0012777-0.00072837i,0.0012728-0.00035817i,0.0011868-0.00032746i,0.00092799-3.9365e-07i,0.00071475-1.6295e-05i,0.0009521-0.00023051i,6.0291e-05+9.3517e-05i,-0.0014283+0.0006127i,-0.00094797+0.00088318i,-0.00020979+0.00035942i,-0.00061792-0.00020605i,-0.00071469+6.2226e-06i,-0.00038094+0.00034213i,-0.00049128+0.0001537i,0.0002955-0.00052996i,0.00085387-0.00038835i,-0.00041373-0.00023145i,-0.00057212-0.00035989i,7.2051e-05-0.0003209i,-0.00026421-9.7591e-05i,-0.0008297-0.00010163i,-0.0010092-0.00044992i
-0.00019046+0.00010365i,-0.0011922-0.0010065i,-0.00081178-0.00067929i,-0.0011131-0.00075594i,-0.0010745-0.0013077i,-0.00063869-0.00073026i,-0.0011095-4.8512e-05i,-0.0013318-7.0363e-05i,-0.0010194+0.00015339i,-0.00050179+0.00064258i,1.4195e-06+0.00046939i,-0.0002662-0.00017704i,-0.0009815-0.00013586i,-0.0010648+0.00057548i,-0.00080334+0.00034484i,-0.00066254+0.00033411i,-2.329e-05+0.00096264i,0.00042482+0.00127i,0.00016073+0.00098651i,0.00021213+0.00069752i,0.00036015+0.00057i,-1.3745e-05-2.4548e-05i,4.7392e-05-0.0003237i
-0.00028715-0.0015771i,-0.0001996-0.0013522i,0.0014726-0.0020446i,0.001342-0.0022535i,0.00015717-0.0016637i,-0.0010693-0.00095561i,-0.00091645-0.00056331i,-0.00015593-0.000401i,4.1203e-05+0.00014061i,-0.00013938-0.00016395i,-4.0595e-05-0.0010177i,-0.0001716-0.00071135i,-8.8794e-05-0.00060936i,-0.00066387-0.001052i,-0.0013001-0.00065135i,-0.0011747-8.9857e-05i,-0.00044008+0.00086688i,-2.866e-05+0.0013981i,-0.00020918+0.00053438i,-0.0008791-0.00038119i,-0.0012496-0.00053935i,-0.0010698-0.00056131i,-0.00030547-0.00035781i
0.0011704-0.00010618i,0.00086835-0.0014489i,0.00049848-0.00086956i,0.00067827+6.2435e-05i,0.00057185-0.00029834i,-0.00015269-0.0016696i,-0.00074715-0.0022926i,-0.00084529-0.0011812i,-0.00091259-0.00023153i,-0.00057167-0.00020077i,-0.0002189+3.1284e-05i,-0.00048131+4.4257e-05i,-0.00094788+0.00013042i,-0.0010982-0.00029897i,-0.0011212-0.00063119i,-0.00028923-6.6286e-07i,0.00028118-0.00027726i,0.00026197-0.00077833i,0.00013709-0.00040462i,-2.329e-05-3.3486e-05i,0.00036565-0.00038856i,0.00029428-0.0002475i,-0.00053576+1.3099e-05i
0.00069751-0.0001027i,0.00057813-0.00073085i,0.00078694-0.00074069i,0.00028793-0.0015272i,-0.00013446-0.00047039i,-0.00033183+0.00094862i,-0.00079732+0.00028944i,-0.001244-0.00013349i,-0.00049788+0.00038387i,0.00042936+2.2253e-05i,0.00012799-0.00056866i,-0.00038609-0.00055171i,-0.00052524-9.815e-05i,-0.00063766+1.2507e-05i,-0.00058822-0.0011365i,-0.0003543-0.0010933i,5.1984e-05+0.00029654i,0.00051708+0.00050763i,0.001199-0.00010143i,0.0010627+0.00022679i,-0.00039183+0.00066177i,-0.00034217+0.00013768i,0.00016307-0.00085412i
0.0010222-7.3436e-05i,0.001056-0.0005225i,8.8539e-05-0.0017695i,-0.0019093-0.001228i,-0.0025225-0.00065871i,-0.0017766-0.00079525i,-0.0010655-0.00049i,-0.00029687+0.0001017i,0.00025248+0.00024851i,-0.00020515-0.00056159i,-0.00069145-0.00098391i,-0.00068628-0.00085776i,-0.00077682-0.00066742i,-3.7703e-05+0.00010723i,0.00086851+0.00051405i,0.00035112-0.00026729i,-0.00014129-0.00068674i,0.00032527-0.00026658i,0.00070072-0.00011892i,0.00062954-7.8589e-05i,0.00061953-4.2639e-05i,0.00013771-0.00074568i,-0.00063853-0.00031403i
-0.00032649+0.0010456i,-0.00029011+0.00010608i,-0.0007413-0.00067908i,-0.00051038-0.0018372i,-0.00057626-0.0016594i,-0.00029936-0.00012047i,-0.00035672+0.00074705i,-0.0010572+0.00054712i,-0.0015309+0.000314i,-0.0013054-7.9279e-06i,-0.0010313-0.00049076i,-0.00097464-0.00016215i,-0.00068559+0.00025217i,-0.00055776-0.00021245i,-0.00031364-0.00029978i,4.9193e-05+0.00021997i,-3.4889e-05+0.00027993i,0.0005667-3.0267e-06i,0.00045144+0.00041683i,0.00043049+0.00039218i,0.0011851-0.00020325i,0.00087516-5.1238e-05i,0.00067793+0.00035939i
-0.00030792+0.00046859i,-0.00014888+0.0001363i,0.00055503-0.0015255i,-1.5425e-05-0.0017326i,-0.00080481-0.0014679i,-0.000866-0.0011004i,-0.00083876-0.00039593i,-0.0007981-0.00078301i,-0.00058009-0.0014984i,-0.0008249-0.001103i,-0.00086389-0.00088412i,-0.00027623-0.00089664i,-2.6888e-05-0.00045774i,-0.00015885-3.2212e-05i,-0.00037204-0.00013514i,2.1669e-05-0.00049558i,0.00047903+2.788e-05i,0.00084064+0.00051116i,0.00087638+0.00045824i,0.00025051+0.00022621i,0.00035412-0.00019511i,0.00064157-2.3382e-05i,1.1293e-05+0.00035142i
-0.0013499-0.00012148i,-0.0015767-0.00021837i,-0.0016051+0.00052888i,-0.0011102+0.0010398i,-0.00075096+0.00091364i,-0.00033496+0.00056062i,-0.00039748-0.00017369i,-0.00089624-0.00085316i,-0.0012356-0.00028648i,-0.0013692+0.0011555i,-0.0013372+0.00086762i,-0.00081383+0.00015079i,-0.000258+0.00051104i,0.00022686+0.00056849i,-0.00010159+0.00038943i,-0.00030301+4.7137e-05i,0.00023999-2.5542e-05i,0.00031376-0.00019132i,0.0002654+0.00014729i,-0.00018951+0.00076427i,-0.00071702+4.5013e-05i,-0.00083331-0.0013226i,-0.00082414-0.00092188i
0.0014009+0.00012376i,0.0018205+0.00015664i,0.0020449+5.9913e-05i,0.0010693-0.00077466i,0.00051195-0.0011188i,-0.00040125-0.0006453i,-0.00085654-0.00026067i,-0.00096113-0.00024868i,-0.0013975+3.2544e-05i,-0.00162+0.00052154i,-0.0011396+0.00018812i,-0.00042803-8.2893e-05i,-4.5223e-05-0.00026079i,4.3117e-05-0.00041663i,-0.00035862-0.00034751i,-0.00022834-0.00014073i,-0.0003539+0.00012381i,-0.00064907-0.00017028i,-6.3158e-05-0.00020899i,0.00049883+0.00036963i,0.00044929+0.00048993i,-0.00023842-0.000339i,-0.00049527-6.6097e-05i
0.00086419+4.0666e-05i,0.00044821-0.00035456i,-0.00067097-0.00041878i,-0.00088045-0.00052617i,-0.00017066-0.00064675i,0.00012895-0.00038743i,0.0001458-8.0026e-05i,0.00044768+0.0001451i,0.00035887+0.00044508i,-0.00023996+6.502e-05i,-0.00093877+0.00019495i,-0.0016917+3.3836e-05i,-0.0015721+4.2083e-05i,-0.00073778+0.00028791i,-0.00032396-0.00029206i,0.00038896-0.00036628i,0.00035401-0.00013974i,1.4411e-05+0.00021771i,0.00041404+0.0004839i,0.00044748-0.00015335i,0.00017932-0.00039113i,0.00020798-0.0001743i,-0.0001459-6.8582e-05i
-0.00030634+0.00054003i,0.00011791+0.00051633i,9.1316e-05+0.00043181i,1.333e-05-0.00027386i,0.00099074-0.00064324i,0.00069727-0.00044135i,-0.001081-0.00084151i,-0.0016485-0.0010224i,-0.0012105+8.499e-05i,-0.0010201+0.00043659i,-0.00036617-0.00015748i,0.00032295-0.00052714i,-0.00023411-0.00013999i,-0.00069592+0.00035577i,7.9065e-05+0.000446i,0.00051516-7.2539e-05i,0.00047323-0.00041014i,2.6563e-05+0.00030336i,-4.5756e-05+0.00042138i,-1.215e-05-7.1734e-05i,-2.994e-05+4.1776e-05i,-0.00016917-0.00022472i,-0.0001553-0.00060174i
-0.00071188+0.0015134i,-0.00011609+0.0014582i,-0.00077194+0.0026973i,-0.00065218+0.0022092i,0.00029412+0.00080029i,0.00078754-0.00042814i,-0.00038671-0.0011528i,-0.0010817-0.00071212i,-0.0012153+0.00042411i,-0.00083147+0.00059503i,-0.00021925+0.00029311i,-0.00034524+0.00015262i,0.00016507+0.00057974i,0.0010864+0.0006301i,0.00089336-5.3879e-05i,-0.00026222-0.00035846i,-8.6176e-05+0.00036427i,0.00077122+0.00057299i,0.00075722-8.6862e-05i,0.00062889-0.00099501i,0.00078351-0.00093636i,0.00054089-0.00064916i,-6.3415e-05-0.0012636i
-0.00059738+0.0011321i,-8.7964e-06+0.0010855i,0.00033346+0.00097281i,0.00096745+0.00056159i,0.0013539+0.00041559i,0.0010374-0.00015657i,5.4924e-05-0.00060296i,-0.00072465-0.00052777i,-0.00078177-0.00018509i,-0.00017924+0.00060789i,-9.6362e-05+0.00096086i,-2.2823e-05+0.00043238i,0.00094474+0.00041731i,0.00078783+0.00070461i,-0.00015101+0.00022009i,-0.0001731-6.9727e-06i,0.00056719+0.00079733i,0.0016188+0.0008653i,0.000959+0.00022033i,-9.1335e-05-8.3331e-05i,0.00012535-6.1478e-05i,9.4512e-05+1.3055e-05i,-0.00016316-0.000288i
0.0006534+0.00022985i,0.00041595+1.123e-05i,0.00033053-0.00020707i,-4.3105e-05-0.0016092i,-2.3038e-06-0.0024081i,-0.00092223-0.0018648i,-0.0018622-0.00079396i,-0.001295+4.219e-06i,-0.000348+0.00019109i,0.00058173+0.00057037i,0.00042802+0.0009584i,-0.00044176+0.00043965i,-0.00054966+0.00064768i,2.6276e-05+0.00081517i,0.00026579-7.8742e-05i,0.00036825-0.0012271i,0.0005858-0.0018359i,0.0011316-0.0010113i,0.00096789-0.0001916i,-1.5956e-07-8.0544e-05i,-0.00063317-0.00013568i,-0.00061709-0.00016962i,0.00031991+8.7052e-05i
-0.00062134+5.8139e-05i,-0.0013935+0.00093696i,-0.0018381+0.0015947i,-0.0017687+0.0016003i,-0.00081293-0.00026808i,-2.1111e-05-0.00094187i,-0.0004823-0.00039149i,-0.00097635+0.00028694i,-0.00092992+0.00090845i,-0.00093656+0.0011655i,-0.0010071+0.00025477i,-0.00097231-0.00035616i,-0.00080643+0.00011403i,-0.00024467-0.00013034i,0.00026816-0.0006422i,0.00063175-0.00085479i,0.00092209-0.00048871i,0.00052753-0.00021174i,0.00054412-0.00029249i,0.00027899+0.00046828i,-0.00021127+2.0655e-05i,4.5524e-05-0.0007648i,0.00035283-0.00032081i
0.00017515-0.0011056i,8.0209e-06-0.0022239i,-0.00039535-0.002766i,-0.00056091-0.00144i,-0.00065669-1.5648e-06i,-0.00036196+0.00012291i,-0.00037852+0.00012134i,-0.0012624-0.00030201i,-0.0012295-0.00029535i,-0.001001-0.00027718i,-0.00080554-0.001024i,-0.00088765-0.00066663i,-0.00049566-6.6634e-05i,-0.00035968-0.00049442i,-0.00044033-0.00033291i,0.00016902-0.00051382i,0.00043747-0.0012889i,0.00053806-0.00055871i,-8.8973e-05+0.00022645i,-0.00064743-0.00023742i,-0.00034222-0.0010925i,-0.00037677-0.0013577i,-3.3989e-05-0.00059027i
0.0006329-0.0013334i,0.00091775-0.0007146i,0.0001301-0.00079436i,-0.00035895-0.00080532i,-0.00068649-0.00062027i,-0.00046203-0.00042135i,-0.00031736-3.0863e-05i,-0.000784+0.0007395i,-0.00061883+0.0014063i,-0.00031906+0.00060771i,-0.00046068+7.2044e-06i,-0.0003516+0.00022646i,-0.00026982+0.00041842i,0.00043067+0.00031303i,0.00036692-5.8428e-05i,8.1096e-05-0.00010692i,0.0012992-0.00028443i,0.0010262+4.6356e-05i,4.5449e-05+0.00079751i,0.00016824+0.00051094i,0.00010977+0.00026657i,-0.00054521+6.3278e-05i,-0.0010213+0.00020834i
0.00018911-0.00093424i,-0.00058713-0.00040107i,-0.0018837-0.00085105i,-0.0018409-0.00081978i,-0.0012302+0.00026834i,-0.00047931+0.00052017i,0.0002102-0.00052157i,-0.00015947-0.00010548i,-0.0014622+0.00093242i,-0.0015315+0.0013638i,-0.00068215+0.0010436i,-0.00024873-9.7205e-06i,-4.3948e-05-0.00079344i,-0.00015355-0.00045994i,-0.00035793+0.00050817i,-3.596e-05+0.0013409i,-0.00031182+0.00148i,-0.00023681+0.00093926i,0.0001918-0.00018811i,0.00031879-0.00080426i,0.00079581-0.00086883i,0.0011471+9.0289e-05i,0.0007965+0.00067725i
0.0027611-0.0027713i,0.00099393-0.0029805i,-0.00014507-0.0035693i,-0.0010841-0.0025021i,-0.0020273-0.00031128i,-0.0011934+0.0011912i,-6.1599e-05+0.0013418i,0.00039862+0.00054462i,0.00032101+0.00028433i,-0.00043144+0.00018701i,-0.0012771-0.00047944i,-0.0012792-0.00070265i,-0.0015721+0.00022788i,-0.0017047+0.00027732i,-0.001116-0.00045631i,-0.00011513-0.0008807i,0.0001633+0.00011567i,-0.00021877+0.00083152i,0.00044333+0.00035004i,0.0011021+0.00012376i,0.0008944-0.0007845i,0.00031812-0.0014044i,-5.8867e-05-0.00050793i
0.00053833-0.0011676i,-0.00031749-0.00078553i,-0.0012438-0.00099455i,-0.001555-0.0011762i,-0.0017972-0.00094071i,-0.0021744-0.00063453i,-0.0017171-0.00048269i,-0.0011398+0.00087241i,-0.0014277+0.0014446i,-0.0012653+0.00051249i,-0.00076966-0.00053562i,-0.00066221-0.00094693i,-0.00069448-0.00045802i,-0.00056501+0.00031596i,0.00020259+0.0007533i,0.00076395+0.00032319i,0.0014349+9.2116e-05i,0.0010194-0.00019593i,-9.5417e-05-0.00073837i,-0.00051653-0.00063168i,-0.00085349-0.00022958i,-0.00050057-0.00011896i,-0.00015798-0.00038391i
-0.00049042-0.0010025i,-0.00062906-7.5748e-05i,-0.00099869-5.1747e-05i,-0.00045358-0.00055987i,-0.00069963-0.00024355i,-0.0010697-0.00012305i,-0.0009891-0.00031667i,-0.0014018-0.00025041i,-0.0010061+0.00023481i,-0.00070071+0.00068228i,-0.00089824+2.1097e-06i,-0.00017137-0.00082383i,0.00027753-0.00028344i,0.00037169+0.00049373i,0.00023556+0.00054174i,0.00023709+0.00049479i,5.6111e-05+0.00050481i,4.6174e-05+0.0005145i,-0.00012628+0.00047474i,0.00013224-1.5002e-06i,0.00073541-0.00021468i,0.00078419+3.4805e-05i,-5.6741e-05+0.00014549i
