-0.00071201+0.0010985i,-0.0011341-1.0312e-05i,-0.0017729-0.0013801i,-0.001521-0.0011516i,-0.0012908+4.8574e-05i,-0.0015491+0.0013682i,-0.0010402+0.0018973i,-0.00014022+0.0022662i,0.00099223+0.0012183i,0.00077862+2.1568e-05i,-6.6738e-05-0.00020993i,5.2193e-05-0.0012949i,0.0001378-0.0017405i,-0.00051855-0.0012062i,-0.00044476-0.00042827i,-0.00016843-7.5583e-05i,-0.00069933+0.00018046i,-0.00038807+0.00059131i,-0.00020279+0.00019452i,-0.00010542-0.00036948i,0.00020772-4.6142e-05i,0.00014275-0.00022741i,-0.00033091+0.00029484i
0.00017751-0.00038975i,-0.00058771-0.00036326i,-0.0016412-0.00086453i,-0.001811-0.00054649i,-0.0020455-0.00047206i,-0.0015733-0.00026963i,-0.00048509+0.00019183i,0.00027583+0.00018723i,0.00052303-4.1689e-05i,1.0196e-05+1.254e-05i,-0.00049954+0.0006224i,-0.0012982+0.00082757i,-0.0011956+0.00037719i,-0.00013813-0.00059319i,-0.00019648-0.001113i,0.00011696+0.00013089i,0.00054612+0.00019737i,3.6797e-05-0.00059833i,0.00011436-0.00060365i,0.00043768-0.00054851i,-0.00027157+0.00021134i,-0.001216+0.00077781i,-0.00071941+6.5642e-05i
0.00010486-0.0013902i,-0.001527-0.00083233i,-0.0030308+0.00020651i,-0.0027916+0.0014341i,-0.0012426+0.0013958i,0.00021761+0.00095834i,2.2574e-05+0.00087i,-0.00112+0.00087986i,-0.0013432+0.0012578i,-0.00097204+0.00047132i,-0.00043879+7.6329e-06i,0.00026912+0.00020047i,0.0005239+2.8276e-05i,-0.0002229-0.00015482i,-0.00088503-0.00041244i,-0.00067831-0.00030818i,-0.00099705-0.00016389i,-0.0012013-4.8161e-05i,-0.00036681-0.00020302i,0.00042999-0.00049658i,0.00044144-0.00074049i,0.0002959-0.0006225i,0.00016179-0.00010606i
0.00065618-0.0026099i,0.00096306-0.0029381i,0.00042604-0.0046565i,-0.0007804-0.004084i,-0.0012865-0.0018556i,-0.0014452+0.00022313i,-0.0011873+0.00052673i,-0.00061753+7.3269e-05i,-2.0338e-05-0.00024885i,-0.00026244+0.00031149i,-0.00081369+0.00085819i,-0.0010332+0.00035791i,-0.00073321-0.00018237i,-0.00025692-0.00031456i,-0.00075018-0.00055785i,-0.0010523-0.0010517i,-0.001004-0.00033399i,-0.0014115+0.00040645i,-0.0012993-0.00012432i,-0.00062723+0.00019618i,-0.00032399+0.00061144i,-0.00017081+4.9574e-05i,4.9965e-05-0.00086004i
-0.00052967-0.00066119i,-0.00056873-0.00047269i,-0.00088592+0.0008195i,-0.00088158+0.001699i,-0.00070755+0.0021574i,0.00013342+0.0017196i,8.7028e-05+0.00069393i,-0.00067069+0.00019436i,-0.00091306-0.00012619i,-0.00085821-0.00023824i,-0.00066804+0.00016845i,-0.00016136+0.00044883i,-0.00015697+0.00027783i,-0.00059184-0.0005218i,-0.00022457-0.0008701i,0.00045521-0.00031555i,0.0001963-0.00053703i,-0.00032953-0.00029718i,0.00036738+0.00039208i,0.00087442-0.00020209i,0.0001485-0.00053514i,-0.00025651-0.0002362i,-0.00017001-2.2647e-05i
0.00022154+7.3724e-05i,0.0002363-0.00089012i,-0.00068723-0.00087107i,-0.0010085+0.00086917i,-0.00093982+0.001288i,-0.0004557+0.0011678i,-0.00017782+0.00070631i,-0.00090375+0.00015849i,-0.00076712+6.6912e-05i,0.00016018+9.1912e-05i,0.00030775+1.6125e-05i,0.00073886+0.00024028i,0.0005378+0.00016217i,0.00019487+0.0001076i,0.00022152+0.00055201i,-0.00037278+5.5082e-05i,-0.00059584-0.00041398i,-0.00015743-0.00036086i,0.00071558+0.00012581i,0.00064757+0.00047382i,-0.0002513-6.5145e-05i,-0.00030041-0.00043225i,0.00046703+0.00012584i
-0.00026793-9.6257e-06i,0.00019024+8.7694e-05i,-0.00082533+0.00050511i,-0.0022878+0.00052401i,-0.0018083+0.00072504i,-0.0010276+0.00057913i,-0.00049429+0.0010534i,-0.00085778+0.0012505i,-0.0015858+0.00045982i,-0.0012376-0.00037717i,-0.00055949-0.00021454i,-0.00080855+0.00026076i,-0.00086671+0.00014123i,-0.00053392+0.00039713i,-0.00043642+0.00075828i,-0.00035622+0.0010257i,-0.00014184+0.0010143i,-0.00014385+0.00076909i,-0.0002067+0.00108i,-2.1291e-05+0.00086582i,-0.00037321+0.00037227i,-0.00043807-0.00029984i,-0.00037628-0.00062937i
0.00032383-0.0018205i,0.00026385-0.0014072i,-0.00089119-0.00036806i,-0.0017442+0.00028908i,-0.0021616+0.0014568i,-0.0014287+0.0021213i,-0.000204+0.0016514i,-0.00037812+0.00079206i,-0.00091847-7.1027e-05i,-0.0014667-0.00037809i,-0.0012189-0.00040076i,-0.0011622-0.00092181i,-0.0013947-0.00093897i,-0.00078217+2.0784e-05i,5.2607e-05+0.0003378i,0.00031851+0.00087958i,0.00011915+0.0017063i,-0.00020749+0.001836i,5.8695e-05+0.0009388i,0.00040987-0.00020458i,0.00069677-0.00014614i,0.00016565+0.00025351i,-0.00048087-0.00028334i
-0.0014343-0.00098719i,-0.002235-0.0012396i,-0.0044431-0.0013984i,-0.0045828+0.00067218i,-0.0026382+0.0023471i,-0.00068638+0.0020939i,-0.00012135+0.0018141i,-0.00083151+0.0013608i,-0.001729+0.0010351i,-0.0016648+0.00084205i,-0.0017352-2.7734e-06i,-0.0016038-0.00059896i,-0.00068482-0.00038023i,-0.0003999+0.00022037i,-0.00027086+0.00013021i,-1.7899e-05-0.00041324i,-0.00021968-0.00051069i,-0.00017703-0.00036096i,0.00035533-0.00031749i,-7.3451e-05+0.00025924i,-0.00012357+0.00088483i,0.00047691+0.00097876i,-2.3162e-06+0.00042018i
-0.00014601+0.00065693i,-0.00065757-0.00021204i,-0.00042878-0.00075677i,-0.00062402-0.00016955i,-0.00041441+0.00072411i,0.00048061+0.0010567i,0.00011691+0.00045999i,-0.0007796+0.00050607i,-0.0012285+0.00086807i,-0.00064212+2.9735e-05i,2.6774e-05-0.00046853i,0.00013511+9.8445e-05i,0.00088166-0.00031446i,0.0011012-0.0010368i,0.00086975-0.00088037i,0.00067736-0.00040266i,-8.0731e-05-0.0004612i,-0.0002263-0.00038048i,0.00014287+0.00029826i,0.00047912+0.00034596i,0.00034562+0.00030383i,-0.0003318+0.00039398i,-0.00074388+0.00016525i
3.6118e-05+0.0015308i,-0.0013398+0.001922i,-0.0015644+0.0028649i,-0.0011422+0.0021391i,-0.000557+0.00080501i,-0.00059795+0.00089886i,-0.00030713+0.00075394i,-0.00020086+0.00091389i,-0.00015698+0.00064012i,-5.3705e-05+5.3922e-05i,0.00020688-0.00033107i,0.00066476-0.00010746i,0.00052495-0.00010781i,-0.00019192-0.00082858i,-0.00061454-0.00043304i,-0.00061551+0.00057854i,-0.0010539+0.00060895i,-0.0009116+0.00017552i,0.00014041+0.00019247i,0.00028539+0.00032221i,-0.00040886+0.00014554i,-0.00040522-0.00017018i,0.00049594-0.00033718i
-0.0013875-0.00056523i,-0.001447-0.00062502i,-0.0015898+8.7956e-05i,-0.00070146+0.00087611i,0.00013362+0.0017748i,-9.9516e-05+0.001503i,0.00033646+0.00038196i,0.00013369-0.00023048i,-0.0011473-0.00031123i,-0.00091619+0.00015076i,0.0001487+0.00097543i,0.0001529+0.00067826i,-0.00028725-0.00011811i,-0.00054049+0.00047518i,-0.00058099+0.00057723i,-0.00017829+1.7116e-05i,-4.9915e-05+0.00022225i,-5.8822e-05+0.00012044i,-0.00033965-8.9332e-05i,-0.00043682-0.00012413i,-0.00044058-0.00043742i,-0.00045504-0.00058458i,-0.00054691-0.00036784i
-0.0016655+0.002085i,-0.0030942+0.0025931i,-0.0037945+0.0020551i,-0.0022742+0.0017581i,-0.00048524+0.0020942i,0.0005955+0.0022255i,0.00012675+0.00065691i,-0.00059889+0.00015461i,-0.00050569+0.00079268i,-0.00096278+0.00089191i,-0.0013375+0.00078414i,-0.0005421+0.00056554i,6.1841e-05+0.00015525i,0.00012848+0.00016526i,0.00019489+9.6388e-05i,0.00041467+0.00016587i,-0.00043164+0.00022719i,-0.0011913+0.00012206i,-0.00073148+0.00047603i,0.00033692+0.00078012i,0.0006585+0.00046243i,0.00071649+0.00037843i,0.00072343+0.00048909i
-0.00069723-0.00081959i,-0.0017026-0.0010616i,-0.0026851-0.0018752i,-0.0019644-0.0013007i,-0.00097034+0.00042158i,-0.00067086+0.00090647i,-0.00042912+0.00057293i,-0.00011087+0.00033121i,-0.00026709+0.00033717i,-0.0013525+0.00049342i,-0.001656+0.00056427i,-0.0010694+0.00058247i,-0.00046572+0.00047566i,-4.8562e-05-5.7531e-05i,0.00020925-0.00020992i,0.00017693-0.00052591i,0.00019388+0.00027302i,0.00038628+0.00107i,1.1324e-05+0.00010378i,-0.00037502-0.00031926i,-0.00034648-0.00046391i,-0.00044456-0.00060989i,-0.00052331-5.8446e-05i
0.00085107-0.00031295i,-0.00017256+0.00023418i,-0.0012144+0.0006166i,-0.0022317+0.00059873i,-0.0013189+0.0010358i,-0.00017779+0.001022i,-0.00015618+0.00015389i,-0.00077905+0.00019677i,-0.0014322+0.00099091i,-0.0016392+0.00042602i,-0.0018709-0.00048247i,-0.0019752-0.0005023i,-0.0014025-0.0007192i,-0.00065755-0.0010114i,-2.5787e-05-0.00082437i,-0.00020939-0.0008998i,-7.0733e-05-0.0012096i,-5.2664e-05-0.0011089i,-0.00048245-0.00097461i,-0.00011386-0.00095373i,0.00013886-0.00063307i,6.9752e-05+0.00012494i,0.00021189+0.0002816i
0.00016745-0.00016377i,0.00018364-0.0004837i,0.00018672-0.00017451i,0.00069463+0.00016178i,0.0011096+0.00010461i,0.0013793+0.00031509i,0.0010692+0.00060763i,0.00047268+0.0002823i,-0.00030386+0.0003003i,-0.00099338+0.00020579i,-0.00082516+0.00046333i,-6.5003e-05+9.3671e-05i,0.001091-0.00051246i,0.0016656-0.00064723i,0.0010028+3.7909e-05i,5.3461e-05+0.00079526i,-3.1107e-05+0.00011971i,0.0005367+0.00025614i,0.0002188+0.001138i,-0.00030541+0.00077618i,-0.00012791+0.00022844i,0.00014614-0.00041599i,3.5312e-05-0.0003834i
0.00024373+0.00023277i,-0.00066975+0.00066142i,-0.0017661+0.0007395i,-0.0018595+0.00012354i,-0.00060551-0.00016363i,-0.00024825-0.00060274i,-0.001143-0.00046331i,-0.00099017+0.00037388i,-0.00023068+0.00057038i,0.00024684+0.00059198i,0.00015128+0.0007748i,-0.00014231-0.00017007i,-0.00040181-3.8026e-05i,-0.00038982+0.00025424i,-0.00043804-0.00056129i,-0.0001456-0.00086275i,0.00011708-0.00020682i,-0.00067122+0.00015091i,-0.00050938+9.6032e-05i,0.0009273+8.0506e-06i,0.00096839-0.00024421i,0.00043765-0.00057186i,9.8069e-05+0.00026449i
-0.00085534+2.8425e-05i,-0.0019209+0.00037468i,-0.0017247+0.00031492i,-0.00092615+0.00071031i,-0.00053773+0.0013154i,9.8185e-05+0.0010111i,0.00033678+5.4833e-05i,-0.00031928-0.0001114i,-0.00062303+0.00018493i,-0.00035222+0.00018526i,0.00024069-0.00021943i,0.00084054-0.00010545i,0.0006298-0.0001399i,-0.00016255-2.9682e-05i,-0.00030295-0.00033775i,-0.00031782-0.00077278i,-0.00057176-0.00058882i,-0.00011504-0.00045306i,0.00026649-0.00054577i,-0.00028043-0.00043592i,-0.0003111-0.00034558i,-0.00016836-0.00032365i,2.2121e-05+4.8008e-06i
0.0020673-0.0018925i,0.0012586-0.001722i,0.00047593-0.0023792i,-0.00038407-0.0015452i,-0.0012337-7.1082e-05i,-0.00083557+0.00083834i,2.4631e-05+0.00017454i,1.0745e-05-3.6689e-05i,-0.00078741+0.00053893i,-0.0010458+0.00024212i,-0.00053879+0.00029754i,-0.00028344+0.00034321i,-0.0005736+0.0003691i,-0.00096499+2.0758e-05i,-0.00091668-0.0002426i,-0.00063581-0.00026136i,0.00014617-5.8608e-05i,0.00047867+0.00064768i,0.00024404+1.0378e-05i,8.5166e-05-0.0010222i,9.2942e-05-0.00087673i,0.00036149-0.00068569i,0.00017919-0.0008439i
-0.00072027+0.00033933i,-0.0018714+0.0011573i,-0.0026019+0.0013732i,-0.0028117+0.0019321i,-0.0021562+0.0017099i,-0.00072927+0.00083151i,-0.0003364+0.00049926i,-0.00038388+0.00021608i,-9.8094e-05-8.3404e-05i,-0.00010593+2.2634e-05i,-6.4475e-05+5.2915e-05i,-0.00023858+0.00035474i,-0.00035182+0.00059408i,7.3825e-05+9.3464e-05i,0.0004746+0.00014743i,0.00017751-6.4837e-05i,0.00018158+0.00016164i,0.00010196+0.00050217i,-0.00044378+0.00041149i,-0.00067059+0.00015308i,-0.00038599-0.00018726i,0.00013182+7.165e-05i,0.00016958+5.976e-05i
-0.0034527+0.00010093i,-0.0032853-0.00066645i,-0.0031311+0.00053059i,-0.0030083+0.0024624i,-0.0010162+0.002485i,0.0012376+0.0015015i,0.00070875+0.00080192i,-0.00087344+0.00064489i,-0.00068341+0.00059264i,-0.00028813+0.00076763i,-0.00035278+0.00097964i,-0.00023797+0.0009506i,-0.00019918+0.0007763i,-0.00058082+0.00021291i,-0.00035299-0.00014796i,4.6717e-05+7.9051e-05i,-8.2217e-05+0.00025318i,-0.00013553+0.00019977i,7.1787e-05-2.2508e-05i,0.00024643+0.00022661i,-9.1395e-05+0.00027616i,0.00016965-0.00044123i,0.0011561+1.574e-06i
-0.0030186-9.3387e-05i,-0.0036428-4.0875e-06i,-0.0038418+0.00049982i,-0.0026097+0.00065758i,-0.0002647+0.00011675i,0.00074427+1.571e-05i,6.8291e-05-0.00079536i,-0.00090459-0.00029254i,-0.0010022+0.00055998i,-0.00054429+0.00061184i,-0.00046668+0.00056711i,-0.00048212+0.00020945i,-0.00039357-0.00038881i,-0.00021272+8.4987e-05i,-6.0313e-05+0.00031128i,-0.00041146-0.00051136i,-0.00087149-0.0004084i,-0.00068972+0.00022802i,0.00013252-3.3594e-05i,0.00037124+7.1705e-05i,0.00026676+2.6817e-05i,0.0003945-0.0002365i,0.00067312+0.0003694i
0.0016293-0.00052613i,0.0014761-0.0011844i,0.0017375-0.0017264i,0.00048094-0.00088637i,-0.00013909+0.00067493i,0.00041476+0.0015363i,-0.00022635+0.0012322i,-0.00064647+0.00049497i,-0.00011184-0.0001605i,0.00014104-6.4738e-05i,-0.00041811+0.00051784i,-0.0014413+0.00072389i,-0.0013591+0.0006051i,-0.00065336+0.00031436i,-0.00078623-0.00022587i,-5.116e-05-0.00066679i,0.00067529-0.00044751i,0.00033457-0.0005463i,-0.00041395-1.7196e-05i,-0.00072142+0.0006111i,0.00011918+0.00014246i,0.00048062-0.00019524i,0.00032924+7.5533e-05i
0.0015264-0.0019068i,0.001807-0.0013068i,0.00049117-0.00068412i,-0.0021871-0.00064457i,-0.0024286-0.00039515i,-0.0013631+0.00082922i,-0.00050514+0.0010357i,-0.00021513-0.00010755i,-0.00046373-0.00047152i,-0.00097209+3.8751e-05i,-0.00080703-0.00054502i,-0.00087618-0.00075781i,-0.00055514-0.000984i,-0.00032584-0.00098519i,-0.00080566-0.00029639i,-0.0012427+0.00018866i,-0.0016714+0.00038939i,-0.0015113+0.00055375i,-0.00072418+0.00019611i,-0.00039674-0.00056029i,-0.00013979-0.00047696i,2.9502e-05+0.00047735i,-0.00052266+0.00069018i
-0.001693-0.0015178i,-0.0028515-0.0013166i,-0.0019091-0.001576i,-0.00070903-0.00025533i,-0.00017711+0.0019401i,-9.8071e-05+0.0023297i,-0.00012367+0.0013116i,-0.00074574+0.00046518i,-0.00086248+0.00010772i,-0.00086002-0.000131i,-0.0007097+2.7244e-05i,-0.00037861+0.00097048i,-0.00040651+0.00095698i,-0.0002072+0.00042903i,-0.00022527+0.00032047i,0.00028694-0.00032745i,0.00067609-0.00068371i,-0.0001779-0.00016703i,-0.000266+0.00042458i,8.1093e-05+0.00043568i,0.00021419+0.00034362i,0.00013477+0.00025796i,-0.00011629-0.00032339i
-0.00072337+3.4326e-05i,-0.0013228+0.00022025i,-0.0028493-2.2677e-05i,-0.0031306+0.00094465i,-0.0020589+0.0016865i,-0.00053775+0.00068355i,-0.00026485-0.00068946i,-0.00090745-0.00080382i,-0.0012762-0.00041658i,-0.00096557-0.00021393i,-7.6569e-05+0.00046235i,-7.204e-05+0.00055059i,-0.00013225+0.00020155i,-0.00038136+7.2919e-05i,-0.00071751+0.00052574i,-0.00060465+0.0007956i,-0.00086754+6.6757e-05i,-0.0007154-0.00031748i,-0.00038341-0.00011065i,-0.00056246+2.0612e-06i,-0.00026972+0.00024587i,0.00014304+0.00038685i,0.00029506-1.081e-05i
-0.0017621-0.0021182i,-0.0016213-0.0014432i,-0.0023937-0.0013882i,-0.0035005-0.0010977i,-0.002786+0.000574i,-0.0011259+0.001899i,-0.00073218+0.0018455i,-0.00077791+0.00098665i,-0.0010713+0.00064062i,-0.0010173+0.00093738i,-0.00042258+0.00056644i,-0.00022359-0.00024834i,-0.0004595-0.00070268i,-0.00049136-0.00065911i,6.9357e-05-0.00049478i,-0.00030812-0.00065974i,-0.00049559-0.00074268i,6.4624e-05-3.3816e-05i,-0.00050049+0.00074848i,-0.00020142+0.00073078i,0.00053571+0.001034i,0.00029259+0.00090473i,-9.1075e-05+0.00032849i
-0.0015463-0.0014389i,-0.0018238-0.0016405i,-0.0041251-0.0013068i,-0.0047392+0.00050178i,-0.0030749+0.0020025i,-0.00033656+0.0019009i,0.00061347+0.0010137i,-0.00032137+0.00025298i,-0.0004489-0.00019863i,-0.00060451-0.00020202i,-0.0011783+0.00021985i,-0.00073711+0.00027453i,-0.00064123+5.4901e-07i,-0.00046352-0.00021519i,0.00026135-0.00044173i,-0.00012096-0.00080085i,-0.00061662-0.00085989i,-0.0002562-0.0002784i,-0.00012693+0.00056949i,-0.00049201+0.0008237i,-0.00061306+0.00089839i,-8.7497e-05+0.0011173i,0.00044191+0.00067061i
-0.00065717-0.0017779i,-0.000849-0.0025441i,-0.0001747-0.0030832i,-0.00082654-0.0017198i,-0.00089469+0.00021329i,-2.092e-05+0.0010441i,-0.00061726+3.7947e-05i,-0.001337-0.00077372i,-0.00076298-0.00013296i,-0.00019533+0.00023501i,0.00024599+0.00017815i,0.00072948+0.00055694i,0.00071563+0.00040602i,0.00057948+0.00031167i,0.00037744+4.0033e-05i,0.00016869-0.00058082i,2.4895e-05+0.00027705i,-0.00092772+0.00098698i,-0.00092609+0.00038041i,0.00027526+0.00045205i,0.00048285+2.784e-05i,0.00037409-9.0954e-05i,5.7783e-05-1.4459e-05i
0.0014001-0.0021552i,0.0014767-0.0017767i,0.00068502-0.0021542i,-0.0010695-0.0021069i,-0.0023207+0.00012206i,-0.0018974+0.0013549i,-0.00082107+0.0012781i,-0.00075492+0.0014863i,-0.0011236+0.00075288i,-0.0011679-0.0002019i,-0.0011654-0.00010726i,-0.0010362+0.00033278i,-0.00028343+0.00020632i,7.38e-05+0.00015849i,-3.673e-05+0.0003033i,-6.1031e-05+0.00062084i,-6.3163e-05+0.00030988i,0.00034092-0.00037919i,0.00035887-0.00047279i,-5.7712e-05-0.00043297i,-0.0004896-0.00036925i,-0.00062111-0.00048608i,-0.00052148-0.0012636i
0.00033713-0.00082266i,2.9548e-05-0.0015739i,-0.00055612-0.001086i,-0.00062722-0.00090113i,-0.0010592+0.00043795i,-0.0018831+0.0015061i,-0.0017767+0.00074453i,-0.0016769-0.00010304i,-0.0020366-0.00020911i,-0.0015518+0.00021942i,-0.00067334-6.5539e-05i,-0.00019264-0.00010172i,0.00038573+0.00013316i,0.00031783-4.7914e-05i,-0.00069294+2.4209e-05i,-0.0010626+0.00031283i,-0.0011647-0.00028933i,-0.0008762-0.00085492i,-0.00078363-0.00017215i,-0.00090116+0.00081134i,-0.00031497+0.0010985i,-0.00042129+0.00093899i,-0.00062524+0.00046172i
-0.00034943+0.00065656i,0.0001324+0.001168i,-0.00020592+0.001452i,-0.00040667+0.0022684i,0.0003528+0.0019301i,0.00061012+0.0011758i,-7.0398e-06+0.00078926i,-0.0011599+0.0004137i,-0.001915+0.00030753i,-0.0017788+0.00014787i,-0.00062752+0.00041756i,0.00025529+0.00035044i,0.00026169-0.00026477i,0.00043206-0.00097695i,-4.717e-06-0.0013472i,-0.00040794-0.00087336i,-0.00048606-0.0006926i,-0.00014821-0.00070142i,0.00072845-0.0001784i,0.0011614-1.5922e-05i,0.00078113+0.00036387i,0.00027028+0.00064095i,0.0003363+0.00050328i
