0.001147-0.0017365i,-0.00024627-0.001823i,-0.00099725-0.0010934i,-0.00098479-0.00034534i,-0.00090845+0.00028496i,-0.0014051+0.0013466i,-0.0012299+0.0017606i,0.00025229+0.00071403i,0.0016332-0.00029785i,0.0012307-0.00036096i,9.1247e-05-0.00024225i,0.00052578+0.00017374i,0.00079021-0.00025826i,0.00038739-0.000933i,8.323e-05-0.00081302i,-0.00019815-6.093e-05i,-0.00029928+0.00016412i,0.00015607+0.00023293i,0.0010503+0.00066959i,0.00088461+0.0006845i,0.0002163-0.00011531i,-2.8669e-05-0.00094692i,-0.00036067-0.0010525i
-0.0011221+0.0011089i,-0.0016051+0.00071021i,-0.0009359+0.00038414i,0.0009398+0.00084567i,0.0016739+0.0004055i,0.0010257-0.00067306i,4.05e-05-0.00093126i,7.3281e-05-0.00056618i,0.00048911-0.00028899i,0.00069767-2.5558e-05i,0.0011175+0.00080715i,0.0012197+0.00083975i,0.00077527-0.00013995i,-0.00018479+3.3875e-05i,-0.0010185+0.00056653i,-0.00084529+0.0005272i,-0.00043431-0.00011972i,-0.00077479-0.00045515i,-0.00031045-8.8401e-06i,-0.0001319-9.7144e-05i,-0.00069984-0.00062565i,-0.0010874-0.0011756i,-0.00071363-0.00049276i
0.00016625-0.00073262i,0.00015432-0.00090936i,0.00039227-0.00017711i,0.00054073+0.0009051i,-0.00037376+0.00052348i,-0.00054086-0.00048021i,-4.2018e-05-0.0012231i,0.0006211-0.0016829i,0.00033874-0.0019722i,-0.00020106-0.0015406i,7.1598e-05-0.00022124i,7.7202e-05+0.0008834i,-0.00014032+0.0009089i,0.00019068+9.643e-05i,0.00018321+0.00052805i,-0.00018718+0.0010682i,-7.6542e-05+0.00068839i,0.00047824+0.00030716i,0.00042154-7.6533e-06i,0.00028215-0.00039142i,0.00064306+0.00034426i,0.00017704+0.0010492i,-2.4149e-05+0.00093512i
-0.0022479+0.00092686i,-0.0007113+0.0017748i,-0.00053195+0.0023813i,-1.6421e-05+0.0028872i,0.00069584+0.0019998i,0.00088459-0.00044286i,0.00050418-0.00087103i,0.0011808-0.00059543i,0.0015558-0.00082588i,0.0008346-0.00058448i,0.00055951+8.7639e-05i,6.1563e-05+0.00030857i,-0.00017142+0.00027267i,0.00047917-1.1465e-05i,0.00036019-0.00027803i,3.4253e-06+0.00021091i,0.00018394+0.00043454i,7.9384e-05+0.00025339i,-0.00039669+3.9455e-05i,-0.0002322-0.00024099i,0.00054878-0.00078272i,0.00065747-0.00087264i,0.00022542-0.00089045i
-0.00098222+0.00090861i,-0.00062534+0.00015851i,-0.00034536+0.00068764i,-0.00052597+0.00048116i,-0.00023188-6.7486e-05i,3.8513e-05-0.00059248i,0.00020478-0.0011171i,0.00050148-0.00081716i,0.00084824-0.00013228i,0.00061989-4.0104e-05i,0.00035981+0.00042211i,0.00052932+0.0007477i,0.00088392+0.0010865i,0.0002839+0.00096676i,-0.0007744+0.00045905i,-0.00073348+0.00023995i,-0.00059985+0.00038133i,-0.001187+0.00012755i,-0.0010802-0.00028996i,-0.00036943-0.00012575i,0.00033685-8.8526e-05i,-0.00012259+0.00058474i,-0.0003872+0.0013182i
0.0021927+0.00024975i,0.0016933+0.00032193i,0.00055681+0.00028891i,0.00042265-0.00053352i,0.00027099-0.0016378i,-0.00017664-0.002082i,0.00024134-0.0020091i,0.00071438-0.002205i,0.00056897-0.002074i,0.00025558-0.0013402i,-3.0497e-06-0.00035296i,-7.2819e-05+0.00035878i,-0.00042889+0.0014816i,-0.00087789+0.0015868i,-0.00021386+0.00084207i,0.00021785-2.0564e-05i,0.00029225-0.00033698i,0.00086363-0.00032997i,0.00063817+0.00013077i,0.00033822+0.00068561i,0.00030575-0.00015679i,0.00025649-0.0006933i,0.00031292-0.00085127i
-0.0034764+1.044e-06i,-0.0025678+0.00036255i,-0.0021718+0.0014555i,-0.00067411+0.0024592i,0.001291+0.0030074i,0.001946+0.0017365i,0.0010929+5.8603e-05i,0.0008295-0.00047746i,0.00046117-0.00090589i,0.00026183-0.00099802i,0.00056453-0.00014349i,0.00032939+0.00051282i,-0.00066486+0.00026008i,-0.0012825-0.00095792i,-0.00096859-0.0011784i,-0.00060428-0.0004244i,-0.00088551-8.6835e-05i,-0.00086037-8.1002e-05i,-0.00050108+0.00038537i,-0.00015559+0.00042082i,0.00026429-0.0001991i,0.00076314-1.8683e-05i,0.00039049-8.2452e-05i
0.0030412+0.00061598i,0.0019756-1.5353e-05i,0.00080605-0.0014555i,3.6602e-06-0.001437i,-0.0010573-0.0011448i,-0.0016283-0.0012665i,-0.00058198-0.00064927i,3.7061e-05-0.00024743i,0.0002345-0.00097553i,0.00046195-0.00062355i,0.0002597-0.00014373i,-1.0767e-05-0.00012002i,0.00013886+0.00035537i,0.00068788+0.00029306i,0.00047035-0.00026114i,-0.00026426-0.00031711i,-0.00020273-0.00038551i,0.00044899-0.00032947i,4.7199e-05-6.7111e-05i,-0.00045277+0.00023676i,-0.00012356+0.00051796i,5.317e-05+0.00050858i,0.0001434+0.00082272i
0.0010211+0.0012002i,0.00054305+0.0022109i,-0.00018048+0.0014897i,-0.00018968+0.00034565i,0.00048549-0.00020402i,-4.0693e-05-3.56e-05i,-0.00014623+0.00039183i,0.00052758-0.0004701i,0.0011166-0.0012489i,0.0013937-0.00033165i,0.0010085+0.00077712i,0.00042187+0.00057159i,0.00043553-0.00016985i,3.5628e-07-0.00034794i,-0.00096112-0.00021348i,-0.00096629+9.712e-05i,-0.00018111-3.3439e-05i,0.0006409-0.0001289i,0.00076843-0.00014116i,-7.8224e-05-0.00030939i,-0.00062747-0.00026902i,0.00033044-0.00045995i,0.00078701-0.00055429i
-8.9226e-05-0.0014432i,-0.0010166-0.0011i,-0.0020579-0.00060945i,-0.0024349+0.00021527i,-0.0019491+0.00080397i,-0.00082805+0.00099838i,-2.5525e-05+0.00083263i,0.00053691+0.0005271i,0.0005891+2.3144e-05i,0.00030335-5.6447e-05i,0.00021255+0.00017053i,0.0004917-3.6971e-05i,0.00076448-0.00078339i,0.00044804-0.00051754i,-0.00021457-0.00024612i,-0.00010131-0.00045901i,-0.00039793-0.00014427i,-0.00030094-0.00016i,-0.00067087-0.00061324i,-0.00036554-0.00011737i,0.00010596+0.00045556i,-7.0599e-05+6.8524e-05i,-0.00011175+0.00021081i
0.0011515+0.0014274i,0.00062521+0.00034486i,0.0007857-1.0436e-05i,0.00073329-0.00059398i,0.00082503-0.0015529i,0.00038655-0.0014148i,-0.00052821-0.0013083i,-0.00053821-0.0019161i,0.00027399-0.0016234i,0.00067795-0.0007178i,0.00030813+0.00046154i,0.00017969+0.00081073i,3.8929e-05+0.00038793i,-0.00019471+0.00034292i,-3.1488e-05+0.00027939i,-0.00039413+0.00065196i,-0.00027864+0.00084188i,0.00045782+0.00062239i,0.00015917+0.00010737i,-0.00087249+2.3481e-05i,-0.00068395-0.00028999i,0.00018602-0.00026077i,4.242e-05+0.00012312i
-0.00057601-0.0010394i,-0.0010303-0.00030286i,-0.0018254+0.00051403i,-0.001966+0.0012267i,-0.001558+0.0011067i,-0.00064734+0.0012922i,0.00065237+0.00060161i,0.0016664-0.00057833i,0.0015287-0.0014409i,0.00059109-0.00089623i,0.00047799+0.00094194i,0.0011536+0.0017169i,0.0012312+0.001216i,0.00049831-0.00016171i,-0.0006917-0.00099466i,-0.0010403-0.00065025i,-0.00026262-0.00057814i,-6.132e-05-0.00063866i,-3.1892e-05-0.00060933i,0.0003351-0.00090627i,0.00065686-0.00049871i,0.00053142-0.00037557i,0.00047885-0.00057836i
0.0019936-0.0011292i,0.00086973-0.0010435i,-0.0010551-0.0010265i,-0.0013195-0.00017335i,-6.6963e-05+0.0013189i,-3.1523e-05+0.0012315i,-1.8763e-06-0.00019742i,0.00084209-0.00098933i,0.00067024-0.0011658i,0.00055213-0.00072952i,0.0011151+0.0003651i,0.00083645+0.00041311i,0.00045932-0.00041472i,0.00019147-0.0008446i,0.00010861-0.0011352i,0.00026831-0.00047392i,-0.00026914+0.00037265i,-0.00018156+0.00055358i,0.00022499+0.00058056i,0.00051808-1.5584e-05i,0.00069264+1.7862e-05i,9.0547e-06+8.5991e-05i,-0.00013748-0.0004396i
0.00053952+0.0015036i,0.0010025+0.001059i,0.0018056-1.8712e-05i,0.0014154-0.00080866i,0.00051368-0.00117i,-0.0003406-0.0012942i,-0.0004234-0.0012396i,0.00018507-0.0011499i,0.0019007-0.0010272i,0.0015243-0.00043013i,-0.00010139+0.00035566i,-0.00016561+0.00078526i,-0.00024644+0.00037463i,7.2946e-06-0.0003598i,0.00027291-0.0006508i,-8.2812e-05-0.00014693i,0.0001496+0.00049419i,0.00077949+0.00013906i,0.00085959-0.0010307i,0.00039178-0.0012618i,-0.00012186-0.00069367i,0.00021545-0.00066093i,0.00073575-0.00082719i
0.0010263-0.00066312i,0.00029809-0.00047792i,-0.00070954-0.00040351i,-0.0015503+0.00055551i,-0.0021468+0.00096248i,-0.0016298+0.00045435i,-0.00013134-4.4926e-05i,0.00071274-0.00083788i,0.00055516-0.0014209i,-3.6267e-05-0.00054965i,-0.00026893+0.00034128i,-0.00014985+0.00046756i,0.00016983+0.00070271i,0.00047492+0.0010551i,0.0004119+0.00099953i,0.00015172+0.00075662i,-0.00041015+6.8942e-05i,-0.00089897-0.00094237i,-0.00050013-0.00072863i,-0.00014027-0.0001712i,1.8373e-05-0.00043953i,-0.00037403-0.00035119i,-0.00089552-0.00012184i
0.0002285+0.00060422i,0.0015668+0.00077131i,0.0017417+0.0011412i,0.00091893+0.0016164i,0.00092488+0.00099872i,0.00064842-0.0011142i,0.00031614-0.0015362i,0.00066458-0.0011517i,0.00058475-0.0014944i,-0.00028259-0.0014863i,-0.00057393-0.00059723i,-0.00027977-0.00037479i,0.00020352-0.00085162i,-0.00034523-0.00089988i,-0.001275-0.00077285i,-0.0014186-5.7405e-05i,-0.0014031+0.00085253i,-0.0010119+0.0008139i,-0.00072182-6.2396e-05i,-0.00011964-0.00021633i,0.00013166-4.2039e-05i,0.00033181-0.00028659i,0.0003705-0.00059063i
0.000554+0.00023606i,-0.00045459-0.00026004i,-0.00096409+0.00035556i,-0.00026015+0.00067218i,0.00038693-0.00010735i,0.00037263-0.00037108i,-0.00016113-0.00053809i,0.00038337-0.00067851i,0.0013247-0.00035848i,0.00096651-5.3298e-05i,-1.5918e-05+0.00039019i,-0.00010288+0.00047702i,-0.00010772+0.00048664i,-0.00055557+0.00018184i,-0.00063563-0.00078248i,-0.00053716-0.00063057i,-0.00020928+1.822e-05i,-1.2961e-05+3.3852e-05i,-0.00028404+1.0146e-05i,0.00011844-3.7722e-06i,0.00070763+0.00037903i,0.00066103+0.00065202i,9.3233e-05+0.00014278i
0.00064933-0.0016317i,0.00087408-0.0025153i,-0.00012245-0.0031313i,-0.0013485-0.0016501i,-0.0012176+0.00051493i,-0.00096088+0.0002219i,-0.0010406-0.00067176i,-0.00048704-0.00042234i,7.8355e-05-0.00096755i,0.00035735-0.0012724i,0.0010948-0.00056713i,0.0014296-0.00033687i,0.0017333-0.00081481i,0.0020669-0.00067663i,0.0014242-0.0005755i,0.00092398-0.00058178i,0.00064838-0.00076195i,0.00020884-0.00025077i,-0.00012347-1.0412e-05i,0.00011758-0.00069481i,0.00052756-0.00034398i,0.00092856+0.00032623i,0.00057133+0.00056884i
0.0010993-0.0012517i,0.0020404+0.00019775i,0.0017506+0.00037502i,0.0011376+0.00044658i,0.00046586-0.00032827i,0.00034973-0.00034738i,0.00074785-0.00013344i,0.00054408-0.0017904i,0.0009764-0.0027694i,0.0014536-0.0013989i,0.0008227+0.00011245i,0.00045796+0.0002808i,0.00103+0.00011598i,0.00086321+0.00016365i,-0.00026042+0.00010447i,7.6019e-05+0.00049512i,0.0010379+0.00070282i,0.00057569+0.00019087i,0.00017725+0.00031092i,0.00025863+0.00037038i,-0.00046011+0.00043519i,-0.00080699+0.00067165i,-0.00055918+0.00055349i
-0.00083449-0.0016394i,-0.00073238-0.0014209i,-0.0011913-0.00018959i,-0.0008175+0.0016056i,-0.00058901+0.0025749i,-0.0010954+0.0013116i,-0.00028635-0.00035864i,0.00040621-0.0010653i,-0.00080591-0.0010644i,-0.00099255-0.00053924i,0.00020291+0.00031726i,0.00092216+0.00091106i,0.00084654-1.5783e-05i,-0.00046113-0.00047945i,-0.001126+0.00015234i,-0.0011245+0.00037073i,-0.0016739-0.00055817i,-0.0015125-0.001138i,-0.00097858-0.0011402i,-0.00082595-0.00098786i,-0.00020107-0.00069585i,0.00011189-0.00037572i,-0.0002366+0.00020689i
0.00036617+0.0020651i,0.00057053+0.0018477i,0.00016197+0.0022828i,0.00023792+0.0013091i,5.4577e-05-0.0006639i,-0.00087118-0.0015656i,-0.00029421-0.0015946i,0.00087377-0.0012153i,0.00225-0.00047682i,0.002065-4.8617e-06i,0.00056604-0.00028639i,-8.1452e-05-0.00010376i,-7.085e-05+0.00022415i,-0.00010984-0.00027342i,0.00010565-0.0001234i,0.00028734+0.00057721i,0.00034234+0.00019177i,0.00029159-0.0010485i,-0.00022673-0.0013281i,-0.00041427-0.0010217i,-0.00080995-0.00086228i,-0.00080705-0.00054709i,-0.00011992-0.00011862i
0.00012016-0.0025677i,6.6956e-05-0.0014596i,-0.0011954-0.00092786i,-0.0019886-0.0003843i,-0.001513+1.1269e-05i,-0.00081687+0.00034005i,0.00022195-0.000406i,0.0012154-0.0011292i,0.0010792-0.0017768i,-0.00029841-0.0014788i,-0.00061886+0.00013964i,0.00020589+0.0011138i,0.0010829+0.0009676i,0.00096991+0.0006189i,0.00042348+0.00051873i,0.00047795+0.00049223i,0.00059906+0.00034849i,0.00032947+7.9339e-05i,0.00028342+7.8845e-05i,0.00074706+0.00091596i,0.00022602+0.0012295i,-0.00021118+0.00050548i,0.0001079+0.00066914i
0.00020312-0.00092592i,-0.00044785-0.0010112i,-0.00023408-0.00036987i,-9.6619e-06+0.00033865i,0.00010307-0.00027692i,0.00031656-0.00073475i,0.00040564-0.00052581i,-2.0023e-05-0.0014041i,-0.00027957-0.0020047i,0.00076889-0.00064015i,0.0007094+0.0011687i,-0.00055213+0.0015195i,-0.0011751+0.0005091i,-0.00082535-1.6472e-05i,-0.00082949-0.00037888i,-0.0009857-0.00081187i,-0.00023268-0.00036079i,0.00072614+0.00026383i,0.00071903+0.000573i,0.00039584+0.00023955i,0.00053501+1.9009e-06i,-8.2393e-05-0.00028838i,-0.00043464-0.0011564i
0.0019243-0.0015855i,0.0017719-0.0011461i,-0.00037123-0.00063915i,-0.0014913-0.00056632i,-0.00054717-7.9e-05i,7.8672e-05+0.00058915i,-2.6359e-05+0.00017362i,0.00055591-0.00097286i,0.0011474-0.0011399i,0.00060958-0.00048353i,-2.1495e-05+0.00021522i,7.6643e-05+0.0012282i,-0.00026868+0.0010852i,-0.00063483-0.00011642i,-0.00045512-9.431e-05i,-0.00039671-0.00012951i,-0.00029101-6.2478e-05i,-0.00055306+0.00026711i,-0.00056141-0.00012247i,5.8319e-06+5.3189e-05i,0.00039792+9.2261e-05i,0.00057412-0.00022121i,0.00069733-0.00027669i
-0.00014685+0.00044338i,0.00057887+0.00076063i,0.00050413+0.0018516i,0.00021258+0.00156i,0.0010988+0.00010432i,0.0018284-0.00030563i,0.0016237-0.00086846i,0.0020846-0.00093637i,0.0015421-0.00076306i,5.7265e-05-0.00084206i,-0.00043388+5.103e-05i,-0.00032074+0.0011355i,-9.6544e-05+0.00055569i,1.4591e-05+0.00012743i,-0.00031728+0.00090899i,-0.00083219+0.00096869i,-0.0009984+0.00033522i,-0.0004066+0.00011345i,3.5427e-05-0.00024216i,-0.00056862+0.00015006i,-0.00088512+0.00019117i,-0.00064203-0.00038688i,-0.00010818+0.00018823i
3.7804e-05+0.00035563i,-0.00057166+0.0011834i,-0.0013414+0.0012512i,-0.00092699+0.0017165i,-0.00068579+0.0023921i,-0.000528+0.0021882i,0.00031067+0.0012844i,0.0010202+0.00025308i,0.00091959-9.6201e-05i,0.00029532+0.00039232i,-0.00056275+0.00056741i,0.00020459+0.00040525i,0.00090622+0.00083718i,0.00028444+0.00043695i,6.9299e-05-0.00022824i,-0.00036137+0.00021074i,-0.00076123+0.00068992i,-0.0010078+0.00037255i,-0.00095297-0.00050054i,-7.665e-05-0.0011403i,0.00060941-0.00078957i,0.0004052-0.00085599i,1.9566e-05-0.00052729i
-0.0014269-7.1721e-05i,-0.0023588-0.0007783i,-0.0022076+0.00057225i,-0.0010294+0.0011384i,0.00047123+0.00069675i,0.0016103-2.0984e-05i,0.0021614-0.00040924i,0.0012957-0.00041721i,0.00039759-0.00033076i,0.00050954-0.00015188i,0.00015977+0.00019162i,0.00031451+0.00060929i,0.0006008+0.00027289i,0.00024206-8.7214e-05i,-0.00024652-0.00012246i,-0.00085413-0.00045338i,-0.00075809-0.0010137i,-8.3521e-05-0.000778i,0.00053989-4.7581e-05i,0.00019603+0.00067279i,-0.00070783+0.00093208i,-0.00052222+0.00034255i,-0.00018703-0.00037042i
-0.0022599-0.0019488i,-0.0020819-0.0014736i,-0.0018266-0.00050598i,-0.00092561+9.1265e-05i,0.00063609+0.00010332i,0.0013399-4.2901e-06i,0.0010934-0.00086574i,0.0007404-0.0015997i,0.0011606-0.0014212i,0.0012614-0.0003975i,0.00085872+0.00021655i,0.00082089+0.00071229i,0.00035218+0.00095485i,0.00010561+0.00052839i,0.0010504+0.00022584i,0.0017149-2.238e-05i,0.0015944-1.1408e-05i,0.00080372+6.9862e-05i,0.00047994-0.00019129i,0.00023052-0.00041946i,-0.00017215-0.00032306i,-0.00065607+2.3596e-05i,-0.001184-3.3504e-05i
-0.00076613-0.00034541i,-0.00085513-0.00023092i,-0.0013643-0.00018621i,-0.00096879+0.00023682i,4.3109e-06+0.00080987i,0.00085324+0.00051032i,0.00048918+0.0003663i,0.00015953+4.4361e-05i,0.00020583-0.00040688i,0.00045846+0.00052957i,-0.00010011+0.000627i,-0.00036269+2.5498e-05i,0.00030752+0.00040062i,0.00052955+0.00053719i,0.00038707+0.00041416i,0.00040631+0.00024561i,0.00043964+7.6719e-05i,0.00039534-0.00041274i,0.00016414-0.00012573i,-4.2576e-06+0.00014975i,-3.7762e-05-3.6053e-05i,0.00012699-1.927e-05i,0.00025116+8.8277e-05i
0.00083683+0.0002343i,0.0017207-0.00058704i,0.0013849-0.00050242i,0.0020564-8.0656e-05i,0.0022776-0.00047731i,0.0014621-0.0010935i,0.00098147-0.0017649i,0.00057173-0.0021728i,0.00085661-0.0018484i,0.0010434-0.0005707i,0.00042526+0.00016198i,4.2297e-05+0.00047912i,9.8833e-05+0.0010238i,0.00039055+0.00043407i,0.00019497-0.00045724i,0.00028771-0.00043736i,-0.00021111+4.1373e-05i,-7.2654e-06+8.6963e-05i,0.00064976-0.00018643i,0.00010049-0.00035402i,-6.6492e-05-0.00046563i,0.00010379-0.0001753i,0.00039032+0.00036315i
0.00012748+0.00033153i,-0.00027213+0.0017248i,-0.00066264+0.0011629i,-0.0002088+0.001025i,0.00013764+0.0011701i,6.6225e-05+0.00049081i,0.00027817-5.3744e-05i,0.001105-0.00049084i,0.0014118-0.0011149i,0.00066489-0.00068258i,0.0003195+0.00035936i,0.00084472+0.00035725i,0.00050931+3.8741e-05i,-0.00012958+0.00042837i,-0.00059027+0.00034079i,-0.00041603-0.00066306i,0.00060635-0.00068012i,0.0009943+6.2804e-05i,0.00077226+0.00051485i,-7.4624e-05-0.00025625i,-0.0001666-0.0012462i,0.00035566-0.0008511i,0.00054131-0.00020227i
-0.00098091-0.00024112i,-0.00048616-0.00043706i,-0.0012051-3.0047e-05i,-0.0018684+0.00091373i,-0.0004725+0.00096648i,0.0013809-0.00011566i,0.0019671-0.0010054i,0.0012393-0.0014925i,0.00069116-0.0018001i,0.00040425-0.0011451i,0.00034447-0.00075778i,0.00042135-0.00013803i,3.0101e-05+0.00036032i,-0.00028166+5.0511e-05i,-0.00065686-0.00020152i,-0.00067641-0.00049887i,0.00012215-0.00038248i,0.001051-8.3632e-05i,0.00056104-9.2175e-05i,-0.00048479-8.2185e-05i,-0.00040599-1.0486e-05i,0.00011484+0.00057932i,0.00042051+0.00049323i
-0.001851+0.00063371i,-0.0015601+0.0013721i,-0.00055352+0.0017319i,0.00061292+0.00074637i,0.0017197+0.00011795i,0.0013034-0.00083339i,0.00058576-0.0018341i,0.0004932-0.0018642i,0.0010232-0.0021104i,0.00047417-0.0014551i,4.1102e-05-0.00023492i,0.0005626-6.0679e-05i,0.00022532+0.00024637i,-0.00077767+0.00038006i,-0.00043242+0.00014855i,1.3074e-05+0.00013628i,-3.6108e-05+0.00045043i,-0.00059066+0.00044252i,-0.0010233-2.1641e-05i,-0.00076279-0.00081298i,-0.00064284-0.00085492i,-0.00038362+7.6266e-06i,-7.3127e-05+0.00065209i
