-0.00037924+0.0010793i,-0.00022255+0.0015244i,6.686e-05+0.001402i,0.00038125+0.00079225i,0.00048981+9.0088e-05i,0.0011067+2.967e-05i,0.00037913+0.00089846i,-0.00025661+0.00089006i,0.00047073+3.6648e-05i,0.00060435+9.3144e-05i,0.00024899+0.00035718i,0.00035954+0.00040959i,0.00080465+0.0002724i,0.00086729+0.00057453i,-6.3797e-05+0.00082755i,-0.00064292+0.0010019i,-0.00088412+0.0010903i,-0.0011341+0.00098555i,-0.00071706+0.00068739i,2.76e-05+0.00021112i,0.0003938+0.0001636i,0.00077333+0.00027558i,0.0010855+0.00021467i
-0.00046421-0.0016199i,-0.00069691-0.00073767i,-0.00031468-0.00021004i,0.00031035+2.1328e-05i,0.00041961-0.00091096i,0.0003018-0.00079082i,0.00037385+9.3311e-05i,0.0015241+0.000149i,0.001932+8.0112e-05i,0.00097328+0.00026935i,0.00037814+0.00072919i,0.00045596+0.00077274i,0.00021921+0.00013602i,-0.00031897-0.00055126i,-0.00065074-0.00030078i,-0.00057337+0.00016029i,-0.00053624+0.00017897i,-0.00017097+0.00021056i,0.00040313-0.00029047i,0.00036505-0.00154i,0.00012972-0.0016529i,9.5324e-07-0.0010335i,0.00036252-0.00067618i
-0.0005687+0.00047005i,-0.0001407-0.00035658i,0.00079916-0.00011179i,0.0010636-0.0005536i,0.0013108-0.0012578i,-0.00016925-0.0013699i,-0.00075147-0.0013978i,-0.00037292-0.0009661i,-0.00050609-0.00056942i,-0.00011992-0.00055436i,0.00014497-0.00045677i,0.00046234+0.00040478i,0.00111+0.00078159i,0.00053152-0.0001482i,-0.00089698-0.00069932i,-0.00080564+7.415e-05i,-0.00022233+0.0007107i,-1.2389e-05+0.00026435i,-0.00023977-4.9635e-05i,-0.00019644+0.00014338i,0.00047117+0.00068971i,0.00081227+0.00063774i,0.0006075-3.9254e-05i
0.00083856-6.3999e-05i,0.00065628-0.00032203i,0.00048266+0.00071706i,0.00037511+0.0018119i,0.00046779+0.0021957i,-0.00010701+0.001777i,-0.00064228+0.00068063i,-0.00076461-0.00035916i,-9.2748e-05-0.00042177i,0.00090236-0.00031686i,0.0012595-0.00032486i,0.0011066-0.00051541i,-0.00024656-0.00064695i,-0.00093722-0.00013681i,0.00013617+0.00077999i,0.00047394+0.00062581i,-0.00024356-6.4874e-05i,-0.0003126-6.9987e-05i,8.6828e-06+0.00068855i,-0.00027737+0.00018305i,-0.00016895-0.00037259i,1.6951e-05-0.00012266i,0.00023748-0.00083093i
0.0016976+0.00010799i,0.0017378+7.2472e-05i,0.0011846-0.00058529i,0.0001462-0.00019668i,-0.0016197+0.0002183i,-0.0017084-0.0004877i,-0.00049266-0.001047i,0.00021594-0.00052595i,0.00028444-1.4739e-05i,0.00043637+0.00025106i,0.0013645+1.9296e-05i,0.0021886-0.00058006i,0.0018371-0.00085476i,0.0015275-0.00058328i,0.00066439+0.00011973i,-0.0002791+0.0001721i,-0.00050348-0.00010353i,-0.00063302-0.00015726i,-4.0031e-05+0.00026141i,-0.00063099+0.0010596i,-0.0011224+0.0010062i,0.00037435+0.00040693i,0.00055775+0.00011479i
-0.0011837+0.0026637i,-0.00091468+0.0025073i,-0.00028595+0.0020198i,9.9186e-05+0.0012916i,-0.00046456+0.00068753i,-0.000639-0.00060767i,-0.0002363-0.00048604i,-0.00041869+0.00019883i,-2.6198e-05-0.0004634i,0.00092018-0.00070605i,0.0010523-0.00045531i,0.00053702-0.00012218i,-3.458e-05-0.00012921i,-0.000197-0.00024375i,0.00026798+0.00035598i,0.00061535+0.00073392i,0.00043776+0.00068224i,-1.0053e-05+0.00037677i,-0.00013012+1.5537e-05i,-2.4899e-06-0.00026286i,-0.00052222-0.00020194i,-0.00052769+2.3904e-05i,-0.00057186-0.00017222i
-0.00089449+0.0010401i,-0.0015221+0.0019135i,-0.00082804+0.0022214i,-0.00020785+0.001086i,-0.00025806-0.00032435i,-0.00098217-0.000607i,-0.00022089-0.00041651i,0.0010707-0.00025498i,0.00092372-0.00060708i,0.0006121-0.0012975i,0.00027873-0.0017451i,0.00048055-0.0014377i,0.0004008-0.00051099i,-0.00016599+0.00018622i,-0.00017746+8.2066e-05i,0.00052874-0.00066826i,0.00089979-0.00088106i,0.0008535-0.00021164i,0.00063472-0.00024718i,-0.00010184+0.00022827i,-0.00080736+0.00066699i,-0.00090041-3.726e-05i,-0.00048868-0.00034365i
-0.00061266-0.0012832i,-0.00040337-0.001066i,-0.00053272-0.00068994i,-0.00039258+0.00030461i,-7.8504e-05+0.00031371i,-0.00015713-4.527e-05i,0.0006258-0.00022654i,0.00076303-0.00076815i,0.00033663-0.00051711i,0.00032977+6.6961e-05i,0.00079103-7.6701e-05i,0.00082659-0.00062367i,0.00019718+0.000118i,-0.00049373+0.00095015i,-6.2676e-05+0.00053059i,0.00065641+0.00046835i,0.00066279-2.269e-05i,-6.2002e-05-0.00057412i,-0.00074899-0.00016839i,-0.00041532+0.00049181i,0.00065064+0.00086748i,0.00021268+0.00030096i,-0.00028994-0.0013973i
0.00082095+0.0013735i,0.0015904-0.00010398i,0.00067503-0.00023264i,0.00024412-0.00010594i,0.00046752-6.9559e-05i,-3.4752e-05+0.00062552i,-0.00097759+0.0011477i,-0.00073279+0.00079044i,0.00070778-0.00021529i,0.0014136-0.00099427i,0.0014775-0.00089802i,0.0012838-0.00010555i,0.00019924-4.3236e-05i,-0.0010508-0.00051216i,-0.00087653-0.00031706i,-0.0003439-0.00046955i,9.636e-05-0.00077918i,9.1373e-05-0.00037356i,-0.0004533-3.2141e-05i,-0.00052156+2.0209e-05i,8.7637e-05-0.00030199i,0.00070417-0.0014228i,0.0005384-0.0013315i
0.00084015+0.0013895i,0.0011404+0.0016243i,0.0013406+0.0011462i,0.00042465+0.0006925i,-7.5836e-05+0.00063599i,-3.2026e-05+0.00039523i,-7.8136e-05-0.00026157i,-0.00028349-0.00085061i,-5.1172e-05-0.0012397i,0.00026871-0.00087261i,0.00055001-0.00019959i,0.0011011-0.00063009i,0.0010515-0.00098573i,0.00038119-0.00048104i,-0.00019603-0.00047299i,-0.00052601-0.0003992i,-0.00057378+0.00013303i,-0.00046816+4.5059e-05i,-0.00010418-0.00040253i,-4.3068e-05-0.00080242i,2.7439e-05-0.00046685i,-0.00044556+0.00032038i,-0.00044927+0.00045866i
