0.00020699+0.00066612i,0.0002208-0.0007229i,-0.00026516-0.0013978i,-0.0017182-0.0014886i,-0.0026439-0.0010861i,-0.0017845+0.00080568i,0.00014998+0.0019745i,0.0016291+0.0011501i,0.0021783+0.00055627i,0.00089998+0.000105i,0.0002557-0.00088791i,0.00047673-0.00087669i,0.00036666+0.00057006i,-5.1356e-05+0.0013169i,-0.00028797+0.00055018i,-5.1529e-05-0.00016958i,0.00071452-0.0003145i,0.0012084+1.1515e-05i,0.0010961-0.0002848i,0.0015547+4.6794e-05i,0.0013797+0.00030943i,0.00031694+1.7433e-05i,0.00033456+0.00022204i
-0.002034-0.00051938i,-0.0016602-0.00069643i,-0.00068206-0.0013568i,-0.00051804-0.0011415i,-0.00036798-0.0004082i,0.00027253+0.00020738i,-0.00020423+0.00037483i,-0.00086708-0.00041081i,-0.00079128-0.00079848i,-0.00062587-0.00043986i,-3.53e-05-7.9413e-05i,0.00011452-0.00037941i,0.00074058-0.00048465i,0.0012393-0.00012309i,0.00077505+0.00011927i,0.00023962-6.3668e-05i,-0.00062175+0.00022579i,-0.0010767+5.3354e-05i,-0.00076398-0.0011355i,0.00022681-0.0010745i,0.00065019-0.00013532i,0.00012456+0.00061548i,-0.00038774+0.00073102i
0.0032451-0.00038457i,0.0031385-0.00019498i,0.0030048+0.00016877i,0.0015957-0.00076126i,-9.1716e-05-0.00078886i,-0.00051859+9.9864e-06i,-0.00073542+0.00073477i,-8.3502e-05+0.0006335i,0.0005383+0.00029362i,0.00017306+0.00047951i,-0.00055584-4.0055e-05i,-4.6777e-05-0.00038521i,0.00040464+0.00049141i,0.00018563+0.0010137i,0.00040338+0.00043063i,0.00074074+0.00021054i,0.00059653-9.0468e-05i,-0.00024344-0.00070208i,-0.00010844-0.00020263i,0.00062557+0.0002657i,0.00065101-5.7092e-05i,0.00010943+0.0001089i,0.00026201+0.00010271i
0.0014262+0.00016646i,0.00075959+1.0887e-05i,0.0011757-0.0006386i,0.0014627-0.00016276i,0.00086307+0.00014646i,-7.0315e-05+0.00066609i,-0.0010174+0.00047976i,-0.00058557-0.00046084i,0.00032867-0.00026714i,0.00043781-0.00020143i,0.0003535-0.00090315i,3.3599e-05-0.0010101i,-0.00076094-0.00089555i,-0.00095272-0.00095567i,-0.00072848-0.00019645i,-0.00039791+0.00092308i,-0.00010948+0.00084201i,0.00015554+0.00055819i,0.00054575+0.0007194i,0.00064008+0.00064527i,0.00011055-0.00046724i,-0.00076393-0.0010982i,-0.0014377-0.00068437i
0.00077204-0.00048859i,-0.00067674-0.00029284i,-0.00071573-0.0012953i,0.00018673-0.0020212i,0.00026318-0.001136i,0.00036973+0.00031741i,0.00047946+0.00058648i,-0.00021202+0.00079703i,-0.00095375+0.00084023i,-0.00090207+0.00092518i,-0.00033835+0.00095078i,0.00020697+0.00069436i,0.00027936+0.00047084i,0.00083234+0.00013633i,0.0015229+8.1932e-05i,0.0012525-0.00031875i,0.00041877-0.00032351i,0.00024303-0.00017673i,0.0013191-0.00042538i,0.0015525-0.00091362i,0.00074376-0.00077624i,9.5481e-05-0.00059252i,-0.00016675-0.00037012i
0.0008832-0.00031829i,0.0011409+0.00049277i,-0.00022497+0.00048409i,-0.0015194-0.00023384i,-0.0012418+0.00035229i,-0.0010774+0.00093632i,-0.0004763+0.00041926i,0.00021585-9.8213e-05i,-0.00018381+3.9872e-05i,-0.00010967+0.00020264i,0.00077773+0.00020801i,0.00036095-0.0002757i,-0.00026745-0.0005903i,0.00056474+0.0003898i,0.00081393+0.00091598i,-0.00020947-0.00016546i,-0.00048071-0.00075532i,-0.00059972-0.00022948i,-0.00080179-0.00041701i,-0.00036783-0.00060538i,0.00038947+0.0001644i,0.00046064+0.00073162i,-0.00039976+0.00024238i
-5.3045e-05-0.00060105i,0.00054399-9.3371e-05i,0.00033688+0.00033603i,0.00032019+0.00057697i,3.987e-05-0.00010431i,-0.00020834-0.00043934i,-0.00063523+0.00015626i,-0.0006942+0.00089694i,-0.00028298+0.00048943i,-0.00017084+5.5619e-05i,-3.8153e-05+0.00035471i,-8.7534e-05+0.00051531i,4.5931e-05+0.00072546i,0.00066841+0.00044819i,0.0011241-3.0914e-05i,0.0010417-0.00014014i,0.00063731+0.00026855i,0.0003502+0.00056976i,-0.00026486+0.00031936i,-0.00041606+0.00013438i,0.00010072+0.00032524i,-7.9122e-05+0.0001534i,-8.5714e-05+0.00072626i
-0.00064626-9.1521e-05i,-0.0011449-0.0014484i,-0.0016619-0.002193i,-0.0010203-0.0017262i,-0.00080744-0.00082775i,-0.0012392-0.0012992i,-0.0013277-0.001102i,-0.00070344-0.00055552i,0.00032496-0.00054672i,0.00082839-0.00040253i,0.00026465-0.00029753i,-0.0008197-0.00013855i,-0.0011627+0.00031452i,-0.00060502+2.3157e-05i,0.00010111-0.00067216i,0.00040578-0.00037022i,0.00067354-0.00035848i,0.00063286-0.00065412i,9.157e-05-0.00033657i,-0.00050775+0.0003125i,-0.00095617+0.00054778i,-0.00066827+0.00053917i,-0.00028082+0.00057546i
-0.00079267+0.0011307i,-0.00035727+0.00027585i,0.00028698+0.00028598i,0.00059343-3.2208e-05i,2.6976e-05-8.1516e-05i,-0.0011104-0.00014379i,-0.0010579-7.2597e-05i,0.00013556+0.00076379i,0.00073594-0.00068854i,0.00063832-0.0017222i,0.00019703-0.00082405i,-0.00011277+2.9132e-05i,2.1912e-06-0.00036716i,-0.00026499-0.00064012i,-0.00020988-0.00028628i,0.00024244+2.5889e-05i,0.00018152-5.8336e-05i,6.5126e-05-0.00077084i,-0.00046995-7.4982e-05i,-0.0010783+0.0009426i,-0.00074712+0.0005757i,-0.0001993+9.8181e-06i,0.00013015-0.0006211i
0.00044553-0.0014061i,0.0010422-0.00073056i,0.00019731-0.00088785i,-0.00052082-0.00122i,-0.00091355-0.00020805i,-3.4138e-05-0.00018709i,0.0002801-0.00014083i,-2.7105e-05+0.00047758i,-0.00038383+0.00071031i,-0.0002312+0.00041649i,6.8808e-06+0.00012941i,6.0784e-05-0.00013395i,0.00022337+5.2494e-05i,9.9378e-05+0.0003817i,0.00024527+0.00074949i,0.00026599+0.0008519i,-0.00021736+0.00026077i,-0.00056862-0.00028543i,-0.00070943-0.00077506i,-8.9293e-05-0.0009696i,0.00031661-0.00086909i,0.0001181-0.00014241i,-0.00086148+0.00021656i
-0.0018136+0.00075207i,-0.0013098+0.001625i,-0.00036821+0.0016035i,-0.00023021+0.00013903i,0.00034231-0.0014364i,0.0009808-0.0016242i,0.00096593-0.0007461i,0.0013009-0.00026687i,0.00053609-0.00036199i,-0.00011866-0.00010343i,0.00029209-0.00048487i,0.0011881-0.00028742i,0.00082896+0.00065074i,-0.00014936+0.00016813i,0.00035899-0.00021433i,0.00073913+9.6505e-07i,0.0005807+4.9737e-05i,0.00072505+0.00016345i,0.00029697+0.00035444i,-0.00020774-1.4786e-05i,-0.0001856-0.00079871i,0.00046894-0.0013737i,0.0010009-0.001271i
3.5808e-05+0.00039723i,0.00059121+0.00023853i,0.00081896-0.0001262i,0.00071375-0.00051266i,-7.0607e-05-0.0010072i,-0.00042566-0.00094335i,-0.00040358+3.935e-06i,-0.0011572+0.00056147i,-0.00097211+0.00042441i,-0.00024265+0.00037751i,0.00023602-0.00032748i,0.00027471-0.0011121i,-9.2287e-05-0.0010035i,-2.7994e-05-0.00066349i,-0.00045928-5.4604e-05i,-0.0013443+5.2189e-05i,-0.00085696-0.00043139i,-0.00032222+1.8356e-05i,-0.00027025-0.00011119i,0.00036015-0.00051256i,0.00012286-0.0005174i,-0.0004921-8.4386e-05i,0.0001078+0.00068601i
-0.00034269-0.0020915i,-0.00021889-0.002112i,-3.0376e-05-0.0020155i,-0.00015488-0.0011627i,-0.00042511+0.00013185i,-0.00077698+0.00048616i,-7.8117e-05+0.00028279i,0.00090067-0.00017325i,0.00087874-0.00010401i,0.00036498+0.00042179i,0.00038706+0.00099619i,0.00051798+0.0013437i,-1.0442e-05+0.00043802i,-6.0996e-05-0.00029184i,0.00090745-0.00012305i,0.0011901+0.00020655i,0.00068397+0.00013223i,0.00063623+0.00031399i,-6.4088e-05+0.00033795i,-0.00064014-0.00012477i,-0.00081938-0.00067622i,-0.00061493-0.00092367i,1.05e-05-0.00091472i
-0.00071915+0.00045283i,-0.00028923+0.0002881i,0.00031803+6.1977e-05i,0.00093176-0.00021597i,0.00071687-8.4186e-05i,0.00016675-3.5779e-05i,0.00031323-6.7691e-05i,0.00067135+0.00032185i,0.00016299-7.1768e-05i,-9.4961e-05-0.0005048i,0.00029743-0.00014656i,3.3851e-06+0.00012132i,-0.00046938+0.00021002i,-0.00029256+0.00038628i,-0.00031768+1.5483e-05i,-0.00047845-0.0010329i,-0.00025871-0.0013297i,0.00023655-0.00078866i,0.00061393-6.524e-05i,0.00086705-0.00012606i,0.00044065-0.00018334i,-0.00048661-0.0005221i,-0.00055988-0.00058212i
-0.0010174+0.0018241i,-0.00047072-7.3281e-05i,0.001612-0.00056109i,0.0012631-0.00034683i,-0.00016823-0.00054757i,-0.00078127-0.00021849i,-0.0011155+0.00032469i,-6.3028e-07-0.00031744i,0.00090702-0.00062842i,0.00072485-0.00076862i,0.00030138-0.0014775i,0.00027371-0.0014588i,0.00029125-0.0010845i,2.6123e-05-0.00096412i,0.00011926-0.00095226i,6.1906e-05-0.00054701i,0.00019251+6.0833e-05i,0.0006567+0.00027745i,0.00056913+0.00024063i,0.00039362+0.00042551i,-0.00018924+0.00042327i,-0.00014799-0.00053661i,0.00064701-0.00081002i
-0.00066333+0.00064667i,0.0001283-0.00016626i,0.00057274+0.00044028i,0.00078063+0.00037856i,0.00056718+0.00011606i,0.00028778+0.00046427i,0.00025177-0.00024723i,-0.00023958-0.00065273i,-0.0010509-0.0001695i,-0.00095381-0.00038461i,-0.00037906-0.00092292i,0.00044946-0.00034391i,0.00011433+0.00034808i,-0.00063528+4.1987e-05i,-0.00050864-0.0010524i,-0.00050501-0.0012738i,-0.00043449-0.00037556i,0.00027065-0.00027835i,0.00029244-0.00034754i,-0.00019413-0.00041014i,0.00055123-0.00061871i,0.00042592-1.8783e-05i,-0.00052968-4.5416e-05i
0.0026353-0.00044927i,0.0016631-0.00089139i,0.0010143-0.0013929i,0.00052051-0.0016094i,0.00036142-0.0012459i,-0.00035595-0.00098334i,-0.00059457+0.00012022i,-2.3787e-05+0.0011795i,0.00059605+0.00012672i,0.00083076-0.0012015i,0.00077598-0.0011104i,4.9659e-05-0.00034605i,-0.00090616-0.00017923i,-0.001211-0.00010858i,-0.00087574-0.0001392i,-0.00020251-0.00021817i,0.00011161-0.00027167i,0.00043049+0.00037593i,-0.00025514+0.0011939i,-0.0010709+0.00060271i,-0.00022254-7.8503e-05i,0.00065147-0.00017884i,0.00020498-0.00028628i
0.00091369-0.00016068i,-1.8819e-05-0.00064192i,-0.00052758-0.00049657i,-0.00088481-0.00015326i,-0.0008409-0.00091347i,-0.00032715-0.0010382i,-0.0004943-0.00016757i,-0.00088943-0.00012938i,1.3479e-05-0.00073674i,0.0010791-0.00054865i,0.00097797+0.0001526i,0.00023596-0.00036919i,-4.3536e-05-0.00039167i,-0.00034972-0.00019871i,-2.8296e-05-0.00033676i,-0.00019708-0.00019546i,-0.00047372-0.00020816i,-0.00025471-0.00022139i,5.8107e-05-0.00020766i,-0.00012494-0.00070272i,0.00015073-0.00081905i,0.00028403-0.00026871i,-0.00028067+0.00081782i
0.00050766+0.00099425i,0.00010676+0.00085326i,0.00041002+0.00096819i,0.0015329+0.00032535i,0.0017153-0.00018126i,0.00052731-9.7716e-05i,-0.00060977+6.6863e-05i,-0.00060911+0.0004889i,-0.00045078+0.00024738i,5.4488e-05-0.00048762i,0.0005294-0.00032201i,0.00049565-0.00021139i,0.00076292-0.00079608i,0.00051755-0.00046493i,0.00010099+0.00028713i,-0.00066751+0.00013333i,-0.00063079-0.00047429i,6.8582e-05-0.00021492i,0.00055877+0.00040034i,0.0011094-7.4502e-05i,0.00062544-0.00028093i,-0.00061965+0.00017778i,-0.00064732+0.00052324i
-0.00087921+0.00028736i,-0.0010411-0.00044543i,-0.001757-0.00090346i,-0.0018241-0.00057437i,-0.00075653-0.00036949i,0.00013096+6.0721e-06i,0.00031178+0.00017896i,0.00035365+0.00029468i,-5.0695e-05+0.00036742i,-0.00024636+0.00050223i,0.00053853+0.00036084i,0.00044856-0.0002783i,-0.00018725-0.00053026i,0.00068252-0.00039407i,0.00086323+0.00047033i,0.00032586+0.00018469i,-0.00021713-0.00088138i,-0.00011561-0.00081831i,0.00060633-0.00027132i,0.00079509+0.00023416i,0.000352+0.0005432i,0.00067147+0.00046472i,0.00094509+0.00015488i
-0.00049865+0.00094566i,-7.9662e-05-0.00085483i,0.00045916-0.0015101i,0.00094411-0.0009631i,0.00072181-0.00036045i,-0.00043977-0.0002222i,-0.00088563-0.00036637i,-0.00028777-0.0010214i,-0.00026567-0.0012455i,-0.00057099-0.0010881i,-0.00041556-0.0013779i,-2.0011e-05-0.00034376i,0.00011649+1.6788e-05i,0.00053907-0.00012398i,0.00023779+0.00010907i,-0.00019382-6.9805e-05i,0.0003196+7.2267e-05i,0.00059231+0.00058271i,0.00057958+0.00074378i,0.00015659+0.00042726i,0.00042329+0.00029694i,0.00062179+0.00085082i,8.2187e-06+0.00065356i
0.001705-0.0004319i,0.0013729-0.0012041i,0.00065951-0.0017286i,0.00065936-0.0022156i,-0.00018028-0.001452i,-0.00092803+0.00010879i,-0.00087218-0.00022539i,-0.00026181-0.00086742i,3.649e-05-0.00049861i,-3.9182e-05-0.00077659i,0.00023727-0.0011824i,-0.00023993-0.00050587i,-0.00087508+0.00016092i,-0.0013103+0.00013691i,-0.0013604-0.00024371i,-0.00080384+0.00020535i,0.00025266+0.00062194i,0.00080447+0.00034018i,0.00053454+0.00038747i,0.00053779+0.00016098i,2.5332e-05+0.00010291i,-0.00026799+0.00013481i,-0.00028488+0.00032548i
0.00071697+0.0025168i,0.0013186+0.0016832i,0.0017157+0.00039476i,0.0015185-0.0011156i,0.0008959-0.0013535i,5.449e-05-0.00081655i,-0.00051911-0.00083813i,-3.4757e-05-0.00090054i,0.00097816+0.00012298i,0.0012432+0.00074799i,0.00099224+0.00052931i,0.001183+0.00014829i,0.0011448+0.00015172i,0.00017091-0.0005842i,-0.0001978-0.001339i,0.00035492-0.00080844i,-0.00027598-0.00011552i,-0.00036247-0.0006386i,0.00044161-0.00050049i,0.00056103-5.4429e-06i,0.00069801-5.0241e-05i,0.00051233-0.00022369i,0.00035767-0.0007806i
0.0017405+0.0015885i,0.0019538+0.0015488i,0.0020033+0.00033066i,0.0014436-0.00157i,0.0011691-0.0020255i,-0.0004807-0.0013562i,-0.0015843-0.00061272i,-0.00057124-0.00023144i,4.3119e-05-6.6482e-05i,5.1528e-05-0.00065764i,0.00054943-0.00080524i,0.00028723-0.00028464i,-0.0010499-0.00014874i,-0.001014-0.0003604i,-0.00043219+2.7874e-05i,-0.00084549+0.00020147i,-0.00087841-0.00039979i,-0.00066099-0.00025306i,-0.0006473-0.00012797i,-0.00076817-0.00052308i,-1.3435e-05-6.52e-05i,0.00089265+0.00010222i,0.0013118-0.00022653i
-0.0010159+0.00048169i,-0.00059845+0.00024602i,0.0002985+0.00058827i,0.0012618+0.00031805i,0.001559-0.00021506i,0.00017988-0.00045008i,-0.00084818-0.0003614i,-0.00016274-0.00012744i,0.00022709-0.0004681i,-9.9895e-05-0.00066655i,4.9361e-05-0.00026882i,2.0732e-05-0.0001369i,-0.00035567-0.0010667i,0.00043324-0.0013554i,0.00049933-0.00092172i,8.9839e-05-0.00058863i,-0.00019352-0.0004349i,-7.9871e-05-0.00029076i,0.00017279-0.00016913i,0.00041959-0.00036519i,0.00046623-0.00012018i,0.00030562+0.00032874i,0.00049226+0.00050146i
-0.00041524+0.0014007i,-0.00018231+0.00047468i,0.00067884+0.00041766i,0.0012815-0.0002166i,0.00089061-0.00085567i,-0.00038731-0.00043132i,-0.0005244+0.00059828i,-0.0006349+0.00026322i,-0.00044765+0.00014912i,2.1606e-05+0.00033593i,-0.0001277-0.00028211i,-0.00077019-0.0011393i,-0.0010028-0.0013158i,-0.00051786-0.00074094i,-0.00016672-0.000106i,5.4335e-05+0.00040162i,-7.134e-05+0.00026876i,-0.00023912+0.00010769i,-0.00032556+9.1293e-06i,-0.00036771+7.5134e-05i,-2.1488e-05+0.00020591i,0.00016825+7.88e-05i,0.00070743-0.00010281i
0.00062228+0.00014899i,0.00057941-0.0010793i,0.0010601-0.0012537i,0.00092869-0.0014291i,-0.00010559-0.001388i,-0.00094627-0.00031074i,-0.0009647+0.0010637i,-0.00093417+0.00079209i,-0.0009604-0.00060528i,-0.00014859-0.0011634i,-2.8685e-05-0.00083415i,-0.00057675-0.00062817i,-0.00037332-0.00042023i,-0.00071477-7.5104e-06i,-0.00048576+0.00056295i,0.00081225+0.00093669i,0.0009999+0.00061626i,0.00038745+0.00039488i,0.0002231+0.00066974i,0.00022965+0.00015424i,0.00017-0.00040597i,-0.0001535-0.00049458i,5.9499e-05-0.00067923i
0.0023361+0.00062008i,0.0022037+0.00098796i,0.0011+0.0005368i,-2.0555e-05+0.00041956i,-0.00042034+5.6472e-06i,0.0001731+0.00086i,-0.00022039+0.0013002i,2.8138e-05+0.00022818i,0.00093773-8.7542e-05i,0.00072743+0.00012514i,0.00071719-0.00011415i,0.00074289-5.5682e-05i,9.0877e-05+0.00048679i,-0.00082104+0.00065435i,-0.0009032+0.00053333i,1.7521e-05+5.0814e-05i,0.00022851-0.00022309i,-0.00065569-0.00025152i,-0.00068995-9.8864e-05i,-0.00055518+7.1924e-05i,-0.00023372-3.3721e-05i,3.6532e-05+0.00022022i,-0.0002262+0.00012473i
0.00058882+0.00079957i,-7.8754e-05+0.00086033i,-0.0010409-0.0002754i,-0.0010836-0.0018078i,-0.00031016-0.0018307i,1.9787e-05-0.00064798i,0.00014459+0.00085277i,2.823e-05+0.001197i,-0.00047018+0.00038852i,-0.00060226+0.00010469i,-0.00037492-0.00012528i,-0.00037963-0.00016481i,3.463e-05-0.00071607i,0.00057928-0.00099549i,-0.00051922-0.00060083i,-0.00024753-0.0010129i,0.0010126-0.00096643i,0.00080419-0.00041942i,-7.2901e-05+7.0244e-05i,-7.7616e-05+8.957e-05i,0.00043757+0.00032962i,-0.00022196+0.00084671i,-0.00062774+0.00093521i
0.0017591+0.00026449i,0.00035445-0.0005859i,-0.00017238-0.001758i,-6.9949e-05-0.001499i,0.0004332-0.00065133i,0.00024411+0.00038944i,0.00036864+0.001142i,0.00023803+0.0012992i,-0.00015424+0.00091117i,0.00029573+0.00021478i,0.00027092+0.00036458i,-0.00027806+0.00034478i,-0.00096738-0.00069218i,-0.00086388-0.00048391i,-0.00022132+0.00051373i,-2.1077e-05+0.00045092i,-0.0001505+9.4018e-05i,-0.00031965+0.00052643i,-0.00059184+0.00055491i,-0.00013909+0.00020785i,0.0002648+0.00028372i,0.00030247+4.0933e-05i,-0.0005074-0.00025709i
-0.0027283-9.0638e-05i,-0.0019893+0.00057057i,-0.00078742+0.0016243i,2.3158e-05+0.00098893i,-0.00028659+0.00019977i,-0.00075827-8.2169e-05i,-0.0007697-0.0001662i,-0.00073111+0.00013333i,-0.00046345+3.6422e-05i,-0.00074427-0.00049578i,-0.0005223-0.00068273i,0.00060447-0.00061005i,0.0010722-0.00010114i,0.00017301+0.00017826i,-0.00024936-0.00078431i,-1.1235e-05-0.0011497i,-9.906e-05-0.00056457i,0.00060612-0.00023224i,0.0010225-0.00025288i,0.00070793-0.00024042i,0.00031095-0.00035487i,-0.00026922-0.00027006i,-0.00073618-0.00016451i
0.0014281+0.0013007i,0.00064443+0.00029405i,-2.3323e-05-0.00051062i,0.0001052-0.0011437i,0.00042891-0.00095578i,0.00038723-0.0010571i,-0.00013186-0.00081208i,-0.00040162-4.0127e-05i,0.00016609+0.0003662i,0.00062557+0.00043591i,0.00013729+8.3878e-05i,-0.00020426+0.00036541i,1.0818e-05+0.0007856i,0.00039245+0.00032899i,0.00076408+0.00017797i,0.00045044+0.000432i,-0.00030386+0.00060479i,-0.00072603+0.00087065i,-0.00069432+0.0013696i,-0.00023911+0.00081414i,0.00019282+0.00025372i,0.00013407+0.00043561i,0.0005679+0.00041877i
