-0.0016355+0.00043933i,-0.0010438+0.00086586i,-0.0033875+0.00073151i,-0.0042973+0.00019772i,-0.0037011+0.00070179i,-0.0028486+0.00083387i,-0.0017877+0.0012118i,-0.00091916+0.0023063i,-0.00037483+0.0016996i,3.0771e-05+0.00057707i,0.00022405-0.0003466i,0.00041662-0.00051019i,-3.6467e-06+4.7778e-05i,-3.759e-05+0.00033672i,0.00015134+3.2379e-05i,-3.3776e-05-0.00047554i,-0.0001632-0.00026552i,-0.00044863-0.00073202i,-0.00034568-0.00047992i,-0.0003525+0.00094969i,-0.00060659+0.0014581i,-0.00019216+0.00083384i,-2.3191e-05+0.00010857i
-0.0017022-0.0014401i,-0.001797-0.00079536i,-0.001621+0.00090915i,-0.001649+0.0011664i,-0.0014545+0.00029626i,-0.00036885-0.00028418i,0.0001024-0.00047772i,-0.00023338+0.0004552i,0.00014103+0.00094601i,0.00031936+7.9712e-05i,-0.00031604+0.00015847i,-0.00072889+0.00090493i,-0.00073562+0.001118i,-0.00036705+0.00061358i,-0.00021187+0.00089149i,-0.0005064+0.00096168i,-0.00035101+0.00039546i,0.00023662-3.8399e-05i,0.00033586-0.0003125i,0.00040709-0.00080521i,0.00016027-0.0010567i,-0.0006698-0.00043113i,-0.00090791+0.00012856i
-0.0015708-0.00080355i,-0.002232-0.00059731i,-0.0028772-0.00072675i,-0.0026265+0.00012724i,-0.00095415+0.0007172i,0.00067653+0.00042006i,-0.00021463+0.00028551i,-0.00087221+4.2479e-05i,-0.00057392-0.00016295i,-6.9067e-05+0.0001397i,0.00046868+0.0010567i,0.00093338+0.00088238i,0.00036082+9.925e-06i,-0.00038906-0.00029303i,-0.00054272-0.00050649i,-0.00013715-1.7459e-05i,0.00037098+0.00018739i,0.00034091-0.00036695i,0.00029231+0.00010467i,0.00022353+0.00065347i,0.00037915+0.00025767i,9.9121e-05+0.00078804i,-0.00071711+0.0010398i
-3.0489e-05-0.00055522i,0.00026114-0.00011824i,0.00051398-0.0002433i,-0.00061362-0.00019996i,-0.001268-0.0001617i,-0.0010439-0.00046915i,-0.0013093-0.00061371i,-0.0017872+0.00017754i,-0.0012981+0.0011048i,-0.00071134+0.00086691i,-0.0011149+0.00032156i,-0.0010499-0.00031852i,-0.00015044+0.00010341i,-0.00011787+0.00051136i,-0.00024863-0.00046696i,-0.00011138-0.00096269i,-0.00020473-0.00086794i,-8.5862e-05-0.00042739i,-0.00012497+0.00028913i,-0.0006227+0.00075334i,-0.0010806+0.00025107i,-0.0006506-0.00045778i,-0.0002177-0.00067614i
-0.001019+0.0012293i,-0.00085948+0.0017195i,-0.0011573+0.0019569i,-0.0010918+0.0012213i,-0.00022494+0.00079696i,-0.0010068-0.00054087i,-0.0019147-0.0010479i,-0.0011241+1.4241e-05i,-0.00025155+0.0005457i,0.00017078+0.00086775i,0.00058007+0.0010522i,0.00064739+0.0012871i,-0.00033301+0.00081258i,-0.00078294+0.00012298i,-0.00027484-0.00071129i,2.8095e-05-0.00087507i,-8.8356e-06-0.00056572i,-0.00010149-0.00015836i,-0.00013711+0.00026796i,-0.00019681+0.00017037i,5.5796e-05+0.00029428i,-8.1321e-05+0.00089297i,-0.00018395+0.00059394i
-0.00043086-0.00051413i,0.0002867-0.00010141i,0.00012625+0.0010255i,-0.00057023+0.0010248i,-0.00018589+0.0013093i,0.00076068+0.00026036i,-0.00026642-0.0011244i,-0.0015307-0.00039222i,-0.00069105+0.00028881i,-0.00026662-0.0010299i,-0.00027387-0.001997i,4.7128e-05-0.0012776i,-0.00028307-0.0004492i,8.982e-06+3.7414e-05i,0.00022008+0.00017298i,-0.00033583-0.0005181i,-0.00022714-0.00053938i,9.4508e-05+0.00036368i,-0.00052033+0.0002775i,-0.00088099-0.00056336i,-0.00085324-7.0663e-05i,-0.00039043+0.00025717i,0.00015105-0.00011993i
0.0003561-0.00011909i,-0.00033216-0.00033433i,-0.00070136-0.0010705i,-0.00060081-0.0005304i,-0.0012077+0.00011441i,-0.0012745-3.2934e-05i,-0.00068588-0.00035385i,-0.00081759-0.00079544i,-0.00057134-0.00043649i,-0.00040281+0.00020312i,-0.00043473+0.00045088i,-0.00019458+0.00071323i,-0.00088038+1.1079e-05i,-0.0012387-0.00077341i,-8.5012e-05-0.00083219i,0.00051298-0.00046732i,-6.7374e-05+3.66e-05i,-0.00067967+0.00021217i,-0.0010313+0.00050741i,-0.00057419+0.00062494i,0.00023129+0.00080161i,-4.4539e-06+0.0016433i,-0.00065266+0.0012557i
-0.00012024-0.0020101i,-0.0010661-0.0017244i,-0.0018367-0.0016096i,-0.0017535-0.0010557i,-0.0016521-0.0007036i,-0.0012006-0.00014327i,-0.0010816-4.7636e-06i,-0.0011175+0.00011566i,-0.0007381+0.00082284i,-0.0011368+0.00056i,-0.0011573+0.0002388i,-0.00068999+0.00040829i,-0.00090405+4.1116e-05i,-0.0010519-0.00035499i,-0.00092007-0.00084534i,-0.0012208-0.0013491i,-0.0012823-0.00067563i,-0.00099097+0.00043994i,-0.00060378+0.00040447i,-0.00058948+3.8316e-05i,-0.0010722+1.2943e-05i,-0.0010704+0.00010378i,-0.00096741+9.5673e-06i
0.00063888-0.0015057i,0.001295-0.0016489i,0.00050564-0.0015306i,-0.0010432-0.00099674i,-0.0015234-0.0011246i,-0.0013468-0.0014663i,-0.0011914-0.00091833i,-0.0012299-0.00049795i,-0.00065398-0.00084581i,-0.00031673-0.00019373i,-0.00097508+0.00054045i,-6.2115e-06+0.00028219i,0.00046468-0.00021555i,-0.00037513-0.00046632i,-0.00017254-0.00027334i,9.85e-05-0.00020458i,-0.00028692-0.0008697i,-2.2527e-05-0.00026218i,8.6295e-05+0.00088934i,-0.00038828+0.00067456i,-0.0007185+0.00026262i,-0.0007311+0.00012865i,-0.00036937-0.00027724i
0.0010709+0.00070903i,0.0020541+0.00025729i,0.0012986-0.00016964i,-6.8861e-05-0.00028859i,-0.00074972+0.00024258i,-0.00074755-0.00037703i,-0.00096219-0.00093106i,-0.00062244-0.00056965i,0.00031775-0.00044556i,-0.00022207-0.0004681i,-0.00052195+0.00073578i,0.00017846+0.0012347i,0.00075614-0.00014695i,0.00075092-0.00045092i,-4.5206e-05+0.00053382i,-0.00052312+0.001225i,-0.0001885+0.00065388i,9.0824e-06-0.00016164i,-0.0001037-0.00014299i,-6.6747e-05-0.00053537i,-0.00039134-0.00067023i,-0.00085544-0.00049411i,-0.00033568+0.00019798i
-0.00093587-0.00038097i,-0.0022981-0.00048734i,-0.0033195-0.00054578i,-0.0026342+0.00024796i,-0.0013387-0.00010071i,-0.00077749-0.0011527i,-0.00046921-0.00031231i,-0.00079432+0.0006437i,-0.00043948+0.00024628i,-0.00025043+9.817e-05i,-0.00099981+0.00033682i,-0.0013596-3.1353e-07i,-0.00077971-0.00054781i,-0.0001289-0.00026943i,-2.3972e-05+0.00021343i,-8.7402e-05+0.00049337i,0.0002392+4.5239e-05i,0.00072684+6.0721e-06i,0.00081246-1.9583e-05i,0.00026865-0.00011479i,-0.00031948-0.00052553i,-0.00034661-0.00036828i,-0.00069888+3.027e-05i
-0.0029846-0.0003731i,-0.0039285-0.00034081i,-0.0034842-0.00032405i,-0.0023551+0.00040899i,-0.0014086+1.3601e-06i,-0.00076364-0.00032741i,-0.0016162-6.5387e-05i,-0.0016495-0.00020223i,-0.00085741+0.00013298i,-0.00051386+0.00073023i,2.0518e-06+0.00045782i,0.00069231+0.00062508i,0.00032106+0.00094329i,-5.6882e-05+0.00046639i,4.636e-05+0.00017961i,-3.5481e-06+0.00018466i,-3.9632e-05+0.00040201i,0.00041517+0.00061398i,0.00013729+0.00019505i,7.8999e-05-0.00023245i,0.00045717+0.00034429i,0.00018469+0.0010882i,-0.00051631+0.00098125i
-0.0022523-0.0004208i,-0.0013525-0.00080638i,-0.0011597-0.00094663i,-0.0018413-0.00083958i,-0.0011498-0.00053978i,-0.0007489-0.0006493i,-0.0012922-0.0013779i,-0.0012032-0.0011594i,-0.00081359-9.7794e-05i,-0.00019346+0.00063059i,0.00027732+0.00054271i,0.00050894+0.00019397i,0.00079546+0.00024887i,0.00055251-0.00022963i,0.00031674-0.00052015i,0.000512-0.00036558i,0.00062438-0.00039183i,0.00099854-0.00024063i,0.0014193-1.4834e-05i,0.00058686+0.0002561i,0.00026765+6.6402e-05i,0.00034386-0.00036073i,0.00014394-0.0010164i
0.00098487-0.00012932i,-0.0002273-0.0006415i,-0.00027123+0.00014434i,-0.00028815+0.00033456i,-0.00052802-0.00066865i,-0.0009818-0.001341i,-0.0016095-0.0016193i,-0.0011407-0.00028i,6.65e-05+0.0011692i,0.00077967+0.0010452i,0.00016045+0.00041824i,1.3229e-05+8.8138e-06i,0.0007352-8.3602e-05i,0.00040051-0.00020373i,-0.00011071-0.00021847i,0.00033357+0.0007354i,0.00099785+0.0012075i,0.00078045+0.00024837i,0.00059583-0.0005003i,0.00084073-3.5021e-05i,0.00013853-0.0001019i,-0.00078345-0.00099515i,-0.00078664-0.00085206i
-0.00056296-0.0012691i,-0.0012625-0.00085877i,-0.0021481-0.00065386i,-0.0021515+0.00012916i,-0.0018178+0.00047878i,-0.00087332-0.00079087i,-0.0004025-0.0012794i,-0.0010067-0.00019858i,-0.00077797+0.00076158i,-0.00023746+0.00091386i,0.00017039+0.00080614i,0.00026003+0.00094897i,0.00019159+0.00044215i,0.00031388-0.0005224i,0.00019192-0.00060912i,-0.00070023+8.4232e-05i,-0.00089046+4.124e-05i,-0.00022329+2.2885e-05i,0.00018082+0.00020366i,0.00015743+4.6485e-05i,8.9551e-05-0.00038554i,0.00015068-0.00041956i,0.00022246-0.00011245i
-0.00032461+8.4352e-05i,-0.0007951-0.00015702i,-0.0010827-0.0012194i,-0.0011358-0.0018759i,-0.00094384-0.0014694i,-9.5017e-05-0.0014993i,-0.00036429-0.00066382i,-0.001245+0.0004125i,-0.0012531-5.4952e-05i,-0.0009634-0.0008005i,-0.00080354-0.0010087i,-0.0005077-0.00088654i,-0.00057284-0.00063307i,-0.00074305-0.00040423i,-0.00025534-0.00089744i,0.00038141-0.00094693i,0.0004485-1.7487e-05i,-0.00026331+0.00064458i,-0.00055146+0.0002868i,-0.00054674-0.00064148i,-0.00020736-0.0013603i,0.00046037-0.00071039i,0.00037029-0.00028819i
0.00049655-0.00027545i,0.00065331+0.0011827i,0.00058807+0.0022358i,-7.6842e-09+0.002083i,-0.00030225+0.00066961i,-0.00060294-0.00058923i,-0.0015535-0.00047395i,-0.0020227-8.5744e-05i,-0.0008972-2.0356e-05i,-0.00037723-4.1022e-10i,-0.00050973-0.00055283i,1.928e-05-0.0011868i,0.00069133-0.00088852i,0.00066779-8.2908e-05i,-0.00030156-1.6104e-05i,-0.00049388-0.00020394i,-8.4619e-05+0.00028359i,-0.00028473+0.00029898i,-0.00020488-0.00031468i,-0.00034099-2.8973e-05i,-0.0010022+0.00044402i,-0.00019563+0.00047181i,0.00071729+0.00028916i
1.1136e-05-0.00085861i,0.00011626-0.00031003i,-0.00032814-0.00088253i,-0.0013761-0.0010406i,-0.0013636-8.3009e-05i,-0.0011954-1.9379e-05i,-0.0015664-0.00031004i,-0.0010878-0.00024351i,-0.00060553-0.00030717i,-0.0002413-0.00036288i,-0.00031746-0.00035165i,-0.00028689-0.00015793i,-0.00073371-8.5396e-05i,-0.0011612-0.00036161i,-0.00062338-0.00065i,0.0004346-0.00033659i,0.0004553+0.00011173i,0.00012619+0.00017096i,0.00020774+0.00049068i,0.00014626+0.00059927i,-0.00032777+0.00043559i,-0.00081359-0.00010104i,-0.0011988-0.00078474i
0.0014332-0.00034007i,0.00067317+0.00011476i,-0.00011699-0.00070874i,-0.00076502+0.00023498i,-0.00068199+0.00030037i,-0.00053164-0.00080527i,-0.0012-0.0015911i,-0.0010004-0.00090516i,-0.00052108-4.9569e-06i,-0.00063014-0.00015338i,-0.00054499-0.00015735i,-8.3603e-05+0.00016512i,-0.00013521+3.893e-05i,-0.00043939+0.00053799i,-0.00040333+0.00065524i,-0.0012161+0.0004141i,-0.0015564+0.00084891i,-0.0010511+0.00070656i,-0.00054221+0.00015965i,0.0006197+0.00054948i,0.00056717+0.00050189i,0.00069026-0.0005682i,0.00085094-0.00062261i
-2.0846e-05+0.00054968i,3.5e-05-0.00013603i,-0.00064938-0.00019769i,-0.0006832-0.00049152i,-0.0010019-3.8821e-05i,-0.00078838-0.00024605i,-0.00060599-0.00083106i,-0.00080053-0.00036389i,-0.00068846+0.00018741i,-0.00078551+0.00037435i,-0.00054844+0.00015435i,-0.00023698+0.00013294i,-0.00040461+0.00063095i,-0.00020583+0.00054021i,-0.00022058+4.9073e-05i,-0.00022742-0.00049008i,0.00033268-2.7038e-05i,0.00062366+0.0011123i,0.00012498+0.0011632i,-0.00047873+0.00050637i,-0.00037093-8.95e-05i,7.1052e-05-0.00022254i,7.6691e-05-0.00032516i
9.7161e-05-6.7356e-05i,0.00021758-0.00088464i,0.00015408-0.00090601i,0.00016045-2.9286e-05i,-0.00022709+0.00053085i,-0.00092516+0.00071579i,-0.0017063-0.00016743i,-0.0018251-0.00031329i,-0.00074737+3.3428e-05i,-0.00016107+0.00021714i,-0.00028584+0.00039899i,-0.00026438-0.00011014i,-0.00076441-0.00012322i,-0.0010071+0.00020627i,-0.00047808+0.00045466i,-5.8239e-05+0.00025405i,0.00024281+8.2477e-05i,0.00028564-2.3282e-05i,0.00066697-0.00038043i,0.00013426-0.00046761i,-0.00014887-0.00020051i,0.00061107-0.000163i,0.00033305-0.00021967i
-0.00041704+0.00013561i,-0.00038249+8.8701e-05i,-0.00072574-0.00054941i,-0.0013472-0.00069374i,6.7829e-05-0.00041799i,0.00056889+8.1039e-05i,-0.0007805+2.9449e-05i,-0.001475-0.00069386i,-0.0010905-0.00081815i,-0.00076203-0.00023096i,-0.00013434+0.00041869i,0.00079156+0.00080562i,0.0011277+0.00037586i,0.00035502-0.00011872i,-0.00014048-0.00032948i,0.00011211-4.5069e-05i,0.00026977+0.00085295i,0.00038933+0.0010875i,-0.00013832+0.00092354i,-0.00031352+0.00047069i,6.4467e-05+0.00011393i,-0.00047523+5.9661e-06i,-0.00060412-0.00078525i
0.00018468-0.0011759i,-7.6185e-05-0.0015152i,0.00049881-0.0022308i,0.00011765-0.0016912i,-0.0011991-0.00072398i,-0.0013739-0.00063408i,-0.0011772-0.00048437i,-0.0010356-0.00034107i,-0.0010818-0.00062584i,-0.00053567-0.00082349i,3.9803e-05-0.00064076i,0.00012711-0.00022937i,0.00038879-0.00072281i,0.00080734-0.00093001i,0.00042085-0.00026861i,-0.00033891+2.5852e-05i,-0.00051332+0.0003856i,-0.00059148+0.00047992i,-0.0010607+0.00025454i,-0.00072201+0.00011405i,-0.00014957-0.00029326i,-0.00043912-0.00024373i,-0.00035165-0.00035489i
0.0010783-0.00095087i,-6.5907e-05-0.0023133i,-0.001372-0.0028737i,-0.0024674-0.0021617i,-0.0028981-0.0014142i,-0.0021462-0.00076378i,-0.0014534-0.00067006i,-0.0012636-0.00049557i,-0.00041192+0.00013072i,0.00029088+0.00037148i,3.7386e-05+0.0004995i,-0.0001541+0.00090308i,-0.00012345+0.00041486i,3.1719e-05-0.00024886i,3.4951e-05-0.00020331i,-0.00050971-6.6331e-05i,-0.00043076-0.00019922i,0.00010262-0.00031284i,0.00043194+6.4985e-05i,-0.00015994+0.00018598i,-0.00079996+6.5127e-05i,-0.00012795-0.00034396i,0.00022325-0.00027891i
0.00062421-0.00012413i,-2.8173e-05-0.00038839i,-0.00053154-0.0015941i,-0.00070854-0.0012083i,-0.0012938-0.00051282i,-0.0014101-0.00062804i,-0.00097977-0.0005706i,-0.00059719-0.0002217i,-0.00011547+0.00012889i,1.7414e-05+6.008e-05i,0.00033207-0.00017538i,0.00067035-0.00072264i,0.00042326-0.00077294i,-1.3026e-05-2.6281e-05i,-0.00013021-0.00017371i,0.00021914-0.00013564i,0.0002012+0.00029815i,0.00060892+0.00014107i,0.0012447-4.8141e-06i,0.00059328-0.00048513i,0.00012659-0.00027238i,-0.00013024-0.00040758i,-0.00021259-0.0010111i
0.00099378-0.0021669i,0.001094-0.0023346i,0.0011539-0.0020015i,0.00016287-0.001767i,-0.00042068-0.00098658i,-0.00068877-0.00027067i,-0.0015817+5.0942e-05i,-0.0022383+0.00066555i,-0.0013974+0.00076097i,-7.6687e-05+7.0416e-05i,0.00022997-8.9146e-05i,0.00033014-3.1554e-06i,0.00029543-0.00081482i,-1.5082e-05-0.00078296i,-0.00019935-0.00017305i,-0.00028905-4.7888e-05i,-0.00059099+0.00036458i,-0.00095261+0.0012155i,-0.0010313+0.0010462i,-0.00015202+7.9795e-05i,0.00053744-0.00067879i,-0.00011781-0.0011562i,-0.00069841-0.0012586i
-0.0015794-0.00045577i,-0.0028382-0.00045099i,-0.0023391-0.00075053i,-0.0013708-0.00025337i,-0.0014138+0.00021726i,-0.00039973-0.00014939i,4.2846e-05-0.00035646i,-0.0010562-0.00083002i,-0.0012203-0.00087464i,-0.00053777-0.00070956i,-8.1189e-05+0.00038056i,0.00042178+0.0011202i,0.00024819+0.00010275i,-0.00013643-0.00013346i,-0.00058589+0.00066772i,-0.00047506+0.0012828i,-8.5998e-05+0.00082166i,-0.00042851+3.8607e-05i,-0.00040123-0.00023789i,-0.00014369-0.00076908i,-0.00099836-0.00047409i,-0.0010403-0.0002539i,-0.00011196-6.6966e-05i
-0.001126+0.001194i,-0.00069214+0.00018002i,-0.00069768+0.00085492i,-0.0017082+0.00099081i,-0.00086416-0.00026737i,0.00062031-0.00056335i,0.00064225-0.00026925i,5.9974e-05+0.00030891i,-0.0004649+0.00086352i,-0.00041583+6.2144e-05i,-0.00032795+0.00025132i,-0.00020918+0.00097029i,-3.4812e-05+0.00041925i,0.00022952+6.5333e-05i,-1.1394e-05-0.00048424i,-0.00068735-0.00078155i,-0.00032894-0.00046695i,0.00024357+2.9945e-06i,-0.00036299+0.00062008i,-0.0009625+0.00098693i,-0.00060372+7.0389e-05i,-0.00041042-0.00071671i,1.3277e-05-0.00053462i
-0.0013015+6.7369e-05i,3.4254e-05-0.00040073i,-0.0007133+0.00074299i,-0.001033+0.00055185i,4.577e-05-0.00050895i,-0.00048555-0.0012981i,-0.0013553-0.0010932i,-0.0013192+0.00051862i,-0.00062395+0.0014185i,-0.00033076+0.0011585i,-0.00047581+0.00042497i,-0.00054968+0.00034168i,-0.00042305+0.00012874i,-0.00030669+0.00015271i,2.0305e-05+0.00039233i,0.00018028-0.00052582i,-0.00036162-0.00084994i,-4.7057e-05+0.00041556i,7.8388e-05+0.00099932i,-0.00022903+0.00080101i,5.2807e-05+0.00066442i,0.00052842+0.00027048i,0.00017792+4.6693e-06i
0.00055745+0.001709i,0.00047928+0.00010395i,-0.00058803-0.00040014i,-0.00027608+0.00010606i,0.000265+0.00032174i,4.8622e-05-0.0010129i,-0.00066866-0.0016115i,-0.00097638-0.00049381i,-0.00024382-0.00017208i,0.00021124-0.00045062i,0.00023973-0.00011765i,0.00053892+4.5161e-05i,0.00077176-0.0001247i,0.00060861-0.00087718i,0.00024027-0.0011281i,-0.00019075-0.0010251i,-0.00099667-0.00077897i,-0.00064334-0.00091784i,-2.8141e-05-0.00091765i,0.00029049-0.00015739i,0.00031535-7.5388e-06i,0.00024014-0.00039557i,-0.00013836-0.000576i
-0.00064187+0.0012154i,-0.00079426+0.0015566i,-0.0019406+0.0019292i,-0.0019885+0.0006055i,-0.0007528+6.6557e-05i,-0.00040474-8.8656e-05i,-0.0012204-0.00030095i,-0.0013352+0.00032949i,-0.00070389+0.00077439i,-0.00017461+0.0010226i,0.00038651+0.0011649i,0.00070691+0.00067619i,0.00072132-1.894e-06i,0.00089152+8.3723e-05i,0.001312+0.00059554i,0.00062457+0.00067894i,-0.00041611-0.00053767i,-0.00049384-0.00048002i,-6.1579e-05+0.00050849i,0.00047916+0.00075574i,0.0012234+0.00033879i,0.000653+0.00065483i,-0.00019595+0.00072306i
-0.0011022-0.0019689i,-0.0014089-0.0018429i,-0.0023752-0.001609i,-0.0023405-0.00045294i,-0.00097396+0.00038652i,-0.00018516+0.00018043i,-0.0013513-0.00032797i,-0.0019998-0.00053902i,-0.00114+2.7925e-06i,-0.0011299+0.00067843i,-0.0014319+0.00046778i,-0.00051196-0.00020638i,0.00029822-0.00062045i,-1.8741e-05-0.00017637i,-0.0002331+0.00070781i,0.00040542+0.0011121i,0.00040282+0.0012103i,0.00029213+0.0011631i,0.00038299+0.00069428i,0.00020535+9.8076e-05i,0.00021918-0.00047921i,0.00012775-0.00013385i,-0.00025062+0.00030399i
