-0.001071+0.0002686i,0.00014765-0.0010133i,-0.0011485+0.00038938i,-0.0019109+0.0017231i,8.8581e-06+0.0021405i,0.00098941+0.0010793i,-0.00018803+0.00075181i,3.2473e-05+0.0010385i,0.00082019+0.00043245i,0.00068217-6.5983e-05i,0.0011297-0.00041785i,0.0016917-0.00061547i,0.0010267-0.0012026i,0.00047591-0.0021238i,0.00057147-0.0023406i,-0.00026472-0.001696i,-0.00091363-0.00037289i,-0.00066701-0.00051287i,-0.0012155-0.0016495i,-0.0017311-0.0012602i,-0.00068365+3.2073e-05i,0.0007904+0.00065233i,0.0012035+0.00051242i
0.0019135-0.00013069i,0.0012788-0.0011027i,0.001102-0.0010847i,-1.2112e-05+0.00088304i,-0.001199+0.0017624i,-0.0012877+0.0014476i,-0.0010499+0.0012966i,-9.6735e-05+0.00030777i,0.00093695-0.00048022i,0.00086755+0.00013547i,0.0006631+0.00069795i,0.00065489+0.00092948i,-7.6816e-05+0.00055048i,-0.00036396-0.00011133i,0.00010788-0.00052589i,0.00051087+7.0794e-05i,-0.00012322+0.00064387i,-0.00046004+0.0010751i,3.5121e-05+0.0012357i,0.00014955+0.00075328i,-0.0006122+0.00068171i,-0.00074622+0.00026296i,1.7882e-05+0.00039224i
0.00043273-0.001128i,0.00010025-0.0014362i,-0.00095353-0.0010221i,-0.0016234-0.00054915i,-0.00099997-0.00055258i,3.1739e-05-0.00028894i,-0.0001237+0.00024008i,-0.00021227+0.00049027i,-0.00028086-0.00027063i,2.1411e-05-0.00011056i,0.00049267+0.00023047i,0.00054372-0.00071568i,0.00062045-0.0014927i,0.00047701-0.0013144i,-0.00056965-0.00066528i,-0.0006145+4.2843e-05i,3.5361e-05+0.0004538i,6.9516e-05+5.2617e-05i,0.0001166-0.00049277i,-0.00025204-0.00028975i,-0.0010097+0.00032972i,-0.00010386+0.00069641i,0.0010177+0.00074725i
0.0014046-0.00036556i,0.0020373-0.001004i,0.00112-0.0012697i,0.0004495-0.0010044i,0.0007433+0.00026833i,0.00069444+0.00011961i,0.00035055+0.00026749i,3.1042e-05+0.00040009i,0.00050776+0.00029329i,0.00088938+0.00093829i,7.5313e-05+0.00045503i,-0.00046943+0.00023013i,-0.00064118+0.00020924i,-0.00097011-0.00062455i,-0.00024014-0.0011876i,6.3153e-05-0.000994i,-0.00057444-0.00075186i,-0.00080084-0.0011391i,-0.00032759-0.0012778i,3.4656e-05-0.00058803i,-4.0024e-05+0.00044369i,-0.00021319+0.00051092i,-0.00035835-0.0003622i
0.0028738-0.00152i,0.0015375-0.0026622i,-0.00027613-0.0024008i,-0.0013216-0.0017503i,-0.0014866-0.0013394i,-0.0014063-0.0009214i,-0.0012568-0.000374i,-0.00076832-0.00021449i,-0.00041356-0.00061758i,0.0001436+5.8181e-05i,9.3022e-05+0.00093689i,0.00089514+0.00036339i,0.0010019+0.00063837i,0.00036292+0.0010454i,0.00057901+0.00080324i,0.00067615+0.00061726i,6.8449e-05+2.3109e-05i,-0.0003369-9.5891e-05i,-1.004e-05+0.00066703i,-0.00092029+0.00064977i,-0.0010357-0.00014528i,0.00058366-0.00041046i,0.0012627-0.00025425i
0.0017504+0.0022318i,0.0025115+0.0015808i,0.0020435+0.00084716i,0.0013301-5.4362e-05i,0.00067762-0.0010428i,-0.00027955-0.0012203i,-0.00040888-0.00055188i,-0.00021373-2.2524e-05i,0.00062106+0.00038333i,0.00099149+0.00053615i,0.00057611+4.3362e-05i,0.000892-0.00044306i,0.001153-0.0011074i,0.00059891-0.0017392i,-0.00014076-0.001526i,-0.00026876-0.00012436i,-8.569e-06-0.0002946i,0.00071692-0.0010739i,4.7413e-06-0.0003985i,-0.00065966+7.3627e-05i,-0.00049037-4.2818e-05i,-0.00022762+7.2284e-05i,0.00032463+0.00054474i
0.0026846+0.00069118i,0.0024119-0.0017516i,0.0006577-0.002347i,-0.00057488-0.0008508i,-0.00093023-0.00067664i,-0.00050801-0.0015866i,-0.00031855-0.00054174i,-0.00024516+0.00039582i,0.00019742-0.00025517i,0.00055248-0.00045156i,-0.00011074-0.00015807i,-0.00081565+0.00053415i,-0.0006851+0.00048227i,-0.00034814+0.00050945i,-0.00017538+0.00058039i,-0.00024446-0.00022187i,-0.00061208-0.00054675i,-0.00041728-0.00038275i,0.00039982-0.00015723i,0.0007591-0.00017901i,0.00077592+5.7403e-05i,0.00025574+0.00043841i,-0.00083442+0.0006181i
0.0020214+0.00052987i,0.0012048-0.0014471i,0.0015381-0.0030545i,0.00037434-0.0019573i,-0.00088527-0.00075049i,-0.00059439-0.00033555i,0.0003137+0.0002795i,0.00026986+0.00068789i,-0.00011103+0.0002982i,6.5444e-05-0.00064589i,8.3509e-05-0.00083076i,-0.00012205-0.00023476i,-0.00046327-0.00036838i,-0.00066493-0.00062183i,-0.00051682-0.0004777i,-0.00025433-0.0006241i,-0.00062596-0.00075185i,-0.00092128+0.00012974i,-0.00099219+0.00082617i,-0.00019564+0.00061337i,0.00085352+8.525e-05i,0.00061814+0.00010666i,-0.00016863+0.00033879i
0.0021579+0.0011631i,0.0021246+0.00038129i,0.0015764-0.0011396i,0.0001364-0.0011178i,-0.00054818-0.00093687i,-0.00076223-0.00046927i,-0.00080344+0.00073093i,0.0001228+0.00033601i,0.00046039-0.00040133i,-0.00043919-0.00084358i,-0.00077751-0.00033141i,-0.00056793+0.00068449i,-0.00048873+0.00067936i,-0.00021752+0.00091608i,-0.00049007+0.0011049i,-0.0010637+1.9022e-05i,-0.001749-0.00029517i,-0.0014936+0.00011035i,-0.00037433-0.00033731i,-0.00040121-7.5251e-05i,-0.00033469+0.00067455i,0.00029632+0.0002841i,0.00091111+0.00051636i
0.0012037-0.00049177i,0.00023968+1.6214e-05i,-0.00025127-0.00031064i,-0.00011221+0.0002205i,-0.00013281+0.00074326i,-0.00017941+0.00046229i,-0.00055099+0.00025745i,-0.00043939+0.00051767i,0.00018982+0.0010192i,-0.00010205+0.0010955i,0.00015108+0.00079196i,0.00057688+0.00076172i,6.5746e-05+0.00058459i,-9.5482e-05+0.00053968i,0.00057018+0.00020785i,0.0010822-0.00063691i,0.00077259-0.00067859i,-6.9171e-05-0.00016504i,0.00016133-0.00022689i,0.00052723+0.000252i,1.498e-05+0.0011419i,-0.00040695+0.00095604i,-0.00024791+0.0002063i
0.0020954-0.00093817i,0.0012749-0.0021694i,-5.2425e-05-0.0026734i,-0.00051078-0.0019008i,-0.00069817-0.00113i,-0.0014786-0.00084611i,-0.00099213-0.0012174i,-0.00033156-0.0011294i,-0.00055599-0.00093412i,-0.00051925-0.00094656i,-0.00017138-0.00111i,-0.00026662-0.001122i,4.477e-05-0.0011185i,0.00014647-0.0017432i,0.00010998-0.00076317i,-0.00038987+5.8082e-05i,-0.00094494-0.00049953i,-0.00042938-0.0010919i,-9.9961e-06-0.00028608i,-6.3458e-05+0.00020873i,0.00038437-0.00048102i,0.00052018-0.00065951i,0.00013073-0.00060041i
0.004015-0.0015403i,0.0032705-0.002472i,0.0018285-0.0030671i,0.00020736-0.0019119i,-0.00010921-0.0010132i,-5.4799e-05-0.00084985i,3.7503e-05-0.0003841i,0.00082435-0.00036937i,0.00164-0.0010496i,0.001241-0.0013406i,0.00073343-0.0012313i,0.00049843-0.00060914i,-0.00015892+0.0001789i,-0.00044224-0.00027788i,-0.00011046-8.5533e-05i,6.5072e-05+0.0004202i,-0.00032567-0.00021653i,-0.00064306+0.00011641i,-0.00064399+0.00031322i,-0.00022399+0.00019624i,0.0005967+0.00031762i,0.0011253+0.00045062i,0.00072304-5.7384e-05i
0.0034168+0.00047151i,0.0029966-0.0016768i,0.0023227-0.0029484i,0.0013408-0.0020268i,0.00024197-0.0012761i,-0.00039329-0.00025083i,-0.00043649+0.00055784i,0.00026157+0.00041819i,0.00088278+0.00018067i,0.00021675+4.6932e-05i,-0.00089064+0.00028963i,-0.00068893+0.00052283i,-0.00087207-9.2821e-05i,-0.0014477-0.00079916i,-0.00047478-0.00088851i,-0.00044639-0.00066411i,-0.00070305-0.00014691i,-0.00062898+9.5906e-05i,-6.3022e-05-3.725e-05i,0.00078756+0.00013692i,0.0011713+0.0001245i,0.00037176-0.00012323i,0.00013921-0.00040099i
0.0017787-0.0011542i,0.0023938-0.003631i,0.0016046-0.0042008i,0.00024435-0.0020141i,-0.00061371-0.0011952i,-0.00091252-0.0011195i,0.00048499-0.00041314i,0.0019813-0.00051486i,0.00095163-0.00069825i,-0.00057148-0.00036739i,-0.00041141+0.00019367i,-6.3189e-05+0.00028274i,-0.0002288+3.4042e-06i,7.2266e-05+0.00072515i,0.00044422+0.00068881i,0.00027574-0.00045707i,-0.00017263-0.00025437i,-0.00043371+0.00082389i,-0.00079053+0.0011603i,7.6273e-05+0.00059505i,0.00064932+0.00020507i,-0.00018107+3.2549e-06i,-0.0011196-2.2541e-05i
0.0022534-0.0006053i,0.0022382-0.00092653i,0.0012287-0.0010092i,0.0001715+0.00017456i,0.00034156+0.00064838i,-0.00027583+0.0002168i,-0.00040395+0.00038232i,0.00064049+0.00099739i,0.00060685+0.0010668i,0.0004643+0.00039221i,0.00094058+0.00079861i,0.00062234+0.0014725i,0.00040394+0.00079046i,0.00025347+3.4203e-05i,8.0466e-05-9.7211e-05i,0.0003261-0.00016126i,0.00017462+0.0002831i,-0.0003745+0.00032978i,-0.00013044+4.8934e-05i,0.00017908+0.00043314i,7.9192e-05+0.00038853i,1.2692e-05-0.00068305i,-0.00015746-0.0011071i
4.5678e-06+0.0014192i,0.0010698+0.00095816i,0.00088876-0.00017245i,0.00056455-0.00061928i,0.00082202-0.0010048i,0.0011158-0.0017224i,0.00072882-0.0013901i,8.6301e-05-7.3807e-05i,0.0002434+0.00022966i,0.00070957-0.00049407i,-0.00021974-0.0012364i,-0.00052952-0.0008297i,0.0001973-0.00036115i,0.00091408-0.00033882i,0.0012518-0.00034217i,0.00069479-0.00062672i,0.00067924-0.00047825i,0.00090394-0.00044166i,0.00032604-0.0005187i,-0.0003842-0.00031716i,2.7303e-05+0.00010967i,0.00036289+0.00036675i,-5.5615e-05-0.00045254i
0.0027566+0.0013986i,0.002896-0.00028832i,0.0029681-0.0014765i,0.001955-0.0018062i,0.00020175-0.0016968i,-0.00044553-0.00090256i,-0.00013829-1.5508e-05i,7.6221e-05+0.00035978i,0.00047063+0.00051625i,0.00054881+0.00035999i,-9.0218e-05-7.5477e-05i,-0.00018812-1.5469e-05i,-0.00014407-1.8765e-05i,-0.0008097-0.00040524i,-0.0013198-0.00042468i,-0.00096703-0.00052917i,-0.00037589-0.00067091i,-0.00025289-0.00023013i,-0.00057461+3.8782e-05i,-0.00019241-0.00042566i,0.00045718-0.00073808i,0.00085522-0.00045872i,0.0012848-0.0002809i
0.0039296+0.00088807i,0.0043754-0.00092249i,0.0039471-0.0019357i,0.0022967-0.0020085i,0.0010413-0.0022769i,-0.00056798-0.001914i,-0.0012212-0.0010874i,0.0001335-0.00029335i,0.00085167+0.00014635i,0.00018885-0.0005852i,-0.00017546-0.00082914i,-0.00051687-0.00054097i,-0.00076387-0.00023413i,-0.0004506-1.0349e-05i,-0.00058031-0.00043748i,-0.0012055-0.00077634i,-0.0006453-0.00017969i,9.8336e-05+0.0004035i,0.00031919-6.1462e-05i,0.00033956-7.3025e-05i,0.00032048+0.0004623i,0.00043441+0.00048029i,0.00070997-1.1746e-05i
0.0038631+0.00034365i,0.0049189-0.0015681i,0.0033736-0.0023084i,0.00093142-0.0014803i,0.00025761-0.00057133i,0.00062152+0.00019238i,0.00079862+0.00089439i,0.00077388+0.00082004i,0.00033844+0.00069021i,-0.00060969+0.00066295i,-0.00085155+0.00030513i,0.00031731+0.0010156i,0.00042557+0.00053i,0.00035216-0.0004009i,0.00079289-0.0003096i,0.00041384-0.0007206i,-9.694e-05-0.00089044i,0.00018042-0.00044344i,0.00039948+0.00021584i,-0.00016226+0.00044523i,-0.00080396-0.00042167i,-0.00055374-0.00095161i,0.00018823-0.00071622i
0.0010295+0.0019575i,0.0009021+0.0018823i,-0.00046274+0.00062907i,-0.0006069-0.0013793i,0.00049039-0.0014648i,0.00022353-0.00079076i,0.00037727-7.88e-05i,0.00068125+0.00022477i,0.00012178-7.2546e-05i,-0.00022472+0.0003124i,5.3281e-06+0.00042934i,0.0013155+0.00053452i,0.0012374+0.00071458i,0.00023148+9.296e-06i,0.00014444-0.00059686i,-0.00019883-0.00016151i,-0.00093684+0.00041406i,-0.0003974+0.00024128i,0.0002537+3.9215e-05i,-0.0001279+2.1365e-06i,-0.0002253-0.00026139i,-0.00037097-0.00024535i,-0.00020583-0.000102i
0.0018443-0.00089341i,0.0010192-0.0026169i,-0.00070751-0.0035786i,-0.0015906-0.0026829i,-0.0012468-0.00026574i,-0.001123+0.00071066i,-0.00082714+0.0013118i,0.00017335+0.0015347i,0.00061058+0.00056556i,0.00014079-0.00021747i,-0.00013822-0.00037025i,-0.00029944+3.2777e-05i,-0.00068801+0.00086355i,-0.00039641+0.00068744i,-0.00030717+0.00030661i,-0.00061932+0.00038973i,-0.00060201-0.00029119i,-0.0007517-0.00052833i,-0.00084418-0.0001504i,-0.00012182+0.00039692i,0.00093121+0.00047213i,0.0014482+0.00020039i,0.00074097-0.00011085i
0.00080129-0.0013922i,0.0013787-0.0019461i,0.001216-0.00238i,0.00054753-0.0021664i,-0.00043242-0.0011878i,-0.00064357-0.0011536i,3.4453e-05-0.00059319i,0.00014324+8.6914e-05i,0.00054388-0.00044787i,0.0013358-0.00030992i,0.00077134-0.00026834i,-0.00044632+2.8166e-05i,-0.0010034+0.00035731i,-7.6574e-05-0.00033062i,0.00080345-0.00027241i,4.9899e-05-4.7384e-05i,-0.00060467-0.00027829i,-0.0010136-0.00012935i,-0.0010617-0.00028755i,-0.00035709-0.00084315i,-0.00011974-0.00054937i,4.2913e-05+0.00031196i,1.338e-05+0.00058982i
0.001257+0.00080675i,0.00081997+0.00075059i,0.0013624+8.0929e-05i,0.0017045-0.00028807i,0.0010372+0.00021994i,0.0011482+0.00067111i,0.00159+0.00137i,0.0012395+0.0007779i,0.00064111-0.00016301i,7.9507e-05-0.00038027i,0.00011124-0.00028081i,0.00028847+0.00016535i,0.00051778+0.00078451i,0.00041845+0.00034906i,0.00026382-0.00034255i,0.00027783-0.00020641i,0.00017063-0.00015149i,-0.00042732-0.00041612i,-0.00056918+0.00010298i,-0.00010368+0.00045316i,-0.00021488+0.00066985i,-0.00027732+0.00073679i,-0.00011165+0.00028386i
0.00090309-0.00068454i,0.0010159-0.0021122i,0.00050328-0.0015599i,1.2383e-05-0.0010093i,-0.00069998-0.0004829i,-0.0014461-0.0002142i,-0.0012365+0.0003927i,-0.0001285+0.00099772i,0.00042691+0.00077239i,0.00010823+0.0004421i,-0.0004724+0.00044327i,-0.00039396+0.00037019i,-3.3949e-05-0.00045548i,-6.9859e-05-0.00097192i,-0.00017123-0.00040311i,-1.6961e-05+0.00049658i,8.8776e-05+0.0003469i,-0.00020343-0.00028224i,-0.00039565-0.00043391i,-0.00063688-0.00030983i,-0.00032605-0.00058165i,0.00023815+0.00029903i,0.00017048+0.00082335i
0.0019995+0.00079511i,0.0020742-0.00070849i,0.0014574-0.0014414i,-0.0002803-0.0011228i,-0.0011473-0.0013351i,-0.0006482-0.00095561i,-0.00032299-0.00045063i,-0.0002486+0.00011139i,-0.00017397+0.000345i,-0.00020593-0.0002221i,-0.00054705-0.00015277i,-0.00039773+0.00036992i,-0.00038412+0.00015457i,-0.00086653+0.00028557i,-0.00087791+6.2433e-05i,-0.00076335-0.00017811i,-0.00022316-0.00040278i,0.00022238-0.00014104i,0.00067705+0.00046711i,0.0011125+0.0010905i,0.00047508+0.00095702i,2.7112e-05+0.00030101i,0.00014579+0.00024059i
0.0030348-0.0010384i,0.0024468-0.0020754i,0.00056485-0.0026892i,-0.00045856-0.0024463i,-0.00039865-0.0016018i,-5.9559e-05-0.00053882i,0.00026916+0.00039092i,-7.3797e-08+0.00049356i,7.1973e-05+6.4148e-05i,0.00056049+0.00019557i,-3.6517e-05+0.00044636i,-0.00052515+0.00050885i,0.00016981-0.00015371i,0.00071312-0.00040745i,-0.00027777-5.4401e-05i,-0.00066869+0.00029263i,0.00010292-0.00015559i,0.00051675-0.0005082i,-2.0316e-05+0.00043099i,-0.00065012+0.0013459i,-0.00066619+0.00075889i,-0.00041282+0.0004615i,-0.00049957+0.00040168i
0.0013366+0.00053422i,0.001488-0.00038625i,0.00070036-0.00075726i,-0.00035242-0.00069468i,-0.00056622-0.00051294i,-0.00041717-0.00096554i,-8.0753e-05-0.00072778i,0.00048322-7.7591e-05i,0.0011956+0.00048878i,0.0016511+0.00064879i,0.001486+0.00055462i,0.00029272-6.4981e-05i,-0.00082445-0.00024975i,-0.00089199+6.8796e-05i,-0.00015236-0.00011971i,2.0893e-05-0.001055i,-0.00059171-0.0010343i,-0.00058235+0.00061149i,6.2619e-07+0.0012811i,0.0003763+0.00060561i,0.00015131-0.00069774i,7.1651e-05-0.00076898i,-0.00024713+0.00050286i
0.0028544+0.00047154i,0.0028451-0.00022296i,0.0021071-0.002159i,0.00099045-0.0028718i,0.00096395-0.001675i,0.00060713-0.00017583i,-0.00054333-6.3805e-06i,-0.00025137+0.00015914i,-4.8329e-05+0.00028264i,-0.00039265-0.00032613i,-0.0006004-0.00086005i,-0.00024278-0.00076763i,0.0001839-0.00097347i,-0.00055911-0.00082599i,-0.00093285-0.00068739i,5.9532e-05-0.00075539i,0.00051555-0.00062355i,0.0005501-0.00084801i,0.00073443-0.0010079i,0.00085517-0.00042713i,0.00057933-0.00013177i,0.00011355-0.00018969i,0.0002687+0.00020902i
0.0030156+0.00070359i,0.0021393-0.00079803i,0.00098519-0.0019194i,0.00042189-0.001371i,-0.0009733-0.00059571i,-0.0017628-0.00026432i,-0.00080917-6.0983e-05i,3.1907e-05+0.00048727i,0.00016857+0.0010262i,-0.00058065+0.00058904i,-0.0006969+0.00088213i,-0.00031304+0.00099932i,-0.00017192+0.00048179i,-0.00043946+0.001345i,-0.00060165+0.0015014i,-0.00055532+0.00080685i,-0.00026688+0.00014397i,-0.00022965-0.00042419i,-0.00054137-0.0008843i,-0.00044768-0.0012178i,-0.0002102-0.00077183i,-0.00027525-0.00029764i,-0.00021639-8.5334e-05i
0.0017927+0.0022496i,0.0022613+0.00053669i,0.001919-0.00058665i,0.00093577-0.00067551i,-0.0002675-0.00057382i,-0.00088774-0.00079297i,-0.00052937+0.00024249i,0.00026539+0.0012828i,0.00064472+0.00070952i,0.00069179-0.00016827i,0.0010274-0.00053279i,0.0007177-0.00033865i,-0.00032109+0.00028502i,-0.0011289+0.00018259i,-0.0013322-0.00074388i,-0.00072897-0.0010546i,-0.00022895-0.00058053i,-0.00073613-0.00062516i,-0.0016675-0.00051147i,-0.0020396-0.00061692i,-0.00058431-0.00075042i,0.00077402-0.00041755i,0.00057435-0.0005363i
-5.6002e-05-0.0015996i,0.00031499-0.0027149i,0.00012878-0.003495i,3.5531e-05-0.0023349i,-0.0012267-0.00073788i,-0.0015934+3.5089e-05i,-0.00012536+0.00075532i,0.0014149+0.00067711i,0.0016711+9.0912e-05i,0.00056594-3.1705e-05i,-0.0001125+0.00075204i,-5.1054e-05+0.00077215i,-2.4875e-05-9.606e-05i,0.00052702-0.00084054i,0.00068791-0.0011364i,0.00049465-0.00071354i,-0.0001448-0.0001631i,-0.00078965+4.7228e-05i,-9.3676e-05-0.00071311i,0.0011268-0.0010825i,0.00099991+0.00010416i,-0.00019743+0.00079461i,-0.00030726+0.00034623i
0.001634+0.0004063i,0.0011617+5.1267e-05i,0.00030828-0.00028439i,6.9233e-05-0.00077396i,-0.001093-0.0014324i,-0.0014121-0.0010021i,-0.00038699-0.00012247i,0.00080743-0.00016997i,0.0012522-0.00020725i,0.00060202-0.00028967i,0.00042178-0.00062345i,0.00027438-0.00048242i,-0.00011811-0.00057947i,2.5498e-05-0.00088462i,-8.2987e-05-0.00081243i,-0.00053678-0.00037998i,-0.00084267+7.7169e-05i,-0.00053674-0.00026308i,0.00019955-0.00033564i,0.00012755-0.00033689i,0.00010729-0.00032502i,-7.4312e-05+0.00033659i,-2.5389e-06+0.00049847i
0.0019178-0.0025064i,0.0015858-0.00296i,0.00094881-0.0022329i,0.00026661-0.002499i,-0.00025541-0.0023257i,-0.00080348-0.00095987i,-0.00049027+3.0536e-06i,0.00040661+0.00060086i,0.00072193+0.0005348i,0.00083103+0.00033871i,0.00021608-0.00034269i,0.00019031-0.0012819i,6.4684e-05-0.00060776i,-0.00060732+0.0003195i,-0.0002814+0.00054787i,-0.00032709+0.00025993i,-0.00055369+5.1913e-05i,-0.00053948+0.00026083i,-0.0005247-4.2341e-05i,-0.00076917+0.00013554i,-0.00055502+3.8268e-05i,8.0108e-05-0.0004027i,0.00024669-0.00068656i
