-0.0028771-0.0018477i,-0.003812+0.00048014i,-0.0030025+0.0016245i,-0.00049494+0.00062178i,0.0012421-0.00022722i,0.0011414-0.00073754i,0.00074688-0.00036911i,9.7548e-05+0.00069394i,-5.2816e-05+0.001169i,0.00068428+0.00011164i,0.00044196+0.00033322i,-0.0001187+0.00093915i,5.1214e-05-2.4601e-05i,9.3037e-05+0.00020574i,0.00072117+0.00050777i,0.00088912+0.00077381i,0.00032829+0.00073575i,0.00048979-0.00015594i,0.00043617-0.0010747i,-0.00023947-0.0010558i,-0.00041603-0.00021203i,0.00040078-6.9985e-05i,0.00088246-7.4945e-05i
-0.0044573+0.00097299i,-0.0035804+0.0012551i,-0.00051753+0.0019607i,0.00086347+0.0019133i,0.0014537+0.00071457i,0.0025426-4.9253e-05i,0.0019514+4.0047e-06i,0.00079266+0.00053404i,0.00011253+0.0009518i,-0.00016681+0.00090405i,0.0004066+0.00034664i,0.00088995+4.3967e-05i,0.00096871-1.6496e-05i,0.00032489-0.0006862i,-0.0004703-0.00071432i,-0.00058695+0.00021007i,-0.0011912+0.00043283i,-0.0010173+7.2601e-05i,-0.00035091+2.2319e-05i,0.0002819-5.144e-05i,0.00062469+7.5131e-05i,0.00043683+0.00032933i,0.00075892+3.6804e-05i
-0.0034042-3.9557e-05i,-0.0023368+6.8213e-05i,-0.00080189+0.0013339i,-2.5278e-05+0.0011489i,0.00043072-5.3848e-06i,0.00088106+2.3709e-06i,0.00099299+0.00043943i,-4.8421e-05+0.0010123i,-0.0004532+0.00069861i,-0.00042777+0.00061946i,-0.00022776+0.00097218i,0.00091505+0.00093987i,0.0018433+0.00063713i,0.0015182+0.00011981i,0.00071539-0.00027873i,0.00028004+5.1977e-05i,0.00038297+7.7668e-05i,0.00073721-0.00025893i,0.00084356-0.00073291i,0.00057557-0.00075112i,0.00013695-0.00013683i,-0.00053457+0.00022446i,-0.00034781+0.00029303i
-0.0036872+0.00044662i,-0.0027517+0.0015853i,-0.00042352+0.0018969i,0.0012101+0.0010414i,0.0010992-6.7323e-06i,0.0009841-8.5407e-05i,0.0012693+5.1188e-06i,0.0011941+0.00020332i,0.0011742+0.00057415i,0.00083904+0.00074202i,0.00038362+9.574e-05i,0.00048868-0.00098075i,7.7995e-05-0.0010193i,9.1844e-05-0.0010009i,0.00057216-0.0009737i,0.0013593+0.00010912i,0.00074172+0.00053275i,-0.00017519+0.00019422i,0.00020205+2.4733e-05i,0.00048951-0.00037472i,0.00055912-0.00037815i,0.00022844-0.00017394i,4.4085e-05-6.9412e-05i
-0.0018342-5.6809e-06i,-0.0014852+0.00052245i,-0.00071836+0.00030518i,1.588e-05-0.00032105i,0.0012173-0.0011651i,0.0020488-0.0016713i,0.0013229-0.0019558i,7.1595e-05-0.0010566i,-0.00031366+0.00038937i,-0.00018148+0.0008587i,-0.00045569+0.00047812i,-2.4767e-05-0.00018561i,0.00046476-0.00079284i,-0.00030011-0.0018108i,-0.00035732-0.0016296i,-0.00015152-0.00056906i,-0.00087509-0.001214i,-0.0011352-0.0016619i,-0.00092834-0.00076843i,-0.00058626+0.00089526i,0.00040524+0.0013275i,0.00066668+0.00086236i,0.001039+0.00041531i
-0.0010742+0.00041526i,-0.0017821+0.0011516i,-0.00050835+0.0015858i,0.0013717+0.0010129i,0.0013018+0.00075065i,0.00039931+0.00036765i,-1.3373e-05+0.00059459i,-0.00039054+0.0010051i,-0.00016264+0.00098394i,-5.3567e-05+0.00069588i,-0.0002666+0.00047332i,0.00074774+0.00029729i,0.00040868-4.7651e-05i,-0.00043167+9.3984e-05i,-5.3837e-05+0.00063349i,-7.4176e-05+0.00038226i,0.00026086-0.0004315i,0.00043614-0.00049742i,0.0004335-0.00038015i,-2.2303e-05+1.2487e-05i,-0.0005358-2.6008e-05i,9.3963e-05-0.00034922i,0.0010315-6.3377e-05i
-0.0039072+0.0019781i,-0.002823+0.0025461i,-0.00043238+0.0021944i,0.00038912+0.00043801i,0.00091834+0.00013144i,0.0012636+7.5694e-05i,0.00061249-0.00049128i,0.00033556-0.00028673i,0.00064213+0.00032634i,0.00077883+0.00054424i,0.00075632+0.00072055i,0.00014145+0.00095852i,0.00023253+0.0009835i,0.00028626+0.0011978i,6.1638e-05+0.0012397i,0.00044658+0.00067515i,0.00078529+0.00011204i,0.00036961+0.0001965i,-0.00031148+0.00043847i,0.00022819+0.00042026i,0.0010026+0.00046972i,0.00081484+0.00026946i,7.1233e-05+0.00021877i
-0.0053038+0.00076835i,-0.0039786+0.0014634i,-0.0015171+0.0020639i,9.1994e-05+0.0010111i,0.00055576-5.8726e-05i,0.00080289-0.00078552i,0.00087515-0.00049068i,-0.00056109+0.00088507i,-0.00099431+0.0014079i,-0.00018308+0.00038394i,0.00023072-4.7212e-05i,0.00080975+2.2491e-05i,0.00088786-0.00014514i,0.00038536-0.00012937i,-3.1376e-05-0.00013384i,0.00026687+4.9773e-05i,0.00081581+0.00050654i,0.00029933+0.00061877i,-0.00056916+0.00044412i,-0.00029202+0.00066453i,-0.00024839+0.00053061i,-0.00030067+0.0003715i,-0.00017611-0.00011531i
-0.0028431-0.00069163i,-0.0023566+0.00069114i,-0.00017867+0.001392i,0.0014377-0.00012914i,0.0010323-0.0012063i,0.0011266-0.0010203i,0.0012371-0.00045989i,0.00074565+0.00015686i,0.0008335+0.0008956i,0.00058169+0.00094541i,0.00033636+0.00062709i,0.0003825+0.00027316i,0.00018578-0.00073716i,0.0002742-0.00093072i,0.00024704-0.00038786i,1.1108e-05+1.114e-05i,0.00010971+0.00030808i,0.00097669-0.00023554i,0.00092874-0.00023428i,0.00016211+0.00016209i,0.0003037+0.00030085i,0.00013435+0.00027123i,-2.7619e-05+0.00011461i
-0.0023134-0.00073392i,-0.0028231+0.00078186i,-0.0015153+0.0016126i,0.00016925+0.0015003i,0.00093645+0.0010949i,0.0016041+4.2962e-05i,0.0018499-0.00042639i,0.0014382+0.00025212i,0.00060444+0.00068028i,0.00033527-0.0004496i,0.00023156-0.00063499i,0.00020994+0.00010825i,0.00063287-0.00053387i,0.001006-0.00084842i,0.0013545-0.00052635i,0.00094515-0.00044033i,-0.00037949+4.9691e-05i,-0.0012234-0.00013724i,-0.0013352-0.00036881i,-0.0010124-0.00014079i,-0.00034168+0.00022577i,0.00020716+0.00022309i,-0.00020432+0.00053385i
