-0.0029108+0.0011778i,-0.0014864-0.00073701i,-0.0013848-0.0011824i,-0.00013751-0.00050557i,0.00081884+0.00033243i,-8.4356e-05+0.0012057i,-0.00063591+0.0014093i,-0.000167+0.0017037i,0.00056418+0.0016129i,0.00062539+0.0010293i,0.00065215+0.0007048i,0.00095952-0.00015253i,0.0004332-0.00012763i,-7.0077e-05+0.00036648i,6.6235e-05-5.8349e-05i,-0.00020403-0.00011537i,-0.00011154+0.00010897i,3.9094e-05-0.00033976i,-0.00049204-0.00078044i,-0.00058304-0.00070587i,5.541e-05-0.00023758i,0.00034436+0.00017098i,0.00010823-0.00062607i
0.0034765+0.0015649i,0.0019529+0.00057995i,0.0014395-1.1642e-05i,0.0025461-0.0004959i,0.0042007-0.0011139i,0.0030072-0.00079571i,8.2415e-05-0.00077581i,-0.0011116-0.00062528i,-0.0010921-0.00018993i,-0.00039701+0.00038474i,0.00012923+0.00055288i,0.00076214+0.00015921i,0.0010962+5.9041e-05i,0.00073273-0.00014311i,0.00079747-0.00038429i,0.00097716+0.00014248i,0.00031471+0.0007153i,5.65e-05+6.6379e-05i,-0.0001724-0.00044426i,-0.00021967+0.00011382i,-0.00010886-0.00014304i,0.00019565-0.0010925i,0.00079969-0.001013i
0.00018344-0.00096038i,-0.0010448-0.0013421i,-0.0014934-9.988e-05i,-4.9764e-05+0.00050685i,0.00094888-0.00076731i,-0.00022691-0.0011752i,-0.0013022-8.0993e-05i,-0.00092984+0.00067725i,-0.0010828+0.00074482i,-0.0012153+0.00061467i,-0.0007254+0.0002071i,-0.00024321+0.00014017i,-0.00018867-0.00012201i,-0.00033583-0.00024148i,-0.0002669+3.7331e-05i,-0.00062022-0.00064134i,-0.00058308-0.00036134i,-0.00042929+0.00039653i,-0.0001523+0.0001927i,0.00041052+8.6916e-05i,0.00034533+0.00032009i,-7.4889e-05+8.3341e-05i,0.00011956-0.00026912i
-0.0013161-0.00083157i,-0.0024453-0.00030257i,-0.0015424+0.00041125i,0.0013065-0.00014459i,0.0027418-0.00083698i,0.0018062-0.00091017i,0.00082998-0.00061011i,0.00013881-0.00052286i,-0.0012105-0.00073415i,-0.0011009-0.00026902i,0.00032724+0.00018791i,0.0002348+0.00025579i,-0.00013478+0.00012028i,0.00015369+0.00010776i,0.0003308-0.00047893i,0.0004726-0.00044818i,-7.917e-05+0.0006874i,-0.00038719+0.0011346i,0.00023029+0.00058555i,0.0010383-0.00016537i,0.00048673-0.0002485i,6.9608e-05+8.9257e-05i,0.0001269-0.00029184i
-0.0013786-0.0018876i,-0.00027969-0.00051715i,-0.0002359+0.001007i,0.00043963+0.00084169i,0.0017056+0.00032104i,0.0009431+0.00090988i,-0.00044003+0.00084403i,-0.00023239+0.00041535i,-0.00030214+0.00027162i,-0.00030811+0.00057615i,6.7182e-05+0.0009115i,-0.00012261+0.00038099i,-0.00054924+8.0885e-05i,2.9244e-05+0.00048571i,0.00020214+0.0013011i,-0.00026266+0.0013887i,-0.00044138+0.00014759i,0.00028562-0.00066804i,0.00083595-8.1206e-05i,0.00018003+0.00012541i,0.00010808-0.00020961i,0.00075947-0.00010527i,0.00064009+0.00039857i
-4.2169e-05+0.0031561i,5.0218e-05+0.0021043i,0.0010858+0.0012795i,0.0026471-9.58e-05i,0.0025942-0.0015696i,0.0002864-0.0022408i,-0.0007412-0.0012001i,-0.00041192+0.00053961i,-0.00057785+0.0011069i,-0.00015899+0.00059602i,0.00035148+4.1908e-05i,0.00014522-0.00058276i,0.00026602-0.00094051i,-3.1489e-05-0.00047513i,-0.0003707+0.00036725i,-0.00010198+0.00064848i,0.00010942+0.00012495i,2.6121e-05-0.0003617i,7.4961e-05-0.00042917i,0.00034881-0.00039231i,6.9967e-05-0.00016502i,-7.7276e-05-4.9465e-05i,6.9096e-05+0.00029751i
-0.00014412-0.0010779i,0.00057249-0.0010177i,0.0014933-0.0015105i,0.0022485-0.0019848i,0.0017784-0.0020375i,-0.00045519-0.0017366i,-0.0015837-0.0012249i,-0.001701-0.00097661i,-0.0014017-0.00038444i,-0.0010234+0.00052425i,-0.00043869+0.00058688i,0.00020064+0.0005697i,0.00023232+0.00025355i,0.0001264-0.00050763i,-8.3408e-05-8.2074e-05i,0.00014056+0.00061945i,0.00060644+0.00029641i,0.00025549-9.0125e-05i,-0.00041303+9.7825e-05i,-0.00067725+0.00013748i,-0.00068275+0.00034167i,-0.00015428+0.00033922i,0.00074636+0.00018352i
0.0021559-0.00011335i,0.0010662-0.00037165i,0.00012797-0.00010756i,0.0010387-1.6382e-05i,0.0013364-0.00053554i,-9.4092e-05-0.00082809i,-0.0010781-0.0011462i,-0.00025772-0.00070434i,0.00020765+0.00062992i,0.00041511+0.0011477i,0.00086339+0.00078563i,0.000906+7.0854e-05i,0.00042191+9.2048e-06i,-0.00066165+0.00035536i,-0.00087886+0.00080029i,-0.0007434+0.0003915i,-0.0010946-0.00031446i,-0.00048572-5.4862e-05i,0.00028427+0.00066367i,0.00053232+0.00066592i,0.00036847-0.00048905i,-4.6562e-05-0.00078682i,-3.1633e-06-0.00026187i
-0.00032907+0.00081803i,-0.00032425+0.00091277i,0.00036618-0.00038865i,0.0014722-0.00038512i,0.0016875+0.00019673i,-0.00013207-0.00062163i,-0.001337-0.00064552i,-0.001342+0.00019312i,-0.00029953+0.00012063i,0.00039767-0.00029969i,0.00038516+5.8e-06i,0.00045138+0.00017619i,0.00062014-0.00026044i,0.00024593-0.00024533i,-0.00033582-0.00011934i,0.00013065+0.00027537i,0.00041054+0.0005192i,0.00037363+0.000305i,-0.00056535+0.00015914i,-0.001321-0.00040333i,-0.00049103-0.00071859i,0.00026805+2.3167e-05i,0.00015038+7.6646e-05i
0.00043001-0.0024149i,0.00046331-0.0022472i,0.00042875-0.001409i,0.0015859-0.00033182i,0.002053-0.00037096i,0.00045294-0.00069183i,-0.00025573-0.0018242i,0.00050897-0.0018765i,0.00060831-0.00074634i,-0.00035052+0.00066616i,-0.00044673+0.00098604i,0.00035139-9.844e-05i,0.00069947-0.00048483i,0.00025227+0.00025186i,-0.00033192+0.00069021i,4.5306e-05+0.00040927i,0.00041889-0.0001016i,-0.00018522-0.00077097i,-0.00025093-0.0007183i,0.00060214-0.00065968i,0.0011269-0.00028065i,0.00028632-0.00016955i,-0.0001007-0.00074468i
-0.0021893+0.00085255i,-0.0018498+0.0024167i,-0.00016697+0.0025779i,0.0012115+0.001855i,0.0018453+0.00062111i,0.001051+8.583e-05i,-0.00066915+0.00031829i,-0.0015616-5.6922e-05i,-0.0016025-0.00085982i,-0.00081438-0.00042225i,-7.9683e-05+0.00020731i,0.00036002+0.00037892i,0.0008685+0.00010211i,0.00060818-0.00029062i,-0.00017588-0.00065239i,-6.8854e-05-0.00085685i,0.00044873+0.00012035i,0.0002386+0.00089832i,-0.00023742+0.0009371i,6.0574e-06+0.00069535i,0.00051594+0.0001649i,-9.6914e-05+0.00012226i,-0.0004122+0.00036232i
0.0015587-0.0020181i,0.00077423-0.0031953i,0.00080921-0.0023503i,0.0011957-0.0017768i,0.00099843-0.0019225i,0.00028728-0.0016597i,-0.00035388-0.0012715i,-0.00053979-0.00096274i,-0.00092157-0.00028564i,-0.0016097+4.3433e-05i,-0.0011056-0.0004929i,0.00021242-0.0005392i,0.00052753-0.0001876i,0.00075679-0.00030667i,0.00070569+0.00016321i,0.00063211+0.00039459i,0.00039255+0.00018508i,-0.0004028+3.9714e-05i,-0.00032979+5.3083e-05i,-0.00018992-7.4197e-05i,-0.00047663-3.6846e-05i,8.6324e-05+2.0321e-05i,0.00041355+0.00030342i
-0.0020193-0.0016038i,-0.0020728-0.00042074i,-0.00040854+0.0014522i,0.0019367+0.001782i,0.0014259+0.00037367i,-0.00030392-0.00052257i,-0.0012169-0.00047109i,-0.0011895-9.4885e-05i,-0.0018112+0.00019406i,-0.0017517+0.00046802i,-0.00011724+0.00037643i,0.0006519-0.00024069i,-0.00027283-0.00097106i,-0.00034611-0.00101i,-2.8078e-05-0.00022552i,-0.00017008+0.0008034i,-0.00046389+0.0010737i,-8.8658e-05-0.00017178i,-0.00049945-0.00031637i,-0.0014986+0.0002699i,-0.0010529-0.00022418i,-0.00059997-0.00012493i,-0.00050054+0.00047959i
-0.00025619-0.00062417i,0.00072129-0.00056345i,0.0023549+0.00040903i,0.0041294+0.00017246i,0.0035809-0.00077811i,0.0014279-0.0012467i,0.00023716-0.00042977i,-0.00091096+1.8786e-05i,-0.0015913-0.00024531i,-0.0013907+0.00022678i,2.6811e-05+0.0005731i,0.0011182+0.00082793i,0.00084618+0.00097118i,0.00073134+0.00071091i,0.0005793+0.00060976i,0.00071546+0.00020323i,0.0017745-0.00025479i,0.0016303-9.3262e-05i,0.00039518+0.00032762i,-0.00042498-0.00034395i,-0.00034175-0.0011547i,0.00032104-0.00068932i,0.00033261-0.00055367i
0.00090664+0.00094636i,0.00097298+0.00123i,0.0021527+0.0014358i,0.0029041+0.0011922i,0.0024464+6.3589e-06i,0.00092157-0.0010579i,-0.00090639-0.0015024i,-0.0013974-0.0018511i,-0.0013004-0.0010781i,-0.0011482+0.00066826i,-0.00032389+0.001648i,0.00032194+0.00076307i,7.3448e-05+0.00021263i,0.00012022-4.7384e-05i,-0.00043063-0.00036502i,-0.00052297-0.00011181i,-0.00029273-8.8614e-05i,-0.00046413-0.0002061i,-1.9323e-05+4.8101e-05i,0.00025917+0.00013017i,-0.00024609+0.00013327i,-0.00040729+0.00010636i,0.00020596+0.00019503i
-0.00065637-0.00093704i,8.775e-05-0.00073199i,0.001093-0.00039174i,0.0025958-0.00043656i,0.0033799-0.0018393i,0.0019716-0.0022853i,-0.00031313-0.0013271i,-0.0011161-0.00046593i,-0.0010024+0.00035048i,-0.00045596+0.00067478i,0.00028867+0.00062668i,0.00068257+0.00013685i,0.00082026-6.4389e-06i,0.00027883+0.00027361i,-0.00023219+0.00044113i,0.00022167+0.00027718i,0.00024154-0.00041721i,-0.00068105-0.00031407i,-0.00096109+8.9966e-05i,-0.00059032+0.00013701i,-0.00038641+0.00029018i,-0.00070029-0.00032288i,-0.0011853-0.00087i
-0.00015867-0.0012644i,-0.0019282-0.001389i,-0.0014706-0.0007192i,0.00028104-0.00072513i,0.00094848-0.00061703i,0.00041452-0.0003608i,-0.00048372-0.00028395i,-0.00013472-0.00022224i,-0.00027983-0.00025501i,-0.0010557+0.00019393i,-0.00022589+0.00036283i,0.00082075+0.00020988i,0.00086955+0.00019348i,0.00052821+3.7888e-05i,0.00041569+9.8385e-06i,0.00036728+0.0003255i,-0.00053553+0.00031444i,-0.0006749+0.00039378i,-0.0003986+0.00020848i,-0.0003239-0.00019073i,0.00021997-9.1493e-05i,-0.0001778+0.00023387i,-0.00031905-0.0002238i
0.00072931-7.2277e-05i,0.0012582-0.00026845i,0.00088239+0.0012711i,0.0011344+0.0013551i,0.001957-0.0007243i,0.0015633-0.0013183i,0.00037396-0.0003479i,-0.00016545+0.00039296i,-0.00031644+0.00093495i,-0.00045019+0.0013824i,-0.00036661+0.00093611i,-0.00019206-0.00037968i,0.00020462-0.0009471i,-0.00012178-0.00019088i,-0.00046116+0.00029511i,-0.00049197+7.8167e-05i,-0.00075658-0.00058139i,-0.0003151-0.00096327i,-8.9781e-05-0.00061058i,1.6788e-05-0.00064657i,-4.7696e-05-0.0011219i,0.00025832-0.0012821i,0.00087168-0.00066698i
0.0019726-0.00065544i,0.0010429-0.0015179i,0.0017163-0.00087702i,0.0026158-0.00074941i,0.0021246-0.0017092i,-2.9482e-05-0.0014721i,-0.0013075+3.7697e-05i,-0.0012623-0.00030849i,-0.00019654-0.00083989i,0.0011105-4.7189e-05i,0.0010596+0.00070061i,0.00071013+0.0012137i,0.00029119+0.00087684i,-4.367e-05+0.00028564i,-0.00017305+0.00054356i,-0.00042028+0.00031095i,-0.00054435-0.00055204i,-0.00012937-0.00073989i,-1.3342e-05+0.00060398i,-0.00016416+0.00098064i,-0.00023094+0.00024174i,-0.00032452-0.00033957i,-7.973e-05-0.00073632i
-0.00055249+1.5609e-05i,8.4664e-05-0.00070529i,0.0011433-0.00051188i,0.0019258+5.5796e-05i,0.0016615+0.00030123i,0.00073337-0.00017722i,-0.00013857-0.00024732i,-0.00044409-0.00078268i,-0.00058307-0.0013062i,-0.00064284-0.00050131i,6.458e-05-0.00020341i,0.0002274-0.00015793i,-2.7876e-05-0.00020595i,-0.00038922-0.00028039i,-0.00065047+0.00010179i,-9.0073e-05+0.00058107i,0.00032941+0.00077827i,0.00016609+0.00058182i,-0.00012638+0.0007079i,-0.00037777+0.00072329i,-0.00014952-5.5318e-06i,0.00036244-0.00015818i,-2.3012e-05-8.5409e-05i
0.00044485+0.00014032i,0.0014018-0.00042904i,0.0021141+0.00032274i,0.0030025+0.0008354i,0.0035352-0.00049799i,0.0018126-0.00095797i,-4.3816e-05-0.00036759i,-0.00091801-0.00026632i,-0.0014072-0.00053023i,-0.0017878-0.00025875i,-0.00131+9.6281e-05i,-0.00052263+8.5935e-06i,-0.00035925+0.00029182i,-0.00072508-0.0002347i,-0.0011599-0.00067097i,-0.0015846+2.2298e-05i,-0.0010171-8.9169e-05i,6.8831e-05-0.00034737i,3.3543e-06+6.5455e-05i,-0.00059419+0.00014004i,-0.00080263+0.00027385i,-0.00062729+0.00047951i,-4.2324e-05-1.6621e-05i
0.0026922+0.00071763i,0.0020597+0.00036156i,0.002227+6.135e-05i,0.0020413-0.0010008i,0.0013672-0.0026336i,0.00097443-0.0027708i,-0.00019241-0.0017781i,-0.00095494-0.00028037i,-0.00089276+0.00068084i,-0.00099766-9.6193e-06i,-0.00084846-0.00051279i,-0.00043501-0.00034154i,6.7121e-05-0.00034257i,-0.00025779+6.5763e-05i,-0.0010309+0.00010095i,-0.00064867+0.00049655i,0.00033302+0.00084255i,0.00038701-0.00019762i,0.00019656-0.00062691i,0.00042159+0.00026026i,0.00014951+0.0008921i,-0.00031574+0.00048777i,0.00012675-0.00016215i
0.00011962-0.0018094i,-0.00097326-0.0010959i,0.00025843-0.000329i,0.001282+0.00023121i,0.0015111-0.00059484i,0.0013584-0.0011343i,0.00022182-0.00044055i,-0.00082707+0.0010506i,-0.0014733+0.0013093i,-0.0010418+0.00053201i,-0.00010272-3.9212e-05i,3.3454e-05-8.3305e-05i,-0.00028278-0.0004304i,-0.0010677-0.00095965i,-0.0012509-0.00067335i,-0.00074959+3.0627e-05i,0.00057417+0.00019685i,0.0011703-0.00045786i,0.00098627-0.00083126i,0.00010132-0.0004765i,-6.4315e-05-0.00049323i,0.00042939-0.00048533i,0.00039071-0.00034182i
0.0015582-5.7248e-05i,0.0012816-0.0002673i,0.0010574-5.6172e-05i,0.0020996-0.0011177i,0.0027337-0.0020511i,0.001426-0.0013699i,0.00051555-0.00023702i,0.00031286-9.3445e-05i,0.00021369+0.00032922i,1.3118e-05+0.00010475i,-6.9712e-05-0.00075119i,0.00014857-0.0004372i,0.00031313+0.00022356i,-6.9079e-05+0.00055585i,0.00029608+0.00029828i,0.0008347-0.00033786i,0.00048185-0.00038312i,0.00024723+3.9748e-05i,-1.5961e-05-0.00011992i,-0.00044671-0.00052821i,-0.00051194-0.00089868i,-0.00016043-0.0016083i,0.00057424-0.0022794i
0.00042858+0.0016911i,0.00086776+0.0018511i,0.0016205+0.0018532i,0.0011398+0.00090017i,0.00062859-0.00041898i,-3.0506e-05-0.0018264i,-0.00088447-0.0016437i,-0.00036177-0.00054384i,0.00029976+0.00037886i,0.00055768+0.0010599i,0.00022043+0.00095005i,-0.0010803+0.00053922i,-0.00083137+0.00034252i,-6.042e-05+0.00046799i,-0.0002665+0.00048613i,0.00022867+7.7859e-05i,0.00089737-0.00027045i,0.00082515-0.00061147i,5.2341e-05-0.00079088i,-0.00037754-0.00036859i,-0.00028541+0.00034283i,-0.00033016+0.00029048i,-0.00011499+0.00033283i
-0.00044293-0.0042111i,-0.0011109-0.0042938i,-0.00075325-0.0027394i,0.00061382-0.0011151i,0.00072482-0.0018167i,-0.00048873-0.0015919i,-0.00059967-0.00026291i,0.00056504-6.2925e-05i,-0.00026553-3.2607e-05i,-0.0012865+0.00037495i,-0.00051692+0.0010697i,-0.00011524+0.0011534i,-0.00012613+0.00098745i,3.8159e-05+0.00077683i,-0.00040685+0.00024732i,-0.00017041+0.00019277i,0.00026979+0.00030551i,-0.00016279-6.8445e-05i,0.00014952-0.00082806i,0.00046657-0.00066284i,-0.00022452+0.00025984i,-0.00045635+0.00010261i,-0.00013928-0.0010839i
0.00098729-0.00073223i,0.00037553-0.00038239i,0.00020293+0.0007671i,0.0010314-4.7334e-05i,0.0020361-0.0013062i,0.0013341-0.00072008i,0.00018009-0.000595i,-0.00043911-0.0006476i,-0.00069996-0.00062301i,-0.00019045-0.00034433i,0.00024097+0.00022442i,0.00042703+8.2853e-05i,0.0004063+0.00034618i,0.00077191+0.00078886i,0.00068654+0.00082629i,0.00014207+0.00054236i,0.00011412+0.0003352i,0.00026176+0.00059472i,-1.4864e-05+0.00030696i,-0.00029486-3.5617e-05i,-0.00036668+0.00055332i,-0.00054261+0.00037196i,-0.00068794-0.00043028i
0.00070392+0.00031049i,-0.00086455-0.0002394i,-0.001199-9.7804e-05i,0.00046683+0.00036887i,0.00059794-0.00036228i,-0.00032372-0.00078247i,-5.6563e-05+0.00010531i,-0.0007632+0.00051151i,-0.0012966-8.662e-05i,-0.00042938+9.6008e-05i,0.00070796-5.4021e-05i,0.0006189-0.00059382i,-0.00031911-0.00026314i,-0.00052763+0.00047601i,-0.00050979+0.0014473i,-0.00064097+0.0010115i,-0.00037578+3.1923e-06i,-0.00030412-0.00010904i,-0.00070506+0.00024117i,-0.00090313+0.0012356i,-0.00053849+0.00098243i,0.00013628+0.00013397i,9.8943e-05-0.00039559i
-0.0024949-0.0021338i,-0.0016256-6.2398e-05i,-0.00021068+0.00091912i,0.0012559+0.0010306i,0.0011819-0.00018942i,0.00025059-0.0015285i,-0.0003713-0.0015519i,-0.001164-0.00042923i,-0.0013495-0.00028707i,-0.0015075-0.00038748i,-0.0017573-0.0001298i,-0.00058931-0.00069113i,-0.00023558-0.00082178i,-0.00053715+0.00036484i,6.3584e-06+0.0014514i,2.1703e-05+0.00068167i,0.00010244+0.00026933i,8.4206e-05+0.00022277i,2.08e-05+0.00016273i,0.00041904+0.00014234i,0.00069505+0.00033428i,0.00020463+0.00023861i,0.00014435-0.00034433i
0.003252+0.00041125i,0.0024582-0.00054585i,0.0029669-0.00018588i,0.0038192+0.00036413i,0.0034875+0.00011295i,0.0019653-0.0011561i,-0.00010284-0.00092831i,-0.0014168+0.00043187i,-0.0016875+0.00030713i,-0.0012919-2.9173e-05i,-0.00054018-0.00020587i,-0.00022134-0.00057503i,-0.00026669-5.3518e-06i,0.00023301-0.00014541i,0.00031985-0.00064483i,-7.4752e-05+7.1726e-05i,-0.00030738+0.00036623i,0.00042721-0.00014402i,0.001158-1.8701e-05i,0.00023428+0.00085277i,-0.00044832+0.0011704i,-0.0010497+0.00017913i,-0.00064527-3.5458e-05i
-0.0018692-0.0011431i,-0.00043483-0.00095947i,0.00036285-0.0011271i,0.0012492-0.0011837i,0.0020244-0.0014717i,0.0010174-0.00083359i,-4.7129e-05+0.00033975i,-0.00043032+0.00033308i,-0.00094669+7.0414e-05i,-0.0013036-1.5555e-05i,-0.0013094+0.00014842i,-0.00047867+0.00049444i,0.00047747+0.00035952i,0.00019077-0.00011576i,1.9337e-05+0.00035258i,-0.00040017+3.3448e-05i,-0.00070195-0.0014055i,-0.00014527-0.0015983i,0.00041192-0.00050343i,0.00013609+0.00035771i,7.6236e-05+0.00024114i,0.00017284+0.0002012i,-6.6031e-05-9.5124e-05i
0.00057383-0.0021274i,0.0010599-0.0020737i,0.0015753-0.00023729i,0.0029679+0.00042168i,0.0026615-0.00067911i,0.0016704-0.0014037i,0.00085251-0.00047211i,-0.00011852+0.0011958i,-0.0005048+0.0018216i,-0.00076999+0.0016239i,-0.00095354+0.001071i,-0.00077039+0.00010749i,-0.00054756-0.00043618i,-5.9201e-05-0.00057934i,-0.00050373-0.00097794i,-0.001067-0.00072247i,-0.0011193-0.00063705i,-0.00087935-0.00059833i,-0.00036935-0.00027946i,-0.00057524-0.000352i,-0.00071602-0.0006734i,-6.7181e-05-0.0010437i,0.00025695-0.00067573i
