-0.0011587+0.0021646i,-0.00046808+0.00048874i,-0.0012099-0.00017436i,-0.0015942-0.0010333i,-0.001446+0.00031382i,-0.0010111+0.0014893i,-0.00031839+0.0018113i,0.00064245+0.0018104i,0.00080404+0.00092977i,0.0008613+8.5183e-05i,0.00070527-0.0001242i,0.00015925-0.00058506i,-0.00026397-0.00050155i,-0.00022677-0.00087518i,0.00059519-0.0017136i,0.00079152-0.0014535i,0.00035218-6.3389e-05i,0.00040882+0.00014442i,0.00091853-0.0013796i,0.0009588-0.0011191i,0.00044992-1.4096e-05i,0.00027447-4.1435e-05i,-0.00047291-0.0002727i
-8.6176e-05-0.0001499i,-0.0010283+3.8965e-05i,-0.0011614+0.0013352i,-0.00064136+0.0015288i,-0.00029569+0.00054413i,-0.00051089+0.00058483i,-0.00055239+0.00062031i,-3.5799e-05+1.6398e-05i,0.00040875-0.00056571i,0.00066201-0.00073875i,3.6683e-05-0.00099479i,-0.00010273-0.00072276i,0.00035672+5.6201e-05i,0.0002448-0.00043771i,-0.00023583-0.00098424i,-9.7621e-05-0.00045467i,-0.00035793+0.000237i,-0.0010289-8.3578e-05i,-0.00022518-0.0009817i,0.00046544-0.00061681i,0.00018139+0.00046712i,-0.00040619+0.00060051i,-0.00065248-0.00010372i
-0.00032386-0.00021242i,0.0011674+0.00023018i,0.0010445+0.00021465i,-7.0962e-05-0.00055647i,-0.00052718-0.0010225i,-0.0003174-0.00047213i,-0.00030115+1.9168e-05i,-0.00036464+0.00032i,-0.00063707+0.00018827i,-0.00025201+0.00016081i,0.00040735+0.00056798i,7.6698e-05+5.1834e-05i,0.00025299-5.8769e-05i,0.00012955+0.00027409i,-0.00063428-0.0001715i,-0.00034515-0.00056422i,0.00025536+0.00035424i,-0.0008581+0.0012457i,-0.001112+0.00091327i,-0.0001457+0.00017367i,-0.00034143+1.3974e-07i,-0.00083708+0.00018262i,-0.00034535-0.00019019i
0.0018789+0.002134i,0.0012203+0.0020548i,0.0014316+0.0014203i,0.0017943+0.00040982i,0.00098704-0.00047743i,-0.00060524-0.00075497i,-0.0014452-0.00027291i,-0.00091831-0.00012927i,0.00031639-3.3786e-05i,0.00091292+7.4056e-06i,0.00034856+4.6978e-05i,-0.0005987+0.00017992i,-0.0011985-0.00044814i,-0.000581-0.0011588i,-0.00035404-0.0012137i,-0.00054139+6.7645e-05i,0.00026174+0.00031204i,0.00075068+9.8007e-05i,0.00052253+1.9328e-05i,0.00036186-0.00021696i,0.00051592-0.00018547i,0.00082215-1.3185e-05i,0.00066795-0.00025026i
-0.0018-0.0014855i,-0.0012996-0.00081111i,-0.0012317+0.00035337i,-0.0010613+0.0010006i,-0.0010283+0.0014398i,-0.00048465+0.0011466i,-0.00012231+0.00073166i,-0.00055841+0.00028374i,-0.00039544+0.00040748i,-0.00014746+0.0007222i,-0.00050439+0.00046045i,-0.00018444+0.00024532i,-0.00045985+0.00029514i,-0.00051591-0.00040599i,0.00071229-0.00057912i,0.00037462-0.00024542i,-0.00029491-0.00026168i,-0.00055406-7.8335e-05i,-0.00071299+0.00015215i,-0.00041523-0.00045541i,-0.00047834-0.00049732i,6.2564e-06+3.0259e-05i,9.8195e-05+5.9849e-05i
-0.001935+0.0018459i,-0.00078158+0.00086754i,-0.00023984-0.00027043i,0.00034247-0.00096282i,0.00097533-0.00034562i,0.00046411+0.00037286i,-0.0009217-0.00010857i,-0.0011961-0.00085446i,-4.9101e-05-0.00062833i,0.00045043-0.00047949i,9.9065e-05-0.00092281i,-0.0002636-0.00060211i,-0.00034613-4.1943e-05i,-0.001012+4.5062e-05i,-0.0015702-0.00049257i,-0.0012547-0.00053371i,-0.0014013-3.4897e-05i,-0.00079352+0.00026502i,0.00025286-0.00039455i,7.423e-05-0.00061833i,-0.00060944-0.00083587i,-0.00073799-0.00015981i,-0.00075139+0.00030297i
-0.0011409-0.0009969i,-0.00082016+4.566e-05i,-0.0012047+0.00083993i,-0.0013545+0.001663i,-0.0014546+0.0018804i,-0.00081925+0.00094946i,0.00030088+0.00025368i,0.00042227+4.6621e-05i,6.9016e-06-0.0002544i,-0.00024414-0.0005106i,-0.00021453-0.0001516i,0.00045827+0.00012584i,0.00047927+0.00019254i,6.7097e-05-0.0001136i,-0.0010388-0.00076242i,-0.0015911-0.00089111i,-0.00045857-0.00075626i,-0.00034016-0.00010027i,-0.00052754-0.00029523i,-0.0004508-0.00078904i,-0.00093602-0.00011434i,-0.00092609+0.0003483i,-0.0003112+0.00026288i
0.0027476+0.00034256i,0.003082+0.00016778i,0.0022997-5.2162e-06i,0.001063-0.00060458i,-6.434e-05-0.00083687i,-0.00043831-0.00079699i,0.00090052-0.00039346i,0.0012384+4.2299e-05i,0.00054154-0.00022466i,-0.00014982-0.00013343i,-0.00091613-5.3936e-05i,-0.0011377+0.00042829i,-0.0011646+0.00095618i,-0.001283+0.00083089i,-0.0011259+0.00014813i,-0.00046974-0.00022817i,0.0002146-4.3762e-05i,0.00035466+0.0009925i,-0.00026458+0.0011585i,8.1149e-05+8.6844e-05i,0.00083406+6.5669e-05i,-6.3062e-05+9.7161e-05i,-0.00068297-0.00042491i
0.00093202+0.0010088i,0.0019619+0.00031942i,0.0026103-0.0010502i,0.0019486-0.0011297i,0.00061593-0.00056385i,-0.0011246-0.00034978i,-0.001525-0.00027561i,-0.00043469-0.00010317i,0.00022347-0.00020845i,-0.00026517-0.00018651i,-0.0005852-0.00047856i,-0.00028739-0.00073053i,4.4981e-05-0.00018253i,0.00023133-0.00041481i,0.00020806-0.00071837i,0.00051515-0.00068969i,0.00068998-0.00012956i,0.00047348+0.00052045i,0.00029608+0.00092106i,-0.00030498+0.00058659i,0.00010243+0.00054849i,0.0001628+0.00038895i,-3.7205e-05+0.00025008i
-0.0015046+0.0018508i,-0.0012653+0.0024902i,-0.00080411+0.0023129i,-0.00025343+0.0011141i,0.00036227-3.51e-05i,0.00096283-0.00038451i,0.0011097-7.6696e-05i,0.00058551+5.0403e-05i,0.00011137-0.0001316i,-0.00025031-1.9094e-05i,0.00010455+0.00013108i,0.00077007+0.00017222i,0.00068746+0.00026961i,8.3272e-05+0.00034145i,0.00066072-0.00015321i,0.00030356-0.0008005i,-0.00094017-0.00090429i,-0.00066605-0.00058742i,-5.3217e-05-0.00072418i,0.00025386-0.0010671i,0.00037422-0.00070683i,0.00028556-0.00059204i,0.00023141-0.00046757i
-0.0017616+0.00014903i,-0.00077296-1.5235e-05i,3.5214e-05-0.00037769i,0.00019857-0.00076319i,-0.00093815-0.00081543i,-0.0011979+6.9607e-05i,-0.00044156+0.0014747i,-0.00016347+0.0013899i,0.0005862+0.0010414i,0.00031968+0.00062177i,-9.8624e-05+0.00054984i,0.00015569+0.00061521i,4.6578e-05+0.0005872i,0.00017711+0.0006485i,0.00097178+4.6386e-05i,0.0013126-7.9357e-05i,0.00091809+0.00083223i,0.00043935+0.00088603i,-0.00025347+0.00018551i,-0.00041594-0.00058169i,0.00036211-0.00033995i,0.00084921+0.00047861i,0.00034791+0.00027002i
0.0010218-0.00030863i,0.00068053-6.7287e-05i,0.0010321+0.00011373i,0.00082675-6.723e-06i,-2.6761e-05-0.00036542i,-0.00046125-0.00013132i,-0.00028416+0.00018883i,-1.6098e-05+0.00026159i,-6.8418e-05-0.0001442i,0.0002069-0.00052553i,0.00022016-0.00063248i,5.2944e-05-0.00046983i,-0.00019066+0.00038474i,-0.00050624+0.00026966i,-0.00047999-0.00092301i,-0.00047741-0.00020539i,-0.00039594+0.001226i,-0.00063899+0.00096292i,-0.0002634+2.9392e-05i,-3.1911e-05-0.00054314i,3.6426e-05-0.00030119i,-0.00044147-9.4857e-05i,-0.00061135-0.0002815i
0.00096067+0.0026805i,0.00022387+0.0013666i,0.00058696-2.9563e-05i,0.00025806-0.00064604i,-0.0010332-0.00077159i,-0.0015898-0.00037352i,-0.0015778-6.2729e-05i,-0.00092018+0.00037931i,3.9286e-05+0.00082697i,0.00082171+0.00055117i,0.00065856-0.00034864i,-0.00022328-0.0005633i,-0.00091308-0.00010912i,-0.0014282+0.00033426i,-0.0010314+0.00017279i,-0.00054191+0.00013423i,-0.00056528+0.00042466i,-0.00034786+0.00037275i,-5.333e-05+0.00029257i,-1.4517e-05+0.00075765i,-0.00027986+0.0010657i,-0.00067643+0.00071811i,-0.00062647+0.00030965i
9.7357e-05+0.00045052i,0.00086779+3.7514e-05i,0.0010947+0.00021572i,0.00074221+6.8548e-05i,0.0004638-0.00042427i,-0.00076577+0.00010808i,-0.0014806+0.00072203i,-0.00071605+0.00097741i,0.00041772+0.0010975i,0.00052669+0.00084542i,-1.5132e-05+0.00028949i,-0.00010678-0.00042422i,-0.0006626-0.00043394i,-0.0011419-0.00012437i,-0.00071927-0.00035317i,-0.00029956-0.00076513i,-0.00022947-0.00084333i,-0.00022157-7.2714e-05i,-0.00047677+0.00096065i,-3.5043e-05+0.0010086i,0.00082022+0.0001539i,0.00023945-0.00025815i,-9.4841e-05-7.5915e-05i
0.0016223+0.00037147i,0.0013556+0.00050056i,0.00065325-0.00024056i,-0.00044312-0.00067488i,-0.0018072-0.0008749i,-0.0010658-0.00022424i,-0.000226+0.00062268i,0.00017366+0.00012542i,0.00060748-0.00015964i,0.00041287+0.00071771i,-1.7742e-05+0.00078938i,0.00013339-6.7441e-05i,0.00047043-0.00039589i,0.0010046-0.00034543i,0.0010708-0.0001515i,-8.9971e-05+0.00017047i,-0.00071772+0.00035297i,-3.254e-05+0.00041526i,0.0013492+0.00076808i,0.0018102+0.00046841i,0.001162+0.00014085i,0.00019943+0.00011135i,-0.00062362+0.00065284i
0.0011257+0.00054035i,0.00057186+0.00060576i,0.00016086-0.00026421i,-0.00056186-0.00039908i,-0.00012895+0.00027064i,-3.8207e-05+0.00037828i,-0.00056646+0.00031617i,-0.00017409-1.6517e-05i,0.0001855-0.00033008i,-4.9962e-05-0.00085186i,-0.00080479-0.00086601i,-0.00026952-0.00022514i,0.00043751+0.00016661i,2.2398e-05+6.1714e-06i,0.00041161-0.00060693i,0.00042973-0.00078498i,0.00084691-0.00024219i,0.00094337+0.00058684i,0.00011477+0.00072941i,-0.00030659+2.417e-05i,-0.00016021-0.00078398i,0.00042933-0.00090368i,-0.00010754-0.00072633i
-0.0015011-0.00030826i,-0.00099339+0.00033766i,-0.00033108+0.00013143i,0.00040046-0.00022317i,0.00074443+0.00021721i,0.0013077+0.0011439i,0.001023+0.0017574i,-0.00015401+0.0014327i,-0.00034607+5.241e-05i,0.00013166-0.0006547i,0.00053798-0.00036976i,0.00054111-0.00035015i,0.00017401+0.00050958i,0.00042155+0.0010086i,0.00041158+0.00015004i,-0.00026695-0.00056749i,-0.00047945-0.001008i,-0.00025692-0.0011093i,7.3429e-05-0.00056962i,-0.0002259-0.00014751i,0.00020631-0.00020131i,0.00063428-0.0006142i,0.00011035-0.00063853i
-0.00090786-0.0002882i,-0.0016582+0.00053175i,-0.0019666+0.00034781i,-0.0020913+0.00046052i,-0.0010628+0.00076788i,0.00041014+0.00097657i,0.0017104+0.00059437i,0.0020452-0.00053206i,0.0012456-0.0010144i,0.00012597-0.0011062i,-0.00013138-0.00098603i,0.00062086-0.00053741i,0.0013076-0.00080005i,0.0014725+0.00010788i,0.00067803+0.00071591i,0.00016483+1.4951e-05i,0.00010765-5.2386e-05i,-0.00054847+4.5925e-05i,-0.00071743+0.00017905i,-0.0012168+0.00010214i,-0.0011828-1.6921e-05i,-0.00090992+0.00051095i,-0.00050473+0.0002426i
0.0011332-0.0011946i,0.00061633-0.0013389i,0.00078676-0.00026433i,0.00072577+4.7008e-05i,-0.00034562-0.00010652i,-0.00050105+7.2019e-05i,0.00015649+0.00045019i,0.00076568+7.4811e-05i,0.0010167-0.00020855i,0.0009097-0.00034667i,0.0011646-0.0007324i,0.00069612-0.00048073i,0.00028671-0.00034624i,7.0767e-05-0.00047162i,-0.00048503-0.00019646i,-0.00047026-0.00050937i,0.00015108-0.00074086i,0.0002537-0.00017778i,-0.00025967-0.00014658i,0.00045407-0.00024956i,0.00047647-0.00015245i,-0.00031958-0.0007326i,0.00012153-0.00058852i
0.00091608-0.00023891i,0.00058764-0.00054924i,7.2185e-05-0.00014724i,-0.00045996-0.0004049i,-0.00063619-0.00063976i,-0.0011772-0.00020153i,-0.0012844+0.00090646i,-0.00030249+0.0012851i,-0.0002007+0.00055856i,-0.00087017+9.0226e-05i,-0.00072878+0.00030658i,-0.00034875+0.00090054i,-0.00039494+0.001301i,-0.00067831+0.00048468i,-0.00087101-0.00043581i,-0.00088989-0.00072514i,-0.0009345-0.00078224i,-0.00062025-0.00048039i,-5.2537e-05-0.00046994i,0.00030194-0.00030296i,-7.6865e-05-0.00018877i,-0.0011721-0.00022989i,-0.0010702+0.00022049i
-0.0010062+0.0013603i,0.0005546+0.001369i,0.0015066+0.00049142i,0.00075616-0.00019472i,0.00070672-0.00053073i,0.00048797-0.001192i,-0.00013268-0.0012591i,-8.4775e-05-0.00042329i,0.0002183+0.00019192i,0.00046539+0.00010672i,-7.1768e-05+7.7911e-05i,-9.1478e-05-0.00020037i,0.00029154-0.00078056i,2.2406e-05-0.00031411i,-0.0008814-0.00034447i,-0.0010471-0.00049742i,-0.00040274-0.00029738i,-5.6471e-05-0.00062428i,6.9047e-05-0.00044126i,0.00065403+0.00021567i,0.000451+0.00044073i,0.00045799+0.00017777i,0.00054669-0.00029909i
-0.0022995-0.00018475i,-0.0019941+0.0012303i,-0.0018605+0.0024356i,-0.00072349+0.0019983i,0.00043046+0.00071874i,0.00050084+0.00032966i,0.00046924+0.00022292i,0.00048699+0.00011225i,-0.00042413+0.00060798i,-0.001086+0.00053112i,-0.00086121+1.2583e-05i,-0.00044575-0.00030893i,-0.00054242-0.0004563i,-9.636e-05-0.00036636i,-0.00046649-0.00029799i,-0.0012248-0.00036089i,-0.00074507-0.00012676i,-0.00069343+0.000111i,-0.0011687-0.00012498i,-0.00079369-2.6973e-05i,0.0001526+0.00011146i,-0.00012118-0.0002652i,-0.00098871-0.00046493i
0.00064931-0.00091493i,0.00039332-0.00073298i,0.00017962-0.00078067i,-0.00021554-0.0010132i,-0.00053364-0.00086425i,-0.00048026-0.00059554i,-0.00059549+0.00017629i,-0.001084+0.00068815i,-0.00060285+0.00025497i,-0.00072032+0.00013132i,-0.00099125+0.00038156i,-0.00080141+0.00025345i,-0.0010152-0.00033859i,-0.00075674-0.0013962i,-0.00058253-0.0016864i,1.6333e-05-0.00080947i,0.00024767-0.00044569i,-8.2469e-05-0.00097415i,0.00019759-0.00059386i,-0.00010416+0.00044458i,-0.00017509+5.3587e-05i,0.00018173-0.00043334i,5.7493e-06-0.00051399i
0.0012915-0.00074946i,-0.00033515+6.1604e-06i,-0.00015659+0.00043324i,-0.00045928+0.00085907i,-0.00026496+0.00097667i,0.00082481+0.00162i,0.0011451+0.0015638i,0.0011737-4.7782e-06i,0.00083276-0.00077621i,0.00035587-0.00039742i,0.0001234+0.00038434i,-0.0003598+0.00052848i,-0.00045211+0.00040643i,0.00074876+0.00049009i,0.001224+0.00071945i,7.1087e-05+0.0002337i,-0.00048728-1.6553e-05i,-0.00021717+0.00013265i,-0.00015714+0.00020625i,5.6884e-05+0.00038611i,9.008e-05+0.00036174i,-0.00074333-0.00025985i,-0.0015377-0.00078373i
0.00074635+6.5611e-05i,0.00012968+0.00032582i,-0.00033575+0.00038387i,-0.00081048-0.00010847i,-0.00076468+0.00012454i,-0.00094136+0.00036845i,-0.00045018-0.00020431i,0.00033244-0.00059934i,0.0012087-0.001117i,0.0015811-0.00068588i,0.00042331+0.00074538i,1.8664e-05+0.00096014i,0.00060273-0.00019882i,-0.00018183+1.3766e-06i,-0.00035116+0.00052114i,-0.00050165+0.00088275i,-0.0014164+0.000693i,-0.0013144+6.5046e-05i,-0.00072868+0.00015058i,-0.00058108+0.00024751i,-0.00039063-0.00040144i,2.5763e-05-0.00087351i,-0.00022976-0.00064503i
0.0010926-0.0016188i,0.00090828-0.0026793i,0.00068948-0.0020706i,2.826e-05-0.0014349i,-0.00038764-0.0011742i,-0.0010621-0.00082991i,-0.0010048-0.00070132i,-0.00065285-0.00071938i,-0.00044718-9.5456e-05i,-0.0004275-0.00051461i,-0.00052486-0.00089778i,2.389e-05+0.00024135i,0.00023274+0.0010754i,0.00020286+0.0013664i,-0.00023212+0.00067706i,-0.00020997-0.0001522i,-0.00023399-0.00062414i,-0.00037998-0.00081524i,7.4732e-06+4.3817e-05i,6.7404e-05+0.00069123i,0.00030257+0.000407i,0.00010762-1.7563e-05i,-0.00068548+0.00023368i
0.0025201+0.00027909i,0.0027695-0.00041562i,0.0017537-0.00054258i,9.4509e-05-0.00011557i,-0.00018983-0.0001919i,0.00015226+0.0003848i,-0.00032739+0.00058607i,-0.00036987-0.00033248i,-0.0004909-0.0004824i,-0.001572-7.2111e-05i,-0.0013127-0.00020209i,-0.00053317-0.00028704i,-0.0011127+0.00044879i,-0.0014901+0.00041584i,-0.0012913-0.00065538i,-0.0013588-0.00069683i,-0.00139-6.0541e-05i,-0.00060416+0.00049351i,0.00024236+0.00080684i,0.00014988+0.00010949i,-0.00019162-0.00087358i,-0.00032873-0.00073491i,-0.00049954-0.00032207i
0.0015186+0.003963i,0.0024664+0.0023439i,0.0024514+0.00020567i,0.0020061-0.00011077i,0.0013167-0.00024571i,0.00056764-0.00023433i,-0.00050531+0.00029113i,-0.0015999+0.0004151i,-0.0012661-8.0053e-05i,-0.0012852-0.00052008i,-0.00097598-0.00058269i,-0.00017209-6.3449e-05i,-0.00050392+0.00033985i,-0.0010705+5.5534e-05i,-0.00032404-1.2198e-06i,-6.6597e-05+4.7101e-05i,-0.00031812-0.00055824i,0.00020231-0.00038451i,0.0004826+0.00040418i,4.4499e-05+0.00050846i,0.00027489+7.4827e-05i,0.0002869-0.00030615i,-7.6208e-05+0.00011486i
-0.0011644+0.0011959i,-0.00051101+0.002645i,-0.0013297+0.0017713i,-0.0015568+0.00030884i,-0.00064509+0.00025426i,0.00018949+0.0013709i,0.00046477+0.0017456i,0.00057101+0.00081912i,0.00054196-0.0001479i,0.001095+9.3591e-05i,0.0014266+0.00079892i,0.00079401+0.00099724i,0.00025299-0.00017457i,0.00044428-0.0013768i,0.00079436-0.00068181i,0.001349-0.0001128i,0.0013914-0.00010846i,-3.5854e-05+0.0004774i,-8.2615e-05+0.00076483i,0.0011012-0.00011088i,0.0013182-0.00047266i,0.00098257-0.00022695i,0.00072654-5.0751e-05i
-0.0016468+0.00052002i,-0.0017957+0.0010913i,-0.00043344+0.00033596i,0.0001861+0.00033441i,-4.3358e-05+0.00076804i,-0.00014917-0.00026055i,-4.2472e-05-4.9838e-05i,0.00029426+0.00084092i,0.00062207+0.00037492i,-0.00049181-0.00033641i,-0.00058541-0.00094009i,-6.2603e-05-0.00060333i,-0.00073537-0.00024826i,-0.00062914-0.00072078i,-0.00030767-0.00084096i,-0.00038804-0.00033149i,-0.00039025+0.00049839i,-0.00043576+0.0007315i,-0.00010753+0.00038616i,5.3754e-05-0.00015051i,0.00015887-0.00080895i,0.00041883-0.0011958i,0.0007338-0.0012405i
-6.1222e-05-0.00076746i,-0.00026816-0.0010032i,0.00035405-0.00097228i,0.001105-0.00056184i,0.0012473-0.00010025i,0.00084245+0.0014645i,-0.00051046+0.0016823i,-0.00039057+7.0161e-05i,0.00069642-0.00070943i,0.0001258-0.00052378i,-0.0010163-0.00031024i,-0.00097725-0.00054221i,0.00016189-0.00053443i,0.00061226-0.00012301i,0.00083455-9.9227e-05i,0.00099051-0.00021115i,0.00062477+0.00018275i,7.4823e-05+0.00018589i,-0.0001259-0.00011513i,0.00099211-0.00029989i,0.0011782-0.00061835i,0.00029644-0.0013319i,0.00036365-0.001086i
0.0017015-0.0016798i,0.0020308-0.0021329i,0.0013903-0.0026695i,0.00039144-0.0015909i,-0.00080137-0.00089475i,-0.0014314+0.00048618i,-0.0009346+0.0013541i,0.0001201+0.00072132i,0.00071093+0.00034333i,-9.0649e-05+0.00038353i,-0.0011397+0.00068752i,-0.00093915+0.00053474i,-0.00012238+0.00051668i,3.9408e-05+0.0006055i,0.00042189+0.0011777i,-9.4925e-05+0.00095505i,-0.00063282-0.00019241i,-0.00015593-2.717e-05i,-0.00049416+0.00026062i,-0.00050555+0.00031895i,-0.00029286+0.00038421i,-0.00028467+0.00014882i,0.0003027-4.3034e-05i
