-0.001813+0.0011965i,-0.0023167+0.0025677i,-0.0028317+0.0031545i,-0.0017412+0.0034326i,-0.0012689+0.0041723i,-0.0008988+0.0039327i,-0.00059602+0.0028312i,5.0823e-05+0.002234i,0.00090996+0.0020998i,0.0017604+0.0011544i,0.0019837+0.00030092i,0.0011019+4.8137e-05i,0.00021195-4.5223e-05i,-3.4559e-05+0.00035855i,0.00045512+0.00047087i,0.00033793+0.00035446i,0.00026636+0.00029401i,0.000588+0.00011892i,0.00020352+7.5104e-05i,-0.00011986+3.2582e-06i,0.00015272+0.00039999i,-1.8297e-05+8.1181e-05i,-0.00041214-0.00061684i
-0.00012694+0.00055557i,0.000593+0.00040358i,0.00087652+0.00032172i,0.0005267+0.0003582i,0.00037386+0.00045072i,-0.00018557+0.00041486i,-0.00028382-0.00073356i,-0.00018685-0.0014032i,5.0935e-05-0.0015319i,0.00060176-0.00085265i,0.0003097+0.00016625i,-0.0006707+6.5514e-05i,-0.00056766-0.000298i,-0.00041298-0.00016739i,0.00012337-0.00063676i,0.00098796-0.00047483i,0.00099947-6.6557e-05i,0.00051851+0.00029145i,0.0001229+0.00084335i,5.6901e-05+0.0011315i,6.461e-05+0.00021956i,0.00034107-8.2955e-05i,-0.00014227+0.00018619i
0.00053736-0.00015029i,0.00082018+7.7255e-05i,0.00036604+0.00042511i,-0.00057903+0.00021582i,-0.0013285-0.00063925i,-0.0020919-0.00085641i,-0.0019428+0.00017711i,-0.0018861+0.00076801i,-0.0021449+0.00043428i,-0.0015784+0.00024596i,-0.0012281+0.00046162i,-0.00098041+0.00055491i,-0.0005073+0.00050059i,-0.00042252+0.00068573i,-0.00011101+0.00098197i,0.00064665+0.00034693i,0.0011453-0.00041114i,0.001119-0.00026698i,0.00064475+0.00016077i,0.00032353+0.00063463i,0.0004573+0.0011557i,0.00056835+0.00060286i,0.00047138+0.00017151i
0.00076116-0.0005572i,0.00028026+0.00031885i,-0.00060965+0.00094684i,-0.0015348+0.0014955i,-0.0022304+0.0024277i,-0.0017988+0.0033513i,-0.00076371+0.0026688i,-0.00043159+0.0010087i,7.2349e-05+0.00036521i,0.00044819+0.0010584i,-0.00026874+0.0013143i,-0.00041216+0.00090698i,-5.1939e-05+9.9689e-05i,0.0006532-0.00023722i,0.00099766-0.00037149i,0.0011035+0.00035299i,0.0008113+0.0008578i,0.00038321+0.0003843i,0.00033027-3.8614e-05i,0.00030084+0.00035695i,0.00048875+0.0007719i,0.00055721+1.533e-05i,0.00051879-0.0002977i
0.00020899+0.00068505i,0.0004568+0.0014871i,-0.00046417+0.0017886i,-0.00086386+0.0020277i,-0.00065281+0.0027425i,-0.00031219+0.0024235i,0.00023821+0.0014571i,0.00041404+0.001189i,0.0011781+0.0012451i,0.0018981+0.00085005i,0.00093393-1.637e-05i,-1.783e-05-0.00050524i,0.00021065-0.00030957i,-0.00028229-3.7236e-05i,-0.00015225+0.00053849i,0.00059877+0.00099615i,0.00049484+0.00087996i,0.00035148+0.00055739i,0.00039866+0.00066609i,0.00025059+0.00083932i,0.00056883+0.00086777i,0.00034009+0.00084826i,0.00014726+0.00038535i
0.0012849-0.0016065i,0.00073828-0.0017316i,0.00013397-0.00086705i,-0.00057958+0.00019105i,-0.00047651+0.0014158i,-0.00025979+0.0015865i,0.00099017+0.0011782i,0.0016841+0.00017396i,0.0014025-0.00077401i,0.0013326-0.0006454i,0.0010485-0.00055643i,0.00041948-0.00078377i,-0.00052065-0.00021288i,-0.00063611+0.00086101i,-0.00025715+0.00095222i,-7.6292e-05+1.6298e-05i,-0.0005224-0.00072627i,-0.00050257-0.00060322i,-9.6725e-05-8.1846e-05i,-8.8528e-05+0.00012234i,-0.00013115+0.00023003i,9.5436e-06-4.6425e-05i,0.00037956-0.00022435i
0.0012567+3.3836e-05i,0.0011005+7.9096e-05i,0.00096803+0.00030808i,0.0012302+0.00064609i,0.00062717+0.00095784i,0.00034754+0.0001246i,0.00041141-0.00069251i,-0.00024038-0.00096289i,-0.0002927-0.0016373i,-0.00033748-0.0018474i,1.1252e-05-0.0011492i,0.00062466-0.00021288i,0.00040197-0.00052666i,0.00037736-0.00040117i,0.00026033+0.0010177i,-7.254e-05+0.00078181i,0.00032321+0.00029505i,0.00090973-0.00031752i,0.00061317-0.00060061i,0.00046518+3.3056e-05i,0.0002418-6.7863e-05i,0.00059135+0.00014496i,0.0006374-8.4323e-05i
0.0022479+0.00019761i,0.0010423+0.0006075i,0.00036848-0.00051837i,-0.00045773-0.0012891i,-0.0012482-0.0019693i,-0.0013793-0.0017141i,-0.0015366-0.00093802i,-0.0010275-0.00090383i,-0.00086747-0.00080223i,-0.001093-0.00047699i,-0.0011602+0.00017615i,-0.0019145+0.0005421i,-0.0015271+0.00030844i,-9.5055e-05+0.0007714i,0.00072285+0.0010323i,0.0011514+0.00034997i,0.0010928-0.00020918i,0.00051597-0.00028047i,0.00011128+0.00019442i,5.8327e-05+0.0003105i,0.00027485+0.00043167i,0.000407+4.4947e-05i,0.00062886-0.00028675i
0.0018016+8.723e-05i,0.00064398-0.00049551i,-0.00065092-0.00068778i,-0.0023433-0.00039958i,-0.0025629-0.00095215i,-0.0024669-0.0005845i,-0.001677+4.501e-05i,-0.00041343-0.00014921i,-0.00052617+8.5472e-05i,-0.00028673+0.00089134i,-0.00014734+0.0016417i,-5.5208e-07+0.0018079i,0.00098378+0.0016784i,0.0012871+0.0018121i,0.00091374+0.00089627i,0.0010027-0.00026465i,0.00087334-0.00072933i,0.00033372-0.0014215i,0.00017789-0.0012133i,0.00042714-0.0004266i,0.00063149+2.9877e-05i,0.00034965+0.00057353i,0.00031986+0.00045323i
-0.00034604-0.001316i,-6.4116e-05-0.00063377i,-0.0002752+0.00035327i,-0.0018699+0.0013245i,-0.0030435+0.0030766i,-0.0023006+0.0035495i,-0.0010186+0.0022698i,-0.00060282+0.0013335i,-0.00024735+0.0014807i,-0.00018141+0.00181i,-0.0001806+0.0013555i,0.00055809+0.0003493i,0.0012124-0.00011806i,0.0011828-0.0005504i,0.00036532-0.00098427i,-0.00040662-0.00096164i,-0.00045221-0.00062041i,-0.00068027-0.00099056i,-0.00074495-0.00076379i,-0.00047097+9.7981e-05i,-0.00082601-0.00027492i,-0.0014783-0.00076193i,-0.0011351-0.001104i
0.00072103+5.7083e-06i,-3.8676e-05-0.00097754i,-0.00059886-0.0017416i,-0.00014476-0.0010985i,0.00023496+0.00082475i,-0.00041789+0.002061i,9.332e-05+0.0017664i,0.0012971+0.0013715i,0.0020017+0.0015016i,0.0016974+0.0019885i,0.0012799+0.0013925i,0.00076517+0.00038653i,0.0003796+0.00011886i,0.00071979+0.00046785i,0.00025263+0.00068089i,-0.00027711+0.00044395i,0.00021883+0.00066756i,0.00066933+0.0010971i,0.00048307+0.00095941i,-4.7482e-05+0.0010026i,-2.2978e-05+0.00065528i,0.00079892+8.9312e-05i,0.00068565+0.0001077i
0.00061462+0.00027943i,0.0013135+0.0006274i,0.0011097+0.0020181i,0.0010388+0.0025565i,0.00081742+0.0023493i,0.00062102+0.0021771i,0.0010824+0.001229i,0.0015863-0.00072684i,0.0016852-0.0015953i,0.0015472-0.0013238i,0.0013774-0.00050279i,0.00067573-0.00032569i,0.00015556-0.00078591i,-0.00040932+6.7014e-05i,-0.00020938+0.0011777i,0.00072173+0.0013297i,0.00075596+0.0013483i,0.00026138+0.001207i,-0.00025329+0.00098141i,-0.00035488+0.00057003i,-0.00012435+0.00013102i,-0.00017613+9.5394e-05i,-0.00062217+8.2577e-05i
0.00063829-0.00094429i,0.00032442-0.0010786i,0.00018606-0.00078533i,0.00050455-0.00052077i,0.0011536-0.00060797i,0.0015262-0.00045131i,0.0012634+0.00033273i,0.00041651+0.00063791i,7.8448e-06-0.0002804i,0.00020733-0.0013183i,-8.066e-05-0.0013713i,-0.00039519-0.00087307i,-0.0011004-0.00075776i,-0.0010003-0.00053379i,8.3598e-05+0.00040515i,0.00027793-7.9408e-05i,-0.00039212-0.00079792i,-0.0011069-4.5795e-05i,-0.00080777-0.00014379i,-0.00043937-9.9337e-05i,-0.00091319+0.00058937i,-0.0015781+0.00017337i,-0.0014164+0.00010433i
0.00046991+0.00045943i,0.00040422+0.0011515i,-1.8612e-05+0.00072736i,-0.00075633+4.1755e-05i,-0.00067822+0.00036026i,-0.00021938+0.0005477i,-0.00019032+0.00025134i,-0.00069493-0.00026323i,-0.0013449-0.00040155i,-0.0018316-0.00063239i,-0.0019927-0.00075025i,-0.0008042+0.00014477i,-0.00010533+0.00079414i,-0.00066893+0.00061164i,-0.00049994+0.0010847i,-0.00016365+0.0015136i,-0.00027812+0.001208i,-0.00036453+0.00013914i,-0.00012722+0.00045509i,0.00012326+0.00081543i,0.00084958+0.00020297i,0.0018238-9.4054e-05i,0.00089674-0.00060693i
0.00031536+0.00071171i,0.00039063+0.0015869i,-0.00059181+0.0011775i,-0.0014221+0.00056023i,-0.0020767-2.4318e-05i,-0.0016645-0.0002834i,-0.0015722-0.00013881i,-0.0013558+0.00029859i,-0.00098413+0.00049345i,-0.00067048+0.00065553i,-6.9762e-05+0.0014544i,0.00029177+0.0015486i,0.0006269+0.0010071i,0.0012269+0.00054582i,0.0010947+0.00070978i,0.00044131+0.00111i,2.3203e-07+0.00051279i,-0.00031624+1.6096e-05i,-0.00082537-0.00028177i,-0.0008226-9.4794e-06i,-0.00013648-2.2633e-07i,-0.00044232-5.2714e-05i,0.00034414+0.00069063i
0.00027915-0.00053907i,0.00019792-0.00049646i,-0.00028561+7.7189e-05i,-0.00075228+0.0012634i,-0.001569+0.0022015i,-0.0015323+0.0021515i,-0.00089703+0.0016993i,-0.00031969+0.00057079i,7.3621e-06+0.00038823i,-8.7037e-05+0.00065636i,0.00011531+0.00052543i,0.0012287+0.00042236i,0.0016341-0.0002029i,0.0014859-5.2327e-05i,0.0013996+0.00041814i,0.0013669+0.0010238i,0.0010542+0.00066109i,0.00070039-1.1477e-05i,1.1601e-05-0.0001451i,0.00011164-0.00030655i,0.00045458-0.00068719i,0.00041423-0.00081072i,-5.1974e-05+7.3617e-05i
0.00025533-0.00023467i,0.00046668-0.00071782i,0.00077297-0.0014009i,-2.6574e-05-0.00027741i,-0.0018867+0.001942i,-0.0021861+0.0031697i,-0.0011604+0.0024836i,0.00018947+0.00083296i,0.0019258+0.00038225i,0.0021281+0.00028601i,0.0017681+1.0921e-05i,0.0011234-0.00035329i,2.4177e-05-0.00033625i,0.00028059-0.00024311i,0.0011733-0.00068106i,0.0010818+9.5633e-06i,0.00029808+0.00068481i,-0.00054756+0.00021552i,-0.00084057-0.00024744i,-0.00055591-0.00062507i,-0.00045205-0.00093236i,-0.00073702-0.00096223i,-0.0012262-0.001122i
-0.00069429+0.00036864i,-0.00012903+0.00040421i,-0.00039412+0.0010578i,-0.0009904+0.0014533i,-0.00073259+0.0020254i,0.00079744+0.0023912i,0.0012983+0.0013677i,0.0010323-0.00045331i,0.0013357-0.0010562i,0.0014513-0.00090865i,0.00071391-0.00093152i,0.00037666-0.00072619i,-0.00014096-0.00030199i,-0.00091786+0.00057351i,-0.00073986+0.00053568i,-0.00023223-0.00034057i,0.00053677-0.00048891i,0.00023246-0.00042704i,-0.0010936-0.00086301i,-0.0016694-0.00084876i,-0.0013552+0.0004116i,-0.0011537+0.0012626i,-0.00074922+0.00069801i
0.00029767+0.00043771i,0.00098897+0.00031389i,0.00045817+0.00063126i,0.00065489+0.0015757i,0.00077622+0.0014288i,0.0012289+0.00051882i,0.00066678-2.1582e-05i,-0.00059262-0.00011222i,-0.00098943-0.00084619i,-0.00044371-0.0011347i,-0.00050371-0.00051314i,-0.0012808+9.3173e-05i,-0.0013893+0.00057934i,-0.00070878+0.00049975i,0.00011644+0.00019594i,0.00036409-0.00021651i,0.00033033-0.00044923i,-0.00010172-0.00065801i,8.2126e-06-0.00052241i,6.9703e-05+0.0006435i,-8.4056e-05+0.0010078i,0.00017397+0.00027441i,0.0003649+0.00056569i
0.00017932+0.00032681i,0.00050304+0.00031181i,0.00039319+4.9098e-05i,0.00044341-0.00024005i,0.00071747-7.268e-05i,8.6121e-05-0.00039862i,-0.0014679-0.00080295i,-0.0018835-0.0010627i,-0.00081213-0.00039324i,-0.00076339-3.0547e-05i,-0.00086247+7.9247e-05i,-0.00065171+0.0008266i,-0.00060112+0.0012716i,-0.00013061+0.0009596i,0.00048452+0.00017473i,0.00081931-0.00067876i,0.00090222-0.0007889i,0.00056477-0.00031725i,1.3309e-05-3.4201e-05i,-0.00036164+0.00020553i,-0.00049089+0.00031854i,-6.2502e-05+0.00011812i,0.00031757-0.00028659i
-0.001022-0.00029546i,-0.0011972+0.00054884i,-0.0018058+0.00018201i,-0.001933+8.8559e-05i,-0.001337+0.00069703i,-0.00088332+0.00052946i,-0.00065534+0.00073352i,-0.00037091+0.00055617i,-0.00071647+0.00053974i,-0.00085288+0.00091115i,-0.00042506+0.00086498i,0.00033528+0.0008033i,0.00091075+0.00061793i,0.0011306+0.0001609i,0.00077027-0.00045437i,0.00052412-0.0007071i,0.00048514-0.0010202i,-3.1215e-05-0.0012309i,-0.00013408-0.0013204i,3.9501e-05-0.0012306i,0.0006687-0.0010113i,0.0011621-6.3711e-05i,0.0011382+0.00047834i
0.00054859-0.00069159i,0.00079242-0.00032806i,-9.7748e-05+0.00011516i,-0.0014741+0.00039788i,-0.0024206+0.00087203i,-0.0026889+0.0010293i,-0.0015614+0.0015476i,-0.00037271+0.0016371i,0.00041544+0.0016062i,0.00083519+0.001677i,0.00092861+0.0015903i,0.00034716+0.0010916i,-5.8215e-05+0.0012861i,0.00030833+0.00081329i,0.00087739-8.6904e-05i,0.0011918+0.00025835i,0.0012685+0.00080997i,0.00066637+0.0010272i,0.00013047+0.00089194i,-0.00013793+0.00058128i,-8.3436e-05+0.00032562i,0.00032005+0.00039963i,0.00086569+0.00065519i
0.0017242-0.00076922i,0.00058589-0.0012804i,0.00043479-0.0013504i,-0.00060469-0.00016451i,-0.0013325+0.00099075i,-0.00075044+0.0014529i,-4.4426e-05+0.0019366i,0.0010433+0.0010111i,0.0020013-5.3552e-05i,0.0017995-6.6858e-05i,0.0015316-0.00022879i,0.0010516+3.9369e-05i,0.0011153+0.00015608i,0.0013554-1.715e-05i,0.00098875+0.00039202i,0.0010935+0.00010515i,0.00076277-0.00033947i,0.00060294-0.00042433i,0.00087954-3.034e-05i,0.00078273+0.00010268i,-0.0001018+0.00012028i,-0.0002608+1.8235e-05i,0.00032346-0.00047307i
0.0017745-0.0014415i,0.00061057-0.00077346i,-0.0002756-0.00091577i,-0.00036732-4.5325e-05i,-0.00065012+0.001966i,-0.00071619+0.0024801i,0.00026545+0.0010548i,0.0014122+0.00031695i,0.0020589+2.8141e-05i,0.00099638-0.00094762i,9.4958e-05-0.0010818i,-5.0268e-05-1.3067e-05i,-0.00034243+0.00096909i,-0.00028545+0.00068409i,-0.00012753+0.00042578i,0.00010143+0.00081154i,7.9272e-05+0.00017926i,-7.6282e-05-0.00080829i,1.1903e-05-0.00088807i,-9.45e-05-0.0005549i,-0.00023487-0.00042345i,-9.1096e-06-0.00019686i,0.00022317-0.00040882i
0.0024442-9.716e-05i,0.0020191-0.00047446i,0.0011291-0.0028045i,-2.8807e-05-0.0020059i,-0.00081156-0.0002711i,-0.0002812+0.00032622i,0.0001163+0.000514i,-0.00071431+0.00014251i,-0.00071917-0.00025958i,-0.00077156-0.00068148i,-0.00092945-0.00048655i,-0.00025417+0.00012307i,0.00053096+0.00093276i,0.00066636+0.0017438i,-0.00018791+0.0016649i,0.00023951+0.0010526i,0.00051792+0.00011681i,-5.5177e-05-0.00013659i,-6.3564e-05+0.00044182i,-0.00010996+0.00078938i,-0.00020735+0.00048168i,0.00020429-2.8661e-06i,0.00037427+0.00011267i
0.0018981+0.002287i,0.00095118+0.0016027i,0.00050912+0.00079224i,0.00094426-0.00045929i,0.0011156-0.0011259i,0.00029998-0.00095463i,-0.00072626-0.00024818i,-0.0013929+0.00052823i,-0.0012172+0.0009761i,-0.0006445+0.00040404i,-0.00057993-0.00022219i,-0.00012484-0.0003121i,0.00027162+0.00012092i,-7.854e-06+0.00065209i,-0.00037596+0.0006202i,-0.000145-0.00017497i,0.00034073-0.00016806i,-0.00047195+0.00031456i,-0.00074423-0.00032979i,-6.7504e-05-0.00032009i,0.00020871-0.00037105i,-0.00065615-0.001181i,-0.001183-0.00038438i
0.00022683+0.0018298i,0.00019243+0.00096125i,-0.00011723-1.9236e-05i,-0.00063208+0.00043771i,-0.0011133+0.0012257i,-0.0018132+0.00074882i,-0.0014427+0.00045445i,-0.00052063+0.00027357i,0.00010939+5.5113e-05i,3.7462e-06+0.00075803i,-0.00016768+0.00072538i,0.00054213+0.000728i,0.00093586+0.00095161i,0.00060811+6.6576e-05i,0.0011369+0.0001072i,0.0012234+0.00052886i,0.00026629+0.00071681i,0.00058896-0.0002298i,0.00097364-0.00065752i,0.00026404+7.3192e-05i,8.5534e-05+9.2337e-05i,-0.00047187-0.00058671i,-0.00067956-0.00068923i
