-0.0043417+0.0014969i,-0.00028973-0.0003704i,-0.00077295-0.0012406i,-0.001425-0.0010467i,0.00037678-0.00076577i,0.0021199-0.0014368i,0.00147-0.00054186i,0.00014518+0.0012657i,0.00043853+0.0014216i,0.0011113+0.00068798i,0.00087752+0.00028891i,0.0014155-0.00031786i,0.0019847-0.00060748i,0.0015009-0.00044389i,0.0012443-0.00062475i,0.00072361-0.00065923i,0.00017204-0.00015897i,-0.00023433+0.00033943i,-9.747e-05+0.00038298i,-0.00024531-8.443e-06i,-0.00072431+0.00040561i,-0.00095751+0.0010068i,-0.00062509+0.00076832i
-0.0013112-0.0013197i,0.00047391-0.0024148i,0.0004479-0.0031942i,-0.0014904-0.0030048i,-0.00196-0.0025429i,-0.0017726-0.0018858i,-0.0012625-0.0012786i,0.00048988-0.00049232i,0.00073078+0.00067232i,-0.00019864+0.0011713i,-0.00018845+0.0013894i,0.0003389+0.0017805i,0.0011224+0.0020186i,0.001649+0.0012867i,0.0015195-9.163e-05i,0.0008431-0.00065344i,0.00041386-0.00046108i,0.00024194-0.00011016i,8.9723e-05-0.00024465i,-0.0006825-0.00036207i,-0.00092521-8.4118e-05i,0.00011219+0.00020816i,0.00082038+0.00074291i
0.00029365-0.00060221i,0.0028114-0.0034676i,0.0025209-0.005638i,0.0021717-0.0037399i,0.0027623-0.0014412i,0.0017692-0.0014477i,0.00061217-0.00096475i,0.00081054+6.7844e-05i,0.0010622+0.00045515i,0.00091482-0.00012895i,0.00055358+0.00037088i,-0.00043837+0.00066917i,-0.00070372+0.00043498i,-0.00017656+0.00022786i,-0.0003679-1.9762e-05i,-6.3727e-05-0.0010053i,0.00022455-0.00076656i,0.0002146+0.0001199i,0.00099059+0.00041652i,0.0010073+0.00033106i,-0.00012443-0.0004119i,-0.0010068-0.00057279i,-0.00084038+0.00048971i
0.00022346-0.001807i,0.0024972-0.0038185i,0.0021178-0.0050868i,-0.00026251-0.0022506i,-0.0011009-7.0067e-05i,-0.00041375-0.00093797i,6.6014e-05-0.00094717i,0.00067175+0.0004084i,0.001259+0.0010203i,0.00090266+0.00073124i,0.00061923+0.00054358i,0.00045405+0.0011711i,-6.2701e-06+0.0012071i,-0.00027196+0.00099258i,8.8992e-05+0.00084446i,0.00063119+0.00075462i,0.00092077+9.1874e-05i,0.000673-0.00035669i,0.00020208-0.00030369i,0.00027009-0.00036504i,0.00028374-0.0002845i,-0.00036746-0.00020711i,-0.00056469+0.00013767i
0.00096383+0.0010017i,0.0040338-0.0013853i,0.004172-0.0047868i,0.002828-0.0052252i,0.0027587-0.0041364i,0.0023268-0.0035263i,0.00047775-0.0022655i,0.00068508-0.0010741i,0.0017946-0.00066089i,0.0016749-0.00051535i,0.0012613-0.00011396i,-8.7894e-06-6.6722e-05i,-0.00064705+0.00020439i,-0.00023271+0.00024349i,-7.1486e-05-0.0009654i,0.00024423-0.0016466i,-0.00010381-0.0010788i,-0.00085863-0.00059869i,-0.00071553+6.1973e-05i,-0.00022806+0.00040807i,-0.00019612+0.00042916i,-0.00019435+0.00053701i,-0.00031719+0.00047044i
0.00076148-0.00058621i,0.0037087-0.0024535i,0.0040321-0.0028988i,0.0024135-0.00083768i,0.002156-2.6174e-05i,0.0017776-0.0003236i,0.00042807+2.4148e-05i,0.00067183-5.3979e-05i,0.0015043-3.0255e-05i,0.0012723+0.00055391i,0.00064608+0.00091412i,-0.00052639+0.00074092i,-0.0010831+0.0003975i,-0.00069378+0.00021029i,-0.00064969-4.9396e-05i,-0.00074253-0.00079249i,-0.00055652-0.0013466i,-0.0014513-0.0006557i,-0.0015796-0.00022005i,-0.00037284-9.8573e-05i,1.6215e-05+0.00011931i,-0.0004919+0.00064608i,-0.00065485+0.00064219i
0.00034012+0.002202i,0.0034646-0.00036618i,0.0048539-0.0026625i,0.0029917-0.0032099i,0.0010229-0.0036449i,-0.00017419-0.0042135i,-0.00057967-0.0031707i,-0.00013534-0.00085356i,-0.00014506+0.00033231i,-0.0005096-2.7323e-05i,-0.00037441-0.00021791i,0.00028992+0.00060693i,0.00029939+0.00010614i,-0.00022261-0.00033203i,-0.0005703+0.00044246i,-0.00071367+5.0679e-06i,-0.00034045-0.00066905i,-0.00018999-0.00031387i,-0.00042573-7.8084e-05i,-0.00021007+7.1632e-05i,0.00020838+0.00011862i,-0.00063645-2.8576e-05i,-0.0012437-0.00052753i
0.00050732-0.0013373i,0.0033543-0.0019517i,0.0021192-0.0025182i,0.00088997-0.0019766i,0.0012893+0.0001349i,0.0023596+0.00045553i,0.0020755-0.00014536i,0.00085721+6.1924e-05i,0.00069944+0.00026037i,0.0011838+0.00039206i,0.0013623+0.00010044i,0.00092721+0.0003378i,0.00019597+0.00093428i,0.00067782+0.00092743i,0.0014197+0.0013471i,0.00090266+0.0011738i,-0.00013934+0.00019905i,-0.00079564-0.00067516i,-0.00028254-0.00058758i,0.00061079+1.69e-05i,-0.00013508-0.00019002i,-0.0013135-8.8683e-05i,-0.0011066+0.00019126i
0.00099002-0.00082652i,0.0030052-0.00156i,0.0021218-0.0036685i,0.00071755-0.0035035i,-0.00035352-0.0022792i,-0.0015597-0.0012614i,-0.0012255-0.00015446i,0.00022753+0.00075889i,0.0008015+0.00067507i,0.00057381+2.793e-05i,-0.00015078-0.00037125i,-0.00059148+0.0005952i,-0.0003418+0.0015292i,7.0922e-05+0.00086792i,-0.00040035+0.00023955i,-0.00075258-6.6772e-05i,-0.00033174-0.00058262i,-0.00053064-0.00069993i,0.00048809+0.00012357i,0.0009599+0.00014372i,-0.00041397-0.00037331i,-0.0011615-0.0010079i,-0.0012846-0.00047122i
-0.0017988+0.0007116i,0.001629-0.001194i,0.0023107-0.0024649i,0.001474-0.0019342i,0.0015665-0.0023346i,0.00086484-0.0036881i,-0.00031376-0.0025594i,0.00026514-0.00053376i,0.00188+0.000857i,0.0021656+0.0011384i,0.0011964-0.0002117i,-0.00032416-0.0010418i,-0.00076618-0.0012334i,-0.00034499-0.0015607i,-0.00037865-0.0014942i,-0.0010055-0.0013741i,-0.0015287-0.00092152i,-0.0013256-0.00012491i,-0.00076434+5.7956e-05i,-0.00047653-0.00017539i,-0.00069395-0.00016319i,-0.00084006+0.00034991i,0.00045677-0.00019314i
-0.00018763-0.003492i,0.0025126-0.0058643i,0.0036072-0.0070129i,0.0020444-0.0053916i,0.00039103-0.002646i,-2.4149e-05-0.0013846i,0.00066557-0.00074839i,0.00072237-0.00018145i,-7.9651e-05+4.6731e-05i,-6.575e-05-0.00035626i,6.5823e-05-0.00051207i,-9.6327e-05+0.0005335i,-0.00016249+0.00137i,-2.3556e-05+0.0015123i,-0.0003451+0.0006423i,-0.00047649-0.00030478i,-8.102e-05-0.0011218i,0.00054738-0.00061286i,0.00072027+0.00024527i,2.6535e-06+0.00037713i,-9.9724e-05+0.00029173i,0.00032416+2.7981e-05i,0.00057896-3.4208e-06i
0.00083332+2.6249e-05i,0.0054011-0.0013729i,0.0066315-0.0028742i,0.0045622-0.0027342i,0.002595-0.0019708i,0.00088438-0.0013766i,9.7973e-05-0.00056078i,0.00042495+0.00037278i,0.00082851+0.0003893i,0.0009035+0.00031443i,0.00063417+3.9582e-05i,0.00024622-1.4313e-05i,0.00021825+0.00097733i,0.00031915+0.00084895i,-0.00051654+0.00022327i,-0.00045359-0.00024099i,0.00022386-0.00026504i,-0.00013225-8.6814e-05i,0.00016552+8.7214e-05i,0.0012173+1.0063e-05i,0.0011959+0.00039321i,0.0001671+0.00060793i,-0.00037226+0.00022394i
-0.0014875+3.2052e-05i,0.00121-0.00083128i,0.0020208-0.0012314i,0.0018904-0.00053773i,0.0019721-0.00030698i,0.0022135-0.00070297i,0.0013853-0.00015734i,0.00044158-0.00012606i,0.00025901+6.1576e-05i,0.00075899+0.00063107i,0.00083032+0.00067448i,0.00082931+0.00033142i,0.0017007-0.00042451i,0.0014985-0.0009952i,0.00046012-0.00061407i,-0.00012223-0.00015329i,-0.00012991+0.00010408i,0.00021671-0.00010996i,0.00035772-1.524e-05i,0.00024975+0.00057654i,-0.00048474+0.00083924i,-0.00093+0.00098206i,-0.001512+0.00090836i
-0.0006765+0.00053304i,0.0026678-0.0016i,0.0031852-0.0035846i,0.0016452-0.0031024i,0.00035788-0.0023275i,0.00020588-0.0026413i,-0.00010759-0.0019462i,-0.00033201-0.00054713i,2.4749e-05+0.00045294i,0.00060526+0.00035474i,0.00024-0.00014828i,-4.6752e-05+0.0002532i,0.0008286+0.00039416i,0.0014973-4.7556e-05i,0.00057305+0.00011525i,-0.00040142+0.00047707i,-0.00032995+1.2068e-05i,-0.00027921+0.00058182i,-5.2819e-05+0.0010418i,5.9518e-05+0.0012088i,-0.00018578+0.0014914i,3.3326e-05+3.397e-05i,8.0783e-05-0.00094515i
0.00054763+0.0016635i,0.0044458+0.00024966i,0.0052478-0.0017774i,0.0038011-0.0023988i,0.0030498-0.002332i,0.0020787-0.002189i,0.0012395-0.0016613i,0.00067279-0.0011589i,0.00030955-0.00035691i,0.00064516+0.00021956i,0.0004485+1.984e-05i,-0.00016893-0.00038433i,-0.00058936-0.00056589i,-0.00097913-0.00079114i,-0.0009568-0.0011882i,-0.00056557-0.0011155i,-0.00035329-0.00048741i,-0.0005447-0.00017705i,-0.00051155+9.858e-05i,-5.1963e-05-2.1902e-05i,0.00065574-0.00015343i,0.00084325+0.00039114i,0.00059876+0.0008925i
0.0010242-0.00041237i,0.0023329-0.0022431i,0.001811-0.0041003i,-0.00014745-0.0034211i,-0.001125-0.0025769i,-0.0013429-0.0023855i,-0.0012228-0.0009153i,0.00029194+0.00042655i,0.0017265+0.00046521i,0.0019824-0.00024518i,0.0012541-2.2365e-05i,-0.00021803+0.00082743i,-0.00073009+0.0011426i,-9.9994e-05+0.00082262i,0.00042721+0.00092469i,0.00031507+0.0010684i,5.0466e-05+0.00054716i,-0.00049772+0.00016749i,-0.00055052-0.00017189i,-0.00044048+4.2933e-05i,-0.00035512+0.00030315i,-0.00042337+0.00023557i,-0.00065087+2.2546e-05i
-0.00078712-0.00091931i,0.0021133-0.0015506i,0.0028441-0.0020111i,0.0021191-0.0014174i,0.0018078-0.00088157i,0.00095846-0.0011585i,0.00065046-0.0010016i,0.00050126-0.00035562i,0.00035569-0.00073582i,0.00066471-0.00057138i,0.00025327+0.00050255i,-0.00012959+0.0012551i,-0.00040865+0.00089483i,0.00012347-0.00028836i,0.00038272+2.8937e-06i,0.00028301-0.00029949i,0.0005759-0.00089111i,4.4266e-05-0.00051096i,-0.00061583-0.00040075i,-0.00059325-0.00019094i,-0.00024614+0.00029824i,-0.0002687+0.0005865i,-0.00055969+0.0004869i
-0.00021698+0.00065973i,0.0030535-0.0019036i,0.0027278-0.0026966i,0.0011099-0.0013995i,0.00049333-0.0012133i,0.00080317-0.0023293i,0.0016639-0.0011016i,0.0018819+0.00039672i,0.0020476+0.00048066i,0.0014713+0.00076151i,0.00098343+0.00090211i,0.00084351+0.0012025i,0.00029824+0.0014425i,-0.0005287-5.8015e-05i,-0.001153-0.0013549i,-0.0011083-0.00038015i,-0.0005349+0.00029127i,-0.00040472-0.00041577i,-0.00011121-0.0005328i,-0.00077574+0.00053384i,-0.0013844+0.00086808i,-0.0005582+0.0007085i,-0.00039523+0.00029563i
2.722e-05+0.00084851i,0.002365-0.0013825i,0.0024739-0.0028779i,0.0012018-0.0020347i,0.00038677-0.0018984i,-4.4534e-05-0.002151i,0.00017751-0.0016644i,0.00051071-0.00087779i,-0.00027535-2.4426e-06i,9.3519e-05+0.00035117i,0.00056672+0.00027957i,0.00081989+0.00084886i,0.00090907+0.0011825i,0.00087943-0.00011978i,0.00029987-0.00021625i,-0.00053767-0.00019099i,-0.00059308-0.00092018i,7.6766e-06-0.00081617i,0.00054063-0.0003626i,0.00019364-0.00021186i,1.201e-05-0.00029066i,0.00032412+0.00016472i,0.00064894+0.00039399i
0.0036333-0.00047143i,0.0059403-0.003271i,0.0050826-0.0055914i,0.0025901-0.0045961i,0.00063015-0.0030955i,0.00017654-0.0023973i,-0.00015216-0.0006773i,0.00016947+0.00029414i,0.00090297-0.00066533i,0.00072821-0.0019704i,0.00035629-0.0013757i,0.0002935-3.4583e-05i,0.00036926+0.00070467i,0.00038137+0.00041151i,0.00047803-0.00013051i,0.00096761-0.00022205i,0.00085886-0.00023505i,0.00095813-6.3197e-05i,0.0005661-9.6229e-05i,9.961e-05+0.00035127i,0.00026+0.00042546i,-0.00013298+0.00061443i,-0.00066828+0.00081769i
-1.8494e-05-0.00029456i,0.0038698-0.0022106i,0.0048362-0.0034123i,0.0032487-0.0026115i,0.0017847-0.00093443i,0.00039442-0.00072046i,-0.00042175-0.0010574i,-0.00032827+4.6916e-05i,0.00041397+0.00059138i,0.00081216+0.00062267i,0.00065633+0.00093941i,0.00048264+0.00085977i,0.00063349+0.00071095i,0.00053411+0.0003624i,0.00013474-0.00056366i,6.1681e-05-0.0011786i,-2.7465e-05-0.0011309i,-0.00072511-0.00039151i,-0.00087748-0.00033245i,-0.00044396-8.929e-05i,-0.00060277+0.00027191i,-0.00094055+0.00019594i,-0.00092734+0.00027i
-0.0013721+0.0014354i,0.0015741-0.00017213i,0.0032171-0.0016704i,0.0026105-0.0018395i,0.0020478-0.0018886i,0.0020178-0.0015789i,0.0016122-0.0010011i,0.00089097-0.00030198i,0.00062165+0.000123i,0.00051458+0.00053315i,0.00068411+0.00099186i,0.00038191+0.0004948i,-0.00053707-0.00028963i,-0.00055008-0.0010525i,-0.00036883-0.0011633i,0.00048854-0.00016282i,0.0011191+7.3345e-05i,0.0009477-0.00017557i,0.00043361-0.00050524i,9.0637e-05-0.00017339i,0.00017831+0.00042613i,0.00040887+0.00037877i,3.2044e-05-4.6361e-05i
-0.00058103-0.00060502i,0.0015118-0.0016019i,0.0015233-0.0025446i,0.00072446-0.0013113i,0.00082627-0.00043976i,0.00087338-0.00045819i,0.00055846-0.00032321i,0.0010962+0.00032029i,0.0014789+0.00083204i,0.00028435+0.0011765i,0.00048149+0.0016471i,0.00092081+0.0015703i,0.00088875+0.00057737i,0.00085997-5.4887e-05i,0.0007623-0.00028168i,0.0010631-0.00077109i,0.00087236-0.0010041i,-0.00016211-0.00098559i,-0.00045683-0.00053543i,-0.00064636-0.00017301i,-0.00099678+0.00021694i,-0.00055746+0.00039573i,-0.0006236+0.00088454i
0.00098234+0.0013861i,0.0029313-0.0013141i,0.0024574-0.0037903i,0.0017984-0.0042873i,0.0019027-0.003499i,0.0012048-0.0027564i,0.00011332-0.0012594i,-8.8736e-05+0.00032481i,-0.00026603+0.00065305i,-0.0004885+0.00039401i,9.2194e-05+0.00026333i,-0.00028017+0.00015772i,-0.0010577-0.00026421i,-0.001259-1.2899e-05i,-0.0017543+0.00073753i,-0.0013872+0.00070837i,-0.00053561-0.00013455i,-0.00035833-0.00066491i,0.00020921+0.00019881i,0.000356+0.00051664i,-0.00034972+0.00029566i,-0.00030115+0.00036423i,-0.00012619+0.00048056i
-0.0022077-0.00016094i,0.00082924-0.0016546i,0.0010955-0.0029174i,0.00086788-0.0019869i,0.0026165-0.00086043i,0.0040004-0.00039327i,0.0032808+4.8742e-05i,0.0023237+0.00016113i,0.0017989+0.00018752i,0.00098006+0.00012384i,3.8771e-05+0.00075029i,-0.00036879+0.0011425i,0.00018798+0.00067074i,0.00060426+0.00017971i,0.00032616-0.00042338i,0.00019024-0.001079i,0.00070215-0.00092031i,0.00028239-0.0003668i,-0.00088317+7.967e-05i,-0.00074514+0.00026835i,-0.00058906+0.00040646i,-0.0010034+0.00088777i,-0.001051+0.001293i
0.0019633+0.0028726i,0.0043465-0.00038835i,0.0045889-0.0035576i,0.0028392-0.0034601i,0.0017472-0.0028567i,0.00099045-0.0029969i,7.7533e-05-0.0017275i,-0.00045202+0.00018592i,-5.351e-05+0.001364i,0.00069433+0.0011519i,0.00018375+0.00064319i,-0.0012615+0.00084653i,-0.0017417+0.00066986i,-0.0013043-0.00015938i,-0.0011457-0.00069832i,-0.00092553-0.00086248i,-0.00023991-0.00034658i,-0.00015412+8.3221e-05i,6.2126e-05+0.00080287i,-2.9667e-05+0.00053159i,-0.00033694-0.00040934i,-0.00019512-0.00010551i,-0.00035445+0.00059032i
0.00038435+0.0017744i,0.0049338-0.0012231i,0.0057039-0.0035179i,0.0043969-0.002863i,0.0042583-0.0021007i,0.0027295-0.0022898i,0.0009489-0.0018019i,0.00059574-0.00071239i,0.00042998-0.00027046i,0.00021156-6.048e-05i,-0.00043284-3.9895e-05i,-0.00045459+0.00030175i,0.00067891+0.00013761i,0.00077907-0.0010139i,-0.00026371-0.0012631i,-0.00060842-0.00053748i,-7.2337e-06+0.00039547i,-0.00010012+0.00068686i,-0.00020357+1.2692e-06i,-0.00027936-0.00013663i,-0.00070427-0.00020826i,-0.00059696-0.00068829i,-8.4601e-07-0.00059816i
0.0017625+0.00088263i,0.003903-0.0010324i,0.0041014-0.0031783i,0.0020591-0.0025519i,4.6245e-05-0.0017767i,-0.00083863-0.00054411i,-0.00076755+0.0010538i,0.00039753+0.0014557i,0.00099905+0.00069483i,0.00014159+0.00033274i,-0.00052586+0.00062528i,-0.00059113+0.0010042i,-0.00061995+0.00090519i,-0.00019243+0.00024944i,0.00010725-0.00018355i,0.00090722-0.00026837i,0.0010479+0.00011296i,0.00045863+0.00047086i,0.00028204+0.00093775i,-0.00030743+0.00080537i,-0.0007712+0.00028766i,-0.00097217+0.00015728i,-0.00016059+0.00048573i
