0.0025214+0.00067843i,0.0019046-0.00034213i,0.0010941-0.0024618i,-0.00066682-0.0029928i,-0.0027951-0.0010464i,-0.0041688+0.0016174i,-0.0031142+0.002535i,-0.0011231+0.0021508i,0.00047638+0.0012246i,0.00095436-0.00029948i,0.00023512-0.0015617i,-0.00037238-0.0014124i,-0.0010375+0.00016281i,-0.0009169+0.00055764i,-0.0010188-4.6475e-05i,-0.00078556-0.00020264i,-0.00036343-0.00030467i,-0.0005063-0.00021269i,-0.00074016+0.00049259i,-0.00089754+0.0012851i,-0.00043423+0.00089722i,-0.00023942-0.00018993i,-0.00073303-5.283e-05i
-0.0011925+0.00085297i,-0.0010544+0.00048336i,-0.00077892+0.0013637i,-0.0004176+0.00084063i,-0.00052328+0.00086804i,-0.00011248+0.0011794i,0.00073653+0.00029321i,0.00067215-4.8533e-05i,0.00015889+0.0002179i,0.00072592+0.00034287i,0.00065512+0.00049183i,-0.00067432+0.00077102i,-0.000734+0.00061472i,-0.00019628+2.4221e-05i,2.6266e-05-9.3943e-05i,0.00010054+0.00012024i,2.5432e-05+6.0667e-05i,-0.00041464+5.2499e-05i,-0.00071744-0.00021538i,-0.00043678-0.00098171i,-0.00022546-0.00094275i,-0.0010017-0.0007519i,-0.0010357-0.00099907i
0.0014114-0.00042969i,0.00077661-0.00059882i,-0.00015908-0.00025095i,-5.8864e-05+0.00047993i,9.4662e-05+0.00055562i,-0.00013345+0.00011858i,-0.0001806+0.00032467i,-0.00047012+0.00065548i,-0.00079899+0.00065177i,-0.00069507+0.00099764i,0.00015377+0.00072105i,8.0484e-05+0.00017237i,-5.3666e-05+0.00029477i,-2.1026e-05+0.00091942i,-2.6986e-05+0.0005404i,0.00071372+2.9236e-05i,0.00074108+9.7398e-05i,4.8402e-05+3.8085e-05i,-0.00021114-0.00028476i,-6.6966e-05-0.00068651i,-0.00040699-0.00033172i,-0.00055462-0.00030392i,-0.00022466-0.00077016i
-0.00056086-0.00078626i,-0.00023018-0.00014856i,-9.2996e-05-0.00025702i,-0.00058501+0.00083959i,-0.00060402+0.0020289i,-0.0001859+0.0022125i,-0.00022181+0.00074073i,-0.00035583+0.00046278i,-0.00055478+0.00094302i,-0.00073333+0.00064572i,-0.00054624-0.00071733i,-0.00057613-0.0013429i,-0.00058343-0.0012524i,0.00045937-0.00083049i,0.00046115-0.00017387i,-0.00031684-0.00054598i,0.00039728-0.00063383i,0.00065937+0.00061631i,0.00020292+0.00063878i,9.8819e-05-9.0024e-05i,0.00052138+0.00030026i,0.0010253+0.001029i,0.00062289+0.00049704i
7.553e-05+0.00016753i,-0.00077103+0.00058806i,-0.00069283-9.4319e-05i,-0.0010049-0.00023263i,-0.0011303+0.0007066i,-0.00039345+0.00092139i,0.00012294+0.00067322i,-2.4125e-05+0.0004834i,-0.00031627+0.00023653i,1.2891e-05+0.00040424i,-0.00021859+0.0004147i,-0.00023799+5.9334e-05i,0.00086758+0.00026407i,0.0010919+0.00070828i,0.00043064+0.0010195i,-0.00019314+0.00094953i,-0.00028526+0.00040711i,-0.00038123+0.00034652i,-5.5663e-05+0.00049033i,0.00035254+0.00036159i,1.5032e-06+0.00026636i,-8.1e-05-0.00036324i,-0.00016594-0.00085147i
-0.00019459+0.00031945i,0.00033038+0.0014731i,0.00056571+0.0015605i,1.3448e-05+0.0012627i,-0.00074929+0.001025i,-0.00082228+0.0011309i,-0.0011874+0.0013688i,-0.00086895+0.00022701i,-0.00015885-0.0006992i,0.00036708-0.00064933i,0.00028799-0.00058043i,-0.00046853-0.00040167i,-0.00068683-9.6799e-05i,-6.7379e-05+0.00016424i,0.00033828+0.00023081i,-0.00044576-3.2359e-05i,-7.6038e-05-0.00024673i,0.00070293+0.00017036i,0.00010214+9.2041e-05i,-0.00031065+0.00027422i,-0.00072117+0.00064736i,-0.00055722+0.00030126i,-0.00011567-0.0003791i
-0.0023454-0.0011342i,-0.0025721-0.00047042i,-0.0022803+0.00020039i,-0.0011201+0.00045106i,-0.00044648+0.001515i,-0.00015848+0.0016819i,-3.2209e-05+0.0012358i,0.00056601+0.0013187i,0.0010241+0.00064311i,-3.3366e-05+8.959e-05i,-0.00042857-0.00017482i,0.00066295-0.00033025i,0.0010303-0.00022728i,0.00077292+1.0482e-05i,0.00098234+0.00027955i,0.00084742+0.00047065i,0.00044503+4.1818e-05i,0.00041582-0.00034022i,0.00041927-0.00044251i,0.00036151+0.00011829i,-0.00024541+0.00017846i,-0.00034225-0.00070207i,-0.00036492-0.00073715i
0.00078282+0.0012392i,0.0014797+0.00098932i,0.0020251-0.00022977i,0.0013815-0.00039717i,5.1967e-05+0.00055949i,-0.00029738+0.0017258i,0.0004847+0.0019027i,0.00031692+0.0016778i,-0.00033362+0.00064714i,-0.00042035-0.00024782i,-0.00058682-0.00028726i,-0.00048035-0.00048207i,-0.00016939-0.00033879i,0.00013626+0.00076182i,0.00020114+0.0012638i,-0.0003526-0.0001486i,-0.00038086-0.00046582i,0.00036993-0.00072487i,0.00068046-0.00092413i,0.00088279-0.001009i,0.00053878-0.0010151i,-0.00047117-0.00044466i,-0.00076212-2.1685e-05i
-0.00077799-0.0027019i,-0.0013827-0.00054636i,-0.0020112+0.00099316i,-0.0019836+0.0015091i,-0.00072697+0.0018576i,-0.000311+0.0016953i,-1.3948e-05+0.0012456i,0.00074981+0.00095694i,0.00071952+0.00076131i,-4.684e-05+0.00039456i,-0.00047807+0.0006722i,6.2196e-05+0.00083499i,0.00042292-0.00025654i,0.0004362-0.00079591i,-0.00055686-0.00022634i,-0.00060245-3.6678e-05i,0.00011789+2.5554e-05i,-0.00031908-0.00010142i,-0.00031583-0.00041701i,7.8846e-06-0.00034827i,7.8838e-05-0.00051461i,0.00024577-0.0002796i,0.00013959-0.00056099i
0.0011489+3.4193e-05i,0.00096607+0.00036256i,0.00037467+0.00027985i,0.00014514-0.0001207i,0.00019853+0.00039294i,3.2054e-05+0.001719i,-0.00046696+0.0017135i,-0.00045438+0.00049698i,-0.00067352+0.0003017i,-6.1327e-05+0.00066042i,0.0004078+0.00062425i,0.00062973+0.0005909i,0.00053004+0.00061148i,0.00022602+0.00051261i,-0.00046799+0.00019833i,-0.0003127-0.0012676i,6.3411e-05-0.00080858i,-0.00078712+0.00069454i,-0.0006542+0.00095457i,0.00045415+0.00091044i,0.0006186+0.00056987i,-0.00020424+0.00018693i,0.00010101-0.00012991i
-0.00079448+0.00046766i,-0.0006806-0.00026835i,-0.00055529+1.7018e-05i,-0.0012192+0.00065211i,-0.0010448+0.0010485i,-0.0010686+0.0012607i,-0.00069568+0.0010276i,0.00018608+0.00029762i,0.00046746+0.00031959i,0.00082674+0.00021296i,0.00094666-0.00065454i,0.00082994-0.0011852i,0.0003108-0.0006757i,-0.0004464+7.1762e-05i,-0.00057635+5.752e-05i,-0.00018242+9.368e-05i,1.1132e-05+0.00029858i,-0.00040398-9.577e-05i,-0.00060742-0.00048262i,0.00024143+0.00029142i,0.00046865+0.00077401i,9.2823e-05+0.0010519i,2.2732e-05+0.00048374i
-0.0013919-0.0011444i,-0.0012028-0.00019814i,0.00069615-0.00058614i,0.0011397-0.00045988i,4.8686e-05+0.00054584i,-0.00093955+0.0013585i,-0.0010184+0.001381i,-0.00041254+0.0010261i,0.00013496+0.00092002i,0.00020891+0.0006334i,0.0002664-2.825e-05i,-0.00021489-9.3308e-05i,-0.00090196-3.6492e-06i,-0.000853+0.00012788i,-9.8675e-05+0.00083213i,0.00067284+0.0012396i,0.00052014+0.0011375i,-0.00021983+0.00020703i,-0.0010086-2.3558e-05i,-0.00023003+0.00049425i,0.00044215+5.2082e-05i,0.00038472-0.00023435i,0.00028082-0.00020134i
0.00099404+6.8095e-05i,0.00092145+9.4604e-05i,0.00097716-0.00035355i,0.0011606+0.00021636i,0.00083637+0.0010969i,-0.0002866+0.0018217i,-0.00093478+0.0018558i,-0.00038617+0.0011865i,-6.5245e-05+0.00026303i,-0.000103-0.00034071i,-0.00084388-0.00069347i,-0.00093694-0.00051669i,0.00020056-0.00061282i,0.00072213-0.0006274i,0.00052522-2.2184e-05i,0.00045388+0.00038302i,0.00072772+0.00051352i,0.00013266+0.00097483i,-0.00054097+0.00071695i,-0.00014677+0.00030318i,0.00038971+0.00098875i,0.00095454+0.00062159i,0.00072002+3.0235e-06i
-0.00050915-0.0015946i,-0.00036749+8.3032e-05i,-0.0020023+0.0012659i,-0.0021553+0.001651i,-0.0017477+0.0020366i,-0.00093695+0.002498i,0.00021888+0.0018057i,0.00043216+0.0010358i,0.0004267+1.344e-05i,0.00042746-0.0002922i,0.00010619+6.6547e-05i,-0.0010304+0.00030718i,-0.0011969+0.00050532i,-0.00080092+5.526e-05i,-0.00045739+0.00017368i,0.00023134+0.0007138i,0.00054914+0.00084807i,0.00080039+0.00065868i,4.3628e-06+0.00045815i,-0.0001115+0.0010106i,-4.0024e-05+0.0007364i,-0.00038412-0.00041055i,-0.00067306-0.00071516i
0.00025184+0.0014827i,0.00057461+0.001365i,0.00077492+0.00035325i,0.0011206-0.0004645i,0.0010107+0.00026602i,3.7852e-05+0.00091929i,-0.00033606+0.0011088i,0.00021813+0.0009572i,-7.1841e-05+0.00053244i,-0.00054987+0.00056177i,0.0001876+0.00059007i,0.0005306+0.00054157i,-6.0729e-05+5.3429e-05i,0.0001548+5.4153e-06i,0.00082348-0.0001378i,0.00095467+0.00039841i,0.00075779+0.00073051i,0.00084435+0.00043595i,0.00037609+0.00058206i,-0.00028568+0.00014842i,-0.000979-0.00041084i,-0.00097134+0.00019272i,-0.00048013+0.00061024i
-0.0019979-0.0022079i,-0.0027075-0.00042676i,-0.0020387+0.00087672i,-0.0016069+0.0021432i,-0.00066947+0.0023044i,-0.0003861+0.0016945i,-0.00028268+0.0010674i,0.00067628+0.00048396i,0.00063625+0.00096897i,0.00051865+0.0011995i,0.00080242+0.0010518i,0.00029259+0.0013208i,-0.00018665+0.00070081i,-6.6037e-05-0.00055424i,0.00082902-0.00065316i,0.0011023+0.00030688i,0.00019677+0.00052811i,-0.00070998-0.00034164i,-0.00091772-0.00084314i,-0.00083966-0.00017395i,-0.00039235-0.00019656i,0.00012429-0.00020928i,0.00019782+0.00079687i
0.001369-0.00049512i,0.0012702+9.78e-05i,0.00086678+0.00054732i,-0.00014126+0.00048385i,-0.00093133+0.00082954i,-0.001176+0.0020394i,-0.0016098+0.0022297i,-0.0014717+0.00084259i,-0.0011505+0.00022347i,-0.00071919+0.00051833i,-0.00013318+0.00050869i,0.00017649+0.00023317i,-0.00019662+0.0001021i,-0.00030038-0.00029547i,0.00022436+0.0001326i,2.7901e-06+0.00076682i,-0.00043174+0.00063716i,-0.00042871-0.00022069i,-0.00017662-0.001045i,-0.00018826-0.00047368i,-0.00073706+6.1775e-05i,-0.00017449+0.00043738i,-0.00022271+1.701e-06i
-0.0013911+0.00049477i,-0.0012447+0.00010308i,-0.00036387+0.00073445i,-0.00061763+0.00050025i,-0.0016263+0.00018917i,-0.0019387+0.00094602i,-0.0011691+0.0016685i,-0.0005705+0.0017098i,-0.00029752+0.00039685i,-0.00023073-0.00088036i,0.00034849-0.0014294i,0.0010618-0.0014924i,0.00060682-0.00068976i,-0.00027248+0.00027714i,-0.00087762+0.00088601i,-0.00063736+0.00099964i,-7.4294e-05+0.00055148i,0.0004033-0.00025824i,0.00064762-0.00072097i,0.00021725-0.0011971i,-7.2311e-05-0.00067569i,-2.3696e-05+0.00040312i,0.00036412+0.00084655i
-0.00057466+2.26e-05i,-0.00024903+0.0010166i,0.00040547+0.0017924i,0.0009421+0.0013701i,0.0011004+0.001237i,0.00063575+0.0012902i,-0.00025984+0.0011056i,-0.00015973+0.00087429i,0.00021681+0.00027156i,-0.0001756+0.00014633i,-0.00055223+4.1087e-05i,-0.00084663-7.8619e-05i,-0.0007948-0.00053657i,0.00031921-0.00075936i,0.00065556+0.00018023i,0.00039506+0.0010327i,0.00061918+0.0011387i,0.00062823+0.00031911i,0.00026143-0.00038151i,-7.255e-05-0.0006143i,-0.00081912-6.6772e-05i,-0.00055404+0.00099863i,0.00015494+0.0012712i
0.00053905+0.0012491i,-3.8318e-05+0.00031031i,-0.00017771-0.00077594i,-0.00064822-0.00061026i,-0.00097379+1.8629e-05i,-0.00056377+0.00082302i,-0.00019927+0.001074i,0.00017419+0.00083339i,0.00054701+0.00067383i,0.00051201+0.00039386i,9.6763e-05+0.00083241i,-0.00027498+0.00082081i,-0.00028611+0.001054i,-0.00091204+0.0012067i,-0.0011191+0.00052343i,-0.00046036+2.4548e-05i,-0.00037397-6.8211e-05i,-0.00055116-0.00072688i,-0.0002299-0.00093541i,0.0001109+3.561e-05i,-4.9957e-05+0.00055952i,0.00037099+0.00044125i,0.00014626+0.00013459i
-0.0010726-7.6045e-05i,-0.0006555+0.00069757i,-0.00083658+0.0021699i,-0.00046263+0.0027377i,0.00020038+0.0021346i,-0.00026065+0.0010437i,-0.0003781+8.5947e-05i,0.00011159-0.00023799i,0.00033717-0.00042389i,0.0004228-0.00049484i,0.00067158-0.00044077i,0.00068374-0.00073052i,0.00083127-0.00070601i,0.00096158+0.00018412i,0.00085482-0.00060854i,0.00094626-0.0012787i,0.0006298-0.00065682i,-2.2559e-05-0.00040188i,6.0421e-05-0.00031599i,-6.5255e-05+9.9914e-05i,-9.1175e-05-0.00014483i,0.00079346-0.00027764i,0.00063835-0.00035313i
0.0011116+0.0008397i,0.00070981+0.00073959i,0.0014726+0.00068656i,0.0021779+0.00028952i,0.00083302+0.00019838i,-0.00059444+0.00088998i,-0.00059374+0.0014105i,0.00017115+0.00096724i,0.00049397+0.00046076i,0.00017363+0.00055554i,8.3277e-05+5.1881e-05i,-0.000813-0.00079045i,-0.00078648-0.00027599i,3.9894e-06+0.00098394i,-0.00019715+0.00097864i,5.9555e-05+0.00043505i,0.001083+0.00030906i,0.0009099+0.00015982i,5.8399e-05-3.939e-05i,0.00013592+0.00035647i,0.00014682+0.00091119i,0.00041669+6.3141e-05i,0.00055235-0.00026542i
-0.00043639+0.00032933i,-0.0011351+0.0011198i,-0.00092123+0.0015551i,-0.0011941+0.0014828i,-0.0016049+0.0016048i,-0.0014928+0.0023127i,-0.00091973+0.0023526i,-0.00031117+0.0011993i,0.00017366+0.00069234i,0.0006107+0.00075512i,0.00023418+0.00037444i,-0.00061929-0.00015714i,-0.00067816-7.4421e-05i,-0.00047843-6.6325e-05i,-0.00016666-0.00057942i,7.2946e-05-0.00063636i,0.00016399-0.00015999i,-1.6009e-05-3.4153e-06i,-0.00018327-0.00025676i,-0.00015195+0.00032839i,-0.00014791+0.00044395i,3.1168e-05+0.0003602i,2.3751e-05+0.00031252i
-4.0057e-05+0.00021716i,0.00032648+0.00057524i,0.00053391+0.0010011i,0.00067792+0.0011183i,5.6234e-06+0.0012532i,-0.00048368+0.0014769i,2.3073e-05+0.00092385i,-0.00018466+0.00062113i,-0.00013965+0.00079999i,2.8784e-05+0.00068001i,-0.00010069-8.2522e-05i,-0.00084986-0.00062025i,-0.00065451-0.0014336i,0.00015667-0.0013116i,-0.00023159-0.0002827i,-0.00052368-0.00023173i,-0.00045832-0.00023536i,-0.00045489-0.00033125i,-0.00017065+0.00015596i,0.00029163+0.00040463i,0.00065882-0.00035838i,0.00087761-0.00016922i,0.00074819+0.00048728i
0.00016109-0.0012855i,-0.0011228-0.00017347i,-0.00083655+0.0010346i,-0.00064279+0.001736i,5.4142e-05+0.0013488i,0.00027661+0.0012051i,-9.6308e-05+0.00082078i,-0.00039627+0.00034649i,-0.00017048-0.00034003i,0.0001307-0.00042742i,4.0077e-05+0.00061118i,-0.00043265+0.00090609i,-0.00038896+9.6221e-05i,-0.00044316-0.00017438i,-0.0003641+0.00035359i,0.00025847+0.00082283i,0.00042913+0.00022239i,0.00090526-0.00051394i,0.00088353-0.00039837i,0.00044443-0.00019758i,-0.00020137-0.00017883i,-0.00072743-0.00012401i,8.4184e-05-0.00018279i
-0.00063062+0.00040816i,-0.00065123+0.00065445i,-0.00019526-0.00037793i,-0.00016052-0.000569i,-0.00013407-0.0003344i,-0.0010866+0.00048136i,-0.0017863+0.00125i,-0.00032326+0.00057664i,0.0011684-0.00014069i,0.0013249+0.00065632i,0.0004016+0.0010878i,-0.00068392+0.00054209i,-0.00059405+0.00056321i,-0.00046364+0.00023322i,-0.00019325+0.00014707i,0.00019024+2.9266e-05i,-0.00017183-7.3326e-05i,-0.0005571-3.869e-05i,-0.00030775-0.00084987i,-0.00017168-0.00085007i,-2.8072e-05-2.2831e-05i,-0.00016971+0.00027453i,0.00010121+0.00031328i
-0.00055327+0.001576i,-0.0010216+0.0014909i,-0.001183+0.0011251i,-0.00080373+0.00083507i,-0.00010772+0.000594i,0.00013974+0.00078495i,-0.00063386+0.00078002i,-0.0013802+6.3872e-05i,-0.00076687+0.00052728i,5.6046e-05+0.00051635i,0.00066213-0.00042326i,0.00035235+0.00010868i,-9.8305e-05-7.2423e-05i,0.00030464-0.00015754i,0.00029248+0.00066565i,8.8019e-05+0.00097527i,-4.5786e-05+0.0012642i,-0.00043733+0.0015272i,-0.00041779+0.00017985i,0.00018318-0.0010939i,0.00029683-0.00086319i,3.3484e-05-0.00049285i,0.00013141-0.00045215i
0.0011701-0.00072682i,0.00029892-0.0014749i,-0.00038374-0.0014175i,-0.001016+0.00062434i,-0.0011699+0.0016615i,-0.00092654+0.0013765i,-0.00062193+0.0012141i,-0.000123+0.00058518i,0.00034408-0.0010021i,0.00085461-0.00093528i,0.00032079+5.3228e-05i,0.00045055+0.00061713i,0.00044012+0.00060421i,-0.00012325+0.00035052i,-0.00067984+0.00047879i,-0.00054657+0.00032871i,-0.00041243+0.0004503i,-0.00023964+0.00054631i,0.00028236+0.00040461i,0.0001207+0.00046773i,-0.00012026+0.00013116i,-0.00047532-0.00036794i,-0.00024245+0.00031824i
-0.00014847+9.7903e-05i,-0.0013744+0.00048521i,-0.00072842-0.00070472i,-9.7931e-05-0.0012297i,-0.00058779-8.0617e-06i,-0.00051124+0.0019203i,-0.00010483+0.0024871i,0.00028454+0.00072335i,0.00016411-0.00050684i,6.2822e-05-0.00026476i,-2.8493e-05+7.2304e-05i,0.00050999+0.0002918i,0.0007048+0.00074325i,0.00039959+0.0013915i,1.9956e-05+0.0015278i,0.00024117+0.00088732i,-7.673e-05+0.00031738i,-0.0011604+0.00055454i,-0.00097361+3.3889e-05i,-0.00018912-0.00045036i,0.00054695-0.00057486i,0.00092155+0.00063698i,0.00065503+0.00085871i
-0.0017355+0.0013851i,-0.00040693+0.0017647i,0.00086099+0.0031012i,0.00070749+0.0028723i,0.00014454+0.0010807i,9.7626e-05-1.1466e-05i,-4.0268e-05+0.00010704i,-4.7154e-05+0.00026856i,0.0002449+0.00043804i,4.9872e-05+0.0007608i,-0.00049626+0.00069692i,-0.00074694-0.0003835i,7.1239e-05-0.0011648i,0.0011424-0.00094704i,0.0014555-0.00070092i,0.0011323+1.5632e-06i,0.00038787+0.00080037i,-0.00052345+0.00055873i,-0.0005274-2.0018e-05i,-0.00035733+0.00015384i,0.00017583+0.00025358i,0.00057307+8.1409e-05i,-0.00024444-0.00015449i
0.00039905-0.00013841i,-9.7835e-05-0.00019733i,2.8046e-05-3.1582e-06i,0.00016563+0.0005312i,-0.00046636+0.00076006i,-0.0013283+0.0015101i,-0.0014842+0.0021501i,-0.0010946+0.0017421i,-0.00091941+0.00047715i,-0.00087356+2.9047e-05i,-0.00064486+0.00011261i,-7.8016e-05-0.00034709i,8.4738e-05-0.00048552i,6.2804e-06-0.0006221i,4.0788e-05-4.8884e-05i,-6.0141e-05+0.00043114i,0.00028341+0.00078181i,0.00057655+0.00091196i,0.00057983+0.00062156i,0.00039834+0.00054936i,5.6899e-05+0.00068304i,-0.00016168+0.00087984i,-0.00065511+0.00054153i
-0.00050009+0.0017642i,-2.2173e-05+0.0018565i,0.00049432+0.0017506i,0.00038899+0.001446i,2.8373e-05+0.0013135i,-0.00039673+0.0012062i,0.00022175+0.0015594i,0.0010385+0.0014946i,0.00043929+0.00045032i,-5.4616e-05-7.2014e-05i,0.00054224+6.5455e-05i,0.00033835+0.00011554i,-1.624e-05-0.00017534i,-1.0092e-05-0.00040595i,-0.00026214-0.00022419i,-0.00059922-0.0002324i,-0.0010472+9.1693e-05i,-0.00042149+0.00048325i,0.00013916+0.00035566i,0.00018716-0.0003916i,0.00014397-0.00034429i,-0.00018511-0.0001956i,-0.0001692-0.00031921i
