-0.0052664+0.0020483i,-0.0033761+0.0020638i,-0.0032391+0.0015838i,-0.0027181+0.00015773i,-0.001935+0.00063441i,-0.0016749+0.0022771i,-0.00056357+0.0023871i,0.00090307+0.002099i,0.0017855+0.0014174i,0.0019649+0.00065449i,0.0011791+0.00021396i,0.00048219-0.00047744i,0.00087965-0.00097941i,0.00027317-0.0012556i,-0.00056534-0.0013412i,-0.00070833-0.00027937i,-0.00072136+9.5209e-05i,0.00034923+3.2446e-05i,0.00059933+0.00015371i,1.4667e-05-0.00065927i,-7.3322e-05-0.00093147i,-0.00052965-0.00035684i,-0.00064467-3.6714e-05i
-0.001388-0.0016462i,-0.0011828-0.00055142i,-0.0021307-0.0008507i,-0.0023272-0.00086813i,-0.0019868+4.2631e-05i,-0.0014112+0.00044943i,-0.00044266+8.5459e-05i,0.0001309-0.00029233i,0.00082643-0.00071035i,0.00074462-0.00050457i,-0.00021213+0.0004646i,-8.3998e-05+0.0006701i,3.97e-05+0.00049023i,-0.00054776+0.00080023i,-0.00019043+0.00056896i,-3.4742e-05-0.00026963i,-0.00044041+1.5071e-05i,-0.00053296+0.00050919i,-0.00096447-9.7462e-05i,-0.000657-0.00040121i,0.00012379-0.00012098i,0.00020224+1.6811e-05i,-0.00016594+0.00015898i
-0.00069062-0.00052128i,-0.0011823-0.00047881i,-0.001798+0.00059601i,-0.0013346+0.001202i,-0.00084041+0.00098063i,-0.00072169+0.00082003i,-0.00088556+0.0002479i,-0.00038778-0.001645i,9.7189e-06-0.0020261i,0.00072017-0.0010706i,0.0011603-0.000276i,0.00064281+0.00020647i,0.00062914+0.00052144i,0.00039072+0.00036075i,-0.00070399+7.7446e-05i,-0.00071032+1.7035e-05i,-0.0004002+0.00013023i,-4.4099e-05+2.1055e-07i,0.00073893-0.00054462i,0.00088302-0.00056418i,0.00051136-0.00020654i,-0.0001846+0.00057323i,-0.00031253+0.00095597i
-0.00061327-0.0011196i,-0.0010637-0.0014713i,-0.00088095-0.0024521i,-0.0001425-0.0019205i,6.1281e-05-3.9546e-05i,-0.00021388+0.00042759i,-0.00073882-0.00070487i,-0.00079122-0.0016224i,-0.00062273-0.0020253i,-0.00063411-0.0019728i,-0.00067227-0.00089717i,-0.00051649+6.1291e-05i,-0.00037566+0.00086702i,-7.3639e-05+0.00070232i,-0.0004406-0.00061904i,-0.0010516-0.00033296i,-0.0011305+0.00047488i,-0.00052205-0.00012478i,0.00033396-0.00067337i,0.00096584-0.0010532i,0.000511-0.00091744i,-0.00018749-0.00023289i,-4.1338e-05+0.00047202i
-0.0012904-0.0013848i,-0.0013692-0.00048488i,-0.0012971+0.00046039i,-0.0015299+0.00034761i,-0.0012215+0.00053695i,-0.00021346+0.00051514i,-0.00069303+2.5994e-05i,-0.0017016-5.9755e-05i,-0.002362+0.00030239i,-0.0019647-2.0416e-05i,-0.0011271-0.00048176i,-0.00033151-0.00056402i,0.0006044-0.00091914i,0.00056238-0.0005434i,0.00015209+2.009e-05i,-0.00057318+0.00074279i,-0.001549+0.00059193i,-0.0008569-0.00025095i,0.00036339+0.00034083i,0.00041203+0.00081361i,0.00016655+0.00023232i,0.00040537-0.00027242i,0.00078611-0.00057488i
8.2791e-05+0.00056826i,0.0011543-0.00015112i,0.00077678-0.00045727i,0.00074766-0.0012462i,0.0015351-0.0014267i,0.0009692-0.0013736i,-0.00055237-0.00036483i,-0.0008498+0.0015083i,-0.00064654+0.0021455i,-0.0008398+0.0015445i,-0.00046984+0.0003024i,0.00037422-0.00039742i,0.00024199+3.0044e-05i,-5.1572e-05+0.00054362i,-0.00053975+0.00070409i,-0.0011783+0.00051406i,-0.00035387+3.7688e-05i,0.00036126+0.00018887i,-9.5864e-05+0.00060633i,-0.00036583-0.00015109i,-0.00068028+8.377e-05i,-0.00056575+0.00039432i,-0.00018505+2.5758e-05i
-0.00016605-0.00033739i,-0.00035002-8.8427e-05i,-0.0010756-0.00017179i,-0.001414-0.00099424i,-0.0011063-0.0020588i,-0.0011149-0.00096152i,-0.00059078+0.00035477i,0.00085462+0.00067003i,0.0013939+0.00052552i,0.001259-0.00016862i,0.0011009-0.00024459i,0.00096819-8.9913e-05i,0.0006174-0.00035874i,-0.0001147-0.00028073i,-0.00035097-0.00039347i,0.00046176-0.00058885i,0.00050943-0.00019526i,-0.00010806-0.00016403i,-0.00053864-0.00057962i,-0.00051048-0.00037559i,-0.00012889-0.00050904i,-1.4201e-05-0.00040882i,-0.00010961+0.00010684i
-0.001029+0.00083641i,-0.00082408+0.00047845i,-1.915e-05+0.00061724i,0.00030936-0.00025839i,-0.00045762-0.00038414i,-0.0011399+0.00048494i,-0.00036504+0.00043526i,0.00062265-0.00042369i,0.0010447-0.001433i,0.001092-0.0014732i,0.00079851-0.00060171i,0.0001254+0.00060439i,-0.00037253+0.00075131i,3.4036e-05+0.0002491i,0.00026276-0.00016691i,0.0006206-3.0296e-05i,0.00082611-2.2623e-05i,0.00028831-7.2366e-06i,6.0798e-05-0.00027263i,-0.00042074-0.0002295i,-0.00044506-0.00019779i,0.0002563+9.1842e-06i,-0.00029193+0.0010089i
0.0015724-0.0015064i,-0.00036128-0.001217i,-0.0014569-0.0015519i,-0.0015501-0.0021363i,-0.00090696-0.0015495i,-0.0006313-0.00038375i,-0.0006354-0.00026299i,-0.0005393-0.00048795i,-0.00089692-0.00055594i,-0.00079821-0.00085479i,-0.00034683-0.00043946i,-0.00015493+0.00042433i,3.7702e-05+0.00061258i,0.00028034+0.0010055i,-9.9161e-05+0.0012761i,-0.00062316+0.00060579i,-0.00067127-0.00011127i,-0.00080169-0.00023352i,-0.00042616-8.6686e-05i,-0.00010302+0.00023649i,-0.00031476+0.00059866i,-0.00014518+0.0001768i,0.00060416-0.00088719i
0.003702+0.00064622i,0.0029084-0.0008616i,0.0018571-0.002054i,9.4893e-05-0.0034539i,-0.0006768-0.0032312i,-0.0013627-0.0016429i,-0.0023179-0.0003844i,-0.0020173+0.00029144i,-0.0012629-0.00014803i,-0.0015133-0.00062137i,-0.0019187-0.00091512i,-0.0010684-0.00067791i,0.000283-0.00041092i,0.00070517-0.00040979i,0.00082296+0.00016015i,0.00029687+0.0004441i,-0.00018851+0.00011893i,-0.00025491+0.00018405i,-9.9155e-05-0.00022522i,-0.00015141-0.00044159i,-9.8209e-05-4.466e-05i,0.00071351+0.00041766i,0.0003243+0.00041027i
0.0003298+0.00054497i,0.00046278+0.00019612i,0.00022649-0.00015424i,7.5782e-05-0.00019771i,0.00013017-0.00048124i,1.3275e-05-0.00076809i,-0.00052208-0.00027333i,-0.00065446-8.6604e-05i,-0.0010726+0.0004997i,-0.001472+0.0012666i,-0.0010614+0.00095186i,-0.0003819-0.00033843i,0.00015103-0.00047249i,0.00043846-0.00011552i,0.0003106-0.00015672i,0.00011446+5.8491e-05i,-6.2901e-05+0.00021191i,-0.00044129-3.4135e-05i,2.0622e-05-0.00092349i,0.00029078-0.00061177i,0.00017452-0.00011292i,0.00027951+0.00010451i,0.00044532+0.00022968i
-0.00148-0.0001318i,-0.00098056+0.00033043i,-0.001712+0.00027262i,-0.0018965-0.00056546i,-0.00092036-0.00055012i,-0.00059122-0.00022481i,-0.00018778+0.00025251i,0.00035337+0.0019057i,0.00010311+0.0016884i,-0.00034229+0.00011575i,0.00017413+5.3504e-05i,0.00060006+0.00021198i,-0.00024311-0.00036678i,-0.00015118-0.00037i,0.00043376+0.00034003i,-0.0001612+0.0007273i,-0.000983+0.0010774i,-0.0016523+0.00024476i,-0.00073722-0.00057545i,0.00055239-0.00015684i,0.00061051+0.00022977i,0.00049242+0.00060713i,0.00045101+0.00070349i
0.00084472-0.0013718i,0.00059224-0.0030821i,-0.00025479-0.0031544i,-0.001476-0.0024712i,-0.0021907-0.0013395i,-0.0015986-0.00033786i,-0.00029635-2.6096e-05i,0.00054663-0.00027144i,0.0012509-0.0010854i,0.00044246-0.0013587i,-0.00048908-0.00056464i,-0.00043629+0.00050839i,-0.00088437+0.00078775i,-0.0005351+0.00024581i,0.00059907-0.00023808i,0.0011061-0.0007948i,0.0003478-0.00068454i,-0.00065818-0.00079086i,-0.00060272-0.00054584i,-0.00022681+0.00019571i,0.00018588+0.00036765i,0.00077399+0.000171i,0.00067548-0.00020532i
0.0020753+0.0010146i,0.0016776+0.0003612i,0.0014724-0.00049483i,0.00038451-0.0016609i,-0.00096316-0.0017194i,-0.0010676-0.0010372i,-0.00069888-0.00067344i,-0.00064137-0.00075616i,-0.00027994-0.0012281i,0.00064269-0.0013278i,0.00108-0.001127i,0.00050723-0.0008379i,-0.00050404-0.00028144i,-0.00071209+1.1697e-05i,-0.00031505-7.2025e-05i,0.00015284+5.0297e-05i,0.00027858+0.00032255i,8.7482e-05+0.00014139i,0.00015058-0.00057732i,0.00026487-0.00077138i,0.00061698+0.00011466i,0.00046045+2.4469e-05i,-0.00012975-0.00053192i
0.0002989-0.0013196i,-0.0010923-0.0016434i,-0.0014989-0.0015275i,-0.001939-0.0016489i,-0.0015869-0.00084702i,-0.0014342-5.8198e-05i,-0.0011968-0.00044938i,-0.00033831-0.00051643i,-0.00025696-0.0009176i,-0.00090822-0.0012978i,-0.00063718-0.00068184i,0.00018029+0.00022906i,-0.00035356+0.00087123i,-0.00085708+0.00061546i,-0.00031718+1.0938e-05i,-0.00022937-0.00065727i,-0.00063843-0.00061313i,-0.00079724-0.00038803i,-0.00079304-0.00013563i,-0.0005411-0.0007684i,-9.2972e-05+3.0901e-06i,-0.00033659+0.0012424i,-0.00051785+0.00073993i
-0.00065226-0.0025808i,-0.00033509-0.0021994i,-0.00062474-0.0018378i,-0.0014871-0.0011964i,-0.0021857-0.00035996i,-0.0020939+0.00011128i,-0.0020125-0.00025784i,-0.0021723-0.00057598i,-0.0017567+0.00024763i,-0.0014037+0.00086149i,-0.0010021+0.00053578i,-7.3452e-05-2.4938e-05i,0.00043697+3.3418e-05i,0.00060634+0.00016317i,0.0001897+0.00045935i,-0.00017193+0.00049942i,0.00029009+0.00026741i,-7.3223e-05+0.00012419i,-0.00052212+0.00015776i,-0.00046537-4.6573e-05i,0.00021266-0.00083679i,0.001035-0.00066772i,0.00054735-8.4327e-05i
0.0013958+6.7794e-05i,0.00099865-0.0012613i,0.0011509-0.0018411i,0.00081911-0.0018262i,-0.00027346-0.0017111i,-0.00058106-0.0007477i,-0.0012266+0.0005736i,-0.0017442+0.0013245i,-0.0014776+0.00087191i,-0.00090659-3.2718e-05i,-0.00059963-0.00040303i,-0.0006245-0.00076322i,-0.00037056-0.00078868i,-0.00014957-0.00032784i,1.9094e-05+0.00022103i,7.8615e-05+0.00098116i,0.00046165+0.0014319i,0.00089069+0.00080116i,0.00033172+0.00029482i,7.1912e-05+0.00010537i,0.00027718-0.00012083i,-6.0785e-06-0.00012806i,8.0798e-05-0.00054255i
0.0013876-0.0024461i,-0.00022394-0.0021191i,-0.00039423-0.0016643i,-0.0011084-0.0019471i,-0.0023136-0.0020246i,-0.001665-0.00042137i,-0.00035703+0.00049919i,0.00055528+0.00056474i,0.001365+0.00081939i,0.000824+8.2775e-05i,-0.00030525-0.00021856i,-0.00058122-0.00028604i,-0.0001759-0.00012921i,0.00032459+0.00030168i,-1.9773e-05+0.00020356i,-0.00093036+0.00024444i,-0.00054203-0.0001142i,0.00038641-0.00020976i,0.00010803+0.00027821i,-0.00045664+0.00067876i,-0.00078997+0.0011442i,-0.00055284+0.00091822i,0.00011314-0.00015845i
-0.0032424+0.00085892i,-0.0020786+0.00099405i,-0.0017329-9.2326e-05i,-0.0020451-0.00072146i,-0.0011968-6.6286e-05i,0.00063054+0.00048742i,0.0012362+0.0001751i,0.00015094-0.00046764i,-0.00072079-0.00056487i,0.00013714-0.00043955i,0.0014361+0.00020086i,0.0011231+0.00027901i,-0.00019913-0.00015941i,-0.00061455-0.00031238i,-0.00073475-4.7204e-05i,-0.00056181-2.2935e-05i,0.00042229-0.00035667i,0.00070916+0.00032134i,-0.00010337+0.0013412i,-0.00027526+0.0011594i,-0.0001445+0.00075713i,-7.2173e-05+0.0003855i,0.00017159+0.00033423i
-5.6127e-05+0.00062871i,-0.00016299+0.00048328i,-0.00074855+0.00096637i,-0.001674+0.00063066i,-0.001116+0.00049351i,0.00015644+0.00059046i,7.9417e-05-0.00018336i,-0.00052511-0.00081733i,-0.00064927-0.0017824i,-0.0006051-0.0017263i,0.00026792-0.00070278i,0.00043543-0.00060992i,9.8844e-05-0.00029877i,-0.00028121-0.00021816i,-0.00054548-0.00043369i,-0.00024454+0.0007658i,0.00019866+0.00090466i,3.5664e-05+0.00031307i,-0.00040363+0.00052884i,-0.0002563+1.7667e-05i,-5.4212e-05+0.00045544i,0.00034828+0.00087551i,0.00046884+0.00068719i
0.0013006-0.00018695i,0.00024467-0.0011205i,-0.00097923-0.0020432i,-0.0021992-0.001588i,-0.0026425-0.0014184i,-0.0017463-0.0015067i,-0.00077321-0.0010254i,-0.00079319-0.00035663i,-0.0014527-0.0001188i,-0.0010155-0.00020812i,-0.00098419-0.00035538i,-0.001177-0.00073746i,-8.747e-05-0.0005448i,0.00081708+0.00018566i,0.0010699+0.00037338i,0.00065348-0.000479i,0.00013508-0.00071985i,9.9177e-05-0.0001217i,-0.00018893+9.1308e-05i,-7.9688e-05-0.00018957i,0.00025783-0.00022984i,1.2439e-05-0.00015134i,-0.00051862-0.0004175i
0.00048784-0.0029295i,-9.4412e-05-0.0019352i,-0.00096122-0.0013241i,-0.00047335-0.0014903i,-0.0006035-0.0013591i,-0.0012675-0.00023172i,-0.00090877+0.00087299i,-0.00057377+0.0014604i,-0.00023623+0.0013737i,0.00015279+0.00039118i,0.00041297-3.4136e-05i,-1.1741e-05-0.00025964i,-0.0010178-0.00052964i,-0.0012153-0.00084005i,-0.00076822-0.00067699i,-0.00059604-0.00018764i,-0.00047586+0.00012652i,-0.00020799+6.7637e-05i,0.00016301-0.00038447i,1.4951e-05-4.3894e-05i,-0.0003022+0.00053385i,3.771e-05+0.00062752i,0.00038521+0.00054948i
0.0004009+0.00069622i,-0.00015051-0.00026647i,-3.6139e-05-0.0016794i,-0.00050969-0.0026951i,-0.0013249-0.0018771i,-0.0017066-0.00060055i,-0.0015257+0.00039696i,-0.0011248+0.0011066i,-0.00080119+0.00044981i,0.00021654+7.98e-06i,0.00048352+0.00030945i,5.3115e-05+0.00014936i,0.00011234+0.00078168i,-0.00078983+0.00059954i,-0.0016269-0.00029043i,-0.0014652-5.5148e-06i,-0.00084212+7.571e-05i,-0.00047181+5.2743e-05i,-4.0698e-05+0.00023525i,0.00063296+0.00013722i,0.00037345+0.00052859i,-3.9726e-05+0.00085855i,0.00018128+0.00078306i
0.00037055+0.00025116i,0.00068638-7.3275e-05i,0.00089404-0.00063495i,0.00079276-0.0015986i,0.00085031-0.0018439i,0.0005733-0.0014511i,0.00041133-0.00059121i,0.00071464+0.00012377i,0.00049828+0.00023467i,0.00030904-0.00012628i,0.0012385-0.00032803i,0.0008836+0.00045494i,-0.00016041+0.0013164i,-0.00074027+0.00095044i,-0.00061672+0.00045483i,-0.00023948-0.00013663i,0.000145-0.00066232i,0.00022984-0.0002599i,-3.7968e-05+8.8805e-05i,-0.00031344-9.1862e-05i,8.4163e-05-8.0333e-05i,9.3969e-05-0.00010084i,0.00010162-0.00061337i
0.001535-0.00084366i,0.00035555-0.0017046i,-7.6056e-05-0.0026619i,-0.00052879-0.0025314i,-0.0014003-0.0013609i,-0.0020075-0.00047701i,-0.0017177-0.00032387i,-0.00063569-0.00028796i,-6.5274e-05-7.7695e-05i,3.2023e-05-4.0399e-05i,0.00059146+0.00073333i,0.0010061+0.00092292i,0.0012751+0.00021833i,0.00099531+0.00045841i,0.00079683+0.00016763i,0.001055-0.00028626i,0.00043629+0.00029209i,-0.00035577+0.00045596i,-9.1554e-05+0.00048164i,0.00086954+0.0005988i,0.00085624+0.00083882i,-0.00030855+0.00091848i,-0.00059779+0.00042154i
0.0011084+0.00035509i,-0.0011602-0.00036945i,-0.0015538-0.0015837i,-0.0014728-0.0017401i,-0.00098142-0.00075631i,-0.00022426+3.9368e-05i,-0.00082198-0.00050223i,-0.0011095-0.00064478i,-0.00058591-0.00029867i,-0.00053946-0.00011589i,-5.7926e-05-0.00039556i,0.00057715-0.00040628i,-8.5902e-05+0.00023208i,-0.00079026+0.0011752i,-0.00072743+0.00042387i,-0.00075911-0.00058115i,-0.0015108-0.00080755i,-0.0013759-0.00065597i,-0.00023062-0.00068551i,-7.7708e-05-0.00029462i,-0.00037891+0.00029996i,-0.00038629+0.00011811i,-0.00023233+0.00016768i
-0.00024804+0.00058928i,0.00010846+0.00084875i,0.00039812+0.00083085i,0.00024151+0.00087796i,7.8534e-05+0.00023383i,0.0002394-0.00088027i,-0.0003815-0.0017855i,-0.0010126-0.0014959i,-0.00039061-0.00051877i,0.00030885+0.00042554i,0.00074147-0.00050734i,0.00070486-0.0015192i,0.00012184-0.00071101i,0.00016197-0.00021337i,-0.0002442+0.00018323i,-0.00074041+0.00074229i,-0.00074165+0.00075198i,-0.00051539+0.0007742i,-5.0665e-05+0.00010665i,-0.00057608-0.00051457i,4.5377e-05+2.1135e-05i,0.00069379+0.00042072i,0.00026048+0.00035391i
-0.00013508-0.001359i,-5.3786e-05-0.00070848i,-5.2613e-05-0.00078864i,-0.0006806-0.001545i,-0.0013181-0.0014222i,-0.0018237-0.00056693i,-0.0018535+0.00020129i,-0.00087851+0.00017494i,-0.00012307+0.00034616i,5.3993e-05+5.5111e-05i,-0.00012179-0.00026528i,-0.00040739-0.00036883i,-0.00040274-0.00030002i,-0.0010704+0.00010751i,-0.0010236-2.1344e-05i,-0.00036686-0.00046798i,-0.00012342+0.00039433i,-8.7288e-05+0.0012025i,-2.5489e-05+0.0008129i,-0.00091085+0.00037929i,-0.0011993-1.4022e-05i,9.2867e-05-0.00035413i,5.6495e-05-0.00042555i
0.001767-0.0007162i,0.0028298-0.0021714i,0.002595-0.0026543i,0.001587-0.0029914i,0.00095294-0.0030711i,-4.2986e-05-0.001856i,-0.0012836+2.6407e-05i,-0.0014554+0.0011308i,-0.00051453+0.00061432i,0.00045104+0.00015462i,0.00033459+0.00011383i,0.0002946-6.6549e-05i,7.5721e-05-0.00020065i,-0.00078079-0.00030179i,-0.0010228-4.0249e-05i,-0.00058851+0.00023693i,-0.00030802+3.3687e-05i,0.00016436+6.7779e-05i,0.00081148-1.806e-06i,0.0010959-9.9512e-05i,0.0010584+7.5467e-05i,0.00098369+0.00039497i,0.00029501+0.00082871i
-0.00052979+0.0003732i,-0.0013165-0.00039435i,-0.0013332-0.0010701i,-0.0019106-0.0023366i,-0.0021013-0.0023403i,-0.0015299-0.00044813i,-0.00085407+0.00057967i,-0.00067985+0.00066835i,-0.0005858+0.00037912i,-0.00028051+0.00071716i,-0.00022122+0.0010554i,-0.00043286+0.00036733i,-0.00070665-0.00046554i,-0.00013266-0.00031845i,0.0001099-0.00068202i,-0.00043775-0.00077467i,-0.00067844+9.0059e-05i,-0.00068398+0.00019718i,-0.0010396+0.00011353i,-0.0008417+0.00076915i,1.9458e-05+0.0008532i,0.00015789+2.0476e-05i,-0.00029769-0.00037098i
0.00018349+0.0010773i,-0.00012415+0.00082819i,0.00021526-0.00083875i,-0.0001542-0.0022403i,-0.00022135-0.0022185i,0.00031532-0.0012967i,8.1753e-05-0.00028143i,-0.00024432+0.00018483i,-0.000504+0.0002011i,-0.00060317+0.00032334i,-0.00019953+0.00028069i,-9.139e-05+3.2009e-05i,0.00019551+3.3057e-05i,0.00026957+5.9043e-05i,-0.00084891-0.00018276i,-0.0016748-0.00063659i,-0.0010089-0.00073963i,0.00032396-0.00058235i,0.00094504-0.00067945i,0.00058336-9.9245e-05i,-0.00040674+0.00016694i,-0.00073069-7.1632e-05i,0.000392+5.6133e-05i
0.00080352+0.00026277i,-0.0001659+0.00091974i,-0.00075597+0.0007189i,-0.0013098+0.00076768i,-0.0017417+0.00045246i,-0.0019336+0.00015923i,-0.0018434-0.00085019i,-0.0015792-0.0014347i,-0.0009578-0.00038335i,-0.00017001+0.0006628i,0.00012293+0.00048002i,0.00046356-0.00042408i,0.0010259-0.00011891i,0.00086005+0.00041744i,0.00061453-0.00044671i,8.2797e-06-0.0010777i,6.8285e-05-0.00090243i,0.00013149-0.00016894i,1.6486e-05+0.00042961i,0.00042536-1.0951e-05i,0.00064473-0.00051615i,0.00047384-0.00070218i,0.00028076-0.00017624i
