-0.0014255-0.00023618i,0.00035244-0.00011015i,0.00072572+0.00098355i,0.00039586+0.0009792i,-3.605e-05+0.00025467i,0.00089412+0.0006022i,0.0012199+0.0006135i,0.00047613+4.6195e-05i,0.00047093+0.00011323i,0.00082073+0.00070837i,0.00079779+0.00080118i,0.00034371-0.00020989i,0.00025032-0.0011284i,0.00038763-0.0011973i,0.00068534-0.00090021i,0.00017105-0.00047552i,-0.00041283-0.00057527i,-9.9066e-06-0.00072951i,0.00044632-0.00042727i,0.00059404+6.1168e-05i,4.1887e-05+0.00028447i,-0.00047807+0.00048925i,-0.00085106+0.00054215i
-0.00091102+0.00032692i,0.00086858+0.00035366i,0.0016147+0.00051999i,0.00082987+0.00013232i,-8.2497e-05-0.00017404i,-0.00022359-0.00011736i,-0.00066898+0.00011024i,-0.00058056+0.00066591i,0.00042971+0.00070026i,-1.8639e-05-0.00014322i,-0.00065363-0.00032526i,-0.00090747-0.000133i,-0.00050564+1.158e-05i,0.00016691+0.00021634i,5.3345e-05+0.00057424i,4.9682e-05+0.00077745i,0.00047657+0.00043932i,0.00032468+0.00043193i,0.00028811-0.00010191i,0.00067506-0.00035377i,0.00034655+0.00015735i,6.8649e-05+0.00037018i,0.00049275+0.00030473i
-2.8706e-05+0.00073885i,-0.00029357+0.00056171i,-0.00029336-4.6839e-05i,0.00052168-0.00020497i,0.00065352+0.00028875i,-0.00026887-0.00010062i,-0.00050631-0.0011471i,0.00017825-0.0015784i,0.00079424-0.0012681i,0.00049422-0.00069034i,-0.00082566-0.00028881i,-0.0016238-0.00023446i,-0.0011022-0.00054634i,-0.0010973-0.00073345i,-0.0012357-0.00036134i,-0.00080646+2.4377e-05i,-0.00026405-0.00013303i,0.00058553-0.00076035i,0.00041081-0.0007542i,0.00014143-0.00031599i,0.00047245-0.00025702i,0.00067653+8.4227e-05i,-0.00020223+0.00033051i
0.0022498-0.00059969i,0.0017068-0.0014224i,0.0010909-0.0010068i,-5.1515e-05-0.00090446i,-0.0011432-0.00050546i,-0.0012853+0.0015045i,-0.00028224+0.0021307i,0.00094689+0.0014903i,0.00083611+0.00067259i,0.00036091-0.00017399i,0.00033209-8.016e-05i,3.5117e-05+0.0012525i,-0.00048242+0.0012903i,-0.00088714+0.00067935i,-0.00052431+0.00085036i,0.00035973+6.7222e-05i,0.00040857-0.0010063i,-2.5657e-05-0.00079778i,0.00040739-0.00016786i,0.0010425-0.00037713i,0.0010446-0.00057249i,0.00036115-0.00031307i,-0.00049544+0.00013104i
-0.00047781-0.0010707i,-0.00074416-0.00084411i,-0.00034864-0.00016325i,-0.00065782+6.1266e-05i,-0.00066885-1.7321e-05i,-0.00079398-0.00042298i,-0.00030981-0.00078853i,-0.00012571-0.00054249i,-9.003e-05-0.00088574i,0.00033334-0.00090367i,0.00048176-0.00032731i,0.00018263-0.00011725i,0.00025032+4.8988e-05i,0.00017872-3.5382e-05i,6.6641e-05-0.00088026i,0.00017429-0.0004635i,0.00029985+0.00062195i,0.00065651+0.00099823i,0.00073957+0.00069889i,0.0006158-0.00011739i,0.00010889+1.3305e-05i,8.8919e-05+6.0184e-05i,0.00063769+0.0001279i
0.0015614+0.0001223i,0.0014226+0.0006541i,0.0020996+0.00020459i,0.0011394-0.00055982i,-0.00020482-0.00085731i,-0.00013373-0.0012552i,9.0441e-05-0.00030669i,-0.00024036+0.00052035i,4.308e-05-0.00053988i,-0.00011507-0.00065967i,-0.00065934-5.5991e-05i,-0.00089291+0.00033614i,-0.00064542-0.00013066i,-0.00030463-0.00043067i,-0.00066782+0.00018124i,-0.00034823+0.00021224i,0.00059047-0.00040133i,0.00096331-0.00033103i,0.00085577-0.00042655i,0.00065167-0.00020349i,0.00023981+0.00080597i,9.0275e-05+0.00087278i,-0.00043641+0.00018261i
-0.0020806-0.0024029i,-0.0036423-0.0016024i,-0.0029635-0.00040579i,-0.0017037+0.0016238i,-0.00086728+0.0022809i,0.00072124+0.0020453i,0.000835+0.0012487i,0.00017372+0.00033561i,-0.00067735+3.3632e-05i,-0.0017483-0.0002876i,-0.0013198-0.00074794i,3.0053e-05-0.0002624i,0.00073282+9.1775e-05i,0.0010234+0.00048256i,0.00096597+0.00063933i,0.00024959+0.00082187i,-0.000762+0.00087747i,-0.00068323+0.00025403i,0.0002336-0.00034274i,0.00017924-0.00067094i,-0.00092877-0.00073826i,-0.0013157-0.00072379i,-0.00017229-0.00023195i
-6.5894e-05+0.00048585i,-0.00054088+0.00020524i,-0.00036775+0.00067403i,-6.769e-05+0.00077678i,5.7528e-05+0.00042823i,4.2634e-05+0.0001175i,8.6015e-05+0.00019632i,-0.00027006+0.00020972i,-0.00059827+0.00015125i,-0.00045941-0.00060627i,0.00019084-0.00091743i,0.00012998-0.00024156i,-0.00055687-0.00010479i,-0.00063673-0.00082947i,-0.00065317-0.0010872i,-0.00020437-0.00087415i,0.00045282-6.7175e-05i,0.000262+0.00085467i,-0.000183+0.0011752i,1.55e-06+0.0014336i,0.00022542+0.0013267i,-0.00035703+0.0005082i,-0.00039232-0.00013207i
-0.00034519-0.001158i,0.0001108-0.00072256i,0.00047686-0.00081279i,0.00098495-0.00089506i,0.001223-0.00081407i,0.00096188-0.00044085i,0.00099482+0.00073797i,0.0002829+0.0013121i,0.00037401+0.00063212i,0.0003261+0.00046124i,-0.00064912+0.00021993i,-0.00046978-0.00015084i,-0.00057137+3.0674e-05i,-0.00088927-0.00043427i,-0.00073718-0.0011785i,-0.00068272-0.00081543i,-6.0855e-05-0.00036367i,-0.00021303-0.00071353i,-0.0010037-0.00039732i,-0.00048978+0.00059753i,0.00023468+0.0003782i,0.00089196+3.6467e-05i,0.001271+0.00019954i
-0.00069117-0.00013905i,-0.00034007-0.00063044i,-0.0002232-0.0004953i,0.00014469+0.0001781i,0.00028266+0.00022626i,-6.7463e-05+0.00084654i,0.0003451+0.0013005i,0.00015153+0.00098752i,-0.00060295+0.00064773i,-0.00015458+0.0005998i,0.00076343+0.00048601i,0.00018739+0.00084665i,-0.00087946+0.0019331i,-0.00067764+0.0015152i,-0.00066558+0.00054663i,-0.00063336+7.3874e-05i,0.00027365-6.6268e-06i,0.00047936+0.00038157i,0.00052891+0.00050578i,0.00036115+0.00026112i,0.00033929+0.00039047i,0.00029122+0.0006932i,0.00040853+0.00039915i
0.0011418-0.00096339i,0.00086941-0.00029857i,0.00068468-0.0009111i,0.00051075-0.00074632i,-0.00023918+0.00031441i,-0.00077322+0.00052002i,0.00022295-0.00013846i,0.00089128-0.00035242i,0.00085384+3.9814e-05i,0.00033651-3.0881e-05i,-4.8222e-05+3.8562e-05i,-0.00071942-0.0003567i,-0.00060203-0.0005945i,0.00067835-2.1292e-05i,0.00087643-0.00012049i,0.00028073-7.5221e-05i,-0.00024169-0.00013778i,-0.00064264+6.8923e-07i,-0.00074608+0.00076743i,0.00022653+0.0012253i,0.00062016+0.00037749i,0.00028827-0.0001309i,4.3052e-05+0.0007265i
-0.0017311+0.0011719i,-0.00093391+0.0024995i,-0.00020573+0.0034106i,0.00015966+0.002359i,0.00075755+0.00021148i,0.00096981-0.00029722i,0.00019452+0.00059599i,-0.00056737+0.00092384i,-0.000697+0.00026696i,-0.00031593-0.00018587i,0.00031392-0.00071166i,0.00034043-0.00038209i,0.00023887+5.3326e-05i,6.8197e-07-0.00039591i,-0.00039329-0.00087055i,9.0012e-05-0.00060533i,0.00024705+0.00017859i,0.00037194+1.8183e-05i,0.00064506-0.00055266i,-0.00011342-0.00086099i,-0.00052419-0.00052198i,0.00041884-0.00020284i,0.00011888-8.6743e-05i
0.00077487-0.0015992i,0.00082271-0.0013016i,-0.00036699-0.0018822i,-0.00045582-0.001873i,-2.6858e-05-0.0012668i,0.0009204-0.00084807i,0.00177-0.00072232i,0.0010396-0.00072275i,-2.2072e-05-0.00068243i,-0.00094921-0.0004424i,-0.0012234-0.0002251i,-0.00061071+0.00034126i,1.9489e-05+0.00039614i,0.0001719+0.00052071i,0.00012124+0.00039569i,-0.00013793-0.00020139i,-0.00043824-0.00012451i,-0.00014302+0.00025928i,-0.00011936+0.00086398i,-8.5737e-06+0.00066761i,0.00017842+0.00013813i,-0.00055783+0.00045381i,-0.0010349+0.0010018i
0.00045411-0.0014896i,-9.4364e-05-0.0013209i,-0.0012785-0.0013827i,-0.0016152-0.00013199i,-0.00038808+0.0010257i,0.00087975+0.00037485i,0.00099981+0.00037249i,0.00040806+0.00023401i,-0.0001813+0.00011184i,-0.00079198+0.00061839i,-0.001149+0.00063496i,-0.00086412+0.00054727i,-0.00081007+0.00033638i,-0.00053191-0.00041025i,0.00065513-0.0009595i,0.00065226-0.00073057i,-0.00018213-1.231e-05i,-0.00062358+0.00084009i,-0.0006962+0.00032581i,-0.00063544+0.00029971i,-0.0001359+0.00089504i,9.085e-05+0.00096618i,-0.00026496+0.00081385i
-0.00031583-4.3232e-05i,-0.00011714+6.8947e-06i,-0.00021313+0.00056423i,-0.00040101-0.00016987i,-0.00030091-0.00039846i,0.00057449+3.375e-05i,0.0010526-5.5256e-05i,0.00035049-0.00022382i,-0.0004323-0.0006284i,-0.00085216-0.00041992i,-0.00060947+0.00031226i,-0.00056838+0.00072122i,-0.00031393+0.0004174i,-0.00033793+1.7268e-05i,-0.00042924-0.00044494i,0.00039931-0.00047325i,0.00044645-1.3442e-05i,-5.8532e-05+6.9888e-05i,0.00027655+0.00020147i,0.00031259+0.00051004i,0.00057357+4.5247e-05i,0.00099059-0.00038987i,0.00076734-0.00013566i
5.569e-05-0.0013197i,-0.00064395-0.0017309i,-0.00080968-0.00098423i,-0.00079812-0.00039561i,-0.00032109-0.00086771i,-0.00014378-7.7433e-05i,0.00050397+0.00099121i,0.00058334+0.00079293i,-0.00014665-0.00025159i,-0.00043473-0.00057951i,-0.00048341-0.00027789i,-0.00040869-8.7474e-05i,-0.00034133-0.00079513i,-0.00053144-0.0012117i,-9.7876e-05-0.0010813i,0.0002637-0.00077172i,-0.00015431-0.00077658i,0.00014074-0.00018762i,0.00043415+0.0010841i,0.00083968+0.0011097i,0.00060379+0.00076722i,-0.00049092+0.00092126i,-0.00045155+0.0008518i
0.00013334-0.00030162i,0.00011279+8.746e-05i,-0.00026294+0.00049926i,-0.00069194-0.00027382i,-0.00061635-0.00094436i,-0.00053299-0.00035294i,-0.0003842+0.00017917i,8.3374e-05+0.00019101i,0.00046147+0.00038242i,-0.0002893+0.00027655i,-0.0010915+4.7557e-05i,-0.00098631+0.00024563i,-0.0011592-0.00025i,-0.00068838-0.00032091i,0.00041041-0.00011411i,0.00018774-0.00026796i,-0.00019607+5.0581e-05i,0.00022768-5.6756e-05i,0.00056885-0.00031616i,0.00057341+0.00018396i,0.0003436+0.00044887i,-4.2787e-05+0.00066427i,-8.1363e-05+0.00054855i
-0.00096789+0.00032256i,-8.6435e-05+0.00041367i,-6.3663e-07+0.00084695i,-0.00061813+0.001084i,-5.8796e-05+0.0010671i,0.00068128+0.00052196i,0.00032308-0.00018515i,9.3889e-05+0.00014864i,-0.00035868+0.00061415i,-0.00036843+0.00072141i,-0.00035474+0.00050489i,-0.00044753+0.00027822i,-0.00027065-0.0001517i,-0.0007517-0.0011828i,-0.00049453-0.0010094i,0.00045778-5.6529e-05i,-5.5305e-05-3.188e-05i,-0.00071168-0.00028806i,-0.00075729-0.0003529i,-0.00073469-0.00040438i,-1.2923e-05-0.00017075i,0.00020926-0.00017405i,-6.8831e-05-0.00067247i
-0.0003549+0.0012561i,0.00074958+0.00077928i,0.0020237+0.0011089i,0.0020032+0.00086789i,0.0014816-0.00074224i,0.0010912-0.0012557i,0.00045858-0.00047309i,0.00033485+0.00036252i,0.00029395+0.0010571i,0.0001463+0.0011905i,-0.00017522+0.000905i,-1.3805e-05+0.00017336i,0.00040781-0.00045945i,0.00023348-0.00054748i,-0.00034166-0.00028186i,-0.00098479-0.00013121i,-0.00074277-0.00014482i,-0.00050793+4.6341e-06i,-0.00050403+0.00015792i,-0.00040498+6.7236e-05i,-0.00041389+0.00019267i,-0.00033651+0.00063755i,0.00028707+0.00051096i
-0.0014253-0.0017016i,-0.0013253-0.0010581i,-0.0019901-0.00072437i,-0.0020723-0.00016977i,-0.0017371+0.00127i,-0.00079913+0.0010259i,-0.00014357+0.00010391i,-0.00036816-1.7424e-05i,-0.00028334-0.0002595i,-0.00026465+3.6038e-05i,-0.00028912-3.1599e-05i,0.00012693-0.00052027i,0.00046447-0.0008478i,0.00017042-0.00054129i,0.00037008-0.0005246i,0.0013475-0.00066897i,0.00058062-0.00042375i,-0.00058531+0.00025669i,-0.00047196+0.00052477i,-0.00039127+0.00033779i,-0.00063977-1.5434e-05i,-0.0014938-3.1748e-05i,-0.0017219+0.00040033i
-0.0011024+0.00090619i,0.000258+0.00094749i,0.00070687+0.00035124i,0.0011475+0.00023243i,0.0012419-0.000254i,0.00048299-0.00054247i,6.88e-05-0.00024555i,0.00031283+0.00042843i,0.00082408+0.00024529i,0.0008576-0.00071731i,6.3547e-05-0.00025847i,-0.0012825+0.0002827i,-0.00096434-0.00082841i,0.00038638-0.001479i,0.00041595-0.00022204i,-0.00036052+0.00018606i,-1.9725e-05-0.00056831i,0.00032611-0.0012227i,0.00076887-0.0006837i,0.00041257+0.00047851i,2.7282e-05+0.00045589i,0.0006368+0.00037153i,0.00023158-0.00017784i
-0.00031773+0.0012802i,-0.00035833+0.0018868i,-0.00010787+0.0019107i,0.00073807+0.0016654i,0.00069323+0.0010437i,0.00032187+0.000448i,9.2017e-05+0.00023819i,-0.00010602+0.00010174i,-0.00049191+0.00019483i,-0.000666+0.00011192i,-0.0006283+0.00024549i,-0.001059+0.00011553i,-0.0007253-0.000526i,0.00038521-0.00076695i,-1.8476e-05-0.00049445i,1.2471e-05+8.3288e-05i,0.0001051+0.00041509i,-0.00033799+0.00026209i,-6.9053e-05-7.3421e-05i,-3.4832e-05-0.00027685i,-0.00038064-0.00097731i,-0.00038346-0.001049i,-0.00023489-0.0003677i
0.00028857-0.00092866i,0.0010779-0.00077041i,0.00063278-0.00011265i,0.00083359-0.00044833i,0.0012536-0.00085609i,0.00089547-0.00095708i,0.00029692-0.00076564i,7.2439e-05+0.00016208i,0.00017159+0.00061792i,0.00030592+0.0011034i,0.00078434+0.00063456i,0.0002996-0.0005324i,-0.00010321-0.00087641i,0.00065502-0.00060095i,0.0010932-2.002e-05i,0.00040656-0.00022102i,-0.00055302-0.00040329i,-0.00076297+0.00022542i,-0.00033713+0.00015107i,-0.00053591-0.00014943i,-0.00013245+0.00027615i,-3.0482e-05+0.00030364i,-0.00053088-9.0216e-05i
0.00066019+0.0012976i,0.0011445+0.00072157i,0.0010025-0.00021052i,1.6765e-05-0.00075915i,-0.0012367-7.3691e-05i,-0.0015879-7.8343e-05i,-0.0010774-0.0003437i,-0.00074931+9.5414e-05i,-0.00061572+0.00045785i,-0.00032967+0.00047846i,-0.00056823-0.00040935i,-0.0019665-0.00073489i,-0.0017182-0.00095866i,-0.00060211-0.0011181i,-0.0010322-0.00049918i,-0.00058238-0.00029751i,0.0007067+6.1094e-05i,0.000937+0.00028279i,0.00072941+0.00013122i,0.00042738+0.00016178i,-7.194e-05+0.00010593i,-0.00031237-1.9448e-05i,-0.00015341-0.00013867i
-0.0016134+4.3059e-05i,-0.0011543+0.00061762i,-0.00065841+0.0007886i,5.6711e-05-3.7454e-05i,0.0011671-0.00068666i,0.001252-0.00017678i,0.0011124+0.00041631i,0.000913+0.00038175i,-0.0001524+1.7669e-05i,-0.00045576-0.00051528i,-0.0004326+5.3227e-05i,-0.00089591+0.00022362i,-0.00030382-0.00024801i,-4.1558e-06-0.00026878i,-0.00067125-0.00062726i,-0.00087385+3.1275e-05i,-0.00036125+0.0012372i,-0.00024447+0.00097694i,-0.00043463+0.00039238i,-0.00038344-0.00011951i,9.9726e-06-0.00062977i,0.00024909-0.000488i,9.0172e-05+0.00025326i
0.0027023+2.4736e-05i,0.0020929-0.00027894i,0.001503-0.00026645i,0.0014636-0.00098853i,0.00019039-0.0015141i,-0.0004792-0.0013234i,0.00064266-0.00089392i,0.00025141-0.00035246i,3.9689e-05-0.000186i,0.00057483-0.00070186i,0.0002365-0.00030624i,-0.00017178-0.00013222i,-0.0007104-0.00049446i,-0.0011092-0.0007418i,-0.0010333-0.00081908i,-0.000481-0.00049576i,0.00020817+8.6959e-05i,-2.0048e-05+0.00068937i,0.00015938+0.00052958i,0.00049973+0.00014115i,0.00024102+9.3371e-05i,4.0454e-05+0.00050564i,-0.00018195+0.00042408i
-0.00054877+0.00088576i,-0.00077153+0.0010451i,-0.001768+0.0001153i,-0.0017242-0.00010904i,-0.00080624+0.00036801i,-0.00043823+0.00056482i,0.00066134+0.0006444i,0.0011105+0.00083869i,0.00075813+0.0007046i,0.00048161+2.6555e-05i,0.00047773-0.00047111i,0.00066733-0.00031139i,0.00026181-0.00034717i,-0.00048257-7.5583e-05i,-0.000367-0.00024483i,0.00035921-0.00044369i,7.5763e-05-2.1751e-05i,0.00018886+0.00071216i,0.00053793+0.00080699i,8.7687e-05-1.5029e-05i,-0.00060995-0.00040052i,-0.00056781-0.00072643i,7.5021e-05-0.00049088i
-0.00070973-0.0014765i,-0.001889-0.0013566i,-0.0011349-0.0017415i,-0.00055301-0.001639i,-0.000574-0.00093046i,-0.00024569+3.9475e-05i,0.00028681+0.00059112i,0.00064443+0.00043398i,0.00061577-0.00035829i,0.00063979-0.00051854i,-0.00022645-0.00026345i,-0.0010975-0.0005232i,-0.00054578-0.00052235i,0.00030662+0.00041156i,6.3979e-05+0.00060057i,0.00034457+0.0005787i,0.0007297+0.00069483i,0.00046858+0.00033945i,0.00031853-0.00028336i,0.00064894-0.00048632i,0.0011491-0.00024768i,0.00078223-0.00056034i,0.00040541-0.0006797i
0.00045153-0.0011404i,0.00072975-0.0012368i,-0.00037237+0.00023219i,-0.00087032+0.0014442i,-0.00048199+0.00097711i,-0.00063495+0.00017901i,-0.00072679+0.0003008i,-0.00044434+0.00063024i,0.00018111+0.00064359i,0.00010729+0.00065256i,-0.00069302+0.00058169i,-0.00085028+0.00023166i,-0.00020073-3.7411e-05i,-5.6015e-05+0.0001583i,-5.9923e-05+0.00010274i,-0.00026497+0.00039449i,-0.00044213+0.0010028i,-0.00079996+0.0011572i,-0.00080879+0.00049171i,-0.0004792-0.00021042i,-0.00067529-0.00035636i,-0.0011708-0.00075073i,-0.00014942-0.00028938i
-0.0005652+0.00091943i,0.0014695+0.0014436i,0.0017244+0.00070472i,0.00099265-0.00048733i,0.00064719-0.00043292i,9.6796e-05-0.00044091i,-5.5024e-05+1.5961e-05i,0.00011966+0.00033315i,0.00050432-0.00026464i,0.00062356-4.0535e-05i,0.00079462+0.00087834i,0.00044323+0.00088666i,-3.3907e-05+0.00015021i,9.6711e-05-7.3847e-05i,-0.00033698+0.00050213i,-0.00060761+0.00068825i,0.00025592+0.00020248i,0.00046932-0.00034969i,0.0001903-0.00016914i,0.00013311+0.00061896i,5.1734e-05+0.00085275i,0.00066927+0.0004852i,0.00054461+0.00042084i
0.00085488+0.00081523i,0.000559+0.00023983i,0.00048516+1.8749e-05i,0.00036228-0.00061819i,-0.00069063-0.0014221i,-0.0010949-0.00087929i,-0.00091037-0.00041337i,-0.0001904-0.00056859i,-0.00017215-0.0007891i,7.3991e-05-0.00031615i,0.00024192+0.00055776i,-0.00069382+0.00041449i,-0.0013503+0.00039239i,-0.0010822+0.00075045i,-0.0008225+0.00063864i,-0.00027108+0.00067324i,-8.9419e-05+0.00056209i,-0.00028933+0.00049729i,-0.00021889+0.00032926i,0.00021906+8.5165e-05i,0.00070284+0.0004149i,0.00064633+0.00075656i,0.00074215+0.00048929i
-0.0019051+0.00036073i,-0.0020804+0.0013763i,-0.0018392+0.0020013i,-0.0012254+0.0015388i,-2.2831e-05+0.00078954i,0.00048334-5.8047e-05i,0.00062136+0.00027789i,0.00032942+0.00058004i,0.00011123+0.00019898i,0.00039302-0.00014208i,-9.1768e-05+9.8648e-05i,-0.00062451+0.00056688i,0.0001281-0.00010682i,0.00038945-0.00099568i,-0.00045056-0.0015694i,-0.00066526-0.001309i,8.7642e-05-0.0010197i,0.00094655-0.00049028i,0.0009107-2.6576e-05i,0.00028189-0.00026362i,-0.00033426+2.8668e-05i,7.1524e-05-8.7218e-05i,0.00082852-0.00017239i
