-0.003581+0.0009409i,-0.003457-0.00015002i,-0.0036661+0.00026652i,-0.0026938+0.00093657i,-0.0015709+0.0014955i,-0.00083653+0.0014873i,-0.00019703+0.0014236i,0.00029955+0.0014678i,0.00045533+0.0014092i,0.00027293+0.0011368i,0.00051484+0.00018554i,0.00070731-0.00046236i,2.9347e-05-0.00019538i,-0.00043295+0.0002097i,-0.00034844+0.00067612i,0.00025988+0.00097142i,0.00045728+0.00047998i,0.00019854-0.00059441i,-1.9614e-05-0.00011066i,-0.00043347+0.00031793i,0.00012353+0.0003003i,-6.3432e-06+0.00041582i,-0.00080612-0.00021993i
5.1082e-05+0.0013417i,0.00075436+0.001385i,0.0020129+0.0010578i,0.0019151+0.00051538i,0.0015681-0.00014738i,0.0012796-0.0010192i,0.00089416-0.00094619i,0.00067291-0.00037545i,0.00031734-3.9428e-06i,0.00055126+0.0003298i,0.00049084+0.00053619i,0.00014795+0.00063144i,-0.00033394+0.00075486i,-0.00075658-0.00025133i,-0.0011692-0.00093202i,-0.00054601-0.00034439i,-0.0002119-0.00074228i,-0.00060059-0.00043685i,-0.00039964+0.00034032i,-0.00067389+0.00024798i,-0.0010266-1.4326e-05i,-1.8194e-05-0.0003854i,0.00018544-0.00070587i
0.001825-0.0015475i,0.0021429-0.00092073i,0.00092265-0.00016209i,-0.00047427-1.5626e-05i,-0.00092213-8.4692e-05i,-0.00015+5.7606e-05i,1.0967e-05+0.00022887i,-0.00047255-0.00015587i,-0.0007028-0.00067924i,-0.00086356-0.00011556i,-0.00074146+0.00038361i,-0.00024568+0.00020733i,-6.062e-05+0.00036673i,-4.0633e-05+0.00096982i,-0.00046643+0.00074145i,-0.00087439-0.00039827i,-0.00052573-0.00068064i,1.7293e-05-0.00014665i,0.000123-9.2799e-05i,-4.1926e-05-6.9676e-05i,0.00038732+0.00046457i,0.00050098+0.00091864i,0.00013826+0.00097133i
9.809e-06+0.00030528i,-0.00048216+0.00046152i,0.00027591+0.0013582i,0.001052+0.002216i,0.00094087+0.0023068i,0.00036789+0.0010076i,0.00028001-4.7749e-05i,0.00069445+2.4696e-06i,0.00010867+0.000816i,-0.00071917+0.0015479i,-0.00060411+0.001533i,-0.00024633+0.00049345i,0.00031394-0.00025376i,0.00076728-0.00010253i,-1.3252e-05+0.0010202i,-0.00070602+0.0014711i,-0.00069934+0.00065656i,-0.00041529+0.00066235i,0.00012858+0.00055506i,2.275e-05+0.00036655i,-0.00016806+0.00092264i,-0.00042582+0.00063368i,-0.00016996-2.0731e-05i
0.00034158+0.00081496i,-0.0012299+0.0012188i,-0.0024405+0.0023744i,-0.0021983+0.0020599i,-0.00062775+0.00062837i,0.00065828-2.0535e-05i,0.00016663-0.00015477i,1.7432e-05-0.00010567i,0.00025741+0.00023668i,0.0001516+0.00032245i,-0.00041569+0.00078928i,-0.001205+0.0008712i,-0.0009962+0.00015503i,-0.00015259+0.00026046i,0.00040964+0.00063115i,-3.7115e-05+0.00056416i,-0.0006318+4.3743e-05i,-0.00032128-0.00031969i,0.00019481-0.00045099i,3.8332e-05-0.00071604i,-0.00020948-6.1329e-05i,-0.00031204+0.0010135i,-0.00066718+0.00070662i
-0.0018521-0.0017217i,-0.0020251-0.0014636i,-0.0024541+0.00090001i,-0.0018831+0.001825i,-0.00082115+0.0016315i,-0.00038537+0.00076815i,-7.8591e-05+0.00010396i,0.00014661-0.00014531i,-0.00042661+9.4994e-05i,-0.0010249+0.0007204i,-0.0010478+0.0003238i,-0.00047062-0.00017356i,-0.00050273+0.00053318i,-0.00062254+0.00072628i,-0.0003531+0.00042738i,0.00045781+0.0003795i,0.00034516-0.00019804i,-0.0001943-0.00048064i,-0.00038727+3.2456e-06i,-0.00041055+0.00036277i,-0.00067828-5.5602e-05i,-0.00041431+0.00027412i,0.00053759+0.00048189i
-0.0001679+0.00025077i,-0.00022388-0.0001997i,-8.11e-05-0.00066241i,0.0002404-0.00093212i,0.0008129-0.00067312i,0.00046802+0.00032739i,-0.00030238+0.00020522i,-0.00029284-4.9873e-05i,-0.00011377+0.00063784i,-0.00060819+0.00045166i,-0.00034681-0.00013031i,0.00039658-0.00059448i,0.00085998-0.00023171i,0.00072964+0.00087303i,0.0006971+0.00079484i,0.00065173+0.00023916i,-4.4037e-05-0.00040042i,-0.00053606+6.1918e-05i,-0.00037927+0.0010809i,0.0001285+0.00044465i,-0.0002243-2.801e-05i,-0.00098388-0.00038299i,-0.00088694-0.00073524i
-0.003121-1.053e-05i,-0.0020997+0.00060338i,-0.0020437+0.0013692i,-0.0019095+0.0026632i,-0.00061249+0.002404i,0.00063725+0.00067636i,0.00027098-0.0002671i,-0.00065871+3.6867e-05i,-0.0010038+0.00093345i,-0.00087671+0.0012192i,-0.00073764+0.0013454i,-0.00072173+0.00099232i,-0.00042218+0.00073175i,-0.00044723+9.4775e-05i,-0.00049901-0.00038376i,-0.00022314-0.00027382i,0.00045335-0.0006171i,0.00064324-0.00065948i,0.00085201-0.00049592i,0.00092545-0.00035916i,0.00039467-0.00024293i,0.00066089-0.00026999i,0.0011894+0.00014486i
-0.0025222-0.00050249i,-0.0020562-0.0010998i,-0.00075242+0.00027396i,0.00033591+0.0010911i,0.00046089-1.0287e-05i,-0.00022215-0.0012601i,-0.0002743-0.0010288i,-0.00010739+5.8859e-06i,-0.00031392+0.00068048i,-0.00015977+0.00091249i,0.00010525+0.00070609i,-0.00061654-8.1874e-05i,-0.00076358-0.00041692i,-0.0007514-0.00041929i,-0.00039232-0.00029285i,0.00027811+0.00031649i,0.00013267+0.00043461i,7.1405e-05+4.8933e-05i,0.00021518-0.0002343i,0.00070551-0.00055531i,0.0012702-0.00020958i,0.0017452-3.1517e-05i,0.00088459+7.7881e-05i
-0.00026739+0.0024887i,0.00058882+0.0023687i,0.0020679+0.003309i,0.00206+0.0029638i,0.0014814+0.0012479i,0.0015644+0.00038419i,0.00059235+0.00010121i,-0.00054424-8.4443e-05i,3.488e-05+0.0004871i,0.00050333+0.00072418i,0.00028903+0.00048054i,-6.5571e-05+0.00066346i,-0.00021908+0.00062842i,-0.0001788+0.00024809i,0.00022616+0.00012636i,0.00066706+6.8241e-05i,0.00016024+4.1234e-05i,-0.00060136-0.00010096i,9.4493e-05+0.00033594i,0.00027677+0.0011057i,6.1138e-05+0.00072057i,0.00019107+0.00045842i,0.00050358+0.00080301i
0.00035921+0.00083187i,0.00052228+0.00091431i,7.1952e-05+0.0012616i,0.00013189+0.0011104i,0.00070836+0.0002681i,0.0010845+0.00019439i,0.001065+0.00020818i,0.0002738+9.6718e-05i,-0.00010308+7.9929e-05i,-3.4817e-05+1.0966e-05i,0.00039609+9.5236e-05i,0.00044995+9.4629e-05i,0.00023866-2.2053e-05i,0.00054646-0.00047278i,0.00084747-0.0010305i,0.00045859-0.0015865i,0.00011732-0.0013142i,0.00017073-0.00032579i,0.00036979-0.00064201i,6.6758e-05-0.0010552i,-0.00012293-0.00071989i,0.00040941+0.00063151i,0.00023884+0.00091831i
-6.1315e-05+0.001464i,0.00020486+0.0011746i,-0.0003541+0.0017959i,-0.00081928+0.0013121i,-0.00060446+0.00074267i,-0.00081664+0.00085669i,-0.00089168+1.9575e-05i,0.00028838-0.00046862i,0.00074315+0.00032573i,0.00026282+0.0012652i,-0.0001852+0.0007559i,-0.00039433-0.00052077i,-0.00063438-0.00029991i,-0.00041522+0.00050345i,0.00029084+0.00057557i,0.0011239+0.0007379i,0.0011682+0.00081316i,0.0006188+8.0547e-05i,0.00045966-1.5769e-05i,0.0003074-4.9063e-05i,0.00011112-0.00025524i,0.00071673-0.00052723i,0.00085772-0.00058198i
0.001282+0.000305i,0.0010194+0.00016422i,-6.8299e-05+0.00087493i,-0.00025308+0.0015978i,0.00057935+0.0016268i,0.00043575+0.0010838i,0.00029814+0.00021367i,0.00059227-0.00020087i,0.00080516-0.00038833i,0.00088592-0.00066973i,2.2294e-05-0.0010118i,-4.7914e-05-0.00080912i,0.00038439-0.00033772i,-0.00023008-5.7905e-05i,-0.00031709+0.00010994i,-7.8877e-05+0.00066356i,-0.000443+0.00037681i,-0.00035939+0.00071891i,0.00012683+0.0014149i,3.1767e-05+0.00056845i,-0.00029666-0.00020896i,-0.00067846-9.2183e-05i,-0.00089656+1.3006e-05i
0.0022712+0.0011863i,0.0030876+0.0021772i,0.0029188+0.0034052i,0.0031788+0.0017628i,0.0027386-0.0001145i,0.0010973-0.00058496i,-0.00011939-0.00028828i,0.00037228-0.00034799i,0.00075607-0.00037798i,0.00070489+0.00033867i,0.00087516+0.00017382i,0.00046303-0.00067881i,0.00029845-0.0011879i,0.00078394-0.00047281i,0.00035083+0.0003748i,-0.00056298+5.7828e-05i,-0.00042392-0.00023077i,0.0001056-0.0001777i,-0.00024741+0.00049473i,-0.00020615+0.00080112i,0.00021974+0.00087382i,4.8154e-05+0.000849i,-0.00022096+0.00034442i
-0.00042267+0.00060454i,-0.00032526+0.00047323i,-5.3587e-05+0.00052859i,0.0003739+0.0011345i,0.000638+0.0011201i,0.00020281-0.00048601i,2.0785e-05-0.00073043i,0.00010506-7.0602e-05i,0.0008778+7.0144e-05i,0.0011822+0.00086112i,0.00065184+0.00023764i,-0.00016592-0.00069859i,-0.00020544-0.00047852i,6.7271e-05-0.00023832i,0.0001399-0.00065679i,0.00030131-0.0006637i,-0.00023759-0.00042864i,0.00011494-7.049e-05i,0.00022274+8.7522e-06i,-0.0008403-5.9377e-05i,-0.0012157-0.00021192i,-0.00041164-0.00013479i,-0.00045446-0.00022415i
-0.0005546-0.00095884i,0.00017597-0.00097619i,0.0001967-0.00091339i,-0.00021082+8.9833e-05i,-0.00048553+0.0010616i,-0.00064402+0.0012678i,-0.0002387+0.0006542i,7.1307e-05+0.0004361i,0.00010471+0.0012397i,3.5516e-05+0.0013368i,0.00033122+0.00028176i,0.0004751-0.00079287i,0.00022863-0.00030631i,5.0383e-05+0.00019932i,0.00034513-0.00019625i,0.00037216-4.0413e-05i,4.7929e-05+0.00011927i,-6.7359e-07-0.00039556i,-1.7253e-05-0.00081974i,1.2031e-05-0.00079334i,0.00031857-9.8205e-06i,0.00063224+0.00072388i,-2.496e-05+0.0010455i
-0.0010547-0.0010765i,-0.0011819-0.00041381i,-0.0011224+0.00024962i,-0.0006246+0.00072042i,-0.00071162+0.00084423i,-6.987e-05+0.0012073i,0.00041148+0.0013508i,0.00014719+0.00079055i,-0.00026828+0.0010226i,-0.00039924+0.0013062i,-2.617e-05+0.00045142i,0.00026862-0.00039104i,0.00034983-0.00090751i,0.00011504-0.00033047i,3.2035e-05+0.00039407i,-1.8796e-05+0.00037002i,-1.7753e-05-0.00020952i,-8.4057e-05-0.00069409i,-0.00022848-0.00042365i,-0.00032043-8.6039e-05i,-0.0004795-5.8492e-05i,0.00033347+6.3378e-05i,0.001284+0.00033936i
-0.00014354-0.00030951i,-0.0011305-0.00021411i,-0.0019382-0.00081499i,-0.0016371+0.00040872i,-0.0013207+0.0017437i,-0.00096218+0.0013378i,-0.00015265+0.00043489i,2.9358e-05+0.0004305i,-0.00025128+0.00078411i,-0.00069307+0.00049905i,-0.00043438-7.6772e-05i,7.5045e-05+0.00045364i,0.00035802+0.00055828i,0.0002401-0.00029558i,7.55e-06-0.00038618i,0.00039303+4.4128e-05i,0.00020179-0.00027662i,-0.00064305-0.00029025i,-0.00033935+0.00013347i,3.1457e-05-0.00045741i,0.00031485-5.178e-05i,0.00032915+0.00061683i,-4.7974e-05+0.00041584i
-0.0021354+0.00068102i,-0.00043306+0.00096847i,-8.3361e-05+0.0018519i,0.00088034+0.0020992i,0.0022842+0.0011752i,0.002076-0.00051294i,0.0011214-0.00028603i,3.9199e-05+0.000321i,-0.0010748+4.0865e-05i,-0.0013987+0.00046616i,-0.00035907+0.00059311i,0.00041431-0.0003378i,0.0010636-0.00057788i,0.0013989-2.4438e-05i,0.0013682+0.0002154i,0.00065304-0.0003939i,-0.00021385-0.0007914i,-0.0001693-0.00051892i,-0.00019472-0.00092658i,8.5252e-05-0.00041635i,-9.9011e-05+0.00094926i,-0.00096928+0.00088325i,-0.00082751+0.00035438i
-0.00097744-0.00080531i,-0.00071757-0.0013464i,-0.00076208+0.00022388i,-0.0015287+0.00092137i,-0.0010983+0.00020546i,-0.00025349-0.00052676i,9.8523e-05+5.2962e-05i,8.9167e-05+0.0007797i,0.00027933-0.00024057i,-0.0001246-0.00035342i,-0.00052421+0.00012633i,-0.00051212+1.8344e-05i,-0.00017896-0.0001336i,0.00025952-0.00021137i,0.00034586+4.1425e-05i,0.00050728+0.00010466i,0.00095524-0.00047821i,0.00077495-0.00021984i,0.0010194+0.00046557i,0.0011046+0.0009257i,0.00012223+0.0007715i,-0.00010991+0.00063957i,0.00070053+0.00077298i
0.0010152-0.00073719i,0.00050393-0.0012253i,-0.00026028-0.0007132i,-0.0010522+0.000509i,-0.0015377+0.0012441i,-0.00091652+0.00064007i,1.863e-06+0.00038018i,-0.00028244+0.00084343i,-0.0011978+0.00056351i,-0.00022324+0.00045192i,5.6802e-05+0.00047518i,-0.001086-0.0005275i,-0.00046799-0.00076654i,0.0009051-0.00057435i,0.00053463-0.00088086i,-2.4487e-05-0.00043415i,-0.00060987+0.0004677i,-0.00092028+0.00038796i,-0.00043533-0.00025057i,-0.00021296+0.00029479i,0.00029162+0.0011846i,0.00018666+0.00093044i,-0.00044144+0.00010446i
-0.00057482-0.0031093i,0.00053375-0.0027247i,0.00028057-0.0021756i,0.00062081-0.0016266i,0.00091408-0.00041627i,0.00066877+0.00064893i,0.0009172+0.00050121i,0.00070533-0.00018115i,0.00010618-0.00036695i,-6.4506e-05-0.00011226i,-0.00024421-0.00015756i,-0.00052181-0.00041276i,-0.00059833-0.00026163i,-0.00028856+0.00013505i,-0.00040322-8.0088e-05i,-0.00025929-6.6174e-05i,3.4662e-05+6.3021e-05i,0.00011566-0.00035646i,0.00045209-8.3026e-05i,0.00066759-8.9554e-05i,0.00038235-0.00018231i,-0.00034621-0.00040101i,-0.00031261-0.0007608i
0.0022789-0.00021536i,0.0016436+0.0012062i,0.00081083+0.0014232i,0.00052234+0.0012947i,0.00018417+0.00090237i,-0.00020766-0.00016776i,0.00013954-0.0001466i,0.00047581+0.00021211i,0.00046387+4.2688e-05i,-1.1482e-05-0.00020071i,-0.00050765-7.8307e-05i,-0.0003507-0.0003616i,-0.00012125-0.00099025i,9.9928e-05-0.00086287i,-0.00015711-0.00018577i,-0.00047322+5.424e-05i,-0.00038243-0.00038619i,-8.7249e-05-0.00058832i,0.00040614+5.2283e-05i,0.00064721+0.00058584i,0.0008771+0.00015863i,0.0015041+0.00048242i,0.0011478+0.00045791i
0.00062837+0.0013143i,0.00045819+0.0016116i,0.00099557+0.0015294i,0.0017433+0.0013027i,0.0014839+0.00051042i,0.00092963-0.00051396i,1.5209e-05-0.00035657i,-0.00045361-0.00037783i,-0.00032372-0.00073914i,-4.7177e-05-0.00061128i,0.0006886-0.00060358i,8.0814e-05-0.00043192i,-0.00063852-0.00069523i,-0.00031483-0.0011369i,-6.795e-05-0.0012367i,5.7462e-05-0.00054242i,0.00033799+3.0011e-05i,0.00050296+0.00013052i,-0.00012799+0.00027831i,-0.00073819+6.6943e-05i,-0.00037256-0.00010849i,0.00022578+8.147e-05i,0.00019723+0.00015865i
-0.0018966-0.0011508i,-0.0016235-0.0014887i,-0.0022157-0.00074485i,-0.0022658+0.00071992i,-0.0023362+0.0016623i,-0.0014825+0.0011672i,-0.00043275-0.00047657i,8.4818e-05-0.00074837i,0.00041512+0.00016727i,0.00033744+0.00020348i,0.00016843-0.00041878i,-0.00030635-0.00083175i,-0.00055943-0.00027746i,-0.00052559+0.00039944i,-0.00067991+0.00020563i,-0.00080545-1.0532e-05i,-0.00044796-9.465e-05i,-0.00011335+0.00022064i,-0.00026141-0.00021171i,-0.00021426-0.00028451i,-0.00015346+0.00020854i,-0.00065454+0.00017177i,-0.00088471+0.00038552i
-0.00033877+0.0010702i,0.00064472+0.0013726i,0.00022024+0.0024788i,-2.9675e-05+0.0023414i,0.00037321+0.0014819i,0.00035018+0.0003456i,0.00017619+6.3487e-06i,-3.4721e-05-5.7927e-05i,-0.00039194+0.00018316i,-0.0005926+0.00053383i,-0.00033825+4.1927e-05i,0.00028234-0.00035726i,0.00049217+0.00043349i,-0.00016661+0.00027848i,-1.8616e-06-0.00062977i,0.0006887-0.0003534i,0.00075389-8.9176e-05i,0.00050153-0.0010082i,-0.00013999-0.00094844i,-0.00014394-0.00062665i,-0.00043313-0.00023942i,-0.0013927+0.00025904i,-0.0011735+0.00035779i
0.0012014-0.0015407i,0.0017093-0.0022861i,0.0019465-0.0017336i,0.0016882-0.0004497i,0.0011469+0.00043563i,0.00044016+0.00016625i,0.0004477-0.00010545i,0.00108+0.00035902i,0.00047114+0.00027037i,-0.0003463-0.00023463i,7.3001e-05+0.00029325i,-0.00021196+0.0003925i,-0.00087339-0.0002166i,-0.00058784-8.265e-05i,-0.00014391+8.597e-05i,-0.00078014-0.00010186i,-0.0010408-0.00033581i,-0.0003392-0.00015144i,0.00034331-0.00043919i,6.5126e-05-7.0241e-05i,-0.00061157+0.00079355i,-0.00060214+0.00042015i,-0.00073276-0.0005217i
0.0013119+0.0020979i,0.0014537+0.0016547i,0.0015244+0.00080919i,0.00098894-0.00011204i,0.00038993-0.0010894i,-0.0001964-0.00087661i,-0.00062961-3.926e-06i,-0.0004067-0.00051176i,4.9924e-05-0.00053731i,-0.00020203+0.0003379i,-0.0008406+0.00039445i,-0.00040842-0.00059012i,0.0011272-0.00078939i,0.0012537-0.00045736i,0.00089027-0.00046059i,0.00058797-0.00014042i,-0.0001364+0.00042987i,-0.001008-2.1811e-05i,-0.0017724-0.00075582i,-0.0011622-0.00076208i,-0.00016594-0.00035784i,-0.00020005+0.00046001i,1.2254e-05+0.00085475i
-0.0019852-0.0020037i,-0.0020265-0.0019104i,-0.0017144-0.0011901i,-0.0015663+0.00089844i,-0.0014355+0.0021287i,-0.00046702+0.00085003i,0.00017246-1.454e-05i,0.00040355+0.00026701i,-0.00036815+0.00017776i,-0.0010831+0.00010557i,-0.00053299-1.7998e-05i,-0.00028924+0.00020756i,-0.0011241+0.00041548i,-0.00098893-0.00015962i,0.00016554-0.00085962i,0.00029309-0.00089843i,-0.00023197-0.00099868i,-0.0001494-0.00067332i,0.00026186-0.00015077i,-0.00026461+0.00018977i,-0.00050442+0.0011401i,1.4443e-05+0.0011971i,0.00037357+1.6024e-05i
-0.00043767+0.00052063i,-0.0010548-0.00023803i,-0.00098955+0.00043399i,-0.00073682+0.00085315i,-0.00057827+0.00066481i,-0.00038088+5.2775e-05i,-0.00018562-0.00027131i,-0.00016429-0.00040239i,-4.1086e-05-0.00048121i,-0.00014721+0.00071704i,-0.00021211+0.0010015i,0.00065492+0.0003005i,0.00030755+0.0003815i,-0.00068706+0.00026463i,-0.00048254+0.00053374i,0.00041807+0.00069555i,0.00060187+7.9703e-05i,9.0326e-05-1.6238e-05i,4.9793e-05+0.00025917i,0.00057547+0.00096923i,0.00015752+0.00098608i,-0.00062599+0.00049895i,-0.00059343+0.00088624i
0.00018735+0.00032082i,-0.00010614-0.00030484i,0.00081642+0.0005018i,0.0011145+0.00039862i,0.00061715-0.00028456i,0.0011236-0.00075448i,0.0012714-0.00051814i,0.00034213+6.9079e-05i,-0.00049358+0.00029216i,-0.00047001+0.0006718i,-0.00052464+0.00098188i,-0.0007838+0.00012283i,-0.00077522-0.00062172i,-0.00089499-0.0003103i,-0.00085891+0.0004121i,-0.00088662+0.00014759i,0.00011287-0.00035363i,0.00043944-0.00017896i,-0.00090494+3.7224e-05i,-0.0011309+0.00018266i,-0.00065066+0.00058695i,-0.00024108+0.00043403i,-0.00015962-8.8294e-05i
-0.0010318+0.0011369i,-0.00012691+0.0025825i,-2.2389e-05+0.0026967i,-0.00051811+0.0017244i,-0.0003442+0.0010009i,4.1021e-05+0.00012526i,0.00059668-0.00055763i,0.00032924+2.6027e-05i,0.00038657+0.00075176i,0.0002193+0.00094579i,-8.096e-05+0.00062155i,0.00046114+0.0002639i,0.00053571+0.00026746i,0.00010344+0.00038884i,-0.00017003+0.00049263i,-0.00022887-5.4909e-05i,-0.00062972-0.00062541i,-0.00079739-0.00062292i,-0.00010962+3.7941e-05i,0.00030099+0.00062933i,0.00030055+0.00056219i,2.0758e-05+0.00038659i,-8.8735e-05+0.00029828i
