-0.00031746-0.00040111i,-0.00098441-0.0001244i,-0.0015209-0.00050739i,-0.0020528-0.00017313i,-0.0019307+0.0013713i,-0.0013555+0.0017524i,-0.00089716+0.0013743i,-0.00091911+0.0019165i,-0.00063579+0.0021161i,0.00035463+0.0013963i,0.00054375+0.00039164i,-0.00027651-0.00018736i,0.00037743+4.2303e-05i,0.00075136+0.0004877i,-0.00021723+0.00046502i,-0.00041562+0.00046278i,-0.00021581+0.00046816i,-0.00063837+0.00010152i,-0.00064821+0.00022707i,-0.00017646+0.00084867i,0.00086249+0.00047643i,0.0016051+6.0561e-05i,0.0011572+0.00063383i
0.00049822-0.00025116i,0.00022834-0.0012021i,-0.00049405-0.00057902i,-0.0010953+0.00084322i,-0.00043937+0.0011475i,-0.00079939+0.00099151i,-0.0011388+0.0011694i,-0.00053805+0.00075274i,-1.7448e-05+0.00062218i,-0.00033752+0.00083401i,-0.00071189+0.00089605i,-0.00051259+0.00047727i,-0.00022325-0.00032396i,-7.5496e-05-0.00011619i,-0.00033373+0.00037336i,-0.00059942-7.6654e-05i,-0.00066837-0.0001373i,-0.00038882-0.00011215i,0.00035321-0.00019289i,0.00039091+0.00020439i,7.4513e-05+0.00052323i,6.6672e-05+0.00063553i,-1.1811e-05+0.00080667i
-2.4678e-05+0.0015637i,0.00028384+0.0016136i,-0.00013731+0.0015159i,-0.00047391+0.001046i,-0.00048711+0.00021834i,-0.00053909+0.00046463i,-0.00080443+0.0012348i,-0.00070581+0.00098823i,-0.00054124+0.00093083i,-0.00028154+0.0010249i,0.00069381+0.000499i,0.00024633+0.0002637i,-0.0004994+0.00039043i,-0.00024285-0.00045133i,6.5054e-05-0.0010844i,-4.8969e-06-0.0012631i,1.0015e-05-0.0011721i,0.00025608-0.00065361i,0.00034161-3.7681e-05i,0.00068958+0.00059107i,0.00055809+0.00050391i,0.00028481+0.00035509i,0.00050885+4.9169e-05i
-0.0011516+0.00035828i,-0.0011576+0.00013693i,-0.0006699+0.0015559i,-0.00092993+0.0011463i,-0.00085824+0.00060352i,-0.00055269+0.00097451i,-0.00071428+0.0010582i,-0.00049034+0.0011375i,-0.00020486+0.00075302i,-0.00030295+0.00037022i,-0.00047569+0.00077052i,-0.00032125+0.00076993i,-0.00023402+4.2135e-05i,-4.0653e-05+4.7427e-06i,0.00012011+0.00055288i,0.0004252+0.00042185i,0.00051359+0.00047527i,0.00042446+0.00025281i,0.00057719+5.0838e-05i,0.00019304-8.3481e-05i,-0.00018761-0.00036985i,0.00033536-0.0001404i,0.00038451-0.00053722i
0.0013997-0.001385i,0.00016545-0.00028577i,-0.00094631-0.00037743i,-0.0019944-0.00012681i,-0.0022483+0.00021386i,-0.0018036+0.00055298i,-0.0011976+0.0010106i,-0.00025894+0.0012281i,-0.00029561+0.0009113i,-0.0014046+0.00044403i,-0.0011825+0.00021456i,-0.00025715+0.00047095i,-0.00068505+0.00079549i,-0.00055309+0.00024996i,0.0005244-0.00037531i,0.00083166-0.00059391i,0.00061562-0.00030306i,0.00086149-0.00016169i,0.00071512+0.00035065i,-0.00044489+0.0010608i,-0.00063431+0.00055788i,-0.00012682-0.00054118i,0.00030288-0.0012155i
-0.0015642-0.00019909i,-0.0015597-0.00041331i,-0.0018986-0.0007243i,-0.0023513-0.00027329i,-0.0019822+0.00099745i,-0.00092504+0.0020195i,-0.00048514+0.0021709i,-0.0010752+0.002295i,-0.00034842+0.0020884i,0.00011017+0.0016794i,-0.0003656+0.00096155i,-0.00029516-0.00026998i,2.3012e-05-0.00091443i,0.00012343-0.00062162i,0.00017772-0.0003069i,-0.00029772-0.00051097i,-0.00091612-0.00049599i,-0.0013275-0.00037774i,-0.0012238-0.00049152i,-0.00040649+0.00029164i,-7.9601e-05+0.00076393i,0.00022031-9.9775e-05i,0.0010748-0.00053034i
-0.00093662-0.00018643i,-0.0006708-0.0016698i,-0.0011454-0.0017745i,-0.0015431-0.00035871i,-0.0011232+0.00072446i,-0.001136+0.0011768i,-0.0011016+0.0012828i,-0.00077045+0.00073002i,-0.00072878+0.00034687i,-0.00080941+0.00047591i,-0.00079379+0.00022892i,-0.00081624+1.7099e-06i,-0.00060064+0.00048819i,-0.00021016+0.00044555i,1.6747e-05+0.00037981i,0.00050405+0.00031809i,0.0011027-0.00011453i,0.0012214-0.00025585i,0.00054405-7.248e-05i,-0.00022861+5.7701e-05i,-0.00024477-7.3175e-06i,2.6837e-05-2.1977e-05i,-0.000166+7.3686e-05i
0.0021883+0.00017444i,0.0016832+5.4571e-06i,0.00016967-0.0010809i,-0.0017939-0.0011006i,-0.0017231-0.0003959i,-0.0013198+0.00021219i,-0.0010308+0.00067879i,-6.2474e-05+0.00077868i,-0.00034588+0.00098306i,-0.0007559+0.00094451i,-5.1466e-05+9.74e-05i,-2.6415e-05-0.00026558i,-0.00031145+0.0002062i,-0.00016667-1.6475e-05i,-0.00035619-0.00097498i,-0.00057328-0.0010202i,-0.00032753-0.00082867i,-1.3097e-06+0.00017697i,0.00041873+0.00093299i,0.00041294+0.00033687i,6.8409e-05-7.5674e-05i,-0.00034083+0.00052156i,-0.00041294+0.00014614i
-0.00011843+0.0013177i,-0.00092691+0.0013031i,-0.0015518+0.0012746i,-0.0011012+0.0015299i,-0.00044213+0.0019295i,-0.00063412+0.0015846i,-0.00062152+0.0010475i,-0.00084471+0.0010787i,-0.00020741+0.001672i,0.00041745+0.0015547i,-1.2853e-05+0.00098873i,-0.00033032+0.00086746i,-0.00022196+0.00086163i,7.5975e-05+0.0006367i,0.00047399+0.00064776i,0.00076788+0.0007733i,0.00043692+0.00051003i,-0.00025439+0.00025979i,-0.00034857+0.00087443i,0.00026667+0.0010598i,0.00085404+0.00058725i,0.00031212+0.00016673i,-7.273e-05-3.8397e-06i
-0.0014795-0.00074272i,-0.00082009-0.00038222i,-0.0016698-0.00033872i,-0.0028037+0.00071823i,-0.0025692+0.0017491i,-0.00079865+0.0023787i,7.677e-06+0.0024483i,0.00014008+0.0014016i,0.00010458+0.0011241i,-0.00036385+0.0014573i,-0.00084106+0.0016532i,-0.00085544+0.0015738i,-0.00041186+0.00097002i,-0.00036197+0.00060261i,-0.00041832+0.00097834i,-0.00099501+0.00053902i,-0.00083769-0.00043586i,-0.00031468-0.00047818i,-0.00051404+8.937e-05i,8.3577e-05+0.00065426i,0.00069642+0.00093357i,-0.00010706+0.00064959i,-0.00078285+0.00014797i
