-0.00053772+0.00063089i,0.00099314+0.0010852i,0.00050796+0.0015568i,-0.0004097+0.0026563i,-0.0010087+0.0029315i,-0.00027169+0.0013773i,0.00060162+0.00065333i,0.00082384+0.00088372i,0.0011009+0.00033456i,0.0011961+0.00014464i,0.00083541+0.00068879i,9.7201e-06+0.00049501i,0.00022519-0.00076076i,0.001055-0.001438i,0.0014873-0.00049489i,0.0011457+0.00042439i,4.706e-05-0.00031696i,-0.00053704-0.00041157i,-0.00050101+0.00015031i,-0.00034243+0.00038741i,-0.00069+0.00066705i,-0.00071487+0.0008042i,0.00043682+0.0010384i
0.0021188+0.0005722i,0.0013528+0.00076848i,0.00018155+0.00086059i,-0.00063842+0.00010947i,-0.0015224-0.0012325i,-0.001404-0.0018548i,-0.00029367-0.0015982i,0.00043912-0.0012577i,0.00055717-0.00041193i,-0.00019308+0.0002537i,-0.00085703+0.00092121i,-0.0010878+0.0013581i,-0.00098748+0.000749i,-7.2762e-05-8.2755e-05i,0.00071528+0.0001962i,4.805e-05+0.0013269i,-0.0013915+0.0010263i,-0.0012193+0.00026523i,-0.0002+0.00012283i,0.00045804+3.7458e-06i,0.00045104+0.0001034i,0.00055841+0.00045469i,0.00052108+0.00038879i
0.0024754-0.00086578i,0.0025731-0.00047876i,0.0025023+0.00032893i,0.0019025-0.00051117i,0.00054013-0.0017209i,-0.00050091-0.002132i,-0.00043809-0.0014679i,-0.00052407-0.0004912i,-0.00051004-0.00013778i,-0.0001482-0.00040208i,-2.7106e-06+9.2858e-05i,-0.00028769-0.00026078i,-0.00093408-0.00023407i,-0.00066008+0.00076994i,-0.0001358+0.0011556i,0.00034102+0.0011029i,0.00037967+0.00087039i,0.00015673+0.00041149i,9.6168e-05+0.00012582i,0.00037416-0.00024538i,0.00010283-8.163e-06i,-9.225e-05+0.00026203i,-0.00020819+2.2998e-06i
0.0017114+0.00095579i,0.0025016+0.00099107i,0.0014437+0.00053938i,0.00038672+0.00046371i,8.0605e-05+0.00036233i,0.00018762-0.00041358i,0.00020436-0.0015162i,-0.00036929-0.0013057i,-0.00017401-0.0003523i,0.00019011-0.00029269i,0.00025818-0.00023793i,0.00041452-0.00010668i,0.00019672-0.00024739i,-0.00031985-0.00049505i,-0.0010592-0.00058904i,-0.00071232-0.00022221i,0.00015287-0.00082628i,0.00072428-0.00064385i,0.00031571+0.0006563i,-8.21e-05+0.0007971i,0.00031602+0.0008446i,0.00054036+0.0010208i,0.00040042+0.001092i
0.00028503-0.0017491i,7.4117e-05-0.00019234i,-0.0010606+0.001534i,-0.0010008+0.0025171i,-9.3109e-05+0.0013687i,0.00059083-0.0005415i,0.00067542-0.0022196i,0.00018431-0.0019993i,-4.0427e-05-0.00090138i,0.00016312+0.00014518i,-0.00027699+0.00054061i,-0.00047965-0.00033449i,0.00038812-0.00070432i,0.0011785-0.00049375i,0.0005335-1.1763e-05i,-0.00016575-0.00021203i,-0.00075539+7.2684e-05i,-0.0011369+0.00076404i,4.7698e-05-0.00030606i,0.000311-0.00073577i,-0.000458-8.1363e-05i,-0.0010493-0.00016628i,-0.001302-8.094e-05i
0.0035206+0.0021342i,0.0036328+0.0019643i,0.0034213+0.00084894i,0.0020731-0.0013351i,-0.00014152-0.002247i,-0.0015169-0.0018763i,-0.0017949-0.0011912i,-0.0011031-0.00057206i,-2.2945e-05-0.00027866i,0.0001816+4.191e-05i,-0.00044789-0.00010841i,-0.00067008-3.0157e-05i,-0.00079249+0.00070887i,-0.0011078+0.00084403i,-0.0011767+0.00036598i,-0.0012029-3.4476e-05i,-0.00097244-0.0011173i,-0.00037459-0.0010446i,0.00036993-0.00026784i,-5.6048e-06+0.00036448i,-0.00069985+0.00061577i,0.00011843-0.00054342i,0.00083223-0.00085449i
-0.00021865+0.00042387i,0.00055498+0.00064779i,0.00080221+0.0026643i,0.0011718+0.002362i,0.0016744-8.7981e-05i,0.00067581-0.0014925i,-0.00064371-0.0012522i,-0.00034126-0.00097229i,0.0003009-0.00037762i,0.0006019+0.00022504i,0.00033118+9.7629e-06i,0.00050297-0.00035593i,0.000532-0.00034166i,0.00058384-0.00061751i,0.00063409-0.0010096i,-0.00028062-0.00067188i,-0.00038584+8.9233e-05i,0.00046018+0.0011955i,0.00018738+0.00081245i,-0.00030241-0.0001389i,-0.00061293+0.00045i,-1.2203e-05+0.0011889i,0.00044845+0.00070304i
0.0020424+0.0013144i,0.0023293+0.0016931i,0.0021401+0.0012367i,0.0010989-0.00027033i,-0.00035561-0.0018797i,-0.0009246-0.0020411i,-0.00047024-0.0016393i,0.0002918-0.0010821i,-3.7715e-05-0.00062567i,0.00024348-0.00079745i,0.0010128-0.00042059i,0.00051181-0.00015162i,4.8837e-05-0.0006561i,0.00015593-0.000592i,-0.00013946-0.00032405i,-0.00014855-0.0008274i,0.0005715-0.001208i,0.0001991-0.0006834i,-0.00040195-0.00018558i,0.00026378+0.000169i,0.00036776+6.1958e-05i,8.7877e-05-0.00063706i,8.1995e-05-0.00065069i
9.9985e-05-0.00027374i,-0.0002047+0.001778i,-1.2507e-05+0.0021226i,0.00033068+0.0015171i,-0.00038986+7.7791e-05i,-0.000448-0.0010036i,-0.00031048-0.0012261i,-0.00039422-0.0010478i,-6.2848e-05-0.00037668i,-8.9116e-05-0.0003008i,0.00015643-0.00013124i,0.0011542+0.00085942i,0.0016295+0.0011597i,0.00094714+0.00049251i,0.00054259+0.00058792i,0.00021043+0.00099599i,-0.00028258-9.1069e-05i,-0.0010583-0.00055596i,-0.00096959-0.00031676i,-0.00028253-0.00044086i,-9.0474e-05+0.00043753i,-0.00030907+0.0010203i,-0.00059716+0.0014299i
-0.0004211+0.00099411i,-0.00023458+0.0013509i,0.00045803+0.0023782i,0.00090818+0.0017815i,0.00059074+8.9605e-05i,0.00021563-0.0012745i,0.00018959-0.0015086i,-6.5111e-05-0.00042245i,-6.2529e-05+0.0001795i,-0.00046427-0.00018286i,-0.00091265+0.00015i,-0.00042109+0.00046082i,-2.3464e-05+0.00067585i,-0.00022783+0.00083782i,-0.0001548-0.00023545i,0.00057172-0.00072326i,0.00089716-0.00084591i,-7.5471e-05-0.00082327i,-0.0010937-0.00069133i,-0.00069499-0.00096626i,-0.00026548-0.0012526i,-0.00020137-0.00092249i,-0.00010245-0.00025906i
0.0027381+0.0017798i,0.002639+0.0020779i,0.0025704+0.0011352i,0.0015928-0.0003607i,0.00095592-0.0019101i,-0.00012301-0.0027818i,-0.00066199-0.002087i,-0.00075719-0.00067783i,-0.00017988-0.00056575i,0.00021203-0.0012246i,3.3136e-05-0.00055414i,-0.00025519-3.8821e-05i,-0.00060824+0.00043292i,-0.00068302+0.00045849i,-0.0010285+0.0002327i,-0.0011111+0.00056443i,-0.00087203+0.00017299i,-0.00020189-0.00011729i,0.00064817+8.2689e-05i,0.00097936+0.00060043i,0.00039761+0.0010845i,0.00031839+0.00025518i,0.0011801-0.00051168i
-0.00082201-0.0011751i,-0.0014457-0.00010086i,-0.0011042+0.0012096i,-0.00089067+0.0019194i,-0.00055554+0.00085289i,0.00051655-0.00084608i,0.0012186-0.0013018i,0.00064951-0.0012507i,8.6382e-05-0.00069691i,0.00054946-0.00017643i,0.00040608+0.00036142i,0.00028928+0.00063981i,0.00011346+0.0002046i,7.8519e-05+6.3779e-06i,0.00087956+2.9876e-05i,0.00044534+0.00023626i,-8.5082e-05+0.00017693i,0.00065107-7.8902e-05i,0.00062304-0.00042211i,0.0012434-0.00060772i,0.0014487-0.00039961i,0.00054935+3.1809e-05i,0.00014369-9.6067e-05i
0.00097742+1.6402e-05i,0.0015638+0.0013616i,0.001033+0.0017989i,0.00055534+4.154e-05i,0.00042269-0.0022941i,-0.0004174-0.0028261i,-0.00034332-0.0022414i,-0.00064643-0.00098845i,-0.0013019-0.00017014i,-0.0010742-0.00039325i,-0.00033353-0.00058381i,-2.3321e-05-0.00038159i,0.00058991+2.0322e-05i,0.0011939-5.4433e-05i,0.00036248-0.0001947i,0.0004325-8.1722e-05i,0.0012349+4.8103e-06i,0.00015389+0.00012178i,-0.00025197-0.00036818i,0.00034611-0.00080452i,0.00070126-0.00034144i,0.0001683+0.00025501i,-0.00025273+0.00069252i
0.0028652+0.0011354i,0.0028376+0.0013888i,0.0021661+0.0020005i,0.0013246+0.0014784i,0.0012059+1.2769e-05i,0.00090468-0.00081009i,-0.00064632-0.00073422i,-0.0014803-0.00098414i,-3.8515e-05-0.00066383i,0.00011133-0.00010196i,-0.00081185+0.00026498i,-0.00060792+0.00020451i,-0.00021509-0.00039847i,-0.00023465-0.00041134i,-0.00046202-3.8823e-05i,-0.0001662-0.00010066i,0.00059454-0.00015207i,0.00062432-8.7637e-05i,0.00024986+7.524e-05i,-0.00069547-0.00013728i,-0.00042805-0.00028581i,8.9096e-05-0.00025519i,0.00063678-0.00073812i
-0.00039932+0.00028728i,0.00053187+0.0017069i,0.00050213+0.0020555i,0.00067108+0.0010988i,0.0013851+0.00039938i,0.0013809-0.00088756i,0.0010351-0.0018612i,0.001167-0.0014601i,0.00070812-0.00039987i,-0.00047368+0.00010495i,-0.001063-2.187e-05i,0.00013709-0.00017656i,0.0011706-0.00075301i,0.0013011-0.0010487i,0.00079188-0.0014587i,-0.00014475-0.00091588i,-0.00081568+0.00035124i,-0.00061882+0.00039484i,-9.0537e-05+0.00015036i,0.00023235+0.00019283i,-0.00035993+0.00026488i,-0.0010451+0.00083322i,-0.0012457+0.00054252i
0.00017977+0.0016571i,0.00056027+0.0029764i,0.0004144+0.0022091i,0.0005821+0.00074573i,0.00067901-0.00090241i,0.00028905-0.0017297i,-0.00026446-0.0012559i,-0.00025132-0.0011109i,-0.00027952-0.00094376i,-0.00077842-0.00021965i,-0.00087949+0.00013286i,-0.00044501+0.00022281i,3.7468e-05-5.1994e-05i,-0.00032522-0.00087399i,-0.0002448-0.00055575i,0.00020912+0.00049021i,0.00029019+0.0011947i,0.00025283+0.00051941i,0.00024294-0.00013779i,0.00044217+0.00024555i,0.00058128+0.0009076i,0.00048849+0.00079154i,-5.6267e-05-0.00057569i
0.0018893+0.0010765i,0.0017734+0.0015866i,0.0012225+0.0020994i,0.00086719+0.00079686i,0.00026536-0.00095444i,-0.0002531-0.001683i,0.00030067-0.0015476i,0.0006053-0.00093318i,0.0001466-0.00024116i,-0.00040525-0.00022092i,0.00034014-0.0003109i,0.00090306-0.0001197i,0.00027497+0.00013987i,6.969e-06-0.00067051i,0.00019471-0.00098343i,7.7409e-05-0.00053888i,-1.8107e-05+0.00017504i,0.00048029+0.00070032i,0.00012189+0.00036314i,-0.0012089-0.0001381i,-0.0010732-0.00042204i,-0.00043966+0.00037245i,-1.8749e-05+0.0012055i
0.001856-2.7438e-05i,0.0026034+0.00068949i,0.0028043+0.0011133i,0.0018843+6.5121e-05i,0.00089674-0.001329i,0.00011562-0.001654i,-0.00035232-0.0017993i,-0.0002286-0.0012659i,-7.4009e-05-0.00074047i,-8.1821e-05-0.0012453i,1.3304e-05-0.0010816i,0.00060652-0.00085591i,0.00061916-0.00059052i,-5.2709e-06+3.8799e-05i,-0.0002177+0.00036103i,-0.00057889+6.5174e-05i,-0.00059745-5.6099e-05i,2.5133e-05+0.00039921i,0.00033616+0.00056997i,-1.3664e-05+0.00072082i,-0.00080473+0.00080544i,-0.0010179+0.00018801i,-0.00083674-0.00029585i
0.0027662+0.00075152i,0.0031629+0.00059411i,0.0021874+0.0013393i,0.00021163+0.0010195i,-0.00092805-0.00036992i,-0.0011788-0.00057058i,-0.00014666-0.00016637i,0.00020375-0.00060809i,-0.00021792-0.001325i,0.00032877-0.00083133i,0.00082441+0.00017898i,0.00033177+0.00039307i,0.00041991+0.00075613i,0.00071302+0.00085685i,0.00046653+0.0005408i,0.00051057+0.0007759i,-8.2997e-06+0.00063838i,-0.00052148+0.00022891i,0.00012262+0.00017962i,0.00034128-0.00013066i,-0.00053885+0.00021146i,-0.00075346+0.00078152i,0.00010847+0.00057734i
0.002047+0.0013654i,0.0019771+0.0011415i,0.0026162+0.0013825i,0.0023896+0.00061076i,0.00085439-0.00073087i,-0.0010313-0.0014971i,-0.001746-0.0017038i,-0.00057579-0.0010339i,0.00036809-0.00085015i,0.00017145-0.0006463i,-5.1093e-05+3.2756e-05i,-0.00022791+0.00080957i,-0.00011693+0.00067169i,0.00077105+0.00099597i,0.0006141+0.0010047i,-6.7708e-06+0.00061816i,4.6014e-05+0.00013886i,-0.00030116-1.79e-05i,0.00013196+2.6809e-05i,0.00030518+0.00038953i,0.00015367+0.00096404i,0.00066143+0.00076453i,0.00094253+0.00072727i
-0.00045219+0.0019666i,8.1706e-05+0.0029773i,0.0018148+0.0031935i,0.0018173+0.0022938i,0.000308+0.00062853i,-0.00061194-0.0012647i,-0.0010874-0.00206i,-0.0012266-0.0017048i,-0.001056-0.00097055i,-0.001012+0.00010364i,-0.00099857+0.00048203i,-0.00015587+0.00029331i,0.00089057+7.2786e-05i,0.00092039-0.00011463i,0.00019012-0.00029834i,-0.00029935-0.00036457i,-0.00039767-0.00015552i,-0.00040247-9.7323e-05i,0.00041972-0.00011373i,0.0006226+0.00043147i,0.00044262+0.00038729i,0.00044442+0.00020194i,-0.00012043-2.7733e-05i
0.0015187-0.00043763i,0.0019766-0.00016553i,0.0014296+0.00039036i,0.00088075+1.4251e-05i,0.00073313-0.0010106i,3.7713e-05-0.0013092i,-0.0001286-0.0011722i,0.00023384-0.0010683i,-6.5673e-05-0.0011533i,-0.00042813-0.00075947i,0.00039584+7.4334e-05i,0.00054117+0.00024998i,0.0003906-0.00046545i,9.106e-05-0.0010831i,-0.00043853-0.00038724i,-0.0003683-1.1043e-05i,-0.00027685-4.7125e-06i,-0.0004764-0.00024422i,-0.00012976-0.00065404i,0.00011492+5.4833e-05i,-0.00012258+0.0010414i,-0.00037245+0.0013307i,0.00021064+0.00048494i
0.0016231+0.0011549i,0.0019329+0.0021951i,0.0020492+0.0022212i,0.0015537+0.00036513i,0.0012344-0.0010044i,0.00023613-0.0013275i,-0.00013263-0.0012679i,0.00044714-0.00082647i,0.00064699-0.00028426i,0.0002262+4.0436e-05i,-2.6269e-05-4.3863e-05i,-0.00030254+2.0553e-05i,-0.00031477-0.00014363i,-0.00045811+0.00037233i,-0.00082161+0.00070396i,0.00023061+0.00051754i,0.00060888+0.00014101i,0.00061717-0.00040523i,0.0010517+0.00029426i,0.0003581+0.0011684i,-0.00060274+0.00076967i,-0.00099118-0.00015509i,-0.00088498-0.00024057i
0.00028864-5.5463e-05i,-0.00021491+0.00017202i,-0.0011716+0.00082373i,-0.00077553+0.00071261i,-0.0002022-0.00069383i,0.00015701-0.001568i,0.00042733-0.0014987i,8.7531e-05-0.00089406i,-0.00035408+1.4872e-05i,-0.00021185+3.3539e-05i,-0.00014266-0.00025546i,0.000186-0.00059956i,0.00069179-0.00011699i,0.00012984+0.00080364i,0.00011086+0.0005583i,8.3261e-05+0.00023104i,-0.0001584-0.00051393i,0.00023773-0.00046636i,0.00071411-9.4627e-05i,0.00027994+2.0375e-05i,-0.00010668+0.00016758i,0.00083868-0.00020786i,0.00097091-0.00065427i
0.0010466-0.00069544i,0.0008479+0.00078577i,0.0011268+0.0016509i,0.0013384+0.00056493i,0.00086553-0.00082988i,-8.5532e-05-0.00076654i,-0.00046765-0.00020415i,-4.4101e-05-0.00065377i,0.00018878-0.00028657i,-4.0337e-05+0.00064424i,-0.00050228+0.00070718i,-0.00041719+2.826e-05i,7.2602e-05-0.00041973i,-0.00012292-3.9907e-06i,-0.0007818-1.7096e-05i,-0.00019443-0.00017824i,0.00073743-0.00014398i,0.00091469-0.00011077i,0.00031244+0.00062189i,-0.00039597+0.0002482i,0.00010739-0.0013764i,0.00066815-0.0018113i,0.000415-0.0013558i
0.0020841-0.00092711i,0.0021592-0.0003508i,0.0015903+0.00044659i,0.00057243+0.00078517i,-0.00025795-0.00022469i,-0.00087379-0.0011082i,-0.00050984-0.0012115i,-0.0001889-0.0010709i,8.2826e-05-0.00053858i,0.00030246-0.00059383i,-0.00018066-0.00082327i,-0.00096237-0.00041637i,-0.00074539-0.0002464i,0.0001005-0.00019781i,4.7561e-05-0.00014733i,-0.0001157+0.00019083i,0.00044668+0.0003064i,0.00067779+0.00014166i,0.00050781+0.00030335i,0.00033558+0.00057719i,-0.0001342-0.00019652i,-2.6705e-05-0.00038639i,0.00080126-0.00035129i
0.0028761-0.0029553i,0.0014337-0.0017424i,0.0011791-0.00064314i,0.00065032-0.00034846i,-0.00013025-0.00065253i,-0.00049243-0.0006117i,-0.0005394-0.00044041i,0.00029437-0.00057875i,0.00040974-0.00099616i,-2.7982e-05-0.0012739i,-0.00047171-0.0007149i,-0.00038297-0.00038048i,0.00082016-0.00044004i,0.00035548+0.00030241i,-0.00083523+0.00088149i,-0.00011+6.0895e-05i,0.00053539-0.00055043i,0.00086707-0.00031007i,0.00135+0.00017549i,0.00048535+0.00060199i,-0.00010606+0.00056711i,0.00047329+0.00048933i,-0.00015967+0.00044858i
0.0026783+0.0015857i,0.0022256+0.0019651i,0.0022015+0.0013837i,0.0022015-0.00057786i,0.0011904-0.0017349i,-0.00011711-0.0014818i,-0.00019541-0.0022299i,0.00047393-0.0018494i,0.00035312-0.00056461i,-0.00047644-0.00020179i,-0.00024577-0.0005409i,0.0003861-0.0004262i,4.0155e-05+0.0004363i,-0.00068023+0.00029736i,-0.00053697-0.00032625i,-7.9584e-05-0.00036686i,-0.00032777+0.0003356i,-0.00067581+0.00086422i,-0.00015114+0.00089249i,0.00024114+0.00027361i,-0.00020249-0.00033915i,-0.00022996+0.00022002i,0.00023407+0.00038584i
-0.00037848+0.0013434i,-0.00021114+0.0032758i,0.00051381+0.0045872i,0.0013264+0.0026182i,0.001108+0.00031092i,0.0013762-0.00058835i,0.0012877-0.0014853i,0.00045145-0.0015857i,0.00057298-0.00085643i,0.00089905-0.00078043i,0.0008404-0.00045415i,0.00020365-0.00066195i,9.5282e-06-0.00087681i,0.0007166-0.00023671i,0.0010606-0.00061215i,0.00093477-0.00075678i,0.00097459+1.5232e-05i,0.00099088+0.00084246i,0.0007716+0.00032642i,0.0010744+0.00068942i,0.00088937+0.001179i,0.00085111+0.000376i,0.0014148+0.00018603i
0.0033122+5.162e-05i,0.0023638+0.00055681i,0.0016796+0.00068521i,0.0016535-4.8391e-06i,0.00081393-0.00097258i,-0.0010762-0.001232i,-0.0011702-0.0020622i,-0.00011369-0.0018017i,0.00064985-0.00068278i,0.000421-0.00046338i,-2.5955e-05-0.00059548i,3.0293e-05-0.00023439i,-0.00040401+0.00020945i,-0.00097637+0.00012188i,-0.0015589+0.00029602i,-0.0011311+0.00054005i,-0.0003853+0.00015508i,-4.4545e-05+0.00012196i,0.00017612+7.1551e-05i,0.00051162+0.00038172i,0.00042787+0.0011461i,0.00032573+0.000893i,-2.5545e-05-6.5376e-05i
0.0025184-0.00054904i,0.0033676+0.00055695i,0.0025892+0.00018785i,0.0011306+4.8033e-05i,0.00051745-0.00012667i,0.00051638-0.00099854i,0.00069824-0.0013402i,0.00032404-0.00064745i,-0.0003344-0.00032816i,-3.4925e-05-0.00040435i,-0.00021345-6.1135e-05i,-0.00095673+0.00033417i,-0.00059102-0.00015672i,0.00059258-0.00067089i,0.00060237-0.00061679i,0.00025634-0.00094577i,0.00020299-0.00069873i,0.00016194-0.00042971i,0.00068147-0.0004088i,0.00086565-9.5925e-05i,0.00027581-0.00022351i,2.1874e-05-0.00081385i,0.00012759-0.00089776i
-0.00068936+0.00082826i,0.00054595+0.0021551i,0.0016563+0.0031641i,0.0015016+0.0017414i,0.00061558-0.00052386i,0.00044887-0.0011026i,0.00046889-0.0013837i,-0.00031848-0.0016315i,-0.00058231-0.00091738i,-0.00040609-0.00027126i,-0.00060707-0.00080479i,-0.00034572-0.0011467i,-0.00046306-0.00053167i,-0.001143-0.00011638i,-0.0014133-0.00047992i,-0.00069784-0.0002978i,0.00019913+3.5476e-05i,0.0003707+0.00010656i,-3.8475e-05+0.0005655i,-0.00017128+0.00091321i,-0.00064092+0.00048764i,-0.00060571-1.5341e-05i,0.00021377+0.00038683i
-0.00023166+0.00024392i,0.00024201+0.00068895i,0.0004969+0.0013929i,0.00058036+0.0014848i,0.00035456+0.00024923i,-5.489e-05-0.00019909i,-0.00024537-0.00010623i,-0.00019282-0.00052556i,0.00015866-0.00036841i,0.00018608-0.00014148i,-9.4583e-05-0.00026695i,-0.00036611-0.00031436i,-0.00017252-0.000703i,0.00032849-0.00043286i,0.00033256+8.5175e-05i,-0.00013597+0.00056333i,-0.0003518+8.2658e-05i,-0.00075855+0.00020751i,-0.0012888+0.00057028i,-0.00075451-0.00041626i,-0.00032126-0.00062458i,-0.00045201-0.00058438i,-0.00030153-0.00055708i
