-0.0091629+0.00030508i,-0.01007+0.0008097i,-0.0088238+0.0044318i,-0.0043108+0.0064396i,-0.00010776+0.0054994i,0.00088529+0.0024867i,-0.00033157+0.00045391i,-0.00044335+0.00076363i,0.00025103+0.0011897i,0.0012998+0.00097361i,0.0022422+0.00043818i,0.0015331-8.2272e-05i,0.00024632-2.904e-05i,0.0003268-0.00023995i,0.00047957-0.0016432i,0.00039887-0.0019027i,0.00042608-0.00031758i,-0.00029062+0.00030692i,-0.00024362-7.0277e-05i,3.9813e-05+2.952e-06i,-2.859e-05-0.00095433i,0.00024084-0.0023487i,-0.00019191-0.0015682i
0.00040702+0.00050145i,0.00048551+0.00085171i,-0.0005034+0.00035057i,-0.00031002-0.00041895i,0.00024102+0.00015727i,0.00049659+0.00042233i,0.00083566+0.00082098i,3.8081e-05+0.0011006i,-3.5841e-05+0.001327i,0.00048266+0.001129i,0.0004009-5.6378e-05i,-0.00018176+5.9534e-05i,-0.00027088+0.00092172i,-0.00042508+0.00046825i,-0.00061521-3.2454e-05i,-0.00018385+4.0907e-05i,1.8719e-05-0.00026005i,0.00051928-0.00052731i,0.00074381-0.00030667i,0.00023866+0.00066984i,-0.00028737+0.00059161i,-3.3437e-05+1.5041e-05i,8.0209e-05-0.00026222i
-0.00016175-0.00028582i,-0.00035679+6.4387e-06i,-0.00098563+0.00044493i,-0.0008825+0.0015095i,-0.00092141+0.0011092i,-0.0010811+0.00015669i,-0.00024872-0.00034639i,9.1402e-05-0.00076387i,3.8861e-05-0.00059357i,-2.414e-05-0.00019276i,-0.00026263+0.0004277i,-8.856e-05+0.0011305i,-0.00053464+0.00087617i,-0.00059496+0.00033101i,0.00035059+0.00020456i,0.00089372-2.2693e-05i,0.00058337-0.00022751i,-1.3381e-06-0.00016417i,-0.00040362-0.00071877i,-8.6948e-05-0.00056879i,-0.00013322-0.00054175i,-0.00076465-0.00083073i,-0.00015371-0.00097861i
0.00057871+0.0015856i,0.00052127+0.0017885i,0.00022599+0.0019438i,0.00015553+0.0010924i,-0.0010403+5.9831e-05i,-0.0016372+0.00040659i,-0.0012701+0.0012438i,-0.00058647+0.00088841i,-0.00015102-0.00010126i,3.4995e-05-0.00091656i,-0.00028854-0.0010434i,-0.00014157-0.00074869i,0.00019917+0.00019951i,0.00046593+0.00064135i,0.0007927+4.244e-05i,0.00012963+0.00010905i,-0.00037259+0.00046874i,-0.00043719+0.00027718i,3.2521e-05-0.00055579i,0.0002992-0.00053809i,-0.00020907-0.0004586i,-0.00089267-0.00094556i,-0.00065969-0.00073678i
-0.0008583-0.0022213i,-0.00079096-0.0017643i,-0.0012473+0.00031901i,-0.0015662+0.00094986i,-0.00086814+0.00082115i,-0.00021292+0.00075077i,-0.00034903+0.0007184i,-0.00068206+0.00077258i,-0.0013634+0.0010411i,-0.0010461+0.00061362i,-0.0003053+6.5157e-05i,-6.5757e-05+0.00026987i,0.00079924+0.00060164i,0.00086388+0.0010246i,0.00025587+0.00086627i,-0.00074727+0.00042878i,-0.0010589+0.00033671i,-0.00032748+2.7468e-05i,-0.0003388-0.00052521i,-0.00068212-0.00046532i,-0.00030912+0.00040699i,9.9075e-05+7.6623e-05i,0.00027379-0.00026421i
0.00090271+0.0021497i,0.0011457+0.0033541i,0.0014046+0.003299i,0.00060334+0.001768i,0.00051835-0.00088553i,9.4598e-05-0.0020394i,-0.0010072-0.001387i,-0.00085717-0.0014292i,0.00031513-0.0013431i,0.00042037-0.0013112i,-0.00014605-0.0015276i,-0.00024429-0.00077288i,0.00031958+0.00026379i,0.00076876+0.0012418i,0.000331+0.0011831i,-0.00040795+0.0010694i,-0.00051758+0.00086453i,0.00026485+0.000269i,0.00079359+0.00033009i,0.00055638-0.0004362i,0.00042768-0.001346i,0.00013713-3.8759e-05i,-0.0004809+0.00073871i
-0.00072643-0.00022616i,-0.00029379+0.0010251i,-0.0002013+0.00054445i,-0.00019065-0.00023171i,-0.0010093+0.00074129i,-0.0015113+0.0011771i,-0.0015457+0.0009295i,-0.0017428+0.00026167i,-0.0016401+0.00012777i,-0.0013092+0.00024198i,-0.0008223+0.00019405i,0.00011089+0.00037306i,0.00040106-7.8575e-05i,0.00068391-0.00057714i,0.00068398-0.00023336i,-0.00022062+2.9192e-07i,-0.00030872+0.00059141i,0.00011928+0.00041925i,4.4674e-05-0.00011736i,-0.00033956+0.00034151i,-0.00016113+0.0011584i,0.00019942+0.00083774i,0.00066295+0.00046487i
-0.0007069+0.0014953i,-0.00019087+0.0011565i,0.00019767+0.00058476i,0.0001412+0.00095227i,0.00044785+0.00087717i,0.00047593+0.00036916i,-8.8364e-05+7.1864e-05i,-0.00021386+0.00016045i,7.5576e-05+0.00055546i,0.0010133+0.00014801i,0.0010914+5.0686e-05i,2.5326e-05+0.00013238i,-0.00049437-0.00017001i,-0.00019773-0.00029308i,-0.00038031-0.00021872i,-0.0005774-0.00037625i,-0.00041925-0.00021803i,-0.00048865-0.00019695i,-0.00075618-0.00085093i,-0.00032504-9.5258e-05i,0.0008382+0.00042054i,0.0011749-0.00022095i,0.0003315-0.00028578i
-0.0020117-0.00012877i,-0.0028249+0.00016035i,-0.0012956+0.0012997i,-3.3421e-05+0.00050575i,-0.00046481-0.00059123i,-0.00079411-0.00056643i,-0.0008208-9.3977e-05i,-0.00089441-0.00018951i,-0.00041534+0.00067068i,7.1643e-05+0.0006596i,0.00062577-0.00038454i,0.00038236-0.00045918i,-0.00027922-0.00021173i,-0.0009239-0.00012989i,-0.001184-0.00051429i,-0.00036265-0.00079224i,0.00029358-0.00064484i,0.00068362+0.0004373i,0.00048684+0.00047961i,1.1054e-05-0.00090592i,1.9167e-05-0.00084994i,0.00024535-4.3083e-06i,0.00064549-0.00015673i
0.0019784+0.0020726i,0.0013209+0.0031932i,0.00079802+0.0027992i,0.0014087+0.0017184i,0.00093997+0.00016017i,-0.00076745-0.00034894i,-0.0010133-0.00014606i,-0.00058851-8.5345e-05i,-0.00079309+2.2394e-05i,-0.00043279-0.00020897i,0.00040064-0.00061208i,0.001073-0.00030816i,0.00079497-0.00021933i,8.5309e-05-0.00023846i,-0.00030914-0.00015044i,-0.00042331-0.00017612i,6.576e-05-0.00043534i,0.00080617-0.00044699i,0.00078424-3.8095e-05i,0.00047476+0.00045165i,0.00018299+0.00098571i,-0.00044853+0.00063591i,-0.00015308-0.00020488i
3.6182e-05+0.00058284i,-0.001866-8.2497e-05i,-0.0026638+0.00026349i,-0.0015248+0.0011018i,-0.0012666+0.0015064i,-0.001576+0.0015291i,-0.0014118+0.0009911i,-0.0011812+0.00026547i,-0.0015509-0.00059106i,-0.0011089-0.00084806i,-0.00060825-0.00011675i,-0.00033933+1.2739e-05i,0.0005583-0.00017608i,0.00011397+0.00028416i,-0.00072671+0.00059993i,-0.00023155+0.00027693i,0.00038222+3.9465e-05i,-0.00019603+2.1122e-05i,-0.00032809+0.00039979i,2.3327e-05+8.4862e-05i,-0.00057829-0.00046243i,-0.00040541-0.00018222i,7.9456e-05-0.00039663i
-0.00037715+0.00018202i,0.00021266+0.00059211i,-0.00051166+0.00047798i,-0.00097066+0.00075389i,-0.00084539+0.00099804i,-0.00035178+0.00045766i,0.00018901-0.00021901i,-0.00021091-0.00055721i,-0.00050843-7.2801e-06i,-0.00045033+0.00066649i,0.00044028+0.00049037i,0.00088451+6.3131e-07i,-0.00038103-0.00016921i,-0.00098539+9.741e-05i,-0.0007352+0.00052193i,-0.00013198+0.0002582i,0.0010694-0.00037377i,0.00075129-0.00027186i,-0.00058617-7.5945e-05i,-0.0010455-0.000404i,-0.00023025-0.00061618i,0.001377+4.787e-05i,0.0018315+0.00023886i
0.0008767-1.6915e-05i,0.00012747+0.00054221i,0.00063191+0.0010926i,0.00060075+0.00059679i,0.0003996-0.0001601i,-0.00014529-0.00048821i,-0.00049395-0.00059921i,-0.00035181-0.00013426i,-1.8964e-06+5.7445e-05i,0.00037935-0.00042627i,0.00043466-0.0007276i,0.00031032-0.000857i,0.0004728-0.00062689i,0.00024796+0.00044881i,-0.00012413+0.00066551i,0.00017448+0.00043865i,0.00020521+0.0008716i,-0.00019916+0.00066247i,-0.00047423+0.00036006i,-0.0004246+0.00033681i,0.00052785+0.00020448i,0.00076317+0.00059991i,0.00040961+0.00062239i
0.0022301+0.00093094i,0.0015351+0.00077501i,0.00059882+0.001343i,5.5375e-05+0.00048472i,-0.00062364-0.00096282i,-0.00089262-0.0013576i,-0.00053001-0.0011585i,0.00016848-0.00072263i,-0.00021819-0.00065988i,-0.00083826-0.00078595i,-0.00092216-8.2672e-05i,-0.0012127+0.00026251i,-0.00082275+3.1726e-05i,0.00033317-0.00025897i,0.00081481-0.00011093i,0.00026514+0.00080023i,-0.00019241+0.00078702i,-2.5406e-05+0.00033494i,0.00018073+0.00020347i,0.00053844+0.00011013i,0.0003686+0.0003709i,-0.00049426+0.00031458i,-0.00045344-0.00014788i
0.0010036-0.00032751i,0.0013128-0.00027983i,0.001303-0.00047202i,0.00010725-0.00028146i,-0.00043716-0.00027034i,-0.00040364+0.00026292i,-0.00056949-0.00019266i,-0.00084694-0.00086825i,-0.00054778-0.00033351i,-0.00014493+0.00014486i,-0.00062249-9.9807e-05i,-0.00034415-0.00054489i,0.00071785-0.00065761i,0.00083964+0.00018288i,0.00025103+0.00038439i,-0.00084315-5.1493e-05i,-0.0011208+0.00019421i,-0.00064185+0.00028899i,-0.00083495-0.00011864i,-0.00068787+3.5336e-05i,-4.8997e-05+0.00033777i,0.00024545+0.00057087i,-0.00013135+0.00078059i
-0.00031981+0.00041939i,-0.0011412+0.00028874i,-0.002024+0.00068255i,-0.0017799+0.00082391i,-0.0010586+0.00073286i,-0.00023042-0.00015078i,-3.9769e-06-0.0011645i,-0.00085347-0.00092986i,-0.00098893-8.6106e-05i,4.0896e-05+9.4935e-05i,0.00018073+0.00038926i,-9.4725e-05+0.00051407i,0.00076225+0.00057178i,0.00067797+0.0003813i,0.00028437-0.00020783i,0.00080993-0.00030938i,0.00076174+0.00024933i,0.00011249+0.00047634i,-0.00068353+0.00050816i,-0.00074538+0.00053077i,-0.00010352+0.00017757i,5.0361e-05-0.00031144i,-0.00038309-0.00045224i
0.00049283-0.0011587i,-0.00033185-0.00032601i,-0.00065193+0.00048446i,-0.0013588+0.0012098i,-0.0025883+0.0012484i,-0.0026011+0.00064927i,-0.0010792-0.00024887i,-7.5399e-05-0.00026074i,-0.00042532-0.00038901i,-0.00066594-0.0005729i,6.0968e-06-0.00025257i,0.00055648+0.00024575i,0.00093316+0.00016199i,0.00091266+0.00028621i,-0.0001116+0.00057848i,-0.0006101+0.0005348i,-6.674e-05+0.00055932i,0.00048585+0.00036649i,0.00017787+0.00060321i,-0.0001517+0.00047051i,4.5237e-05+8.032e-05i,9.9058e-05+0.0004983i,-0.00014568+0.00043473i
-0.00039006+0.0012762i,-0.00074779+0.00086412i,-1.1853e-05+0.0010443i,3.5998e-05+0.00090203i,-0.001172+0.00017361i,-0.0010826-0.00046554i,-0.00012631-0.00026746i,-0.00010379-6.6175e-05i,-0.00049203-0.00063205i,-0.00053712-0.00076525i,2.8328e-05-0.00036826i,0.00024152+6.4078e-05i,0.00015601+0.00036781i,-0.0002203+0.00023353i,-0.00034059+5.5636e-05i,9.77e-05+6.3316e-05i,-9.0792e-06+0.00010614i,-0.00080398+0.00040528i,-0.00073949+5.5507e-05i,-3.2482e-05-0.00026195i,0.00032108+0.00022742i,-0.00035498+0.00042968i,-0.00079953+0.0002163i
0.00030236+0.00036713i,0.00062587+0.00011846i,-9.4769e-05-0.00020459i,-0.0004682+0.00060198i,-0.00074848+0.00011511i,-0.00042564+9.8185e-05i,-0.00026848-0.00015301i,-0.00039291-0.00092047i,3.5906e-05-0.0004499i,-2.6915e-05-0.00025162i,-0.00033993-0.00029151i,-0.00020297-0.00023462i,0.00026263-0.0002273i,0.00040228+9.4702e-05i,-8.0779e-05+0.0005357i,-0.00038709+0.0004327i,-0.00043994-0.00050898i,-7.5907e-05-0.0010688i,0.00014204-0.0014034i,0.0007097-0.0012376i,0.00066338+0.00017152i,-0.0006918+0.0012378i,-0.00057853+0.00073364i
-0.00145+0.00080791i,-0.0015971+0.00035879i,-0.0009731+0.00029343i,-0.0014285+0.0014526i,-0.001501+0.001239i,-0.00087474-0.00049674i,-0.00043567-0.0010671i,-0.00062059-0.0005277i,-0.0011558+7.2637e-05i,-0.00052988-0.0001602i,-0.00035179-4.7783e-05i,-0.0012253+0.00098414i,-0.00084535+0.0011174i,-0.00015732+0.00037575i,-6.6117e-05+5.6485e-05i,0.00022725-0.000614i,0.00030581-0.0006435i,0.0001278-0.00044646i,0.00022627-0.00084378i,0.00029068-0.00081268i,0.00026523+6.2602e-05i,0.00020012+0.00086049i,0.00037533+0.0007626i
6.8779e-05-0.0017641i,0.00050899-0.0025925i,8.0554e-05-0.0014886i,-0.00060704-0.0003884i,-0.00030377+0.00033145i,-9.1488e-05+0.00038792i,0.00073852-0.00033075i,0.0013615-0.00084784i,0.00027291-0.00069218i,-0.00062125+4.1719e-05i,-0.00040902+0.00026948i,-0.00055493+5.3028e-05i,-0.00050481-9.1084e-05i,-7.0222e-05+4.7598e-05i,9.4748e-05-2.7021e-05i,-0.00043424+0.00022635i,-0.0010425+0.00059205i,-0.00097383+0.00068467i,-0.00069188-0.00013947i,-0.00030978-8.3964e-05i,7.9021e-05+0.00066681i,-0.00083336+0.00038208i,-0.00098505-0.00026002i
-1.5548e-05+0.000276i,-0.00053703+0.00068573i,-0.00039104+0.0010143i,-0.00063879+0.00086163i,-0.00097067+0.00045315i,-0.0011026+0.00026495i,-0.00039992-0.00051685i,-0.00010445-0.0010993i,-2.7455e-05-0.0011269i,0.0010768-0.00094653i,0.0019879-0.00099031i,0.00085485-0.00037304i,-0.000359+0.00073876i,-0.00071985+0.00082279i,-0.00050251+0.0004193i,3.5459e-05+0.00017647i,-0.00042573-6.5483e-05i,-0.0010283-0.0009866i,-0.00058124-0.0012779i,-0.00054287-0.00010656i,-0.00058732+0.00053756i,-0.00035643-0.00015849i,-0.00037515-0.00020721i
0.0012734+0.00071338i,0.0020131-0.00023533i,0.0024635-0.00095086i,0.0015079-0.0011829i,-0.00051525-0.0023548i,-0.0013477-0.0025172i,-0.00014982-0.0015249i,0.00057105-0.00041571i,0.00016252+0.00023759i,0.00017055+0.00027112i,-7.9214e-05-0.00021197i,-0.00063427-9.895e-05i,-0.00058892+0.00016732i,-0.00024092+0.00017308i,-0.00019186-0.00033926i,0.00012042-0.00070991i,0.00035819-0.00046724i,0.00011074-0.00045453i,-7.8232e-05-0.00026374i,4.536e-05-5.6278e-05i,0.00015883+0.00034563i,-1.46e-05-6.1044e-05i,0.00028253-0.00071989i
-0.0012412+0.00017089i,-0.0015578+0.00069291i,-0.0019947+0.002257i,-0.0021601+0.0025589i,-0.0016924+0.0011476i,-0.00080667+0.00068364i,0.00018647+0.00064382i,0.0010113-0.0002367i,0.0011248-0.00035962i,6.0487e-05+3.9634e-05i,-0.00089864+0.00016771i,-0.00083502+0.00015919i,-0.0005788+0.00036919i,-0.00025517+5.7615e-05i,0.00038451-0.0001675i,0.00043812+1.0708e-05i,-0.0003717-0.00050316i,-3.5239e-05-0.001198i,0.00018047-0.0009123i,0.00011886-0.00032581i,0.00078244-2.1796e-05i,0.00085502+8.5252e-05i,0.00013774+9.2484e-05i
0.00053197+0.0013934i,-4.8433e-06+0.00058647i,-0.00033856-0.00033996i,6.0334e-05-0.00018451i,-0.00065207+0.0010169i,-0.0012974+0.0011773i,-0.0012232+2.8971e-06i,-0.00093899-5.0137e-06i,-0.0008762+0.00033448i,-0.00050064-0.00050004i,0.00038962-0.00069761i,0.00049947+9.1432e-05i,-0.00032407+0.00081517i,-0.00081424+0.00078724i,-0.00038821+0.00071274i,0.00056501+0.00096811i,0.00096376+0.00095972i,0.00036096+0.00040413i,-0.00016135-0.00012723i,-0.00066764-0.00079635i,-0.00015107-0.00089037i,0.00087194-2.9742e-05i,0.00089716+0.00016279i
0.00067408+0.00062681i,-0.00011072+0.00056206i,-0.00036892+0.0005652i,-0.00043424+0.0003923i,-0.00047618-2.55e-05i,0.00018477+1.8395e-05i,0.00018393-2.9689e-05i,0.00014112+9.7346e-05i,-9.2218e-05-0.00015789i,-0.00042098-0.00071477i,-4.2161e-05-0.0011442i,0.00010492-0.0010317i,-0.00035456-0.00088593i,-0.00014478-0.00029166i,0.00027909+9.8856e-05i,0.00017442-0.00035896i,0.00067134-0.00075689i,0.0012544-0.0003573i,0.00092282+3.1762e-05i,0.00033593+0.0003154i,-0.00056495+0.00034667i,-0.00041278-4.5806e-05i,-0.00036996+0.00020491i
-0.0012915-0.0019032i,-0.0013443-0.0019343i,-0.0016704-0.0010347i,-0.002104+0.0010752i,-0.0019071+0.0022311i,-0.0012923+0.00099485i,-0.0013602-0.00060853i,-0.001348-0.00087347i,-0.00036672-0.00029812i,-0.00010974-0.00033004i,4.4074e-05-0.0006521i,0.00053168-0.0010597i,0.00038764-0.00033304i,0.00063244+0.00041122i,0.00025308-0.00019265i,-8.6909e-05-2.6484e-05i,-7.1549e-05+0.00041634i,-0.00048868-7.3336e-05i,-0.00044523+1.2418e-05i,0.00060304+0.00033216i,0.001116-0.00036351i,0.0010153-0.0007328i,0.00069801-0.00047981i
0.0019+7.1443e-05i,0.0019429-0.001415i,0.001138-0.0016586i,-7.8864e-05-0.00075175i,-0.00081692-0.00099896i,-0.00070268-0.00085841i,-0.00044744-0.00062851i,-0.00048265+0.0002133i,-0.00036674+0.00025193i,-0.00035431-0.00091906i,-0.00059828-0.00088247i,-0.0010019+0.00011868i,-0.00045668+0.00039744i,0.0004801+0.00032308i,0.00044902+1.2583e-05i,-5.7402e-05-0.00025496i,-0.00030374+0.00037502i,-0.00021288+0.00065833i,-0.00058811+0.00025606i,-0.00082514-0.00013982i,-0.00016843-0.00033485i,0.00048386-0.00013199i,0.00085752+0.00020927i
-0.0015319-0.00091652i,-0.0019676+0.00048513i,-0.0028654+0.0017223i,-0.0036949+0.0010922i,-0.0017785-5.9495e-05i,3.8855e-05-0.00035467i,-0.00049366-0.00067756i,-0.00071098-0.00079688i,-7.6962e-05+3.3567e-05i,0.00076747+0.00034319i,0.00079673-0.00065486i,-9.4745e-05-0.00061973i,-9.7452e-05+0.00050083i,0.00037338+0.0011334i,0.00050575+0.00043022i,0.00024475-0.00037262i,-0.00064329-7.7761e-05i,-0.00085945-0.00044347i,-0.000256-0.00011885i,-0.00024993+0.00098335i,-0.00010867+0.0005025i,2.1815e-05-0.00014268i,-0.00050878+0.00026989i
-0.00036547+0.0018839i,0.00015185+0.0014825i,0.0017854+0.0016312i,0.0024076+0.001909i,0.0015622+0.0008649i,0.0005509-0.00083056i,-0.00050482-0.0014394i,-0.0011881-0.001704i,-0.00066322-0.0012932i,4.8304e-05-0.00062008i,-0.00028846-0.0004457i,-0.00043786-0.00043655i,0.00027607-0.00031095i,0.00089715-0.00070426i,0.00080348-0.0010431i,0.0002922-0.00046437i,-0.00054049-0.00042251i,-2.2342e-06-0.00035159i,0.00015009+0.00011946i,-0.00099174+0.00055413i,-0.0012078+0.0005302i,-0.00065616+0.00037341i,-7.8809e-05+0.00031469i
0.0012438-0.00067506i,-0.00027832+0.00052877i,-0.00085946+0.0012548i,-0.0019587+0.001226i,-0.0035701+0.0011407i,-0.0029083+0.00079612i,-0.00098929-0.00016251i,-0.00091593-0.00027951i,-0.0015989-0.00026824i,-0.0011572-0.00073115i,-0.000772-0.00085402i,-0.00044024-0.0005939i,7.4141e-05-0.00011047i,-0.00015521+0.0001132i,-0.00045454+0.00022738i,-0.00038183+0.00056117i,-0.00044638+0.00089907i,-0.00059968+5.1976e-06i,-0.00050068-0.0011362i,-0.00019723-0.00087503i,-0.0003055-8.0194e-05i,-0.00040933+1.7223e-05i,-0.00024532-0.00011438i
0.0004723+0.0040106i,0.00093666+0.0033004i,0.0015564+0.0014369i,0.0018082+0.00013775i,0.0015526-0.00065819i,0.00068431-0.0012394i,-0.0006973-0.00024235i,-0.0015404+0.00032978i,-0.00081405-0.00054104i,0.00014996-0.000717i,0.00049355-0.00027667i,0.00015822-0.00050856i,-0.00018839-0.0011386i,-0.00063138-0.00091948i,-0.00025341-0.00038713i,0.00035176-0.00023336i,-0.00036293+0.00039458i,-0.0010093+0.00043495i,-0.0005361-0.00042626i,9.6394e-05-0.00041338i,0.00049256-4.7411e-05i,-0.00020786+0.000427i,-0.0014314+0.00033106i
