-0.001672+0.00022706i,-0.0029634-0.00084264i,-0.00412-0.0013657i,-0.0025098-0.0011103i,-0.00085897-0.00020914i,-0.00016758+0.0008238i,0.00030667+0.0014362i,0.0007348+0.001569i,0.00088266+0.00046287i,0.0011506-0.00040799i,0.000888-0.0007873i,-0.00048105-0.00099393i,-0.0011176-0.00054922i,-0.0011159+0.00038725i,-0.0010901+0.00023947i,-0.00068284+0.0001832i,-0.00042847+0.00033277i,-8.8494e-05+0.00034035i,-3.468e-05+5.0397e-05i,-0.00082283-0.00080157i,-0.00015043-0.0013336i,0.000963-0.0011199i,0.00024447-0.0002339i
-0.0006962+0.00080515i,4.9964e-05+0.00032977i,0.00025509+0.00033876i,-0.0012591+0.00035416i,-0.0014229+0.00058301i,-0.00049948+0.00070236i,-9.275e-05+0.00065098i,0.00023432+0.00062331i,0.0008023+0.00060097i,0.00022526+4.4006e-05i,-0.00037202-0.00031283i,-0.00031084-0.00045078i,-0.00078836-5.913e-05i,-0.0003812+0.00043532i,0.00025032-0.00012789i,-0.00059135+0.00035242i,-0.0019121+0.00034424i,-0.0019785-0.00076852i,-0.0010546-0.00080925i,-0.00052528-3.5536e-05i,-0.00026911+0.00022229i,-0.00029317+0.00018273i,-0.00086972-0.00020434i
-0.0030419-0.0010212i,-0.0024762-0.00018325i,-0.0020593-0.00010118i,-0.0013537+0.00048995i,-0.00016471+0.00045669i,0.00050553-4.2859e-05i,0.0010746-0.00041599i,0.0013165-0.00079237i,0.0014351-0.00036086i,0.00096738+0.00020512i,-0.00024361-0.00032419i,-0.00069227-0.00069969i,-0.00044141-0.00065033i,0.0005577-0.00081341i,0.00088737-0.0012469i,-0.00041256-0.0010885i,-0.00063229-0.00097163i,0.00018679-6.5485e-05i,0.00023544+0.0009887i,-8.0211e-05+0.0005897i,8.7068e-05+0.00036593i,0.00017451-0.00016076i,-0.00068603-0.00092728i
0.0029924-0.00037719i,0.0024532-0.0009039i,0.0017868-0.0015556i,0.0013443-0.0017792i,0.00056193-0.0015504i,-2.1711e-05-0.00037758i,0.00034444+0.00015651i,0.00072361+0.00017383i,0.00056807+0.00018388i,0.00041434+2.1466e-05i,-0.00031364+0.00016104i,-0.0012423+0.00038666i,-0.00057598+0.00022284i,-0.00015163-0.00031399i,-0.00016337-0.00045733i,-0.00016265+0.00036891i,-0.00011311+0.00068412i,1.6919e-05+0.00032796i,-0.00032133+0.00034353i,-0.00097235+0.00037236i,-0.00033039+0.00045637i,0.00022099+0.00090087i,0.00034076+0.00064144i
0.0016069+0.00023017i,0.0011608-0.00040323i,0.0006565-0.0018362i,-0.00082484-0.0029252i,-0.00059148-0.0020856i,6.3048e-06-0.00050645i,6.8241e-05-1.4116e-05i,0.00076083-0.0002719i,0.00095156-0.0010242i,0.00027523-0.001586i,-0.00051733-0.00098783i,-0.00068232+6.6601e-05i,-0.00058917+0.00033478i,-0.00075059+0.00018397i,-0.00048275-2.2651e-05i,-0.00051463+0.00026539i,-0.00077672+0.00038363i,-0.00032906+0.00078742i,0.00029673-6.572e-05i,0.00031922-0.00085806i,1.7216e-05+0.0001348i,-0.0002755+0.00062664i,0.0002742+0.0003946i
0.00042892+0.00031916i,0.00032948+0.0010741i,0.00081032+0.00012156i,0.0013832-0.00058582i,0.0011436-0.00059761i,0.00074346-0.00074302i,0.00065988-0.00045367i,0.0003493-0.00049986i,-0.00016486-0.00052599i,-0.00065068+0.0003859i,-0.0004073+0.00035892i,0.0002519+0.00020854i,-0.00012386-0.00011039i,-0.0002326+0.00033887i,-0.0002435+0.0010969i,0.00019862+0.00050385i,-0.00045177-0.00030582i,-0.0012627-0.00067911i,-0.00032162+0.0002254i,-0.00036576+0.00065111i,0.00012918-4.2769e-05i,0.00053909+0.00042595i,-1.5257e-05+0.0011104i
0.0012118+0.00011144i,0.0016351+0.00053458i,0.0016925+0.00018391i,0.00064437-0.00036182i,6.9371e-05-0.00056697i,0.0001973-0.00021127i,0.00051815-0.00029304i,0.0001056-0.000214i,-0.00010197+0.00014956i,-8.7707e-05-3.2426e-05i,-0.00065283-5.8093e-05i,-0.00096303-4.3269e-05i,-0.00096373-0.00022834i,-0.00077187-0.00016786i,-0.0011434-4.1075e-05i,-0.00093117+0.00033835i,0.00010594+0.00013369i,1.3139e-05-0.00062157i,-0.00043356-0.00055924i,0.00010959-0.00012239i,0.00096466-0.0001512i,0.0013799-0.00065036i,0.0013074-0.00050634i
-0.0027076+0.0018526i,-0.0022887+0.0024909i,-0.0010843+0.0022155i,0.00075961+0.00070854i,0.0014669-0.0015329i,0.0010017-0.0018i,0.00073947-0.00014892i,0.00082721+0.00032484i,0.0010586-0.00018783i,0.00049859+0.00029957i,-0.00058342+0.0004906i,-0.00033615-0.00031368i,0.00031537-0.00050035i,9.0167e-05-0.00011502i,-0.00033313+1.497e-05i,-0.00074054-0.00031676i,-0.00067468-0.00077405i,7.4085e-05-0.00068255i,0.00059096+0.0006423i,0.00037324+0.0014572i,-1.6439e-05+0.0013784i,-0.00077484+0.0013525i,-0.0011861+0.00090931i
-0.0019397-0.00060232i,-0.0016951-0.0011348i,-0.0016758-0.00052668i,-0.0015789+0.00043562i,-5.4513e-05+0.0010698i,0.0012671+0.00055801i,0.00091549+0.00026653i,0.00028888+0.00055936i,0.00085166+0.00039552i,0.00061582-0.00046906i,0.00062753-0.00014104i,0.00060583+0.00044865i,0.00024119+0.00015763i,-0.00030346-0.00014509i,-0.0010755-0.00012781i,-0.00066692+0.000133i,-0.00028545+0.00011449i,-0.00011488+0.00025648i,0.00050195+0.00063994i,0.00030417+0.00051129i,0.0001728-0.00010751i,3.3263e-05-0.00070823i,-0.0003088-0.00041028i
0.001773-0.0017028i,0.0015071-0.0013793i,0.00075551-0.0033046i,-0.0002004-0.0032458i,-0.00058918-0.0015698i,-0.00050334-0.00073268i,-0.0004303+0.00044966i,-0.00018079+0.00080549i,-4.5933e-05-6.1314e-05i,-0.00062573+1.3152e-05i,-0.00038195+0.00058802i,-0.00039232+0.00073521i,-0.00061747+0.00046424i,-0.00032281+0.00028806i,-0.00067121+0.00025683i,-0.00073214+0.00018757i,-0.00073017-0.00034014i,-0.00053989-0.00044454i,0.00023117+0.00023574i,0.00035148+3.2249e-05i,0.00048413-0.00022594i,0.0010292+9.0657e-05i,0.00044846+0.00023024i
-0.00010144+0.00072148i,1.7809e-05-7.6873e-05i,0.00053891+0.00082107i,0.0007167+0.00032117i,0.00096468-0.00061569i,0.00061599-0.001119i,1.1228e-05-0.0010797i,0.00031294-0.00040471i,0.00010565+1.5021e-05i,-6.6054e-05+0.00024226i,0.00023777-0.00024044i,3.4371e-05-0.00072007i,-0.00073806-0.00072907i,-0.00079424-0.00027969i,-0.00023228+0.00022913i,-0.00069737-0.00010395i,-0.00041681+4.8902e-06i,0.00042061-6.7309e-05i,0.00020063-0.00012852i,0.00051924+3.3106e-05i,0.00075355-0.0005628i,0.00060212-0.0006941i,0.00099697-0.00025021i
0.0020094+0.00018816i,0.0020932+0.00089995i,0.0014246+0.00052805i,-0.00010389+0.0005857i,-0.00023846+3.0911e-05i,-3.6356e-05-0.00030211i,0.00043949+0.00024419i,0.0011969+0.00019087i,0.00051683-7.764e-05i,-7.873e-05-9.3351e-05i,-0.00025257-0.00019221i,-0.0002141-0.00026444i,-0.00027525-0.00026975i,-0.00057659-0.00016439i,-0.00076507-0.00083724i,-0.00089428-0.0012773i,-0.00046013-0.00071847i,-0.00027738-0.0004475i,-0.00022687+4.1316e-06i,0.00034696-0.00021292i,0.00076503-0.0007497i,0.0009476-0.00091804i,0.0014146-0.00068883i
-0.00078885+0.00159i,-0.0010637+0.0024296i,-0.0019043+0.0015225i,-0.00050922+0.00057059i,0.00096674+0.00028986i,0.0010069-0.00027004i,0.0010681-0.00049748i,0.00059157-0.00041105i,-5.2462e-05+5.8022e-05i,0.00029387+0.00034521i,0.00063417+0.00042457i,-0.00021071-1.0063e-05i,-0.00072585-0.00015186i,-0.00058333-1.7243e-05i,-0.00055067-8.8934e-05i,-0.00075105+0.0004938i,-0.0012597+0.00085195i,-0.0012726+0.00020595i,-0.00042234-0.00064665i,0.00094354-0.00047016i,0.00085282+0.00069507i,0.0001445+0.00068082i,-0.0005465+0.00013632i
-0.0017723+0.00035584i,-0.0026105+0.00065017i,-0.0017652+0.00061153i,-6.2867e-05+0.00060859i,0.00052591+0.00047982i,0.0006854+0.00012493i,0.00091277-0.00024279i,0.00071302-0.00056203i,0.00049528-0.00062922i,0.00044048-0.00076979i,-2.006e-05-0.00097326i,-0.00067396-1.5755e-05i,-0.0014077+0.0007356i,-0.0017969+4.3606e-05i,-0.0011001-0.00055918i,-0.0011778-0.00065462i,-0.00073262-0.00039928i,0.00015163-4.5518e-05i,0.00058099+0.00037419i,0.00055626+0.00023171i,0.00057758-0.00067714i,0.00038846-0.00014483i,-6.0268e-05+0.00067377i
-3.2223e-05-0.0023271i,-0.00032609-0.0020087i,-0.0011289-0.0022605i,-0.0023251-0.0019991i,-0.0017343-0.00062951i,-0.00097398+0.00027503i,-0.00040346+0.00022817i,0.00020795+0.0003523i,0.00019299+0.00035494i,0.00060621+0.0003543i,0.00060679+0.00040014i,0.0001314+0.00010732i,-9.5129e-05+0.00034646i,4.5583e-05+5.3816e-05i,4.8644e-05-0.0009099i,-0.00018541-0.0006984i,-0.00034679-0.00035538i,-0.00087379-0.00038603i,-0.00055675+0.00040659i,0.00014197+0.00036599i,0.00050375-0.00040154i,0.00087116-0.00059166i,0.00039774-0.00048999i
-0.00080236+0.0018173i,-0.00015154+0.0019511i,0.0018513+0.0022171i,0.0032972+0.0014743i,0.0031401+0.00068218i,0.0021831-0.0010355i,0.00094166-0.0020355i,0.00036135-0.00051136i,-0.00019728+0.00045637i,-0.00030247+0.00053023i,-0.00025904+7.3091e-05i,-0.00093235+2.3878e-05i,-0.0014834+0.00030814i,-0.0018135+0.00056888i,-0.0015249+0.00068612i,-0.00013293+0.00076531i,0.00043098+0.00047136i,0.00022041+0.00014453i,0.0002696+0.00069771i,0.00060714+0.00079176i,0.00072971+0.00013067i,0.00055581+0.00060653i,-2.7239e-05+0.0010486i
0.00077371+0.00081269i,0.00071144+0.0011308i,0.00058603+0.00089614i,0.0010234+0.00088887i,0.0011096+0.00076718i,-7.4629e-05+0.00065271i,0.00023271+0.00072163i,0.00034731+0.00078061i,-0.0001117+0.00059092i,-0.00017554+9.5456e-05i,-0.00070742-0.00073765i,-0.0011568-0.00085523i,-0.00028027-8.2332e-05i,0.0003222+0.00035727i,-0.00021927+0.00023187i,-0.0003533-0.00021365i,-0.00025352-0.00043651i,-0.00026196-0.00058067i,-0.00059727+7.2178e-05i,-0.0014067+0.00088738i,-0.001133+0.00049139i,0.00015845+0.00047905i,0.00056883+0.0010456i
