-0.0035176-9.0264e-05i,-0.0026859-0.00043074i,-0.0025633-9.7365e-05i,-0.0029035+0.0015518i,-0.0032113+0.0027545i,-0.0022779+0.0018742i,-0.0016203+0.00060144i,-0.0012448+0.0010522i,0.00011005+0.0018003i,0.0014115+0.0010189i,0.0015972+0.00021481i,0.0013097-0.00051215i,0.00096704-0.00050562i,0.00029633-0.00040883i,0.00016789-0.0003239i,-0.00025352+6.2473e-05i,-0.00012317+1.222e-05i,9.4876e-05-0.00027116i,-0.0007415-9.9531e-05i,-0.00074952-0.0003667i,5.0251e-05-0.00066645i,-0.00029228-0.00093704i,-0.0007073-0.00097908i
0.0002601+0.00050632i,0.00097035+0.00047323i,0.0012407+0.00051571i,0.00096203+0.0001451i,0.00044367-0.00062451i,-0.00039162-0.0006962i,-0.00019864+0.00015994i,2.8139e-05+0.0015298i,0.00049207+0.0018321i,0.0013865+0.0015364i,0.0010544+0.00088415i,0.00067292-0.00031547i,0.00050823-0.00095345i,-0.0002225-0.0011186i,-0.00067342-0.00022248i,-0.00075738-0.00030973i,-0.00088707-0.0014237i,-0.00058722-0.0016026i,0.00010883-0.0010106i,-0.00031349-0.00047048i,-0.00060699-0.0003865i,0.00027092+2.8761e-05i,0.00017095+0.00059461i
1.352e-05+0.00095927i,-0.00097191+0.000567i,-0.00072504+0.00034459i,-0.00071142-0.00085889i,-0.00049371-0.0020325i,0.00015355-0.00083165i,0.00022329+0.00086936i,0.00018331+0.0014824i,0.00070773+0.00098283i,0.0010774+0.00060584i,0.001468+0.0011185i,0.00075603+0.0013099i,0.00019298+0.00016986i,0.00075297-0.00026157i,0.00050569+6.7346e-06i,-0.00034745+0.00041568i,-0.00082853+0.00024363i,-0.00033221+0.00017466i,0.00029034+0.00063376i,0.00016508+0.00053233i,-0.00023522+0.00073908i,-0.00020722+0.00037544i,0.00019065-0.00011955i
-0.00063847+0.00051538i,-0.0011821-0.00018326i,-0.0021682-0.00031977i,-0.0024968+0.00047057i,-0.0022675+0.0010454i,-0.0020889+0.0014014i,-0.00085196+0.0011233i,2.4177e-05-1.5632e-06i,-0.00041928+0.00022352i,-0.00011661+0.00011875i,0.00034615-0.00030509i,5.8519e-05+0.00018269i,0.00064394+0.00027321i,0.0009611-0.00024646i,1.1143e-05-0.00025976i,-0.00066154+0.000111i,-0.00055185+0.00011805i,-0.00023192+0.0003198i,-0.00044323+0.00019971i,-0.00065063-0.00024582i,-0.0001475-0.00024926i,0.00056253+0.00062338i,0.00071629+0.00069171i
-0.00044835-0.00047491i,-0.00083211-0.00024973i,-0.0010878-0.00058325i,-0.001673-7.7542e-05i,-0.0021113+0.00020445i,-0.0015202+9.7398e-05i,-0.00090677+0.00060274i,-0.00083146+0.00058145i,0.00038941+0.0002791i,0.0013681+8.0085e-05i,0.00035875+0.00038832i,-0.00069406+0.00059549i,5.3331e-05+0.00044455i,0.00059745+0.00040581i,0.00045379+0.00014817i,0.00056742-0.00012448i,0.00067464-6.6803e-05i,0.00027166+0.0002112i,-5.4444e-05+0.00073802i,-0.000126+0.0010752i,-0.00023009+0.00069582i,-0.00064622-0.00038396i,-0.00053654-0.00073771i
-0.00014504-0.00093443i,0.0002361-0.00087018i,-0.0008898-0.00097972i,-0.0011926+0.00014048i,-0.00084704+0.0013279i,-0.0009756+0.0011035i,-0.0010807+0.00030824i,-0.0012593-0.00020789i,-0.00076085+0.00063467i,0.00035582+0.0018667i,0.00071742+0.0014206i,1.9887e-05+0.00063406i,0.00075453+0.0003378i,0.0011424-0.0003444i,-0.0003882-0.0013908i,-0.00033388-0.00092653i,0.00031715+1.0376e-05i,0.00035557+0.000259i,0.00061994-0.00017326i,0.00062547-0.00033607i,-1.9676e-05-5.1502e-05i,0.0001424+0.00027135i,0.00082214+0.00087452i
0.00069352+5.3871e-05i,0.00090779-0.0012476i,0.00077434-0.0021674i,-0.00021677-0.0015926i,-0.00077267-0.00063509i,-0.0004202-0.00068231i,-0.00010072-0.00054182i,0.00054469+0.0003034i,0.0013597+0.00093501i,0.0010442+0.0011219i,0.00058173+0.00075553i,0.00029174+0.00062983i,1.7796e-05+0.00065222i,-0.0001141+0.00070366i,8.162e-06+0.00048766i,0.00050672+0.00010759i,0.0004792-0.0002338i,-0.00063882+0.00050697i,-0.0014522+0.00073115i,-0.00070342-0.00050817i,0.00025017-0.000379i,-3.4275e-05+0.00093464i,-0.0001111+0.0011897i
0.0021051-1.8382e-05i,0.000422+0.00035833i,-0.0012521-0.00023848i,-0.0015507-0.00023479i,-0.0010976+0.00072643i,-0.00078995+0.0005697i,-0.0006956+0.00029938i,-0.00026857+0.00066095i,0.00041816+0.00042689i,0.00082199-7.7176e-05i,0.0005941+1.8288e-05i,0.00047785+0.00034231i,0.0017811+0.00033921i,0.0014045+0.00050549i,5.0223e-05+0.00054142i,-0.00036287+0.00080267i,-0.00013359+0.00081125i,0.00031804+0.00053145i,0.00027563+6.7011e-06i,0.00067282-0.00028111i,0.00093272-0.00014784i,0.00060009-0.00018093i,0.00028948+0.00014376i
-0.001161+0.00039924i,-0.001577+0.00046482i,-0.0017132-0.00037097i,-0.0015439-0.00066432i,-0.0011808-0.00045703i,-0.0011492-0.0005705i,-0.00094061-0.0011151i,-0.00095978-0.0016824i,-0.00054989-0.00094612i,0.0002138+0.00040085i,5.5372e-05+0.0004351i,0.00027095+8.2931e-05i,0.00072742-0.00018989i,0.00059198-0.00051281i,0.00010723-0.00049885i,-0.00022619-0.00045341i,-0.00061392+2.6862e-05i,-0.001114+0.00018849i,-0.0010337+0.00050985i,-0.00084618+0.00062161i,-0.00052593+0.00010265i,-0.00010812-0.00035598i,0.00016466-3.2708e-05i
-0.0036216-0.0024953i,-0.00447-0.0012949i,-0.0047765-0.0014802i,-0.0045236-0.0012141i,-0.0028415+0.00023854i,-0.0012906+0.00074252i,-0.0012291+5.8361e-06i,-0.00036409+6.0999e-05i,6.6353e-05+0.00074013i,0.00015577+0.0012966i,0.00072271+0.00093238i,0.0013192+4.3311e-05i,0.0012463-0.0011043i,0.00037818-0.0011229i,-0.00048072-0.00040793i,-0.00078074-0.00036947i,-0.00080977-0.00017222i,-0.00053439+5.6243e-05i,-0.00012391-6.6535e-05i,0.00042408-0.00060624i,0.00044536-0.00038885i,5.4474e-05+0.00014721i,-0.00029725+4.8763e-05i
0.0014846-0.00025894i,-0.00039325-4.5335e-05i,-0.00099797-0.0011179i,-0.0010426-0.0016815i,-0.0014438-0.0012637i,-0.0015231-0.00089383i,-0.00087779-0.00056261i,5.0161e-05-0.00035782i,0.00082182+0.00062458i,0.00086132+0.00075082i,-3.8275e-05+0.00012896i,-0.00050603+0.00075758i,-0.00019921+0.00091442i,1.2745e-05+0.00013832i,9.1473e-05+1.9519e-05i,-2.9568e-05-8.7249e-05i,0.00033616-0.00034391i,0.00013987-0.0004445i,-0.00037794-0.00043036i,3.6116e-05-0.00026466i,0.00044546+3.3478e-05i,0.00043626+0.00076796i,0.00022265+0.00078919i
-2.4211e-05+0.00085638i,-0.00024989-0.000574i,-0.00013618-0.00046532i,-0.00076343-0.00067203i,-0.00024727-0.0014321i,6.1237e-05-0.00051256i,-0.00066578-7.4778e-05i,-0.00012867-0.00096147i,0.00052187-0.00092783i,0.00073758+0.0001253i,0.00049051+0.0009565i,-0.00014107+0.00085284i,-0.00014083+0.00042502i,0.00041388+3.4862e-05i,0.00054524+0.00034796i,0.00069021+0.0010288i,0.0002783+0.00095786i,-0.00021033+0.00033951i,0.0006186-0.00038835i,0.00022226-0.0008401i,-0.00078638-0.00054261i,-0.00035008-0.00037196i,0.00029057-0.0006614i
-0.002505-5.9408e-05i,-0.0013632+0.00058836i,-0.0014306+0.00054786i,-0.0013957-4.3821e-05i,-0.0017705+0.00018569i,-0.00043046+0.00036534i,0.00038107-0.0004573i,-0.00029117-0.0005198i,-0.00052597+0.00050378i,-0.00012426+0.00098712i,0.00074032+0.0010152i,0.00062469+0.0011076i,-7.5874e-05+0.00034888i,0.00010657-0.00047881i,-0.00044788-0.00036095i,-0.0012425-0.00060869i,-0.0012805-0.00022373i,-0.0011195+0.00031057i,-0.00061526+0.00060429i,-0.00036947+0.00068295i,-0.00054196+4.9387e-05i,-0.00066357-0.00039642i,-0.00019986+0.0001212i
0.00027579-0.0013027i,-0.00010347-0.0017409i,-0.0010335-0.0012943i,-0.001161-0.00048575i,-0.00061814-0.00066576i,0.00062231-0.0006554i,0.00092555-0.00017013i,0.00030663+0.0005495i,0.00045317+0.00072858i,0.00050405+0.00072251i,0.00013137+0.00059638i,4.7498e-06+4.8782e-05i,-0.00050064-0.00045913i,-0.00034449-0.00092627i,0.00018383-0.00062906i,0.00055211+0.00018522i,0.00033553+0.00048518i,-0.00022144-0.00026921i,-0.00046681-0.00012676i,-0.00047876+0.0001692i,7.4971e-05-0.0006727i,0.00042742-0.0005449i,0.00016943-3.4641e-05i
-0.00069298-0.0010946i,0.00023373-0.0012594i,-4.6305e-05-0.00066106i,-0.00083092-0.00054458i,0.00015703-0.00082273i,0.00044322-0.0012796i,-0.00058049-0.0012764i,-0.00043129+0.0002978i,0.0009795+0.001075i,0.0014913+0.001584i,0.0010505+0.0014268i,0.00082964+0.00012929i,0.0010546-0.00064203i,0.0012075+0.00019409i,0.0010886+0.0010422i,0.00072501+0.00024913i,0.00028861-0.00033635i,0.00034488-0.00098569i,0.00038843-0.0011381i,0.00036631-0.00070757i,0.00037985-0.0003859i,0.00038116-0.00029804i,0.00023602-0.00079045i
0.00063304-0.00056447i,0.0014247-0.0010093i,0.00064793-0.00014316i,-0.0010036-0.00043178i,-0.00172-0.00124i,-0.00069075-0.00050346i,-0.00013759+0.00031164i,-0.00027059+0.00019848i,3.619e-05+9.0924e-05i,0.00052108+0.00045755i,0.00046816+0.00057562i,-0.00029329+0.00047113i,-8.6488e-05+4.0123e-05i,0.00032746-0.00050216i,9.314e-05+2.78e-05i,3.2932e-05+0.00043141i,0.00013878+0.00045053i,0.0003169-7.0716e-05i,0.00051231-0.00067384i,8.7318e-05-2.7673e-05i,-0.00061402+0.00013476i,-0.00011317-0.00020299i,0.00044767-0.00039361i
-0.00060447+0.0011286i,-0.0012642+0.0017488i,-0.00072293+0.00084811i,-0.0009764-0.0007423i,-0.0018382-0.00092189i,-0.0011493+0.00025512i,-0.0008282+0.00050106i,-0.0007081+0.00020905i,-0.00022414+0.00020673i,8.4151e-06+0.00028729i,0.00044563+0.00056834i,0.00077306+0.00090242i,0.00089886+0.0010583i,0.0005118+0.00085912i,1.2988e-05+0.00043769i,-0.00010955+6.3712e-05i,-0.00035776-7.4682e-05i,-0.00036104+0.00016842i,-8.6288e-05-3.6725e-05i,-0.00047009-0.00077195i,-0.00078612-0.00059313i,-0.00028887-0.00014118i,0.00014466+6.0603e-05i
0.0018341-0.00039137i,0.0015237-0.00080209i,0.00067111-0.001051i,-0.00031188-0.001304i,-0.0010261-0.00069356i,-0.00093936-3.5777e-05i,0.00013595+0.0006557i,0.00055317+0.00062248i,0.00070147+0.00050764i,0.0012448+0.00080405i,0.00097211+0.00038714i,0.00055126+0.00039534i,0.00060754+0.0011943i,0.00077174+0.0012245i,0.00066666+0.00050006i,0.00021305+0.00043493i,-0.00023568+0.00040497i,-9.331e-05+0.00031589i,-0.00029933+0.00061453i,-0.00033442-2.6632e-05i,0.00024805-0.00020263i,0.00071002+0.00012702i,0.0010199+0.00012673i
-0.00016274+0.0016725i,-0.00017161+0.00047877i,-0.00080979-0.00063437i,-0.000555-0.0013679i,-0.00047737-0.0017435i,-0.00056036-0.0016204i,-0.00048617-0.00093261i,-0.0002344-0.00033347i,0.00032424+0.00066552i,0.00092736+0.00050276i,0.00078183+0.00069451i,-0.00016799+0.0008134i,-0.001145+0.00018604i,-0.00088475-0.00040953i,0.00017741-0.00070595i,0.00049505-0.00017007i,0.0010214-0.00026649i,0.00075314-0.0004793i,-8.3879e-05-0.00018699i,0.00011022-0.00015298i,0.00079517-0.00026009i,0.00055072-0.00080198i,-0.00014094-0.0012207i
0.001844+0.00041146i,0.00076709-0.00054956i,-0.00021086-0.002007i,-0.0014878-0.0023928i,-0.0017211-0.0026862i,-0.0015146-0.0021064i,-0.00073911-0.00087339i,0.00012354-0.00097317i,0.00056692-0.00083598i,0.00041122+0.00059325i,-0.00022805+0.0013887i,-0.00027857+0.0010937i,0.00074301+0.00050431i,0.00089413-0.00024122i,0.00057673-0.00028077i,0.0005037+6.596e-05i,0.00011548-7.3605e-05i,0.00026249-0.00011908i,0.00038941-0.00016984i,0.00029056-0.00027932i,0.00030285-0.00033591i,-8.5474e-05-0.00042983i,-0.00049609-0.00050784i
0.0015704-0.00010694i,0.00074695-0.00025185i,0.0011384-0.00061969i,-1.9993e-05-0.0019944i,-0.00086492-0.0029053i,-0.0011836-0.0018137i,-0.00066194-0.00037148i,0.00068508-0.00015128i,0.0012942-0.0004827i,0.001399-0.0005371i,0.00074171+0.00010114i,-0.00052442+0.00071611i,-0.00043904+0.000544i,0.00071547+0.00030249i,0.0007816-8.1205e-05i,0.00065585-0.00011263i,0.00022545+0.00043422i,0.00031133-0.00018411i,0.00035202-0.00027253i,-0.00020419+0.00045267i,-0.00072336+4.0037e-05i,-0.00046857-0.00090332i,0.00022028-0.00087055i
0.00076246+6.3746e-05i,0.0008042+0.00035313i,0.00057377-0.00023325i,0.00016361-0.00096543i,-0.0003048-0.0013328i,-0.00048942-0.0011746i,-0.00055218-0.00079663i,-0.0009283-0.00053833i,-0.00087293+1.2958e-05i,-0.00070048-0.00028464i,-0.00052787-0.00068169i,-0.00059928+0.00042819i,-4.2828e-06+0.0014618i,0.00019409+0.00099196i,0.00052319+0.00012285i,0.0011807-0.00032814i,0.00038315-0.00055996i,-0.00024989+0.00023079i,-0.00056571+0.00065503i,-0.00037251+0.00013758i,-0.00029599+0.00010343i,-0.00019059-0.00016603i,0.0009649-0.00024919i
0.00053998+0.0013637i,-0.0006007+0.001177i,-0.0018944-0.0010365i,-0.0018212-0.00089884i,-0.0011283+0.00081236i,2.1746e-05+0.001544i,0.00075878+0.00064491i,0.00020491-0.00012447i,-7.0993e-05-0.00033395i,0.00032279-9.1357e-05i,0.0010408+0.00060077i,0.0011671+0.00084054i,0.0012374+0.00076123i,0.0010524+0.00070754i,0.00051305+0.00034424i,0.00047821-0.00018238i,0.00032867-0.00062835i,-6.82e-05-0.00080831i,0.00025921-0.00039812i,0.00068103-0.00021195i,-0.00014238-0.00032936i,-0.00044517-0.00014059i,3.7911e-05-0.00049543i
0.0018583-0.00013384i,0.0017444-0.00083795i,0.00073421-0.001347i,-0.00019962-0.0019559i,-0.00037138-0.0019835i,-0.00068648-0.0013688i,-0.00055135-0.00023297i,-0.00012516+0.0005339i,0.00074636+6.2231e-05i,0.00084979-0.00037724i,0.00023997-0.00045127i,0.00055944-0.0005946i,0.00084578-0.00020807i,0.00030936+2.9244e-07i,0.00014625-0.00027728i,0.00031429-0.00048731i,0.00023253-0.00033501i,-0.00045723-8.2568e-05i,-0.00064648+0.0001997i,3.4494e-05+0.00053808i,-0.00027029+0.00049194i,-0.00096499+0.00030967i,-0.00036711-7.0468e-05i
-0.0022742-0.00038976i,-0.0014546+0.00019469i,-0.00020504+0.0011461i,-1.7147e-05+0.00092656i,-0.00052286+0.00037606i,0.00010944+0.00087218i,0.00022102+0.00083408i,-0.00017982+8.012e-05i,2.3806e-05-0.00038985i,0.00028295-0.0007083i,8.2574e-05-0.00098363i,-0.00014331-0.00091836i,0.00010891-0.00024466i,-7.2045e-05+0.00024427i,-0.00036758-0.00013179i,0.0002081-0.0004304i,0.00049586-0.00085199i,0.00032873-0.00047659i,-0.00023353-0.00051451i,-0.00059539-0.00014017i,-4.3179e-05+0.00052894i,0.00023608+1.7793e-05i,0.00026213-8.7055e-05i
-0.00015769-0.00087196i,1.8177e-05-0.0012587i,0.00039661-0.001314i,0.00026541-0.0012313i,-0.00082604-0.00092574i,-0.0013929-0.00087807i,-0.00078627-0.00048383i,-8.7021e-05-0.00037049i,0.00039922-3.0567e-05i,0.00073727+0.00038758i,0.00090007+0.00040698i,0.00030687+9.3597e-05i,-0.00055225-8.7737e-05i,-0.00082112-0.00057472i,-0.00041687-0.00028127i,-1.9638e-05-0.00029415i,0.00028947-0.00043384i,-0.00019759-6.5636e-05i,-0.00026085-0.00093136i,0.00014186-0.00040268i,-0.00013607-0.00023926i,-0.00069963-0.00038905i,-0.00091307-0.00019682i
0.00045137+0.00049849i,0.00019663+0.0012256i,-0.00028034+0.0010757i,-0.00094219+0.00036632i,-0.00063151-0.00022216i,0.00034763-0.00038634i,0.00016206-0.00019206i,-0.00020312+0.00095453i,0.00060625+0.0015629i,0.001299+0.00090164i,0.00071002+0.0008233i,-0.00030391+0.00069107i,-0.00044744+0.00020167i,0.00040453-0.00056719i,0.00072118-0.0007795i,0.00010191-0.00077508i,0.00018736-0.00043618i,0.00092065-0.00015885i,0.00080183-0.00052479i,0.00028474-0.00033561i,-0.00049177-0.00030783i,-0.00048258-0.0010776i,-0.00015886-0.00086055i
-0.000461-0.00052652i,-0.00065767-0.00012588i,-0.0010953-4.2956e-05i,-0.00098336+0.00034151i,-0.00092566+0.00097756i,-0.00086955+0.0014114i,0.000155+0.0012276i,0.00024298+0.0004451i,0.00013335-0.00018035i,0.00066445-0.00036183i,0.00031671-0.00088645i,-6.8383e-05-0.0011801i,0.0006988-0.00076581i,0.0013785+0.0003113i,0.00076726+0.00050384i,-5.2427e-05-0.00032352i,-0.00016406-0.00014132i,-0.00046153+9.4646e-05i,8.2838e-05-0.00016057i,0.00010614+0.00010768i,-0.00050095+0.00060385i,-0.00028073+0.00012067i,0.00043496-7.4939e-05i
0.00012754+0.0025895i,0.00081963+0.0020927i,0.0008944+0.00221i,0.00017836+0.0010591i,-0.0004638-0.00045468i,-0.00044127-0.00061194i,-0.00059636-0.00040552i,-0.00088434-0.00024701i,3.0005e-05+8.1913e-05i,0.0013512+0.00028581i,0.0011238+0.00016964i,-0.00021674-0.00045581i,-0.0010089-0.00014909i,-0.0008868+0.00028929i,-0.00010877+0.00055827i,0.00024073+0.00073943i,-0.00084401+0.00045268i,-0.0010245+0.00010491i,-0.00029408-6.4861e-05i,-0.00019378-4.9542e-05i,-0.00021425+0.00023532i,-2.9356e-05+2.2655e-05i,0.00020723-0.00013312i
0.00032809+0.00051111i,-0.00060389+0.00075885i,-0.0010997+0.00036684i,-0.0017489+0.00034867i,-0.0013532+0.00014592i,-0.00013834-0.00040773i,-0.00014612-0.00033137i,-0.00026984-0.00036839i,0.00042415-0.00054225i,0.00088774-0.00081116i,0.00069851-0.0005891i,1.6681e-05+0.00016079i,-3.8561e-05-4.3668e-05i,0.00040438-0.00022255i,0.0011894-0.0003145i,0.0010207-0.00077011i,0.00015436-0.00054992i,0.00056253-0.00018073i,0.00055997+0.0003318i,-8.1926e-05+0.0007485i,-0.00078601+0.001003i,-0.00028961+0.00085691i,0.00016466+0.00012275i
-0.0013934+0.00013613i,-0.001932-0.00049542i,-0.001556-0.00077972i,-0.0013831-0.00077232i,-0.00076521-0.00053506i,0.00011546+0.00032125i,0.00022327+0.00045373i,-0.00029089-8.1457e-05i,0.00026511-0.00023263i,0.0017001+0.00052949i,0.0014034+0.00087246i,0.00028399-1.3026e-05i,-8.5768e-05-0.0010894i,0.0004309-0.00084965i,0.0011953-0.00017593i,0.00080279+0.00052968i,-0.00019915+0.00011075i,-0.00067172-0.00093876i,-0.00025283-0.00076539i,7.7609e-05+0.0005723i,0.00022467+0.00098192i,0.00028357+7.9198e-05i,-0.00034964+1.4919e-05i
-1.819e-05-0.00055917i,5.9532e-05-0.0012561i,0.00034405-0.00064103i,-0.00018382-0.00040188i,-0.00034244-0.00046483i,-0.00084854-0.00044796i,-0.00133-0.00065001i,-0.00090958-0.00044699i,-0.00032077+0.00026632i,-0.00018268-0.0001163i,-0.00017733-0.00048568i,-0.00026586-0.00022984i,9.6005e-05+0.00013516i,0.00013542-0.00022917i,-0.00039356-0.00086562i,-0.00088025-0.00098131i,-0.00043982-0.00055616i,0.00054151-0.00017165i,0.00048595-1.9587e-05i,-0.00037754+0.0002555i,-0.0009005+0.00050277i,-0.00065285+0.00050093i,-0.00015886+0.00037146i
