-0.0030314-0.0001683i,-0.0026437+0.00055039i,-0.0035962+0.0017806i,-0.0033551+0.0011584i,-0.0022883+0.0011917i,-0.00184+0.0021234i,-0.00045848+0.0021845i,0.0017078+0.0011536i,0.0017388+0.00041741i,0.0010575-7.7152e-05i,0.00067676-0.00079037i,0.00018676-0.00078668i,0.0005443-0.00028735i,0.0016939-0.00035242i,0.0025134-1.0426e-05i,0.00082919+0.00011627i,-0.00074775-0.00019783i,-0.00097801-0.00030047i,-0.0010979-0.00026965i,-0.0010559-0.00027343i,-0.00057954-0.00049621i,0.00011013-0.00043432i,0.00042913+4.573e-05i
0.00068394-9.5545e-05i,0.0010239-0.0003879i,0.00055875-0.0011055i,-0.00059903-0.001586i,-0.00080311-0.0018224i,7.7255e-05-0.00067694i,0.00043129+0.00075243i,-5.3887e-05+0.00089076i,-0.00030141+0.00012995i,-0.00092032+0.00015717i,-0.00067353+0.00012916i,-0.00041551+4.5096e-05i,-0.00087438-4.0779e-05i,-0.00070631-7.799e-05i,-0.00045986+0.0007713i,-0.00014389+0.00085982i,0.00019833+0.0002298i,8.0004e-06-5.2801e-05i,-0.00017449+0.00051025i,0.001059+0.00047524i,0.0017417-0.00020533i,0.00063539+2.767e-05i,-0.00020625+0.00015928i
0.00063907-0.0013528i,0.0008043-0.0012924i,0.00038756-0.0014122i,-0.00033024-0.0016137i,-0.0008652-0.001047i,-0.0010097+7.338e-05i,0.00026429+0.00094159i,0.001317+0.001193i,0.00032933+0.0003633i,-0.00014043-0.00049353i,3.34e-05-0.00075191i,-0.00011995-0.00050706i,0.00025219-4.1688e-05i,7.7459e-06-0.00011259i,-0.00012733-5.9747e-05i,7.375e-05+0.00017918i,0.0005777+0.00049341i,0.00050356+0.00047656i,-7.6591e-05-0.00021661i,-0.0002145-0.00047028i,5.7933e-05-0.00071548i,0.00062633-0.00038229i,0.0010759+4.8061e-05i
-0.00029814+0.0013881i,-0.00035054+0.0011762i,-0.00046203+0.00060033i,5.8799e-05+0.0009914i,0.00021221+0.001917i,0.0012398+0.0023187i,0.0016097+0.0017915i,0.00070348+0.0010237i,0.00015932+0.00039208i,0.00050108-0.00019366i,0.00036853-0.00034293i,0.00027458-0.00010051i,0.00049356-0.00012467i,0.0010245-1.3276e-05i,0.0011539+0.00049875i,0.00040258+0.0010974i,-5.4526e-05+0.0011404i,2.5545e-06+0.0002358i,-0.00043737-0.00058571i,-0.00018411-5.5405e-05i,0.00020005+0.00037516i,-0.00029933+0.00028363i,0.00019511+0.00070496i
0.00043639-0.00073279i,-0.00095319-0.00060287i,-0.00098954-0.00044913i,-0.00061389-0.00054195i,-0.00059824-0.00060659i,5.1812e-05-2.9136e-05i,0.0011084+0.00089153i,0.0013272+0.0010945i,0.00076265+0.00096593i,6.4304e-05+0.00039549i,-2.3834e-05-0.00014136i,-0.00013415-0.00087061i,-0.00011391-0.0007673i,0.00066819+0.00014806i,0.00075885-0.00014845i,0.00056733-2.631e-05i,0.00012348+0.0001599i,-1.1977e-05-0.0001808i,-0.00011182+0.00016485i,-0.00014027+0.00024368i,-0.00054352-9.7756e-05i,-0.00066203-0.00079251i,-0.00011811-0.00060653i
5.5998e-05-0.0015909i,0.00071165-0.00030332i,0.00019902+0.00060333i,-0.0004684+0.00079437i,-0.0013754+0.00063241i,-0.0011591+0.00057086i,-5.5885e-05+0.0010159i,0.00099604+0.0007222i,0.0010374-8.6314e-07i,0.00045322+0.00054396i,-8.8483e-05+0.00056769i,2.0703e-05-0.00055418i,0.00026647-0.00064756i,-4.4306e-05-0.0008366i,0.00010826-0.00085704i,0.00023264-0.00042899i,-0.00042027-2.4512e-05i,-0.00058291+0.00052916i,-0.0001869+0.00016169i,-5.4726e-05+8.7348e-05i,-0.00027994+0.00031075i,-0.00024949+0.00030462i,0.00047841-0.00019453i
0.00080855-0.0010646i,0.0017321-0.0011926i,0.0014634-0.0017167i,0.00040979-0.0018121i,0.00063635-0.0012347i,0.0016924+0.00030224i,0.0020193+0.00027961i,0.0015444-0.00017702i,0.00079554-0.00054284i,0.00015779-0.0012274i,-0.0002556-0.0012078i,-0.00010689-0.00034213i,0.00026101+0.0001393i,-0.00011412+0.00023585i,-0.00019672+0.00027832i,-1.1455e-05+0.00031591i,-6.8276e-05+0.00038773i,-3.4805e-05+0.00035995i,0.00031171+0.0003541i,0.0002459+0.0001724i,0.00024733-0.0004719i,-5.3544e-05-0.0003552i,-0.00068503-7.542e-05i
0.0006323+0.0013352i,0.00036123+0.0017182i,-0.0012676+0.001391i,-0.0016039+0.001074i,-0.0011771+0.00079164i,-0.00066741+0.00043858i,-1.8654e-05+0.00047716i,-0.00034637+0.00067321i,-0.00063847-0.00014642i,-0.00028171-0.00065129i,-0.00070769-0.00046572i,-0.00085943-0.00085041i,0.00046404-0.00074756i,0.0010851+0.00034474i,0.0003904+0.00060609i,-0.000352+0.00093599i,-0.00045211+0.0010371i,-0.00018573+0.00086476i,-0.00014367+0.00051231i,-0.00073417+0.00042187i,-0.00096263+0.00060427i,-0.00032531+0.0004823i,0.00052617+0.0002259i
-0.00115+0.0016033i,-0.00077077+0.0020432i,0.00017181+0.002579i,0.0006518+0.002065i,0.0014926+0.0019879i,0.0020667+0.0012528i,0.002364+0.00072527i,0.0016171+0.0006566i,0.00060068+0.00081801i,0.00015306+0.0007222i,0.00058078-0.00049359i,0.00067854-0.0011087i,0.00032063-0.0014677i,0.00028751-0.0012523i,-0.00012823-0.00042192i,-0.00041054-0.0007458i,0.00023844-0.001093i,0.00023739-0.00050242i,-8.5461e-05-0.00021342i,0.00033541+0.00029081i,0.00033974+0.00062565i,-6.4561e-05+0.00029411i,-0.00068737-2.553e-05i
-0.0016687-0.00043082i,-0.0020731-0.00054616i,-0.002029+0.00011469i,-0.0011584+0.00066121i,-0.00093214+0.00081998i,-0.00054357+0.00059695i,0.00068252+0.00070726i,0.00099459+0.00011935i,0.00018897-2.0815e-05i,-0.00037041+0.00028211i,-0.00059709-0.00018011i,-0.00061992-0.00024346i,5.5079e-05-0.00014529i,0.00050082+2.4545e-05i,0.00036191-0.00011491i,0.00032091-0.00028441i,0.0005654+0.00036907i,0.00015397+0.0014499i,-0.00028548+0.0010959i,2.2235e-06+8.5572e-05i,0.00033176-0.00020866i,-0.00020677-7.4237e-05i,0.00036886+0.00050507i
0.0016808+0.0015193i,0.0019694+0.00054973i,0.0017834-0.00040207i,0.00016769-0.00013076i,-0.0010818+0.00040674i,-0.0011734+0.0011888i,-0.00023087+0.0018156i,0.0011526+0.0015264i,0.0013059+0.00091291i,0.00053757+0.00048417i,0.0003618-0.00045253i,0.00032349-0.0010443i,0.00015887-0.0010316i,-1.466e-05-0.00026704i,-0.00024143+9.9799e-05i,-0.00015375-7.5298e-05i,-5.556e-05-2.719e-05i,0.00011884+7.9573e-05i,0.00041492+0.00014589i,-0.00028846+0.00029675i,-0.00057659+0.00048982i,-0.00022105+0.00018507i,0.00013904-2.0352e-05i
0.0014439-0.00023202i,0.00098924+7.816e-05i,0.00038775+8.8794e-05i,-0.0001697-0.00046736i,0.00032313-0.00060971i,0.00086852+0.00069313i,0.00091637+0.0012834i,0.0011414+0.00074415i,0.0008585+0.00025219i,-1.7809e-05-0.00069369i,-0.00020776-0.0010274i,-6.202e-05-0.0007508i,0.00025059-0.00023659i,0.00071346+0.00070288i,0.00047118+0.0013916i,4.2546e-05+0.00083628i,-0.0002256-0.00028658i,8.4861e-05-0.00099386i,-0.0001309-0.00046417i,-0.0008256-0.00067759i,-0.00028178-0.0018607i,-0.0001357-0.0023081i,-0.00036742-0.00094043i
-0.0014866-0.0026048i,-0.002502-0.0019349i,-0.0024537-0.00034965i,-0.0017189+0.00062049i,-0.00083336+0.0011142i,0.00027534+0.0011898i,0.00095384+0.0011368i,0.0011659+0.00069131i,0.00034785+0.00013571i,0.00012649-0.00014263i,0.00043098-0.00071903i,0.00039781-0.00091645i,-0.00012399-0.00048187i,0.00026049+0.00038972i,0.0012386+0.0008271i,0.0011046+0.00023699i,0.00024406+0.0003378i,-0.00026532+0.000423i,-0.00070663+8.5365e-05i,-0.00081104-0.00044778i,-0.00044308-0.0003433i,-1.7413e-05+0.00045295i,-0.00020117+0.0010181i
0.00086797+0.0013335i,0.002195+0.0013492i,0.0023254+0.0018616i,0.0012699+0.0018222i,0.00069141+0.0015466i,0.00048651+0.0019789i,0.00065767+0.0020137i,0.0011057+0.0016934i,0.0011302+0.0014471i,0.0006282+0.00035304i,0.00022496-0.00068314i,0.00019769-0.00052847i,-0.00040325-3.7257e-05i,-0.0013139-0.00032791i,-0.0012466-0.00026079i,-0.00080536+3.8475e-05i,-0.00025776-0.00029888i,-0.00027522-0.00038267i,-0.00040738+0.00010538i,-0.0001156+0.00028839i,0.00036404-0.00015945i,0.00066915-0.00022138i,0.00024576-0.00019681i
0.00054638+0.00042414i,0.00038039-0.00064586i,0.00033417-0.0011293i,0.00080532-0.0012915i,0.0010695-0.00081855i,0.0012295-9.9052e-05i,0.0024804-0.00017817i,0.0024939-0.00011397i,0.0010008+0.00050246i,0.00053393-2.315e-05i,0.00072503-0.0009702i,0.00086912-0.0009242i,0.00079091-0.00051676i,0.00056815-6.6198e-05i,-0.00026838+0.0013451i,-0.00075418+0.0016337i,-0.00026276+0.00043879i,-0.00018051-0.00063294i,0.00042394-0.00012791i,0.00061893+0.00018732i,-0.00023905-0.00061773i,-0.00086828-0.00037509i,-0.00055087-0.00057739i
0.0014257+0.0014453i,0.0015793+0.0014276i,0.001681+0.00035331i,0.0013541-0.0012449i,0.0003309-0.0014156i,-0.00085177-0.00039174i,-0.00099462+0.0010423i,-0.00036347+0.0013749i,0.00038467+0.00026253i,0.00018215-0.00015885i,-0.00095673-0.00018476i,-0.00059202-0.00020653i,1.3431e-05-0.00013031i,-0.00068885-0.00018353i,-0.001106-0.00025046i,-0.00031007-1.0922e-05i,0.00034708+0.00087384i,-8.5394e-05+0.00088579i,-0.0010434+0.00051967i,-0.00127-0.00037287i,-0.000406-0.0012772i,-0.00023783-0.0013736i,-0.00087827-0.00096302i
0.0001437+0.0022782i,0.00035931+0.0031986i,0.0014285+0.0032854i,0.0018507+0.0012715i,-4.7876e-05-0.00040813i,-0.0012232-9.2419e-06i,-0.00028982+0.0014451i,0.00077395+0.0014281i,0.0012786+0.0010258i,0.00104+0.00036708i,0.00081886-0.0012613i,0.00010854-0.0017402i,-0.00090734-0.0010803i,-0.00079064-0.00088569i,-0.00026233-0.00096063i,0.00025768-0.0010459i,0.00028002-0.00082331i,-0.00045242-0.00064849i,-0.00064181-0.000784i,-0.0002714+6.5083e-05i,-0.00073542+0.0008207i,-0.00084804+0.00077899i,-0.00019636+0.00030693i
0.00042478+0.0019078i,0.0010878+0.0003954i,0.0014005-0.00018281i,0.002455-0.0006934i,0.0031004-0.0012361i,0.001779-0.0013454i,0.00031077-0.00075469i,-1.4653e-05-2.923e-05i,4.531e-05+0.00026104i,1.5541e-05-0.00024199i,0.00016922-0.00014717i,-1.902e-05-0.00013836i,-0.00047603-0.00054449i,-0.00071559-0.00062635i,-0.00074749-0.00077674i,-0.00022501-0.00047832i,0.00017507+1.2245e-05i,-0.00023724+6.2112e-05i,-0.00099642+1.3055e-05i,-0.0015274-0.00037765i,-0.00062792-0.00025374i,0.00025543-7.7008e-05i,0.00036578-0.00068075i
0.00052748+0.0013807i,0.0017554+0.0012474i,0.00082087+0.0015478i,0.00082833+0.0011572i,0.0016595+0.00062033i,0.0020956+0.00059157i,0.0016291+0.00034593i,0.00066548+0.00030868i,-2.0161e-05+0.00072485i,-0.00010003+0.00036938i,0.00054375-0.00037606i,0.00072775-0.00029495i,0.00053675+0.00029966i,0.00048162-0.00012027i,0.00091721-0.0012028i,0.0006539-0.00079887i,0.00018619-1.1263e-05i,-0.00050743-6.6133e-05i,-0.0011864+0.00048453i,-0.0015721+0.00038312i,-0.0014296-0.00069734i,-0.00065738-0.00068864i,-0.00054909+1.8136e-05i
0.0010087+0.0021845i,0.0010838+0.001691i,0.0014083+0.00078757i,0.00097919-7.7008e-05i,-0.00049499-0.00029627i,-0.00097762+2.3377e-05i,-0.00035088+0.00015339i,0.00077346+0.00028152i,0.0013509+0.00092339i,0.00079035+0.00094417i,-0.0001408-0.00020296i,-0.00055339-0.0009372i,-0.00060161+4.1781e-05i,-0.0012519+0.00091764i,-0.0014035-0.00011423i,-0.00093588-0.0010582i,-0.00028965-0.00020263i,-0.00013761+0.0003348i,-0.00058584-0.00070333i,-0.00072841-0.0010721i,-0.00051345-0.0009478i,8.3636e-05-0.00082979i,0.00064429+7.3061e-05i
-0.00017951-0.00037733i,-5.4854e-05+0.00020383i,4.6627e-05+0.00075507i,-0.00043567+0.00059063i,9.804e-05+0.00055078i,0.0012303+0.00054744i,0.0017195+0.00036768i,0.0019927+0.00091016i,0.0017546+0.00065744i,0.0011759-0.00041174i,0.00031704-0.00072951i,0.00013217-0.0011454i,0.00080077-0.00064492i,0.0011706+2.6609e-05i,0.0012128-8.9241e-05i,0.0010643+0.00013641i,-0.0002023+0.00031296i,-0.00074011-5.0496e-05i,8.9381e-05-1.624e-06i,-3.0237e-05+2.0616e-05i,-0.00046833-0.00020748i,-3.4613e-05-0.0003186i,0.00016685-0.00029761i
0.00057833+7.3123e-05i,0.0012716-0.00011735i,0.0017786-0.00019028i,0.0012493-0.00068963i,0.00012932-0.00042074i,-0.00073642+0.00049663i,0.0002004+0.00090355i,0.0010791+0.00086587i,0.00055359+0.0005088i,-0.00010017-0.00012339i,-0.00040868-0.00054604i,-0.00014277-0.00060974i,-0.00013126-0.00018965i,-6.4199e-05+0.00014862i,-0.00087864+0.00052272i,-0.00085497+4.3044e-05i,0.00046743-0.00076352i,0.00070528+0.00010691i,0.00061425+0.00045691i,0.00054129-6.0569e-05i,3.7941e-05+4.8467e-05i,-0.001037+0.00036054i,-0.00099208+0.00017687i
0.00062886+0.0010523i,0.0013861+0.001164i,0.0022695+0.0013527i,0.0012192+0.00039531i,-0.00028718-9.4345e-05i,-0.0006216+0.00069596i,-9.8784e-05+0.0012269i,-8.2751e-05+0.00087605i,-0.00019135+0.00010767i,-0.00010487-0.00087237i,-6.7402e-05-0.0016762i,-0.00010788-0.0017948i,-0.00029919-0.00098689i,-0.00063444-0.0002994i,-0.00050287-0.00064922i,0.00013497-0.00081715i,0.00033373-0.00048551i,0.0001003-0.00077989i,-0.00047028-0.00052528i,-0.00073206+0.00018184i,0.00022664+0.00050688i,0.00021815+0.00049964i,-0.00055357+0.00057637i
0.00030444+0.00036975i,0.0010142+8.9692e-05i,0.0010459-0.00034607i,0.00094499+0.0002342i,5.0771e-05+0.00060722i,0.00035061-8.1316e-05i,0.0017152-0.0002695i,0.0020878+0.00039373i,0.0016706+0.00062332i,0.00066436-0.000199i,0.00031751-0.00075312i,0.000807-0.00039176i,0.00060957+8.8864e-05i,0.00013773+0.00038466i,-0.00028951+0.00078133i,-0.00079227+0.00066055i,-0.00048289-0.00017127i,0.00014073-0.000156i,0.00052787+0.00062578i,0.00027842+0.00058834i,-0.0002281+0.00051379i,-0.00018934+0.00046086i,7.9172e-05+0.00032995i
-0.00035332-0.0019025i,-0.00089626-0.0021329i,-0.0016044-0.0021221i,-0.0013667-0.00069709i,-0.0017223+0.0013658i,-0.001476+0.0011721i,-0.00047671+0.00046106i,0.00036733+0.00057343i,0.00093787+0.00029953i,0.00018466-0.00018264i,0.00037335+8.306e-05i,0.00073022+9.0305e-05i,-0.00013113-0.0007416i,-7.3522e-05-0.00034862i,0.00055761-4.4152e-05i,0.00082092-0.00023095i,0.00064247+0.00011019i,0.00026838+0.00051572i,0.00014305-5.8056e-05i,0.00051836-5.8221e-05i,-0.00010691+1.201e-05i,-0.00083676-0.00049182i,8.5087e-05+0.00031109i
-0.00063563+0.0028378i,-0.00031221+0.0028114i,0.00031998+0.0012752i,0.00071052+0.00010927i,0.00064078-0.00038572i,0.00023214+0.00015416i,0.00057077+0.00095272i,0.0012295+0.00075804i,0.00092094+0.00073556i,-4.5944e-06-0.0001021i,-0.00010365-0.0010841i,0.00020558-0.0012133i,-1.6957e-05-0.00076327i,-7.1961e-05-0.00053934i,0.00028469-0.00071205i,-0.00034287-0.00048126i,-0.0009038+0.00049701i,-0.00055468+0.0009453i,5.3766e-05+0.00076774i,-0.00022229+7.4112e-05i,-0.00070541-0.00040676i,-0.00074463-0.00031505i,-0.0010326-0.00076071i
0.00090098-0.00049626i,2.6121e-05-0.00042861i,-0.0012909-0.00021556i,-0.001192-0.0006654i,-0.0004359-0.0013866i,6.8289e-05-0.0012086i,0.0010548-0.00043823i,0.0013013+7.8094e-05i,-0.00030805+0.00026044i,-0.00088483-0.00024791i,-0.00012216-0.0008544i,0.00019638-0.00058753i,-0.00038279+0.0002426i,-3.6134e-05-2.1767e-05i,0.0006179-4.0595e-05i,0.00068417+0.00034194i,0.00080843+0.00024477i,0.00058891+9.0169e-06i,0.00076396-0.00055574i,0.0005675+0.0001148i,0.00031153+0.00043029i,7.7808e-05-0.00027067i,-0.00050886-6.2523e-05i
0.0008206-0.00070981i,3.8275e-05+0.00075078i,-0.0008422+0.00015711i,-0.0012787-0.00056773i,-0.0012546+0.00032878i,-0.00087165+0.0014344i,-0.00014786+0.0014927i,-0.00014016+0.0012226i,-0.00028693+0.001184i,0.0004673+0.0013045i,0.0012001+0.0011681i,0.0010736+0.00034345i,0.00083872+7.5093e-05i,0.00017108+0.00055326i,-0.00035207+0.0007988i,-0.00050665+0.0011621i,-0.00051893+0.0010651i,-0.00010372+0.00036569i,-3.0507e-05-0.00015473i,0.00017952+2.4399e-05i,0.00069326+3.4252e-05i,0.00043298-0.00029521i,-0.00016806-0.00051069i
0.00079254+0.0010502i,0.00029449+0.0013804i,0.00026951+0.0013791i,0.00033593+0.0012839i,0.00096877+0.00096663i,0.0018225+0.0009942i,0.0012759+0.0010498i,0.0004685+0.00035535i,0.00034086+8.2242e-05i,0.00017077-0.00044428i,2.35e-05-0.00055759i,-0.00046693-3.6631e-05i,-0.00031984+0.0002951i,-0.00029852-0.00036441i,1.5101e-05-0.00046786i,0.00055056+5.3412e-05i,-0.0003006+0.00031202i,-0.0009708+0.00073643i,2.5275e-05+0.00055284i,0.00027321+0.00018966i,-4.1527e-05-0.00024067i,0.0003505-9.654e-05i,0.0006405+0.00061274i
-0.00065029+0.0006401i,0.00064593+0.0010196i,0.0014312+4.2182e-05i,0.001065-0.00078129i,0.00045651-0.0001207i,0.00061942-0.00035392i,0.00096204-0.00070211i,0.00064438-0.00043832i,-0.00056925-0.00036264i,-0.0007393+2.7022e-05i,-0.00034423-0.0007969i,-0.00078978-0.0015001i,-0.00053436-0.0013538i,-0.00030118-0.0015983i,0.00025855-0.00053533i,0.00026684+0.00037716i,-0.00091557-0.00017245i,-0.0011581-0.0011064i,0.00010799-0.0011028i,0.00024755-0.00083632i,-0.0010948-0.00071941i,-0.001453-0.00025977i,-0.00080424+9.4066e-05i
0.0004926+0.0024083i,0.001408+0.0022527i,0.0022661+0.0020551i,0.001217+0.00041421i,-0.00050085-8.9462e-05i,-0.00074184+0.00073611i,-0.00046288+0.00064532i,-0.00059462+0.00035913i,-4.0381e-05+0.00016017i,0.00062881-0.0010817i,0.00034577-0.0015359i,-0.00021544-0.0014946i,-0.00011855-0.0014412i,-0.00065787-0.0012901i,-0.001267-0.0010718i,-0.0016777-0.00048195i,-0.0015207-0.0006116i,3.5141e-05-0.00080848i,0.00077887-0.0005397i,0.00011962-3.9176e-05i,0.00023317-0.00026266i,0.00081253-0.00054193i,0.00082694+1.0361e-05i
0.00067843+0.001779i,0.0017816+0.00076536i,0.0034972+0.0007299i,0.0033504+5.1479e-05i,0.0025805-0.0014739i,0.0011314-0.0012039i,0.00019598+0.00022786i,0.00024651+0.00096696i,0.0003985+0.00089685i,0.00053522+0.00065161i,-1.2706e-05-0.00028692i,-0.00060577-0.00060123i,-0.00025943-0.00027519i,0.00016957-0.0001264i,-0.00047176-0.00023789i,-0.00067707-2.6899e-05i,-0.00045616+0.00031446i,-0.00082468-0.00051513i,-0.00058735-0.0007131i,-0.00034543+0.00031885i,-0.00026255+9.4706e-05i,0.00011675-0.00040825i,1.1301e-05-0.00032852i
0.002008+0.0004816i,0.0018947+0.00068291i,0.0011594+7.3738e-05i,0.00062874-0.00029657i,0.0010172+0.00015595i,0.0012194+0.00067533i,0.0008557-4.812e-05i,0.00052512-5.2466e-06i,0.00096962+0.00060659i,0.001205+0.00066196i,0.00036771+0.00030693i,-0.0004567-5.7205e-05i,-0.00031317-0.00097985i,5.0529e-05-0.00073787i,-0.00068237+0.00025471i,-8.8412e-05+0.00028585i,0.00092404+0.0001036i,-1.8414e-05+0.00038181i,-0.00029253+0.00038103i,0.00064556-0.00012483i,0.0010657-3.7591e-05i,0.00062686+0.00028658i,0.00035309+7.1432e-06i
