-0.002459+0.00030729i,-0.0014336-3.0797e-05i,-0.0022612+0.00057718i,-0.0018774+0.00075177i,-0.00086814+0.0017305i,-0.0010816+0.0016062i,-0.0011476+0.0012716i,0.00029309+0.0010247i,0.0017354+0.00045195i,0.0013577-8.7871e-05i,0.00085988-0.00016729i,0.0011154-0.00034158i,0.0011267-0.00075141i,0.0009343-0.0002898i,0.0010229-0.00038797i,0.00084699-0.00085881i,-0.00043041-0.0001453i,-0.0012984-1.2367e-05i,-0.00070337+0.00035746i,-0.00016297+0.00098439i,0.00063893+0.00061104i,0.00086552-0.0005783i,0.00037435-0.0011498i
0.00049334+0.00089726i,-0.00095097-0.00091191i,-0.0013658-0.001263i,-0.00086818-0.0023498i,-0.00023843-0.0026398i,-0.00067539-0.0011804i,-0.00060385-0.00048984i,-0.00068564-0.00095391i,-0.00086752-0.0012903i,1.0936e-05-0.0010098i,0.001146-0.00081912i,0.0011031-0.0002423i,-0.00041041+0.00077389i,-0.00086063+0.00057106i,-0.00021732+0.00041348i,-5.9879e-05+0.00015903i,-0.00040042+0.0004439i,-0.00041727+0.00030762i,0.00036206+0.00021752i,0.00085734+0.00040038i,0.0010523+0.00028889i,0.00077428+0.00055064i,0.00013682+0.00064582i
-0.0012492+0.0028618i,0.00029904+0.001064i,0.0020547-0.00014959i,0.0014736-0.00041844i,0.0009991-0.00030776i,0.00036625+5.5664e-05i,0.00032332-0.00039967i,0.00071093-0.00028108i,0.00075089+0.0012612i,0.00023702+0.0016612i,-0.0007433+0.00069321i,-0.00064349-8.938e-05i,0.00034469-3.9207e-06i,0.0002843+0.00068487i,-0.00013475+0.00085375i,0.00035752+0.00043775i,0.00039634+0.00060366i,0.00038168+0.0003585i,0.00046563+0.00028682i,-0.00015022+0.00072332i,-0.00059807+0.00030011i,-0.00075869-0.00058253i,-0.00022705-0.00090145i
0.001512-0.0028572i,0.00050889-0.0015809i,-0.00014978-0.0005474i,-0.00034719-0.0014704i,-0.00098158-0.0021582i,-0.00043875-0.0011559i,0.0011948-0.00020224i,0.0016084-0.0010031i,0.00021954-0.0016901i,-0.00075328-0.00074615i,-0.00025076+3.9002e-05i,-0.00030957+0.00013175i,-0.00027452+0.00039791i,-3.9504e-06+0.00045687i,-0.00019951+0.00013769i,-0.000109-4.5517e-05i,-0.00027086-9.9637e-06i,-0.00058719-0.00018073i,-0.00021625-9.5581e-05i,0.00021734-1.7468e-05i,0.00027186+0.00033654i,0.00035855+0.00080137i,0.00041104+0.00065437i
0.0020161+0.00015841i,0.00047761-0.00095226i,-0.001008-0.0025163i,-0.0021152-0.0025095i,-0.0018522-0.0019791i,-0.00021894-0.00093025i,0.00094114+0.00042716i,0.0009698-0.00037883i,0.00025518-0.00034484i,-0.00032772+0.00057884i,-0.00042462+0.00050578i,-0.00015086+7.8062e-05i,1.7198e-05-0.00067312i,-0.00035626-0.0012105i,-4.5486e-05-0.0013617i,0.00029548-1.8719e-05i,-5.504e-05+1.1139e-05i,-0.0002473-0.00052113i,0.00031176-0.00021921i,0.00041452-0.00018635i,-0.00043572+0.00048767i,-0.0013582+0.00081605i,-0.00097959-0.00037167i
2.8608e-05+0.002425i,0.0013046+0.0014994i,0.0023983+0.00033602i,0.0011933-0.00049183i,0.00064108-0.00074051i,0.00091129-0.0003766i,0.00074617-0.00051424i,0.0010717-0.00084792i,0.0010923-0.00033043i,0.0007269+0.00024582i,0.0010742+0.00030438i,0.0012051+0.00017431i,0.00066977+9.3381e-07i,0.00025458+0.00010261i,0.00025571-0.0005258i,-1.2371e-05-0.00083945i,-0.00077921-0.00055954i,-0.00020395-0.00010579i,0.00094637+0.00025221i,0.00051513+0.00018845i,-0.00021767+5.084e-06i,-0.00042763-0.00029864i,-0.00042775-0.00062013i
-0.00086067+0.0014704i,-0.0020807+0.00032043i,-0.0020465-0.00098784i,-0.0024722-0.0020487i,-0.0030049-0.0022561i,-0.0025969-0.0011271i,-0.0016345+0.00025575i,-0.00065899+0.00059559i,0.00037845+0.00025886i,0.00098764-5.3199e-05i,0.0007809-0.00026635i,0.00074937-0.0001088i,0.00036215-0.00014702i,0.00013538-0.00055696i,0.00030761-0.00087573i,0.0001287-0.0016919i,0.00032222-0.0014941i,0.00034811-0.00082149i,-0.00013397-0.00092229i,-1.2741e-05-0.001272i,0.00055141-0.00073521i,0.00015147+2.6364e-05i,-0.00041265-0.00030239i
0.0033904-0.00080139i,0.0040955-0.0013057i,0.0033458-0.0022979i,0.00050074-0.0024627i,-0.00085267-0.0018554i,0.0005731-0.0013038i,0.0013618-0.00085252i,0.00061625-0.0016666i,3.3787e-05-0.0023783i,-0.00010271-0.0018538i,-0.00071951-0.00071201i,-0.0010007-0.00026265i,-0.00016399-0.00014869i,3.0414e-05+0.00047289i,-7.259e-05+0.00078021i,-0.00014575+0.00022203i,0.00030848-0.00027414i,0.00036075-0.00013834i,0.00019601+0.00069764i,0.00028412+0.00095953i,0.00026324+0.00074084i,-0.00022493+0.00061614i,-0.00081488+0.00085389i
-0.0012472+0.00096883i,-0.0015196+0.00099644i,-0.0014307+0.00040738i,-0.0023688-0.0013211i,-0.0030961-0.0021475i,-0.0019732-0.0013422i,-0.0001621-0.00056811i,-0.0002745+3.3437e-05i,-0.0010478-0.00021415i,-0.0013407-0.00034053i,-0.0014297-0.00031938i,-0.0012774-0.00010667i,-0.00072323-0.00040658i,3.1886e-06-0.00091191i,-0.00032307-0.0009057i,-0.00032541-0.00035167i,-4.3499e-05+9.561e-05i,-0.00017251+0.00029665i,-0.00017047+0.00020512i,0.00046206+0.00029684i,0.00057399-0.00032742i,0.00036318-5.4245e-05i,0.00087166+0.00021517i
0.00011648+0.00084465i,0.0011955+0.0010545i,0.0012152+8.8948e-05i,0.00070688-0.0013933i,-0.00034266-0.0018488i,-0.00013265-0.00092503i,0.00029818+0.0001645i,-0.00040557-0.00027844i,-0.00076399-0.00010883i,-0.0005404+0.00028973i,-0.00053675+6.159e-05i,-0.00048698-0.00027337i,0.00062854-0.00098165i,0.00088459-0.00047813i,-0.00034737+0.00032213i,-0.00087121+0.00054422i,-0.00035314+0.0007073i,9.8172e-05+0.00092442i,0.00023741+0.00077602i,0.00067366+0.00019909i,0.00077662-0.0001419i,-7.7577e-05-0.00020217i,-0.00047692-0.00027575i
0.00014014-0.00045148i,0.00048251-0.00048529i,-7.3713e-05-0.00069158i,-0.00077201-0.00085901i,-0.0010145-0.00033589i,-0.00041414+0.00027212i,0.0007934-8.0728e-05i,0.00061327+0.0003809i,0.00024055+0.0011439i,0.00027558+0.00098081i,3.509e-05+0.00058181i,-0.00057859+0.00030599i,-0.00071471+7.7779e-05i,-0.00037115+0.00034952i,-0.00014629+0.00064629i,-0.00032108-0.00018443i,-0.00058925-0.0001768i,-0.00093775+0.00046547i,-0.00050686-0.00020242i,1.4361e-06-0.00076709i,0.00023508-8.0578e-05i,0.00048378+0.00069449i,0.00016372+0.00052968i
-0.0014635+0.0027413i,-0.0014149+0.0016424i,-0.002107+0.0004747i,-0.0027245+0.00023436i,-0.0023918-0.00043145i,-0.0013793-0.00095385i,-0.0003575-0.00080796i,0.00027786-0.00055652i,0.00017768+0.00061681i,-1.8499e-05+0.0011168i,1.4521e-05+0.00038547i,-0.00028852-0.00029988i,-0.00068693-0.00035157i,-0.0005689+0.00036519i,-0.00047573+0.00075978i,-0.00099428+0.00026055i,-0.00022695-0.00049933i,0.0011119-0.00028784i,0.0010476+0.00021006i,0.00046526+0.00012056i,0.00020567-1.7088e-06i,-0.00011536-0.00023398i,0.00025694-0.00072167i
-0.0018513-0.003583i,-0.0017567-0.0048925i,-0.0020268-0.0040803i,-0.0023692-0.0010085i,-0.002554+0.000976i,-0.0016409+0.00065325i,-0.00075143-0.00060493i,-0.00029989-0.0010491i,-0.00034006-0.00090744i,4.9037e-05-0.0010487i,0.00042352-0.00039326i,0.00030814+0.00063989i,0.00012967+0.00090605i,0.00067129+0.00045124i,0.00079913+0.00044843i,0.00036283+0.00031774i,-0.00061664+0.00072499i,-0.00074847+0.0013987i,-0.00051939+0.00093481i,-0.00099475+0.00073758i,-0.00099114+0.00069956i,0.0002403+0.00046153i,0.00027344+0.00027184i
0.00019889+0.0021196i,-0.0011285+0.0011741i,-0.0013755+0.00057992i,-0.00087022-0.0012559i,-0.00070428-0.0024377i,-0.00015864-0.001485i,0.00072874-0.00082166i,0.00091453-0.0014168i,0.00090693-0.0016653i,0.00059293-0.0013563i,0.00061642-0.00082378i,0.00041157-0.00037136i,-1.1298e-05-0.00019053i,0.0002486-7.2479e-05i,0.00085866-0.00032439i,0.0012445-0.00061268i,0.00033871+0.00012925i,-0.00086421+0.0004075i,-0.00071838+7.9466e-05i,-0.00032741-3.0947e-05i,-0.00013853-0.00029007i,2.3389e-05-0.0003111i,-0.00013695-0.00027835i
0.0028243-0.00058483i,0.0030879-0.0028343i,0.0024582-0.0048831i,0.00036177-0.005054i,-0.001532-0.0035943i,-0.0014793-0.0020022i,-0.00025608-0.0005566i,0.00019922+0.00015993i,0.00039475-0.000663i,0.00047682-0.00097701i,-9.2613e-05-0.00033659i,0.0001404-0.00052514i,0.00050562-0.0014412i,-0.0002587-0.0013196i,-0.00092113-0.00057115i,-0.00037746-0.00051291i,0.00032494-0.00087492i,-0.0003442-0.00089423i,-0.00052269-0.00082682i,0.00030224-0.00035106i,0.00042225-8.738e-05i,-0.00023117-0.00037619i,-0.00089419-0.00030778i
-0.00056618-0.00081992i,-0.0013437-0.00038005i,-0.0008286-0.00072014i,-0.0013166-0.0013807i,-0.0022763-0.001308i,-0.0018309+0.00024578i,-0.00028873+0.00080366i,-0.00016906+0.00012831i,-0.00087162-0.00012864i,-0.00081118-0.00029232i,-0.00090176+0.00010334i,-0.0007005-8.2026e-05i,-0.00020595-0.00057561i,-0.00016618-0.00071722i,-0.00019614-0.00046949i,-0.0005924+0.00021338i,-0.00019987+0.00077191i,0.00057388+0.00066703i,0.00012162-0.00010426i,2.4013e-05-6.0725e-05i,0.00028278+4.4647e-05i,0.00062207-0.00013725i,0.00020326-4.2671e-05i
-0.0012528-0.0032208i,-0.0015778-0.0026184i,-0.0026039-0.0019198i,-0.0022138-0.00065246i,-0.0017468-4.9549e-05i,-0.00035258+0.00010543i,0.00088328-5.3084e-05i,0.00026399-0.00041175i,-0.00036595-0.00057219i,-0.00014061+0.00070338i,0.00075553+0.0010793i,0.0016176+0.00012459i,0.00091615-0.00018029i,0.00029019-0.00040929i,-1.0963e-05-1.1983e-05i,-0.00039045+0.00063249i,-0.00016059+0.00075346i,-9.3472e-06+0.001262i,5.9157e-05+0.0011786i,0.00031603+0.00063088i,-3.6616e-05+0.00072812i,-3.8243e-05+0.00079824i,0.00077494+0.00050307i
-0.0010692+0.00027317i,-0.00040651+0.00011746i,-0.00020536-0.0010283i,-0.0007417-0.0013732i,-0.00065143-0.00019911i,-0.0003281+0.00037355i,0.00013701+0.00052341i,0.00038359+6.3209e-05i,0.00023293+0.00042297i,0.00036496+0.0012529i,0.00028402+0.0011789i,-0.00033188+0.0015208i,-0.00081904+0.0017515i,-0.00043051+0.0013545i,0.00018771+0.001318i,-0.00012157+0.00099549i,0.00023105-0.00018314i,0.0010398-0.0007121i,0.0007595-0.00037793i,0.00023093+0.00018177i,-0.00022386+0.00097931i,1.5582e-05+0.0013092i,0.0005077+0.0011095i
0.00080656+0.00070703i,0.00098911+0.0012834i,0.00044611+0.00065997i,-0.00015246-0.0018508i,-0.00077482-0.0027274i,-0.00053758-0.0020092i,0.00052965-0.0010458i,0.00072494-0.0003666i,0.00060871-0.00021037i,0.0005335-0.0001403i,-0.00022035+0.00029528i,-0.0006367+0.00031576i,-0.00051934+0.00030511i,-0.00063799+0.00029124i,-0.00050127-0.00032251i,-0.00026614-0.00070911i,-0.00023891+0.00022723i,-0.0004029+0.00043719i,-0.00052834+0.00056112i,-0.00036453+0.0010265i,-0.0005121+0.00092919i,-0.0001472+0.00033311i,-2.1208e-05-0.00050913i
0.00043016-0.0035333i,-0.00017799-0.0047748i,-0.0010544-0.0054103i,-0.0021989-0.0038818i,-0.0020877-0.0015127i,-0.00010488-0.00027922i,0.0017233-0.00028465i,0.0020481-0.00052952i,0.00063199-0.00077989i,-0.0002195-0.00068689i,-7.9034e-05-0.00079949i,0.00036588-0.0013194i,0.001181-0.0014115i,0.0014427-0.0013032i,0.00075167-0.00053727i,0.00042039+0.00036528i,-3.9364e-06+0.0008793i,-0.00072691+0.0007577i,-0.00075568+0.00023117i,-0.00058979+0.0002868i,-0.00071113+6.547e-06i,-0.0006669-0.00012994i,0.0002776-0.00019033i
-2.6148e-05-0.00044812i,0.0010663+0.00057284i,0.0010336-5.7107e-05i,-0.0011152-0.00017696i,-0.0025629+0.00044377i,-0.0014166+0.0008746i,-5.5062e-05+0.00037817i,-8.9851e-05-0.00073837i,-0.00096864-0.00094727i,-0.0012447-0.00037386i,-0.000938-0.00028792i,-0.00036093-0.00012237i,0.00034558+5.5642e-05i,0.00021613-0.00018095i,0.00038253-0.00010541i,-3.6885e-05+0.00025143i,-0.00085013-0.00021041i,-0.00099793-0.00099381i,-0.00075636-0.00094867i,-0.00015221-0.00029141i,-0.0002255+7.2652e-05i,-0.00081771-0.0004815i,-0.00018436-0.00053891i
-0.0028296+0.00029079i,-0.0029326-7.8606e-05i,-0.0016807-0.00044195i,0.00026535-0.00048519i,0.0013441-0.00049015i,0.0012517-0.00086254i,0.00082272-0.0001821i,-0.00024436-0.00019678i,-0.00056037+0.0002143i,-0.00084225+0.00086265i,-0.0009565-0.00011309i,-0.00015689-0.00091099i,0.00019391-0.0013678i,0.00031344-0.0010096i,0.00020724-0.00024811i,5.4456e-05-1.3563e-05i,0.00026909+0.0002129i,0.00085494+4.6966e-05i,0.00075107-0.00041565i,0.00095848-0.00062622i,0.0011533-0.00065678i,-0.00023545-0.0005768i,-0.0007965-4.9458e-05i
0.0011771-0.00028328i,0.0018154-0.0011324i,0.0013818-0.0020653i,3.8964e-06-0.0020246i,-0.00072539-0.00097487i,-7.0072e-05-7.2785e-05i,0.00063694-0.00020367i,0.00040436-0.00040212i,-0.0006858-9.9689e-05i,-0.0013625+0.0010299i,-0.0010019+0.0010065i,-0.00027586+0.0006732i,0.00097373+0.0007446i,0.0015487+0.00049742i,0.00098711+0.00056009i,0.00036462+0.0003751i,0.00018327+0.00020116i,0.0003377+0.00023993i,0.00016605-7.1287e-05i,-0.00068371-4.8121e-05i,-2.0803e-05+0.0007638i,0.0004798+0.0010244i,-0.00067067+0.00014806i
-0.0013171+0.0018016i,-0.00062473+0.0018632i,0.0011541+0.0014529i,0.00018316+0.00051467i,-0.0020322-2.4487e-05i,-0.0012336-0.00085346i,0.00092626-0.00011324i,0.0010553+0.00083658i,0.00010648+0.00063861i,0.0003906+0.00082822i,0.00073603+0.00076494i,0.001042+0.00043999i,0.00071216+0.00056078i,-0.000419-0.00038956i,-0.00042748-0.0010101i,-0.00017677-0.00048164i,-0.00016583-0.00039605i,-0.00022469-0.00037828i,0.00028814-8.7446e-05i,0.00026656+0.0009337i,1.5598e-05+0.0012563i,4.2549e-05+0.00039615i,-0.0003188-6.562e-05i
-0.0047538-0.0017745i,-0.0039045-0.001338i,-0.0037961+0.00022036i,-0.0031896+0.0011618i,-0.0023005+0.0002974i,-0.001058-0.00010515i,0.0010975+0.00048617i,0.0016618-0.00031189i,0.0010617-0.00097203i,0.00065812-0.00025528i,-7.1627e-05+0.00062135i,-0.00054741+0.00077845i,-0.0010291+0.00056024i,-0.0015975+0.00019021i,-0.00086975+0.0001106i,-0.00036767+0.00079067i,-0.0010375+0.00037317i,-0.0011177-1.7773e-06i,0.00010873+0.00056975i,-5.1111e-05+0.00057008i,-0.000642+0.0002202i,-0.00070496+0.00011019i,-0.00063229-0.00035001i
-0.0031717-0.0012064i,-0.0021249-0.0020856i,-0.0016168-0.00136i,-0.0017174+0.00013419i,-0.00086479+0.00117i,0.00076498+0.0017403i,0.00091463+0.0010255i,0.00040015-0.00012655i,0.00032425-0.00054128i,0.00014092-0.00051045i,0.00012275+6.5569e-05i,0.00055575-0.00011338i,0.0012016-0.00092761i,0.0012532-0.0014013i,-0.00015925-0.00057864i,-0.0006904+0.00052217i,0.00014803+0.00062199i,0.00016041-7.6913e-05i,-0.00032135-0.00028075i,-0.00069514-0.00019741i,-0.00040135-0.00027916i,0.0002695-0.00024447i,0.00046204-0.00071382i
-0.00016311-0.00013575i,-0.0004378+0.00028601i,9.5099e-05-0.00013969i,0.00050512-0.0017486i,0.00058967-0.0015394i,0.0011352-0.00091159i,0.0014535-0.0010779i,0.00092156-0.0012336i,0.00011367-0.00068959i,-0.00040444-0.00033249i,-0.00011472-0.00024836i,1.343e-05+0.00044252i,0.00031446+0.00031911i,0.00020057-0.00013923i,-0.00045182-0.00086445i,0.00010057-0.0014804i,0.0003931-0.001339i,0.0005502-0.00094007i,0.0004257-0.0003084i,-0.00037215+0.00013127i,-0.00059798-0.00024741i,-0.00023677-0.00097083i,0.00030676-0.00079964i
-0.00023233-0.00086968i,-0.00019311-0.0026463i,7.7122e-05-0.0035792i,-0.00062524-0.0031683i,-0.0012846-0.0019494i,-0.00047181-0.00085498i,0.0007622+0.00015541i,0.00089557+0.00021418i,0.00026966-0.00027135i,-0.00059267-0.00034545i,-0.0013514-0.00047429i,-0.0010678-0.00025473i,-0.00022955+0.00072581i,-0.00017652+0.00086158i,-0.00016712+9.8439e-05i,0.00041002-4.3627e-05i,0.0004087+0.00055248i,-3.3579e-05+0.00061593i,0.00038904-0.00053671i,0.001536-0.0011445i,0.00123-0.00054994i,0.00052268+0.00069019i,0.00059901+0.001192i
0.0015062+0.0013562i,0.0021231+0.00041227i,0.0023784-0.0017922i,0.0016406-0.002316i,-0.00025812-0.0011486i,-0.0003713-0.00063932i,0.00040207-7.4047e-06i,0.00049239+0.00069059i,0.00042799+0.00031426i,0.00037754-0.00010624i,2.2428e-05+0.00024881i,-5.8026e-05+0.0010079i,-0.00021967+0.0013871i,0.00081729+0.0013709i,0.0012261+0.0011689i,0.00021668+0.00060314i,7.2104e-05+0.00031443i,-3.9138e-06+0.00041949i,-0.00024001+0.00055897i,-0.00015711+0.00037909i,0.00051901+0.00060927i,0.00098817+0.00086588i,0.00074791+0.00039277i
-0.0010968+0.00013557i,-0.0014177+0.00019292i,-0.002088+0.00093299i,-0.0023608+0.00065123i,-0.0016903+0.00012383i,-0.00050831-0.00074477i,0.00043097-0.00080915i,-0.000208-0.00033432i,-0.00059457+0.00016322i,6.7245e-05+0.00030312i,0.0001827+0.00047145i,-0.0002809+0.00098525i,0.00011049+0.00055298i,0.00033048+0.00078796i,2.3904e-05+0.00056183i,-0.0010154-1.4182e-05i,-0.0012638-2.0345e-06i,-0.00058876-2.8453e-05i,-0.00065373-0.00028786i,-0.00032448+0.00030583i,0.00033318+0.00082404i,0.00024923+0.00057406i,0.00018261-0.00015912i
-0.00039367-0.0015973i,-0.0011424-0.0019688i,-0.0012656-0.0025227i,-0.0012968-0.0020342i,-0.0014425-0.0010923i,-0.00041986+0.0002956i,0.001556+0.00047576i,0.0020506-0.00037922i,0.00054181-0.00032231i,-0.0001188+0.00047242i,-0.00039532+0.00019598i,-0.00058429-0.00039037i,-0.00047879-0.0004347i,0.00016036-5.349e-05i,0.00089125+0.00029997i,0.00072871+0.00023432i,0.00016709-6.4268e-05i,-0.00033852-0.00057454i,-0.00021864-0.00026109i,-0.00041705+0.00043924i,-0.00022095+0.00046159i,0.00063884+0.00039919i,0.00062964-0.00025813i
-0.00033298-0.001469i,0.00051963-0.00064638i,0.0019682-0.0013186i,0.00018463-0.0022618i,-0.0017344-0.0013474i,-0.0016609-0.0012312i,-0.00022143-0.0015713i,0.00070549-0.00063553i,0.00056822-0.00042898i,0.00028451-0.00077004i,0.0002848-0.00020218i,0.00018981-0.00014207i,0.00028584-0.00043674i,-0.0002689-0.00020839i,-0.0015506+0.00013007i,-0.0014995-0.00015331i,-0.00096012-0.00023768i,-0.00074323-0.00080017i,-0.00049892-0.0012085i,3.2317e-05-0.001019i,0.00020366-0.00063066i,-0.00054444-5.1626e-05i,-0.00099362+0.00028414i
4.0999e-05-0.00077166i,-0.00046424-0.001162i,-0.0017174-0.0015541i,-0.0017836-0.0013989i,-0.0015579-0.00066383i,-0.0009503+0.00048324i,0.00039552+0.00073896i,0.0014562+0.00031141i,0.00066086-5.1751e-05i,-0.00068859+6.8546e-05i,-0.0014419+0.00047856i,-0.0010098+0.00025411i,-0.00020668-0.00031332i,0.00040301-0.00022528i,0.00083587+0.00023778i,0.00035853+0.00056234i,-1.1938e-05-0.0002099i,0.00053348-0.00060324i,0.00068129-0.00028154i,0.00046758-7.1055e-05i,-0.00055037-5.3056e-05i,-0.0009699+9.2973e-05i,-0.00052083+0.00017087i
-0.00020545+0.00030871i,0.0015323-0.0012077i,0.0017543-0.00093065i,0.00081493-0.00077722i,-0.00052378-0.00041893i,-7.4102e-05-0.0010767i,0.00033875-0.00065733i,0.00018644-0.00018883i,0.00018587-0.00047999i,0.00066252-0.00017825i,0.0010281+0.00053481i,0.000565+0.0011442i,0.00037386+0.001408i,0.00082016+0.0013562i,0.00093538+0.00024798i,0.0013885-0.0009156i,0.001486+0.00025765i,0.00086954+0.00069319i,0.00033741+0.00014394i,0.00028939+0.00032249i,0.0001444+0.00034554i,0.00063877+0.00014953i,0.00066092+0.00021596i
-0.0013809+0.0014656i,-0.0025091+0.0015009i,-0.0038967+0.0014367i,-0.0029851+0.00099896i,-0.0013125+0.00077083i,-0.0002929+0.00081558i,0.001011+0.0010066i,0.0014002+0.00045875i,0.00020566+0.00028845i,-0.00024577+0.0010845i,0.00038843+0.00017129i,0.00082436-0.00070839i,0.00065559-0.00054345i,0.00049174-0.00067093i,6.2233e-05+9.1039e-05i,0.00050189+0.00083844i,0.0009388+0.00071739i,0.00073896+0.00090091i,0.00020929+0.00064834i,0.00018214+0.00047106i,0.00031927+0.00028857i,0.0002885+0.00018108i,0.00045506+1.2612e-05i
-0.0019787-0.0002553i,-0.0011694-0.0024283i,-0.00079605-0.0039748i,-0.0016046-0.0029618i,-0.0010699-0.00077259i,-0.00014827+9.5643e-05i,3.8071e-05-0.00091012i,6.8945e-05-0.0015584i,0.00032403-0.00030492i,0.00031738+0.00070354i,0.00042022-0.00028209i,0.00083385-0.00095629i,0.0007517-0.00046926i,0.001097-0.00077923i,0.00081061-0.0010993i,-0.00021171+7.8204e-05i,-0.0011357+0.00093737i,-0.0011359+0.00028792i,-0.00095436-0.0002182i,-0.0011321+0.0003011i,-0.00026571+0.00071399i,0.00059095-3.0657e-05i,0.00053376-0.00075329i
0.0007229+0.00072761i,0.0015014+0.0011337i,0.0010159+0.0010333i,-0.00089207+0.00023649i,-0.0010245-0.00064098i,-0.00069843+0.00010626i,0.00033824+0.00082909i,0.00095541+0.00028816i,4.4292e-05-6.218e-06i,-6.7911e-05-7.3874e-05i,0.0002722-7.507e-05i,0.00095769+0.00011336i,0.0013033-0.00037182i,0.00036612-0.0010783i,-8.6043e-06-0.0010044i,0.00040623+1.1625e-05i,-0.00026508+0.00045593i,-0.00092141+0.00012411i,-0.00081026-0.00018383i,-0.00095005-0.00073962i,-0.0010294-0.00090406i,-0.00074386-0.00074384i,0.00010323-0.00036386i
-0.0012128-0.0014134i,-0.0025478-0.0029865i,-0.0028778-0.0047757i,-0.0018682-0.0042542i,-0.0019532-0.001862i,-0.0010641-0.0003809i,0.00038077-0.00026981i,0.00093419-0.00042696i,0.00078079-0.0006156i,0.00066451-0.00055134i,0.00043482-7.2572e-05i,-0.00038003+0.00014977i,-0.00076387-0.00029927i,-0.00019737-0.0010265i,0.00035816-0.00084062i,0.00017629+4.8741e-05i,0.00027194+4.1866e-05i,0.00019597-0.00013793i,-0.00061087+0.00018934i,-0.0010887-0.00056326i,-0.00073177-0.0011405i,-1.4693e-05-0.00034228i,0.00064896+0.0012963i
0.0026039-0.0012153i,0.0028578-0.0020669i,0.0019188-0.0022879i,-0.00036313-0.0022366i,-0.0011298-0.0013724i,-0.00042778-2.3174e-05i,0.0010255-0.00040395i,0.0019172-0.00057928i,0.0018165+9.4466e-06i,0.0007174+0.0003559i,-0.00036578+0.00062888i,-0.00041108+0.0012445i,0.00012346+0.0012246i,5.3817e-05+0.00062393i,0.00013503-0.00011064i,0.0002306-0.0004977i,0.00017182-0.001062i,0.00042681-0.0010552i,0.00026668-0.00042799i,5.3365e-05-0.00027059i,0.00018705-0.0008577i,0.00020285-0.00026444i,-0.00066326+0.00064682i
-0.00030548+0.0023473i,0.0007002+0.0015352i,0.0012029+0.00035814i,0.00078028-0.00056183i,0.00030502-0.0012978i,-0.00036143-0.0019869i,-0.00014751-0.0016405i,0.00064285-0.0012462i,0.00081722-0.0011738i,0.00073027-0.00050025i,0.00048589-0.00046464i,0.00040665-0.00057016i,0.00072417-9.3535e-05i,0.00055663+0.00013746i,0.00021885+0.00032153i,0.00033419+0.00025571i,0.00025746+0.00036028i,0.00033869+0.0002066i,0.00083471+0.00042704i,0.0010227+0.00072347i,0.00043429+0.00041378i,-0.00032+2.9011e-05i,-0.00062275+0.00042807i
0.001801-0.00055562i,0.0010068-0.0014867i,-6.4049e-05-0.0022656i,-0.0017485-0.0027051i,-0.0024525-0.0022398i,-0.0010896-0.0014024i,2.5124e-05-0.00056069i,0.00017608-0.00072115i,0.00010086-0.00016311i,-0.00059045+0.00032652i,-0.00064152-0.00046595i,-0.00049568-0.00078832i,-0.00081265-0.00042661i,-0.0002057-0.00062351i,0.00013166-0.00061522i,5.4946e-05-0.00020262i,-8.865e-05+0.00031366i,-0.00024257+0.00067487i,3.2755e-05+0.00018526i,0.00069272-0.00031713i,0.00067962+0.00060341i,2.1302e-05+0.00033752i,0.00022767-0.00054168i
0.00065472-0.0012145i,0.0015911-0.00045609i,0.0016481+2.2435e-05i,0.0012043-0.00012116i,-0.00029598+0.00053255i,0.00014117+0.00071332i,0.0025619+0.00092768i,0.0019937+0.00066836i,-0.0003585+0.00096918i,-0.00080145+0.00089845i,-0.00041362-2.5039e-05i,6.4806e-05-0.00094625i,0.00081575-0.00085231i,0.00074666-0.00050564i,8.763e-05-0.00057014i,-0.00033724-0.00060812i,-0.00033606-0.00031284i,-0.00027703+0.00024344i,3.3599e-05+0.00062814i,-1.0066e-05+0.00082535i,9.9573e-05+0.00062404i,0.001079+0.00011052i,0.0012322+0.00011444i
-0.00030788+0.00033633i,-1.9572e-05-0.00068734i,-0.00082937-0.0012918i,-0.0023363-0.0020245i,-0.0023878-0.0023664i,-0.00086443-0.0020067i,-0.0004291-0.0012923i,-0.00033254-0.00026825i,-0.00039201+0.00017776i,-0.00094904-1.5866e-05i,-0.0016401-0.00018593i,-0.0011045-0.00019607i,-0.00022288+0.00035835i,-0.00028058+0.00016792i,-0.00040996-0.00051384i,-3.0765e-05-0.00011676i,-5.6242e-05+3.3292e-05i,-2.1621e-08-0.00056164i,0.00045694-0.00061279i,-0.00036703-0.00053518i,-0.0013104-6.471e-05i,-0.000962+0.00067476i,0.00018731+0.0005441i
0.00040237+0.00014345i,-0.00027436+0.00044214i,-0.00096688+0.0001236i,-0.0013776+0.00052466i,-0.0012768+0.0008446i,-3.5275e-05+0.00073562i,0.00072644+0.00068121i,0.00066679-3.0691e-05i,0.00065094-0.00025149i,0.0003044+4.762e-05i,0.00033347+0.00038457i,-0.0001787+0.00092078i,-0.00024097+0.0012978i,-9.4439e-05+0.00075884i,-0.00093279+0.00041086i,-0.00093212+0.00017101i,-0.00042065-0.00095454i,-8.5218e-05-0.0015407i,-0.00046317-0.00048338i,-0.0006387-0.00021813i,-0.00043581-0.00076472i,-0.00033747-0.00081126i,-0.00024103-0.00057073i
