-0.0013434-0.00020059i,-0.00044558+0.00095766i,0.00054596+0.0022049i,0.0004682+0.0015215i,-7.152e-05+0.00041299i,-0.00025183+0.00012268i,-7.5283e-05-0.00061574i,-0.00089595-0.00031365i,-0.0016506+0.00058465i,-0.0012196+0.00092409i,-0.0006391+0.00065341i,-0.00082318-8.9483e-05i,-0.00089513-1.1641e-05i,-0.0011691+0.00042566i,-0.0011027+0.00018755i,-0.00041868+0.00046983i,-0.00060851+0.00096893i,-0.00083273+0.00073404i,-0.00081677+0.00046973i,-0.00035643-8.753e-06i,0.0005052-0.0006308i,0.0003981-0.00034007i,0.0001359-0.00010556i
-0.0011495+0.0006763i,-0.0010397-0.00077863i,0.00029736-0.0010435i,-0.00012659+0.0002525i,-0.0004889+0.00040199i,-0.00063558+0.0001032i,-0.0016686+0.00031242i,-0.0012749+0.00093833i,-0.00054209+0.0014411i,-0.00097723+0.0013876i,-0.0011447+0.0011192i,0.00030598+0.0009586i,0.0010245+5.5072e-05i,0.00037812-0.00031211i,-0.00011145-1.9946e-05i,-0.00010743+0.00022752i,-4.697e-05+0.0003351i,0.00028973-7.3233e-05i,0.00074028+5.5055e-05i,-4.771e-05+0.00064874i,-7.7971e-06+0.00090437i,-0.00014804+0.00089708i,-0.00078927+0.00080191i
-0.00094942-0.0006373i,-0.0011303+0.00083046i,-0.00048351+0.0014625i,-0.00032091+0.0014058i,-0.00010191+0.0011361i,0.00061991+0.00049735i,0.00026494-9.5005e-05i,-0.00045298+0.00014834i,-0.00030086+0.00041658i,3.7832e-05+0.0010043i,0.00045887+0.00076905i,0.00049584+2.5307e-05i,-0.00061196+4.5989e-05i,-0.0011739+0.0003393i,-0.0010978+0.00036219i,-0.0013827+0.0011506i,-0.00026603+0.0013765i,0.00068124+0.00048187i,0.00031096-0.00038545i,0.00022253-0.00099624i,0.00045251-0.0011382i,0.00050173-0.00099154i,0.00060543-0.00065158i
-0.00036737-0.00037786i,0.0013244+0.00063035i,0.0014336+0.001736i,0.00056939+0.0011877i,-0.00059678+0.00069207i,-0.0010719+0.00011567i,-0.0007772-0.00050211i,-0.0004242+2.8603e-05i,-0.00062242+0.00023265i,-0.00048022+0.00064658i,0.00048584+0.0009451i,0.00084514+0.00040139i,0.00088394+0.00066982i,0.00043412+0.00059499i,-0.00022455+0.00022683i,-0.00042309+0.00036477i,-0.00061918+0.000605i,-0.00047437+0.00085443i,3.0695e-05+0.0014735i,-0.00027432+0.0015906i,-0.00037537+0.0012116i,-0.00014561+0.00051247i,-6.7302e-05-0.00034287i
0.00032876+0.00036444i,-0.00015548+3.0059e-05i,0.0002548+4.5473e-05i,0.00017959+8.9838e-06i,2.3923e-05-0.00061046i,3.6453e-05-0.00093078i,-0.00066582-0.00068124i,-0.0010824-0.00048825i,-0.00037536+0.00086464i,0.00025549+0.0014505i,-0.00026418+0.0012135i,-0.00088186+0.0014306i,-0.00034991+0.0012561i,-5.193e-05+0.0003752i,-6.3601e-05-0.00032393i,-0.00014246-0.00033392i,-0.00069699-6.6647e-05i,-0.00087754-8.0089e-05i,-0.00031732+0.00021045i,-0.00017236+0.0010905i,9.8076e-05+0.0011647i,0.00012852+0.00054924i,-0.00014766+0.00026536i
-0.0014592+0.00089781i,-0.0013012+0.0004825i,-0.00089308+0.00093837i,-0.00018371+0.0015755i,-0.00025786+0.0017254i,-0.00024456+0.0014377i,-0.0006169+0.0014113i,-0.0015715+0.0010327i,-0.00091482+0.0012361i,8.5541e-05+0.0016317i,-0.0002477+0.0010518i,-0.00037627+0.00015194i,8.1739e-05-0.00041303i,0.00088916-6.471e-05i,0.0010055+0.00038107i,0.00040591-0.00015848i,-3.6068e-05-0.00082646i,0.00051582-0.00093841i,0.00049515-0.00025065i,-0.00059806+0.00010981i,-0.00037374+0.0001478i,0.0001419+0.00081156i,-7.1043e-05+0.00057277i
0.00099275+0.0002455i,0.0010867-4.4238e-05i,0.0013182-0.00057612i,0.00062957-0.0010553i,-0.0001894-0.00084881i,-0.00021126+0.00047919i,-0.00046965+0.00089601i,-0.0006388+0.00070414i,-9.7966e-05+0.0009999i,0.0002031+0.0012573i,0.00031145+0.0013403i,0.00040883+0.0010266i,-0.00011967+0.00093126i,-0.00025967+0.001039i,-0.00042449+0.0010032i,-0.00036849+0.00070146i,-0.00029851+0.0006729i,-0.00098945+0.0007985i,-0.00044022+0.0011209i,0.00068884+0.0014639i,0.00056482+0.0013415i,-1.406e-05+0.00060344i,-0.00014749-3.1012e-06i
0.0002274-3.9342e-06i,0.00024939-0.0003962i,-0.00012142-0.00040626i,-0.00049629+0.0001677i,-0.00088403+0.00050599i,-0.00044035+0.00021881i,0.0003496-0.0001595i,0.00024993+2.7188e-06i,8.9665e-05+0.00036001i,-4.8059e-06+0.00036667i,-0.00064518+0.00061215i,-0.00095865+3.3159e-05i,-0.00040308-0.00054754i,0.00023205-0.00013478i,-8.8157e-06-0.00022731i,-0.00011055-0.00025049i,3.9366e-05-0.00030109i,0.00013704-0.00032034i,-0.00026597+0.00043689i,-0.0006265+0.00017334i,-0.00029373-0.00064718i,0.00010972-0.00021205i,0.00010775+0.00072641i
0.00019244+0.0010991i,0.0014111+0.00046292i,0.0028861+0.00032582i,0.0033186+0.00086361i,0.0018799+0.0001376i,-2.8452e-05-0.0011784i,-0.00096726-0.00086245i,-0.00090446+0.00021496i,-0.00085244+0.00062712i,-0.00064482+0.00035463i,-0.00039632+6.6721e-05i,-0.00054461-0.00036775i,-0.0013701+6.3302e-05i,-0.0017601+0.0013127i,-0.0011382+0.0019144i,7.4402e-05+0.0013118i,0.00086901+0.0010964i,0.00023805+0.0013926i,-0.00062138+0.0010303i,-0.00026315+0.00027069i,0.00037389+0.00046168i,0.00047733+0.0011834i,1.1081e-05+0.00090605i
6.4489e-05-9.8191e-05i,-0.0004409-0.00031558i,0.00037195-0.00065682i,0.00019124+0.0004314i,-0.0012345+0.0011257i,-0.0015146+0.00038787i,-0.00086105+0.00056666i,-0.00065687+0.00076006i,-0.00046032+0.0007938i,9.4117e-05+0.0013497i,7.2132e-05+0.0008586i,0.00021217+0.00092659i,0.00060116+0.0015561i,0.0004236+0.00057748i,0.00017717-0.00087255i,-0.00021034-0.0012062i,-0.00045607-0.00035533i,-0.0004781+0.00019513i,-0.00039501+0.00046156i,0.00047521+0.00062202i,0.00099345+0.00029929i,0.00050673+0.00025241i,0.00015909+0.0001244i
