-0.003201+0.00014319i,-0.0033336-0.00024468i,-0.0044859+0.00062932i,-0.0038641+0.0018037i,-0.0022691+0.0021424i,-0.0014451+0.0025958i,-0.00036694+0.0025615i,0.00083899+0.0021678i,0.00042687+0.0014357i,0.00027003+2.3797e-06i,0.00096505+0.00022459i,0.00063131+0.00035908i,0.00088315+0.00042602i,0.00072665+0.00071397i,-0.0004906+0.00098675i,-0.00041183+0.0005276i,0.0002003-0.00045324i,-0.000246-0.00023208i,-0.00027411-0.00057752i,0.00010384-0.00083775i,-0.00021849-0.00057309i,-0.00023519-0.00041157i,9.5755e-05+0.00037125i
-0.0004852-0.00085465i,-0.00070966-0.000672i,-0.00057612-0.0015194i,-0.00049017-0.00097777i,-0.00081613-0.0002553i,-0.00079218+0.00088081i,-0.00012877+0.0016952i,0.00093119+0.0015135i,0.0010996+0.0015286i,0.0010516+0.0013133i,0.0014054+0.0012891i,0.0013845+0.0014387i,0.0010374+0.00088094i,0.00075485+0.00060893i,0.00078437+0.0007713i,0.00086265+9.919e-05i,0.00047434-0.00033233i,-0.0001476-0.00013706i,-0.00086092-0.00019371i,-0.0011803+0.00052549i,-0.0008805+0.0003707i,-8.089e-05+0.0002843i,0.00045368+0.00057087i
-0.0011156+0.00010124i,0.00017186-0.00013256i,0.00083989-0.00010463i,0.0011021+0.00045462i,0.00074983+0.0013475i,0.0010151+0.0021292i,0.0016896+0.0020136i,0.0011993+0.0011884i,0.0006324+0.00056924i,0.00089689-0.00027609i,0.001502-0.00035013i,0.0019716-7.3966e-05i,0.00145-0.00023265i,0.00036397-0.00083985i,0.00043343-0.0013156i,0.00076659-0.00065196i,0.00026408-0.00030321i,0.0006337-0.00060541i,0.001087-0.0010746i,0.00029278-0.0010741i,-0.00013233+0.00012604i,0.00030666+0.00010031i,0.00071697-0.00032642i
-0.0042778+0.0019913i,-0.005374+0.0015629i,-0.0048106+0.0026094i,-0.0022769+0.0022014i,-0.00039461+0.0016014i,0.00016716+0.0011072i,5.5732e-05+0.00063386i,0.00036461+1.877e-05i,0.0012312-0.00058595i,0.0012686-0.00078368i,0.001508-0.0013871i,0.0020662-0.0019115i,0.0014882-0.0017141i,0.00077805-0.0010538i,0.00096982-0.0011209i,0.001288-0.0013498i,0.00094108-0.00046766i,0.00062601-0.00022388i,0.00034646-0.00055655i,-0.00014278-0.00079456i,0.00025487-0.00021648i,0.0010124-0.00026884i,0.0012973-0.00071326i
0.0012547-0.0025375i,0.00037275-0.0023292i,0.0005047-0.0021752i,-0.00032213-0.0024395i,-0.001377-0.0020961i,-0.0010805-0.00055051i,0.00010065+0.00074587i,0.00060702+0.00017273i,0.00061469-0.0019973i,4.0233e-05-0.0025308i,-0.001195-0.0021618i,-0.0018798-0.0019087i,-0.0013837-0.0018528i,-0.00028747-0.0015333i,0.00013413-0.00066919i,0.00030115+4.1324e-05i,0.0009627+0.000556i,0.00088471+0.00061093i,0.00063289+0.00017348i,0.0010715-0.00041085i,0.001043-6.3168e-05i,0.00044239+0.00040884i,0.00062614+0.00014619i
-0.00042981+0.0010158i,-0.0020641+0.0030829i,-0.0028213+0.0037468i,-0.0020427+0.0026466i,-0.0018121+0.0016949i,-0.0016122+0.0018546i,-0.00096415+0.0019455i,-0.00072337+0.0016314i,-0.0013124+0.00091295i,-0.0019925+0.00041345i,-0.0021232+0.00015472i,-0.0022288+0.00051281i,-0.0014914+0.0013676i,-0.00044337+0.0015463i,7.2973e-05+0.0007566i,0.00044503+0.00066906i,0.00046016+0.00012808i,0.00022367-0.00048569i,0.00012253+0.00045347i,0.00034907+0.00088797i,0.0011035+0.00017832i,0.0014676-1.5444e-05i,0.00073771+0.0001836i
0.000553-0.00046152i,0.00025102-0.00026751i,0.0009102-0.0014864i,0.00096862-0.00084232i,0.00033263+0.00079871i,-0.0004234+0.0014291i,-0.0011241+0.0015606i,-0.00079715+0.0016029i,-0.00093816+0.0012245i,-0.001722+0.0010266i,-0.0021183+0.0019923i,-0.001425+0.0023891i,-0.00019914+0.0018144i,0.0012649+0.0017584i,0.001826+0.00094838i,0.00047688-0.00021172i,-0.00067825-0.00017501i,-0.0011722-0.00018679i,-0.00094772-0.00057755i,8.2678e-05-0.00015676i,0.00043807+0.00065556i,0.00051904+0.0010716i,0.00077316+0.0009063i
-0.00028521+0.0016853i,-7.7114e-05+0.002116i,2.4615e-05+0.0015841i,-0.00062547+0.0018764i,-0.0013699+0.0025784i,-0.00085016+0.003117i,0.0007418+0.0022385i,0.0019669+0.0016677i,0.0021789+0.002035i,0.001877+0.0020696i,0.0011807+0.0017688i,0.0013676+0.0010209i,0.0013617+0.00013503i,0.00043427+0.00032656i,-0.00014562+0.0004799i,-4.0926e-05-0.00017776i,-0.00018873-0.00055493i,-0.00063768-0.00032345i,-0.00050154+6.2918e-05i,-0.00010068+0.00056496i,0.00014763+0.00038636i,0.00023591-0.00010089i,0.00024786+0.00038233i
-0.0012833-0.0032619i,-0.0027861-0.0040935i,-0.0043394-0.0047819i,-0.0034287-0.001852i,-0.0024719+0.002021i,-0.0020796+0.0028304i,-0.00010805+0.0025279i,0.00073914+0.00138i,0.00056732+0.00036058i,0.00075718-0.00031394i,0.00055207-0.0014861i,0.000426-0.0020734i,0.00026234-0.0016356i,0.00013393-0.0014468i,0.00041041-0.001672i,0.00033674-0.0012462i,0.0001108-0.0005387i,-0.00019951+0.00019542i,-0.00097391+0.00041552i,-0.000984-0.00033946i,-0.00015213-0.00039148i,0.00022441-7.1615e-05i,-0.0002135-0.0002931i
-0.00058236+0.0036224i,-0.00036817+0.0032759i,-0.00020462+0.0031426i,0.00094016+0.0020662i,0.0023124+0.0013619i,0.0017528+0.0019544i,0.00037248+0.0025195i,0.0013067+0.0020823i,0.0025211+0.00053378i,0.0027013-0.0013609i,0.0018637-0.0019272i,0.00027439-0.0019143i,-0.00019342-0.0023682i,0.00042781-0.0019844i,0.00019211-0.0013395i,0.00023387-0.0011892i,-0.00024895-0.00055456i,-0.00085801+0.00051069i,-0.00019723+0.00084204i,-6.4909e-06+0.00073894i,0.00045624+0.00092684i,0.0010195+0.00064613i,-0.00029186+0.00017868i
-0.0003416+0.0023052i,-7.2316e-05+0.0034341i,-0.00030392+0.0048756i,-0.00045581+0.0028317i,0.0002232+0.00048126i,0.00065519+0.00074194i,8.0554e-05+0.0016508i,-0.00043025+0.001551i,-0.00059676-0.0002615i,-0.00053697-0.0018219i,-0.0011649-0.0014821i,-0.0024576-0.0007372i,-0.0025436-0.00030504i,-0.0012319+0.00015252i,-0.00048333-0.00013305i,0.00021141-0.00048227i,0.0001502-0.0010255i,-0.00029107-0.00092915i,-0.0002342-0.00066076i,0.00041795-0.00043227i,0.0010707+0.00035446i,0.00058161+0.00051662i,-0.00023387+0.00038303i
-0.00060458-0.0011996i,-0.00060583-6.6184e-05i,-0.00051885+0.00058523i,-0.00062485+0.0015655i,-0.0010189+0.0021454i,-0.00022587+0.001736i,0.00097075+0.00083782i,0.00065398-0.00010244i,-0.00088455+0.00010805i,-0.0021663-0.00018725i,-0.0023416+4.8155e-06i,-0.001622+0.00098346i,-0.00061534+0.0014766i,-0.00050783+0.00074302i,-0.00083389-0.00023491i,7.9825e-05-0.00053816i,0.00035018-0.00029301i,-3.3818e-05-0.00029601i,0.00013949-0.00014124i,0.00016811+0.00042979i,0.00047441+0.00032444i,0.00042331+0.00028759i,-0.00011458+7.3286e-05i
0.0008371+0.00035945i,0.00058095-0.0006576i,0.0017713+0.00058104i,0.0015309+0.0016241i,-0.00022414+0.0011895i,-0.0014361+0.0016407i,-0.00069803+0.0019807i,0.00040778+0.0013936i,0.00030571+0.0011198i,-0.00013966+0.0010092i,0.0002581+0.0013745i,0.00071855+0.0011601i,0.0010788+0.00060354i,0.0010915+0.00088209i,0.00040552+0.00076618i,0.0006891+0.00027641i,0.00073902-0.00023554i,7.4459e-05-0.0001692i,4.9305e-05-0.00036099i,0.00032566-0.0010491i,0.00043231-0.00088975i,0.00046499-0.00035654i,0.0011063+0.00038951i
0.0027641-0.00051018i,0.0033928+5.3646e-05i,0.0034172-0.0011147i,0.001682-0.0024589i,0.00057077-0.0016633i,0.00052164+0.00013676i,0.0012768+0.0010423i,0.0023585+0.0010411i,0.0022864+0.00018894i,0.0013124-0.00017221i,0.0009458-0.00010015i,0.00082239-0.00071308i,0.0011054-0.0011058i,0.0016195-0.0012971i,0.0012694-0.0015984i,0.00045266-0.0011668i,0.00023036-0.00083691i,0.00020904-0.00069373i,7.0834e-05-0.0004649i,9.9869e-05-0.00047322i,-0.00015782-0.00017987i,-0.0006876-9.2432e-05i,-0.00099511-0.00052257i
-0.0012788+0.0002355i,-0.0014967+0.00032679i,-0.0018318-0.0013404i,-0.0015674+5.4947e-05i,-0.0010282+0.0022768i,-0.00046274+0.0022414i,0.00031089+0.0019383i,0.00068592+0.00099585i,0.0010558-0.00023479i,0.0018697+0.00012177i,0.0017104-0.00067624i,0.00066371-0.0014643i,-0.00011595-0.00036991i,8.2877e-05-0.0004746i,-5.4335e-06-0.00077736i,-0.00069599+0.00013273i,-0.000515+0.00060898i,-0.00022719+5.1143e-05i,-0.00043245+0.00032274i,-0.00076967+0.00085926i,-0.0004909+0.00076703i,4.9257e-05+0.00065984i,0.00023425+9.3788e-05i
-0.0017482-0.0021075i,-0.001895-0.001911i,-0.0020272-0.0018762i,-0.0014747-0.0013259i,-0.00073555-5.5501e-05i,-0.00035261+0.001276i,0.00016417+0.0022277i,0.00046357+0.0011279i,0.00043687-0.00086816i,0.00096576-0.0020921i,0.0011505-0.0021837i,-0.00072124-0.0011638i,-0.0024527-0.00030779i,-0.0015839-0.00032279i,-0.00048541-0.00010911i,-0.00074755-0.00012978i,-0.00078764-0.00049341i,-0.00010311+2.1085e-05i,0.00033279+0.00028841i,-0.00033008-9.2821e-05i,-0.00029367+0.00019262i,0.00062409+0.0011948i,-0.00073235+0.0012015i
-0.0010908-0.00075034i,-0.001947+4.1568e-05i,-0.0027486+0.0010695i,-0.0025708+0.001799i,-0.0016638+0.0012296i,-0.00046896+0.00081571i,0.0011536+0.0012244i,0.0019165+0.0011194i,0.0011877+5.7374e-05i,-0.00048159-0.0011985i,-0.0014792-0.0020073i,-0.0013528-0.0010705i,-0.00081182-0.00021712i,-0.00020608-0.00020181i,-0.00029679+9.0988e-05i,-0.00039684-0.00029858i,2.6417e-05-0.00078368i,0.00041024-0.0007226i,0.00037154-0.00036042i,-7.2723e-05+0.00030779i,-0.00013866+0.0002525i,-0.00043949-0.00027699i,-0.00089588-0.00049479i
0.0011025+0.0011872i,0.0014815+0.00068008i,0.0023243+0.0010931i,0.0021722+0.0007886i,0.0013615+0.00032619i,0.0011255+0.00011648i,0.0014116+7.3542e-05i,0.0021631+0.00021168i,0.00059459+0.00035657i,-0.0013419-0.00024275i,-0.00093152-0.00042109i,-0.000197+0.00073339i,0.00030808+0.0012697i,0.00062827+0.00046626i,0.00027853-7.0269e-05i,-6.6267e-05-0.00082945i,0.00065884-0.00061881i,0.00062412-0.00020621i,0.00035116-0.0002996i,0.00057214-0.00018159i,0.00056264-0.00033727i,-0.0001176-3.3369e-05i,-0.00038666+0.00022527i
-0.0021904-1.8613e-05i,-0.0020863-0.00088168i,-0.0026507-0.0012853i,-0.0013539+0.00035577i,-0.00019198+0.0024753i,0.00016323+0.0023373i,0.00062303+0.00065511i,0.0010189-0.00039444i,8.4897e-05+4.6541e-05i,-0.0013919+0.0014951i,-0.00055107+0.0017659i,0.00030868+0.0012633i,0.00020419+0.00078937i,0.00016237-0.0008034i,-0.00032781-0.0015431i,-0.00026963-0.00064404i,0.00029206+0.00012126i,6.7754e-05+0.00013929i,-9.7957e-05-9.8447e-05i,1.0104e-05+0.00021638i,-0.00012954-0.00017185i,-0.00040828-0.00086022i,-0.00023653-0.00036177i
0.00083668+0.00014569i,-0.00067203+0.00065935i,-0.0017015-0.0001529i,-0.00095993-0.00076289i,-0.00085439+0.0010358i,-0.0011778+0.0020838i,-0.00038204+0.0013609i,0.00048956+0.00066315i,0.00070364+0.00042209i,0.00048024-0.00032899i,0.00033961-0.00090064i,-9.9362e-05-0.0009467i,-0.00044077-0.00082116i,-0.0010003-0.00022196i,-0.0012898+5.4218e-05i,-0.00024124-0.0011199i,9.9258e-05-0.0014302i,-0.00067888+3.9925e-05i,-0.00048352+0.00035157i,0.00012961+0.00072848i,0.00030323+0.00042671i,0.0008239+1.2216e-05i,0.0010611+0.00038593i
-0.002095-0.0012872i,-0.00238-0.00081083i,-0.002688-0.0014137i,-0.0015897-0.0024176i,0.00026443-0.0016391i,0.00059524+0.00071368i,0.00053219+0.0020948i,0.0010008+0.0014768i,0.0014941+0.00017071i,0.0017861-0.00047547i,0.0012503-0.00083059i,0.00064335-0.0008487i,-0.00063464-0.00016932i,-0.0016207+0.00098481i,-0.0014627+0.00094911i,-0.0015652+0.00043975i,-0.001111+0.00060557i,-0.00056496+0.00034798i,-0.00018267-0.00087124i,0.0004025-0.0011382i,0.00042855-0.0006961i,0.00020406-0.00010505i,-0.00038095+0.0001507i
-0.0015404+0.00081905i,-0.0015296-0.00037989i,-0.0018965+0.00034154i,-0.0019137+0.00094128i,-0.0013051+0.0014736i,-0.00020552+0.0016204i,0.0002304+0.00063293i,-2.4604e-05-0.00030759i,-0.00034608-0.00064631i,-0.000377-0.001163i,-0.00018818-0.0017623i,-0.00032767-0.0012036i,4.1452e-05+0.00020417i,0.00043574+0.0011084i,-5.1371e-05+0.0011203i,-0.0002761+0.00032744i,0.00037849-0.00021127i,0.00019929-0.00066339i,2.2388e-05-0.0011575i,0.00038391-0.00099737i,9.9119e-05-0.00023894i,-0.00055799+6.6568e-05i,-0.00073327-1.0096e-05i
-0.00090612+6.0878e-05i,-0.0015991+0.0011097i,-0.0014511+0.0030157i,-0.00067293+0.0028255i,-0.00021484+0.0010773i,4.4085e-05+0.0014431i,0.00095318+0.0016225i,0.0012921+0.00064893i,-5.2609e-05+0.00026111i,-0.0020449-1.2273e-05i,-0.0013256-0.00082392i,0.00078811-7.5273e-05i,0.0010948+0.00096226i,0.00065086+0.00022976i,0.00073683-0.00064141i,0.00050742-0.00020848i,-0.00019117+0.00034927i,0.0003281+1.4883e-05i,0.00041009-0.0008289i,0.00049278-0.00057092i,0.0010133+0.00034118i,0.00044884+0.0003647i,0.00015669+0.00030153i
0.0019576+0.002413i,0.0029882+0.00187i,0.0038445+0.0025161i,0.0036648+0.0024187i,0.0028383+0.0012818i,0.0019298+0.00016407i,0.0014555+0.00020151i,0.0012389+0.00074352i,0.00039152+0.00057008i,-0.00069821-1.2476e-05i,3.2309e-05-0.00034025i,0.0015083+0.0002191i,0.0017559+0.00068438i,0.001147-0.00017467i,0.00099944-0.00042313i,0.0013981-0.00060716i,0.0010529-0.00031831i,-0.00032537+0.00072835i,-0.0013782+0.00087122i,-0.00063111+5.1702e-05i,0.00037001-0.00049864i,0.00072946-0.000496i,0.00099404+0.00033371i
-0.0025731-0.00030229i,-0.00242-0.00090557i,-0.0017408-0.0015306i,-0.00047907-0.00086577i,-0.00021422+0.00038335i,-0.00011872+0.00087931i,0.00052434+0.00076162i,0.00072595+0.0004318i,0.00046883+0.0005301i,0.00029274+0.00069371i,0.00064332+0.00018695i,0.00081044-0.00066115i,0.00031583-0.0013999i,2.2794e-05-0.0011425i,-0.00025159-0.00092488i,-0.00052166-0.00081904i,-0.00086385-1.0728e-05i,-0.0012301+0.00064499i,-0.00077932+0.00060524i,-0.00010825+0.00088184i,0.0006348+0.00080677i,0.00131+0.00026118i,0.00064377+0.00064821i
0.00021005+0.00072282i,-0.00047175-0.00051913i,-0.0007306-0.00012267i,-0.00033157+0.0006448i,0.00020885+0.00078623i,-0.00047741+0.0013763i,-0.00083171+0.00083407i,-5.1321e-05-0.00022353i,0.0011851-0.00033442i,0.001856-0.00073632i,0.0016285-0.0014359i,0.00050859-0.0014513i,-0.00042236-0.00067338i,-0.00035628-0.00044303i,-0.00045599-0.0010694i,-0.00058732-0.00062426i,-0.00081023+0.00045299i,-0.00067962+0.00067567i,-0.00016508+0.00073369i,0.00050328+0.00089604i,0.00052675+0.0011642i,-0.0006615+0.00055642i,-0.0009222-0.00017374i
0.00051619-0.00074681i,-0.00050276-0.00036201i,-0.0023148-0.00055748i,-0.002609-0.00092497i,-0.0013607-0.00033654i,-0.00095988+0.0015091i,-0.00099048+0.0024236i,7.3616e-05+0.0012959i,0.0014608-0.00050336i,0.0014079-0.00087796i,7.1654e-05-0.00032186i,-0.0011097+4.4526e-05i,-0.00083139+0.00027127i,-0.00074186+0.00039702i,-0.00079906-2.1939e-05i,0.00036927-0.00021771i,0.0012144+0.00044379i,0.0010173+0.00046633i,0.00065414+0.00032751i,0.00049712+0.00015158i,0.00053876+0.00038422i,0.00086287+0.00066963i,0.00062594+0.00036189i
0.0010184+0.00058317i,0.001758+0.00081889i,0.0017731+0.0014635i,0.00038689+0.0010104i,-6.1013e-05+2.3109e-05i,0.00048177+0.00058499i,0.00071625+0.0019254i,-3.7865e-05+0.0013217i,-0.00043697-0.0011974i,-0.00036178-0.0020854i,-0.00041025-0.0016362i,9.4874e-05-0.00091328i,0.001171+0.0002051i,0.0016479+0.00080069i,0.00090961+0.00045276i,0.00030518+0.000505i,0.00020773+0.00023342i,0.00079198-0.00090797i,0.0012263-0.001043i,0.00077528-0.00087165i,0.00068579-0.0010312i,0.00052016-0.00086314i,-0.00029923-0.00090906i
-0.0014202+0.00062426i,-0.0020371+0.0017962i,-0.0024454+0.0026505i,-0.0013939+0.003963i,-0.0016773+0.0032566i,-0.00050694+0.0021799i,0.0013231+0.0015774i,0.00099744+0.00139i,-0.00055331+0.00058977i,-0.0011981-0.0004657i,-0.0004952-0.00011177i,0.00065471+0.00030112i,0.0013136+6.7824e-05i,0.00090505-0.00053223i,0.00053565-0.0012611i,0.00059217-0.0014613i,-0.00028249-0.0010328i,-0.0007466-0.00077156i,-0.00011336-0.00075143i,-2.9628e-05-0.0012364i,-2.4001e-05-0.00098333i,-0.00022882-0.000519i,-0.0011004-0.00011197i
0.00053198-0.0025719i,0.0010747-0.0038961i,0.001347-0.005099i,0.0014521-0.0037149i,0.00042655-0.0013342i,-0.00054862+0.00018125i,0.0003797+0.00027452i,0.0014-8.3539e-05i,0.00035834+0.00023801i,-0.00030859+0.00052593i,0.00012712-6.2436e-05i,-0.00013768-0.00056377i,-0.00045842-0.00048852i,-5.2029e-05-0.00076791i,0.00037977-0.00069199i,-0.00020152-0.00042109i,-0.0010149-0.00021979i,-0.00093276+0.0007066i,-0.00091688+0.00096089i,-0.00074271+0.00054806i,-0.00065431+0.00034234i,-0.00061349+0.00023533i,-0.00055857+0.0010459i
-0.00023186+0.0013565i,-0.0015571+0.00018369i,-0.00094405-0.00098551i,0.0013116-0.00074988i,0.0016563+0.00060781i,-5.9043e-05+0.0013133i,-0.00065724+0.0011765i,0.00058618+0.00069611i,0.0013059+0.00047258i,0.0010532+0.00026151i,0.00092305+2.8102e-05i,0.00054147-0.0005396i,-0.00049076-0.0014581i,-5.1103e-05-0.0012241i,0.00035015-0.0012783i,0.0002225-0.0016533i,0.00030629-0.0010656i,-3.5977e-05-1.3582e-05i,-0.00028548+0.00092886i,0.00019124+0.0013352i,0.0010102+0.0013619i,0.0011484+0.00039256i,0.0012808-0.00074352i
-0.00022675-2.5097e-05i,-0.00089439+0.00013287i,-0.0024715-0.0014871i,-0.0021117-0.0027714i,0.00036198-0.0015159i,0.0010501+5.4322e-05i,0.00064797+0.0014299i,0.00086886+0.001346i,0.0012746-0.00058158i,0.00158-0.0012038i,0.0016269-0.00088149i,0.00074406-0.00033847i,-7.482e-05+3.206e-05i,0.00046538-0.00023756i,0.00040966-0.00042305i,5.0295e-05-0.00043008i,0.00039239-0.00013504i,0.00047537+0.00080615i,0.00061565+0.00086873i,0.00097384+0.00056921i,0.0008407+0.00061046i,0.00061524+0.00047716i,0.00068622+0.00013373i
-0.0018233+0.0023195i,-0.0031703+0.004038i,-0.0041289+0.0055898i,-0.0036873+0.0042999i,-0.0005421+0.0018852i,0.0016113+0.0014595i,0.0016413+0.0014086i,0.0005101+0.0010329i,-0.00037795-0.00034211i,-3.1875e-07-0.0020206i,0.00027187-0.0022433i,0.00028478-0.00087704i,0.0008272+0.00057075i,0.0010564+0.00050037i,0.00051576-0.00012557i,0.00012125+0.00012448i,5.4032e-05+0.00032082i,0.0002059+3.3595e-05i,0.00032201-0.00026171i,0.00094999-9.8841e-05i,0.0018819-7.6116e-05i,0.0012582-0.00024195i,0.00011979-0.00060543i
-0.0015989-0.0023271i,-0.0010456-0.001439i,-0.0014663+0.00060555i,-0.0024637+0.0024174i,-0.0030526+0.0023704i,-0.0014273+0.0014877i,0.00074917+0.00091769i,0.00077533+0.00031867i,-1.9764e-05-0.00072653i,-0.00074741-0.0010438i,-0.00083318-0.0007678i,0.00024579-0.00051261i,0.00086791-0.00018463i,0.00070641+6.0253e-05i,0.00050588+2.7984e-05i,-0.00013422-0.00052343i,-0.00061379-0.0011771i,-0.001074-0.0013693i,-0.00097257-0.0014306i,-0.00071647-0.0011158i,-0.00090258-0.0010907i,-0.0003409-0.0012992i,-0.00022914-0.00074337i
4.9481e-06-0.00057092i,0.0012655-0.0019086i,0.0022754-0.0014586i,0.0017535+0.0012763i,0.00046453+0.0025067i,0.00014779+0.0022608i,0.00035635+0.0015423i,0.00046382+0.0010339i,-0.00053445+0.00058869i,-0.0012416+0.00068184i,-0.00069082+0.0011666i,-0.00011955+0.00053233i,-0.00010912+0.00027448i,-0.0002692+0.00070376i,-0.00043972+0.00055749i,-0.0005732+0.00041598i,-0.00019461+0.00059245i,4.5176e-05+0.00069824i,-0.00088374+5.6462e-05i,-0.0016854-0.00052098i,-0.0015559-9.7376e-05i,-0.00094821+0.0002138i,-0.00080823-3.0438e-05i
-0.0021751-0.003091i,-0.0031173-0.003797i,-0.0021197-0.0042467i,-0.00037436-0.0021028i,0.00033981+0.0010945i,0.00019608+0.0023772i,4.8571e-05+0.0012456i,0.00023976+0.00089619i,7.7018e-05+0.001748i,3.2118e-05+0.001894i,-0.00018087+0.0016863i,-0.00055984+0.00057862i,-0.00094215-0.00087004i,-0.00085297-0.0011366i,0.00023798-3.6688e-05i,0.00082961-6.7006e-05i,0.00061927-0.00043297i,0.00037499-0.0002247i,0.00032438+0.00017775i,-0.00044894+0.00083308i,-0.00065076+0.0010752i,-4.6954e-06-0.00026116i,-0.00014514-0.00026168i
-0.0022436+0.0013924i,-0.0034485+0.0011878i,-0.0042243+6.1371e-05i,-0.001464-0.0013206i,0.0012411-0.0010513i,0.0014003+0.00045304i,0.00095037+0.0011192i,0.001617+0.0010245i,0.0019609+0.00091441i,0.0019616+0.001088i,0.0022993+0.001145i,0.001394+0.00080386i,0.00023911-2.4593e-05i,0.00048005-0.00069215i,0.00045381-0.00051191i,0.00090907-0.00027982i,0.0018019-0.00058531i,0.0010801-0.0010355i,0.00056379-0.00064712i,0.00092819+0.00045035i,0.00072298+0.00098044i,-0.0001985+0.0005066i,-0.0002842-0.00039608i
-0.0039608+0.00014176i,-0.0056125+0.00015045i,-0.0072475-0.00064061i,-0.006988-0.00082376i,-0.0036943-0.00038576i,-0.0005484+0.00077493i,3.7934e-05+0.00095605i,0.00040023-0.00010264i,0.0010313-0.00088553i,0.0018445-0.00088992i,0.0020606-0.0007004i,0.00051375-0.00062661i,-0.00011089-0.00039019i,-2.345e-05+0.00010238i,0.00036958+7.6762e-05i,0.0010786-0.00036712i,0.00058819-6.8587e-06i,-0.00011568-0.00035642i,4.867e-05-0.00080673i,0.00069713-0.00073232i,0.00084428-0.00074247i,0.0010476-0.00040803i,0.00036975-7.2649e-06i
0.00024292-0.0010104i,0.00062211+0.00073016i,-0.00022893+0.0026737i,-0.0023783+0.0037172i,-0.0027881+0.0029532i,-0.0010689+0.0020399i,0.00011304+0.0022571i,-5.2236e-05+0.0017799i,-0.00044351-3.1149e-05i,-0.0003382-0.0017163i,-0.00043514-0.0020626i,-0.0011103-0.0013902i,-0.0012091-0.00053135i,-0.00092122-0.00031027i,-0.0014225-3.0595e-05i,-0.0013913-0.00047683i,-0.00065479-0.0014889i,-0.0010817-0.0012108i,-0.00072786-0.00099527i,0.00055909-0.0014419i,0.00085836-0.0017512i,0.00051392-0.0016289i,-3.1662e-05-0.0014309i
0.0025189-0.00074106i,0.0030005-0.00024715i,0.0044473+0.0011789i,0.0039181+0.002288i,0.00069794+0.0027612i,-0.0011446+0.002357i,-0.0010647+0.0023679i,-0.00091278+0.0026557i,-0.0010245+0.0012898i,-0.0020831-0.0012207i,-0.0025129-0.0023218i,-0.0015385-0.001068i,-0.00048834-0.00063457i,-0.00080463-0.00092392i,-0.0010935-0.00025228i,6.6111e-05+0.00011795i,-0.0004587+0.00026636i,-0.001153+2.2489e-05i,-0.00060207-0.0005432i,-0.0010374-0.00026589i,-0.0018436-0.00014622i,-0.0013397-0.0010726i,0.00021422-0.00146i
-0.0012428-5.1511e-05i,-0.0010633-0.00059756i,0.001971-0.0009089i,0.0043203+0.00094129i,0.0038484+0.0039828i,0.0021913+0.0041888i,0.0016004+0.0030371i,0.0019584+0.0021476i,0.00097149+0.0012562i,-0.0010538+0.0008539i,-0.0019661+0.0011685i,-0.0019956+0.0015341i,-0.0015349+0.0011416i,-0.00034971+0.0009744i,0.00030526+0.0013333i,0.0003798+0.001411i,0.00042145+0.0013692i,0.00068855+0.00081458i,0.0012153+0.00019441i,0.00086762+0.00028259i,-0.000233+0.00063333i,-0.00043063+0.00046454i,-0.00031823-0.00016493i
-0.0033704-0.000674i,-0.0053903-0.0023664i,-0.0053469-0.004244i,-0.0015941-0.0033453i,0.0016312-0.00048454i,0.0018724+0.00085752i,0.0017637+0.00045046i,0.001724+0.00053562i,0.0011948+0.00051699i,6.729e-05+0.0015254i,-0.00029686+0.0024889i,0.00027615+0.0017305i,0.00079943+0.00095949i,0.001933+0.00087236i,0.0021109+0.00074703i,0.00055004-0.00011395i,-0.00017129-0.00058491i,0.00036094-0.00094213i,0.00091351-0.00089985i,0.0010874+2.348e-05i,0.0012527+0.00091335i,0.0010669+0.0013244i,0.00062884+0.00090123i
-0.001579-0.0030822i,-0.0039025-0.0037639i,-0.0065023-0.0045013i,-0.006331-0.0044042i,-0.0032699-0.0027385i,-0.00056443-0.0001963i,-0.00010545+0.00093406i,-0.00013173+0.00028817i,0.00028325-0.00018676i,0.0014334+0.0001306i,0.0022214+0.00028724i,0.0012614+0.00058734i,0.00036132+0.00051023i,0.00019822-0.00083671i,0.00026356-0.0020604i,5.8717e-05-0.0026539i,9.7389e-05-0.0020006i,0.00016855-0.00040963i,0.00052679+0.00020332i,0.0011159+1.9152e-05i,0.0010886-2.7125e-05i,0.00032652-0.00054165i,0.00013762-0.0010818i
0.0031422+0.00040395i,0.0020406+0.0019892i,-0.00096762+0.0032621i,-0.0041254+0.0025441i,-0.0044902+0.0005839i,-0.0030493+0.00015549i,-0.0023156+0.0013048i,-0.0020045+0.0018492i,-0.00077818+6.6471e-05i,0.00099629-0.0021454i,0.0019485-0.0026234i,0.0022155-0.0015796i,0.0015609-0.00089829i,2.115e-05-0.0016178i,-0.00066492-0.0016213i,-0.00052703-0.00080415i,-0.00017894-0.00044012i,5.1969e-05-0.0001053i,-0.0001818-0.00019063i,-0.00021835-0.00057229i,0.00018816-0.00077201i,0.00014091-0.00074633i,0.00013929-0.00063515i
