-0.0032704+0.00013026i,-0.0021528-0.00011363i,-0.0033312-0.00050218i,-0.003567+2.2799e-05i,-0.0020581+0.00077346i,-0.00055177+0.0011127i,0.00021159+0.0010805i,0.00080097+0.0007844i,0.0010611+0.00066648i,0.00052009+0.00070161i,0.00033861+0.00029885i,-0.00019457-1.3763e-05i,-0.00042021+0.00011073i,0.00020654+0.00049405i,-0.00028426+0.0011224i,-0.00058993+0.00073503i,1.6396e-05+0.00068253i,-0.0007652+0.00051125i,-0.0011729+0.0001584i,-0.00039809+0.00041907i,-0.00051522+0.00015601i,-0.0006796-0.00024312i,-0.00038533+2.9241e-05i
-1.8156e-05+0.00037489i,-3.0059e-05-0.00069707i,-0.00014087-0.0015775i,-0.00047567-0.0014906i,-0.00075073-0.00078652i,-0.0010683-0.00048419i,0.00032666-0.000928i,0.002077-0.0013293i,0.001919-0.0015742i,0.0007742-0.0016444i,0.00036485-0.0011447i,0.00069813-0.00066378i,0.00021273-0.00069047i,-0.00015235-0.00097542i,0.00013675-0.00099459i,7.8788e-05-0.00019509i,-0.00035051+0.00025965i,-0.00093865+0.00027338i,-0.00086038+0.00038183i,-0.00066783+0.00019601i,-2.4151e-05-6.7761e-05i,0.0012009+8.9687e-05i,0.00069962+0.00011763i
0.0016104+0.0018233i,0.0016655+0.0020045i,0.0027251+0.0021063i,0.0028119+0.0018652i,0.0020864+0.00097825i,0.001051-0.000317i,-0.000211-0.0010983i,-0.00032113-0.0021212i,0.00028269-0.0019941i,0.00037904-0.0012761i,0.00032904-0.0010751i,0.0001441-0.00065776i,-0.00065711-0.00024052i,-0.00055528-0.00048177i,-0.00031908+8.0364e-05i,-0.00022211+0.0011146i,-0.00034905+0.0014046i,-0.00045784+0.0012499i,-0.00061524+0.00051144i,-0.00060503-0.00039195i,-1.4006e-05-0.00059175i,0.00026087-0.00076223i,-0.00055503-0.00016006i
-0.00092571+0.0030121i,-0.00069612+0.0038352i,0.00013731+0.004434i,0.00057455+0.0029717i,0.00032501+0.0007053i,0.00028448-0.0007697i,0.00092471-0.0010567i,0.0012266-0.00020439i,0.00038476-2.0687e-05i,0.00071541-0.00032241i,0.00097203-0.00010437i,0.00043893+0.00034491i,-9.63e-05+0.0012036i,0.00033867+0.0012885i,0.00072534+0.00052072i,0.00025809-0.0001182i,0.00032197-0.00042985i,0.0006792-0.00018733i,0.00043031+0.00093606i,-0.00012537+0.0013371i,-5.3059e-05+0.00059445i,0.00025927+0.00011182i,0.00048714-0.00013833i
0.0022363-0.00090573i,0.0021534-0.0012786i,0.0010269-0.0010686i,0.00057892-0.0018526i,0.00025143-0.001861i,4.2407e-05-0.0009297i,0.00017836-0.00068898i,-0.00017605-0.0007352i,-0.00042714-0.00039253i,-0.00076582+0.00057921i,-0.00097308+0.00051131i,-0.0005048+0.00035753i,-0.00048582+0.00056537i,-0.000343+6.8841e-05i,0.00038135+1.997e-06i,0.0003547+0.00027912i,0.00012421-0.00030742i,0.00014477+0.00031675i,0.00034281+0.00090036i,0.00071528+0.00045514i,-0.00010453+0.00021105i,-0.00067893-0.00076033i,0.0001057-0.0015562i
0.0011515-3.7426e-05i,0.0012379+0.0014754i,0.00068324+0.0016325i,0.0008922+0.00049902i,0.00082114+9.9615e-06i,0.00028834-0.00031854i,0.00018855-0.00031788i,-0.00057992-6.9408e-05i,-0.00073053-0.00051369i,5.1357e-05-0.0010667i,-0.00022269-0.00039791i,-0.00077669+7.1652e-05i,-0.00065206-0.00080529i,0.00053276-0.00085067i,0.0008548+0.00013452i,-7.4419e-05+0.00064881i,-0.00039472+0.00057563i,0.00025625+0.00071305i,0.00051912+0.00050357i,0.00065689-0.00020041i,0.00029498-0.00011879i,-0.00039692-2.4696e-05i,-0.00043862-0.00024914i
-0.00013691-0.0018553i,-0.0002211-0.0025839i,0.00010619-0.0020402i,-0.00042735-0.00094762i,-0.00026748+0.00017019i,0.00047379-9.8552e-05i,0.00072448-0.0013289i,-0.00018949-0.0016009i,-0.00060829-0.00081747i,-0.00012145+0.00081529i,-0.00070216+0.00097187i,-0.001412+0.00069605i,-0.00099069+0.00070873i,-0.00041856+0.0002306i,-0.00046074+0.00031147i,-0.00020956+0.00025534i,-0.00018923-0.00083809i,0.0002417-0.00078306i,0.00078664-0.00030802i,0.00081193-0.00038309i,0.00019891-0.00071821i,-0.00083453-0.00083985i,-0.00084469-0.00069912i
0.00040579-0.0026954i,0.00059992-0.0018116i,-0.00048546-0.0010698i,-0.00051426-0.00056558i,-0.00077503-0.00082169i,-0.0014014-0.00081977i,-8.0328e-05-0.00036665i,0.00082635-5.0446e-05i,0.00038093-4.8556e-05i,-1.2309e-05-0.00046248i,-0.00039447-0.00083465i,-0.00082211-0.00036383i,-0.00052538+7.1013e-06i,-0.00044695+0.00023344i,-0.00066845+0.00035758i,-0.00025025+0.0007228i,-0.00044721+0.0010701i,0.00027082+0.00030209i,0.00065266-0.00024623i,-9.9708e-05-0.00041348i,-7.758e-05-0.00053697i,-0.00031811-0.00039723i,-0.00091612-0.00023881i
0.00013383+0.002452i,0.0013372+0.0028369i,0.0028252+0.003455i,0.0031057+0.0021345i,0.0019183-2.2335e-05i,0.0010063-0.0006367i,0.0010077-0.00012342i,0.00099416-0.00043707i,0.00084576-1.9769e-05i,0.00053537+0.00082961i,0.00061372+0.00036617i,0.00099108+4.6488e-05i,0.0012125-0.00027815i,0.00045169-0.00085359i,-0.00016018-0.00056577i,-0.00053126-0.00027099i,-0.0010382+0.00017519i,-0.0010719+0.00060336i,-0.00065699-3.486e-05i,7.8887e-05-3.5351e-05i,0.00082581+0.00055411i,0.00096615+0.00028748i,0.00084455-0.00032328i
0.00036827+0.00055101i,-0.00010311-0.0006585i,-0.0017285-0.0011154i,-0.0019894-0.00051887i,-0.0011759+7.6426e-05i,-0.00081474+0.00031263i,-0.00022877-0.00013161i,-0.00015636-0.00082214i,-0.00028235-0.00098086i,-0.00016295-0.0010533i,-0.00043812-0.0012192i,5.7644e-05-0.00041836i,0.00065651+0.00088279i,0.00033226+0.00066224i,-0.00018975-0.00017907i,-0.00017379-3.2399e-05i,-0.00065518+7.5299e-05i,-0.00055358+0.00035811i,0.00033749+0.00073198i,0.00028018+0.00032051i,0.00064399+7.9024e-05i,0.0011404+8.9083e-05i,0.00060972+0.00016062i
0.0021048+0.0011757i,0.0020549+0.0018325i,0.0024016+0.0022092i,0.0022371+0.0012286i,0.0014155+0.00040681i,0.00046743+0.0003295i,-0.00045235-0.00082704i,-0.00064123-0.00089464i,0.0003845-0.00024905i,0.00029477-5.2675e-05i,-0.00061695-0.00011874i,-0.00019392+0.00012426i,0.00022674+0.00024005i,0.0010771-0.00034901i,0.0013664-0.00010734i,0.00038688+0.00023008i,-0.00010342+0.00020637i,-5.0249e-05+0.00043208i,-1.8809e-05+0.0011216i,-8.2925e-05+0.00071282i,5.5402e-05+0.0001316i,0.00026949+0.0004011i,4.3559e-05+0.00049699i
-0.0013515-0.001056i,-0.0011808-0.000804i,-0.0011878+0.00023412i,-0.00082993-0.00033895i,-0.0016825-0.0014012i,-0.0020616-0.0014838i,-0.00053735-0.0017055i,0.00044445-0.0014352i,0.00030972-0.0007515i,-0.00019756-0.00032672i,-0.00033252+1.904e-05i,-0.00037919-3.149e-05i,-0.00052208+8.3758e-05i,-0.00084471+0.00051369i,-0.00033113+0.00074501i,0.000146+0.00084396i,0.00013996+0.0002328i,0.00035761-0.00033198i,0.00040875-0.00018995i,0.00020361-0.00019281i,0.00075154-0.00025325i,0.0013868+0.00026471i,0.00028005+0.00056701i
-0.0011117+0.00026331i,-0.0017031+0.0005845i,-0.0006355+0.0022424i,2.6919e-05+0.0021901i,-0.00026048+0.0020261i,2.6483e-05+0.002019i,-4.1176e-05+0.00077645i,0.00049057-0.00066603i,0.0013331-0.0011837i,0.0012143-0.00079047i,0.00057785-0.00029886i,2.125e-05+0.00034382i,0.00046896+0.0002353i,0.0012519-0.00062114i,0.00051478-0.00076539i,-3.797e-05-0.00061995i,-0.00023979-0.00025374i,-0.00068455+0.00032782i,-0.00043318+2.7963e-05i,-0.00024851-0.00031857i,-0.00012996+0.00025993i,0.00038527+0.00086489i,0.00057172+0.00077214i
-0.0018065-0.00010015i,-0.0018841-0.00054161i,-0.0026084-0.00062234i,-0.0017713-0.00026624i,0.00011905+0.00050823i,9.4047e-05+0.00053616i,-0.00068817-0.00046818i,-1.1651e-05-0.00074632i,0.0002286-0.00046032i,-0.00035427+2.373e-05i,-0.00033473+0.00046272i,-0.00030279-0.00048571i,9.1473e-05-0.0012543i,0.00044901-0.00058002i,0.00070573+0.00043332i,0.00025641+5.3074e-05i,-3.4147e-05-0.00012248i,0.0002186-0.00017312i,0.00023849-0.00052821i,-0.00029398-0.0006302i,-0.00010317-0.00030314i,-1.9385e-05+0.00061517i,-0.00098183+0.00034898i
-0.001386+0.00059176i,-0.00085551+0.00051305i,-0.00075212+0.00031791i,0.00035659+5.4053e-05i,0.00039518+0.00025683i,0.00037297+0.00033748i,0.00096593+0.00039512i,0.00078212+0.00019163i,0.00024023-0.00040388i,-6.5112e-05-2.2899e-05i,-0.00028216+0.00033249i,-0.00070872+0.00012798i,-0.0011696-6.6888e-05i,-0.00037471-0.00081484i,0.00096923-0.00071183i,0.00047995+0.00026777i,0.0002905+0.00058208i,0.00058482+0.00068534i,0.00020262+0.00041257i,0.00052012+0.00025432i,0.00045615+0.00034434i,0.00042207+0.00055914i,0.00074901+0.00067453i
-0.0016613-0.00046861i,-0.0014825+0.00021539i,-0.0003744+0.00064444i,-0.00051854+0.00034826i,-0.0010881+0.00058559i,-9.7128e-05+0.00051534i,0.00010846+4.9999e-05i,-0.00048887-0.0002997i,-0.00062044-0.00034789i,-0.00048726-9.5972e-05i,-0.00052501+0.0006879i,-0.00071459+0.0011876i,-0.00048977+0.00046684i,4.7775e-06-0.000259i,0.00027511+0.00015685i,0.00028217-3.7671e-06i,0.00036509-0.00015138i,0.00099541+0.00066407i,0.00022695+0.0009749i,-0.00055603+0.00055498i,-0.00024447+0.00011182i,-0.00019373-0.00052298i,-0.00025284-0.00072006i
-0.0013354+0.0015962i,-0.00070543+0.001613i,0.00047674+0.0026298i,0.00062774+0.0023219i,0.00035242-0.0002642i,0.00025293-0.0014247i,0.00010242-0.001214i,8.8777e-06-0.0012484i,1.0478e-05-0.0013026i,0.00033342-0.00055086i,0.00057496+8.0246e-05i,-9.283e-05+0.00056299i,-0.00099368+0.00056537i,-0.0004787+0.00049222i,0.00024161+0.0005977i,0.00033088-0.00013163i,0.00064015+0.00013015i,0.00036894+0.00097453i,0.00014799+0.0008422i,-0.00033848+0.0006058i,-0.00046458+0.00096228i,-0.00012711+0.0012928i,0.00016498+0.0012992i
-0.00036276+0.00014543i,-0.001593+0.00080107i,-0.00080441+0.0012827i,0.00032252+0.00074206i,0.00029618-0.00057231i,-2.6345e-05-0.00066208i,-4.8768e-05-0.00058794i,0.00055741-0.0011325i,0.00031693-0.0013963i,-3.9456e-05-0.00097669i,0.00012224-0.00011299i,0.0002206+0.00061149i,0.00026837+0.00023904i,-0.000203-0.00061837i,-0.00056104-0.00038263i,-0.00039656-0.00046925i,-0.00032696-0.00033012i,-0.00048294+0.00044481i,-0.00051437+0.00046764i,-0.00015244+0.00036643i,0.00047702+0.00028298i,4.4457e-05+0.00019159i,-0.00016373+0.00035209i
-0.00082947+0.00080825i,-0.0015274+7.5891e-05i,-0.0011831-0.00079134i,-0.00028635-0.00072954i,0.00039106-0.0003612i,0.00058735-0.00076994i,7.6152e-05-0.0013653i,-0.00042926-0.0012561i,-0.00037878-0.0010862i,-4.6878e-05-0.00021058i,-0.00020815+0.00025744i,-0.00040118+0.00032747i,0.00030692+0.00031396i,0.00076151+0.00017837i,0.00075122+0.00067809i,0.00073059+0.0010564i,0.00021291+0.00067512i,0.00035499+0.0010909i,0.00045218+0.0010001i,-0.00066577+0.0010665i,-0.0015284+0.0012727i,-0.00072829+6.7171e-05i,0.00053373-0.0006562i
0.0016381+0.0027973i,0.0017604+0.0026874i,0.0019777+0.0031994i,0.0020578+0.0020478i,0.00096921-0.00039262i,0.00033086-0.0014236i,0.00091719-0.0012062i,0.0014485-0.0010532i,0.0011772-0.00081049i,0.00067609-0.00071086i,0.00067225-0.0004168i,0.00031196-0.00046518i,0.00058879-0.00038952i,0.0011827-0.0002967i,0.00052444-0.00082489i,-0.00073619-0.00021723i,-0.00078775+0.0011222i,0.00011996+0.00089136i,0.00057053+0.00040946i,0.00032884+0.00039426i,-0.00014627+0.00032065i,0.00021511-0.00030026i,0.00024685-0.00030823i
-0.0016062+0.00018197i,-0.0014909-4.2916e-05i,-0.00062261-0.00064561i,0.00060823-0.00053385i,0.00063158-0.00034377i,-0.00017632-0.00041303i,0.00014971-0.00020661i,0.00060487-0.000197i,0.00037012-1.356e-05i,-0.00012183-0.00019702i,-0.00016178-0.001109i,0.00021238-0.00064247i,0.00053627+0.00049481i,0.00046072+0.00027214i,-0.0001583-0.00047936i,-0.0003476-0.00078211i,-4.4274e-05-0.00055451i,-0.00025164+9.5448e-05i,-3.8244e-05-0.00037709i,0.00017481-0.0013676i,-7.1911e-05-0.0011458i,8.3199e-06-0.00038482i,0.00031275-0.0002274i
0.0020316+0.00028907i,0.0010661-0.00022053i,0.0010976+0.00036588i,0.00096508+0.00040997i,0.00016246-0.00071193i,-0.00066689-0.001453i,-0.00074323-0.00045845i,-0.00044203+0.00023735i,-0.00010692-0.0006384i,-0.00013254-0.0012275i,0.00013048-0.00083462i,0.00038408-8.6147e-05i,0.00063484-0.00017875i,0.00028505-0.00085591i,-0.00048069-0.00030071i,-0.00030542+0.00021717i,-0.00038424+0.00020357i,-0.00075587-0.00022613i,-0.00025885-9.5229e-05i,0.00033802-0.00011718i,0.00058489-0.00089666i,0.00031159-0.00093231i,0.00057891+0.00017203i
0.00033089-0.0012341i,0.00050541-0.0010893i,0.00081548-0.00067895i,-5.1147e-05-0.0001508i,-0.00066449+5.4032e-05i,-0.00096369+0.00011984i,-0.00050917-0.00067835i,0.00057293-0.0010531i,0.00050617-0.00080866i,0.00063741-0.00081749i,0.00087797-0.00018214i,0.00018275+0.00011635i,-0.00045682+6.4878e-05i,-0.0010008+0.00095853i,-0.00052842+0.00082932i,0.00079237+0.00022221i,0.0010737+0.00044081i,-0.00014649+0.000385i,-0.0011962-0.0001453i,-0.00078323-0.00037845i,-0.00042672-4.1647e-05i,-0.00026379-3.6805e-05i,0.00021871+0.00020954i
-0.00168-0.0026114i,-0.00081306-0.0033161i,-0.001739-0.0034519i,-0.0022027-0.0022344i,-0.0014048-0.00085288i,-0.00066106+0.0002166i,-0.00012643+0.00030961i,-0.00013525-0.00096731i,-0.00089639-0.0010786i,-0.0010125-0.00069835i,-0.00028225-0.00034329i,9.7721e-05-0.00031101i,5.9636e-05-0.00014265i,3.3036e-05+0.00051395i,-0.00016262+0.0003986i,-0.00046538+0.00020961i,-0.00040278+0.00018067i,1.3677e-05+0.00065999i,8.442e-05+0.00062589i,-0.00029163+0.00025723i,-0.00043277+0.00017638i,0.00016844+0.00031239i,0.00075624+0.00020421i
-0.00065701-0.0011242i,-0.00045943-0.00021215i,-0.00036599+0.00060018i,-0.00023082+0.0012714i,0.00034729+9.2395e-05i,0.00040563-0.0005706i,0.00035607+0.0001706i,0.00024126-0.00022349i,-0.00026402-0.00051392i,0.00017511-0.00024526i,8.6432e-05+0.000208i,-0.00095737-2.6693e-05i,-0.00035398-0.00016514i,0.00020578+0.00057379i,-0.00039019+0.0008995i,-0.00046895+0.00035884i,0.00012272+0.00012459i,0.00044913+7.2309e-05i,0.00065703-0.0003716i,0.00041093-9.7743e-05i,-0.00014808+0.0008531i,-0.00091544+0.00074476i,-0.0012061+0.00039341i
4.9118e-05+0.00038558i,-0.00060065+0.00080201i,-0.0016089+0.00050724i,-0.00089992+0.00048154i,-0.00021432+0.00060886i,-0.00011312+0.00026162i,0.00017112-0.0003094i,0.0010562-0.00021954i,0.0009525+0.00029075i,-2.8673e-05+0.00037529i,-0.0011905-0.00034737i,-0.001206-0.0011586i,-0.00024235-0.0013023i,0.00028413-0.0010945i,5.2365e-05-0.0014597i,7.0885e-05-0.0014908i,0.00038085-0.00038884i,0.00015493-0.00048992i,0.00018824-0.00072769i,0.00031356+0.00026579i,7.7984e-05+0.00040188i,-0.00021219+4.8765e-06i,-0.00014733-0.00016526i
-0.0017377+0.00096663i,-0.0016622+0.00066998i,-0.0015031+0.00026807i,-0.00095745-0.00039871i,2.5497e-05-0.0011693i,0.00049138-0.00011905i,0.00087081-0.00032011i,0.0010575-0.00078587i,0.00094867-0.0010486i,0.00060201-0.0014041i,-0.00011814-0.00033746i,0.0002616+0.00010655i,0.00091302+0.00015523i,0.00019882+0.00057018i,8.8143e-05-0.00010115i,0.0002422-0.00052363i,-0.00028333-0.00035146i,-0.00036921-0.00036062i,0.00020534+1.563e-05i,0.00023585+0.00074551i,-0.00050875+0.00091948i,-0.0010907+0.00016279i,-0.00099813-0.00020415i
0.0024187-6.6641e-05i,0.0027627+9.812e-05i,0.003458+0.00048869i,0.0014569-0.00054289i,-0.00051478-0.0015142i,-0.0011985-0.0012681i,-0.00098844-0.000243i,-1.721e-05-0.00058966i,3.3284e-05-0.0010727i,0.0005072-0.0010612i,0.0004701-0.0009518i,-9.2014e-05-0.0010814i,-4.6579e-05-0.00087493i,-0.0004924-0.00087908i,-0.00039531-0.0018893i,0.0002787-0.0014131i,0.00073561-0.0006065i,0.0007213-0.00037835i,0.0011114-8.9467e-05i,0.00099853-0.0002616i,0.00056876+0.00017368i,0.00060373+0.00046428i,0.0010111+0.00035077i
0.00078192+0.0015437i,0.0010848+0.0013779i,0.0017601+0.0015219i,0.0017165+0.0010717i,0.0011068+0.00037513i,0.00028636+8.9644e-05i,0.00020352-0.00073047i,0.00047239-0.0011528i,0.00065347-0.00041421i,0.00018806+0.00030119i,-0.00092173-0.00018906i,-0.0010404-0.000683i,-0.00030739-8.051e-05i,0.00013502+0.00019113i,-0.00023107-0.00021679i,-0.00075715-0.00054107i,-0.00018831-0.00038127i,0.00017485-0.00013803i,-0.00075501+0.00045726i,-0.00052139+0.00068538i,0.00067442+0.00043544i,0.00095605+0.00025781i,0.00047428+0.00033397i
0.002839+0.00014785i,0.0018537+0.00065781i,0.00078982+0.00034904i,0.00047411-0.0004583i,0.00077603-0.0015939i,0.00018888-0.0019826i,-0.00021136-0.0012816i,-0.00025433-0.0012547i,-0.0003264-0.00084773i,4.717e-05-0.0003403i,9.462e-05-0.00044202i,-0.0006596-0.00015849i,-0.0013075-0.00020995i,-0.0010442-0.00032769i,7.6274e-06-0.00025735i,-3.7906e-05-0.00073418i,-0.00078768-0.00052341i,0.00016879+4.2582e-07i,0.00045573+6.7745e-05i,-0.00011012-0.0001101i,0.00021343-0.00029605i,-0.00016934-0.00025804i,-0.0011327-0.0001797i
0.0003541-0.00047385i,0.00022175+0.00061758i,0.00023903+0.00042988i,0.00051808-0.001092i,-0.00010918-0.0013288i,-0.00090755-0.00015482i,-0.00046912+0.00028501i,-2.3701e-05-0.0011257i,-0.00019233-0.00182i,-0.00035098-0.0009765i,-0.0002046-0.00016428i,-7.1472e-05+0.00045001i,-0.0006462+0.00053944i,-0.00073147+0.00050958i,-0.00041493+0.00099855i,-0.00062275+0.0010642i,-0.00015951+0.00013537i,0.0011218-0.00055657i,0.0010707-6.4782e-05i,-4.0526e-05+0.00086107i,-0.00061509+0.00067479i,-0.00072771+0.00054709i,-0.00078316+0.00071543i
