-0.0055752-0.00055957i,-0.0054334+0.00053694i,-0.0049397+0.0040566i,-0.0026998+0.006578i,-0.00086453+0.0058203i,-0.00016444+0.0033854i,-0.00050298+0.0013571i,-0.00021369+0.00038484i,0.00012093-0.00010595i,0.00028891+0.00014328i,0.00061322-1.4827e-05i,0.00078294-0.00060325i,0.00030788-0.0007198i,0.00056489-0.00048872i,0.00094323-0.00067625i,0.00066591-0.0006299i,0.00023716-0.00029442i,-6.8576e-05-0.00076008i,-0.00018534-0.0007684i,-0.00038682-0.00043231i,8.7085e-05-0.0009034i,0.00029443-0.0011202i,0.00021159-0.00090457i
-0.03793-0.030831i,-0.082683-0.086991i,-0.090344-0.13443i,-0.013084-0.1045i,0.082319-0.040775i,0.097604-0.02414i,0.055934-0.026159i,0.035855-0.024701i,0.03073-0.027823i,0.016488-0.020008i,0.010981-0.0055707i,0.019398-0.0051518i,0.023631-0.014849i,0.016096-0.017063i,0.0067957-0.0078171i,0.0042941+0.00014441i,0.0018396-0.0016606i,-0.0049359-0.0072573i,-0.009391-0.0069301i,-0.0068637-0.001889i,-0.0022244+3.8167e-05i,0.0013147-0.00070276i,0.0069212+0.0015057i
0.036523+0.010431i,0.08662+0.049499i,0.12443+0.080007i,0.082926+0.040362i,-0.011769-0.020471i,-0.061992-0.014761i,-0.051076+0.0034044i,-0.042622-0.009363i,-0.04389-0.014098i,-0.029332-0.0072616i,-0.016144-0.0060249i,-0.020111-0.0022727i,-0.025767+0.007367i,-0.019141+0.011782i,-0.0066671+0.0090253i,0.0015814+0.0056951i,0.0041254+0.0066368i,0.00487+0.0093881i,0.0055312+0.0086986i,0.0060689+0.004967i,0.0045937+0.0022524i,-0.0012977-0.00075618i,-0.0085926-0.0048174i
-0.020501-0.0052194i,-0.062201-0.023711i,-0.11161-0.035703i,-0.10745-0.00065853i,-0.041376+0.037668i,0.024954+0.011496i,0.042577-0.020694i,0.036808-0.0042378i,0.036878+0.013328i,0.025478+0.0098818i,0.0093472+0.0076123i,0.0092205+0.0075283i,0.01809+0.0036868i,0.0193-0.00083941i,0.012208-0.0045571i,0.0079862-0.0088173i,0.0063508-0.014065i,0.00092777-0.015215i,-0.0041996-0.010326i,-0.0032598-0.0068305i,0.00028577-0.0053853i,0.0024607-0.0013472i,0.0053731+0.0046101i
0.0027183-0.0086431i,0.019805-0.0054746i,0.060947+0.0032863i,0.097669-0.0075276i,0.077963-0.029093i,0.010022-0.010494i,-0.027567+0.016584i,-0.028372+5.0283e-05i,-0.033067-0.018337i,-0.02857-0.0086868i,-0.0090586-0.0036428i,0.00029399-0.010977i,-0.003734-0.014447i,-0.0058055-0.0099226i,-0.0015516-0.0032581i,-0.002102+0.0013187i,-0.0086638+0.0060106i,-0.01017+0.012043i,-0.0048836+0.011883i,-0.0021401+0.004955i,-0.0034744+0.00024433i,-0.002691-0.00028931i,-0.00089922-0.0030214i
0.018923+0.0097169i,0.04153+0.01565i,0.028857-0.0049944i,-0.044763-0.032081i,-0.097491-0.023361i,-0.069297-0.008345i,-0.03181-0.011036i,-0.026448+0.0067602i,-0.013328+0.031761i,0.0039971+0.023969i,-0.00090804+0.0099392i,-0.010363+0.014108i,-0.0081531+0.019363i,-0.0024418+0.013846i,8.1841e-05+0.0040034i,0.0013388-0.0011779i,0.0054903-0.00044041i,0.0094937-0.00091068i,0.007619-0.0037598i,0.0019007-0.0029805i,-0.0012644+0.00019782i,-0.0017925+0.0018356i,-0.00423+0.003355i
-0.037-0.0092932i,-0.094379-0.012993i,-0.12496+0.01716i,-0.060088+0.074584i,0.03159+0.091518i,0.044493+0.052632i,0.017501+0.02583i,0.020629+0.012285i,0.02464-0.0071967i,0.010496-0.010562i,0.004899-0.0027307i,0.0087355-0.0043993i,0.0084172-0.010182i,0.0023167-0.0084747i,-0.001952-0.0035112i,-0.00094785-0.0013573i,-0.00022579-0.0023237i,-0.0029417-0.0024752i,-0.0053595+0.00073674i,-0.0043115+0.0036564i,-0.0017801+0.002603i,0.0010206-0.0011375i,0.0050176-0.0029082i
0.039654+0.006667i,0.11417+0.0096107i,0.18351-0.0092748i,0.15711-0.062307i,0.058074-0.08491i,0.0046786-0.037156i,0.0053104-0.0078088i,-0.0071139-0.017491i,-0.020986-0.012254i,-0.010464-0.0030201i,-0.0028533-0.0045038i,-0.0080987+0.00091242i,-0.010731+0.0099388i,-0.006801+0.010043i,-0.0035067+0.005391i,-0.0037257+0.0036511i,-3.2212e-05+0.0046028i,0.0073777+0.0041023i,0.011033+0.0021389i,0.0098629+0.0017365i,0.0057619+0.0031448i,-0.00070231+0.0035815i,-0.007775+0.0018212i
-0.029832+0.0018407i,-0.09661-0.0099038i,-0.18794-0.008353i,-0.2114+0.039848i,-0.13049+0.076772i,-0.041382+0.043803i,-0.011624+0.015529i,0.0034351+0.028941i,0.025409+0.024551i,0.019795+0.0038865i,0.0047109+0.0028025i,0.0079777+0.0053399i,0.015292+0.0015012i,0.013014+0.00099609i,0.0078699+0.0016955i,0.0048772-0.0016942i,0.00026625-0.010387i,-0.0063346-0.01649i,-0.0083403-0.014324i,-0.0034496-0.0091328i,0.0027615-0.0054653i,0.0051978-0.0020904i,0.0082711+0.0015367i
0.016689+0.0041721i,0.063951+0.030644i,0.15511+0.064367i,0.22302+0.051835i,0.18803+0.0075742i,0.088853+0.00086564i,0.029887+0.0091043i,0.0099333-0.012601i,-0.014612-0.025113i,-0.020874-0.0080068i,-0.0061316+0.00083568i,0.00081872-0.0026281i,-2.7132e-05-0.0039562i,0.0016366-0.0036823i,0.0047735-0.00043405i,0.0032271+0.0055171i,-0.0016935+0.013015i,-0.0031004+0.018509i,-0.0021243+0.014625i,-0.0020237+0.0033729i,-0.0020374-0.0028668i,-0.0010447-0.0024546i,-0.0011028-0.0034847i
0.0077057-0.0039289i,2.9287e-05-0.045569i,-0.048033-0.11875i,-0.12473-0.15506i,-0.14533-0.11205i,-0.087793-0.063725i,-0.04431-0.048233i,-0.039655-0.019616i,-0.024236+0.011057i,-0.0043156+0.011332i,-0.0030134+0.0032081i,-0.0066094+0.0044456i,-0.0056463+0.0051241i,-0.0032279+0.0023049i,0.00062173-0.0015069i,0.0054991-0.0036601i,0.010212-0.0064395i,0.011673-0.010133i,0.0068948-0.0091865i,-0.0011928-0.0042589i,-0.0060561+0.0001608i,-0.0062631+0.0011166i,-0.0053472+0.0027056i
-0.023133+0.011633i,-0.055604+0.059126i,-0.064733+0.15252i,-0.0070034+0.2207i,0.054468+0.18204i,0.045464+0.097503i,0.025525+0.055476i,0.035913+0.029912i,0.029871+0.0013089i,0.0074354-0.0032156i,0.0014388+0.002256i,0.0046322-0.0030674i,0.0042483-0.00827i,0.0022615-0.007442i,1.4062e-05-0.0044352i,-0.0027839-0.0015582i,-0.0062354+0.00062919i,-0.0092547+0.0034883i,-0.0071661+0.0073175i,-0.00090288+0.0096888i,0.0025835+0.0079478i,0.0037554+0.003091i,0.0054962-0.001645i
0.037297-0.019048i,0.10624-0.065198i,0.17292-0.15567i,0.15092-0.23294i,0.061658-0.20613i,0.010779-0.10324i,0.0049791-0.043833i,-0.010799-0.030875i,-0.018143-0.0090962i,-0.0012504+0.0027361i,0.0046082-0.0015452i,-0.0034189+0.0010622i,-0.0077706+0.0068307i,-0.0067862+0.0057752i,-0.0036931+0.0021383i,-0.00030399+0.0008736i,0.0052036+0.0021374i,0.011511+0.0020562i,0.01308-0.00070823i,0.010553-0.0028227i,0.0072645-0.0019356i,0.0029588+0.00052164i,-0.00283+0.0031922i
-0.032141+0.013402i,-0.11449+0.043821i,-0.23113+0.096576i,-0.27313+0.15684i,-0.19156+0.15954i,-0.091561+0.088781i,-0.049838+0.04093i,-0.022283+0.041903i,0.0081296+0.029481i,0.010359+0.0043789i,0.0010664-0.00057659i,0.0016017+0.0035173i,0.0040309+0.0050178i,0.0026885+0.0060298i,0.0010834+0.0040545i,0.00067867-0.0022429i,-0.0016097-0.0097495i,-0.0062167-0.012547i,-0.0077146-0.0086602i,-0.0046732-0.0051765i,-0.0025009-0.00454i,-0.00071725-0.004334i,0.003761-0.0030323i
0.026512-0.0034155i,0.10082+0.0020394i,0.23083+0.0079158i,0.31249-0.010964i,0.25051-0.03073i,0.13018-0.014353i,0.063463-0.0059003i,0.031882-0.026889i,-0.00044662-0.030042i,-0.011618-0.010385i,-0.0034804+0.00013282i,0.0005901+0.0019608i,0.0015488+0.001823i,0.0025504+0.00038457i,0.0014996+0.00021409i,-0.0008018+0.0031203i,-0.0032178+0.009554i,-0.0023131+0.013314i,0.00035744+0.0086243i,6.0927e-06+0.00067845i,-0.0017698-0.002058i,-0.0021007+0.0002426i,-0.0021603+0.00024465i
-0.0095425-0.01559i,-0.060319-0.061177i,-0.16674-0.1265i,-0.25802-0.14262i,-0.23005-0.093182i,-0.12402-0.050014i,-0.062606-0.034189i,-0.047375-0.010002i,-0.025296+0.0067021i,-0.0086155+0.00052381i,-0.007044-0.0030992i,-0.0037455+0.0015289i,0.0021189+0.0045843i,0.0042097+0.0053789i,0.0056094+0.0039154i,0.0077075-4.0054e-05i,0.0096702-0.0055462i,0.0093867-0.0093463i,0.0050522-0.0080114i,-8.2389e-05-0.0029517i,-0.0025264+0.00093277i,-0.0019754+0.0012041i,-0.0018548+0.001448i
-0.00048625+0.03154i,0.01719+0.10334i,0.068981+0.21907i,0.13986+0.28115i,0.15388+0.21644i,0.088014+0.11273i,0.037922+0.06423i,0.035222+0.036776i,0.023724+0.0078666i,0.0022795+0.001169i,-0.0026759+0.0036945i,0.0012234+1.7203e-05i,0.0036384-0.0034152i,0.0040735-0.0052107i,0.0010953-0.0044778i,-0.0035742-0.0013294i,-0.0068103+0.0020816i,-0.0086412+0.0047378i,-0.0077977+0.0064146i,-0.0034855+0.0070016i,0.0010732+0.005069i,0.0032621+0.00081644i,0.003609-0.0026087i
0.0061351-0.031974i,0.033003-0.10937i,0.06082-0.24147i,0.045258-0.32819i,0.0049712-0.26659i,-0.0047972-0.13633i,-0.0035456-0.065156i,-0.019954-0.03676i,-0.021728-0.0051468i,-0.00062987+0.010076i,0.0091408+0.0052415i,0.0039339+0.0001671i,-0.0016698-0.0023929i,-0.0031532-0.0032502i,-0.001468-0.0017947i,0.00076402-0.00068785i,0.0039754-7.1347e-05i,0.0085567-0.0010218i,0.0088684-0.0026526i,0.0049724-0.0028272i,0.0015892-0.0020286i,-0.00080396-8.2293e-05i,-0.0026551+0.0029698i
-0.025921+0.025967i,-0.086782+0.091471i,-0.17414+0.20146i,-0.20571+0.27772i,-0.1474+0.23377i,-0.075747+0.12127i,-0.04021+0.05823i,-0.012947+0.045599i,0.0069014+0.028293i,0.0050504+0.010527i,-0.00047814+0.0058735i,0.00094428+0.0039137i,0.0035701+0.0022166i,0.0026478+0.0017649i,0.000904+4.7661e-05i,-7.9789e-05-0.0022122i,-0.0030323-0.0043316i,-0.0073105-0.0052748i,-0.0071739-0.0023197i,-0.0025071+0.00098006i,0.0013277-0.00045596i,0.0020032-0.0032496i,0.0016359-0.0035762i
0.026-0.017561i,0.10274-0.050238i,0.23212-0.10095i,0.30658-0.14099i,0.24034-0.12321i,0.12579-0.056679i,0.068757-0.020796i,0.040091-0.027473i,0.010448-0.02465i,0.00060696-0.007112i,0.0024952+0.0012243i,0.00027325+0.0018878i,-0.0013126+0.00036961i,-0.0014245-0.0020658i,-0.0017699-0.0008744i,-0.0008551+0.0039926i,0.0012668+0.0095374i,0.0028858+0.011455i,0.003074+0.0058834i,0.0014059-0.0021818i,-0.0016458-0.0041757i,-0.0025924-0.0016925i,-0.002499-0.00045665i
-0.023638-0.0027454i,-0.095705-0.015593i,-0.2337-0.035777i,-0.33199-0.034447i,-0.27465-0.011836i,-0.14121-0.0074908i,-0.06794-0.014297i,-0.043922-0.0039732i,-0.01819+0.003168i,-0.0026394-0.0064875i,-0.0037646-0.009948i,-0.0043019-0.0016537i,-0.00061228+0.006563i,0.0029134+0.009756i,0.0059608+0.0060283i,0.0086236-0.0013528i,0.0089512-0.0062376i,0.0067296-0.0074597i,0.0032484-0.004607i,0.00070706+2.892e-05i,-0.00036311+0.0029628i,-0.0011093+0.0036743i,-0.0020144+0.0035678i
0.013853+0.018545i,0.067185+0.074656i,0.16919+0.16375i,0.24804+0.21346i,0.21444+0.16965i,0.11176+0.090564i,0.048238+0.045632i,0.031923+0.01873i,0.016515-0.00028915i,0.00017499-0.0014502i,-0.0051756+0.00056175i,-0.0031733-0.00058328i,-0.00037331-0.0025974i,0.00027175-0.004338i,-0.0032829-0.0035727i,-0.0081648-0.0012943i,-0.0098123+0.00083779i,-0.0090642+0.0018075i,-0.006938+0.0017792i,-0.0027823+0.0010636i,0.00055413+0.00081035i,0.002408+0.00080733i,0.0029452+6.0866e-05i
-0.009422-0.033957i,-0.031931-0.11084i,-0.071821-0.23461i,-0.10377-0.30604i,-0.090076-0.23997i,-0.040467-0.12401i,-0.014728-0.067506i,-0.021613-0.041476i,-0.020257-0.011947i,-0.003703+0.0033656i,0.0070764+0.0044861i,0.0083001+0.001154i,0.0061453-0.0016025i,0.0033464-0.0013028i,0.0038665-0.00021995i,0.005739-0.0010407i,0.0061709-0.0018005i,0.0061-0.0011661i,0.0033055-0.00053604i,-0.0010278+0.000544i,-0.0016747+0.0017145i,0.00025837+0.0020737i,0.0013514+0.0022064i
8.7034e-05+0.029081i,-0.014626+0.1047i,-0.04496+0.2345i,-0.058566+0.31733i,-0.043361+0.25231i,-0.032903+0.12517i,-0.030704+0.060578i,-0.01708+0.043422i,-0.0060107+0.024819i,-0.010028+0.010464i,-0.011882+0.0091975i,-0.0054252+0.0088353i,0.0018087+0.0075294i,0.0053194+0.0056191i,0.0039539+0.0011672i,0.0010173-0.0020795i,-0.0013508-0.0027321i,-0.0031394-0.00096496i,-0.0019141+0.0010426i,0.0014943+0.00088308i,0.0032688-0.0012081i,0.0028051-0.003306i,0.0029908-0.0042032i
0.01204-0.023065i,0.060659-0.07898i,0.14927-0.17344i,0.2056-0.23471i,0.16552-0.18841i,0.087205-0.086614i,0.045967-0.027984i,0.025917-0.016451i,0.0092089-0.0095432i,0.0047727-0.0011576i,0.004667-0.0010664i,0.0021461-0.0041873i,-0.0019459-0.0063802i,-0.0057334-0.0058838i,-0.0054688-0.0018831i,-0.0031366+0.0029992i,-0.0018121+0.0066757i,2.0371e-05+0.0069782i,0.0016276+0.0038234i,0.0011883-0.00064996i,-0.0011713-0.0017142i,-0.0024883-0.00056866i,-0.0018761-0.00082351i
-0.017657+0.0094397i,-0.084072+0.032378i,-0.2027+0.064282i,-0.28379+0.083038i,-0.23506+0.067063i,-0.12641+0.027966i,-0.065227+0.0048479i,-0.038417+0.0064877i,-0.013435+0.0062414i,0.0002775-0.0028779i,0.00019903-0.0067106i,-0.0022226-0.0018591i,0.0007152+0.0054261i,0.0054403+0.00786i,0.0079403+0.0039608i,0.0081912-0.00082649i,0.0065091-0.0045219i,0.0043037-0.0049446i,0.0024644-0.0015961i,0.0020002+0.0015031i,0.0020998+0.0032033i,-8.661e-05+0.0037655i,-0.0023543+0.0031287i
0.02233-0.00039769i,0.086296+0.01536i,0.1999+0.048018i,0.27381+0.071543i,0.21661+0.065051i,0.10586+0.049043i,0.050607+0.03722i,0.035095+0.020329i,0.017741+0.0076492i,0.0045348+0.0054836i,0.00045587+0.00347i,-0.0013126+0.00084257i,-0.0014204-0.00075056i,-0.0025303-0.002702i,-0.0058402-0.003042i,-0.007658-0.00014679i,-0.0061729+0.0019452i,-0.0038453+0.00026508i,-0.002652-0.0032125i,-0.0013532-0.0051059i,-0.00039299-0.0037067i,0.00050472-0.0011613i,0.00092043-7.4795e-05i
-0.020907-0.0068287i,-0.069596-0.054743i,-0.14724-0.1369i,-0.19394-0.18915i,-0.14787-0.15234i,-0.05928-0.080899i,-0.01179-0.047562i,-0.0068714-0.033686i,-0.005765-0.015199i,0.0026107-0.0046326i,0.0079414-0.001299i,0.0079519+0.00053127i,0.0041898+0.001213i,0.0018076+0.0018766i,0.0037673+0.0013277i,0.0061287-0.00018463i,0.0062106-0.0013606i,0.004097-0.0011638i,4.0868e-05+0.00020217i,-0.0034685+0.00067549i,-0.0036063+0.00094104i,-0.0016522+0.00090127i,-0.0013635+8.7973e-05i
0.01001+0.019975i,0.032887+0.085432i,0.060746+0.19646i,0.072157+0.26833i,0.052709+0.2176i,0.017172+0.11097i,-0.0069712+0.051196i,-0.0095799+0.028613i,-0.0073089+0.012029i,-0.012722+0.0053804i,-0.015869+0.0077395i,-0.010651+0.0097919i,-0.0025946+0.0074971i,0.0028893+0.0036251i,0.0040344+0.00053422i,0.0015927-0.00082064i,-0.0019507+0.0002347i,-0.0044971+0.0014542i,-0.0029027+0.0025777i,-0.00041513+0.0028353i,0.00027807+0.00019565i,0.00053483-0.0025615i,0.00037568-0.0025456i
-0.0032495-0.025551i,0.006213-0.084493i,0.034749-0.18524i,0.064686-0.24413i,0.065828-0.18713i,0.048997-0.089156i,0.036216-0.039282i,0.021592-0.022992i,0.0087971-0.010534i,0.0061894-0.0039785i,0.0074518-0.0049926i,0.0047838-0.0076839i,-0.00084258-0.0094199i,-0.0048164-0.0081438i,-0.0051133-0.0037987i,-0.0033101+0.00016379i,-0.0015226+0.0019968i,-0.00023894+0.0025355i,-0.00053644+0.0025899i,-0.0014924+0.0025483i,-0.0020782+0.0020153i,-0.001883+0.0010932i,-0.00038422+0.00039528i
-0.0073628+0.015486i,-0.042685+0.05793i,-0.1117+0.12778i,-0.16256+0.16508i,-0.13748+0.11894i,-0.080624+0.041159i,-0.054213+0.0018617i,-0.040595+0.00022226i,-0.020024+0.0036412i,-0.0051695+0.00032872i,-0.000672-0.0013944i,0.00023158+0.0029118i,0.0028139+0.0082062i,0.0069566+0.00696i,0.0080517+0.0010399i,0.0057727-0.0035428i,0.0051017-0.0047164i,0.0051618-0.003129i,0.0050616-0.0011174i,0.0048805-3.1994e-06i,0.0034296+0.0011217i,0.00061295+0.001707i,-0.00081078+0.0016541i
0.016445-0.0096896i,0.068159-0.025957i,0.15737-0.047334i,0.21495-0.052384i,0.16837-0.031146i,0.077471+0.00062985i,0.031366+0.021579i,0.019096+0.022002i,0.008279+0.01403i,0.00099073+0.0096304i,-0.00093895+0.0060504i,-0.001665+0.0011219i,-0.0016404-0.0021895i,-0.0018047-0.00189i,-0.003106+0.00041825i,-0.0038544+0.003147i,-0.0022518+0.0033752i,-0.00062752+0.00029058i,-0.00096197-0.0029328i,-0.0014522-0.0045132i,-0.0015202-0.0031352i,-0.0012519-0.00045503i,0.00057154+0.00074335i
-0.01788-0.00069805i,-0.067864-0.011996i,-0.152-0.039102i,-0.20306-0.065534i,-0.15874-0.061145i,-0.075717-0.039298i,-0.02841-0.029231i,-0.014294-0.023926i,-0.0066296-0.01442i,0.0010618-0.0079761i,0.0038957-0.0043859i,0.0020298+0.00017392i,-0.0015674+0.0042816i,-0.0023209+0.0049795i,0.0015836+0.0026138i,0.0047934-0.0006037i,0.0039988-0.0024369i,0.00061407-0.0020382i,-0.0017969-0.00031853i,-0.0025727+0.0014182i,-0.0014433+0.0019185i,-0.00035241+0.0012767i,-0.00072795+8.7637e-05i
0.017006+0.0066034i,0.053241+0.040455i,0.10569+0.1041i,0.12796+0.15189i,0.085414+0.13283i,0.025464+0.081021i,-0.002399+0.050594i,-0.0043439+0.032817i,-0.0032826+0.015849i,-0.0086752+0.0071678i,-0.012744+0.0060007i,-0.0090719+0.0057537i,-0.00072351+0.0029307i,0.0048378-0.00088027i,0.00433-0.0015492i,0.0017072-4.2542e-06i,-0.00048405+0.0003407i,-0.0021154+0.0010154i,-0.0015361+0.0020319i,0.00043832+0.00082109i,0.0020403-0.0010391i,0.0026552-0.0012854i,0.0014771-0.00052481i
-0.0051399-0.012173i,-0.021018-0.057099i,-0.036516-0.13484i,-0.0343-0.18228i,-0.011827-0.13889i,0.013937-0.061456i,0.030139-0.025427i,0.027781-0.017959i,0.016594-0.0097459i,0.010354-0.0048462i,0.0087318-0.006832i,0.0070469-0.008805i,0.0029066-0.0071741i,-0.0018147-0.0039547i,-0.0035329-0.0013131i,-0.0020556-5.9254e-05i,-0.00086387+0.00028918i,-0.00098352+0.00099119i,-0.0024167+0.001486i,-0.003436+0.00060399i,-0.0021562-9.7922e-05i,-0.00095175-0.00096386i,-0.00046531-0.0017908i
0.00015508+0.012846i,-0.0063558+0.056179i,-0.028868+0.12801i,-0.052351+0.16947i,-0.048341+0.12904i,-0.030844+0.055685i,-0.028171+0.012349i,-0.027236+0.0021368i,-0.017846+0.0018206i,-0.0086722+0.0027163i,-0.00334+0.0062494i,3.0756e-05+0.010107i,0.0022103+0.010348i,0.0042511+0.0066023i,0.0047925+0.0013229i,0.0031588-0.0022639i,0.0018208-0.0018191i,0.0024176+0.00033101i,0.0042303+0.00088259i,0.0042686-0.00030449i,0.0012417-0.0011836i,-0.0014303-0.00033219i,-0.0011511+0.00096848i
0.0077547-0.0081523i,0.033634-0.03896i,0.084429-0.085509i,0.12428-0.10493i,0.10778-0.070875i,0.061882-0.02331i,0.034372+0.0023267i,0.021321+0.0085192i,0.0099369+0.0078967i,0.0029744+0.0068919i,0.00073903+0.0034518i,-0.0012762-0.0026837i,-0.0032999-0.0066989i,-0.0042257-0.005525i,-0.0043046-0.0011163i,-0.0032938+0.0029091i,-0.0015903+0.0043138i,0.0010126+0.0023016i,0.001937-0.00070199i,5.8546e-06-0.0018283i,-0.0015976-0.0014846i,-0.0020342-0.00029351i,-0.0010091+0.00068296i
-0.009817+0.0044787i,-0.043856+0.016321i,-0.10338+0.028988i,-0.14219+0.024159i,-0.11257+0.0022159i,-0.055972-0.019181i,-0.027101-0.032291i,-0.018996-0.030844i,-0.011166-0.019253i,-0.0027211-0.0108i,0.0019694-0.0065854i,0.0019593-0.0015233i,-8.7749e-05+0.0044326i,-0.00043029+0.0071554i,-8.3913e-05+0.0053178i,0.00063904+0.001204i,0.0016808-0.0017467i,0.001389-0.0021904i,0.0002438-0.00011765i,-0.001145+0.0022597i,-0.0023575+0.0021712i,-0.0032016+0.0010784i,-0.0031438-0.00017251i
0.010983-0.0023677i,0.044078+0.0033051i,0.097191+0.022173i,0.12443+0.043745i,0.087138+0.044123i,0.028765+0.032428i,-0.0013488+0.030678i,-0.0058058+0.028134i,-0.003716+0.018822i,-0.0040972+0.010576i,-0.0048904+0.0067162i,-0.0033181+0.0040737i,0.00098902+0.00017085i,0.0049752-0.0024509i,0.0063499-0.001741i,0.0052802+0.00051467i,0.0031639+0.00081303i,0.0011484+0.0001157i,0.00053071-0.00048451i,0.00088974+0.00029479i,0.0015915+0.0018404i,0.0018458+0.0022715i,0.0013408+0.0021845i
-0.012261-0.0038105i,-0.035925-0.023969i,-0.06829-0.061717i,-0.079046-0.090509i,-0.051543-0.073737i,-0.014844-0.038756i,0.0071641-0.022361i,0.013432-0.015974i,0.010202-0.0085965i,0.0069234-0.0047669i,0.0051384-0.0054085i,0.0028805-0.0046639i,0.00067038-0.0013505i,-0.00074597+0.00026604i,-0.0016173-0.00049379i,-0.0020881-0.0014715i,-0.0028144-0.0013681i,-0.0036884-0.00030678i,-0.0026425+0.00035629i,-0.0012852+0.00085713i,-0.00018677+0.0013593i,0.0013085+0.00060196i,0.001914+0.00012321i
0.0069845+0.0060129i,0.016555+0.034528i,0.023085+0.082961i,0.01468+0.11567i,-0.0040506+0.095149i,-0.018525+0.05138i,-0.027795+0.025551i,-0.027741+0.015482i,-0.017792+0.0081534i,-0.0095421+0.0047361i,-0.0058828+0.006816i,-0.0022742+0.0087999i,0.0014776+0.006643i,0.0033088+0.0025731i,0.0039751-0.0010311i,0.0026432-0.0027641i,-2.3783e-05-0.0016305i,-0.00042258+0.00076136i,0.0012419+0.0008241i,0.0024444-0.001547i,0.0019246-0.0032676i,0.00021548-0.0026638i,-0.00061033-0.0010337i
-0.0057523-0.013073i,-0.0033071-0.038579i,0.012042-0.077555i,0.032237-0.093257i,0.036082-0.059108i,0.030665-0.014617i,0.030464+0.005041i,0.026331+0.0070025i,0.014833+0.0050387i,0.004765+0.004188i,0.00053574+0.0011388i,-0.00018188-0.0040325i,-0.0010234-0.0075213i,-0.0015476-0.0078952i,-0.0019602-0.0045566i,-0.0022006-0.00057471i,-0.0009512+0.0015482i,0.00017898+0.0019883i,-0.00035528+0.00052155i,-0.0014887-0.00065726i,-0.0019701-0.0012228i,-0.00087683-0.0016691i,0.00034475-0.00078615i
-0.0014183+0.0072047i,-0.013439+0.027735i,-0.0416+0.056041i,-0.063657+0.063477i,-0.050096+0.038074i,-0.023863+0.0046875i,-0.015-0.016927i,-0.014819-0.022928i,-0.010454-0.01623i,-0.0040849-0.0087169i,-0.00012257-0.0039911i,0.00073382+0.00098482i,-0.00052519+0.0048225i,-0.0016762+0.0062489i,-0.0016516+0.0047988i,-0.001464+0.0030558i,-0.0002675+0.0016975i,0.0013459+0.0011243i,0.00085193+0.0012946i,-0.00024232+0.00082773i,-0.00086124+0.0013932i,-0.0017405+0.0012389i,-0.003135-0.00035472i
0.0090493+5.1966e-05i,0.029087-0.0094688i,0.065673-0.019022i,0.087293-0.016189i,0.067721-0.0046786i,0.031882+0.0082017i,0.011388+0.02034i,0.0054096+0.023309i,0.0022001+0.016635i,-0.00011575+0.009247i,-0.00090708+0.0050742i,-0.0012092+0.0013801i,-7.3689e-05-0.0020071i,0.0019373-0.0023595i,0.0029706+1.5209e-05i,0.0032206+0.0016387i,0.003445+0.0017229i,0.002781+0.00026226i,0.0012645-0.00096094i,0.00080042-5.344e-05i,0.0011937+0.0013095i,0.0017658+0.0021502i,0.0024836+0.0025113i
-0.014341+0.0049675i,-0.032698+0.004897i,-0.059396-0.0026294i,-0.068416-0.018624i,-0.043886-0.025517i,-0.012447-0.024568i,0.0029103-0.026231i,0.0056392-0.023563i,0.0044097-0.013704i,0.0040402-0.0064574i,0.0041272-0.0047292i,0.0021716-0.0026667i,-0.00016417+0.0011171i,-0.0011398+0.0036666i,-0.0014766+0.0024469i,-0.0011575+0.00045088i,-0.00068305-0.0004141i,-0.0017331-0.0014374i,-0.0030849-0.0020802i,-0.002788-0.0017849i,-0.0014783-0.0014028i,-0.00082696-0.0016803i,-0.00031518-0.0014645i
0.0051672+0.0063924i,0.021423+0.016915i,0.04245+0.038269i,0.045637+0.051611i,0.023554+0.039067i,-0.0040999+0.020015i,-0.02156+0.014348i,-0.024167+0.014233i,-0.015286+0.010999i,-0.0057385+0.0066739i,-0.0016157+0.0049433i,0.0006804+0.0047233i,0.0030974+0.003033i,0.0040278+0.00021696i,0.0045798-0.0020131i,0.0050055-0.0020898i,0.0035832-0.0015011i,0.001261-0.00088144i,0.00066878-0.00021614i,0.0011452-0.0001108i,0.00014765-0.00083291i,-0.0007915-0.00067878i,-0.0008741+0.0010998i
-0.0070928-0.006881i,-0.014571-0.019919i,-0.019676-0.04266i,-0.015325-0.053786i,-0.0052795-0.035957i,0.0048888-0.012467i,0.01501-0.0029922i,0.018736-0.0014404i,0.012858-0.00022834i,0.0051123+0.00048775i,0.00042492-0.0011075i,-0.0013951-0.0022121i,-0.00059944-0.0025844i,0.00056497-0.0040215i,0.00079637-0.0041507i,-0.00024519-0.0025026i,-0.00063979-0.00078025i,-0.00034632+0.00039455i,-0.00050617+0.00082084i,7.3507e-05+0.00057197i,0.0012076+0.00020241i,0.0016338-0.0007697i,0.0014143-0.0011609i
