-0.0055752-0.00055957i,-0.0054334+0.00053694i,-0.0049397+0.0040566i,-0.0026998+0.006578i,-0.00086453+0.0058203i,-0.00016444+0.0033854i,-0.00050298+0.0013571i,-0.00021369+0.00038484i,0.00012093-0.00010595i,0.00028891+0.00014328i,0.00061322-1.4827e-05i,0.00078294-0.00060325i,0.00030788-0.0007198i,0.00056489-0.00048872i,0.00094323-0.00067625i,0.00066591-0.0006299i,0.00023716-0.00029442i,-6.8576e-05-0.00076008i,-0.00018534-0.0007684i,-0.00038682-0.00043231i,8.7085e-05-0.0009034i,0.00029443-0.0011202i,0.00021159-0.00090457i
-0.00044852-0.00096385i,-0.00025092-0.00076996i,-0.0002239+0.0004133i,-0.00049438+0.0013571i,-0.00076138+0.00081583i,-0.0012108-3.3641e-05i,-0.00048633-0.00019207i,0.00042969-0.00027024i,0.00065168-0.00097513i,0.00023138-0.0010144i,-0.00061647-0.00020875i,-0.0011552-2.2798e-06i,-0.00062119-0.00029879i,0.00093423+1.4158e-05i,0.0011358+0.001175i,0.0002137+0.0011401i,0.00044795+0.00070272i,0.00064685+0.00089968i,5.6691e-05+0.00032008i,-0.00019933+5.2219e-05i,-0.00045253+0.00026971i,-0.00050401+0.00019892i,-0.000501+0.00053524i
0.0013115-0.00068943i,0.0013948-0.00051307i,0.00080809-0.0013785i,-0.00079612-0.0016205i,-0.0021491-0.00057698i,-0.0024116-0.00040146i,-0.0011453-0.0014276i,-0.00082147-0.0018992i,-0.0012385-0.00082124i,-0.00095853-4.85e-05i,-0.00055532-7.224e-05i,8.6173e-05+0.00035068i,-3.506e-05+0.00039127i,-0.00028845+0.00025839i,4.3727e-05+0.00024213i,0.00040022-0.00033751i,2.7938e-05-0.00060892i,-0.00019313-0.00080041i,-0.00078566-0.00042631i,-0.0011338+0.00026247i,-0.0005264+0.00058883i,-0.00022844-6.5647e-05i,-0.00023455-0.00053496i
0.00094503-0.00028448i,0.0010413-0.00021708i,6.1034e-05+0.00034253i,-0.0022214+0.00041254i,-0.0020082+0.0013181i,-0.00048075+0.0014527i,8.855e-05+0.00029647i,9.0593e-05-0.00092464i,-0.00085934-0.0013569i,-0.0011717-0.00049902i,-0.0006546+9.573e-06i,-0.0008444-1.5459e-06i,-0.00039676+0.00065014i,-0.00020355+0.0010821i,-0.00018401+0.00045818i,-0.00017192-0.00017175i,-0.00026746-0.00061926i,0.0005823+0.00015868i,0.00033763+0.00061583i,-0.00012111-0.00024246i,0.00046268-0.00085122i,0.0005073-0.00046569i,8.0466e-05-0.00029326i
0.000333+0.0013598i,-0.00052486+0.00060376i,-0.00015532+0.00016258i,0.0011161+0.00058643i,0.00023686-0.00058288i,-0.001519-0.002041i,-0.00069235-0.0014546i,0.00022173-0.00068704i,-4.9606e-05-0.00077311i,-4.9896e-05-0.00030966i,-0.00070054+0.00019224i,-0.001085+0.00032857i,-0.00097945+0.00053816i,-0.00017979+0.00067285i,0.00037638+0.0008411i,0.00017127+0.00059367i,-0.00019781+0.00012544i,-0.00046284+0.00010117i,6.0529e-05+0.00018851i,0.00043886+0.0004209i,-2.7333e-05+0.00031852i,-0.000515-0.00014975i,-0.00026396-8.2419e-05i
0.00044323+0.0014784i,0.0012592+0.00095672i,0.0022544+0.001315i,0.0015849+0.00095536i,0.00090289+0.00095752i,-0.00017686+0.0009946i,-0.0016711+0.00027465i,-0.0015824-0.00041663i,-0.00042021-9.9518e-05i,-0.00062207+0.00010923i,-0.0011551-0.0005758i,-0.00036742-0.001119i,-0.00024791-0.00069652i,-0.0010654+0.00021988i,-0.00060471+0.00084269i,0.00042186+0.00096524i,0.00065914+0.0003988i,0.00026708-0.00019424i,-0.00012835-0.00021179i,8.0181e-06+0.00015081i,-0.00020024+6.5153e-05i,-0.00018521-6.2032e-05i,8.5694e-05+1.7772e-05i
-0.00074059-0.00015014i,-0.0011448+6.7105e-05i,-0.0022634+0.00051853i,-0.0022077+0.0014144i,-0.0011721+0.0017205i,-0.00014104+0.00089581i,-0.00012968-0.00027575i,-9.6364e-05-0.001051i,-0.00066304-0.0013327i,-0.00034293-0.0012433i,0.00053555-4.5647e-05i,-8.0086e-05+0.00033886i,-0.00026856-0.00017098i,-0.00020617-0.0001416i,-0.00013125-0.00012514i,-1.2954e-05+3.4953e-05i,0.00024056-0.00012798i,0.00066841+0.0001217i,0.00041487+0.0005342i,0.00011086+0.0001431i,0.00021858-0.00028864i,0.00040368-0.00029938i,-6.0227e-05+0.00011303i
-0.00029448-0.00019698i,-0.00071095+7.9602e-05i,0.00022881+0.00044658i,0.00021977+0.0013598i,-0.00076247+0.0010899i,-0.0010676+0.00030261i,-0.0008042+1.4719e-05i,-0.00023812-0.00077392i,0.00052328-0.0015783i,0.00060103-0.0009401i,0.00032812+0.00011366i,2.1182e-06+0.00077108i,-0.00023379+7.5258e-05i,-0.00113-0.00043939i,-0.001026+0.00034232i,-0.0002742+0.00076223i,9.6515e-05+0.00090986i,0.00041512+0.0010914i,-0.00019133+0.0009576i,-0.00038822+0.00041451i,0.00044271+9.1713e-05i,0.00056559-0.000438i,0.00041036-0.00094871i
-0.00013124-0.00031359i,-0.0010543-0.00033989i,-0.0019364-0.0016626i,-0.0017615-0.00083263i,-0.00094003+0.00045246i,-0.00061649+0.00012162i,-0.00048787-1.1502e-05i,-0.0005333+0.00011457i,-0.0008307+0.00060579i,-0.00051244+0.00095749i,-8.7419e-05+0.00046765i,2.1612e-05-1.3381e-05i,0.0009093+0.00013987i,0.0013594+0.00014515i,0.00057666+0.00043239i,0.00080264+0.00022782i,0.0004921-0.00033405i,-0.00064401+4.1109e-05i,-0.0012226+0.00070203i,-0.0011306+0.000842i,-0.00068078+0.00047688i,-9.7205e-05+0.00069923i,0.00067224+0.00076174i
0.0014108+0.00018344i,0.00076068+0.00010971i,-0.00058691-1.1992e-05i,-0.0010536+0.00020944i,-0.0011163+0.00084551i,-0.00094789+0.0015421i,-0.00078831+0.00088249i,-0.00087527-0.00034354i,-0.0012475-0.0003974i,-0.0016534-0.00033959i,-0.0021226-0.0001953i,-0.0020292+0.00052969i,-0.00093475+0.00070324i,0.00015326+0.0010372i,1.647e-05+0.00084466i,0.00035375-0.00031001i,0.00051924-0.00015583i,-4.5431e-06-5.4651e-05i,0.00054846-0.00036056i,0.0003545-0.0002554i,-0.00047534-0.0010593i,-0.00089624-0.0011563i,-0.00071548+0.00035005i
-3.793e-05+9.3128e-05i,-0.00079918+0.0001583i,-1.3612e-05+7.9232e-05i,-0.00018416-0.0003467i,-0.00097569-0.00021703i,-0.00082339-0.00056641i,-0.00038692-0.0021052i,-6.0999e-05-0.0018764i,-0.00038925-0.0011263i,-0.00053568-0.00098773i,-0.00033708-0.00033278i,-0.00086604+0.00032335i,-0.00068819-0.00013292i,-0.00078705-0.00072858i,-0.00067195-0.00079568i,-0.00011131+0.000133i,-0.00056252+0.00061955i,-0.00072008+0.00049423i,-0.00018717+0.0001042i,-0.00044526-0.00012662i,-0.00092474+0.00017067i,-0.00076776+0.00019093i,-0.00045589-0.00035723i
