0.00165+0.00074835i,0.00032325-0.0019661i,-0.00068943-0.0045949i,-0.0012069-0.0046674i,-0.0016526-0.0022645i,-0.002092+0.00053658i,-0.0010366+0.0019386i,0.00048369+0.0017442i,0.0012532+0.00040588i,0.0011504-0.00044387i,-0.00053087-0.00055464i,-0.0011483-0.0002778i,-0.00024342-0.00033169i,0.00023268-0.00043614i,0.00061773+0.00030589i,0.00075333+0.00052695i,0.00048142+0.00048958i,-0.0001911+0.0010679i,-0.00073751+0.0015843i,-0.00046907+0.00093095i,0.00030605-0.00013394i,0.00037959-0.00016819i,-0.00036956-0.00031571i
0.00048883-0.0012243i,-0.00072377-0.00023466i,-0.00080167-0.00092753i,-0.00069886-0.0012746i,-0.0012643-0.0009751i,-0.00056398-0.0014743i,-0.00037687-0.00090291i,-0.00096516-0.00034811i,-0.0013784-0.00041375i,-0.0010847-0.00017051i,-0.00026305+0.00011782i,-7.0181e-05+0.00099575i,0.00013898+0.0012062i,0.00021765+0.00087252i,-8.1092e-05+0.0007723i,-0.00053573+0.0003554i,-0.00048538-0.00020956i,-0.00014423-6.8132e-05i,-4.4099e-05+0.00010292i,0.00010301+0.00040894i,4.7859e-05+0.00097576i,-0.00019657+0.0013016i,0.00027544+0.0011786i
0.0012317-0.0010501i,0.0011258-0.0016563i,0.00040152-0.0024077i,-0.00034059-0.0025047i,-0.0013337-0.0021406i,-0.00076903-0.0013852i,7.7417e-05-5.2258e-05i,-0.00040159+0.0004763i,-0.00019615+0.00058899i,0.00030023+0.00070157i,4.0218e-05+0.0004056i,-0.00054243-0.00029318i,-0.0011451-0.00030572i,-0.0010237-0.00023949i,-0.00048697-0.00033209i,-7.1006e-05+5.4036e-05i,-0.00021644-8.2425e-05i,-0.00032794-0.0011619i,-7.5037e-05-0.0013718i,0.00012635-0.00053736i,0.00037771-0.00033247i,0.00086829-0.00013143i,0.00079738+0.00053289i
0.0011927+0.0012555i,0.00080974+0.0013793i,0.00082209+0.00090334i,0.00061805-0.00093315i,0.00069494-0.0019574i,-0.00044693-0.0022196i,-0.0011775-0.0012601i,-0.00089551+5.4102e-05i,-0.00014926-0.00062447i,3.9403e-05-0.00080316i,-0.00086638-0.0001301i,-0.0013957-0.00020011i,-0.00096364-0.00066497i,0.00016242-0.00018265i,0.0009638-0.00040854i,0.00069644-0.0010099i,0.00062329-0.0010054i,0.0004895-0.00088833i,0.00018938-0.00068734i,-7.4098e-05+2.342e-05i,4.8204e-05-0.00015389i,0.00037225-0.0010027i,-7.9182e-05-0.00019888i
-0.00031985-0.00022064i,-9.0853e-05-0.00043072i,-0.00045606-0.00022261i,-0.0010672-7.5191e-05i,-0.0017934-0.00053587i,-0.0010281-0.0011177i,-0.00024319-0.0010632i,-0.00031507-0.00066926i,-0.00047794-0.00056778i,-0.00039046+0.00025023i,-4.3303e-05+0.0011178i,0.00071288+0.00094246i,0.0006349+0.00058422i,-0.00018123-0.00012798i,-8.3975e-05-0.00040033i,8.43e-05-0.00027159i,0.00022973+2.3425e-05i,0.00033101+0.00091269i,-0.00047303+0.00050751i,-0.00088222-0.00039268i,-0.0010569-0.00047139i,-0.00080134-0.00042934i,0.00021222-0.00039854i
-0.00073618+0.00046335i,-0.0015647+9.8903e-05i,-0.0010633+0.00046594i,-8.6438e-05+0.00032697i,0.00074228+5.8018e-05i,0.00094055+0.00025694i,0.00062376+0.00017565i,0.00069001+1.4114e-05i,0.0011169-0.00019017i,0.0010663+0.00021757i,0.00036238+0.00015528i,-2.7083e-05-0.00085466i,0.00038234-0.0010806i,0.00027457-0.00039385i,-0.00046167+0.00025012i,-0.00042312+0.000797i,0.00014661+0.00052416i,0.00047427+0.00071662i,0.00035038+0.00071982i,-0.0002917-0.00020805i,-0.00043577-0.00047059i,0.00021523-0.00016391i,0.00062154+0.00016503i
-0.00075543+0.00042537i,-0.00059812-0.0004493i,0.00031446-0.00035253i,0.0006331-0.0011783i,0.00069044-0.002108i,0.00036315-0.0021018i,-0.00058622-0.001791i,-0.00070363-0.0018968i,0.00041308-0.0007398i,0.0012188+0.00054776i,0.00084516+0.00043649i,0.00055439-0.00062596i,0.00064214-0.0010941i,0.00037175-0.00031879i,0.00051413+0.00024789i,0.00051895-0.00012753i,0.00098607-0.00057818i,0.0011791-0.00024434i,0.00049182+5.378e-05i,-0.00030533-4.125e-05i,-7.5704e-05-5.6726e-05i,0.00019491+9.7006e-06i,2.1775e-05-0.00024477i
-0.00054697-0.00044411i,-0.0005282-0.0015683i,0.00033683-0.0014922i,0.0002889-0.0010403i,3.915e-05-0.00036807i,-0.00058394-0.00014206i,-0.00056772-0.00071192i,0.0003327-0.00024833i,-0.00023828+0.00055051i,-0.0014275+0.00089072i,-0.001664+0.00061283i,-0.00071908-5.855e-05i,0.00025011-0.00047255i,0.00026777-0.00074008i,0.00035654-0.00025466i,0.0005761+0.00040213i,0.00067506+0.0003725i,0.00081279+9.2019e-05i,-0.00017849-0.00031121i,-0.00078269-0.00058291i,5.9204e-05+5.5994e-05i,0.00057549+3.7895e-06i,0.00051216-0.00070626i
-0.0016268-0.00036049i,-0.00092256+1.3896e-06i,-0.0011397+0.00014637i,-0.0012346-0.00024826i,-0.00083994-0.00097138i,-0.00025327-0.00059108i,0.00034166-0.00013477i,4.8984e-06-0.00032657i,0.0002641-0.0007488i,0.00048339-0.0010687i,-2.9935e-05-0.00065641i,-3.3302e-05-1.971e-05i,-0.0001206+0.00054976i,-8.1707e-05+0.0009076i,-0.00011369+0.00034976i,-6.4682e-05+5.8736e-05i,7.0903e-05+0.0011353i,4.1524e-05+0.0014946i,-6.8936e-05+0.00058532i,0.00051871-0.00032226i,0.0011531-0.00010767i,0.00047796-2.9939e-05i,-0.00052769-0.000294i
-0.00057102+0.00011877i,-0.00068308-0.0007867i,-0.00064927-0.0013311i,-0.00034212-0.00061957i,0.00041822+0.00032185i,0.00096896+0.00070363i,2.1301e-05+0.00065745i,-0.00014454-0.00027972i,0.00070943-0.00074066i,0.00046496-0.00038783i,-0.0001878+0.00021644i,-0.00035199+0.00050835i,-0.00046884+0.00040627i,-0.00033286+0.00073059i,-0.00023811+0.00021283i,-0.00043523-0.00061254i,0.00013602-0.00010426i,0.00035484+0.00063617i,-0.00024449+0.00074569i,-0.00018981+0.00063337i,4.3289e-05-0.00011117i,0.00041898-0.00064898i,0.00051331-0.0006953i
-0.00014652+0.0019922i,-0.00033647+0.0010518i,-8.3471e-05+0.00043592i,0.00073852-0.00032311i,0.0006721-0.001008i,-0.00046879-0.0013239i,-0.00046018-0.0013982i,-0.00025821-0.00080262i,-0.00078158+0.00012261i,-0.00024749-0.00018796i,0.0001407-0.00068989i,-0.0003678-0.00057427i,-0.00078837-0.00038037i,-0.00088452+0.00014519i,-0.00035119+0.00026409i,0.00035976-5.074e-05i,0.00061394-0.00038271i,-0.00014322-0.0011807i,-0.00037876-0.00063789i,-0.00027976+0.00025245i,-0.00030191-3.182e-05i,-0.00036548-0.00019847i,-0.00024173-7.5632e-06i
-0.00045031-0.00078121i,-0.00030351-0.0011332i,-0.00013026-0.0010767i,2.749e-05-0.0016686i,-4.9317e-05-0.001382i,-0.00104-0.0001597i,-0.0013467+0.00021682i,-0.00014717-0.00051366i,0.00069003-0.0016034i,0.00078849-0.0015038i,0.00026412-0.00018952i,-0.00035116+0.0006034i,-0.0002452-0.00032657i,9.5452e-05-0.00037342i,-0.00011454+0.00059033i,-0.00019636+0.00069163i,0.00042063+0.00070853i,-0.00013282+0.00087957i,-0.00030543+3.2444e-05i,-0.00027521-0.00019484i,-0.0010398-0.00026447i,-0.0007798-0.00088723i,-3.6007e-05-0.00045988i
-0.00019543-0.0010551i,-0.00077129-0.0016319i,-0.00061448-0.001296i,-6.5157e-05-0.0013635i,-4.1333e-05-0.0011358i,0.00025256-0.00045337i,-8.3546e-05-0.00077605i,-0.00056422-0.0007693i,-0.0004422-0.00074086i,0.00017231-0.00061662i,-1.8007e-06+0.00024382i,-0.00056605+0.00035302i,0.00036429+0.00023391i,0.0009621+0.00022533i,0.00035871-0.00011949i,-0.00020643-5.7714e-05i,-0.00041708+0.00088285i,9.8791e-05+0.0014251i,0.00051906+0.0010152i,0.00023157+0.0005558i,-0.00012921-0.00029616i,9.9809e-05-0.0001444i,0.00056453+0.00027386i
-0.0019807-5.7515e-05i,-0.0011307-4.8945e-05i,-0.00044478-6.8293e-05i,-7.8024e-06+0.00064707i,-0.00025653+0.00012825i,-0.00050615-0.0007411i,-7.5661e-05-0.00053655i,-1.775e-05-0.0006478i,-0.00026528-0.00078451i,9.797e-05+6.7588e-06i,0.00055584+0.0008836i,0.00021346-0.00016596i,-0.00012747-0.00021645i,0.00015256+0.00042685i,0.00024472+0.0002916i,-5.618e-05-0.000448i,0.00035778-0.00085099i,0.00095573-0.00022325i,0.00060276-0.000342i,0.0007225+6.7116e-05i,0.00043043-0.00011654i,-0.00037126-0.00081063i,-0.00066482-0.00044538i
0.00060322-0.00028302i,0.00016759-4.9316e-05i,-0.00026995-0.00077945i,-0.0010986-0.0016423i,-0.0015904-0.0013191i,-0.0012564-0.00064392i,-0.00037185-0.00018996i,6.3004e-05-0.00049103i,-6.7342e-05-0.0012362i,-0.0006186-0.00059083i,-0.00088736+0.0004947i,-0.00084173+0.00031024i,-0.0013973-0.00013824i,-0.0015143-1.7504e-05i,-0.00043105-0.00026402i,0.00044074-0.00014021i,0.00072155+0.00076316i,0.0005996+0.0010448i,-0.00017821+0.00040033i,0.00023997-3.6188e-05i,0.00031883+9.8537e-05i,-6.5923e-05+0.00046229i,0.00023057+0.00096187i
-0.0015103-0.0011809i,-0.00047298-0.0018536i,0.00080771-0.0012615i,0.00074894-0.00038043i,0.00029804+0.00024609i,0.0002639+0.00034698i,-8.0083e-05-8.9602e-05i,5.2076e-05-0.00065413i,0.00089311-0.00057842i,0.0010106+7.6176e-05i,0.00014029+0.00032504i,0.00085379+0.00013875i,0.00095458-3.731e-05i,-0.00022493+0.00080601i,-0.00091106+0.00077225i,-0.00030059+0.00013907i,0.00095849+6.3311e-05i,0.00053537+0.00040564i,-0.00013734+0.00066811i,-6.5124e-06+0.00027747i,-0.00016104+0.00048751i,-0.00017187+0.00068886i,-0.00024284+0.00031157i
-0.00088487+0.00010708i,-0.00038742+0.00075303i,-0.00063375+0.0012392i,-0.00055234+0.00042075i,-0.00033593-0.00061696i,3.9919e-05-0.00013799i,0.00012494-0.00037806i,-0.00020285-0.00060706i,-3.1396e-05-0.00070991i,0.00032256-0.00091182i,0.00050854+3.765e-05i,0.00042205+0.0011006i,0.00029993+0.0011473i,0.0008693+0.0010819i,0.0006638+0.00099736i,-8.8903e-05+0.000275i,-0.00056752-1.7845e-05i,-0.00041399+0.00036388i,0.00015976+0.00028593i,0.00026011+0.00011846i,0.00023771+0.00044614i,-3.6143e-05+0.00064855i,-0.0002276+0.00051656i
-0.00048442+0.00082164i,0.0003368-0.00025658i,0.00083924-0.00072112i,0.00058324-0.00036039i,9.5061e-05-0.00059725i,-0.00012017-0.00023639i,-0.0005387+8.9097e-05i,-0.00070434-0.00057203i,-0.00023027-0.00043691i,0.00052294-7.177e-05i,0.0010243-0.00057922i,0.00073028-0.0010155i,-8.2197e-05-0.0010634i,-0.00046719-0.00024477i,-0.0004247+0.00030381i,-0.00017083+0.0001299i,0.00032301+0.0006455i,-3.0869e-05+0.00033146i,-0.00036958-0.00052762i,-2.9399e-05+0.00022199i,3.6326e-05-5.7739e-05i,-0.00017922-0.00083797i,1.9748e-06-0.00054792i
0.00094315+0.00061983i,0.00053416+3.6734e-05i,0.00040986-0.0015219i,0.00037006-0.0026986i,0.00026537-0.0026441i,0.00031207-0.0015875i,6.0622e-05-0.0007499i,-0.00015105-9.858e-05i,0.0001513+0.00060454i,0.00024674+0.00055208i,0.00067396+5.705e-05i,0.00019745-0.00011999i,-0.0012407-0.00054668i,-0.0015974-0.00088752i,-0.00086125-0.00091117i,-0.00046955+0.00033235i,0.00013937+0.0019915i,0.00077899+0.001544i,0.0014344+0.00036202i,0.0011536+0.00017123i,0.00028994-0.00013724i,8.5306e-05-0.00053302i,0.00012903-0.00050218i
0.00035706+0.00019702i,0.0012438+0.00043853i,0.0015317+0.00052341i,0.001391-0.00029535i,0.0012635-0.0014561i,0.0016669-0.0014617i,0.0010022-0.0012003i,0.00018721-0.0010732i,0.0001586+0.00026605i,2.677e-05+0.00087399i,0.00019359+0.00070488i,0.00054255+0.0013286i,0.00062839+0.0013069i,1.514e-05+0.00053985i,-8.4361e-05+0.00010669i,-0.00083015+2.1096e-05i,-0.0012833-0.00019809i,-0.00086087-5.473e-05i,-0.0005721+3.2179e-05i,-2.2972e-06+0.00025555i,3.1668e-05-9.7523e-06i,-0.0002639-0.00045754i,-0.00028169+0.00052934i
5.7545e-05+0.0027613i,0.00060317+0.0021276i,7.7927e-05+0.00094455i,-0.00034194-6.1239e-06i,0.00016264-0.0004459i,-0.00014456-0.00084683i,-0.00019015-0.0009526i,6.9247e-05-0.00059012i,0.00032609-0.00074158i,0.00058413-0.00032598i,0.00020371+0.00015922i,-0.00049977-0.00030083i,-0.00022013-0.00025957i,0.00057457-0.00030176i,0.00094224-0.00061267i,0.00082264-0.00054966i,6.2855e-05-0.00012966i,-0.00094429-0.00045817i,-0.0003605-5.2806e-05i,0.00029352-0.00068883i,0.00041385-0.0012013i,-5.9266e-05-0.00092414i,-0.00012565-0.00082504i
-0.00029298-0.00020923i,-0.00014453-0.00058491i,0.0005729-0.00079368i,0.00049518-0.0016442i,-9.3376e-05-0.0012515i,-0.00021377-0.00092638i,-0.00021238-0.0013294i,-0.0003159-0.0015198i,-1.1564e-05-0.0010206i,0.00018072+0.00010442i,0.00037069+0.00056829i,0.0003635+6.6711e-05i,0.00019836+0.00055249i,6.5291e-05+0.001462i,0.00030892+0.001126i,0.00054896+0.00045231i,0.00068954+0.00021107i,0.00052221+0.00053416i,0.0006003+0.0012538i,0.00079743+0.00087356i,0.00044919-4.0407e-05i,0.00053644-0.00010323i,0.00060098+0.00044977i
-0.0025904+0.00013054i,-0.0013239-5.8917e-05i,-3.7887e-05+0.00078519i,0.00090966+0.0014383i,0.0011683+0.0006424i,0.0002736-0.00045526i,-0.00073061-0.00095829i,-0.00024755-0.00083791i,0.00067872-0.00067642i,0.00083061+0.00060379i,0.00028958+0.0012063i,0.00019212+5.7721e-05i,0.00024381-9.9868e-05i,0.00013276+0.00058128i,0.00013988+0.00062419i,-0.00013115+0.00060791i,-0.00031416+0.00053051i,-0.000397+0.00038205i,-0.00043502+0.00037761i,-0.00071541+0.00020881i,-0.0010444+7.024e-05i,-0.00056639-0.00024154i,-5.2511e-07+6.7246e-05i
0.00015104-0.00085809i,-0.0007665-0.0011067i,-0.0014288-0.0015377i,-0.0014765-0.0014043i,-0.00087344-0.00093304i,0.00021357-0.00057503i,0.00042809-0.00071138i,-0.00027719-0.0008602i,-0.00058186-0.0009144i,-0.00094341-0.00014568i,-0.00044273+0.00074114i,8.7063e-05+0.0011298i,0.00017219+0.0003754i,0.00015436-0.00059188i,3.54e-05-0.0005403i,0.00045076-0.00035497i,-1.7908e-05-0.00047929i,-0.00088776-0.0004423i,-0.00035347+5.7051e-05i,-2.8021e-05+0.00019395i,-1.2782e-05+0.00012471i,0.00013129+0.00058503i,-0.00030415+0.00053793i
7.7526e-05-7.7098e-05i,-0.00010411-0.00023483i,-0.000219-0.00065864i,-0.00027992-0.0011059i,-0.00013279-0.0015169i,-8.7907e-05-0.0013945i,0.0006701-0.0013395i,0.00063063-0.0016096i,-5.1001e-05-0.0014921i,-0.00050375-9.2211e-05i,-0.00083909+0.0011672i,-0.0003103-0.00028091i,0.00022421-0.0017609i,-0.0001465-0.0017501i,-6.5863e-05-0.00039265i,0.0003821+0.00053046i,0.0003846-9.1348e-05i,0.00044524-0.00063194i,-0.00018882-0.0010464i,-9.1648e-05-0.00034784i,-0.00011337+0.00020499i,-0.00029443+0.00045347i,0.00014628+6.7878e-05i
0.0011241-0.0016345i,0.000662-0.0018835i,0.000639-0.0023907i,0.0010263-0.0014425i,-0.00055928+0.00015915i,-0.00078901+0.00052729i,-2.5713e-05+5.1973e-05i,8.3995e-05-0.00031672i,0.00022975-0.00028341i,0.00050131-0.00015941i,0.0001237+0.00048031i,-8.2238e-06+0.00021734i,2.0324e-05+8.0117e-06i,-0.00022685+0.00046955i,-0.0003623+0.00039102i,0.00015708-2.6696e-05i,0.00044157+0.00026852i,0.00069051+0.0010604i,-0.00019167+0.00043983i,-0.00048545-0.000378i,1.3359e-05+0.00012528i,0.00013535+0.00035119i,0.00081816+0.00032263i
-0.00041003-0.00047025i,-0.00086249-0.0010369i,-0.00042944-0.00032391i,0.00034924+1.0937e-05i,0.00031215-0.00059417i,0.0005294-0.00096802i,0.00073376-0.0010214i,0.00043711-0.0003661i,0.00043914-0.00024417i,0.00050369-0.00026526i,0.0003391-0.00023299i,0.00039736-3.1126e-05i,0.00033227-0.00022298i,0.00021251-0.0012135i,-3.116e-05-0.0010809i,0.00027809-0.0005059i,0.0010321-0.00076042i,0.00078844-0.00053359i,0.00021215-2.6451e-05i,-0.00040962-0.00010201i,-0.00068162-0.00046022i,-0.00097915-0.00024432i,-0.0013373-0.00010373i
0.00301-0.0002416i,0.0028384-0.0010197i,0.0015909-0.0027178i,0.00035215-0.0034421i,-0.00016623-0.002074i,-0.00063026-0.00097334i,-0.00041305-0.00022575i,0.00018602+0.00050033i,0.00036598+0.00019247i,0.000233-0.00085985i,0.00019887-0.00052188i,0.00011687-0.00017443i,7.4522e-05-0.00049288i,-0.0002942-0.0010059i,-0.00056734-0.0010946i,0.00026477-0.00091021i,0.00077046-0.00074927i,-3.107e-06-0.00038858i,-0.00046698-0.00047858i,-0.00049795-0.00027242i,-0.0011374+0.00015252i,-0.0012019+0.00042037i,-0.00095539-0.00025607i
0.00054829+0.00037859i,0.00036824+0.00070753i,0.0020553-0.00096713i,0.0021912-0.0022252i,-5.4173e-06-0.0023849i,-0.00082968-0.0022216i,-6.161e-05-0.0011642i,0.00035038-0.0003831i,0.00044828-0.0010252i,0.00020159-0.0013516i,-6.3541e-05-0.00062976i,0.00042444-0.00064326i,0.00039238-0.00027289i,0.0003339+0.00070586i,0.00015148+0.00066298i,0.00027885+0.0012004i,0.00027003+0.0014791i,0.00012381+0.00042616i,0.00019825+0.00044393i,0.00031784+0.0007808i,0.00051851-3.9662e-05i,0.0006184-0.00065407i,0.0008597-0.00057687i
-0.00033916+0.00066457i,-0.0011737+0.0010775i,-0.00064702+0.00077537i,-0.00026396-0.00041001i,-0.00053523-0.00077092i,-0.00047195+3.6145e-06i,-0.00016903+0.00069868i,0.0010549+0.00043462i,0.0016169-4.1761e-05i,0.00063532+7.6452e-05i,0.00037032+0.00018683i,0.00053167+0.00036604i,0.00010671+0.00037427i,0.00014936-4.8031e-05i,0.00084001-0.0005311i,0.0007118-0.0008501i,0.00065416-0.00050681i,0.0010706+0.00016674i,0.00060469+0.00075706i,0.00029618+0.00071385i,0.00046275-4.1581e-05i,0.00075728+0.00010391i,0.00080967+0.00016526i
0.0029369-0.0017191i,0.0016104-0.002077i,0.0011337-0.0036167i,-0.00018012-0.0035356i,-0.0011538-0.0025261i,-0.00054718-0.00086769i,5.9234e-05-0.00047759i,0.00051004-0.00052685i,6.5312e-06-0.0010034i,-0.00086127-0.0012756i,-0.0013339-0.00015815i,-0.0012042+0.00036068i,-0.00042658+0.00088174i,-0.00016744+0.00054336i,-0.0010832-0.00014127i,-0.00065339-0.00016274i,-0.00014344-0.00039693i,-0.00097144+5.3423e-05i,-0.0011337+0.0011883i,-0.00082502+0.00080261i,-0.00060981-0.00035435i,-0.00050802-0.00061387i,-0.00011326-0.00045255i
-0.00018466-0.00018091i,-0.00096428+0.00026173i,-0.001542+0.00055928i,-0.0011377+0.00094126i,-0.00083562+0.00059162i,0.00011046-0.00049725i,8.0746e-05-0.00028633i,-0.00028049-0.00014476i,0.00044368-0.00082708i,0.00044164-0.00073438i,0.00028905-7.1369e-05i,0.00057924+0.00022674i,0.00078926+0.00023166i,0.00041233+0.00037932i,3.8183e-05+3.4553e-05i,4.8818e-05+0.00031112i,-0.0002718+0.00026186i,-0.00020385-0.00023611i,-0.00052591-0.00016387i,-0.00042372-0.00012151i,0.00036236-0.0009376i,0.00059813-0.0013772i,0.00073342-0.00057602i
