-0.0064014+0.00050133i,-0.0081399+0.0015623i,-0.0072393+0.0059219i,-0.0020395+0.0074704i,0.0020751+0.0064802i,0.0023062+0.0029636i,0.0013866+0.00062397i,0.00090872+0.0010146i,0.0010719+0.0013266i,0.00191+0.0011601i,0.0024383-1.2685e-05i,0.0020554-0.001276i,0.0011822-0.0016056i,0.0007154-0.0014387i,0.0002649-0.00099657i,0.0002526+0.00021668i,0.00058773+0.00101i,-9.348e-06+0.00075694i,-0.0011065+0.00078995i,-0.0011545+0.00093349i,-0.00031104+0.00054332i,-0.00020612-0.00010005i,-0.00030095-0.00013402i
-0.00092035+0.00024833i,-0.00057858-0.00033958i,0.00055101-0.00070796i,0.0011582-0.00043436i,-5.9848e-05+2.0396e-05i,-0.0010612+0.00085257i,-0.00018697+0.0012266i,0.00089579+0.0003905i,0.00037724-0.00033425i,0.0005168+0.00029531i,0.0008458+0.0011311i,0.00036708+0.0014584i,-0.00053824+0.00092654i,-0.0010203+0.00030655i,-0.00045826-3.7403e-05i,0.00026934+0.00031899i,0.00066539+0.0015881i,0.00082746+0.0011852i,0.0013221+0.00016092i,0.00081688-6.1333e-05i,-0.00014681+4.5691e-05i,-0.00025335+0.00039036i,-3.056e-05+0.00078656i
0.00046671-0.0011797i,0.00012157-0.00038877i,-0.00032813-0.00019658i,-0.00078193+0.00076616i,-0.00032731+0.0014596i,0.00023284+0.0013359i,0.00051395+0.00034696i,0.00026904-0.00095705i,0.00050772-0.0015721i,0.00088024-0.0011815i,-0.000184-0.00042923i,-0.0009263+0.00022631i,-0.0003375-2.6346e-05i,-0.00015702-0.00012461i,3.3537e-05+0.00012695i,0.00048105+0.00044401i,-2.4442e-05+0.00013941i,-0.00021236-0.00074073i,-0.00021264-0.00087516i,-0.00056553-0.00038191i,-0.0007929-6.6178e-05i,-0.0001612-0.00050221i,0.00062716-0.0007923i
0.00017361-0.0003556i,-0.0012582+0.00047893i,-0.0018331+0.00076122i,-0.00040237+0.00030159i,0.0006862+0.0002029i,0.00077579+0.00086199i,0.00066991+0.0011692i,0.00050721+7.9342e-05i,-0.00030317-0.00020337i,-0.0011736+0.00023319i,-0.00090727+0.00023042i,-0.00013559-0.00013925i,0.00027403+8.0675e-06i,5.2198e-06+0.00095368i,-0.00045907+0.00089053i,0.00050906+0.00014319i,0.0012034-0.00032843i,0.00034948+6.429e-05i,-0.00012743+0.00049734i,0.0004143+0.00016511i,0.00014822+0.00024418i,-0.00016518+0.00080865i,-9.3301e-06+0.00037135i
0.00014932-0.00034473i,0.0012099-0.00087364i,0.0021033-0.0010574i,0.001795-0.00092717i,0.00081671-0.00056943i,-0.0010262-0.00064847i,-0.0015354-0.00018971i,-0.00092925+7.5399e-06i,-0.00014063-0.00092165i,-0.00014273-0.00096808i,-0.00042771-0.00036072i,0.00061357-6.8181e-05i,0.00060454-0.00030367i,8.7728e-05-0.00029988i,-0.00016584+7.7269e-05i,0.00016431+2.4456e-05i,0.0006317-0.00073717i,0.00045804-0.00080026i,0.0002209+0.00032016i,0.00010896+0.00063324i,0.00026767+0.00044148i,0.000673+0.0004109i,0.00038101+0.00041385i
0.0022345-0.00025199i,0.00078405+0.0002387i,0.00050557+0.00057672i,0.00071702+0.00017525i,0.00029905-0.00050756i,-0.00015945+0.00015785i,0.00028688+0.0011587i,0.00086029+0.0012058i,0.00047776+0.00036513i,-0.00023025-0.00050909i,-0.00083291-0.00076468i,-0.00078131-0.00059665i,-5.9675e-05-0.00012433i,0.00050173+1.2808e-05i,-0.00010557-0.00040553i,-0.00017989-0.00020182i,0.0005534+6.0778e-05i,0.00011126-0.00056506i,-0.00019421-0.00050748i,-0.00026993-0.00014351i,-0.00043004+0.00045641i,-4.4591e-05+0.00083325i,0.0006761+0.0010045i
-0.0015151+0.0013608i,-0.001401+0.0019628i,-0.00095468+0.0014923i,-9.8784e-05+0.0020488i,0.0011911+0.0023897i,0.0013447+0.0014036i,0.0004491+0.001104i,0.00039443+0.00058417i,0.00052048-0.00083151i,0.0010229-0.00016388i,0.0012093+0.00080549i,0.00093424+0.00046636i,0.00058751+0.00035202i,-0.00030116+0.00028975i,-0.0014559-0.00013134i,-0.0013057-0.0001503i,-0.0010101+0.00055338i,-0.00076072+0.0011523i,-0.00048407+0.00028143i,-0.00025632-0.00028102i,0.00016087-0.00045955i,-0.00019916-0.00024932i,-0.00054236-0.0002586i
-0.0011244-0.00078119i,-0.0026541-0.00057174i,-0.0027863+0.0016263i,-0.0017296+0.0029893i,0.00017158+0.0019756i,0.0011704+0.00070718i,0.00082437+0.00068085i,0.00097738+0.00069096i,0.00070505-0.00049422i,0.00015129-0.0015739i,0.0006928-0.0004255i,0.0006077+0.0010037i,-8.7174e-05+0.00032376i,-0.0004862-0.00038776i,-0.00050048-0.00066812i,0.00025734-0.0004575i,0.0005088+0.00057063i,-0.00030469+0.0007597i,-0.00024699+6.4311e-05i,-0.00012867-0.00017158i,-0.00058747+0.00040892i,-0.00095447+0.00037531i,-0.00034295-0.00041803i
-0.00026389-0.0014311i,-0.0008284-0.0016226i,-0.00054322-0.00059771i,0.00014899+0.00010186i,0.00032911+0.00051024i,0.0003017+0.00038214i,0.00044911-7.6332e-05i,0.0005674-0.00083632i,0.00024297-0.0014931i,-0.00035854-0.0007013i,-0.00053494+2.1705e-05i,-0.0010526+0.00038744i,-0.0005805+0.00086369i,0.00058675+0.00087602i,0.0002903+0.00049117i,-0.00090165+0.00035534i,-0.0012648+0.00071783i,-0.00013352+0.0008905i,0.00065408+0.00091366i,0.00042262+0.00020368i,-0.0002905-0.00013395i,-0.00011328+0.00020538i,0.00036319-8.5707e-05i
0.00012404-0.00098697i,0.00014157-0.0001398i,0.00089051+0.001436i,0.0010886+0.0014688i,0.0012251+0.00030462i,0.0010106-0.00025336i,0.00033402-0.00044616i,-0.00029239-0.00070969i,-0.00058526-0.00021216i,-0.0014715+0.00051878i,-0.0019122-3.0953e-06i,-0.00087743+8.4801e-05i,0.00021182+0.00065328i,0.00054651+0.00074148i,-9.3788e-05+0.00085209i,-0.00027485+0.0011248i,0.00033253+0.0011488i,0.0003797+0.00075217i,-0.00013127+0.00026631i,-0.00022661+0.00094419i,0.00010538+0.0010994i,-0.00022492-0.00048708i,-0.0013174-0.00053481i
0.00035155-0.0016813i,0.00019284-0.0020748i,-6.6081e-05-0.0015783i,-0.00032659-0.00082857i,0.00044114-0.0004352i,0.0005648-0.0011084i,0.00032018-0.00088475i,0.00060557-0.00045842i,0.00017256-0.0013147i,6.8672e-05-0.0016973i,-0.00018093-0.0012113i,-0.00017914-3.3278e-05i,0.00034645+0.00070096i,0.00036175+0.00091335i,0.00057757+0.0010209i,0.00019458+0.00097957i,-0.00022686+0.00044794i,-0.00015768+7.7237e-05i,-0.00024118-7.9488e-05i,-0.00012655-0.00065855i,-0.00013085-0.00090315i,-0.00015561-0.00095543i,0.00036951-0.00047263i
-0.002204-0.0011309i,-0.0020033-0.0010051i,-0.0012568-0.00025465i,-0.00069994-0.00014545i,-0.00045811-0.001018i,-0.00080652-0.00048967i,-0.00041583+0.0007281i,-0.00034792+0.00096184i,-0.0010591-0.00023955i,-0.0007946+1.099e-05i,-0.00036078+0.0010123i,-0.00028718+0.00067836i,7.3253e-05+0.00054598i,0.0011807+0.0006208i,0.0011826+0.00049856i,0.00074987-0.0003909i,0.0006792-0.00055448i,0.00015861-0.00012986i,0.00028259+2.2828e-05i,-0.00011784+0.000156i,-0.00077053-9.312e-05i,-0.0011235-0.0006003i,-0.00075651-0.0010765i
0.00043514-0.00043111i,0.00049876-0.00058115i,7.3897e-05-0.00019174i,-8.4427e-05-0.00020929i,-0.00052176+0.00073247i,-0.0013962+0.0009379i,-0.0016611+0.00070536i,-0.0011129+0.00063891i,-0.00027762+0.00037582i,0.00055002-3.5328e-05i,0.00052748+3.9314e-05i,0.00032041+0.00054067i,0.00024251+0.00037441i,9.039e-05-7.8448e-05i,0.00029473-0.00028023i,0.00079165-6.133e-05i,0.00092353+0.00067613i,-0.00016361+0.00075407i,-0.00077828+0.00053581i,-0.0011122+0.00044926i,-0.0011186+0.00041216i,-0.00032208+0.00030295i,0.00017188-0.00029037i
0.0011771-0.00031192i,0.00075618+0.0003746i,0.0013037+0.0018735i,0.0019952+0.0017574i,0.001935+0.00083347i,0.00078589+0.00047271i,0.00066517+0.00018683i,0.0011726-0.00064247i,0.0010111-0.0012735i,0.00062625-0.00070958i,-0.00037308-0.00028778i,-0.0010171-1.2025e-05i,-0.0004214-0.00053492i,0.0002416-0.0006494i,0.00013218-4.2264e-05i,9.2479e-06+0.00061967i,0.0008172+0.00065235i,0.0011635+0.00069271i,0.00037593+0.0014141i,8.8319e-05+0.00046839i,0.00016234-0.00037926i,-0.00030282+2.1313e-05i,-0.00083818+0.00020076i
-0.00074734+0.0021286i,-0.0023452+0.0033073i,-0.0010237+0.0029949i,0.0015905+0.0032418i,0.0020476+0.0027083i,0.0012552+0.0014995i,0.00019747+0.00079492i,-0.0007005+0.00037817i,-0.00025933+0.00031454i,0.00015763+0.00037217i,1.397e-05+4.9443e-05i,-2.8902e-05+9.3665e-06i,-0.0001443+0.00032177i,-0.00021941-0.00034092i,-0.00030575-0.00083561i,-0.00023537-0.00049124i,0.00027421-0.00051721i,0.00023215-0.00011122i,1.025e-05+0.0006032i,-0.00034892+0.00017284i,-0.00014431-0.00046378i,0.00041324-0.00039072i,0.00056197-0.00034108i
-0.0010153-0.00078377i,-0.00086704-0.001011i,-0.00050713-0.001147i,0.00047955-0.00034766i,0.00071389+0.00058985i,0.00011054+0.00094173i,-0.00036861+0.00068697i,-0.00065185-0.00031374i,-0.0012872-0.0015575i,-0.0009824-0.001044i,-8.6052e-05-4.0749e-05i,-0.00019283-7.8583e-05i,-0.00035514-0.00039238i,7.8128e-05-0.00046143i,0.00035145+4.0789e-05i,-0.00016973-0.00030547i,-0.00048071-0.000405i,-0.00095851-0.00037137i,-0.0010276-0.00028239i,0.00021694+9.1415e-05i,0.00030042+0.00052396i,-0.00019581+0.00052594i,-0.0003019+0.00081481i
-0.00097667-0.0021314i,-0.0015294-0.0016773i,-0.0023568-0.00077137i,-0.0021084+0.00055863i,-0.00098868+0.0014156i,-0.0003524+0.00045999i,-0.00020943-0.00029153i,-0.00060692-0.00024978i,-0.00068933+9.1541e-05i,-6.3778e-05+0.00056239i,0.00021852+0.0011325i,0.00011771+0.001056i,4.738e-05+0.00035441i,-0.00061688-0.00029414i,-0.00061728-5.5469e-05i,2.1691e-05+0.00014808i,-0.00043146-5.1405e-05i,-0.00033567-0.00018705i,-6.4687e-05-0.00022832i,-0.00017498-8.1332e-06i,0.00038324+0.00089597i,0.00016503+0.00073762i,-0.00024321+2.5639e-06i
-0.00023466-0.0014844i,-0.00035704-0.0007565i,1.7558e-05-7.511e-05i,0.00065934-0.00018897i,0.00058348-0.00096946i,0.00010951-0.0006563i,0.00027446+0.00081017i,0.00073432+0.001569i,0.0013848+0.001253i,0.0013781+0.00080862i,0.00096238+0.0010023i,-0.00016015+0.0010277i,-0.00091104+0.00019925i,-0.00036312-2.6255e-05i,0.00020132-0.00034636i,0.00047959-0.00070948i,0.0007906-0.00045508i,0.00062178-0.00035533i,0.00032945+0.00014629i,-0.00050433+0.0010064i,-0.00060575+0.0007581i,-0.0001004+0.00030048i,-0.00044312+0.00017043i
0.0040892-0.0012441i,0.0035274-0.0003213i,0.0020232-8.071e-05i,0.00065676-0.00086684i,-0.0012704-0.0009921i,-0.0017117+0.00021638i,0.00021794+0.00078019i,0.0013262+9.9649e-05i,0.0013277-0.00012662i,0.0013232+2.1885e-05i,0.0001184+0.00029151i,-0.00094514+0.00063653i,0.00014083+0.00034312i,0.0011406+0.00028696i,0.00037891+0.00011753i,1.2291e-05-0.00014101i,0.00074836+0.00012039i,0.00051205-4.9591e-05i,-0.00011181-0.00038659i,-2.5284e-07-0.00014702i,7.7751e-05-0.00011534i,0.00032439-0.00040651i,0.00065934-0.00039845i
-0.0016431-5.2977e-05i,-0.0025985+0.00041589i,-0.0024796+0.00073895i,-0.00066797+0.0010172i,0.00010267+0.00092538i,-0.00039325+0.00058062i,-0.00025886+0.00032161i,0.00038667-0.00017047i,0.00023583-0.00084439i,-7.462e-05-0.0015946i,0.00010862-0.0012672i,0.00031552-0.00058587i,0.00067687-0.00074854i,-0.00010162-0.0007756i,-0.00085472-0.00055668i,-0.00030188-0.00030628i,-0.00015631+2.1535e-05i,-0.00055205+0.0005262i,-0.0004225+0.00030458i,0.00022-0.0006441i,0.000471-0.00050194i,0.00012544-0.00038825i,0.00020837-0.0011764i
-0.0026118+0.0013441i,-0.0015962+0.0010066i,-0.00090344+0.0013353i,0.00014324+0.0015572i,0.0010422+0.0012973i,0.00010494+0.0013605i,-0.00013005+0.0011908i,0.00017299+0.0004214i,0.00016168+2.797e-05i,-0.00024974+0.00024169i,0.00017305+1.2743e-05i,0.0011176-0.00043342i,0.0012754-0.00031443i,0.0013741-0.0003136i,0.00081491-0.00083085i,0.00028179-0.00074343i,0.00047113-0.00013439i,4.7443e-05+0.0004468i,2.8732e-05+0.00066395i,0.00074342+0.00046137i,0.00051461+0.00015486i,-0.00066934+2.7984e-05i,-0.00059244+0.00010429i
-0.001841-0.001348i,-0.001371+0.00032858i,-0.0011751+0.0027095i,0.00066421+0.0036933i,0.0022066+0.0023875i,0.0018424+0.00050071i,0.00042264-0.00048862i,9.0032e-05-8.83e-05i,7.4257e-05+0.00045268i,-0.00040622+0.00087433i,-0.00042336+0.00088073i,-7.9898e-05+9.7658e-05i,-0.00057454-0.00030856i,-0.00018359+2.915e-05i,0.00045931+0.00063239i,0.00045296+0.00076445i,0.00027614+0.00068467i,-0.00015455+0.00022924i,-0.00041022+2.8996e-05i,-0.00065261+0.00029383i,-0.0006127+0.00051321i,-0.0004261+0.00053294i,0.0002501+0.00039552i
-4.5854e-05+0.00010257i,0.00068265+0.00029238i,0.00099774-6.12e-05i,0.00076321-0.000378i,-0.00015531-0.00055585i,-0.00069623-0.00043006i,-0.00095661+0.00010327i,-0.0010995+0.00087264i,-0.0009216+0.00080486i,-0.00067909-0.00013721i,-0.0001609+5.6046e-05i,8.419e-05+0.0002647i,0.00041979+4.1164e-05i,0.00073618+0.00067974i,0.00024539+0.00049536i,-7.9078e-05-7.175e-05i,-0.00069845-0.00029569i,-0.0012817-0.00032582i,-0.00041056+8.4247e-05i,0.00054598-8.7081e-05i,0.00083625-0.00035392i,0.00099145+0.00018594i,0.00080875+0.00068203i
-0.0012741-0.0026802i,-0.00093415-0.0026848i,-0.0015551-0.0014344i,-0.00068385+0.00015567i,0.00095138+0.0016025i,0.0011779+0.0019216i,0.00040629+0.0013872i,0.00035596+0.0012293i,0.0012078+0.00087487i,0.0013297+0.00064329i,0.00053734+0.00058202i,0.00064933+0.00075976i,0.00096096+0.0013031i,0.00097911+0.00069638i,0.00061396-0.0003534i,0.00036988+2.1982e-05i,0.00021596+0.00060423i,-0.00021023+0.00026802i,-0.00037851-0.00028369i,-0.00025407-0.00029939i,0.00011239+0.00015894i,-8.0828e-07-0.00018453i,-0.00023533-0.00059618i
-0.00062672-0.0025796i,-0.0010034-0.00047409i,-0.0018132-2.0381e-05i,-0.0019769-0.00036197i,-0.0019049+0.00029805i,-0.0017746+0.00084658i,-0.0015221+0.00056818i,-0.00059912-0.00024338i,0.000257-0.00090507i,0.0002209-0.00032209i,0.00034006+0.00033059i,0.00090892-1.7242e-05i,0.0013062-0.00047649i,0.0013792-0.0002396i,0.0010149+0.00042274i,0.00032568+0.00068132i,-0.00033679+0.00054615i,-5.1355e-05+0.00049809i,0.00028721+0.00066028i,0.00070721+0.00078116i,0.00078157+0.00049974i,-0.00024196+0.00071825i,-0.0012331+0.00023021i
0.0012776-0.0026198i,0.00034535-0.0030565i,-0.00034195-0.0016853i,-5.3091e-05+0.00038846i,-0.00040773+0.00078783i,-0.00040045+0.00068611i,0.00052344+0.0010642i,0.0010345+0.00042946i,0.00028216-0.00069226i,-0.00016601-0.00085942i,-0.0001609-0.00034993i,5.1334e-05-0.00052349i,0.00080833-0.00075435i,0.00048219-0.00060017i,1.447e-05-0.0009599i,0.00030497-0.00051143i,0.00036123+0.0005661i,-7.5223e-05+0.00066357i,0.00045408+0.00018379i,0.0015151-7.7703e-05i,0.0012666+0.00022713i,0.00044392+0.00078463i,0.00065447+0.00058312i
-7.5143e-05+0.0019539i,0.00025654+0.0034305i,0.00085351+0.0038582i,0.0018424+0.0034066i,0.0022403+0.0016847i,0.0016091-0.00019811i,0.0004287-0.00015228i,0.00010722+0.00031633i,8.4274e-05-0.00025634i,-0.00040697-0.0008276i,-7.3557e-05-0.00046837i,-0.00030993-1.9677e-05i,-0.00077701+8.901e-05i,-0.00079889-6.9933e-05i,-0.001175-0.00098226i,-0.00075653-0.00063642i,0.00040339+0.00052553i,0.00040552+0.00051268i,-0.00055422+0.00039109i,-0.0010297+0.0006549i,-0.00034068+5.1968e-05i,0.000123-0.00019425i,-0.0002215+1.3287e-05i
0.00074332-0.0026664i,0.00043793-0.0023228i,-0.00027803-0.0016724i,6.7649e-06-5.8999e-05i,0.0006745+0.00092075i,0.00055048+0.00099627i,0.00056103+0.00058482i,0.00084487+0.00020843i,0.00015636+0.00027492i,-0.00034611+0.00039889i,-0.00038305+0.00040307i,-9.2378e-05+0.00048972i,0.0001445+0.00093823i,-8.8581e-05+0.00082237i,-0.00042802-0.00028173i,-1.6512e-05-0.0008214i,-0.00015889-0.00023426i,-0.00038514-0.00013342i,-0.00035099-0.00049021i,-0.00089186-0.0005761i,-0.00095994-0.00041217i,-0.00038916-0.00069843i,-4.8007e-05-0.00040697i
0.00082275+0.00054235i,0.0012748-0.00063396i,0.00096692-0.00064361i,0.0005509-0.00079915i,0.00071693-0.0011896i,-5.7338e-06-0.00063574i,-0.00077559-7.9694e-05i,-1.2571e-05+0.00015679i,0.00061357+0.00043061i,0.00054744+0.00031044i,-3.3918e-05+0.0002391i,-0.00052829+0.00030803i,9.2681e-06+0.00059652i,-7.8752e-06+0.00044003i,-0.00053857+0.00034401i,-0.00052463+0.00057309i,-0.00024797+0.00092474i,0.00043934+0.00061937i,0.00077849-0.00044312i,0.00016273-9.9829e-05i,0.00021044+0.0011466i,0.00047503+0.0009703i,0.00042919+0.00026715i
-0.00020854-0.0005951i,-0.00070827+0.00010206i,-0.0012404+0.0014195i,0.00015605+0.0016411i,0.0012886+0.0016131i,0.00060163+0.0011149i,-0.00086319+0.00060446i,-0.00055948+0.00019104i,9.5573e-05-0.00033475i,0.00049573-0.0004084i,0.00072387+0.00026661i,0.0012997+0.0011453i,0.001487+0.0014532i,0.00091274+0.0013201i,0.00047639+0.00083144i,-1.485e-05+0.0001887i,-0.00065744-0.00030191i,-0.00046913-0.00037564i,-7.3636e-05-8.2414e-05i,-0.00069131+0.00021869i,-0.00076978+0.00055351i,5.1845e-05+0.00031911i,0.00052102-0.00036808i
1.9749e-05-0.00036613i,2.0904e-05-0.00059011i,0.00024871+0.00039569i,0.00094961+0.0015968i,0.00053694+0.0012274i,-0.00073112+0.00055684i,-0.00050216+0.00096019i,0.00016875+0.00081867i,0.00079064-0.00074925i,0.0012333-0.0007128i,0.00090563-0.00021317i,0.00047067-0.0011958i,0.00085574-0.0013928i,0.00077576-0.000605i,0.00028818-0.0004716i,-4.3843e-05-0.00089439i,-0.00020376-0.00073366i,0.00044847-8.2878e-05i,0.00059264+9.145e-05i,0.00041966+1.6326e-05i,0.00024827-0.00038125i,-0.00022971-0.00020512i,0.00044136-0.00013922i
-0.0019335-0.0029862i,-0.0026634-0.0020987i,-0.0027711-0.00077285i,-0.0019491+0.0012128i,-0.00032268+0.0029782i,0.0015109+0.0019117i,0.00084286+0.00083374i,-0.00058449+0.00019311i,-0.00047392-0.00090223i,-4.0952e-05-0.0003515i,6.2965e-05+0.00022002i,-0.00015952-7.2091e-05i,0.000126-0.00032144i,0.00032856-0.00034632i,0.00035079-0.00020693i,-2.2017e-05+0.00020872i,6.6752e-05+0.00031083i,0.00077238-0.00024737i,0.00059666-0.00058022i,-0.00056166-0.00068682i,-0.0013044-0.00030802i,-0.00076099-3.0894e-05i,-0.00035299-0.00018423i
