0.0010178-0.00089457i,0.0010548-0.0011857i,9.1367e-05-0.0024219i,-0.0008712-0.0022049i,-0.00048055-0.0011955i,-0.0001788+0.00077473i,8.7003e-05+0.0014019i,0.0016231+0.0011165i,0.0020667+0.00058398i,0.00094491-0.00025439i,0.0006995-0.0006088i,0.0011019-0.00038844i,0.0010243+0.00023039i,0.00029928+0.00049481i,-0.00031467+0.00055102i,-0.00019245+0.00039822i,-0.00058106+0.00041527i,-0.00097389+0.0010007i,-0.001005+0.00074632i,-0.00092501-0.00020029i,-0.00016394+0.00016497i,0.00066136+0.00071081i,0.00059397+0.0003039i
-0.0020812-0.00015582i,-0.00071684-0.0012719i,-0.00014801-0.00099759i,0.0010642-0.00067918i,0.0022714-0.00078457i,0.0019002-0.00053314i,0.00081223-0.00040904i,0.000848-0.00062121i,0.0011546-0.00038409i,0.00044169-0.00014684i,0.00014094-9.6378e-05i,0.00020889+2.1335e-05i,-8.5753e-05+0.00067448i,-0.00017284+0.00063881i,-0.0004053+0.00030341i,-0.00034747+0.0001264i,0.000284-2.8531e-05i,0.00063049+0.00013548i,0.00041312+0.00070266i,-0.00019225+0.0011592i,-0.0004842+0.00061759i,3.0439e-05-3.9328e-05i,-0.00037123+0.00017047i
-0.0012016+0.00057331i,-0.00073115+0.00095305i,0.00012068+0.0019432i,0.0019318+0.0027304i,0.0029668+0.0020742i,0.0029454+0.00089792i,0.0010727+0.00031226i,-9.4013e-05+0.00025696i,0.00091112+0.00054833i,0.00099454+0.001006i,-0.00021068+0.00071259i,-0.00091428-0.00028227i,-0.00095601-0.00013666i,-0.00026561-0.00012061i,0.00057963-0.00063411i,0.00028441-0.0005635i,-4.4948e-06-0.00056609i,8.2911e-06-0.00042698i,-8.4796e-05-0.00087197i,-0.00032148-0.00066192i,9.391e-05+0.00028244i,0.00036307+0.00044832i,3.7211e-05+0.0002395i
0.00063433-0.0014954i,-3.9612e-06-0.0031014i,0.00031398-0.0028365i,0.00088179-0.0015493i,0.0017788-0.00052191i,0.0023128+0.00031213i,0.0019166-0.00015018i,0.00076254-0.00073464i,-8.0275e-08-0.0007509i,-0.00027843-0.00056071i,-0.00066562-0.00050179i,-0.00075892-0.00031398i,-0.00041348+0.0002059i,1.9609e-05+0.00034853i,0.00053267-5.799e-05i,0.00015312+8.7155e-05i,0.00016368+0.0001386i,0.00033032+0.00011537i,0.00014541+0.00057951i,0.00019144+0.00041059i,0.00048651+0.00048504i,0.00084672+0.00075374i,0.00044462+0.00020911i
0.00030497+0.0013603i,0.002293+0.0014737i,0.0029561+0.0007963i,0.0032245+0.00039048i,0.0031835-0.00036869i,0.0020359-0.0010334i,0.00049722-0.0008399i,-0.00039864-0.00015946i,-0.00039223+0.0004482i,-3.5089e-05+0.00029382i,6.6709e-05-4.9248e-06i,5.4319e-05-0.00032368i,0.00068666+3.7364e-05i,0.00079846+0.00074543i,0.00046538-1.8549e-05i,0.00044603-0.00081611i,-6.5868e-05-0.00055184i,-0.00020852+0.00044345i,0.00027462+0.00075371i,0.00077593+0.00082114i,0.0012507+0.00064598i,0.00085963+1.7192e-05i,0.00038959-0.00017265i
-0.0028526-0.00026968i,-0.0030161+0.0015586i,-0.0023462+0.0024447i,-0.00075248+0.0021532i,0.00017387+0.00066375i,3.9935e-05-0.00038552i,-0.0002926+0.00028344i,-0.00013404+0.0006326i,-0.00050396+0.00061263i,-0.00028197+0.00058028i,0.00055008+0.00026938i,0.00055363-0.00022915i,0.00055013-5.8034e-05i,0.00058937+2.2979e-05i,0.00010764-0.00036732i,-0.00032564-0.0003088i,0.00022696+8.9482e-05i,0.00010096+0.00042365i,-0.00060314+0.00012303i,0.00010455-0.00042239i,0.00097486-0.00026366i,0.00024662+0.0004742i,-0.00042013+0.0010111i
-0.0011486+6.928e-05i,-0.0010905-0.00070059i,-0.00063016-0.0014564i,7.9612e-05-0.0017906i,0.00047462-0.00099333i,0.00045044-0.00099217i,0.00039816-0.00096092i,0.00095558-0.00011274i,0.00049957-0.00013231i,-0.0001458+0.00033892i,-9.0769e-05+0.000744i,0.00020293-7.969e-05i,0.00063331-0.00029514i,0.00067618+1.3574e-05i,0.0004134+0.00011415i,-0.00022145+8.1727e-05i,-0.00035521-0.00070422i,4.6332e-05-0.0012874i,-0.00024626-0.0010342i,-5.0831e-05-0.00074225i,0.00057994-0.00046914i,0.00070426-2.5687e-05i,0.00028697-7.2535e-05i
0.0010846-0.00025113i,0.00055776+0.00051168i,-1.4218e-05+0.001169i,9.3409e-05+0.00060286i,0.0011073-0.00067033i,0.00075516-0.00074972i,3.278e-05-0.00079014i,0.00043536-0.00077643i,0.0014367+4.4597e-06i,0.0009095+0.0004158i,0.00033811-0.00045727i,1.5946e-05-0.00041954i,-0.00070762+0.00010561i,-0.0013498+0.00044367i,-0.0007937+0.00014363i,1.0779e-05-0.00022468i,-4.7605e-06-0.00013446i,0.00025401-8.3823e-05i,0.00015571+0.00013808i,-0.00035129-6.5151e-05i,-0.00049201-0.00051129i,5.782e-05-0.00045548i,9.2136e-05-0.00018131i
-0.00023643+3.9199e-05i,-0.00022796+0.00013595i,0.00088985-1.7652e-05i,0.0023241-0.00040848i,0.0030207-0.00038437i,0.0025666-0.00043443i,0.0018023-0.00036156i,0.0010112-0.00057623i,0.00048798-0.00029502i,0.00033558+0.00026618i,4.7703e-05+0.00021899i,-0.00018263-0.00017658i,-0.001065-0.00094123i,-0.00096247-0.00099726i,-0.00017549-0.00038377i,-0.00058495-0.00023229i,-0.00069739-0.00032665i,0.00018592-0.00018239i,-0.00015936+0.00015206i,-0.00074455-0.00019668i,-8.3322e-05+1.9251e-05i,-0.00030453+0.00079207i,2.1699e-05+0.00050726i
0.00084804+0.0013373i,0.00056709+0.0016044i,0.0027619+0.0015449i,0.0036604+0.00027133i,0.0019432-0.0010229i,0.00050934-0.001599i,7.8126e-05-0.00054315i,0.00015647+0.00012464i,0.00033697-6.1513e-05i,0.0002424-0.00043515i,4.119e-06-0.0003305i,0.00022219+0.00019582i,0.00048259+0.0008378i,6.9229e-05+0.00055837i,-0.00032267+0.0002573i,0.00018171+0.00098546i,0.00018788+0.00079231i,0.00049898-0.00020069i,0.00085838-0.001204i,0.00094091-0.0014155i,0.00049255-0.00024696i,-0.0001978+0.00070131i,-0.00012146+0.00095491i
0.0016596-0.00038683i,0.0013015-0.00035549i,0.00047141-0.0015912i,0.00013295-0.0030414i,0.00020378-0.0027752i,0.00058323-0.0016068i,0.00072232-0.00068393i,0.00038582-9.6656e-05i,0.00035122-0.00034208i,0.00085873-0.0010259i,0.00036016-0.0013888i,-0.00062287-0.0014283i,-0.00019527-0.00091441i,0.00095915-0.00030225i,0.001243-0.00035587i,0.00015027-0.00015153i,-0.00055096+0.00030307i,0.00016492+0.00012366i,0.00078795-0.00041034i,0.00047072-0.00070633i,-0.00042877-0.00036383i,-0.00036415-0.00035176i,-0.00015714-0.00078543i
-0.00051988-0.00021634i,-0.00020926-0.00016616i,0.00030969+0.00087098i,0.0017143+0.0019954i,0.0018127+0.0015306i,0.00093965-0.00022271i,0.00085493-0.0010569i,0.00086225-0.00040134i,0.00024974+0.00015446i,-0.0003084-4.7671e-05i,0.00010591-0.00059302i,0.00088792-0.0011092i,0.00092587-0.00083769i,0.00053036-0.00063578i,0.00015364-0.00079357i,-0.00029291-0.00075735i,-0.00061958-0.00086869i,0.00014278-0.00025049i,0.00080423+0.00088403i,0.00023965+0.00086305i,-3.4531e-05+0.00043579i,-0.00020621+5.8547e-06i,-0.00027664-0.00016567i
-0.00025347-0.001126i,-0.00030918-0.00082497i,7.4564e-05-0.00070953i,0.00064936+0.00011026i,0.0015302-1.3124e-05i,0.00093253-0.0006297i,0.00063521-0.00051618i,0.00065989-0.00011571i,0.00027167+6.1736e-05i,-4.0506e-05-0.00063594i,0.00021895-0.0009155i,0.00030458-0.00055871i,0.00031872-0.00013057i,0.00032851+0.00010873i,0.00011842-0.00022816i,0.00013757-0.0002118i,0.00016269-3.5376e-05i,-0.00036071-0.00016514i,-0.00050483-4.1678e-05i,-0.0002624+0.00035115i,-0.00015806+0.00029647i,9.7562e-05-0.00053542i,-9.691e-05-0.00042542i
-0.00016158+0.0018915i,-0.00036731+0.0010875i,0.00033671+0.00028306i,0.0022656-0.00036654i,0.0029026-0.00071842i,0.001861+0.00021894i,0.00058474+0.00026476i,0.0001651+0.00048099i,0.0004184+0.00088322i,0.0012311+0.00045596i,0.0011991-4.3839e-05i,1.5979e-05-0.00023906i,-0.0012147+0.00020162i,-0.0015665-9.7662e-05i,-0.00023696+0.00011321i,0.00036623+0.0005607i,-0.00068714-8.9045e-05i,-0.00068924-0.00046676i,-0.00040596+0.00020084i,-0.00049624+0.0010438i,-0.00020225+0.00067317i,-0.00055415+3.0257e-05i,-0.00039496+0.00046407i
0.0011004-0.00096347i,0.0018939-0.0021307i,0.0011221-0.0019939i,0.0006386-0.001144i,0.0011755-0.0012824i,0.0014395-0.001788i,0.0019248-0.0011169i,0.0020614-0.00021893i,0.00097312-9.2022e-06i,-7.1012e-05-0.00021217i,-8.5266e-05-0.00017183i,-7.2212e-05-6.2131e-05i,-0.00041532+7.352e-05i,-0.00011632+0.00046097i,-0.00020481+0.00026863i,-0.00055958-0.00023018i,0.00013076+7.5994e-05i,0.0001187+0.00079243i,-1.479e-05+0.001019i,0.00043889+0.0010468i,0.00013612+0.00146i,0.00022179+0.0017902i,0.00022892+0.0015181i
0.0014512-0.0019594i,0.0013543-0.0019523i,0.00090666-0.0020679i,0.00038816-0.0012014i,-0.00036794+2.3085e-05i,-9.5517e-05-0.00017423i,0.00048234-7.8969e-05i,0.00092907-2.4512e-05i,0.00057307+1.3616e-05i,-0.00015877-8.141e-05i,7.1626e-05-0.00031711i,0.00058827-0.0002812i,0.00044297-0.00012304i,0.00041689-5.6439e-05i,0.00058427-9.0358e-05i,0.00021497+3.6166e-05i,0.00018282-0.00024564i,0.0002141-0.0007897i,0.00016327-0.00054145i,-6.383e-05+0.00031482i,-0.0001296+0.00019452i,0.00051915-0.00026228i,0.00016612-0.00044368i
5.8529e-05+0.0018437i,-0.00028652+0.0011659i,-3.4628e-05+0.00069109i,-0.00060352+0.00071064i,5.5271e-05+0.00068443i,0.0011245+0.00051855i,0.00073965+0.00030873i,2.784e-05-0.0001947i,-0.00068625-0.0008785i,-0.00097846-0.00050289i,-0.0001614+0.00048459i,0.0003025+0.00079938i,0.00045659+5.444e-05i,0.00048123-0.00021308i,0.00017622-0.00041791i,0.00062069-0.00056609i,0.00056893+0.00032244i,-8.8288e-05+0.0012407i,0.00020907+0.00048338i,0.00019185+0.00041116i,-0.0011215+0.0011483i,-0.0013337+0.00029215i,-0.00046235-0.00051424i
6.0294e-05-0.0005047i,0.0006907+0.00030655i,0.0017166+0.00076938i,0.0023664-0.00059081i,0.0015465-0.0018457i,0.00096126-0.0016629i,0.00041888-0.00059456i,0.00030161+0.00043704i,0.00087027+0.00051292i,0.00066007-0.00066214i,0.0004558-0.0010105i,0.00024083-0.00019166i,0.00011516+0.00054192i,0.0003418+0.00067909i,0.00050114+0.00024244i,0.00052503-0.00042977i,0.00093192-0.00052175i,0.00036-0.00017179i,-0.00042455+1.563e-05i,-0.00037283-0.0001107i,-0.0002685-0.00059271i,0.00031334-0.00063413i,-4.3052e-05-0.0001338i
0.0012199+0.00022952i,0.0015469-0.00038591i,0.0013836+7.3348e-05i,0.0021764+0.00039256i,0.0022914-0.00062333i,0.0020563-0.0012634i,0.0014973-0.00034018i,0.0011485+4.7648e-06i,0.00086934-0.00010218i,0.00057734+0.00028463i,0.00059627+0.00032081i,0.00057222-2.67e-06i,0.0004002-0.00041222i,-0.00054341-0.0006758i,-0.0015742-0.00035496i,-0.00066928-0.00016988i,0.00017198-0.0002003i,-0.00074657+0.00049601i,-0.0010813+0.00078097i,-0.0004536+0.00085337i,0.00022569+0.00041717i,0.00063952+0.00028594i,0.0010443+0.00022185i
0.00085878-0.0019834i,0.0012144-0.0016136i,0.001301-0.001674i,0.0013517-0.0015398i,0.0014543-0.00081053i,0.00088313+0.00032789i,0.00018551+0.00089572i,-0.00039968+0.0010824i,-0.00052867+0.00026428i,-0.00057559-0.00033786i,-0.00041212+0.00017864i,-0.00010394+0.00035929i,0.00015437-6.575e-05i,0.00033342+5.908e-05i,-0.00020669+0.00053686i,-0.00016312+5.36e-05i,0.00016886-0.00045408i,0.00023398-0.00089159i,0.00025703-0.0007046i,0.00014696+4.0976e-05i,2.9183e-05-1.6348e-05i,0.00023126+8.1934e-05i,0.00025523+0.00034191i
-4.383e-05+0.0013882i,-0.00072685+0.0014693i,-0.00066748+0.00095468i,0.00058703+0.0011535i,0.0018285+0.00087022i,0.002167+0.00040479i,0.0012906+0.00055805i,3.2916e-06+8.6613e-05i,1.9889e-06-0.00010493i,0.00065363-1.2045e-05i,0.00026349-0.00031749i,-0.00059946+0.0001121i,-0.00087454+0.00081097i,-0.0006508+0.00045271i,-0.00011946-2.3857e-05i,0.00032532+0.00020798i,0.00052288+0.00015465i,0.00039002-0.00013812i,-5.6541e-06+2.665e-06i,-0.00032085+0.00040905i,-0.00020718+0.00031327i,-0.00025809+0.00029224i,-0.00081637+0.00020604i
-0.002999-7.894e-05i,-0.0014711-0.00012113i,-4.1367e-05-0.00030598i,0.00065233-0.00038396i,0.0012883-0.00080895i,0.0010464-0.00098702i,0.00034946-0.00019509i,-0.00041761+0.00030817i,-0.00039492-0.00014559i,-8.9967e-05-0.000933i,0.00031264-0.00055141i,0.00066785-2.5553e-05i,0.00014995-0.00079165i,0.00069639-0.0014477i,0.00072254-0.00048341i,-3.4585e-05+7.4289e-05i,-0.00023808+0.00029385i,-0.00062119+0.0007291i,-0.00062017+0.00015388i,-0.0008048-0.00067974i,-0.00067012-0.00038777i,0.00023177-5.5478e-05i,0.00066054+8.4125e-05i
0.0026105-0.00049507i,0.0020843-0.00039104i,0.0010081-0.00098878i,0.0012211-0.001139i,0.0016583-0.00078672i,0.00070778-0.00027241i,0.00013983-0.00032677i,3.2182e-05-0.00034845i,-0.00012608-0.00014211i,0.00048614-0.00010401i,0.00093439+0.00013072i,7.6375e-05-0.00012931i,-0.00082041-0.00013676i,-0.00062681-0.00015955i,-0.00027619-0.0006508i,0.00019806-0.00076211i,0.00075062-0.00024533i,0.00044945-7.3721e-05i,-0.00020501-0.00035963i,-0.00011698-7.813e-05i,0.00039856-0.00029686i,2.8936e-05-0.00053123i,-6.6878e-05-0.00042973i
-0.00017402+0.00092836i,0.00020749+9.8226e-05i,0.0005168+0.00072317i,0.00090792+0.0018049i,0.0011201+0.0014427i,0.00079529-3.4624e-05i,7.972e-05-0.00041341i,0.00051873+0.00014086i,0.00074557-0.00019116i,0.00045476-0.00057341i,1.3806e-06+0.00064418i,0.00010827+0.0010636i,2.7212e-05+0.00015461i,-0.00023465-6.4047e-05i,0.00023756+0.00025918i,0.00011934-5.561e-05i,-0.00010045-0.00019909i,-0.000336+0.00042125i,-0.00013004+0.00025044i,0.0001539-0.00010473i,-0.00010956+0.00012656i,-0.000812-0.00031369i,-0.0011044-0.00092304i
-0.00091453+0.0012295i,-0.0016762+0.00072676i,-0.0012528+0.00014226i,0.00074395+0.00030901i,0.0015414-0.00063968i,0.001548-0.0012584i,0.0014755-0.00051575i,0.00078704-4.9456e-05i,7.9799e-05+0.00059695i,-0.00037815+0.0013256i,-0.00055302+0.001002i,-0.0011007+4.8254e-05i,-0.0015532+0.00021467i,-0.00042346+7.2188e-05i,0.00068367-0.00044124i,0.00089443-0.00056028i,0.00075458-0.00037274i,0.00021507-0.00012615i,-0.00037749-0.00034641i,-0.00010154-0.0010234i,-0.00015501-0.0010577i,-0.00057358-0.00039891i,-0.00056209+0.00037998i
-0.0024538-0.00032886i,-0.0012938-0.00022895i,-0.0013749+0.0016351i,-0.00056476+0.0025554i,0.0014512+0.0013473i,0.001914-0.00088072i,0.0010508-0.001125i,0.00058114-3.5246e-05i,0.00080237+0.00042464i,0.00092407+0.00089045i,0.00024788+0.00079165i,0.00040096-0.00011359i,0.00012619-0.001037i,-0.00043085-0.0013229i,-0.0007141-0.0014554i,-0.00099421-0.00072802i,-0.00061002+0.00077102i,0.00019371+0.00083373i,0.00080168+0.0004827i,0.00068461+0.00039196i,0.00026339+8.1295e-05i,9.2688e-05-0.00057006i,-7.7985e-05-0.00070615i
-0.00051326-0.0006634i,0.00010828-0.00081258i,0.00022337+0.00027296i,0.0010052+0.0012793i,0.0018335+0.0012449i,0.0018043+0.00060349i,0.00071745+0.0004189i,0.00017042+0.00023704i,0.00040469+0.00049373i,0.00037944+0.00031629i,0.00040675+2.2492e-05i,0.00055376+0.00033499i,0.0001463+0.00052846i,-3.5739e-05-5.006e-05i,-8.2119e-05-0.00019773i,0.00037547+0.00058974i,0.00050979+0.00032581i,-0.00061101-0.00049845i,-0.00052025-0.00043902i,-0.00010871-0.00012897i,0.00055067+0.00010531i,0.00044376-0.00033577i,-3.7707e-05-0.00054289i
0.00010704+0.00022483i,0.00064701+0.00097815i,0.00010811+0.00019477i,-0.00033403+0.00031351i,0.00015206+0.00065782i,0.0015656+0.00084894i,0.0016461+0.0013033i,0.00079095+0.00067393i,6.508e-05+9.9083e-05i,-0.00018076+0.00010243i,0.00013351+0.0001513i,0.00062614+0.0003449i,9.5458e-05+0.00048366i,-0.00011346+0.00034223i,-0.0001359+2.9695e-05i,-0.00098933-5.3338e-05i,-0.00062786+0.00025165i,-0.00027786+0.00027871i,-0.00065593-2.5149e-05i,-6.4061e-05+0.00015224i,0.00047335+0.00076419i,0.00029286+0.00082629i,-0.00020183+4.6808e-05i
-0.0019818-0.00046843i,-0.0017989-0.0012835i,-0.0012436-0.00075141i,0.00027577+9.3994e-05i,0.001458-0.00012232i,0.0018068-0.00079604i,0.00097791+5.7158e-05i,0.00014802+0.00085066i,0.00036773+0.00080536i,0.00024882+0.00086649i,-8.9577e-06+0.00042002i,0.00043-0.00021451i,0.00033224+0.00058774i,0.00035253+0.0012072i,9.8489e-05+0.00049911i,-0.00028655-0.00034863i,-6.8837e-05-0.0008923i,0.00034833-0.0010001i,0.00033068-0.00020945i,0.00011897+5.6022e-05i,6.7699e-05-0.00046975i,-0.00018334-0.00072434i,-0.00026832-0.00085187i
0.001203-0.000897i,0.0024282-0.00086072i,0.0022961-0.00082352i,0.0021956+0.000421i,0.0018661+0.00036454i,0.00034374-0.00075599i,-0.00076753-0.0012412i,-0.00064956-0.00031118i,-0.00030314+5.7993e-05i,4.7734e-05-0.00050635i,-0.00015937-0.00077855i,-0.00068401-0.00056959i,-0.00049682-0.00052359i,0.00016639-0.00048463i,0.00036563-0.00021272i,-1.2775e-05-0.00031834i,-7.4989e-05-0.0010317i,1.6845e-05-0.0014449i,0.00015113-0.0010021i,0.00083506-0.00022462i,0.0010673+0.00050274i,0.00039495+0.0008237i,-0.00025931+0.0009365i
0.0012175+0.00032651i,0.0011212-0.00023836i,0.00031027-0.0003355i,-0.00060911-0.00058558i,0.00015281-0.00096225i,0.00033943-0.00037604i,-0.00013414+0.00021383i,0.00022447+0.00049136i,0.00074471+0.00037987i,0.0009307+9.0765e-05i,0.00055519+0.0003249i,-0.00029846+0.00051105i,-0.00072676+4.5222e-05i,-0.00067854-0.0009339i,-0.00051037-0.0012156i,-0.00012499-0.00050184i,0.00038125-5.8152e-05i,0.0002048+5.6408e-06i,-0.00032318+0.00032668i,-0.00022775+0.00044276i,-0.00048218+0.0003484i,-8.6954e-05+0.00033574i,0.00043597+0.00020606i
0.001966+0.00057461i,0.0022386+0.0007266i,0.0016414-0.0004055i,0.0012166-0.0013311i,0.0017631-0.00095619i,0.0012756-0.00053677i,2.0913e-05-6.5625e-06i,0.00027526+2.2781e-05i,0.00086189-6.5275e-05i,0.00070149-0.00034894i,0.00029407-0.00064658i,0.00041863-0.00030476i,0.00040742+0.0007032i,0.00047581+0.0009485i,0.00032158+0.00021978i,-0.00019187-0.00016598i,-0.00042984+9.5911e-05i,-0.00093765+5.0698e-06i,-0.00122-0.00096656i,-0.00027164-0.0013618i,0.0001415-0.0009591i,0.00038452-0.00018589i,0.00014265+1.5448e-05i
0.00016115-0.00096034i,0.00010616-0.0018461i,-0.00053384-0.0018256i,-0.00031779-0.0011441i,0.00019555-0.00076494i,-0.00054302-0.00056793i,-0.00058995+0.0002074i,-0.00036744+0.00060924i,-0.00014708-0.00056186i,-0.00060556-0.00071332i,-0.00046402-0.00050785i,0.00012341-0.00054695i,0.00031798+0.00037849i,-0.00012562+0.0014117i,-0.00073611+0.00082029i,-0.00088409+0.00021988i,-0.00046425+0.00031778i,-0.00071011-0.00014994i,-0.00074476-0.0003985i,-0.00039714-0.00055284i,-0.00064506-0.00023103i,-0.00083742+0.00040139i,-6.5933e-05+0.00048203i
