0.0015738-2.8016e-05i,0.00033504-0.0013483i,-0.00082096-0.002293i,-0.0010804-0.0017047i,-0.0011227+0.00027437i,-0.0010955+0.0013173i,-0.00058037+0.00086122i,-0.00010134+0.00064135i,-0.00044094-1.9533e-05i,-0.0005817-0.0009359i,-0.00013017-0.00086543i,-0.00081058-0.00025106i,-0.0011237+0.00015107i,0.00042787-1.0664e-05i,0.00097507+0.00013073i,0.0010543+0.00047936i,0.0010779+0.00071147i,0.00029155+0.00056252i,0.00026288+0.00022801i,0.00074085+0.000153i,0.0007349+0.0002064i,0.00067847+8.8281e-05i,0.00116-0.00068429i
-0.00011161+0.0023261i,0.0013213+0.0026944i,0.0027177+0.0015335i,0.0023087+0.00041625i,0.0012362-0.00043927i,0.00094026-0.0011019i,0.00079736-0.0013063i,0.0002139-0.00052331i,-0.00047346+0.00059405i,-0.00034995+0.00072014i,0.00022955+6.086e-05i,0.00026853+0.00019745i,-0.00024629+0.00038934i,-0.00014013+0.00022905i,0.0002379+0.0010216i,0.00018454+0.00098076i,0.00021786-0.00021384i,-0.0004121-0.0006423i,-0.00092195-0.00031552i,-0.00045022+0.00037587i,0.00012812+0.00068386i,0.00061953+0.00086438i,0.00079496+0.0002941i
0.00013655+0.00011081i,0.0011353-0.0004927i,0.00082119-0.00028917i,-0.00027468-0.00046858i,-0.00074091+0.00022918i,-0.00061508+0.000595i,-0.00021531+0.00043028i,-0.001074+0.0005778i,-0.0010079+0.00048903i,-0.00041289+0.00034208i,-0.00058416+0.00045205i,-0.00038514+0.00065667i,-4.9807e-05+0.00050461i,-2.0917e-06+0.00034732i,0.00012539+0.00063213i,0.0006643+0.00042348i,-5.3901e-06-0.00011578i,-0.0016849-0.00093228i,-0.0023425-0.0014398i,-0.0011909-0.00029778i,-0.00028027+0.00072435i,-0.00051014+0.00072587i,-8.9398e-05-0.00026099i
-0.00037068+0.00050819i,-4.3405e-05+0.00090875i,-0.00031555+0.001086i,-0.00091397+0.00082623i,-0.00075396+0.00054801i,-0.0004868+0.00014974i,-0.00085596-0.00042143i,-0.001094-0.00031238i,-0.00082278+6.2269e-05i,0.0001441-0.00032467i,0.0012732-0.00019715i,0.0010318-7.4771e-05i,3.713e-05-0.00014301i,-0.00013641-0.00042817i,-0.00038364-0.00043464i,-0.001049+0.00020215i,-0.0011615+0.00046407i,-0.00036722+0.0005016i,0.00023683+0.00043464i,0.00014504+6.6452e-05i,-0.00017157+0.00012284i,-0.00040334+0.00050957i,-0.0003439-0.00014878i
-0.00035638-0.0035497i,-0.0003626-0.0041535i,-0.0011207-0.0030249i,-0.0011827-0.0011973i,-0.00075387-7.8546e-05i,-3.4589e-05-0.00066698i,-0.00049924-0.00060344i,-0.00073025+0.00011141i,-0.0002581+0.00023313i,-0.00073428+0.00076876i,-0.00039876+0.00092657i,3.5786e-05+0.00024062i,-0.00022884+7.8517e-05i,0.00024454+2.2338e-05i,0.00095237-7.9993e-05i,0.00074913+0.0004484i,-0.00016996-3.3994e-05i,-0.00067311-0.0007855i,-0.00119-0.00033191i,-0.001444+0.00065498i,-0.00063994+0.00027755i,0.00042904-0.00037767i,0.00087727-1.641e-05i
-0.0023473-0.00089716i,-0.0028769+0.00035054i,-0.0027403+0.0014314i,-0.0012426+0.0023787i,0.00017057+0.0023179i,0.0005363+0.0011426i,0.00044035+0.00011426i,0.00026692+0.00012176i,-0.00016781+0.00062288i,9.8251e-05+0.00085383i,0.00057361+0.00086051i,0.00068861+0.00098666i,0.00094242+0.00073979i,0.0013332-0.00075036i,0.0014837-0.0014681i,0.00031525-0.00068056i,-0.00097448-0.00059088i,-0.00077168-0.0012492i,-0.0007185-0.00056038i,-0.0011445-5.8552e-05i,-0.00066057+0.00027791i,0.00013567+0.0011391i,8.542e-06+0.00070509i
0.00046997-0.0021357i,-0.0001645-0.0030521i,-0.00055562-0.0027953i,-0.00090877-0.0016235i,-0.00036469+6.2488e-05i,-8.3497e-05+0.00099734i,-0.00064538+0.0007955i,-0.00093388+0.000647i,-0.0011968+0.00068111i,-0.0003571+0.0006508i,0.00025353+0.00046647i,-3.1882e-05+0.00030681i,0.00022398+0.0003233i,0.00045619+0.00060957i,0.00057214+0.00048869i,0.00019569+0.00022054i,-0.00041661+0.00028801i,-0.00054608+0.00038866i,-0.00030686+0.00064064i,-0.00025922+0.00059072i,-0.00019335+0.00031908i,-0.00015896+0.00022964i,-0.00062619+3.5807e-05i
-0.000225+2.5082e-05i,-0.00011597+0.00025111i,-0.00029217+0.0014195i,0.00043956+0.0013373i,0.0017551+0.0012257i,0.0011117+0.00050495i,0.00012307-9.3676e-05i,-0.00041276+0.0002023i,-0.00033802+0.0001284i,5.3842e-05+0.00014607i,-0.00017659+0.00019727i,-9.9887e-05-4.8691e-05i,0.00062761-0.00015925i,0.00059693-0.00056097i,0.00043368-0.00073682i,4.0346e-05-0.00016233i,-9.3768e-05+0.00036976i,0.00034115+0.00045111i,0.00064673-0.00031422i,0.00066111+4.5758e-05i,0.00089918+0.00033099i,0.00045565+0.00012667i,0.00012296+0.00014817i
0.0005894+0.00063512i,0.00074951+0.00064954i,-0.00018215+0.00098189i,-0.0012589+0.00061509i,-0.00063526+0.00041749i,-0.00010977-0.00038035i,-2.6352e-05-0.00096004i,-0.00081627-0.00074804i,-0.0015954-3.4606e-05i,-0.0012697-4.1526e-05i,-0.00014054-0.0001917i,0.00021079+2.6608e-05i,-0.00017221+0.00080999i,-0.00084361+0.0010797i,-0.00098853+0.00019929i,-0.0007984-0.00016598i,-0.00085922-7.67e-05i,-0.00077356-0.00029996i,-0.00058531-0.00051634i,0.00023223-0.00021344i,0.00048531+0.00018068i,-1.1811e-06+0.00036489i,-0.00012561+0.00046183i
0.0022157+0.0001399i,0.0023078-0.00095332i,0.0025742-0.0017176i,0.0017631-0.0010125i,0.00096543-0.0011702i,0.00067798-0.00062485i,-0.00038813-0.00014518i,-0.00077306-0.00057439i,-0.00090144+0.00016445i,-0.00083231+0.00088562i,-0.00060171+0.00060099i,-0.00034734+0.00011671i,0.00034806+0.0005279i,0.000343+0.00077622i,4.7077e-05+0.00013448i,0.00031995-0.00030554i,0.00049794+0.00033122i,-4.9838e-05+0.00048655i,-0.00017236-0.00028554i,0.00078994-0.00073262i,0.0015761-0.00025038i,0.001653+0.00040697i,0.0010106+0.00095982i
-0.00014473-0.0016327i,0.00028629-0.0019354i,0.00052026-0.00096911i,-0.00037474-0.00030976i,-0.0010159-0.00046248i,-0.00052604-0.00016003i,-0.00054775-3.7833e-05i,-0.00034327-9.3673e-05i,-0.00068446+8.5655e-05i,-0.00023018+0.00033702i,9.0042e-05+0.00029888i,0.00021371-0.00011052i,0.0013071-0.0001229i,0.0013514-0.00039216i,-0.00011194+0.00022253i,-0.00081954+0.00061839i,-1.0204e-05-3.1516e-05i,-4.3525e-05-0.00048942i,-0.0005652-0.00098453i,0.00015528-0.00071277i,-1.5986e-05+0.00032434i,-0.00099001+0.00086758i,-0.00053087+0.0009694i
-0.00039935+0.00054076i,-0.00023862+0.00086994i,0.0017833+0.00041441i,0.0033718-6.703e-05i,0.002443-0.0012098i,0.0015019-0.0023522i,0.00088745-0.001411i,-6.2604e-05-0.00070898i,-0.00088534-0.00046854i,-0.0014165-0.00055115i,-0.00078781-0.00072541i,-0.00071551+3.1181e-05i,-0.0011006-0.00012765i,-0.00040496-0.00084699i,-0.00017274-0.00045894i,-0.00049057+6.3719e-05i,-0.00061591-9.4392e-05i,-0.00057527+0.00029358i,0.00042209+0.00050679i,0.00079976-3.4536e-05i,0.00068609+0.00017746i,0.00074482+0.00045118i,0.00076422-0.00041677i
0.00036544-0.00016029i,-3.0157e-05+0.00022595i,-0.00013018+0.00059138i,0.00047982+0.00014606i,-0.00024084+0.00072937i,-0.00090111+0.0020786i,-0.00048854+0.0014534i,0.00026982+0.0011092i,0.00043407+0.0021619i,0.00032683+0.0018505i,0.00019749+0.00060986i,0.00054688-6.5902e-05i,0.001139-7.1723e-05i,0.00096096+5.3151e-05i,0.00050757+0.00047891i,-0.00055336+7.0895e-05i,-0.0012475-0.00093512i,-0.0007301-0.0011069i,-5.5426e-05-0.00080361i,-0.00032515-0.00039983i,-2.2554e-05-0.0005995i,0.00063123-0.00023926i,0.00036362+0.00031482i
8.1492e-05+0.0006115i,0.00092158+0.001061i,0.0013587+0.00082793i,0.0008695+0.00016478i,0.00055561+0.00031443i,0.00021251-8.025e-05i,-0.00092081-0.0011268i,-0.0011432-0.00088721i,-2.6815e-05+0.00036895i,0.00037172+0.0010901i,-0.00030347+0.00042708i,-0.00020732-0.00048881i,-0.00024261-0.00037346i,-0.00067285-0.0008744i,7.9515e-05-0.00092229i,9.9706e-05-0.0005089i,-0.00028167-0.00089374i,-0.00014214-0.0011788i,-0.00047347-0.0011691i,-0.00054949-7.2134e-05i,-0.00019228+0.00069067i,-0.00027532+0.0010474i,-0.0001371+0.0010101i
-0.0018838-0.00027668i,-0.0012971+0.00048825i,-0.0020727+0.00092674i,-0.0023601+0.00057558i,-0.00052822+1.9844e-05i,0.00083299+0.00041371i,0.00017988+0.00056604i,-0.00063113+1.7781e-05i,-0.00060778+0.00041096i,-0.00091931+0.0004408i,-0.0014128+4.1621e-05i,-0.00090041+0.00012195i,-0.00055347+7.446e-05i,-0.00037509+0.0003913i,0.00044322+0.00049924i,0.0016142+0.00066942i,0.001615+0.0012401i,0.00024118+0.00080537i,-0.00047942-4.4918e-06i,-0.00067099-0.00022729i,-0.00045091-4.5323e-05i,-0.00032563-0.00043885i,-0.00040133-0.00040884i
-0.0029309+0.0010005i,-0.0027087+0.0013513i,-0.0028574+0.0020143i,-0.0015449+0.0023487i,0.00019667+0.0032628i,0.00076528+0.0022342i,0.00080444+0.00056191i,0.00015093-0.00014009i,-0.00031252-0.00020416i,-0.00025479+0.00066046i,-0.00034184+0.00081135i,2.2116e-05-0.00039907i,8.2247e-05-0.00096752i,9.6129e-05-0.00077123i,0.00048636-0.00043778i,0.00063507-0.00050413i,0.00014039-0.00083791i,-0.00018162-0.00083013i,-0.00025362-2.1039e-05i,-0.00048218+0.00069146i,-0.00033286+0.00058292i,0.00035415+0.00048068i,0.00056916+0.00062025i
0.00059627-0.00096328i,0.00033712-0.00065627i,0.00052035-0.00027467i,0.00020791-0.0010411i,0.00020087-0.0011942i,-0.00031364-0.00022633i,-0.0004939+0.00018585i,-2.5359e-05+0.00026463i,-0.00069233+0.00071016i,-0.0013498+0.00067564i,-0.0011123+0.00031539i,-0.0004071-0.00018701i,0.0001148+0.00027753i,9.5604e-05+0.00055642i,0.00049078-0.00011468i,0.00062232-0.00050114i,-0.00024373-0.00098684i,-0.00068729-0.00095053i,-0.00055748-0.00014909i,-0.00050273+0.00014899i,-0.00038924+0.00028714i,-0.00045133+0.00037257i,-0.00017929+0.00057616i
0.00058176+0.0015379i,-0.00041021+0.0018601i,-0.00026115+0.002037i,0.00045934+0.0021647i,0.0004781+0.001055i,0.00049737-0.00031823i,2.0355e-05-0.00069689i,-0.0010146-0.00042305i,-0.00096549+0.00028874i,-0.00081421+0.00086254i,-0.00096254+0.0008168i,-0.00086055+0.00033134i,-4.5292e-05-0.00033167i,0.00063338-0.00025961i,0.00028021+0.0001616i,-9.3637e-05+0.00049955i,0.00024576+0.00017743i,0.00075415-0.0002983i,-5.1734e-05-0.0002579i,-0.00070401-0.00017291i,6.8179e-05-0.00035587i,0.00090091-0.00026355i,0.00040568+0.00030127i
-0.0013151+0.00067594i,-0.0020643+0.00078388i,-0.0020175+0.0013811i,-0.0017095+0.0014324i,-0.0009938+0.0013901i,0.00026223+0.0014115i,0.00071261+0.00041399i,-0.00048157-0.00044359i,-0.0013621-6.9862e-05i,-0.0010816+0.00020283i,-0.00082174+0.00046049i,-0.00045831+0.00045524i,3.8898e-05-0.00030675i,-0.00010625-0.00027388i,-9.4372e-06+3.5386e-05i,0.00070176-0.00032667i,0.00038345+2.8561e-05i,-0.00036801+0.00010857i,-0.00053505-0.00041925i,-0.00020054-0.00085434i,0.00045744-0.00079208i,0.00076413-0.00027194i,0.00036785+0.00033332i
-0.00064608-0.0012787i,-0.00024107-0.00018294i,0.00010435-0.00029914i,0.00056883-0.00021516i,0.0011228+0.00015724i,0.0013022+1.8827e-06i,0.00031707-0.00030908i,-0.0011067-0.00059135i,-0.0006984+0.00032291i,-0.00035891+0.0012959i,-0.00048544+0.0013739i,-0.00024659+0.0013759i,-3.6426e-05+0.00089084i,0.00018883+0.00022984i,0.00026742-0.00038719i,0.0005072-0.00082032i,0.00032082-0.00088288i,-5.9846e-05-0.00038017i,-0.00015358-0.00020886i,0.00037332-0.00043682i,0.00058286-6.033e-06i,-0.00037787+0.00054618i,-0.00060839+0.00054485i
-0.0016232-0.0019694i,-0.0015585-0.0016343i,-0.002175-0.00093512i,-0.0014787+0.00033881i,-0.0011336+0.0014133i,-0.0005525+0.00079712i,-0.00047217-0.0003232i,-0.00085639-0.00047759i,-0.00095765-0.00015264i,-0.00068299+0.00055215i,-5.559e-05+0.0012848i,0.00013262+0.00039044i,-4.4825e-05-0.00032582i,0.0001266-0.0001579i,0.00030993-0.00024609i,0.00028012-0.00028139i,-0.00015129-0.00020761i,-3.7728e-06-0.00060775i,7.2644e-05-0.00047227i,-0.00082343+0.00016762i,-0.00079387+0.00092515i,-0.00031608+0.0010229i,-0.00016639+0.00025726i
-0.00046118+0.0011133i,-0.00045386+0.0013919i,-0.00064047+0.00183i,7.6146e-05+0.001209i,0.00089246+0.00026648i,0.0010098-0.00081457i,3.4469e-05-0.001301i,-0.0010314-0.00082518i,-0.00073035-0.00016875i,-0.00094315-0.00031898i,-0.00078955-0.00011797i,0.00053973+0.00026694i,0.00071615+0.00030967i,0.00081821-2.2817e-05i,0.0008894-0.00040265i,0.0008096-0.00091417i,0.00032371-0.00076411i,-0.00078674-0.00021711i,-0.00090919+0.00035153i,-0.00071717+0.00058546i,-0.00019751+0.00079746i,0.0005247+0.0011164i,0.00067074+0.00044106i
-0.0011027+5.3779e-05i,-0.00028277+0.0001275i,0.00072076+0.00028347i,0.00061693-6.7403e-05i,-0.00029473-0.00095789i,-0.00051876-0.0013604i,-0.00082071-0.0006081i,-0.00084867+0.00013931i,0.0002845+0.00016179i,0.00055028+0.00032494i,8.6322e-05+0.0013272i,0.00038556+0.0010731i,0.00053181-0.00017742i,0.00023156-0.00045056i,0.0002135-0.00031039i,-0.00013148-0.00065844i,-0.00022784-0.0012207i,-0.00029625-0.00086297i,-0.00031832-0.00013891i,0.00047859+0.00035094i,0.0011272+0.0006928i,0.0012609+0.00094708i,0.0011535+0.00052479i
1.654e-05-0.00060846i,0.00040295+0.00031872i,-0.00062241-0.00010924i,-0.00047228-0.00027528i,0.00012634+0.00064295i,0.00035388+0.00076503i,-0.00011921+0.00025596i,-0.001011-3.6092e-05i,-0.0011285+0.00031079i,-0.0013488+0.001483i,-0.001749+0.0013996i,-0.0013507+0.00056738i,-0.00025509+0.00020273i,0.00048093-0.00026033i,0.00043643-0.00016379i,0.00017608-5.4716e-05i,0.00035856-0.00071387i,7.3034e-05-0.0011797i,-0.00077753-0.00089251i,-0.00070217+6.331e-05i,4.2934e-05+7.101e-05i,0.00077323+0.00026236i,0.0009389+0.00054077i
0.00041807+0.0011589i,0.00021702+0.0013074i,-4.1433e-05+0.001953i,-0.00036616+0.0018779i,-0.00029692+0.00060637i,-0.00044712-0.00090829i,-0.00088145-0.0017446i,-0.0011442-0.0013592i,-0.0012173-0.00096243i,-0.00082677-9.5978e-05i,-0.00084287+0.0010076i,-0.00112+0.00069981i,-0.00093555-0.00029932i,-0.000374-0.00021763i,-0.00019726+2.4214e-05i,7.1464e-05-0.00013607i,-0.00075549-0.00023691i,-0.0011677-0.00059532i,-0.00093717-0.00048337i,-0.00069297+1.8647e-05i,-0.00026287+0.00027523i,-0.00037864+0.0008193i,-0.00047612+0.0010561i
-0.0018596+0.00028442i,-0.0008842-0.00019418i,-0.00078867+0.0016674i,-0.00070162+0.0026024i,0.00045446+0.0018207i,0.001281+0.00035809i,0.00076915-0.00073528i,4.0156e-05-0.00090386i,-0.00021327-0.00060034i,-0.00067669-3.8627e-05i,-0.00038642+0.00031723i,-0.000132+0.00031396i,-0.00065211-0.00061873i,-0.00037904-0.0010781i,0.00017171-0.00057629i,0.00042824-0.00048916i,7.4838e-05-0.0010133i,-0.0002062-0.0010856i,-0.00042065-0.00018488i,-0.0005009+0.000662i,-0.00018012+0.00032097i,0.00037491-7.2965e-05i,0.00034791-0.00025026i
-0.0010681+0.00033006i,-0.0012438+0.00092864i,-0.00039205+0.001037i,0.00080462+0.0010491i,0.00057945+0.002025i,0.00036558+0.0011977i,0.00049708-0.00066269i,-0.00017532-0.00083986i,-0.00028475-0.00052728i,-0.00011245-0.0003769i,-0.0001178-0.00021698i,9.3696e-05-0.00048078i,0.00030306-0.00060111i,0.00051244+5.8727e-05i,0.00046388-0.00036865i,0.00060697-0.00069147i,0.00086679-0.00039719i,0.00064765-0.00051414i,0.00045505-8.4426e-05i,-0.00023959+0.00028744i,-0.00055498+0.00012889i,-0.00024695+0.00053925i,0.00037683+0.00073025i
0.00073637+0.00014548i,0.0011139-0.00056572i,0.00067424-0.0024831i,0.00015379-0.0027355i,-0.00016381-0.0011703i,0.0003078-0.00030791i,0.00010793-0.00028075i,-0.00058832-0.00027065i,-0.00055449+0.00024516i,-0.00079208+0.00069434i,-0.00076783+0.00082934i,-0.00047946+0.0010113i,0.0003858+0.00048623i,0.00092167+0.00017356i,0.00064919+4.5872e-05i,0.00089323-1.4692e-05i,0.00033729+0.00027486i,-0.00012664+0.00018306i,-0.00052509+0.00027587i,-0.0012522+0.00029454i,-0.00059984-0.00010454i,-4.3362e-05-0.00029749i,3.9867e-06+0.00038523i
-0.0020111-0.00034949i,-0.0023289-0.00043207i,-0.0028443+0.0016076i,-0.0023766+0.0033549i,-0.0016082+0.0026274i,-0.00073528+0.0013209i,-5.9342e-05+0.00058801i,-0.00027765+0.00064038i,-0.00094812+0.0014132i,-0.0013159+0.0016181i,-0.00079989+0.00093682i,0.000596+0.00047453i,0.0010142-8.7604e-05i,0.0010754-0.00067782i,0.0011398-0.00024778i,0.00033118-0.00029276i,-0.00044361-0.00072169i,-0.00071271-0.00035227i,-0.00077023-0.00025528i,-0.00027901+0.00013398i,0.00032291+0.00093626i,0.00060211+0.00033275i,0.00011937-0.00051181i
