-0.0015473-0.00063682i,-0.0020469-0.00013183i,-0.0016276+0.0012781i,-0.0010854+0.0022598i,-0.00089102+0.0015051i,-0.00027254+0.0010798i,0.0010507+0.00098088i,0.0019957+0.00022136i,0.001044-0.00051534i,-0.00020096-0.00011012i,-0.00033129-9.3121e-05i,-0.00037455-0.00031975i,-0.0011153-0.00043403i,-0.0008503-0.00083141i,-0.00065052-0.00080856i,-0.00075726-4.9315e-05i,0.00017382+0.00031286i,-0.00010277+2.4921e-05i,-0.00069717-0.00022043i,0.00012763-0.00064747i,0.00055538-0.00020556i,0.00027491+0.0006661i,0.00029225+0.00026075i
-0.0018384+0.00039218i,-0.0015661+0.00075523i,8.8024e-05+0.0018134i,0.0019982+0.0026155i,0.0028557+0.0016368i,0.0028454-2.5828e-05i,0.0019838-0.00024018i,0.00082631+0.00033651i,0.000484+0.0002438i,0.00050286-0.00010273i,-5.0261e-05-0.0010458i,-0.00037941-0.0011755i,-0.00037973-0.00030228i,0.00022037+5.4103e-05i,0.00047049-0.0001045i,0.00025317+0.00020413i,-0.000262+0.00035699i,-0.00075218+0.00042763i,-0.00078538+0.00055724i,-6.2405e-05+0.00012588i,0.00055982+0.00033655i,0.00043604+0.00033093i,9.9254e-05-0.00056137i
0.0021103-0.0024805i,0.0004048-0.002989i,-0.0015609-0.0024965i,-0.0020349-0.00096822i,-0.0017926-9.2131e-05i,-0.00065005+4.1047e-05i,0.00055607-1.4213e-05i,0.0016114-0.00019005i,0.0010175-0.00084828i,-0.0006287-0.0011537i,-0.000655-0.00076619i,-0.00025197-2.1881e-05i,-0.00018678+0.00011747i,6.0017e-05-0.00050528i,-8.8661e-05-0.00073178i,5.4643e-05-9.5576e-05i,-7.1533e-05+0.00062389i,-0.00026407+0.00087629i,0.00093208+0.00059112i,0.0013012-8.1073e-05i,0.00021413+0.00015736i,-0.00015428+0.0012776i,2.9742e-06+0.0012459i
0.001022+0.00035324i,0.00026511+0.00095305i,7.4981e-06+0.00029224i,-0.00024652-0.0001633i,-8.3881e-05-8.7601e-05i,0.0001445-0.00011731i,0.00018522-0.00011931i,0.00078804-4.7844e-05i,0.00061935-0.0007094i,-0.00051094-0.0010389i,-0.0013119-0.00041736i,-0.0010809-0.0001936i,0.00027978-0.00024981i,0.00080835-0.00037353i,0.00033391-0.00058412i,0.00042124-0.00054248i,0.0003814-6.587e-07i,0.00011762+0.0010103i,-0.00063709+0.0010321i,-0.00088485+0.00022486i,-0.00075116+0.00022003i,-0.00041856+0.00027365i,-0.00014755+0.00062295i
0.0011986+0.00040556i,0.00078271+0.00020398i,0.0018494-0.00047672i,0.0024102-0.00051963i,0.0013248-0.00033672i,-0.00011304-0.00083675i,-0.0005228-0.00036422i,4.0595e-06+0.00087329i,0.0010254+0.00032008i,0.00071169-0.00060424i,-0.00044769-0.00022498i,-0.00052054+0.00041867i,-2.569e-05+0.00057906i,-3.0501e-06+0.00084079i,0.00020838+0.00033936i,-2.4251e-05-0.000524i,-0.00070677-0.0011051i,-0.00034827-0.0013561i,0.00033018-0.00051433i,0.00055028-2.4881e-05i,-9.4541e-05+0.00029988i,-0.00028201+0.00092725i,0.00026592+0.00056362i
-0.0010308-0.0010181i,-0.00026678+0.0003664i,-8.3623e-05+0.0022912i,0.00015333+0.0031211i,0.00066313+0.0022278i,0.0011929+0.0010726i,0.00011877+0.00056697i,-0.0001568+0.00030821i,0.00029048+0.00037967i,-0.00025504+0.00067921i,-0.00021051+0.00050715i,-0.00010165+0.00030361i,-0.00029177-0.00016222i,-0.00018249-0.0004537i,0.00033521-0.0007154i,0.00058438-0.00067645i,-0.00018396-0.0004952i,-0.00024145-0.00021517i,-0.00031464-0.00011267i,-0.00064974+0.00019401i,0.0001252-0.00013019i,0.00032214-0.00071174i,-0.00022703-0.00083934i
0.0021691+0.0012219i,0.0017275+0.0011556i,0.0011178+0.00059132i,0.00082824+0.00078987i,0.00042533+0.0012936i,0.00012336+0.00097283i,0.0005283+0.0011621i,0.0016876+0.00083699i,0.0012004-0.00034936i,-0.00033555-0.0010036i,-0.0010207-0.00067491i,-0.0010144-0.00021291i,-0.00086291+1.0454e-05i,-0.00075543+0.00010099i,-0.00059699+6.3727e-05i,-0.0010631-0.00013579i,-0.0011702+0.00047739i,-0.00064987+0.0013953i,-8.5116e-05+0.0011386i,-3.7123e-05+0.00026374i,0.0002925-0.00025182i,0.00015651-0.0003234i,-0.00059226-0.00045774i
-0.00082844+2.7362e-05i,-0.00038455+2.5412e-05i,-0.00023806+0.00081053i,-0.00057965+0.0014932i,0.00027287+0.0014376i,0.00084454+0.0016146i,0.00068423+0.0014216i,0.001084+0.0010106i,0.00091809+0.00044547i,0.00021085-0.00013302i,-8.7655e-05-0.00062749i,-0.00019437-0.00069738i,1.0329e-05-0.00026499i,0.00027168+0.00017767i,-0.00029341-0.00022467i,-0.00060004-0.00038852i,-0.00033316+0.00010879i,-0.00038695+0.00059479i,-0.00037059+0.00018773i,-0.00018074-0.00052019i,2.4558e-05-0.00035309i,-9.0314e-05-3.0153e-05i,8.502e-05+0.00025854i
-0.00076394-0.00086951i,0.00077999-0.0001043i,0.0011808+0.00052707i,0.0010944+0.00028681i,0.0012156+0.00026197i,0.00066585+0.00015051i,0.00034358+0.0005065i,0.00051219+0.00091154i,0.00025041+0.0004467i,0.00032401-0.00024151i,0.0009047-3.9424e-05i,0.00053882+0.00029266i,-0.00030152+0.00018922i,-0.00037357-0.00022013i,-2.1039e-05-0.0006012i,5.6126e-05-0.00091407i,5.8645e-05-0.00048825i,-0.00021389+0.00027073i,-0.00044474+0.00060485i,-1.0694e-05+0.00055832i,-0.00017995+9.298e-05i,-0.00052859-0.00025815i,-0.00026416-0.00039334i
0.0013911-0.00083498i,0.00071624-0.00073196i,0.0011548+0.00039382i,0.00079212+0.00044696i,-0.00012315-0.00070775i,-0.00018694-0.0012663i,-0.00014909-0.0005126i,0.00067119+1.1334e-05i,0.00084708-0.00059871i,-0.00010531-0.0011181i,-0.0010112-0.00083758i,-0.0012424-0.0005952i,-0.0011413-0.00057872i,-0.00048981-0.0004234i,-8.5665e-05-0.00028593i,-0.00017354-0.00016985i,0.00011586-3.9909e-05i,0.00058978-0.00050785i,0.00076227-0.0005993i,0.00026144-0.00022959i,-0.00033563-0.00071883i,-7.9167e-06-0.00086862i,0.00089215-0.00037777i
-0.00087087+0.00048882i,2.5313e-05+0.0014781i,0.0017273+0.0020438i,0.0022902+0.0025866i,0.0018503+0.0019917i,0.0008406+0.00055117i,0.00011762+0.00056485i,6.3197e-05+0.0010747i,-0.00066517+0.001083i,-0.0013217+0.00023669i,-0.0010166+0.00013143i,-0.00079194+0.00034678i,-0.0011053+0.00023019i,-0.00096683-0.00047155i,-0.00073433-0.00069948i,-0.00023585-5.6351e-05i,-5.5077e-05+4.9807e-05i,0.00013676-3.4376e-05i,0.00055236-0.00088144i,0.00041634-0.0011273i,-3.2792e-05+0.00015154i,-0.00054329+0.00070604i,-0.00041736+0.0013i
4.6401e-06-0.00039464i,0.00046837-0.00082415i,0.0014218+0.00069231i,0.00256+0.0016824i,0.0023355+0.00090922i,0.001414+0.00020384i,0.00092161+0.00089017i,0.00051434+0.0016661i,0.0006134+0.00093109i,0.0008189-6.0832e-05i,0.00037515-0.00066434i,-0.00029095-0.0013811i,-0.00079402-0.00085357i,-0.0010126+0.00031545i,-0.00051751-7.7057e-05i,-0.0003506-0.00061926i,-0.00039453-0.00064587i,-0.00052807-8.0764e-05i,-0.00056475+0.00025392i,-0.00076548+0.00048283i,-0.00082213+0.00064647i,-0.00050646+0.0007606i,-0.00046352+0.0011407i
