0.00086924+0.0016526i,0.0015605+0.00051439i,0.0022008+5.7634e-05i,0.00058144-0.00059781i,-0.0010492-0.00043386i,-0.0022775+0.00078269i,-0.0022487+0.0018585i,-0.00066253+0.0017535i,0.00065978+0.0012899i,0.00049586+0.00071394i,0.0001936-2.7805e-05i,0.00033785-2.0798e-05i,0.0002624+0.00019991i,-0.00021844+0.00012022i,-0.00095176-0.0001842i,-0.00043004-7.5782e-05i,-0.0007235-1.0266e-05i,-0.00074298-0.00042646i,1.1595e-05-0.00042572i,0.00054381-0.00070615i,0.00095215-0.00039754i,0.00019394+0.00014265i,-0.00090883-2.7499e-05i
-0.0018541+0.00042762i,-0.001162+0.00064349i,-0.0012623+0.0013922i,-0.00037212+0.0017942i,0.00064838+0.00041807i,0.0007627-0.00091252i,4.774e-06-0.00086971i,-4.7128e-05-0.00029177i,9.8519e-05+0.00047542i,-0.0003365+0.00091115i,0.00037583+0.0010801i,0.00045905+0.00043321i,0.00021763-0.00091143i,0.00073312-0.0011427i,0.00036182-0.00035568i,-0.00025438+5.6194e-05i,-0.00037167-7.011e-05i,0.00057593-9.3253e-05i,0.00053915-0.00027317i,-0.00051859-0.00037851i,-0.0008303-0.00063699i,-0.00027721-0.00065375i,0.00079544-0.00052999i
0.0011763+0.0018281i,0.00088163+0.0022124i,0.0022915+0.0025529i,0.0020723+0.00071841i,0.00043216-0.00079642i,-0.0012954-0.0013143i,-0.0021008-0.00081642i,-0.0020634-0.00014927i,-0.0015416+2.498e-05i,-0.00075428-1.5595e-05i,-0.00029159-0.00021834i,-0.00025379+0.00019263i,0.00025908-1.2675e-05i,0.00094598-0.00050402i,0.0013838-0.00069997i,0.0011615-0.00045326i,9.1018e-06-0.00016179i,-0.00095197-0.00036158i,-0.00092768-0.00096032i,-0.0001307-0.00097134i,0.00031026-0.00050781i,0.00014117-0.00055983i,5.4183e-05-0.00066206i
-0.0024244-9.5189e-05i,-0.0027384-0.00015297i,-0.0017949-2.3024e-05i,-0.00083704+0.00039181i,-0.00052826+0.00021083i,-0.00034212-0.0011505i,-0.00056059-0.0017711i,-0.00048519-0.00086067i,-0.00078614-0.00017886i,-0.0014624+0.00027635i,-0.00076344+0.00075738i,0.00063066+0.0012319i,0.00056597+0.0011288i,-0.00037481+0.00089489i,-0.0004659+0.00091995i,-0.00039962+0.00075011i,-0.0010804+0.00046737i,-0.0012646-0.00036889i,-0.0014615-0.00055445i,-0.00092929-0.00016742i,-0.00037031+0.001009i,-0.00048592+0.00096167i,-0.00025246+2.0921e-05i
0.0012503+0.00061497i,0.0014005+0.001519i,0.0013693+0.0011733i,0.0011137-0.00026402i,-0.00061662-0.00078457i,-0.0020036-0.00022193i,-0.0015187+0.00029196i,-0.0012295+0.00081323i,-0.00064133+0.00096336i,-0.00015504+0.0009787i,-0.00012831+0.00053846i,-0.00017368-0.00026775i,0.00059393-0.00070156i,0.00095678-0.0011883i,-3.4244e-06-0.00095231i,-0.00064879-0.00037633i,-0.0011975+0.00015722i,-0.00089187+0.00026178i,-0.000715-6.9407e-05i,-0.00060362-0.00076942i,0.00025908-0.00078485i,0.00070749-0.00022575i,4.2888e-05-0.00051486i
0.0008564+0.0010664i,-0.00020162+0.00087841i,-6.5702e-05+0.0013204i,0.0010706+0.001395i,0.00086214-2.4286e-05i,-0.00028011-0.0012838i,-0.0008091-0.0011927i,-0.00046939-0.00064776i,6.4155e-05+6.6291e-05i,0.00041466+0.00055799i,0.00012182+0.00043157i,0.00027233+0.00050225i,0.0011237+0.00069745i,0.00094773+0.00037296i,0.0002582+0.0002132i,0.00027834+0.00039239i,-0.00057993+0.00057074i,-0.00069136+8.1559e-05i,-0.00039383-0.0004865i,-0.00013372-0.00066141i,0.00059608-0.00040842i,0.0010465+0.00019972i,0.0002517+0.00028918i
0.002547+0.0031057i,0.0011769+0.0045038i,0.0020523+0.0036441i,0.0016471+0.001442i,8.7646e-05-0.00088102i,-0.00085027-0.0014538i,-0.0014762-0.00047929i,-0.00058428+0.00035551i,-6.7459e-05-0.0004054i,-0.00074802-0.00085261i,-0.00026627-0.00018309i,0.00069932-0.00015417i,0.00058012-0.00040089i,-4.0898e-05-0.00074018i,-0.00052319-0.00062611i,-0.00096633-0.0001791i,-0.0013264+0.00039082i,-0.00075682+0.00071929i,0.00018226-8.6709e-05i,0.00024828-0.00043309i,-0.00027121+0.00039418i,-0.00040395+0.00047608i,-0.00011741+0.00022231i
-0.00195+0.0010838i,-0.0021096+0.00055611i,-0.001513-0.00091017i,-0.0006119-0.00056408i,0.00049689+0.00016942i,0.00067957-0.00048869i,-0.00021228-0.00033551i,-0.00037744+0.00034734i,-0.00016932+0.00045196i,-0.00018307+0.00084775i,-0.00021064+0.00046872i,0.00049462-0.00028322i,0.0010886-3.9184e-05i,0.00065553+0.00022179i,-0.00014441-3.4448e-05i,-0.00073602+0.00010242i,-0.00079058+0.00055234i,-0.00054242+0.00048391i,0.00042286+0.0004923i,0.00086262+0.00031432i,-0.00027506-0.00013647i,-0.0012839-0.00021625i,-0.0015823-0.00036675i
-0.00069518+0.00032933i,-7.2026e-05+0.00091572i,-0.00085079+0.0022532i,-0.0015387+0.0021557i,-0.00044505+0.00079395i,0.0005155+4.5495e-05i,-6.5118e-05-0.00038227i,-0.00060381+9.0528e-05i,-0.00041075+0.00045231i,0.0002828-0.000186i,0.00019083-0.00038166i,-0.00011855-0.00034235i,-0.00020598-0.00013328i,-0.00031702+0.00019666i,-0.00070051+0.00024579i,-0.00058182+0.00024164i,0.00019415+0.00046482i,-5.068e-05+3.0429e-05i,5.2628e-05+7.4991e-05i,0.0003488+0.00035811i,0.00010583+0.001201i,-9.0004e-05+0.0011165i,0.0002609+0.00029097i
-0.00076103+0.0011266i,-0.001239+0.0006938i,-0.00056426-0.0007447i,0.00085813-0.0018332i,0.00096975-0.001806i,-0.00023269-0.0008685i,-0.0012746-0.00067563i,-0.0010408-0.00024646i,4.0127e-05+0.00017758i,3.0892e-05-0.0001633i,0.00023863-0.00042848i,0.00053475-5.8527e-05i,0.00018696-1.2204e-05i,0.00040733+0.00013209i,0.00061127+0.00052433i,0.00053562-0.00028292i,0.00031286-0.001265i,0.00014046-0.0014229i,-0.00037011-0.00099928i,-0.0007304-0.00052119i,-0.00027536-4.5563e-05i,-0.0002301+0.00024688i,-0.00083157-0.00033486i
0.00032648+0.0003974i,0.00028552+0.00015946i,0.00083124+0.00081552i,0.00063792+0.00083413i,-0.00069472+0.00020152i,-0.0016058-0.00044321i,-0.0015261-0.0001565i,-0.0011465+0.00035389i,0.00011156+0.00029162i,0.00042025+0.00016279i,0.00026674+0.00055153i,0.00063806+0.00021472i,0.00018966-0.00014448i,-0.00057018-2.3182e-07i,-8.4711e-05+5.6668e-06i,0.00032131-2.2631e-06i,-7.2924e-06+0.00071977i,-0.00023306+0.00083972i,-6.7652e-06+0.00014689i,0.00012351-0.00019394i,0.00040145+0.00034773i,0.00059434+0.0010221i,0.00048513+0.00086862i
-0.0013167+0.00059287i,-0.0020275+0.00086198i,-0.002588+0.0016099i,-0.0013256+0.0010717i,0.00042575+0.00012555i,0.00052962+1.3908e-05i,-0.00012102-6.0122e-05i,-0.00084424-0.00031811i,-0.001063-0.00031883i,-0.00076769+0.0002667i,-0.00028591+3.4773e-05i,0.00021208-0.00087627i,-0.00011232-0.000919i,-7.8424e-05-0.00058166i,-2.3436e-05+5.2407e-05i,-0.00029722+0.00047612i,-0.00018439+0.00018359i,-0.00071695+0.00020611i,-0.00067091+0.00059766i,-0.0010727+0.00095304i,-0.0016487+0.00064202i,-0.00047969+0.00019628i,0.00064326+0.00016429i
-0.0010774-0.00018394i,-0.001175+3.8766e-05i,-0.0013177+0.0011549i,-5.6509e-05+0.0011652i,0.00037538-0.00014143i,-0.00026079-0.00091716i,-0.00092396-0.00078666i,-0.00027418+0.00011682i,4.862e-05+0.00083834i,-0.00062837+0.00064459i,-0.00071558+0.00010473i,-0.00076749-0.00038857i,-0.0010485-0.0005693i,-0.00082162-0.00033027i,-0.00065957-9.5361e-05i,-0.00075617+0.00048055i,-0.00035928+0.00134i,-0.00043322+0.00097392i,-0.00015464+0.00094131i,-4.8196e-05+0.001052i,-0.00012901+0.00035687i,-0.00056101+0.00016338i,-0.00031982+0.00041651i
-0.0011524+4.5232e-05i,-0.0012717-0.000657i,-0.00080094-0.00034493i,-0.00055962+0.00016005i,-0.00063444+0.00022865i,-0.0006476+3.8018e-05i,-0.00037521-3.7097e-05i,0.00027911-7.8932e-05i,1.6242e-05-6.5797e-05i,-0.001223-6.5739e-05i,-0.0010555+5.9993e-05i,-0.00014663-3.6553e-05i,0.00043369-0.00017055i,0.00047247+0.00037062i,0.00041836+0.00012159i,0.00022818-0.00029394i,0.00028802-0.00012777i,0.00044351-0.00012274i,6.5862e-05-0.00011156i,-0.00053371+0.00040331i,-0.00052688+0.00020431i,-0.00033008+0.00043515i,-0.00039897+0.00091775i
-0.00093236-0.00035142i,-0.0015573-0.00036005i,-0.0022141+0.0006089i,-0.0011589+0.0005836i,-0.0011007-0.00033773i,-0.0015157-0.0011262i,-0.00063505-0.0010592i,0.00016943+0.00011434i,-0.00018764+0.00080521i,-0.00082884+0.00060766i,-0.001462+0.00054809i,-0.0012095+0.00075573i,-9.309e-05+0.0010036i,0.00036781+3.4852e-06i,0.00037624-0.0005182i,0.0003531-0.00023697i,-0.00042879-0.00046342i,-0.0010182-0.00083013i,-0.00013336-0.00094677i,0.00042876-0.0005975i,-0.00011861-0.0002082i,-0.00030298-0.000335i,-0.00064975+0.00022977i
-0.00092919+0.0011919i,-0.0015167+0.001895i,-0.0013806+0.0016894i,-0.00040648+0.0013576i,0.00064101+0.00066366i,0.00094848-0.00020001i,0.0003323-0.00015685i,-0.00034927+0.00043301i,-0.000278+0.00059141i,1.4003e-05+0.001036i,-0.00018058+0.0013021i,-0.00031437+0.0016875i,-0.00018527+0.0018133i,0.00042859+0.00089911i,0.0010377-0.0002797i,0.00034054-0.00038528i,-0.00047789+0.00014885i,-0.00055419+0.00013403i,-0.00010128+0.00051757i,0.00027799+0.00078971i,0.00020218+0.00079049i,-0.00031227+0.001208i,-0.00032125+0.0010162i
-0.0020344-0.0011462i,-0.0016449-0.0016442i,-0.00255-0.00066409i,-0.0025147+0.00026843i,-0.0008396+0.00057328i,0.00012925+0.00063638i,-0.00024663-0.00012156i,-0.00030904-0.00043945i,3.0309e-06-0.0001954i,0.00023923+8.8158e-05i,0.00033036+0.00047729i,-0.00043979+0.00024403i,-0.00045553-0.00023765i,1.4999e-05+0.00016786i,-0.00038329+0.00018271i,-0.00049881-0.00015135i,0.00043805+0.00029507i,0.00032359+0.00050254i,-0.00054245-6.8074e-06i,-0.00027807-0.00021993i,6.6736e-05-6.2038e-05i,-0.00017499+0.00011724i,-0.00019948-0.00012836i
0.0034374+0.00011823i,0.002794-0.00053003i,0.0024869-0.00072916i,0.0014749-0.00075114i,0.00011348-0.0013978i,-0.00073976-0.0017591i,-0.0011751-0.001078i,-0.00078323-0.00052021i,2.6557e-06-0.0009258i,0.00046161-0.00096203i,0.00015845-0.00068379i,0.00044715-0.00038914i,0.00022878-0.00038892i,-0.00056315-0.0010729i,-0.000651-0.0016345i,-0.00041679-0.0015643i,-4.7025e-05-0.00049144i,-0.00030945+0.00037425i,-0.00047321+0.00012577i,0.00064857-5.4736e-05i,0.00074537+0.00015485i,0.00041516+0.00021683i,0.00016981-0.00010173i
0.00047947-0.0011269i,4.1208e-05-0.0019327i,-0.00013406-0.0021118i,-0.00051643-0.0013846i,-0.0015638-0.0012469i,-0.0022788-0.00099381i,-0.0018354-0.00086414i,-0.00089413-0.00094958i,-0.0004061-0.0006685i,-0.00045027-0.00074167i,-0.00071332-4.7717e-05i,-0.0012369-0.0005719i,-0.00058307-0.0016777i,0.00016297-0.0014674i,-0.00067967-0.001539i,-0.0013491-0.0012284i,-0.0016495+0.00015487i,-0.00053934+0.00025701i,3.718e-05-9.3468e-05i,-0.00055668+0.00017782i,-0.00024256+5.8727e-05i,0.00022165-0.00055068i,0.00010149-0.0009066i
0.0022818+0.0009153i,0.0035546+0.00069109i,0.0042706-0.0001121i,0.0021164-0.00038299i,-0.00012102-0.00096378i,-0.00080906-0.0014757i,-0.00045922-0.00089477i,-0.00024452-9.6241e-06i,-0.00077729+0.00091714i,-0.0012028+0.00105i,-0.00057643-0.00012048i,-0.00022308-0.0007517i,-0.00087866-0.00072203i,-0.0010177-0.00075872i,1.0996e-05-0.00025015i,0.00052194-0.0002364i,-0.00039453+0.00021893i,-0.00081199+0.00068474i,-0.00049563+0.00067128i,0.0001077+0.00057643i,-6.5282e-05+0.00046968i,-8.0364e-05+1.6552e-05i,0.00035796-5.4788e-05i
0.0021102-0.0001011i,0.0021272+0.000436i,0.00073743+0.00038551i,-0.00083355-0.00016354i,-0.0010313-0.00064815i,-0.0015863-0.00073275i,-0.0011531-0.0001845i,-0.00038216+0.0005533i,-0.0005357+0.00083644i,-0.00038804+0.00030523i,-0.00013947-1.3531e-05i,0.00015858+0.00033274i,0.00034328+0.00010525i,0.00072896+7.3661e-05i,0.0006959+0.0009531i,0.00029355+0.00028232i,-0.00014648-0.00031722i,-0.00048828-0.00027916i,-0.00040282-9.1276e-05i,-0.00080409+0.00027023i,-0.0005917+0.00024725i,-0.00034059+0.00017081i,-0.00060754-0.00032696i
0.00072624+0.00080665i,-0.00029567+0.00057822i,0.00017486+0.00073857i,0.00055305+0.00045653i,0.00040296-0.00076262i,-0.00062797-0.0010627i,-0.00066149-0.00034303i,-0.0003434+0.00010317i,-0.00070141+0.00021305i,-0.00047733-0.00018525i,-7.7614e-05-0.00018994i,0.0003069+1.8524e-05i,0.0005086+4.7549e-05i,0.00022312+2.3613e-05i,9.887e-05-0.00019613i,-3.3163e-05-0.00017032i,-4.6917e-05+1.5915e-05i,-0.00044538-0.00030012i,-0.00038374-0.00040211i,0.00034047+0.00031686i,0.0002179+0.00042526i,0.00054927-7.5927e-05i,2.8503e-05+0.00029164i
-0.0011348+0.00019873i,-0.0016566+0.00036149i,-0.0022513+0.000628i,-0.0016727+0.00069043i,-0.00063839+2.178e-05i,0.00015533-0.0014443i,0.00035161-0.0021891i,0.00047372-0.0012439i,0.00046656+0.00021695i,4.9552e-05+0.0010057i,0.00021931+0.00091973i,-0.00025114+0.0003206i,-0.0004398+0.00032354i,0.00060689+0.00059585i,0.00068929+0.00088589i,-0.00061127+0.0015569i,-0.0011882+0.0016193i,-0.00077888+0.0010104i,-0.00013211+0.00034414i,-0.00040998-4.0082e-05i,-0.00059914+2.3755e-05i,-0.00025529+0.00038473i,-0.0002702+0.00010597i
0.00155+0.0010148i,0.0017682+0.00012645i,0.0018279+0.00096137i,0.0012444+0.001315i,0.00035593-0.00018287i,-4.955e-05-0.0017461i,-0.00089957-0.001082i,-0.0013184+0.00031944i,-0.0012805+0.00064357i,-0.00067169+3.5332e-05i,-0.00011683-0.00079136i,0.00073931-0.00026476i,0.0014116+0.00035491i,0.00088588-0.00010096i,-0.00021023+3.8545e-05i,-0.0011259+0.00021861i,-0.001138-0.00023443i,-0.00062376-1.2651e-05i,-0.00046602+0.00066918i,-0.0007468+0.00039626i,-0.0012324-0.00022319i,-0.00053258-0.00052284i,0.00041944-0.00044115i
0.0019826+0.0010905i,0.0025871+0.0020715i,0.0025582+0.0019072i,0.0018111+0.0013694i,0.00091284+0.0012005i,-3.2879e-05+0.00033492i,-0.00028691-0.00013987i,0.00023531-0.00026071i,0.0003285-0.00042269i,0.00036741-7.161e-05i,0.0005174+0.00022389i,0.00039348-0.00049347i,-0.00078006-0.0013775i,-0.0011586-0.0012402i,-0.00034376-0.00049872i,0.00031457+2.9885e-05i,-0.00035797-0.00014384i,-0.0011913-0.00073633i,-0.0011807-0.0017455i,-0.00012203-0.0011021i,0.00053047+0.00056307i,-0.00028729+0.00060692i,-0.00036366-0.00024695i
-0.0028641-0.0012161i,-0.0028322-0.00090603i,-0.0030317-0.000972i,-0.0018504+0.00024886i,-0.00079493+0.00071162i,-0.00067186-7.4005e-05i,-0.0012407+4.7394e-05i,-0.0011143+6.4865e-05i,-0.00031299-0.00017726i,-0.00079028-0.00024485i,-0.00089687-0.00059675i,8.5255e-05+0.00010876i,-0.00018303+0.00068376i,-0.00028493+0.00018615i,7.9584e-05-1.1088e-05i,-0.0001358+1.7554e-05i,-0.00020529-0.00012296i,0.00049007+6.1171e-07i,0.00068775+0.00023619i,0.00014109+0.00053896i,0.00027893+0.0004694i,-0.00014939+0.00038539i,-0.0006191-1.0331e-05i
-0.00013802+0.00082501i,0.00063365+0.00047091i,0.001499+0.00072739i,0.00044034+0.00071371i,-0.00013824+0.00011621i,-0.00083424-0.00044802i,-0.0011667-0.00064824i,-0.00073528-0.00035119i,-0.00040812+6.3957e-05i,0.00023485-0.00023283i,0.00071458-0.00064789i,0.00019744-0.0010329i,-0.00052557-0.00058314i,-0.0007197+0.00015075i,-0.00045561+0.00038236i,-0.00029114+0.00012382i,-0.0008998+0.00036118i,-0.00121+0.0003794i,-0.00094894+5.9131e-05i,-0.00045777+0.00064505i,-3.8432e-05+0.0013444i,0.00013207+0.0014106i,0.00067+0.00089711i
0.0011308-0.0019218i,0.0016179-0.0011072i,0.0019106-0.00056461i,0.0015128-0.0011213i,0.00016273-0.001949i,-0.0010333-0.0014726i,-0.0010241-0.00018164i,-0.00063036+0.00052624i,-0.00048633+0.00029487i,-0.00041851-0.00012437i,-4.4894e-05+0.00083837i,-9.9536e-05+0.0015772i,-0.00011434+0.00086701i,-7.029e-05+0.00024137i,-0.00039734+0.00024894i,-0.00024463-0.00041952i,0.00038047-0.00083813i,0.0002462-0.0004974i,-0.00042717-0.00015488i,-0.00065312-8.2475e-05i,-0.0014321-0.00015274i,-0.0011292-0.00033502i,-8.9225e-05+0.000434i
0.00052661+0.00060821i,0.00068718+0.00086592i,7.2298e-05+0.00034836i,0.0012484+0.00039359i,0.0010778-0.00052585i,-0.00062113-0.0013075i,-0.0015606-0.0014645i,-0.0010139-0.0011183i,-0.00022185-0.00018759i,0.00014641+0.00048579i,0.00029834+0.0008734i,0.00084525+0.00089287i,0.00129+0.0013943i,0.0012565+0.0012841i,0.00081756+0.00031849i,-8.9585e-05-0.00054381i,-0.00062949+5.3432e-05i,-0.00074273+0.00072428i,-0.00045455+0.00042748i,-0.0002545+0.00047747i,-0.00025712+0.00053376i,-0.00038748-0.00020073i,-0.00042061-0.0003471i
-0.0011602+0.00034099i,-0.0015493+0.00080956i,-0.0015053+0.00060642i,-0.0013025+0.0003643i,-0.00066871-0.00027442i,-0.00054561-0.00076096i,-0.0007667-0.00051287i,-0.00084033+6.4809e-05i,-0.0011075+0.0002964i,-0.0012644-0.00022602i,-0.00038409-0.0002808i,0.00031549+0.0002265i,-9.5133e-06+0.00077136i,0.00027483+0.00077284i,0.00027299+0.00056946i,0.00030033+0.00074741i,0.00046412+0.0012786i,0.00023218+0.0010757i,0.00037209+0.00038667i,-0.00018192+0.00033592i,-0.00050894+0.00073525i,-0.00029611+0.00073907i,-0.00010316-0.00023105i
0.00062761+0.0017972i,0.0011601+0.0016928i,0.0017785+0.00064422i,0.0016696+0.00038385i,0.00079355-7.1113e-05i,0.00015241-0.0010545i,-0.00033287-0.00076151i,-0.00092505-0.00014435i,-0.00052407+0.00021324i,-0.00012474+0.00059304i,3.6099e-05+0.00022165i,1.7324e-05-0.0001162i,-7.4173e-05-0.00024866i,-0.00056096-0.00034746i,-0.00048693-0.00053653i,0.00038527-0.000654i,0.00043651-0.00016473i,-0.00068698+3.6459e-08i,-0.00048602-2.1021e-05i,0.00011212-0.00065735i,-0.00017413-0.0010379i,-0.00030924-0.00020377i,-0.00015049+0.00044831i
0.00073244+0.00054747i,0.00085553+0.00022015i,0.0010091-0.00010242i,0.00012445-0.00073319i,-0.00074268-0.0019402i,-0.0015433-0.0026865i,-0.00090231-0.0015498i,0.00041798+0.00018086i,0.00024555+0.0003062i,-0.00020905+0.00044161i,0.00055501+0.00019963i,0.00046666-0.00066631i,-0.00026909-0.00059384i,-0.000651-2.3691e-05i,-0.00038441+0.00045769i,0.00033048+0.00024895i,0.00017345-0.00029771i,-0.00021327-0.00059306i,-0.00061487+0.00011476i,-0.00028271+0.00044114i,0.00040996+0.00019158i,0.00052898+0.00051386i,4.3228e-05+0.00048381i
