-0.0026758+0.0015738i,-0.0011473+0.0014681i,-0.0014061+0.001053i,-0.0011948+0.0002827i,-0.00078639+0.00094738i,-0.0013552+0.0017045i,-0.00094172+0.0013628i,0.0001344+0.0013428i,0.00095944+0.0015067i,0.0018151+0.00037231i,0.0019211-0.00091553i,0.0010479-0.0010232i,0.00049792-0.00059606i,0.00028703-0.00052789i,4.0079e-05-0.00032361i,-5.0291e-05-0.00028879i,0.00013539+0.00030125i,0.00011283+5.2648e-06i,-6.5947e-06-0.0011085i,-0.00030091-0.00091429i,2.976e-05-0.00019543i,0.00014933+1.9042e-05i,-0.00028116+1.6555e-05i
-0.56735+0.06842i,-0.81469+0.25111i,-0.72059+0.37481i,-0.35104+0.29877i,-0.05417+0.11549i,0.013515+0.04456i,-0.020608+0.13966i,-0.006517+0.21669i,0.057291+0.13133i,0.11987-0.029217i,0.14654-0.15041i,0.10945-0.19208i,0.047141-0.14196i,0.022562-0.058578i,0.015876-0.0025378i,-0.010107+0.04123i,-0.039284+0.084331i,-0.04414+0.10445i,-0.017359+0.092859i,0.019311+0.059919i,0.028907+0.025889i,0.0079441+0.01043i,-0.0034999+0.013654i
0.12946-0.50965i,0.1681-0.73985i,0.13406-0.73668i,0.025629-0.50267i,0.008411-0.20367i,0.13121-0.031123i,0.22415-0.047922i,0.19408-0.092687i,0.10207-0.065114i,0.0075541-0.020084i,-0.042707+0.028826i,-0.034891+0.06416i,-0.006375+0.061129i,0.019125+0.042497i,0.050561+0.022671i,0.081425-0.0019905i,0.10352-0.02265i,0.10372-0.032913i,0.065724-0.032638i,0.017279-0.020856i,-0.0009129-0.0095961i,0.0041181-0.012281i,-0.0017489-0.022712i
0.28444+0.20366i,0.2278+0.38288i,0.030053+0.53835i,-0.078906+0.44079i,-0.12468+0.074768i,-0.1848-0.24865i,-0.15257-0.3216i,-0.06466-0.27218i,-0.035796-0.18145i,-0.052624-0.065492i,-0.064659+0.021661i,-0.036895+0.070832i,0.0048907+0.061871i,0.0013949+0.018638i,-0.028759-0.010129i,-0.048202-0.030662i,-0.058991-0.041321i,-0.047767-0.02753i,-0.012056-0.0020223i,0.017012+0.015907i,0.028253+0.018229i,0.030559+0.0069432i,0.024719-0.0034354i
-0.05012+0.2344i,0.023901+0.094708i,0.049107-0.16416i,0.0028203-0.14745i,-0.014457+0.13669i,-0.036594+0.32877i,-0.14751+0.34574i,-0.22472+0.30818i,-0.16213+0.21034i,-0.059468+0.069575i,-0.0096268-0.040848i,-0.0056142-0.10713i,-0.025016-0.12223i,-0.038091-0.080839i,-0.036043-0.015345i,-0.03301+0.044661i,-0.029196+0.0846i,-0.028844+0.088889i,-0.035782+0.065717i,-0.036137+0.038179i,-0.029706+0.017543i,-0.024313+0.014069i,-0.011598+0.024973i
-0.30245-0.0093217i,-0.22458+0.132i,0.082693+0.15325i,0.24404-0.025387i,0.19199-0.10746i,0.22025+0.0094901i,0.33399+0.10073i,0.33466+0.10568i,0.19694+0.098751i,0.061644+0.098187i,0.021742+0.082079i,0.026592+0.045687i,0.023603+0.028959i,0.030495+0.023714i,0.045273+0.00052668i,0.058877-0.028903i,0.068508-0.049338i,0.06311-0.05075i,0.049416-0.042299i,0.03419-0.041344i,0.016346-0.038927i,0.0011739-0.029955i,-0.01093-0.024951i
0.06093-0.3847i,-0.13761-0.42015i,-0.36613-0.12836i,-0.39021+0.15564i,-0.3253+0.080058i,-0.33558-0.17591i,-0.31109-0.33208i,-0.2078-0.35573i,-0.10108-0.27928i,-0.023286-0.15298i,0.026722-0.046413i,0.056964+0.016428i,0.066734+0.031704i,0.053761+0.021849i,0.035195+0.012045i,0.017403+0.0030867i,0.000707-0.012837i,-0.014104-0.027764i,-0.020699-0.02612i,-0.010988-0.014977i,-0.0008244-0.0095963i,0.0020003-0.004428i,0.0067754+0.0039351i
0.36657+0.10217i,0.46777-0.080243i,0.34286-0.34479i,0.1862-0.38581i,0.16903-0.16161i,0.15174+0.079396i,0.021275+0.19121i,-0.092595+0.16853i,-0.083251+0.063148i,-0.036996-0.03789i,-0.030708-0.064613i,-0.034323-0.052408i,-0.037332-0.053452i,-0.051893-0.057009i,-0.067759-0.046011i,-0.074743-0.014465i,-0.068993+0.025886i,-0.044779+0.043349i,-0.021304+0.038906i,-0.015376+0.042906i,-0.0065993+0.047581i,0.010339+0.02963i,0.01841+0.0046685i
-0.11767+0.39664i,-0.00055522+0.53874i,0.1288+0.43693i,0.089898+0.21343i,0.010829+0.056945i,0.09287-0.030246i,0.23508-0.088511i,0.25458-0.084024i,0.16501-0.024041i,0.10273+0.019164i,0.073713+0.0035009i,0.017254-0.0085327i,-0.017955+0.012822i,-0.0070909+0.03295i,0.01936+0.043756i,0.045213+0.032299i,0.046787+0.010356i,0.021878+0.0079381i,-0.0039446+0.01708i,-0.010943+0.01751i,-0.0078383+0.0055455i,-0.011692-0.0015713i,-0.015166+0.0015103i
-0.46723-0.15535i,-0.69339-0.014966i,-0.60893+0.19221i,-0.3456+0.20932i,-0.23948+0.042116i,-0.31167-0.098986i,-0.34565-0.11481i,-0.26838-0.058277i,-0.16613-0.0085918i,-0.11862+0.0088839i,-0.088741+0.01316i,-0.035517+0.01464i,0.0070929+0.016288i,0.026272+0.0078837i,0.026028-0.0216i,0.0058265-0.052107i,-0.0079974-0.068148i,0.0010006-0.069753i,0.024202-0.061564i,0.039202-0.057037i,0.034775-0.045251i,0.020914-0.019144i,0.0050376+0.0046398i
0.36841-0.46869i,0.46919-0.7654i,0.40722-0.77242i,0.29614-0.45512i,0.2815-0.034928i,0.31491+0.25348i,0.25144+0.30036i,0.11798+0.21251i,0.033768+0.13332i,0.020991+0.097956i,0.034821+0.090777i,0.057862+0.065517i,0.060476+0.016191i,0.035794-0.0072583i,0.0092626+0.0037003i,-0.0062335+0.029046i,-0.0032489+0.050178i,0.0081983+0.045947i,0.0048028+0.025656i,-0.01245+0.018976i,-0.0216+0.024209i,-0.014541+0.019201i,-0.0052716+0.007246i
0.24011+0.45061i,0.28911+0.64495i,0.10988+0.62857i,-0.10958+0.38462i,-0.20338+0.021161i,-0.1907-0.23377i,-0.062293-0.24542i,0.090081-0.16312i,0.13012-0.11924i,0.080867-0.094555i,0.02622-0.073305i,-0.017893-0.053704i,-0.045474-0.028528i,-0.050861-0.00159i,-0.031934+0.021438i,0.0018744+0.025846i,0.015574+0.019368i,0.00023931+0.024493i,-0.015059+0.034706i,-0.011471+0.035929i,-0.00099043+0.025506i,0.0057216+0.011006i,0.011182-0.0029385i
