-0.000202-0.00059837i,-0.00092255+0.00042098i,-0.0016388-0.00012823i,-0.00063008-0.00094706i,0.00037023-0.0010846i,0.00055015-0.00045494i,0.00057994+0.00026212i,0.00087231-6.1913e-05i,0.0016921-0.00048469i,0.001672-0.00034194i,0.00063958-0.00037293i,0.00042726-0.0012672i,0.0008323-0.0016668i,0.0003869-0.0010092i,-0.00038338-1.0094e-06i,-0.00063907+0.0010412i,-6.5037e-05+0.00099574i,0.00029204+0.00065373i,-0.00029685+1.3683e-05i,-0.0003473-0.00080858i,0.00047401-0.00052103i,0.00059869-0.00072903i,-0.00036311-0.00060791i
0.00038672+0.00011289i,-5.2238e-05-0.00057759i,-0.00078665-0.00088527i,-0.00084186-0.00017747i,-2.6998e-05+5.4607e-05i,0.00056121-0.00025285i,0.00066142-0.00068953i,0.00082174-0.00079045i,0.00060595-0.0010417i,9.5504e-06-0.00092799i,-0.00013773-0.00019624i,0.00062597+0.00050997i,0.00069497+0.00057427i,0.00024085-3.0006e-05i,0.0005009-0.00087648i,0.00032176-0.0011858i,-6.8493e-05-0.00025956i,-0.00011139+0.00012446i,-0.00030821-0.00072817i,-0.00048221-0.00017417i,-0.00049189+0.00048008i,-0.00057239-0.00047012i,-0.00082968-0.00039329i
0.0011233-0.00011408i,-9.0578e-05+0.00056957i,-0.00073524+0.0020796i,0.00011119+0.0021604i,0.0016408+0.0010908i,0.0019318-0.00011057i,0.0012301-0.00093461i,0.00045489-0.0011584i,-0.00023812-0.00060162i,-0.0004134-0.00044895i,0.00042268-0.00033243i,0.00087497+0.00031476i,0.00036495+0.00013828i,-1.7056e-05-0.0006319i,0.00021253-0.0010163i,0.0003309-0.00059626i,0.00033433-0.0008355i,-0.00025057-0.0010587i,-0.00083192-0.00099662i,-0.00098417-0.00063154i,-5.2611e-05+7.3445e-05i,0.00079179+0.00029283i,0.00012054+0.00025944i
0.00035336-0.00053749i,-0.00060478-0.00036214i,-0.00079054+0.00051519i,-0.00059133+0.0019004i,0.00051033+0.0013208i,0.0013575+0.00071775i,0.0015488+0.00048929i,0.0011282-0.00016636i,0.0001632-0.00051379i,0.00060593-0.00021383i,0.00087175+0.00043754i,0.00027357+0.00013882i,-0.00026178-0.00046284i,-0.00016675+0.00012996i,0.00045719+0.00036894i,0.0001343+0.00053831i,-0.0010348+0.00068633i,-0.00094766+0.00021482i,9.4208e-05-0.00011261i,0.000906-1.4851e-05i,0.00059757+0.00023215i,0.00016766+0.0001711i,0.000274+0.00021095i
0.0012141+0.00059769i,4.1036e-06+0.0002607i,-0.00056022+0.0005252i,-0.00020789+0.0010577i,0.00075244+0.00061902i,0.0013626-0.00090466i,0.00071371-0.0019499i,0.00046528-0.0018634i,0.00027772-0.00092604i,0.00034208-0.00033529i,0.00042167+0.00014031i,0.00061137+0.00054333i,0.00060021+0.00048805i,5.2607e-05+0.00039068i,0.00048147+0.00052339i,0.00088479+0.00044793i,0.00080518+0.00029519i,0.00056226+0.00070981i,0.0010284+0.00029995i,0.0012134-0.00011662i,0.0011948+0.00024898i,0.001138+0.0003387i,0.00095096+0.00040733i
-5.0464e-05+0.0011108i,-0.00012428+0.00090426i,-0.00064244+0.0018633i,0.0003555+0.0012549i,0.001262+6.8374e-05i,0.0011064-0.001894i,0.00090317-0.001952i,0.00048789-0.0013509i,6.74e-05-0.0011382i,1.0165e-05-0.0001635i,0.00049373+0.0001897i,0.00026157-0.00034761i,2.7708e-05-0.00042249i,-5.8188e-05+0.00015909i,-0.00022474+9.0553e-05i,-0.00023958-0.00054163i,0.00026051-0.00090806i,0.00049103+3.8929e-05i,0.00055027-0.00021994i,0.00099202-0.00079152i,0.0010279+2.7117e-06i,0.0010161+0.00019451i,-2.926e-06-3.0473e-07i
0.0011552+0.00063888i,0.0001256+0.00095569i,-0.00059375+0.00039187i,-0.0013106+8.2512e-05i,-0.0013181+0.00032468i,-0.00052767-0.00037679i,0.00044302-0.0013803i,-0.00014255-0.0017002i,-0.00031469-0.0020663i,0.00063513-0.0018623i,0.0012771-0.00069927i,0.0013185+0.00041181i,0.00080071+0.00049915i,0.00026451+8.1232e-05i,0.00036793-3.6439e-05i,0.00033499+0.00028461i,-2.7639e-05+0.00018438i,-0.00057311-5.9153e-05i,-0.00077149-0.00013177i,-5.7849e-05-3.1373e-05i,-0.00036431-0.00021694i,-0.00061438-0.00047238i,0.00011021-0.00034503i
-0.0013045+0.00048115i,-0.0017079+0.00056869i,-0.00096801+0.0012453i,0.00029402+0.0013352i,0.0012958+0.00044796i,0.0020968+8.337e-05i,0.0014401+0.00055027i,-0.00019127+0.00068868i,-0.00052018+0.00019388i,3.0736e-05-0.00039685i,0.001251-0.00060433i,0.0013702-0.00033839i,0.00089394-0.00076303i,0.00038893-0.00085905i,-0.00012834-0.00049408i,-0.00034453-0.00055338i,-0.00047251-6.1878e-05i,-0.00033911+0.00040689i,3.8249e-05+0.00038815i,4.044e-05-0.00015868i,0.00017736-0.00074604i,0.0011544-0.0005504i,0.0010028-0.00012128i
-8.8878e-05-0.00073224i,-0.00074884-0.00068602i,-0.0016651+9.7102e-05i,-0.0012243+0.00079863i,0.00033412+0.001292i,0.0013733+0.0011691i,0.0014561-1.0347e-05i,0.0009868-0.00054151i,0.0010838-0.0010172i,0.0015076-0.00083175i,0.0013958-0.00017895i,0.0012201+0.00022637i,0.00060992-0.00038501i,0.00035679-0.0012457i,0.0006182-0.0008192i,0.00038913-0.00020269i,0.00026085-0.00044853i,9.2734e-05-6.9818e-05i,-0.00072526+0.00049869i,-0.00085113-9.9507e-05i,-7.1781e-05-0.00070039i,-2.7681e-05-0.00074951i,-0.00010306-0.00025333i
0.0002141-0.0005535i,-0.00017364-0.00025418i,-0.00017962-0.00018997i,-0.00052968+0.00052374i,-0.0013724+0.0012278i,-0.0008852+0.001278i,-0.00022893+0.00065623i,0.00021069-0.0010048i,0.00062267-0.0020609i,0.00078408-0.0011918i,0.00021833-0.0003294i,-0.00014532-0.00052404i,0.0004095-0.0010525i,-0.00023461-0.00058553i,-0.0005681-0.0005577i,-0.00019114-0.00088726i,-0.00018159-7.9259e-05i,-0.00023109+0.00068087i,-0.00059341-9.9825e-06i,-0.00045365-0.0010134i,0.00031304-0.00032758i,0.0004591+4.7879e-05i,4.2934e-05-0.00020457i
-0.00066223+0.0005691i,-0.0010033+0.00079466i,-0.0015611+0.0013911i,-0.0010628+0.001178i,-3.4655e-05+0.0009805i,0.00027573+0.0013506i,0.00023807+0.00079983i,0.00036555-0.00042887i,-0.00013079-0.00080226i,-0.00052736-0.00093632i,-0.00019969-0.00015372i,0.00040832+0.00010984i,0.00050487-0.00064081i,5.3329e-05-0.00024194i,-0.0002017-7.0739e-05i,-0.00028914-0.0010014i,0.00017521-0.00053593i,0.00060585+0.00033084i,0.00042914+0.00077359i,-5.922e-05+0.0010465i,0.00031371+0.00040823i,0.0013055+0.00026524i,0.00079971+0.00033573i
