-0.00098925+0.00022607i,0.00073808-0.0012143i,0.00079952-0.00045741i,0.00037071+0.00049611i,0.00011739+0.00097719i,0.0011472+0.0012729i,0.0019722+0.0012317i,0.0017332+0.001047i,0.0015165+0.00112i,0.0012878+0.00057089i,0.00069112-0.00051337i,0.00047744-0.00096067i,-9.9719e-07-0.0013884i,-0.00058643-0.0012206i,-0.00024503-0.00086513i,-0.00037527-0.00046743i,-0.00084584-0.00017227i,-0.00069984-0.00039973i,-0.00042936-0.00059517i,-0.00017489-0.0004822i,4.686e-05-0.00023616i,0.00030612-0.00014247i,0.00029976+0.00034943i
0.0002923-0.00080719i,0.0014152+0.00018072i,0.00048834+0.00019555i,-0.00023847+0.00017529i,0.00035566+0.00040151i,0.0013062+0.00050703i,0.0014019-1.005e-05i,0.00062383-0.00037333i,1.2705e-05+0.00011434i,-0.00032692+0.00053305i,-0.00044438+6.1769e-05i,0.00034545-0.0010755i,0.00037984-0.0014577i,-2.1655e-05-0.00086466i,-0.00026069+0.00020189i,-0.00061433+0.00033143i,-0.00048732-0.00010802i,-0.00052154-0.00036138i,-0.00039973-0.00053599i,0.00019612-1.3692e-05i,0.00023945+0.00086786i,-6.6401e-05+0.00064229i,-0.00030563+0.00023721i
0.0026585+0.0015096i,0.0023171+0.0011685i,0.0032595+8.4244e-05i,0.0027662-0.0013997i,0.0012347-0.0014228i,0.00075869-4.0674e-05i,0.00076004+0.00090866i,0.00028779+0.0013942i,0.00063704+0.0008195i,0.00079062-0.00014223i,0.00046422-0.00036818i,0.00037607-0.00064638i,-4.3029e-05-0.0010087i,-0.00061634-0.0012651i,-0.00099872-0.00047815i,-0.00092435+0.00045733i,-0.0004764+0.00056927i,-0.00011231-0.00043605i,0.00030287-0.00044534i,0.0004064+0.00015596i,0.00054645-7.1456e-06i,0.00084341+0.0001605i,0.00012328+0.00021821i
0.0010545-0.0016938i,0.0011674-0.0014383i,0.001698-0.00045732i,0.00099661-0.00038625i,-0.00014812-0.00010492i,0.00016034+0.00091625i,0.001126+0.0012717i,0.0011241+0.001772i,0.00053502+0.00077624i,0.0001807-0.00030793i,-9.5833e-05-7.4687e-05i,-0.00044315-0.00052175i,-0.000171-0.00046676i,-0.00032667+0.00018749i,-0.00094168+0.00058369i,-0.0010495+0.0014319i,-0.0012541+0.0014535i,-0.0011756+0.00089861i,-0.00034095+0.00056001i,4.0937e-05+0.00041903i,0.00051014+5.7402e-05i,0.00070155+0.00020295i,-0.00013055+0.00041249i
0.00081391+0.00050533i,0.0017595+0.00015811i,0.0018376+0.00034944i,0.0015649+0.00018254i,0.00064261+3.3812e-05i,0.00067143+0.00030732i,0.00074247+0.00067198i,-0.00032464+0.00017867i,0.00034315+0.00037662i,0.0015574+0.00090268i,0.00092002+0.00035251i,0.00024217+0.00024596i,0.0003129+0.00011352i,0.00018071-0.00019916i,-0.00044501-0.00037365i,-0.00029882+6.4852e-05i,-9.4643e-05+0.00014755i,-0.00021873-0.00015678i,7.4109e-05-0.00034634i,-0.0002792-0.00011512i,-0.00018351+0.00028906i,1.9059e-05-0.0006939i,-4.4762e-06-0.0011044i
0.0013263-0.0010125i,0.0012529-2.023e-05i,9.9606e-05-0.00010784i,-0.0011853+0.00012113i,-0.0007956+0.00059273i,0.00068762+0.00074144i,0.001574+0.00036755i,0.0012746+0.00063759i,0.00075696+0.0004421i,0.00059591-0.00011741i,0.00024449+5.915e-05i,-0.00086372+0.00082512i,-0.0011258+0.00096382i,0.00028768+0.00047754i,0.0011588+0.00062561i,0.0007272+0.00034976i,0.00042921-0.00033164i,7.9651e-05-0.00019029i,-0.00036292+0.00018155i,2.1467e-05+0.00012233i,0.00065044-0.00032005i,0.00062801+1.2812e-05i,0.00047019+0.00065173i
-0.00067318+0.0014442i,0.0010596+0.0011187i,0.0024121+0.00056728i,0.0023879-0.00014001i,0.0018658-6.2785e-05i,0.0011345+0.00056799i,0.00017684+0.0010888i,-8.3272e-05+0.00099086i,0.00047845+1.0003e-05i,0.00032413-0.0005304i,8.0551e-05-0.00076099i,-0.00041834-0.00070192i,-0.00097101-0.0003221i,-0.00051441-0.00089652i,-0.00016042-0.00090894i,-3.2546e-05-0.00036585i,0.00093468-0.001267i,0.00091065-0.001742i,9.5555e-05-0.00068543i,0.00055376+2.2388e-05i,0.00067034+7.2368e-05i,-0.00044586+0.00072852i,-0.00067818+0.0003932i
-0.00070657-0.0017946i,0.00075303-0.0012455i,0.0017379-0.0016958i,0.00034353-0.003241i,-0.00090873-0.0030359i,-0.0007237-0.00097514i,0.00028163+0.00073421i,0.00065706+0.0011224i,0.00029419+0.00097989i,-0.00017804+0.00057383i,-0.00014783-0.00030408i,0.00010813-0.00063638i,-0.0001797-0.00065914i,-0.00010403-0.00093364i,3.1276e-05-0.00083875i,-8.3786e-05-0.00034959i,0.0002053+0.00012605i,0.00078481+0.00036822i,0.00040581-1.0295e-05i,0.00011075+0.00028691i,0.00063507+0.0011829i,0.0004272+0.0016069i,-0.00041947+0.0010997i
0.00091352-0.0013411i,0.0014174-0.0010173i,0.0017046-0.00060363i,0.0010015-3.5675e-06i,0.00084972+0.00017249i,0.0012897+0.00038016i,0.0011671+0.00016074i,0.00055611+0.00020788i,-0.00041974+0.00041712i,-0.00072652+0.00020868i,-0.00081704+0.00047631i,-0.00043865+0.00077431i,0.00034386+0.0004888i,0.00027504-1.7945e-05i,0.00051096-0.00033286i,0.00048536-3.7964e-05i,-0.00011888+0.00025733i,-0.00067138+0.00030536i,-0.0010742+0.00060018i,-0.00098245+0.00022743i,-0.00013825+4.7671e-05i,0.00044117+0.00027056i,6.7001e-05-0.00021698i
0.0024166+0.00014222i,0.0017221+0.00039877i,0.0014119+0.00017505i,0.0009387-0.00051923i,0.00012734-0.00061408i,-0.00011936+0.00014706i,2.7299e-05+0.0004352i,-0.00031066+0.00094912i,8.2941e-05+0.00092821i,0.0012338-0.00027541i,0.00083406-0.00036697i,-0.0003538+0.00058647i,-0.0010314+0.00022149i,-0.0006689-0.00058803i,-0.00053986-0.00056349i,-0.00056002+0.00065357i,-4.4203e-05+0.0010613i,8.7333e-05+0.00093458i,-4.3235e-05+0.00051015i,8.658e-05+0.00014438i,0.00034288+0.0007037i,0.00036097+0.0010653i,0.00043259+0.00082745i
0.0014858-0.0011522i,0.0013597-0.0016176i,0.00069114-0.00065065i,-0.0003268-0.00029235i,0.0001821-0.00071146i,0.00099889+0.00021001i,0.0010801+0.0010993i,0.00062394+0.00081454i,0.00081421+0.0001704i,0.0013923+0.00065323i,0.00094676+0.0009374i,0.00024812+0.00046761i,-5.018e-05+3.7359e-05i,0.00039675+0.00026954i,0.00021364+0.0010916i,-0.00031148+0.00064606i,-0.00051643-8.1315e-05i,-0.00010671+0.00040036i,0.00011223+0.00064385i,0.0002197-0.00016846i,0.00059151-0.00028483i,0.00073286+0.00049282i,0.0012176+0.00064485i
-0.0012436+0.00033341i,-0.00019368+0.0018841i,0.0016905+0.0025677i,0.0021651+0.0010584i,0.00045202-0.00025272i,-0.00045576-0.00032833i,0.00016714+0.00014109i,0.00022013+0.00015282i,0.00014638+0.00045273i,0.00030295+0.00068114i,0.00011629-8.6822e-05i,-0.00017119-0.0011819i,-4.156e-05-0.0016505i,0.00048666-0.0014579i,0.00094647-0.0018655i,0.00072715-0.0016233i,-0.0003284-0.00081892i,-0.00051755-0.00066192i,-0.00040103+9.5952e-05i,-0.00019589+0.00093517i,0.00010163+0.0013128i,-0.00012319+0.0008609i,-0.00013909+0.00025019i
-4.5051e-05-0.001489i,-0.00054676-0.0015026i,-0.00024681-0.00025455i,-0.0002236+0.0009796i,0.00013817+0.0014969i,0.0013248+0.0013805i,0.002294+0.00069376i,0.0018954+0.00092902i,0.00083021+0.00064479i,-0.00050382-0.0001557i,6.3954e-05-4.1033e-05i,0.0014521+4.4964e-05i,0.0010449+0.00058963i,0.00089332+0.00077544i,0.0012268+0.00038016i,0.0014248+0.000313i,7.6363e-05+0.00010553i,-0.00060085+0.00013398i,-0.00015105+0.00030475i,-0.00085027+4.3275e-05i,-0.001396-9.3916e-05i,-0.00088043-0.00020222i,-0.00068244-4.145e-05i
0.00092685+0.0014016i,0.0017215+0.0015995i,0.002368+0.0015933i,0.0023596+0.00069452i,0.0013835+0.00021233i,0.0010462+0.00043754i,0.00075631+0.00067841i,0.00054851+0.00080007i,0.00086704-6.8242e-05i,0.00063952-0.00097126i,0.00046992-0.0011965i,0.00058409-0.0014689i,-0.00036509-0.001094i,-0.001549-0.00051726i,-0.0015197-0.00068338i,-0.00031291-0.0002158i,0.00066793+0.00019591i,0.0009373+9.8687e-05i,0.00092316+0.00024i,0.00060354+0.00033084i,0.00036399-6.8977e-05i,0.00034724+8.875e-05i,0.00018186-0.00013546i
0.00098038+0.00019917i,0.0010468+0.00027136i,-6.4193e-05+0.00058581i,-7.9692e-05+0.00046563i,0.00027341+0.00031762i,0.00056157+0.00047918i,0.0011175+0.0010978i,0.0010729+0.0010379i,0.00028257+0.00045291i,-0.00072947+0.00043483i,-0.00022531+9.4552e-05i,6.0151e-05-0.00067028i,0.0001427-0.0011719i,0.00037216-0.00040627i,-0.00038929+0.00011918i,-0.00031964-0.00010077i,0.00021425-0.00033257i,6.9294e-05-0.00036662i,-0.00045568-0.0007176i,-0.00042108-0.00073047i,-0.00043811+0.00011282i,-0.00077966+0.00086674i,-0.00057008+0.0013441i
0.0010992-0.001722i,0.0012008-0.00080691i,0.0012091+0.00026724i,0.0010852-5.2114e-05i,-0.00018818-0.00094581i,-0.00064629-0.00084389i,0.00031026-0.00014564i,0.00065654+0.00077922i,0.00047381+0.0012046i,0.00038649+0.0012793i,0.00020205+0.0012268i,0.00055232+0.00058053i,0.0011113+1.4573e-05i,0.00098867+0.00037539i,0.00069735+0.00051209i,0.00086792+4.2104e-05i,0.0011751+0.00026843i,0.0011683+0.00025069i,0.0010252-0.00040838i,0.00057683-0.00035872i,0.000234+0.00052984i,0.00029814+0.00031337i,-0.00015307+0.00018413i
0.00039713-0.00094479i,0.00083262-0.0014425i,0.00038014-0.0012923i,0.00043268-0.00045924i,0.00029304+0.00043999i,0.00058778+0.00071252i,0.00096339+0.00046741i,0.00060151+5.3663e-05i,0.00027322+0.0002049i,0.00070753+0.00010363i,0.00037261+0.00041822i,-4.1554e-05+0.0012799i,0.00052401+0.0016365i,0.00013783+0.0017385i,-0.0012773+0.0010622i,-0.00088661+0.00047464i,-2.1502e-05-0.0001363i,0.00016615+5.6792e-05i,6.6238e-05+0.00093804i,0.00058016+0.0007333i,0.00068638+0.00090551i,-8.2367e-05+0.001521i,-0.00056056+0.00048669i
0.00016868-0.0021098i,0.0010309-0.0023811i,0.00187-0.0022735i,0.0016086-0.001442i,0.00071504-0.00077861i,0.00077339+0.00012823i,0.0017001+0.0011124i,0.0016782+0.0010834i,0.00068597+0.00028728i,3.657e-05-3.1773e-05i,-0.00038972+2.3102e-05i,-0.00038896-0.00011423i,-0.00070883-0.00044383i,-0.0010638-0.00051842i,-0.0005272-0.00049732i,-0.00042513-0.00039153i,-0.00031109-0.00041946i,0.00032523-0.00061053i,0.00041467+0.00014375i,-7.5057e-05+0.00058918i,6.0795e-05-4.9167e-05i,2.3787e-05-0.00022419i,-0.00040195+0.0003094i
2.5737e-05-0.0012515i,0.0010077-0.0014158i,0.0011424-0.00039698i,0.00034488-0.00025195i,2.4821e-05-1.9671e-05i,0.00036373+0.0006034i,0.0009386+0.00010245i,0.0011619+6.4252e-05i,0.00065076+0.00038768i,5.164e-05+0.00098394i,-0.00079469+0.0011077i,-0.00085561-0.00039659i,-0.00039719-0.0011163i,-0.0008116-0.0010751i,-0.00085813-0.001063i,-0.00035361-0.00072739i,0.00025001-0.00030342i,0.0006724+1.0681e-05i,0.00040663-7.8305e-05i,-0.00018177-0.00033285i,3.2704e-06-0.00048249i,0.0003236-0.00018388i,1.6062e-05+0.00019501i
0.0020684-0.00059613i,0.0035109-0.00084633i,0.0026827-0.00051397i,0.00081172-0.00030532i,0.00048809-0.00030248i,0.0012498+0.00052539i,0.0011445+0.00079452i,0.00068939+0.00047232i,0.00075798+0.0007783i,0.0010331+0.0011089i,0.00070471+0.00063695i,2.7503e-05-0.00038386i,6.2134e-05-0.00055266i,0.00067467-0.00062714i,0.00070322-0.00030399i,-0.0001338+0.0003336i,-0.00063257+5.5325e-05i,-0.00017345-0.00030297i,0.00035335-3.4455e-05i,0.0006919-0.00013108i,0.00092376-4.7283e-05i,0.0002292+0.00076639i,0.00029114+0.0010793i
0.001021-0.0021407i,-0.00011412-0.0012323i,7.2381e-05-0.00072209i,-0.00031235-0.00056935i,-0.00096201+0.00012881i,-0.0006852+0.00072284i,8.4267e-05+0.0011419i,-0.00010502+0.0012378i,-2.4733e-05+0.0015555i,0.00013477+0.00091652i,6.3277e-05-0.00018911i,0.00038471-0.00046689i,0.00033289-0.00039538i,0.0004103+0.00060824i,0.00049587+0.00083163i,9.0357e-05+0.00071091i,-0.00018659+0.00034718i,0.00015733-0.00050895i,0.00021083-0.00054035i,0.00087732+0.00048618i,0.0016264+0.0013538i,0.0010767+0.0009667i,0.0004762-1.5607e-05i
0.0015661-0.00099042i,0.0009977-0.002417i,0.0009905-0.0026755i,0.0012341-0.0010809i,0.00069779+0.00013292i,0.0010231+0.00079886i,0.001146+0.00072345i,0.00098271+0.00016037i,0.0012834+0.00020978i,0.0010456+0.00025567i,0.00017924+0.00045312i,0.00026967+0.00048998i,0.00026435-0.00027618i,-0.00038264-0.00050049i,-4.4364e-05+9.8449e-05i,0.00033494+0.00025559i,0.00010911+0.00020543i,0.00026012-0.00039535i,3.1885e-05-0.00099859i,-0.00059346-0.00026409i,-0.00085193+0.00061759i,-0.00073433+0.00084985i,-0.0004734+0.0010448i
-3.0574e-05-0.00067742i,-0.00020223-0.00018511i,-0.00047708-6.4477e-05i,-0.00071795+0.00029429i,-0.0010936+0.00062934i,-0.00091525+0.00082073i,4.104e-06+0.0013977i,0.00056355+0.0011611i,0.00024619-9.7841e-06i,9.5386e-05-0.00060823i,0.00040244-0.00022161i,0.00075495+0.00024545i,0.00063133+0.00096269i,0.00032677+0.0012126i,0.00037181+0.00033497i,6.6451e-05-0.00034156i,-0.00052445-0.00074278i,-0.00025518-0.0010595i,0.00019675-0.00031619i,0.00041273+5.4381e-05i,9.5475e-05-0.00031364i,5.1582e-05-0.00061283i,-0.00014446+5.0742e-05i
-0.00013043-0.00013574i,0.00083084+3.6996e-05i,0.001632+7.4658e-05i,0.0020436-0.00099586i,0.0019459-0.0014776i,0.0015284-0.00086837i,0.0011186+0.00026027i,0.00063168+0.0003327i,0.0001371+0.00071776i,-0.00021586+0.00045044i,-2.2562e-05-0.00029431i,0.00015614-0.00051381i,6.1058e-05-0.00059927i,-3.7797e-05-0.00058797i,0.00035153-0.0012326i,8.8594e-05-0.0016529i,-0.00054573-0.0013591i,-0.0010082-0.00064466i,-0.00060823+8.7555e-05i,-0.00060412+0.00050941i,-0.00026219+8.6839e-05i,0.00038812-0.00010718i,-0.00044712-9.3954e-05i
-6.1098e-05-0.00061526i,0.00032532-0.0010727i,0.0010665-0.00076766i,0.0011247+0.00012992i,0.0013651+0.001026i,0.0014277+0.0012406i,0.0012433+0.00086658i,0.0010177+0.00095525i,0.00042357+0.00047262i,-1.5878e-05+0.00023861i,0.00016286-9.8197e-05i,0.0004582-0.001067i,0.000216-0.00052223i,-0.00016278+0.00021695i,0.00030351-6.6186e-05i,0.00069301+0.0001122i,-0.00031272+0.00064432i,-0.00065259+0.00047684i,-0.0005702+0.00031301i,9.1067e-05-1.1992e-05i,0.00093947-0.00078405i,0.00086856-0.00033166i,-1.966e-05+0.00043065i
0.0019742-0.0012113i,0.001382-0.001434i,0.00086113-0.0015873i,0.00086236-0.0017781i,0.00068417-0.0020808i,0.00093514-0.0015421i,0.0011305-0.00081983i,0.00088022-0.00040574i,-0.0001022-9.4797e-05i,-0.001373+0.0001646i,-0.0011918+0.00038874i,-0.00024558+0.00063887i,0.00012176+0.0011137i,-0.00068999+0.00092584i,-0.00099173+0.00066052i,-7.6348e-05+0.0007762i,0.00045356+0.00054569i,7.716e-05-0.00040946i,-0.00014292-0.0014775i,0.00048076-0.00098142i,0.00072814-2.0004e-05i,0.00074483+0.00017949i,0.0013582+0.00021782i
